
[00:00:00.000 --> 00:00:20.580]   So I am here to talk about how building products is really about shipping something to someone
[00:10:37.560 --> 00:10:42.560]   I would be understanding why people couldn't get the right completions for the CSS token
[00:10:42.560 --> 00:10:44.560]   Or why the JavaScript debugger didn't work
[00:10:44.560 --> 00:10:49.560]   I'd be over and shadowing people so we could make a few users very very successful
[00:10:49.560 --> 00:10:55.560]   And the other thing that I learned throughout the years is that
[00:10:55.560 --> 00:10:58.560]   Just a side note APIs are much much harder than UI
[00:10:58.560 --> 00:11:03.560]   What I mean by this is that once you have an API and a data structure out there and it's shipped
[00:11:03.560 --> 00:11:05.560]   It's incredibly hard to change
[00:11:05.560 --> 00:11:08.560]   It's much much easier to move a button around
[00:11:08.560 --> 00:11:14.560]   And it's this just when you work on more platformy kind of things that has APIs and other abstractions
[00:11:14.560 --> 00:11:21.560]   It really just puts emphasis on that you need to work with a small set of users that are discerning
[00:11:21.560 --> 00:11:25.560]   At Stripe we always were talking about the discerning developer
[00:11:25.560 --> 00:11:28.560]   And how we could build a surprisingly great developer experience
[00:11:28.560 --> 00:11:31.560]   And make very very few users happy to begin with
[00:11:31.560 --> 00:11:36.560]   And when you work with APIs you need to have that trusted group of customers you're working with
[00:11:36.560 --> 00:11:37.560]   That you can iterate with
[00:11:37.560 --> 00:11:40.560]   And it's just like just for context you know
[00:11:40.560 --> 00:11:42.560]   Once you have an API out there it might be an afternoon for change for you
[00:11:42.560 --> 00:11:45.560]   But it might be a six month long migration for your customer
[00:11:45.560 --> 00:11:47.560]   Because they're locked into your APIs and data structures
[00:11:47.560 --> 00:11:50.560]   So this is something to think about as you're building platforms
[00:11:50.560 --> 00:11:54.560]   So, so, Kenneth, how the heck does all this relate to AI?
[00:11:54.560 --> 00:11:56.560]   We had an AI conference
[00:11:56.560 --> 00:12:00.560]   And I saw some nice illustrations from Claire Roux's talk
[00:12:00.560 --> 00:12:01.560]   Brilliant talk
[00:12:01.560 --> 00:12:05.560]   And it's just like I think she had some really great illustrations here about like
[00:12:05.560 --> 00:12:08.560]   The reality is that EPD tripod is changing, right?
[00:12:08.560 --> 00:12:11.560]   Like design, product, engineering always been isolated functions
[00:12:11.560 --> 00:12:14.560]   The reality is that they're all blowing together
[00:12:14.560 --> 00:12:17.560]   We're all lifting various parts of our jobs here
[00:12:17.560 --> 00:12:20.560]   Whether you're a product leader, engineering leader, or design leader
[00:12:20.560 --> 00:12:23.560]   With AI we're all building, we're all iterating
[00:12:23.560 --> 00:12:26.560]   And we're all in this team together building products
[00:12:26.560 --> 00:12:31.560]   So we're in this weird kind of reality where all our roles are kind of merging together
[00:12:31.560 --> 00:12:36.560]   But my hot take here is that I don't think anything is changing with AI
[00:12:36.560 --> 00:12:39.560]   When it comes to the craft of building products
[00:12:39.560 --> 00:12:42.560]   What I've outlined here and the tactical things you've got to do
[00:12:42.560 --> 00:12:45.560]   Whether you're using AI or not and you're building an AI product
[00:12:45.560 --> 00:12:46.560]   It's the same process
[00:12:46.560 --> 00:12:49.560]   And you talk to users, get a feedback loop going
[00:12:49.560 --> 00:12:55.560]   And the reality is that AI will accelerate all aspects of product building
[00:12:55.560 --> 00:12:56.560]   All the things I just talked about
[00:12:56.560 --> 00:12:59.560]   There's a lot of tools available and we're only going to get better tools
[00:12:59.560 --> 00:13:06.560]   And sure I am using ChatBD, Bold, Cursor, Listen Labs for customer research in Granola
[00:13:06.560 --> 00:13:08.560]   To take all my meeting notes
[00:13:08.560 --> 00:13:12.560]   These are the tools we all are using to kind of help us be more productive
[00:13:12.560 --> 00:13:16.560]   But nothing has really changed when it comes to the product development cycle
[00:13:16.560 --> 00:13:20.560]   And you getting a very fast iterative loop going
[00:13:20.560 --> 00:13:23.560]   And sure one day we'll have an agent that's going to help accelerate this
[00:13:23.560 --> 00:13:26.560]   But by the end of the day it's the same job to be done
[00:13:26.560 --> 00:13:36.560]   And I actually think like the product management aspect of building great products
[00:13:36.560 --> 00:13:42.560]   It's just going to be much more important as we are now in a world where the cost of writing code is going to zero
[00:13:42.560 --> 00:13:46.560]   The building piece here is no longer the critical thing
[00:13:46.560 --> 00:13:51.560]   What's much more critical is that you have deep customer knowledge
[00:13:51.560 --> 00:13:53.560]   And you know who you're building for
[00:13:53.560 --> 00:13:55.560]   And you can get feedback as fast as possible
[00:13:55.560 --> 00:14:00.560]   And you need to leverage all the various tools to get these feedback loops going
[00:14:00.560 --> 00:14:03.560]   But in a world where we talk about AI native development
[00:14:03.560 --> 00:14:05.560]   And putting emphasis on the spec instead of code
[00:14:05.560 --> 00:14:09.560]   I actually think that's going to be a much more emphasis on knowing who you're building for
[00:14:09.560 --> 00:14:12.560]   Because you can just iterate incredibly fast
[00:14:12.560 --> 00:14:15.560]   And you know I am now on the venture side of things
[00:14:15.560 --> 00:14:19.560]   And I spend a lot of time thinking about early stage in investment
[00:14:19.560 --> 00:14:22.560]   And what the new kind of backable founders are and how they're building
[00:14:22.560 --> 00:14:27.560]   And I did this essay recently about what I call AI native founders
[00:14:27.560 --> 00:14:33.560]   And I think the traits also for product leaders is that the winners will be the founders who can build tastefully
[00:14:33.560 --> 00:14:39.560]   Understand customers deeply and keep an incredibly high iteration velocity
[00:14:39.560 --> 00:14:42.560]   And breaking it down is really about taste
[00:14:42.560 --> 00:14:45.560]   I know we are in SF and it's an overused kind of term these days
[00:14:45.560 --> 00:14:50.560]   But taste, deep customer knowledge, iteration velocity
[00:14:50.560 --> 00:14:54.560]   You having distribution for your product and you being able to sell
[00:14:54.560 --> 00:14:57.560]   To me this sounds like a lot like product management
[00:14:57.560 --> 00:15:02.560]   And this is just going to be much more important going forward
[00:15:02.560 --> 00:15:07.560]   I pulled a tweet here from Michelle over at OpenAI
[00:15:07.560 --> 00:15:08.560]   I think she kept it so well
[00:15:08.560 --> 00:15:11.560]   Shipping is so hard because it's a low entropy state
[00:15:11.560 --> 00:15:14.560]   There are millions of ways your launch can get derailed
[00:15:14.560 --> 00:15:19.560]   But only a helpful ways that you can line everything up in order to ship
[00:15:19.560 --> 00:15:24.560]   The universe does not want you to ship but you must do it anyway
[00:15:24.560 --> 00:15:26.560]   And I think that's our job
[00:15:26.560 --> 00:15:29.560]   To build the right products, have a feedback loop with our customers
[00:15:29.560 --> 00:15:31.560]   And find a way to ship
[00:15:31.560 --> 00:15:35.560]   So really like next time you're stuck in a discussion with your team
[00:15:35.560 --> 00:15:37.560]   You're sitting in a heated product review
[00:15:37.560 --> 00:15:40.560]   Or you're just debating with your team
[00:15:40.560 --> 00:15:43.560]   I'm trying to remind my teams when I was operating
[00:15:43.560 --> 00:15:48.560]   Is that shipping something to someone always wins and solves a debate
[00:15:48.560 --> 00:15:51.560]   When you get real feedback from real people
[00:15:51.560 --> 00:15:54.560]   Instead of you being stuck in a high level conversation
[00:15:54.560 --> 00:15:58.560]   And the main takeaway I want to give you all from this talk
[00:15:58.560 --> 00:16:01.560]   Is that think about that skateboard
[00:16:01.560 --> 00:16:05.560]   Think about how you can build the minimal viable product shape
[00:16:05.560 --> 00:16:08.560]   That you can iterate on with real users
[00:16:08.560 --> 00:16:10.560]   Thank you
[00:16:10.560 --> 00:16:15.560]   Thank you
[00:16:15.560 --> 00:16:16.840]   We'll see you next time.

