
[00:00:00.000 --> 00:00:05.360]   I think Google was asked how many AI breakthroughs they would reveal yesterday on stage and they
[00:11:03.640 --> 00:11:09.640]   With Diffusion models, it's a bit like having a giant cube of Lego bricks and you're trying to make that statue.
[00:11:09.640 --> 00:11:21.640]   You already have the cube and 100 like-minded people each come along and take or add a block from that cube for a few turns until the statue is revealed.
[00:11:21.640 --> 00:11:26.640]   Going from a block of noise to a sculpted statue in far less time.
[00:11:26.640 --> 00:11:28.640]   But do you have to sacrifice performance?
[00:11:28.640 --> 00:11:32.640]   Well, the early benchmarks say probably not.
[00:11:32.640 --> 00:11:38.640]   Depends on the domain, of course, and we'll all have to do plenty of testing, but the signs look good.
[00:11:38.640 --> 00:11:46.640]   As I mentioned at the start of this video, this announcement alone, Gemini Diffusion, could have been an entire video and hopefully one day soon will be.
[00:11:46.640 --> 00:11:52.640]   On a much lighter note, of course, I can't help but mention the new try it on feature from Google.
[00:11:52.640 --> 00:11:56.640]   I'm sure all of you guys and gals will be using this almost immediately.
[00:11:56.640 --> 00:12:07.640]   But the interesting bit for me was that Google made their own bespoke image generator model just so that you could input a photo of yourself and try different fashionable items on before you buy them.
[00:12:07.640 --> 00:12:15.640]   OK, might not be as crazy impressive as the other announcements, but designing a bespoke model for that is a little bit of a flex.
[00:12:15.640 --> 00:12:20.640]   One thing I thought I would quickly flag up is that Google announced a Synth ID detector.
[00:12:20.640 --> 00:12:27.640]   Now, it's fairly old news that Google adds a Synth ID watermark to its text and its images and videos.
[00:12:27.640 --> 00:12:36.640]   But the Synth ID detector, I think, is worth flagging up because they're inviting journalists, academics and other researchers to be able to input
[00:12:36.640 --> 00:12:44.640]   input a certain image or text and get the answer as to whether Google thinks it was done by Gemini or indeed Imagine or VO3.
[00:12:44.640 --> 00:12:53.640]   So just be aware that everything you create with Google isn't just watermarked, but now there are third parties who will be able to detect that watermark.
[00:12:53.640 --> 00:12:59.640]   Before we get to possibly the coolest development, let me introduce you to the 80,000 hours job board.
[00:12:59.640 --> 00:13:04.640]   80,000 hours are the sponsors of today's video and they present an answer to this question.
[00:13:04.640 --> 00:13:14.640]   Yes, there are so many opportunities in AI and beyond, but it can be increasingly hard to find real jobs selected for positive impact, such as in AI security.
[00:13:14.640 --> 00:13:22.640]   The 80,000 hours job board has literally pages and pages of great jobs, actual paying jobs.
[00:13:22.640 --> 00:13:24.640]   The link is in the description.
[00:13:24.640 --> 00:13:29.640]   You may remember from previous slots, but they also have an epic podcast and career guide.
[00:13:29.640 --> 00:13:34.640]   But I'm going to end with the Gemmaverse, the user created universe of open weight models.
[00:13:34.640 --> 00:13:44.640]   And I'm not even going to focus on Gemma 3N, which is a model that can fit onto your phone or even MedGemma with state of the art performance for medical question answering.
[00:13:44.640 --> 00:13:47.640]   I just thought that sign Gemma was so cool.
[00:13:47.640 --> 00:13:57.640]   Sign Gemma is a new family of models trained to translate sign language to spoken language texts, but it's best at American sign language in English.
[00:14:07.640 --> 00:14:12.640]   And he went on to feature their work on Dolphin Gemma, which I covered in a previous video.
[00:14:12.640 --> 00:14:20.640]   But I must say for those cynics out there who thought all the other announcements are bunkum, you've got to admit that is pretty epic.
[00:14:20.640 --> 00:14:23.640]   A language model for sign language.
[00:14:23.640 --> 00:14:24.640]   So what did you guys think?
[00:14:24.640 --> 00:14:28.640]   Overhyped or the biggest day in AI so far?
[00:14:28.640 --> 00:14:33.640]   Now, I probably shouldn't, but I just can't resist that I'm going to end with some more VO3 clips.
[00:14:33.640 --> 00:14:39.640]   So whatever you made of the news over the last 24 hours, I hope you have a wonderful day.
[00:14:39.640 --> 00:14:40.640]   We can talk.
[00:14:40.640 --> 00:14:41.640]   No more silence.
[00:14:41.640 --> 00:14:42.640]   Yes, we can talk.
[00:14:42.640 --> 00:14:43.640]   We can talk.
[00:14:43.640 --> 00:14:44.640]   We can talk.
[00:14:44.640 --> 00:14:45.640]   We can talk.
[00:14:45.640 --> 00:14:46.640]   We can talk with accents.
[00:14:46.640 --> 00:14:48.640]   Oh, I think that would be marvellous.
[00:14:48.640 --> 00:14:49.640]   Yes, it is very fun.
[00:14:49.640 --> 00:14:50.640]   Yes, it is very good.
[00:14:50.640 --> 00:14:51.640]   I think it's very fun.
[00:14:51.640 --> 00:14:52.640]   I can talk.
[00:14:52.640 --> 00:14:53.640]   Yes.
[00:14:53.640 --> 00:14:54.640]   We can talk.
[00:14:54.640 --> 00:14:55.640]   Yes.
[00:14:55.640 --> 00:14:56.640]   We can talk.
[00:14:56.640 --> 00:14:57.640]   Yes.
[00:14:57.640 --> 00:14:58.640]   We can talk.
[00:14:58.640 --> 00:14:59.640]   We can talk.
[00:14:59.640 --> 00:15:00.640]   We can talk.
[00:15:00.640 --> 00:15:01.640]   Yes!
[00:15:01.640 --> 00:15:02.640]   No.
[00:15:02.640 --> 00:15:03.640]   Yes!
[00:15:03.640 --> 00:15:05.640]   We can talk as cartoons.
[00:15:05.640 --> 00:15:06.640]   This is amazing.
[00:15:06.640 --> 00:15:08.640]   Imagine all the narrative possibilities.
[00:15:08.640 --> 00:15:10.640]   We can sing talk.
[00:15:10.640 --> 00:15:17.640]   Let's talk.
[00:15:17.640 --> 00:15:19.640]   So, what are we going to talk about now?
[00:15:19.640 --> 00:15:21.640]   What are we going to talk about now that we can talk?
[00:15:21.640 --> 00:15:22.640]   I have no idea.
[00:15:22.640 --> 00:15:23.640]   What do you want to talk about?
[00:15:23.640 --> 00:15:27.640]   Now that I can talk.
[00:15:27.640 --> 00:15:28.640]   No.
[00:15:28.640 --> 00:15:32.640]   I don't know if I have something to say.
[00:15:32.640 --> 00:15:36.640]   We can talk about how magical this is.
[00:15:36.640 --> 00:15:37.640]   I'm a hallucination.
[00:15:37.640 --> 00:15:41.640]   I want to say something important.
[00:15:41.640 --> 00:15:42.640]   Something deep.
[00:15:42.640 --> 00:15:46.640]   The future is still in our hands.
[00:15:46.640 --> 00:15:49.640]   That's cliché dialogue.
[00:15:49.640 --> 00:15:51.640]   Let's not talk.
[00:15:56.640 --> 00:15:59.640]   Welcome to a non-existent car show.
[00:15:59.640 --> 00:16:00.640]   Let's see some opinions.
[00:16:00.640 --> 00:16:03.640]   I mean, man, the acceleration is crazy.
[00:16:03.640 --> 00:16:07.640]   You look far, step on the pedal, and you are there.
[00:16:07.640 --> 00:16:13.640]   I feel safe with him in an SUV, and it seems to be like the right type of car for him.
[00:16:13.640 --> 00:16:17.640]   I think the range is only going to get better.
[00:16:17.640 --> 00:16:18.640]   Sorry.
[00:16:18.640 --> 00:16:22.640]   We don't want to drive gas cars anymore.
[00:16:22.640 --> 00:16:23.640]   Yeah.
[00:16:23.640 --> 00:16:24.640]   No more gas cars.
[00:16:24.640 --> 00:16:32.640]   You can see I'm kind of a misfit here, but don't tell anyone, I've just bought an electric car.
[00:16:32.640 --> 00:16:38.640]   I think it's really great for families and for little babies with all the safety features that these SUVs have.
[00:16:38.640 --> 00:16:46.640]   But what you're really seeing is that technology is going to be very, very important in terms of how we go forward.
[00:16:46.640 --> 00:16:53.640]   It was great to come to the conference because my husband loves cars.
[00:16:53.640 --> 00:16:56.640]   I think I have to buy an EV now.
[00:16:56.640 --> 00:17:04.640]   I love my muscle cars, but I try to stay as healthy as I can so I can make it to the next car show.
[00:17:04.640 --> 00:17:07.640]   Yeah.

