
[00:00:00.000 --> 00:00:02.420]   (soft music)
[00:05:02.240 --> 00:05:07.120]   There is such a thing as worldly music.
[00:05:07.120 --> 00:05:09.560]   One of the marks of worldly music
[00:05:09.560 --> 00:05:14.560]   is the exaltation in a worldly view of life.
[00:05:14.560 --> 00:05:19.520]   A worldly view of life is a life that leaves Christ out
[00:05:19.520 --> 00:05:22.960]   and approves of what He disapproves.
[00:05:22.960 --> 00:05:24.080]   That's worldly.
[00:05:24.080 --> 00:05:25.360]   Worldly isn't a sound.
[00:05:25.360 --> 00:05:28.240]   Worldly is leaving Christ out.
[00:05:28.240 --> 00:05:30.920]   That's why it's called worldly and not Christly.
[00:05:30.920 --> 00:05:34.680]   Worldly, and it approves of what He disapproves.
[00:05:34.680 --> 00:05:37.600]   It's called worldly because it treasures the world
[00:05:37.600 --> 00:05:39.400]   above the one who made the world.
[00:05:39.400 --> 00:05:42.800]   It revels in the very self-centeredness
[00:05:42.800 --> 00:05:46.520]   that gives rise to the miseries of the world.
[00:05:46.520 --> 00:05:49.880]   And what does God say about this?
[00:05:49.880 --> 00:05:51.200]   Here's a few texts.
[00:05:51.200 --> 00:05:54.320]   Romans 12, "Do not be conformed to this world,
[00:05:54.320 --> 00:05:56.720]   "but be transformed by the renewing of your mind,
[00:05:56.720 --> 00:05:59.560]   "that you may by testing discern what is the will of God,
[00:05:59.560 --> 00:06:02.240]   "what is good and acceptable and perfect."
[00:06:02.240 --> 00:06:06.240]   So my question is, is the transformation of our minds
[00:06:06.240 --> 00:06:11.240]   helped by soaking them in sin-celebrating world,
[00:06:11.240 --> 00:06:14.880]   the world we're trying not to be conformed to?
[00:06:14.880 --> 00:06:19.880]   Don't be conformed to the sin-celebrating,
[00:06:19.880 --> 00:06:23.480]   Christ-omitting world.
[00:06:23.480 --> 00:06:28.160]   And I think the answer's patent, garbage in, garbage out.
[00:06:28.160 --> 00:06:33.160]   If you soak your mind in the Christlessness of the world,
[00:06:34.700 --> 00:06:37.900]   you will be less Christ-full.
[00:06:37.900 --> 00:06:41.980]   Is the music of the world a helpful path
[00:06:41.980 --> 00:06:46.980]   to renewing your mind to love what the world does not love?
[00:06:46.980 --> 00:06:48.620]   That's the key question.
[00:06:48.620 --> 00:06:52.220]   Or Matthew 5, 8, "Blessed are the pure in heart,
[00:06:52.220 --> 00:06:53.620]   "for they shall see God."
[00:06:53.620 --> 00:06:57.780]   Is our pursuit of purity helped
[00:06:57.780 --> 00:07:01.760]   by enjoying the way the world enjoys impurity?
[00:07:02.660 --> 00:07:06.780]   Or Colossians 3, 1, "If then you have been raised
[00:07:06.780 --> 00:07:08.840]   "with Christ, seek the things that are above,
[00:07:08.840 --> 00:07:10.440]   "set your mind on things that are above,
[00:07:10.440 --> 00:07:11.900]   "not on things that are on the earth."
[00:07:11.900 --> 00:07:16.580]   Does the music that exalts in Christless feeling
[00:07:16.580 --> 00:07:20.660]   and Christless thinking and Christless acting,
[00:07:20.660 --> 00:07:25.660]   does it help us set the mind on Christ?
[00:07:25.660 --> 00:07:29.980]   Paul's concern is that we have the mind of Christ,
[00:07:29.980 --> 00:07:33.340]   that we love what he loves, we hate what he hates,
[00:07:33.340 --> 00:07:35.540]   we enjoy what he enjoys.
[00:07:35.540 --> 00:07:39.860]   Does the music we listen to help that happen?
[00:07:39.860 --> 00:07:43.180]   Or Colossians 3, 5, and 8, "Put to death, therefore,
[00:07:43.180 --> 00:07:46.020]   "what is earthly in you, sexual immorality, impurity,
[00:07:46.020 --> 00:07:49.220]   "passion, evil desire, covetousness, which is idolatry.
[00:07:49.220 --> 00:07:52.340]   "Put them all away, anger, wrath, malice, slander,
[00:07:52.340 --> 00:07:54.580]   "obscene talk from your mouth."
[00:07:54.580 --> 00:07:58.780]   We are to be actively putting to death
[00:07:58.780 --> 00:08:03.220]   in our hearts all things that we be prone to
[00:08:03.220 --> 00:08:04.940]   that are sinful.
[00:08:04.940 --> 00:08:08.260]   Does feeding these inclinations
[00:08:08.260 --> 00:08:13.500]   that we are supposed to kill help us kill them?
[00:08:13.500 --> 00:08:18.320]   Or should we starve them instead of nourishing them?
[00:08:18.320 --> 00:08:23.320]   2 Peter 2, "Many will follow their sensuality,
[00:08:23.320 --> 00:08:27.460]   "and because of them the way of truth will be blasphemed."
[00:08:27.460 --> 00:08:32.460]   The fact is, many who listen to Christ omitting sensuality
[00:08:32.460 --> 00:08:37.380]   are made more sensual.
[00:08:37.380 --> 00:08:40.420]   Our sensitivities to sin are made more dull,
[00:08:40.420 --> 00:08:44.820]   and we are at home more and more with the world
[00:08:44.820 --> 00:08:47.780]   and not with heaven, not with Christ, not with his way,
[00:08:47.780 --> 00:08:51.420]   not with his kingdom, and not with his joy.
[00:08:51.420 --> 00:08:55.140]   Proverbs 13, 20, "Whoever walks with the wise
[00:08:55.140 --> 00:08:57.920]   "will become wise, but the companion of fools
[00:08:57.920 --> 00:08:59.860]   "will suffer harm."
[00:08:59.860 --> 00:09:02.260]   1 Corinthians 15, "Do not be deceived.
[00:09:02.260 --> 00:09:05.580]   "Bad company corrupts good morals."
[00:09:05.580 --> 00:09:08.700]   And the issue here is not whether you're free to go
[00:09:08.700 --> 00:09:11.220]   among the world and bear witness
[00:09:11.220 --> 00:09:14.040]   to the supreme beauty of Christ anywhere in the world,
[00:09:14.040 --> 00:09:16.100]   among the world, and among the unbelieving,
[00:09:16.100 --> 00:09:17.340]   and among the sensual.
[00:09:17.340 --> 00:09:21.880]   The issue is whether we are at home enjoying ourselves
[00:09:21.880 --> 00:09:23.660]   with the way the world thinks.
[00:09:23.660 --> 00:09:24.980]   Let me say that again.
[00:09:24.980 --> 00:09:28.500]   The issue is whether we are at home
[00:09:28.500 --> 00:09:33.500]   and enjoying ourselves with the way the world thinks.
[00:09:33.500 --> 00:09:38.780]   I'm listening right now to Richard Wernbrandt's
[00:09:38.780 --> 00:09:42.660]   "Tortured for Christ," written 40 years ago.
[00:09:42.660 --> 00:09:44.920]   He was imprisoned as a Romanian pastor
[00:09:44.920 --> 00:09:46.820]   during the Communist takeover in Romania.
[00:09:46.820 --> 00:09:49.540]   For 14 years, he was in jail and tortured.
[00:09:49.540 --> 00:09:54.540]   And just yesterday, just yesterday, I heard him say,
[00:09:54.700 --> 00:09:56.740]   this is a rough quote, I couldn't find it on the tape.
[00:09:56.740 --> 00:09:58.700]   I tried to go back and find it, so I'm paraphrasing.
[00:09:58.700 --> 00:10:02.620]   Many of those who were willing to deny their faith
[00:10:02.620 --> 00:10:04.900]   and accept the Communist rule were put in charge
[00:10:04.900 --> 00:10:06.580]   of the state-approved church.
[00:10:06.580 --> 00:10:11.060]   And he said, "They often listen to worldly music."
[00:10:11.060 --> 00:10:11.900]   That was his phrase.
[00:10:11.900 --> 00:10:13.820]   "They often listen to worldly music."
[00:10:13.820 --> 00:10:16.180]   And then he said, took me off guard, he said,
[00:10:16.180 --> 00:10:21.180]   "We too played worldly music, very loud,
[00:10:21.180 --> 00:10:24.040]   "so that it would cover our Bible discussions
[00:10:24.040 --> 00:10:27.160]   "in the underground church and make the Communists
[00:10:27.160 --> 00:10:30.300]   "think that we were like others."
[00:10:30.300 --> 00:10:33.280]   So I would just say, if that's your plan,
[00:10:33.280 --> 00:10:34.700]   listen to worldly music.
[00:10:34.700 --> 00:10:36.020]   - Nice little spin on the topic.
[00:10:36.020 --> 00:10:37.140]   Thank you, Pastor John.
[00:10:37.140 --> 00:10:40.380]   And speaking of music, beautiful and edifying music,
[00:10:40.380 --> 00:10:43.180]   special thanks to cellist Patricia White
[00:10:43.180 --> 00:10:46.260]   for her beautiful rendition of "Amazing Grace"
[00:10:46.260 --> 00:10:48.520]   off her album "Be Still My Soul,"
[00:10:48.520 --> 00:10:50.980]   which we are using in this episode.
[00:10:50.980 --> 00:10:53.440]   And thank you to Pastor John for promoting my new book here
[00:10:53.440 --> 00:10:55.180]   and for writing the foreword to it.
[00:10:55.180 --> 00:10:56.540]   You can read Pastor John's foreword
[00:10:56.540 --> 00:10:58.180]   and find more information about the book
[00:10:58.180 --> 00:11:01.260]   at desiringgod.org/newton.
[00:11:01.260 --> 00:11:03.180]   I'm your host Tony Reinke.
[00:11:03.180 --> 00:11:04.340]   We'll be back tomorrow.
[00:11:04.340 --> 00:11:06.920]   (gentle music)
[00:11:07.760 --> 00:11:10.520]   (dramatic music)
[00:11:11.320 --> 00:11:14.080]   (dramatic music)
[00:11:14.080 --> 00:11:16.820]   (dramatic music)
[00:11:16.820 --> 00:11:19.560]   (dramatic music)
[00:11:19.560 --> 00:11:22.300]   (dramatic music)
[00:11:22.300 --> 00:11:25.040]   (dramatic music)
[00:11:25.040 --> 00:11:35.040]   [BLANK_AUDIO]

