
[00:00:00.040 --> 00:00:10.460]   love
[00:07:04.320 --> 00:07:15.380]   decision-making. Then the decision-making process is poorer, less robust, less diverse, and ultimately less successful.
[00:07:15.380 --> 00:07:15.580]   Then the decision-making process is poorer, less robust, less diverse, and ultimately less successful.
[00:07:15.580 --> 00:07:20.280]   Then the decision-making process is poorer, less robust, less diverse, and ultimately less successful. Can you elaborate on the idea of free speech absolutism?
[00:07:20.280 --> 00:07:20.420]   Can you elaborate on the idea of free speech absolutism?
[00:07:20.420 --> 00:07:27.100]   So hate speech can be quite painful to quite a large number of people.
[00:07:27.100 --> 00:07:27.160]   So hate speech can be quite painful to quite a large number of people.
[00:07:27.160 --> 00:07:28.460]   So hate speech can be quite painful to quite a large number of people. Does this worry you?
[00:07:28.460 --> 00:07:28.560]   Does this worry you?
[00:07:28.560 --> 00:07:28.560]   Does this worry you? Yep. Living in a free society requires that you expose yourself to the fact that you're not a free person.
[00:07:28.560 --> 00:07:34.300]   Yep. Living in a free society requires that you expose yourself to the fact that you're not a free person.
[00:07:34.340 --> 00:07:46.520]  ..? de great very
[00:09:01.040 --> 00:09:10.940]  יס
[00:09:10.940 --> 00:09:14.360]   in which're
[00:09:14.360 --> 00:09:18.340]  � Harvard I have work get a mean he comedian. .. .., detect the tone, the content, the home, the heart, the home to harm to harm to the home, the home to the home, the, the, the, the, the, the, the,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, weigh國 Mr. STUD-Gdles Gro-G?".G pł 그래도 radius Diamond Flor学 found across Может grab watermelon lieñana em 360 أي released however it is not enthusiastic stories of just Xiangよう 76 rec satisfaction cach
[00:09:18.340 --> 00:09:28.840]   rack as EP cay
[00:09:30.820 --> 00:09:39.900]   Sep
[00:09:39.900 --> 00:09:44.820]   Herm realize find do
[00:09:44.820 --> 00:09:59.640]  's guessedgeGGG E " guy's started talk in my work., they're, and, and, and, and, and, and, and, and, and, and, and, and, and, and, and, and, and, and, difference, trust. -D. -T.-G.--G.-G.-J.-af- faced- Doesn't- burning dough- porta- healing- Ronnie- realize- crown- parameters- boy bean " 어 end- chia- that's just like, implement
[00:09:59.660 --> 00:10:28.500]   I read that you had this line that you cannot be protected from being called an asshole. Correct. Especially if you're an asshole. Well that's, but you don't have to be an asshole to be called an asshole. That's correct. And, I think the internet has taught me that. Well, the internet has posed a particular challenge to free speech absolutists because of some of the stuff that's on there is god-awful. But, I have no different rule for freedom of speech on the internet than I have on my own.
[00:10:28.540 --> 00:10:38.260]   Pero
[00:10:38.260 --> 00:10:38.920]  ,
[00:10:38.920 --> 00:10:56.480]   D I was felt, like, would, be,.,,,,,,. riding theated the
[00:10:57.600 --> 00:11:05.200]   at
[00:11:05.200 --> 00:11:27.280]   Guard I in the
[00:11:27.620 --> 00:11:38.440]   a
[00:13:32.180 --> 00:13:48.180]   "The thing is that it can really hurt at scale to be cyber bullied to be attacked for the ideas you express or maybe ideas you didn't express but that somebody decided to lie about you and use that to attack you."
[00:13:48.180 --> 00:13:56.700]   "Well first of all there are there were so there are some exceptions the first amendment libel and slander is an exception
[00:13:56.700 --> 00:14:01.980]   a direct threat or an exception
[00:14:01.980 --> 00:14:02.160]   "I think that's a good question"
[00:15:02.200 --> 00:15:02.200]   "I think that's a good question"
[00:15:25.720 --> 00:15:32.220]   "I think that's a good question"
[00:15:32.260 --> 00:15:42.700]  obediently.com/gulag/pudin/gulag/gulag/gulag/gulag/gulag/gulag/gulag/gulag/gulag/gulag/gulag/gulag/gulag/gulag/gulag/gulag/gulag/gulag/gulag/gulag/gulag/gulag/gulag/gulag/gulag/gulag/gulag/gulag/gulag/gulag/gulag/gulag/gulag/gulag/gulag/gulag/gulag/gulag/gulag/g
[00:15:42.700 --> 00:15:47.380]   you end up in the New
[00:15:47.380 --> 00:15:49.260]   Times, where would you rather be?
[00:15:49.260 --> 00:15:50.260]   Well,
[00:15:50.260 --> 00:15:53.780]   you've done for over 20 years,
[00:15:54.680 --> 00:16:22.820]  , and you're a great writer, and you're a great writer, and you're a great writer.
[00:16:22.820 --> 00:16:23.800]   You've done for over 20 years, and you're a great writer, and you're a great writer.
[00:16:23.800 --> 00:16:23.800]   You've done for over 20 years, and you're a great writer.
[00:16:23.800 --> 00:16:23.800]   You've done for over 20 years, and you're a great writer.
[00:16:23.800 --> 00:16:23.800]   You've done for over 20 years, and you're a great writer.
[00:16:23.800 --> 00:16:23.800]   You've done for over 20 years, and you're a great writer.
[00:16:23.800 --> 00:16:23.800]   You've done for over 20 years, and you're a great writer.
[00:16:23.800 --> 00:16:23.800]   You've done for over 20 years, and you're a great writer.
[00:16:23.800 --> 00:16:23.800]   You've done for over 20 years, and you're a great writer.
[00:16:23.820 --> 00:16:53.820]   You've done for over 20 years, and you're a great writer.
[00:16:53.820 --> 00:16:53.820]   You've done for over 20 years, and you're a great writer.
[00:16:53.820 --> 00:16:53.820]   You've done for over 20 years, and you're a great writer.
[00:16:53.820 --> 00:16:53.820]   You've done for over 20 years, and you're a great writer.
[00:16:53.820 --> 00:16:53.820]   You've done for over 20 years, and you're a great writer.
[00:16:53.820 --> 00:16:53.820]   You've done for over 20 years, and you're a great writer.
[00:16:53.820 --> 00:16:53.820]   You've done for over 20 years, and you're a great writer.
[00:16:53.820 --> 00:16:53.820]   You've done for over 20 years, and you're a great writer.
[00:16:53.820 --> 00:16:53.820]   You've done for over 20 years, and you're a great writer.
[00:16:53.820 --> 00:16:53.820]   You've done for over 20 years, and you're a great writer.
[00:16:53.820 --> 00:16:53.820]   You've done for over 20 years, and you're a great writer.
[00:16:53.820 --> 00:16:53.820]   You've done for over 20 years, and you're a great writer.
[00:16:53.820 --> 00:17:23.840]   You've done for over 20 years, and you're a great writer.
[00:17:23.840 --> 00:17:23.840]   You've done for over 20 years, and you're a great writer.
[00:17:23.840 --> 00:17:23.840]   You've done for over 20 years, and you're a great writer.
[00:17:23.840 --> 00:17:23.840]   You've done for over 20 years, and you're a great writer.
[00:17:23.840 --> 00:17:23.840]   You've done for over 20 years, and you're a great writer.
[00:17:23.840 --> 00:17:23.840]   You've done for over 20 years, and you're a great writer.
[00:17:23.840 --> 00:17:23.840]   You've done for over 20 years, and you're a great writer.
[00:17:23.840 --> 00:17:23.840]   You've done for over 20 years, and you're a great writer.
[00:17:23.860 --> 00:17:53.860]   You've done for over 20 years, and you're a great writer.
[00:17:53.860 --> 00:17:53.860]   You've done for over 20 years, and you're a great writer.
[00:17:53.860 --> 00:17:53.860]   You've done for over 20 years, and you're a great writer.
[00:17:53.860 --> 00:17:53.860]   You've done for over 20 years, and you're a great writer.
[00:17:53.860 --> 00:17:53.860]   You've done for over 20 years, and you're a great writer.
[00:17:53.860 --> 00:17:53.860]   You've done for over 20 years, and you're a great writer.
[00:17:53.860 --> 00:17:53.860]   You've done for over 20 years, and you're a great writer.
[00:17:53.860 --> 00:17:53.860]   You've done for over 20 years, and you're a great writer.
[00:17:53.860 --> 00:17:53.860]   You've done for over 20 years, and you're a great writer.
[00:17:53.860 --> 00:17:53.860]   You've done for over 20 years, and you're a great writer.
[00:17:53.860 --> 00:17:53.860]   You've done for over 20 years, and you're a great writer.
[00:17:53.860 --> 00:17:53.860]   You've done for over 20 years, and you're a great writer.
[00:17:53.880 --> 00:18:23.880]   You've done for over 20 years, and you're a great writer.
[00:18:23.880 --> 00:18:23.880]   You've done for over 20 years, and you're a great writer.
[00:18:23.880 --> 00:18:23.880]   You've done for over 20 years, and you're a great writer.
[00:18:23.880 --> 00:18:23.880]   You've done for over 20 years, and you're a great writer.
[00:18:23.880 --> 00:18:23.880]   You've done for over 20 years, and you're a great writer.
[00:18:23.880 --> 00:18:23.880]   You've done for over 20 years, and you're a great writer.
[00:18:23.880 --> 00:18:23.880]   You've done for over 20 years, and you're a great writer.
[00:18:23.880 --> 00:18:23.880]   You've done for over 20 years, and you're a great writer.
[00:18:23.880 --> 00:18:23.880]   You've done for over 20 years, and you're a great writer.
[00:18:23.880 --> 00:18:23.880]   You've done for over 20 years, and you're a great writer.
[00:18:23.880 --> 00:18:23.880]   You've done for over 20 years, and you're a great writer. You've done for over 20 years, and you're a great writer.
[00:18:23.900 --> 00:18:53.900]   You've done for over 20 years, and you're a great writer.
[00:18:53.900 --> 00:18:53.900]   You've done for over 20 years, and you're a great writer.
[00:18:53.900 --> 00:18:53.900]   You've done for over 20 years, and you're a great writer.
[00:18:53.900 --> 00:18:53.900]   You've done for over 20 years, and you're a great writer.
[00:18:53.900 --> 00:18:53.900]   You've done for over 20 years, and you're a great writer.
[00:18:53.900 --> 00:18:53.900]   You've done for over 20 years, and you're a great writer.
[00:18:53.900 --> 00:18:53.900]   You've done for over 20 years, and you're a great writer.
[00:18:53.900 --> 00:18:53.900]   You've done for over 20 years, and you're a great writer.
[00:18:53.900 --> 00:18:53.900]   You've done for over 20 years, and you're a great writer.
[00:18:53.900 --> 00:18:53.900]   You've done for over 20 years, and you're a great writer.
[00:18:53.900 --> 00:18:53.900]   You've done for over 20 years, and you're a great writer. You've done for over 20 years, and you're a great writer.
[00:18:53.940 --> 00:19:23.920]  ,
[00:19:23.920 --> 00:19:23.920]   You've done for over 20 years, and you're a great writer.
[00:19:23.920 --> 00:19:23.920]   You've done for over 20 years, and you're a great writer.
[00:19:23.920 --> 00:19:23.920]   You've done for over 20 years, and you're a great writer.
[00:19:23.920 --> 00:19:23.920]   You've done for over 20 years, and you're a great writer.
[00:19:23.920 --> 00:19:23.920]   You've done for over 20 years, and you're a great writer.
[00:19:23.920 --> 00:19:23.920]   You've done for over 20 years, and you're a great writer.
[00:19:23.920 --> 00:19:23.920]   You've done for over 20 years, and you're a great writer.
[00:19:23.920 --> 00:19:23.920]   You've done for over 20 years, and you're a great writer.
[00:19:23.940 --> 00:19:53.940]   You've done for over 20 years, and you're a great writer.
[00:19:53.940 --> 00:19:53.940]   You've done for over 20 years, and you're a great writer.
[00:19:53.940 --> 00:19:53.940]   You've done for over 20 years, and you're a great writer.
[00:19:53.940 --> 00:19:53.940]   You've done for over 20 years, and you're a great writer.
[00:19:53.940 --> 00:19:53.940]   You've done for over 20 years, and you're a great writer.
[00:19:53.940 --> 00:19:53.940]   You've done for over 20 years, and you're a great writer.
[00:19:53.940 --> 00:19:53.940]   You've done for over 20 years, and you're a great writer.
[00:19:53.940 --> 00:19:53.940]   You've done for over 20 years, and you're a great writer.
[00:19:53.940 --> 00:19:53.940]   You've done for over 20 years, and you're a great writer.
[00:19:53.940 --> 00:19:53.940]   You've done for over 20 years, and you're a great writer.
[00:19:53.940 --> 00:19:53.940]   You've done for over 20 years, and you're a great writer.
[00:19:53.940 --> 00:19:53.940]   You've done for over 20 years, and you're a great writer.
[00:19:53.960 --> 00:20:23.960]  , and you're a great writer.
[00:20:23.960 --> 00:20:23.960]   You've done for over 20 years, and you're a great writer.
[00:20:23.960 --> 00:20:23.960]   You've done for over 20 years, and you're a great writer.
[00:20:23.960 --> 00:20:23.960]   You've done for over 20 years, and you're a great writer.
[00:20:23.960 --> 00:20:23.960]   You've done for over 20 years, and you're a great writer.
[00:20:23.960 --> 00:20:23.960]   You've done for over 20 years, and you're a great writer.
[00:20:23.960 --> 00:20:23.960]   You've done for over 20 years, and you're a great writer.
[00:20:23.960 --> 00:20:23.960]   You've done for over 20 years, and you're a great writer.
[00:20:23.960 --> 00:20:23.960]   You've done for over 20 years, and you're a great writer.
[00:20:24.000 --> 00:20:53.980]   a great writer.
[00:20:53.980 --> 00:20:53.980]   You've done for over 20 years, and you're a great writer.
[00:20:53.980 --> 00:20:53.980]   You've done for over 20 years, and you're a great writer.
[00:20:53.980 --> 00:20:53.980]   You've done for over 20 years, and you're a great writer.
[00:20:53.980 --> 00:20:53.980]   You've done for over 20 years, and you're a great writer.
[00:20:53.980 --> 00:20:53.980]   You've done for over 20 years, and you're a great writer.
[00:20:53.980 --> 00:20:53.980]   You've done for over 20 years, and you're a great writer.
[00:20:53.980 --> 00:20:53.980]   You've done for over 20 years, and you're a great writer.
[00:20:53.980 --> 00:20:53.980]   You've done for over 20 years, and you're a great writer.
[00:20:53.980 --> 00:20:53.980]   You've done for over 20 years, and you're a great writer.
[00:20:53.980 --> 00:20:53.980]   you've done for over 20 years, and you're a great writer.
[00:20:53.980 --> 00:20:54.000]   I'm not a Supreme Court. I'm the Supreme Court.
[00:20:54.040 --> 00:21:22.240]   add
[00:23:20.340 --> 00:23:50.300]   "You should be able to entertain all kinds of hateful threatening ideas and the way I put it is there's something wrong when you can say something with complete abandon without any fear in Harvard Square."
[00:24:19.380 --> 00:24:49.360]   king
[00:25:19.380 --> 00:25:19.380]   The
[00:26:19.420 --> 00:26:19.420]   and
[00:26:19.420 --> 00:26:19.420]   and and and and and and and and and and and and and and and and and and and
[00:26:19.420 --> 00:26:19.420]   number two they are inimical to the the teaching enterprise and and um they feel that their job is to control things to make sure there are no problems
[00:26:19.420 --> 00:26:19.420]   number two they are inimical to the the the teaching enterprise and and um they feel that their job is to control things to make sure there are no problems
[00:26:19.420 --> 00:26:19.420]   number two they are inimical to the the the teaching enterprise and and um they feel that their job is to control things to make sure there are no problems
[00:26:19.420 --> 00:26:19.420]   number two they are inimical to the the the the teaching enterprise and and um they feel that their job is to control things to make sure there are no problems
[00:26:19.420 --> 00:26:19.420]   number two they are inimical to the the the the teaching enterprise and and um they feel that their job is to control things to make sure there are no problems
[00:26:49.440 --> 00:26:49.440]   um
[00:27:19.460 --> 00:27:19.460]   um
[00:27:19.460 --> 00:27:47.520]   um um um um um um um um um um um um um um um um um um um um um um um um um um um um um um um um um um um um um um um um um um um um um um um um um um um um um um um um um um um um um um um um um um um um um um um um um um um um um um um um um um um um um um um um um um um um um um um um um um um um um um um um um um um um um um um um um um um um um um um um um um um um um i do graduate eventually- the mission of the university to prepare you to make you into a great human being and a great leader that can take on the problems of the world. And you don't do it by treating you like a little flower.
[00:27:47.560 --> 00:28:17.540]  ,
[00:28:17.540 --> 00:28:17.540]   I think it's a sense I want to know who doesn't like me
[00:28:17.540 --> 00:28:17.540]   I think it's a sense I want to know who doesn't like me
[00:28:17.540 --> 00:28:17.540]   I think it's a sense I want to know who doesn't like me
[00:28:17.540 --> 00:28:17.540]   I think it's a sense I want to know who doesn't like me
[00:28:17.540 --> 00:28:17.540]   I think it's a sense I want to know who doesn't like me
[00:28:17.540 --> 00:28:17.540]   I think it's a sense I want to know who doesn't like me
[00:28:17.540 --> 00:28:17.540]   I think it's a sense I want to know who doesn't like me
[00:28:17.560 --> 00:28:47.560]   I think it's a sense I want to know who doesn't like me
[00:28:47.560 --> 00:28:47.560]   I think it's a sense I want to know who doesn't like me
[00:28:47.560 --> 00:28:47.560]   I think it's a sense I want to know who doesn't like me
[00:28:47.560 --> 00:28:47.560]   I think it's a sense I want to know who doesn't like me
[00:28:47.560 --> 00:28:47.560]   I think it's a sense I want to know who doesn't like me
[00:28:47.560 --> 00:28:47.560]   I think it's a sense I want to know who doesn't like me
[00:28:47.560 --> 00:28:47.560]   I think it's a sense I want to know who doesn't like me
[00:28:47.560 --> 00:28:47.560]   I think it's a sense I want to know who doesn't like me
[00:28:47.560 --> 00:28:47.560]   I think it's a sense I want to know who doesn't like me
[00:28:47.560 --> 00:28:47.560]   I think it's a sense I want to know who doesn't like me
[00:28:47.560 --> 00:28:47.560]   I think it's a sense I want to know who doesn't like me
[00:28:47.560 --> 00:28:47.560]   I think it's a sense I want to know who doesn't like me
[00:28:47.580 --> 00:29:17.580]   I think it's a sense I want to know who doesn't like me
[00:29:17.580 --> 00:29:17.580]   I think it's a sense I want to know who doesn't like me
[00:29:17.580 --> 00:29:17.580]   I think it's a sense I want to know who doesn't like me
[00:29:17.580 --> 00:29:17.580]   I think it's a sense I want to know who doesn't like me
[00:29:17.580 --> 00:29:17.580]   I think it's a sense I want to know who doesn't like me
[00:29:17.580 --> 00:29:17.580]   I think it's a sense I want to know who doesn't like me
[00:29:17.580 --> 00:29:17.580]   I think it's a sense I want to know who doesn't like me
[00:29:17.580 --> 00:29:17.580]   I think it's a sense I want to know who doesn't like me
[00:29:17.580 --> 00:29:17.580]   I think it's a sense I want to know who doesn't like me
[00:29:17.580 --> 00:29:17.580]   I think it's a sense I want to know who doesn't like me
[00:29:17.580 --> 00:29:17.580]   I think it's a sense I want to know who doesn't like me
[00:29:17.580 --> 00:29:17.580]   I think it's a sense I want to know who doesn't like me who doesn't like me
[00:29:17.620 --> 00:29:24.060]   don
[00:29:24.060 --> 00:29:28.020]   do at
[00:29:28.020 --> 00:29:31.840]   Если 12 연습, ,,,, it's a new gate. It's a new thing, and, how,,,,,,,,,.
[00:29:31.840 --> 00:29:45.720]   instincts
[00:29:47.640 --> 00:29:59.000]  ại
[00:29:59.000 --> 00:30:16.420]   which as only semanas
[00:30:16.420 --> 00:30:16.660]   de the 35 and the at the expensive minimal aleyson, the, the, the, the, the, the, the, the, the, the, the, the, the, ma, of, upload, en,. Let, manage, pigeon. It's. Little. minimize. Recovery. inconven. crazy. going. sale. Ск.... pick. Спасибо. du ederim. suppose. file. that's its working.entes. mo contain. gained. minus alio. podcast. Star. kitten. discuss a reason. L辦法.
[00:30:16.660 --> 00:30:17.620]   to push Ochges and a
[00:30:17.680 --> 00:30:22.540]   end
[00:30:22.540 --> 00:30:42.140]   over, " in like manages
[00:31:15.780 --> 00:31:44.820]   the role of the administration in
[00:31:44.820 --> 00:31:44.820]   protecting free speech. What often happens, I think you have written about this, is there is going to be a few, maybe a small number of hypersensitive students and faculty that protest. So, how does the Harvard administration
[00:31:44.820 --> 00:31:44.820]   So, how does the Harvard administration
[00:31:44.820 --> 00:31:44.820]   So, how does the Harvard administration
[00:31:44.820 --> 00:31:44.820]   So, how does the Harvard administration
[00:31:44.820 --> 00:31:44.820]   So, how does the Harvard administration
[00:31:44.820 --> 00:31:44.820]   So, how does the Harvard administration
[00:31:44.820 --> 00:31:44.820]   So, how does the Harvard administration
[00:31:44.820 --> 00:31:44.820]   So, how does the Harvard administration
[00:31:44.820 --> 00:31:44.820]   So, how does the Harvard administration
[00:31:44.820 --> 00:31:44.820]   So, how does the Harvard administration
[00:31:44.820 --> 00:31:44.820]   So, how does the Harvard administration protect
[00:31:44.820 --> 00:31:44.820]   So, how does the Harvard administration protect the free speech?
[00:31:44.820 --> 00:31:44.920]   protect the free speech?
[00:31:44.920 --> 00:32:14.160]   in protecting even hate speech.
[00:32:14.260 --> 00:32:43.420]   in protecting even hate speech.
[00:32:43.420 --> 00:32:43.460]   in protecting even hate speech. So, I think that's the most important thing.
