
[00:00:00.000 --> 00:00:04.320]   Thank you, Sammy.
[00:01:55.440 --> 00:02:00.200]   to represent very flexible forms like non-parametric methods,
[00:02:00.200 --> 00:02:02.360]   classical non-parametric methods or SVMs.
[00:02:02.360 --> 00:02:08.400]   But they're gonna be missing 0.4 and
[00:02:08.400 --> 00:02:10.840]   potentially 0.5 depending on the methods.
[00:02:10.840 --> 00:02:16.920]   0.3 of course, you need enough computing power to train and
[00:02:16.920 --> 00:02:19.000]   use these big models.
[00:02:19.000 --> 00:02:24.280]   And 0.5 just says that it's not enough to be able to train the model,
[00:02:24.280 --> 00:02:28.840]   you have to be able to use it in a reasonably efficient way from a computational
[00:02:28.840 --> 00:02:29.840]   perspective.
[00:02:29.840 --> 00:02:34.080]   This is not always the case with some probabilistic models where inference,
[00:02:34.080 --> 00:02:37.920]   in other words, answering questions, having the computer do something,
[00:02:37.920 --> 00:02:41.440]   can be intractable and then you need to do some approximations,
[00:02:41.440 --> 00:02:44.080]   which could be efficient or not.
[00:02:44.080 --> 00:02:47.160]   Now, the point I really want to talk about is the fourth one,
[00:02:47.160 --> 00:02:51.440]   how do we defeat the curse of dimensionality?
[00:02:51.440 --> 00:02:54.520]   In other words, if you don't assume much about the world,
[00:02:54.520 --> 00:02:58.520]   it's actually impossible to learn about it.
[00:02:58.520 --> 00:03:06.120]   And so I'm gonna tell you a bit about the assumptions
[00:03:06.120 --> 00:03:10.480]   that are behind a lot of deep learning algorithms which make it possible to
[00:03:10.480 --> 00:03:14.360]   work as well as we are seeing in practice in the last few years.
[00:03:14.360 --> 00:03:19.480]   Hmm, something wrong?
[00:03:19.480 --> 00:03:26.480]   Microsoft bug.
[00:03:26.480 --> 00:03:30.800]   >> [LAUGH] >> Okay,
[00:03:30.800 --> 00:03:34.200]   so how do we bypass the curse of dimensionality?
[00:03:34.200 --> 00:03:39.920]   The curse of dimensionality is about the exponentially large number of
[00:03:39.920 --> 00:03:44.120]   configurations of the space variables that we want to model.
[00:03:44.120 --> 00:03:48.800]   The number of values that all of the variables that we observe can take
[00:03:48.800 --> 00:03:55.520]   is gonna be exponentially large in general because there's a compositional nature.
[00:03:55.520 --> 00:03:58.360]   If each pixel can take two values and you got a million pixels,
[00:03:58.360 --> 00:04:01.240]   then you got two to one million number of possible images.
[00:04:01.240 --> 00:04:07.440]   So the only way to beat an exponential is to use another exponential.
[00:04:07.440 --> 00:04:11.800]   So we need to make our models compositional.
[00:04:11.800 --> 00:04:16.680]   We need to build our models in such a way that they can represent
[00:04:16.680 --> 00:04:18.680]   functions that look very complicated.
[00:04:18.680 --> 00:04:26.440]   But yet, these models need to have a reasonably small number of parameters.
[00:04:26.440 --> 00:04:30.240]   Reasonably small in the sense that compared to the number of
[00:04:30.240 --> 00:04:34.080]   configurations of the variables, the number of parameters should be small.
[00:04:34.080 --> 00:04:40.720]   And we can achieve that by composing little pieces together,
[00:04:40.720 --> 00:04:45.600]   composing layers together, composing units on the same layer together.
[00:04:45.600 --> 00:04:48.000]   And that's essentially what's happening with deep learning.
[00:04:48.000 --> 00:04:50.840]   So you actually have two kinds of compositions.
[00:04:50.840 --> 00:04:54.080]   There's the compositions happening on the same layer.
[00:04:54.080 --> 00:04:57.480]   This is the idea of distributed representations,
[00:04:57.480 --> 00:05:00.120]   which I'm gonna try to explain a bit more.
[00:05:00.120 --> 00:05:04.360]   This is what you get when you learn embeddings for words or for images,
[00:05:04.360 --> 00:05:06.400]   representations in general.
[00:05:06.400 --> 00:05:10.080]   And then there's the idea of having multiple levels of representation.
[00:05:10.080 --> 00:05:12.840]   That's the notion of depth.
[00:05:12.840 --> 00:05:16.560]   And there, there is another kind of composition that takes place,
[00:05:16.560 --> 00:05:19.720]   whereas the first one is a kind of parallel composition.
[00:05:19.720 --> 00:05:23.080]   I can choose the values of my different units separately, and
[00:05:23.080 --> 00:05:27.120]   then they together represent an exponentially large number of possible
[00:05:27.120 --> 00:05:28.760]   configurations.
[00:05:28.760 --> 00:05:32.240]   In the second case, there's a sequential composition where I take the output of
[00:05:32.240 --> 00:05:36.840]   one level and I combine them in new ways to build features for
[00:05:36.840 --> 00:05:38.240]   the next level and so on and so on.
[00:05:39.960 --> 00:05:45.800]   So the reason deep learning is working
[00:05:45.800 --> 00:05:53.040]   is because the world around us is better modeled by making these assumptions.
[00:05:53.040 --> 00:05:55.920]   It's not necessarily true that deep learning is gonna work for
[00:05:55.920 --> 00:05:57.440]   any machine learning problem.
[00:05:57.440 --> 00:06:01.000]   In fact, if we consider the set of all possible distributions that we would like
[00:06:01.000 --> 00:06:06.120]   to work from, deep learning is no better than any other.
[00:06:06.120 --> 00:06:09.880]   And that's basically what the no free lunch theorem is saying.
[00:06:09.880 --> 00:06:14.040]   It's because we are incredibly lucky that we live in this world,
[00:06:14.040 --> 00:06:18.560]   which can be described by using composition, that these algorithms are working so well.
[00:06:18.560 --> 00:06:23.160]   This is important to really understand this.
[00:06:23.160 --> 00:06:31.720]   So before I go a bit more into distributed representations,
[00:06:31.720 --> 00:06:34.000]   let me say a few words about non-distributed representations.
[00:06:34.000 --> 00:06:38.360]   So if you're thinking about things like clustering, N-grams for
[00:06:38.360 --> 00:06:45.120]   language modeling, classical nearest neighbors, SVMs with Gaussian kernels,
[00:06:45.120 --> 00:06:52.280]   classical non-parametric models with local kernels, decision trees,
[00:06:52.280 --> 00:06:57.960]   all these things, the way these algorithms really work is actually pretty
[00:06:57.960 --> 00:07:03.160]   straightforward if you cut the crap and hide the math and
[00:07:03.160 --> 00:07:05.040]   try to understand what is going on.
[00:07:05.040 --> 00:07:10.360]   They look at the data in the data space and
[00:07:10.360 --> 00:07:12.960]   they break that space into regions.
[00:07:12.960 --> 00:07:17.080]   And they're gonna use different free parameters for
[00:07:17.080 --> 00:07:20.240]   each of those regions to figure out what the right answer should be.
[00:07:20.240 --> 00:07:21.920]   The right answer, it doesn't have to be supervised learning.
[00:07:21.920 --> 00:07:23.600]   Even in unsupervised learning, there's a right answer.
[00:07:23.600 --> 00:07:25.200]   It might be the density or something like that.
[00:07:25.200 --> 00:07:31.360]   Okay, and you might think that that's the only way of solving a problem.
[00:07:31.360 --> 00:07:36.160]   We consider all of the cases and we have an answer for each of the cases.
[00:07:36.160 --> 00:07:39.160]   And we can maybe interpolate between those cases that we've seen.
[00:07:39.160 --> 00:07:46.520]   The problem with this is somebody comes up with a new example which isn't
[00:07:46.520 --> 00:07:51.520]   in between two of the examples we've seen, something that requires us to extrapolate.
[00:07:51.520 --> 00:07:54.320]   Something that's a non-trivial generalization.
[00:07:54.320 --> 00:07:56.200]   And these algorithms just fail.
[00:07:56.200 --> 00:07:58.320]   They don't really have a recipe for
[00:07:58.360 --> 00:08:02.240]   saying something meaningful away from the training examples.
[00:08:02.240 --> 00:08:07.000]   There's another interesting thing to note here,
[00:08:07.000 --> 00:08:10.400]   which I would like you to keep in mind before I show the next slide,
[00:08:10.400 --> 00:08:16.880]   which is in red here, which is we can do a kind of simple counting
[00:08:16.880 --> 00:08:21.480]   to relate the number of parameters, the number of free parameters that can be
[00:08:21.480 --> 00:08:27.640]   learning, and the number of regions in the data space that we can distinguish.
[00:08:28.440 --> 00:08:33.440]   So here, we basically have a linear relationship between these two things.
[00:08:33.440 --> 00:08:38.960]   So for each region, I'm gonna need at least something like some kind of
[00:08:38.960 --> 00:08:42.120]   center for the region, and maybe if I need to output something,
[00:08:42.120 --> 00:08:48.040]   I'll need an extra set of parameters to tell me what the answer should be in that area.
[00:08:48.040 --> 00:08:51.640]   So the number of parameters grows linearly with the number of regions
[00:08:51.640 --> 00:08:54.240]   that I'm gonna be able to distinguish.
[00:08:55.480 --> 00:08:58.320]   The good news is I can have any kind of function, right?
[00:08:58.320 --> 00:09:00.520]   So I can break up the space in any way I want, and
[00:09:00.520 --> 00:09:03.800]   then for each of those regions, I can have any kind of output that I need.
[00:09:03.800 --> 00:09:10.840]   So for decision trees, the regions would be splitting across axes and so on, and
[00:09:10.840 --> 00:09:14.560]   for, this is more like for nearest neighbor or something like that.
[00:09:14.560 --> 00:09:20.920]   Now, what's going on?
[00:09:20.920 --> 00:09:21.600]   Ah, another bug.
[00:09:21.600 --> 00:09:24.840]   >> [LAUGH] >> I don't think I will send.
[00:09:24.840 --> 00:09:29.440]   >> [LAUGH]
[00:09:29.440 --> 00:09:31.720]   >> Let's hope it works this time.
[00:09:31.720 --> 00:09:37.040]   I have another option.
[00:09:37.040 --> 00:09:47.960]   Sorry about this.
[00:09:47.960 --> 00:09:53.320]   Okay, so here's the point of view of distributed
[00:09:53.320 --> 00:10:00.520]   representations for solving the same general machine learning problem.
[00:10:00.520 --> 00:10:03.800]   We have a data space and we wanna break it down, but
[00:10:03.800 --> 00:10:07.680]   we're gonna break it down in a way that's not general.
[00:10:07.680 --> 00:10:12.840]   We're gonna break it down in a way that makes assumptions about the data, but
[00:10:12.840 --> 00:10:17.800]   it's gonna be compositional and it's going to allow us to be exponentially more efficient.
[00:10:17.800 --> 00:10:19.360]   So how are we gonna do this?
[00:10:19.360 --> 00:10:24.160]   So in the picture on the right, what you see is a way to break
[00:10:24.160 --> 00:10:27.960]   the input space by the intersection of half planes.
[00:10:27.960 --> 00:10:31.920]   And this is the kind of thing you would have with what happens at the first layer
[00:10:31.920 --> 00:10:33.360]   of a neural net.
[00:10:33.360 --> 00:10:37.240]   So here, imagine the input is two dimensional, so I can plot it here, and
[00:10:37.240 --> 00:10:41.960]   I have three binary hidden units, C1, C2, C3.
[00:10:41.960 --> 00:10:47.800]   So because they're binary, you can think of them as little binary classifiers.
[00:10:47.800 --> 00:10:50.880]   And because it's only a one layer net,
[00:10:50.880 --> 00:10:55.040]   you can think of what they're doing as a linear classification.
[00:10:55.040 --> 00:11:01.000]   And so those colored hyperplanes here are the decision surfaces for each of them.
[00:11:01.000 --> 00:11:06.320]   Now, these three bits, they can take eight values, right,
[00:11:06.320 --> 00:11:10.160]   corresponding to whether each of them is on or off.
[00:11:10.160 --> 00:11:14.320]   And those different configurations of those bits correspond to
[00:11:14.320 --> 00:11:19.920]   actually seven regions here, because there's one of the eight regions which
[00:11:19.920 --> 00:11:20.680]   is not feasible.
[00:11:20.680 --> 00:11:27.520]   So now you see that we are defining a number of regions which is corresponding
[00:11:27.520 --> 00:11:31.160]   to all of the possible intersections of the corresponding half planes.
[00:11:31.160 --> 00:11:37.920]   And now we can play the game of how many regions do we get for
[00:11:37.920 --> 00:11:39.240]   how many parameters?
[00:11:39.240 --> 00:11:43.920]   And what we see is that if we played the game of growing the number of
[00:11:43.920 --> 00:11:50.000]   dimensions, of features, and also of inputs, we can get an exponentially large
[00:11:50.000 --> 00:11:52.600]   number of regions, which are all of these intersections, right?
[00:11:52.600 --> 00:11:55.080]   There's an exponential number of these intersections
[00:11:55.080 --> 00:11:59.640]   corresponding to different binary configurations.
[00:11:59.640 --> 00:12:02.800]   Yet the number of parameters grows linearly with the number of units.
[00:12:02.800 --> 00:12:07.040]   So it looks like we're able to express a function.
[00:12:07.040 --> 00:12:09.880]   And then on top of that, I could imagine you have a linear classifier, right?
[00:12:09.880 --> 00:12:13.360]   That's the one hidden layer neural net.
[00:12:13.360 --> 00:12:20.880]   So the number of parameters grows just linearly with the number of features.
[00:12:20.880 --> 00:12:23.960]   But the number of regions that the network can really provide a different
[00:12:23.960 --> 00:12:25.960]   answer to grows exponentially.
[00:12:25.960 --> 00:12:31.000]   So this is very cool.
[00:12:31.000 --> 00:12:36.080]   And the reason it's very cool is that it allows those neural nets to generalize.
[00:12:36.080 --> 00:12:40.760]   Because while we're learning about each of those features,
[00:12:40.760 --> 00:12:47.840]   we can generalize to regions we've never seen because we've learned enough
[00:12:47.840 --> 00:12:50.360]   about each of those features separately.
[00:12:50.360 --> 00:12:52.680]   I'm going to give you an example of this in a couple of slides.
[00:12:52.680 --> 00:12:57.560]   Actually, let's do it first.
[00:12:57.560 --> 00:13:04.080]   So think about those features, let's say the input is an image of a person.
[00:13:04.080 --> 00:13:07.160]   And think of those features as things like,
[00:13:07.160 --> 00:13:11.240]   I have a detector that says that the person wears glasses.
[00:13:11.240 --> 00:13:16.800]   And I have another unit that's detecting that the person is a female or male.
[00:13:16.800 --> 00:13:20.080]   And I have another unit that detects that the person is a child or not.
[00:13:20.080 --> 00:13:23.120]   And you can imagine hundreds or thousands of these things, of course.
[00:13:23.120 --> 00:13:32.240]   So the good news is you could imagine learning about each of these
[00:13:34.000 --> 00:13:37.920]   feature detectors, these little classifiers, separately.
[00:13:37.920 --> 00:13:40.200]   In fact, you could do better than that.
[00:13:40.200 --> 00:13:44.520]   You could share intermediate layers between the input and those features.
[00:13:44.520 --> 00:13:48.840]   But let's take even the worst case and imagine we were to train those separately,
[00:13:48.840 --> 00:13:51.800]   which is the case in the linear model that I showed before.
[00:13:51.800 --> 00:13:55.600]   We have a separate set of parameters for each of these detectors.
[00:13:55.600 --> 00:14:01.680]   So if I have n features, each of them, say, needs order of k parameters.
[00:14:01.680 --> 00:14:07.240]   Then I need order of nk parameters, and I need order of nk examples.
[00:14:07.240 --> 00:14:11.480]   And one thing you should know from machine learning theory is that
[00:14:11.480 --> 00:14:18.880]   if you have order of p parameters,
[00:14:18.880 --> 00:14:23.120]   you need order of p examples to do a reasonable job of generalizing.
[00:14:23.120 --> 00:14:26.960]   You can get around that by regularizing and
[00:14:26.960 --> 00:14:28.520]   effectively having less degrees of freedom.
[00:14:28.880 --> 00:14:33.240]   But to keep things simple, you need about the same number of examples, or
[00:14:33.240 --> 00:14:34.640]   maybe say 100 times more or
[00:14:34.640 --> 00:14:38.240]   10 times more, as the number of really free parameters.
[00:14:38.240 --> 00:14:47.680]   So now the relationship between the number of regions that I can represent and
[00:14:47.680 --> 00:14:52.560]   the number of examples I need is quite nice because the number of regions is
[00:14:52.560 --> 00:14:55.960]   going to be two to the number of features of these binary features.
[00:14:57.040 --> 00:15:01.240]   So a person could wear glasses or not, be a female or a male, a child or not, and
[00:15:01.240 --> 00:15:03.120]   I could have 100 of these things.
[00:15:03.120 --> 00:15:08.000]   And I could probably recognize reasonably well all of these 2 to
[00:15:08.000 --> 00:15:10.440]   the 100 configurations of people,
[00:15:10.440 --> 00:15:15.840]   even though I've obviously not seen all of those 2 to 100 configurations.
[00:15:15.840 --> 00:15:18.120]   Why is it that I'm able to do that?
[00:15:18.120 --> 00:15:22.280]   I'm able to do that because the models can learn about each of these binary
[00:15:22.280 --> 00:15:26.160]   features kind of independently in the sense that I don't need to see
[00:15:26.160 --> 00:15:32.640]   every possible configuration of the other features to know about wearing glasses.
[00:15:32.640 --> 00:15:37.680]   I can learn about wearing glasses even though I've never seen
[00:15:37.680 --> 00:15:45.400]   somebody who was a female and a child and chubby and had yellow shoes.
[00:15:45.400 --> 00:15:49.920]   And I have seen enough examples of people wearing glasses,
[00:15:49.920 --> 00:15:51.800]   I can learn about wearing glasses in general.
[00:15:52.600 --> 00:15:55.200]   I don't need to see all of the configurations of the other features to
[00:15:55.200 --> 00:15:56.160]   learn about one feature.
[00:15:56.160 --> 00:15:58.520]   Okay?
[00:15:58.520 --> 00:16:03.600]   And so this is really why this thing works,
[00:16:03.600 --> 00:16:08.240]   is because we're making assumptions about the data
[00:16:08.240 --> 00:16:11.400]   that those features are meaningful by themselves.
[00:16:11.400 --> 00:16:15.960]   And you don't need to actually have data for each of the regions,
[00:16:15.960 --> 00:16:18.160]   the exponential number of regions, in order to learn
[00:16:20.520 --> 00:16:26.240]   the proper way of detecting or of discovering these intermediate features.
[00:16:26.240 --> 00:16:30.760]   Let me add something here.
[00:16:30.760 --> 00:16:34.960]   There were some experiments recently actually showing that
[00:16:34.960 --> 00:16:37.920]   this kind of thing is really happening.
[00:16:37.920 --> 00:16:46.040]   Because the features I was talking about, not only I'm assuming that they exist,
[00:16:46.040 --> 00:16:50.880]   but the optimization methods, the training procedures discover them.
[00:16:50.880 --> 00:16:51.640]   They can learn them.
[00:16:51.640 --> 00:17:00.800]   And this is an experiment that's been done in Antonio Toralba's lab at MIT,
[00:17:00.800 --> 00:17:06.880]   where they trained a usual ConvNet to recognize places.
[00:17:06.880 --> 00:17:10.880]   So the outputs of the net are just the types of places,
[00:17:10.880 --> 00:17:15.120]   like is this a beach scene or an office scene or a street scene and so on?
[00:17:15.120 --> 00:17:20.480]   But then the thing they've done is they asked people to analyze the hidden units
[00:17:20.480 --> 00:17:22.600]   to try to figure out what each hidden unit was doing.
[00:17:22.600 --> 00:17:27.040]   And they found that there's a large proportion of units that humans can find
[00:17:27.040 --> 00:17:29.800]   a pretty obvious interpretation for what those units like.
[00:17:29.800 --> 00:17:37.080]   So they see a bunch of units which like people or
[00:17:37.080 --> 00:17:41.320]   different kinds of people or animals or buildings or seatings or tables,
[00:17:41.320 --> 00:17:42.600]   lighting and so on.
[00:17:42.600 --> 00:17:48.720]   So it's like if indeed those neural nets are discovering semantic features.
[00:17:48.720 --> 00:17:53.440]   They're semantic because actually people give them names as the intermediate
[00:17:53.440 --> 00:17:57.640]   features in order to reach the final goal of here, classifying scenes.
[00:17:57.640 --> 00:18:03.320]   And the reason they're generalizing is because now you can combine those
[00:18:03.320 --> 00:18:05.560]   features in an exponentially large number of ways.
[00:18:05.560 --> 00:18:10.960]   You could have a scene that has a table, a different kind of lighting,
[00:18:10.960 --> 00:18:13.960]   some people, maybe a pet.
[00:18:13.960 --> 00:18:19.160]   And you can say something meaningful about the combinations of these things.
[00:18:19.160 --> 00:18:24.040]   Because the network is able to learn all of these features without having to
[00:18:24.040 --> 00:18:26.160]   see all of the possible configurations of them.
[00:18:26.160 --> 00:18:30.480]   So I don't know if my explanation makes sense to you, but
[00:18:30.480 --> 00:18:32.520]   now's your chance to ask me a question.
[00:18:32.520 --> 00:18:37.840]   All clear?
[00:18:37.840 --> 00:18:39.480]   Usually it's not.
[00:18:40.480 --> 00:18:41.480]   Yeah?
[00:18:41.480 --> 00:18:46.520]   >> So with one decision piece you can kind of do this the same as well, right?
[00:18:46.520 --> 00:18:47.720]   >> With decision trees?
[00:18:47.720 --> 00:18:51.000]   >> If you have a set of decision trees.
[00:18:51.000 --> 00:18:52.840]   >> Right, to some extent.
[00:18:52.840 --> 00:18:57.640]   So the question is, can't we do the same thing with a set of decision trees?
[00:18:57.640 --> 00:19:02.520]   Yeah, in fact, this is one of the reasons why forests work better or
[00:19:02.520 --> 00:19:04.920]   bagged trees work better than single trees.
[00:19:04.920 --> 00:19:11.280]   Forests are actually, or bagged trees are one level deeper than a single trees.
[00:19:11.280 --> 00:19:20.640]   But they still don't have as much of a sort of distributed aspect as neural nets.
[00:19:20.640 --> 00:19:23.640]   And usually they're not trained jointly.
[00:19:23.640 --> 00:19:27.920]   I mean, boosted trees are, to some extent, in a greedy way.
[00:19:27.920 --> 00:19:31.240]   But yeah, any other question?
[00:19:31.240 --> 00:19:31.740]   Yeah?
[00:19:32.180 --> 00:19:35.580]   >> Do you find cases that are non-compositional?
[00:19:35.580 --> 00:19:37.220]   >> Cases where what?
[00:19:37.220 --> 00:19:40.060]   >> Do you find non-compositional cases?
[00:19:40.060 --> 00:19:41.260]   >> Non-conditional?
[00:19:41.260 --> 00:19:42.740]   >> Non-compositional.
[00:19:42.740 --> 00:19:43.580]   >> Non-computer vision.
[00:19:43.580 --> 00:19:45.940]   >> Non-compositional.
[00:19:45.940 --> 00:19:47.700]   >> Non-compositional.
[00:19:47.700 --> 00:19:48.700]   I don't understand the question.
[00:19:48.700 --> 00:19:49.980]   I mean, I don't understand what you mean.
[00:19:49.980 --> 00:19:51.100]   What do you mean non-compositional?
[00:19:51.100 --> 00:19:53.260]   >> You're talking about compositionality here.
[00:19:53.260 --> 00:19:55.780]   >> Yeah, it's everywhere around us.
[00:19:55.780 --> 00:19:59.420]   I don't think that there are examples of neural nets that really work well where
[00:19:59.420 --> 00:20:02.140]   the data doesn't have some kind of compositional structure in it.
[00:20:02.140 --> 00:20:05.380]   But if you come up with an example, I'd like to hear about it.
[00:20:05.380 --> 00:20:09.380]   Yes, yes?
[00:20:09.380 --> 00:20:12.340]   >> So in the language of rock models,
[00:20:12.340 --> 00:20:16.780]   do you mean that we're facing a model of this rock?
[00:20:16.780 --> 00:20:21.380]   And in the real world, we're trying to look for some independent,
[00:20:21.380 --> 00:20:26.020]   but we cannot get independent, but it starts somewhere with a very small square.
[00:20:26.020 --> 00:20:35.500]   >> To think about this issue in graphical model terms can be done.
[00:20:35.500 --> 00:20:39.540]   But you have to think about not feature detection,
[00:20:39.540 --> 00:20:45.500]   like I've been doing here, but about generating an image or something like that.
[00:20:45.500 --> 00:20:46.620]   Then it's easier to think about it.
[00:20:46.620 --> 00:20:51.260]   So the same kinds of things happen if you think about how I could generate an image.
[00:20:52.740 --> 00:20:56.820]   If you think about underlying factors like which objects, where they are,
[00:20:56.820 --> 00:21:01.340]   what's their identity, what's their size, these are all independent factors,
[00:21:01.340 --> 00:21:04.900]   which you compose together in funny ways.
[00:21:04.900 --> 00:21:07.580]   If you were to do a graphics engine, you can see exactly what those ways are.
[00:21:07.580 --> 00:21:14.500]   And it's much, much easier to represent that joint of distribution
[00:21:14.500 --> 00:21:19.060]   using this compositional structure than if you're trying to
[00:21:19.060 --> 00:21:23.620]   work directly in pixel space, which is normally what you would do with
[00:21:23.620 --> 00:21:27.100]   a classical non-parametric method, and it wouldn't work.
[00:21:27.100 --> 00:21:30.420]   But if you look at our best deep generative models now for images, for
[00:21:30.420 --> 00:21:37.140]   example, like GANs or VAEs, they're really, we're not there yet, but
[00:21:37.140 --> 00:21:41.340]   they're amazingly better than anything that people could dream of just a few years ago
[00:21:41.340 --> 00:21:42.180]   in machine learning.
[00:21:42.180 --> 00:21:48.540]   Okay, let me move on, because I have other things to talk about.
[00:21:49.540 --> 00:21:52.660]   So this is all kind of hand wavy, but
[00:21:52.660 --> 00:21:57.020]   some people have done some math around these ideas.
[00:21:57.020 --> 00:22:05.260]   And so for example, there's one result from two years ago,
[00:22:05.260 --> 00:22:10.380]   right here, where we studied the single layer case.
[00:22:10.380 --> 00:22:15.900]   And we consider a network with rectifiers,
[00:22:15.900 --> 00:22:20.860]   and we find that the network,
[00:22:20.860 --> 00:22:26.300]   of course, computes a piecewise linear function.
[00:22:26.300 --> 00:22:31.340]   And so one way to quantify the richness of the function that it can compute,
[00:22:31.340 --> 00:22:35.580]   I was talking about regions here, but well, you can do the same thing here.
[00:22:35.580 --> 00:22:41.900]   You can count how many pieces does this network have in its input to output function.
[00:22:43.020 --> 00:22:46.540]   And it turns out that it's exponential
[00:22:46.540 --> 00:22:54.820]   in the number of inputs, well, it's number of units to the power number of inputs.
[00:22:54.820 --> 00:22:59.740]   So that's for sort of distributed representation,
[00:22:59.740 --> 00:23:02.420]   there's an exponential kicking in.
[00:23:02.420 --> 00:23:05.420]   We also studied the depth aspect.
[00:23:05.420 --> 00:23:08.180]   So what you need to know about depth is that
[00:23:10.980 --> 00:23:15.140]   there's a lot of earlier theory that says that a single layer is sufficient
[00:23:15.140 --> 00:23:17.100]   to represent any function.
[00:23:17.100 --> 00:23:20.140]   However, that theory doesn't specify how many units you might need.
[00:23:20.140 --> 00:23:24.860]   And in fact, you might need an exponentially large number of units.
[00:23:24.860 --> 00:23:32.220]   So what several results show is that there are functions
[00:23:32.220 --> 00:23:38.700]   that can be represented very efficiently with few units, so few parameters.
[00:23:39.980 --> 00:23:41.980]   If you allow the network to be deep enough.
[00:23:41.980 --> 00:23:46.580]   So out of all the functions, again, it's a luckiness thing, right?
[00:23:46.580 --> 00:23:48.420]   Out of all the functions that exists,
[00:23:48.420 --> 00:23:52.100]   there's a very, very small fraction,
[00:23:52.100 --> 00:23:56.260]   which happened to be very easy to represent with a deep network.
[00:23:56.260 --> 00:24:02.860]   And if you try to represent these functions with a shallow network,
[00:24:02.860 --> 00:24:04.260]   you're screwed.
[00:24:04.260 --> 00:24:08.180]   You're gonna need an exponential number of parameters.
[00:24:08.180 --> 00:24:11.700]   And so you're gonna need an exponential number of examples to learn these things.
[00:24:11.700 --> 00:24:16.740]   But again, we're incredibly lucky that the function we want to learn
[00:24:16.740 --> 00:24:17.540]   have this property.
[00:24:17.540 --> 00:24:19.980]   But in a sense, it's not surprising.
[00:24:19.980 --> 00:24:23.180]   I mean, we use this kind of compositionality and depth everywhere.
[00:24:23.180 --> 00:24:26.860]   When we write a computer program, we just don't have a single main.
[00:24:26.860 --> 00:24:29.180]   We have functions and call functions.
[00:24:29.180 --> 00:24:34.940]   And we were able to show similar things as what I was telling you about for
[00:24:34.940 --> 00:24:40.300]   the single layer case, that as you increase depth for
[00:24:40.300 --> 00:24:46.100]   these deep ReLU networks, the number of pieces in the piecewise
[00:24:46.100 --> 00:24:48.300]   linear function grows exponentially with the depth.
[00:24:48.300 --> 00:24:53.340]   So it's already exponentially large with a single layer, but
[00:24:53.340 --> 00:24:58.340]   it gets exponentially even more with a deeper net.
[00:24:58.340 --> 00:25:03.620]   Okay, so this was a topic of representation of functions.
[00:25:03.620 --> 00:25:09.860]   Why deep learn, deep architectures can be very powerful if we're lucky,
[00:25:09.860 --> 00:25:10.820]   and we seem to be lucky.
[00:25:10.820 --> 00:25:21.060]   Another topic I wanna mention that's kind of very much in the foundations is
[00:25:21.060 --> 00:25:25.300]   how is it that we're able to train these neural nets in the first place?
[00:25:25.300 --> 00:25:31.540]   In the 90s, many people decided to not do any more research on neural nets,
[00:25:31.540 --> 00:25:35.980]   because there were theoretical results showing that there are really
[00:25:35.980 --> 00:25:43.660]   an exponentially large number of local minima in the training objective of a neural net.
[00:25:43.660 --> 00:25:49.820]   So in other words, the function we wanna learn has many of these holes,
[00:25:49.820 --> 00:25:54.340]   and if we start at a random place, well, what's the chance we're gonna find
[00:25:54.340 --> 00:25:56.940]   the best one, the one that corresponds to a good cost?
