
[00:00:00.940 --> 00:00:02.680]   - Well, welcome gentlemen.
[00:02:51.320 --> 00:02:56.320]   - One of the hats that Tom wears is that of Ranger Joe.
[00:02:56.320 --> 00:02:59.900]   - Yes, I should have brought my hat, sorry.
[00:02:59.900 --> 00:03:02.920]   - So if you want to catch--
[00:03:02.920 --> 00:03:03.760]   - Truly another hat.
[00:03:03.760 --> 00:03:04.720]   - Truly another hat.
[00:03:04.720 --> 00:03:08.580]   - Ranger Joe episodes, you can find them on Grace Media.
[00:03:08.580 --> 00:03:10.140]   - Yes, Grace Media app.
[00:03:10.140 --> 00:03:13.020]   - I've been telling him, Mr. Rogers, move over.
[00:03:13.020 --> 00:03:14.640]   (laughing)
[00:03:14.640 --> 00:03:19.160]   Tom is also the voice of Grace Church.
[00:03:19.160 --> 00:03:22.700]   Most of the time he is the emcee,
[00:03:22.700 --> 00:03:25.900]   if you would want to call it as such,
[00:03:25.900 --> 00:03:27.300]   for our morning worship service
[00:03:27.300 --> 00:03:28.740]   and even the evening worship service.
[00:03:28.740 --> 00:03:29.580]   And we're grateful for it.
[00:03:29.580 --> 00:03:31.020]   - It's a privilege.
[00:03:31.020 --> 00:03:32.420]   - Bill, have a seat.
[00:03:32.420 --> 00:03:35.420]   - First of all, I need to seek forgiveness.
[00:03:35.420 --> 00:03:38.720]   I got up here late, but I can't get through that courtyard
[00:03:38.720 --> 00:03:40.260]   without seeing an old friend.
[00:03:40.260 --> 00:03:41.540]   (laughing)
[00:03:41.540 --> 00:03:43.380]   And they're all old, I don't know why.
[00:03:43.380 --> 00:03:45.180]   (laughing)
[00:03:45.180 --> 00:03:48.800]   I've been here for 42 years at Grace Community Church.
[00:03:48.800 --> 00:03:51.940]   I've been on staff for 34 years now.
[00:03:51.940 --> 00:03:54.100]   And I oversee the counseling department
[00:03:54.100 --> 00:03:56.240]   here at Grace Church.
[00:03:56.240 --> 00:03:57.860]   We teach counseling.
[00:03:57.860 --> 00:04:01.940]   We try to train folks that can help with counseling,
[00:04:01.940 --> 00:04:03.460]   whether it be prayer room counseling
[00:04:03.460 --> 00:04:07.300]   or it be individuals in Bible study, whatever it is.
[00:04:07.300 --> 00:04:08.540]   That's what we do.
[00:04:08.540 --> 00:04:10.860]   As Carl has already told you,
[00:04:10.860 --> 00:04:14.020]   we co-pastor Anchored Fellowship Group.
[00:04:14.020 --> 00:04:16.820]   We take our own, somebody always asks me,
[00:04:16.820 --> 00:04:19.700]   "So, do you follow each other in the Bible?"
[00:04:19.700 --> 00:04:22.440]   No, we do our own thing.
[00:04:22.440 --> 00:04:24.700]   Because Carl doesn't let me tell him what to do.
[00:04:24.700 --> 00:04:25.540]   - Yeah.
[00:04:25.540 --> 00:04:27.180]   (laughing)
[00:04:27.180 --> 00:04:28.220]   He's tried.
[00:04:28.220 --> 00:04:30.980]   (laughing)
[00:04:30.980 --> 00:04:31.940]   All right.
[00:04:31.940 --> 00:04:32.780]   - That's my history.
[00:04:32.780 --> 00:04:34.420]   I have two girls.
[00:04:34.420 --> 00:04:36.540]   Both of those girls are married to fine men.
[00:04:36.540 --> 00:04:39.700]   One of them, my son-in-law's down in the main sanctuary,
[00:04:39.700 --> 00:04:42.580]   my competition right now, speaking there.
[00:04:42.580 --> 00:04:44.660]   And the other one is in Arizona,
[00:04:44.660 --> 00:04:48.180]   and he's the elder of his church that he goes to.
[00:04:48.180 --> 00:04:49.020]   - Yes.
[00:04:49.020 --> 00:04:50.380]   You can always tell a lot about a man
[00:04:50.380 --> 00:04:53.020]   by looking at what his adult children are doing.
[00:04:53.020 --> 00:04:57.020]   And there's been a history of faithfulness here.
[00:04:57.020 --> 00:04:59.660]   I work in the area.
[00:04:59.660 --> 00:05:04.000]   My secular world employment was as a prosecuting attorney.
[00:05:04.000 --> 00:05:07.260]   And as an administrative law judge,
[00:05:07.260 --> 00:05:10.660]   I taught part-time at Masters University
[00:05:10.660 --> 00:05:13.380]   for something like 30 years.
[00:05:13.380 --> 00:05:15.860]   Since I was able to walk away,
[00:05:15.860 --> 00:05:19.180]   I have been redeployed into ministry here.
[00:05:19.180 --> 00:05:22.780]   I serve on our Grace Advance team.
[00:05:22.780 --> 00:05:25.780]   That is one of the most important ministries we have here,
[00:05:25.780 --> 00:05:30.780]   and probably one of the least known ministries internally,
[00:05:30.780 --> 00:05:33.700]   and outside, most appreciated.
[00:05:33.700 --> 00:05:36.080]   I also serve on our missions board,
[00:05:36.080 --> 00:05:39.820]   Grace Missions International.
[00:05:39.820 --> 00:05:43.620]   We do everything we can to try to proclaim
[00:05:43.620 --> 00:05:46.260]   the word of God throughout the nations.
[00:05:46.260 --> 00:05:51.180]   Book of Malachi, my name will be great among the nations.
[00:05:51.180 --> 00:05:54.020]   So we passionately committed to that.
[00:05:54.020 --> 00:05:56.380]   Now, what are we wanting to accomplish today?
[00:05:56.380 --> 00:05:57.860]   Again, as I indicated earlier,
[00:05:57.860 --> 00:05:59.060]   we've heard some great preaching.
[00:05:59.060 --> 00:06:01.140]   Now we need to think through how it is
[00:06:01.140 --> 00:06:05.820]   that we can encourage ourselves in the process
[00:06:05.820 --> 00:06:09.460]   by wrestling with some challenging questions
[00:06:09.460 --> 00:06:13.240]   in 1 Timothy 3.15, Paul writes, he says,
[00:06:13.240 --> 00:06:14.820]   "I write so that you will know
[00:06:14.820 --> 00:06:17.880]   "how one ought to conduct himself
[00:06:17.880 --> 00:06:19.160]   "in the household of God,
[00:06:19.160 --> 00:06:21.660]   "which is the church of the living God,
[00:06:21.660 --> 00:06:24.860]   "the pillar and support, the buttress,
[00:06:24.860 --> 00:06:27.560]   "the bulwark of the truth."
[00:06:27.560 --> 00:06:33.300]   We are going to try to start off
[00:06:33.300 --> 00:06:36.580]   with some questions that we'll ask internally.
[00:06:36.580 --> 00:06:38.820]   Wanna get you to start thinking.
[00:06:38.820 --> 00:06:43.620]   I'm gonna have three somewhat abstract questions,
[00:06:43.620 --> 00:06:47.140]   and I'll move to three very practical questions
[00:06:47.140 --> 00:06:50.540]   that if you've been in ministry for any length of time,
[00:06:50.540 --> 00:06:53.220]   you've probably, to one extent or another,
[00:06:53.220 --> 00:06:57.740]   addressed these or thought about them.
[00:06:57.740 --> 00:07:01.600]   My son, Steve, who's in pastoral ministry in Kansas,
[00:07:01.600 --> 00:07:03.700]   was cautioning me that we need
[00:07:03.700 --> 00:07:06.420]   to include something like this.
[00:07:06.420 --> 00:07:09.100]   Then we're going to turn the mic over
[00:07:09.100 --> 00:07:11.820]   to questions from the floor.
[00:07:11.820 --> 00:07:16.820]   Make sure, and I've already asked the guys to screen them,
[00:07:16.820 --> 00:07:18.820]   make sure that if I ask you,
[00:07:18.820 --> 00:07:20.100]   "Is there really a question here?"
[00:07:20.100 --> 00:07:21.340]   you can answer yes.
[00:07:21.340 --> 00:07:25.300]   We all know of guys that come to the mic under Q&A,
[00:07:25.300 --> 00:07:28.180]   and they want to pose a statement.
[00:07:28.180 --> 00:07:29.980]   So make sure it's really a question.
[00:07:29.980 --> 00:07:33.480]   And we'll try to ask them, we'll try to get them.
[00:07:33.480 --> 00:07:35.920]   We want you to feel the freedom,
[00:07:35.920 --> 00:07:39.480]   to the extent you can,
[00:07:39.480 --> 00:07:42.820]   the freedom to be able to speak questions
[00:07:42.820 --> 00:07:46.080]   that are from the heart, that are really on your mind.
[00:07:46.080 --> 00:07:47.680]   We have an hour.
[00:07:47.680 --> 00:07:50.880]   We are more than willing to talk
[00:07:50.880 --> 00:07:53.080]   after the expiration of that hour,
[00:07:53.080 --> 00:07:55.280]   fully expecting, fully realizing
[00:07:55.280 --> 00:07:57.480]   that that may need to be done.
[00:07:57.480 --> 00:07:59.000]   So let's start with a word of prayer,
[00:07:59.000 --> 00:08:00.200]   and then we'll get going.
[00:08:00.200 --> 00:08:03.240]   Father in heaven, I want to thank you
[00:08:03.240 --> 00:08:08.240]   for each of these men, many of them I've not seen in years.
[00:08:08.240 --> 00:08:11.640]   Thank you for their commitment to Christ.
[00:08:11.640 --> 00:08:14.600]   Thank you for the love for your church
[00:08:14.600 --> 00:08:17.340]   that has brought them to this particular point.
[00:08:17.340 --> 00:08:22.080]   Father, we pray that men will be encouraged,
[00:08:22.080 --> 00:08:23.560]   they will be strengthened,
[00:08:23.560 --> 00:08:26.540]   they will be injected with iron,
[00:08:26.540 --> 00:08:30.020]   and a determination to continue serving
[00:08:30.020 --> 00:08:34.360]   as the foundation and bulwark of your truth.
[00:08:34.360 --> 00:08:37.660]   Guide us, Lord, in all we do today.
[00:08:37.660 --> 00:08:39.700]   We trust you, amen.
[00:08:39.700 --> 00:08:42.580]   Now, in keeping with the theme of the conference,
[00:08:42.580 --> 00:08:45.500]   as you think through the question, frame it.
[00:08:45.500 --> 00:08:49.220]   Keep in mind that it needs to be approaching the idea
[00:08:49.220 --> 00:08:51.620]   centered around the truth.
[00:08:51.620 --> 00:08:54.600]   So I'm gonna start this off with number one.
[00:08:54.800 --> 00:08:57.040]   (laughing)
[00:08:57.040 --> 00:09:00.120]   Technology.
[00:09:00.120 --> 00:09:11.880]   Over the last five to 10 years in our culture,
[00:09:11.880 --> 00:09:16.880]   in the church at large, and at Grace Community Church,
[00:09:16.880 --> 00:09:21.320]   where and how have you seen departures from
[00:09:21.320 --> 00:09:24.080]   or disobedience to the truth?
[00:09:25.080 --> 00:09:28.400]   - Oh my, five to 10 years?
[00:09:28.400 --> 00:09:29.240]   - Five to 10 years?
[00:09:29.240 --> 00:09:31.240]   - Of disobedience to the truth?
[00:09:31.240 --> 00:09:32.680]   And we have an hour.
[00:09:32.680 --> 00:09:35.760]   (laughing)
[00:09:35.760 --> 00:09:40.120]   Yeah, well, I think you go back to just that the truth.
[00:09:40.120 --> 00:09:43.880]   So all of the departures are gonna find their origin
[00:09:43.880 --> 00:09:46.680]   in a denial that there is an absolute truth.
[00:09:46.680 --> 00:09:49.320]   So I just think it's been manifest in different ways,
[00:09:49.320 --> 00:09:52.460]   whether it be manifest in how we understand gender,
[00:09:52.460 --> 00:09:54.360]   whether it's been manifest in how we understand
[00:09:54.360 --> 00:09:57.200]   a woman's role, a man's role,
[00:09:57.200 --> 00:10:00.400]   whether it's manifest in how we preach,
[00:10:00.400 --> 00:10:03.720]   whether it's manifest in what we believe about Christ.
[00:10:03.720 --> 00:10:05.800]   All of those things have an origin,
[00:10:05.800 --> 00:10:09.160]   and the origin is based in a denial of an absolute truth.
[00:10:09.160 --> 00:10:12.720]   You know, it's the question that Pilate asked,
[00:10:12.720 --> 00:10:13.600]   what is truth?
[00:10:13.600 --> 00:10:16.400]   Well, we have the definition for that,
[00:10:16.400 --> 00:10:21.400]   because the church, according to Paul's words to Timothy,
[00:10:22.080 --> 00:10:26.140]   the church is the pillar and support of a truth.
[00:10:26.140 --> 00:10:27.700]   Did it say that?
[00:10:27.700 --> 00:10:32.220]   No, the truth that we proclaim the gospel
[00:10:32.220 --> 00:10:35.980]   and all of its implications that come with it.
[00:10:35.980 --> 00:10:40.980]   So it's just the manifestations of disobedience are varying.
[00:10:40.980 --> 00:10:41.860]   - Okay.
[00:10:41.860 --> 00:10:45.580]   - Everything, like I said, from how do we understand a man
[00:10:45.580 --> 00:10:50.380]   to same sex attraction to the list goes on and on and on.
[00:10:50.380 --> 00:10:52.900]   But the basis of it is a denial of truth.
[00:10:52.900 --> 00:10:55.840]   - Yeah, I mean-- - And if you're not sure
[00:10:55.840 --> 00:10:59.040]   what truth is, Mark Zakevich is doing a seminar right now
[00:10:59.040 --> 00:11:01.320]   on the topic, if you wanna transfer.
[00:11:01.320 --> 00:11:02.960]   - You can leave now, that's fine.
[00:11:02.960 --> 00:11:04.240]   - Tom, you were gonna say something.
[00:11:04.240 --> 00:11:06.360]   - No, I was just gonna piggyback off of what Carl said.
[00:11:06.360 --> 00:11:09.600]   I think, you know, when you think of the culture,
[00:11:09.600 --> 00:11:12.280]   the departure from the truth is probably most manifested
[00:11:12.280 --> 00:11:16.840]   in the fact that they no longer really hold to a truth.
[00:11:16.840 --> 00:11:19.120]   They no longer really hold to some of the things
[00:11:19.120 --> 00:11:20.600]   we're used to.
[00:11:20.600 --> 00:11:23.100]   I'd say, generally speaking, it's more permissiveness
[00:11:23.100 --> 00:11:26.000]   in sin, that would be the general topic.
[00:11:26.000 --> 00:11:29.040]   Being more permissive, less guilt,
[00:11:29.040 --> 00:11:30.640]   even on a very superficial level,
[00:11:30.640 --> 00:11:33.720]   to feel any kind of restraint upon them.
[00:11:33.720 --> 00:11:35.880]   It says in the scripture that the Holy Spirit,
[00:11:35.880 --> 00:11:37.960]   in the days of the ban of lawlessness,
[00:11:37.960 --> 00:11:41.000]   will release his restraint.
[00:11:41.000 --> 00:11:43.440]   And so it seems as if that restraint is becoming less
[00:11:43.440 --> 00:11:44.980]   and less as time goes on.
[00:11:44.980 --> 00:11:48.460]   So without the particulars of how that looks in the world,
[00:11:48.460 --> 00:11:51.780]   I think my mind goes to how it looks like in the church,
[00:11:51.780 --> 00:11:55.340]   what it's been the big effect over the last 10 years.
[00:11:55.340 --> 00:12:00.340]   I remember when my dad was in the church as a young man,
[00:12:00.340 --> 00:12:02.200]   there was always a sense that maybe the church
[00:12:02.200 --> 00:12:04.360]   was more biblical back in the day,
[00:12:04.360 --> 00:12:07.440]   we're talking about in the '50s and '60s.
[00:12:07.440 --> 00:12:08.920]   But I've learned as time goes on,
[00:12:08.920 --> 00:12:12.320]   that's not necessarily the case, it was more masked.
[00:12:12.320 --> 00:12:15.840]   More and more, the church was kind of just being moral
[00:12:15.840 --> 00:12:18.720]   and trying to not really speak about things
[00:12:18.720 --> 00:12:20.920]   that were urgent, for instance.
[00:12:20.920 --> 00:12:22.960]   Church discipline, we think, or I used to think,
[00:12:22.960 --> 00:12:25.040]   was something that was a part of church history
[00:12:25.040 --> 00:12:26.760]   when my dad was growing up.
[00:12:26.760 --> 00:12:28.920]   I asked John MacArthur one time about that.
[00:12:28.920 --> 00:12:31.480]   He said, you know what, I don't remember church discipline
[00:12:31.480 --> 00:12:33.120]   even being in my father's church
[00:12:33.120 --> 00:12:34.840]   or the churches at his time.
[00:12:34.840 --> 00:12:37.520]   So this is something that, in some ways,
[00:12:37.520 --> 00:12:41.280]   we've come more advanced in some of our reformed circles
[00:12:41.280 --> 00:12:44.360]   to be taking the Bible more seriously.
[00:12:44.360 --> 00:12:46.720]   But you see more permissiveness in the culture,
[00:12:46.720 --> 00:12:50.160]   and I think you see, at least in our circles,
[00:12:50.160 --> 00:12:53.840]   more seriousness about the doctrines of grace
[00:12:53.840 --> 00:12:55.880]   and the truth of the scripture.
[00:12:55.880 --> 00:12:58.100]   So that's happening, but I know it seems,
[00:12:58.100 --> 00:12:59.360]   to some people who are looking at it
[00:12:59.360 --> 00:13:02.280]   maybe a little superficially, like this is an avalanche,
[00:13:02.280 --> 00:13:04.000]   and where is this all coming from?
[00:13:04.000 --> 00:13:05.880]   But it seems like the storm has been building
[00:13:05.880 --> 00:13:07.280]   for a very long time.
[00:13:07.280 --> 00:13:10.600]   So I think Martin Lloyd-Jones is the one that said,
[00:13:10.600 --> 00:13:13.760]   you know, I'm really never surprised
[00:13:13.760 --> 00:13:16.560]   because the Bible tells us that these things will happen.
[00:13:16.560 --> 00:13:19.440]   I'm not sitting in shock thinking, how can this be?
[00:13:19.440 --> 00:13:21.440]   But I think our people are in shock,
[00:13:21.440 --> 00:13:23.440]   and our people have to be fortified.
[00:13:23.440 --> 00:13:24.880]   And so one of the greatest things
[00:13:24.880 --> 00:13:26.520]   I think we can teach our people
[00:13:26.520 --> 00:13:29.480]   is this is not a surprise to God,
[00:13:29.480 --> 00:13:31.600]   and we can prove that by going to the scripture
[00:13:31.600 --> 00:13:34.520]   and showing that these things have been predicted
[00:13:34.520 --> 00:13:36.580]   from Jesus' day and before,
[00:13:36.580 --> 00:13:38.640]   and I think that's a helpful way to look at it.
[00:13:38.640 --> 00:13:42.800]   >> So we, to some degree, react to that
[00:13:42.800 --> 00:13:46.120]   by helping our people get past the shock,
[00:13:46.120 --> 00:13:49.280]   by helping them to realize that this is nothing
[00:13:49.280 --> 00:13:51.120]   that has taken God by surprise.
[00:13:51.120 --> 00:13:53.520]   >> Right, and I think they find comfort in their pastor
[00:13:53.520 --> 00:13:57.440]   having that kind of poise about the truth
[00:13:57.440 --> 00:13:59.500]   so that they're not seeing you shaken
[00:13:59.500 --> 00:14:00.760]   by the things in the world
[00:14:00.760 --> 00:14:02.640]   because you're rooted in the scripture
[00:14:02.640 --> 00:14:04.600]   and you know what our Lord has said
[00:14:04.600 --> 00:14:07.420]   and what the book of Revelation has said
[00:14:07.420 --> 00:14:09.840]   and the book of Daniel that we found out from Abner.
[00:14:09.840 --> 00:14:12.720]   These things are to make us shock-proof, if you will.
[00:14:12.720 --> 00:14:15.720]   We might be surprised, but we're not shocked.
[00:14:15.720 --> 00:14:18.360]   >> And to some degree, we help people
[00:14:18.360 --> 00:14:23.120]   by helping the weak, strengthening the weak,
[00:14:23.120 --> 00:14:27.200]   dealing with situations where people have been scarred.
[00:14:27.200 --> 00:14:28.700]   Bill, you wanna talk to that?
[00:14:28.700 --> 00:14:30.520]   By the loss of--
[00:14:30.520 --> 00:14:33.720]   >> This idea of what's coming into the church,
[00:14:33.720 --> 00:14:35.760]   I think is what's been in the culture for a while,
[00:14:35.760 --> 00:14:39.240]   is the cancel culture is starting to come into the church.
[00:14:39.240 --> 00:14:42.000]   Some of you men start to feel that pressure from people.
[00:14:42.800 --> 00:14:45.360]   That are not liking what you're doing
[00:14:45.360 --> 00:14:48.120]   or how the church is doing it and those kinds of things.
[00:14:48.120 --> 00:14:50.800]   And they bring those questions in all the time.
[00:14:50.800 --> 00:14:54.400]   Which has absolutely nothing to do with the truth,
[00:14:54.400 --> 00:14:59.340]   but they're hammering away at you ever so slowly,
[00:14:59.340 --> 00:15:01.480]   and I think that's part of what Satan's plan is,
[00:15:01.480 --> 00:15:04.680]   and he's using the people of God, even,
[00:15:04.680 --> 00:15:06.500]   to do those kinds of things.
[00:15:06.500 --> 00:15:08.140]   How do we help them, though?
[00:15:08.140 --> 00:15:10.120]   How do we help our brothers and sisters?
[00:15:10.120 --> 00:15:12.600]   And the only way to do that is through the truth.
[00:15:12.600 --> 00:15:16.160]   I think of 1 Timothy 1.5, the goal of our instruction
[00:15:16.160 --> 00:15:18.960]   is love from a pure heart, a sincere faith.
[00:15:18.960 --> 00:15:20.840]   That's the goal of our instruction.
[00:15:20.840 --> 00:15:23.440]   We need to keep teaching them, and teaching them,
[00:15:23.440 --> 00:15:25.920]   and teaching them, even when they don't listen.
[00:15:25.920 --> 00:15:28.160]   I can remember, not too long ago,
[00:15:28.160 --> 00:15:31.240]   receiving an email from a husband and wife,
[00:15:31.240 --> 00:15:32.480]   and the husband and wife wrote,
[00:15:32.480 --> 00:15:36.000]   "We are not listening to you in the counseling room."
[00:15:36.000 --> 00:15:38.200]   You're not the only one, is what I answered.
[00:15:38.200 --> 00:15:40.240]   (audience laughing)
[00:15:40.240 --> 00:15:41.080]   But that's what happens.
[00:15:41.080 --> 00:15:41.960]   - If Bill wanted to hear that,
[00:15:41.960 --> 00:15:43.520]   he could talk to his wife, Donna.
[00:15:43.520 --> 00:15:45.740]   - Well, I do listen to her.
[00:15:45.740 --> 00:15:47.480]   (audience laughing)
[00:15:47.480 --> 00:15:50.240]   But, I mean, that's part of what the people wanna do.
[00:15:50.240 --> 00:15:52.240]   They wanna throw back at you
[00:15:52.240 --> 00:15:56.000]   that you're not what you are saying you are.
[00:15:56.000 --> 00:15:57.820]   - Okay, great.
[00:15:57.820 --> 00:16:01.200]   Now, it's interesting that you mentioned Satan.
[00:16:01.200 --> 00:16:03.880]   In my own personal study, I've been reading
[00:16:03.880 --> 00:16:07.480]   Luther's commentary on the book of Galatians.
[00:16:07.480 --> 00:16:11.120]   Galatians 3.1, and this is from the NKJV.
[00:16:11.120 --> 00:16:15.880]   "O foolish Galatians, who has bewitched you
[00:16:15.880 --> 00:16:18.520]   "that you should not obey the truth,"
[00:16:18.520 --> 00:16:22.440]   and that's added in the King James and the New King James.
[00:16:22.440 --> 00:16:25.120]   You won't find it in the NASV or the ESV.
[00:16:25.120 --> 00:16:28.280]   "Who has bewitched you that you should not obey the truth
[00:16:28.280 --> 00:16:30.540]   "before whose eyes Jesus Christ
[00:16:30.540 --> 00:16:34.560]   "was clearly portrayed among you as crucified?"
[00:16:34.560 --> 00:16:39.560]   Any thoughts as to the extent to which this departure,
[00:16:39.560 --> 00:16:44.280]   this rejection of the truth, is due to the evil one,
[00:16:44.280 --> 00:16:47.400]   and how do we react to that?
[00:16:47.400 --> 00:16:48.240]   Thoughts on that.
[00:16:48.240 --> 00:16:54.480]   - Well, we know that society is under the god of this world.
[00:16:54.480 --> 00:16:55.360]   That's clear.
[00:16:55.360 --> 00:17:00.760]   That's why when a person comes to face 2 Corinthians 4,
[00:17:00.760 --> 00:17:03.080]   this veil is removed, but prior to it,
[00:17:03.080 --> 00:17:05.520]   they were blinded, their minds were blinded.
[00:17:05.520 --> 00:17:07.640]   So you say, well, their mind was blinded,
[00:17:07.640 --> 00:17:10.600]   because that's Ephesians chapter four,
[00:17:10.600 --> 00:17:13.280]   because they walked in the futility of their mind.
[00:17:13.280 --> 00:17:15.880]   They were darkened in their understanding.
[00:17:15.880 --> 00:17:20.160]   So we can see that there is an influence that is there.
[00:17:20.160 --> 00:17:22.180]   It's a spiritual influence.
[00:17:22.180 --> 00:17:23.560]   So if he's the god of this world,
[00:17:23.560 --> 00:17:25.000]   you're going to orchestrate the world
[00:17:25.000 --> 00:17:28.040]   in accord to your ultimate goal.
[00:17:28.040 --> 00:17:30.240]   The ultimate goal would be to thwart the plans of God,
[00:17:30.240 --> 00:17:33.040]   but we all know, praise God, that that cannot happen, right?
[00:17:33.040 --> 00:17:34.120]   Brothers?
[00:17:34.120 --> 00:17:34.960]   That can't happen.
[00:17:34.960 --> 00:17:35.800]   We know how it ends.
[00:17:35.800 --> 00:17:37.640]   Our God is victorious.
[00:17:37.640 --> 00:17:39.400]   But he is doing everything he can
[00:17:39.400 --> 00:17:43.900]   to disrupt God glorifying himself,
[00:17:43.900 --> 00:17:46.980]   which means operating through principalities
[00:17:46.980 --> 00:17:51.480]   and powers and higher entities in society,
[00:17:51.480 --> 00:17:58.440]   in politics, in culture, in religion itself,
[00:17:58.440 --> 00:18:00.880]   because every other religion,
[00:18:00.880 --> 00:18:04.360]   its backdrop is going to be the enemy,
[00:18:04.360 --> 00:18:08.020]   because he's the enemy of the souls of men.
[00:18:08.020 --> 00:18:12.680]   So that's where we come back to.
[00:18:12.680 --> 00:18:15.240]   Ultimately, the devil is, the scripture is clear,
[00:18:15.240 --> 00:18:18.720]   he is a liar, and he has been a liar from the beginning.
[00:18:18.720 --> 00:18:20.680]   - What passage is that from, Carl?
[00:18:20.680 --> 00:18:22.640]   - So John.
[00:18:22.640 --> 00:18:24.040]   - 844.
[00:18:24.040 --> 00:18:25.440]   Make sure, two things.
[00:18:25.440 --> 00:18:28.040]   He is a murderer, and he is a liar.
[00:18:28.040 --> 00:18:31.040]   And when he speaks, he speaks lies.
[00:18:31.040 --> 00:18:32.320]   It is his native language.
[00:18:32.320 --> 00:18:33.160]   Go ahead.
[00:18:33.160 --> 00:18:34.920]   - Which is the opposite of what we're talking about.
[00:18:34.920 --> 00:18:38.080]   Lies don't triumph, truth triumphs.
[00:18:38.080 --> 00:18:39.680]   So he will not triumph.
[00:18:39.680 --> 00:18:43.000]   The truth will be triumphant.
