
[00:00:00.000 --> 00:00:19.360]   so welcome everyone thanks for making it to this lunch and learn my goal today is to make sure that
[00:09:11.640 --> 00:09:23.800]   and so this is something that I think many of us engineers have been diving in in order to provide the right context to generate truthful answer right compliment the parametric memory of your model with non parametric information
[00:09:23.800 --> 00:09:28.920]   and that's RAG in a nutshell right so you've tried prompt engineering you've tried RAG you've eliminated quality
[00:09:28.920 --> 00:09:33.640]   problems and hallucinations but that's still not enough right so what do you try next
[00:09:33.640 --> 00:09:40.840]   well fine-tuning I think is the next stage and again I'm generalizing a very complicated and complex journey
[00:09:40.840 --> 00:09:46.440]   but in spite of your best efforts you've tried these techniques for maybe days weeks or even months
[00:09:46.440 --> 00:09:51.560]   and you still don't get to where you need to be to hit production and we're going to talk about this journey
[00:09:51.560 --> 00:09:59.160]   today right fine-tuning so when should you fine-tune a model again after you spend a lot of time in the
[00:09:59.160 --> 00:10:05.480]   first two phases of this journey so spending time on prompt engineering spending time on retrieval augmented
[00:10:05.480 --> 00:10:13.080]   generation and you don't see the results improve and generally what helps is whenever you use an LLM for a very
[00:10:13.080 --> 00:10:18.840]   specific task something that's very focused for instance classification information extraction
[00:10:18.840 --> 00:10:26.200]   trying to format a prompt using it for function calling if you can narrow the use case to something
[00:10:26.200 --> 00:10:33.640]   that is highly specific then you have an interesting use case for applying fine-tuning here and another
[00:10:33.640 --> 00:10:37.880]   requirement is to have a lot of your own high quality data to work with because that's going to be your
[00:10:37.880 --> 00:10:43.560]   fine-tuning data set that goes without saying but a model is only as good as the data that it that the
[00:10:43.560 --> 00:10:48.760]   model was trained on and we're going to apply this principle here in this tutorial and finally I think
[00:10:48.760 --> 00:10:54.520]   as an added incentive oftentimes we're all driven by economic incentive in the work we do for those of
[00:10:54.520 --> 00:11:03.320]   you who are feeling the pains of high gen ai bills whether it is with open ai or with a cloud vendor or a third
[00:11:03.320 --> 00:11:10.040]   party well this is generally a good reason to explore fine-tuning so we're going to go over all the steps
[00:11:10.040 --> 00:11:15.720]   now that we've kind of contextualized why fine-tuning and when to consider fine-tuning we're going to
[00:11:15.720 --> 00:11:21.560]   consider all the steps here in this continuous deployment cycle it starts with building your data
[00:11:21.560 --> 00:11:28.520]   set then running the fine-tuning of the model deploying that fine-tune llm into production so
[00:11:28.520 --> 00:11:35.320]   you can achieve scale and serve your your you know your customer needs or internal needs at high volumes
[00:11:35.320 --> 00:11:40.920]   and also evaluate quality and this is an iterative process there's not a single crank of the wheel this
[00:11:40.920 --> 00:11:47.400]   is not a fire and forget situation because data that your model sees in production is going to drift and
[00:11:47.400 --> 00:11:51.240]   evolve and so this is something that you're going to have to monitor you're going to have to update your data
[00:11:51.240 --> 00:11:55.640]   set you're going to have to fine-tune your model and i don't want to scare you away from doing this
[00:11:55.640 --> 00:12:02.280]   because it sounds fairly daunting and so by the end of this talk we'll have gone through a full crank of
[00:12:02.280 --> 00:12:08.840]   that wheel and hopefully you know it through these sas toolings that i'm going to introduce you to is going
[00:12:08.840 --> 00:12:13.720]   to feel a lot more approachable and hopefully i'll demystify the whole process of fine-tuning models
[00:12:13.720 --> 00:12:21.080]   so let's start with step one which is to build a fine-tuning data set now the data of the model
[00:12:21.080 --> 00:12:27.000]   has to be trained on ideally real world data right it has to be as close as possible to what you're
[00:12:27.000 --> 00:12:32.280]   going to see in production so there's kind of a spectrum of ways to build and generate a data set
[00:12:32.280 --> 00:12:38.920]   ideally you build a data set out of real world prompts and real world generated real world human
[00:12:38.920 --> 00:12:44.760]   responses so for instance you have customer service you've logged calls with a customer agent you have
[00:12:44.760 --> 00:12:49.480]   an interaction between two humans that's a very good data set to work with right because it's human
[00:12:49.480 --> 00:12:54.840]   generated on both ends this is very high quality but not everyone has the ability to acquire
[00:12:54.840 --> 00:13:00.360]   this data set sometimes you're starting from scratch so not everyone has a luxury to start there
[00:13:00.360 --> 00:13:05.640]   there's also kind of an intermediary between real world and synthetic where you have real world prompts
[00:13:05.640 --> 00:13:11.080]   but ai generated responses and so this is kind of a good middle ground between cost and quality because
[00:13:11.080 --> 00:13:19.320]   you're starting from actual ground truth information that is derived from real data but the responses are
[00:13:19.320 --> 00:13:26.600]   generated by a high quality llm say gpt4 or clod and actually open pipe is a solution that allows you
[00:13:26.600 --> 00:13:34.680]   to log the inputs and outputs of an lm like gpt4 to build your data set for fine-tuning an llm so this is
[00:13:34.680 --> 00:13:41.560]   something that you know a lot of practitioners use and finally there's the fully synthetic data set using
[00:13:41.560 --> 00:13:48.680]   fully ai generated labels and oftentimes when you go on hugging face or kaggle you'll encounter data sets that have
[00:13:48.680 --> 00:13:53.960]   been built entirely synthetically and that's a great way to kind of get started on this journey
[00:13:53.960 --> 00:13:58.440]   and actually one of the data sets we're going to use today is from that latter category
[00:13:58.440 --> 00:14:05.160]   and of course i mean it probably goes without saying but in case people are not fully uh familiar with this
[00:14:05.160 --> 00:14:11.160]   notion you want to split your data set into a training and validation set because you don't want to
[00:14:11.160 --> 00:14:19.800]   evaluate your model on data that your fine tune has seen right and so many of you who are ml and ai
[00:14:19.800 --> 00:14:24.120]   engineers are already familiar with this but i just want to reiterate that this is important and finally
[00:14:24.120 --> 00:14:28.520]   you know this is used for hyper parameter tuning and when you're deploying it and actually testing it
[00:14:28.520 --> 00:14:34.440]   on real world examples you want to have a third set outside of training and validation which is your test set
[00:14:34.440 --> 00:14:40.120]   that's a good way to do it now you've built your data set you're ready to fine tune your model and there's a lot of
[00:14:40.120 --> 00:14:45.720]   decisions that we need to make at this point and the first one is going to be open source versus closed source right
[00:14:45.720 --> 00:14:53.160]   and so who here just like raise of hands is using proprietary llms or gen ai models today from open ai
[00:14:53.160 --> 00:15:03.800]   anthropic mistral ai okay good amount of crowd who here has been using open source llms like llama some of the free mistral ai models
[00:15:03.800 --> 00:15:10.520]   okay so maybe a smaller crowd right and maybe that's because these models are not as capable and
[00:15:10.520 --> 00:15:18.280]   sophisticated and but i'm going to walk you through how you can achieve better results if you do fine
[00:15:18.280 --> 00:15:24.200]   tuning right so of course the benefit of open source and this is why you know i'm obviously biased but i'm
[00:15:24.200 --> 00:15:33.160]   an open source advocate is that you have to you get to have ownership over your model weights so when once you've done the fine tuning you are
[00:15:33.160 --> 00:15:38.680]   the proprietor of the weights that are the result of this fine tuning process which means that you can
[00:15:38.680 --> 00:15:43.080]   choose how you deploy it how you serve it this is part of your ip and i find that this is a great
[00:15:43.080 --> 00:15:49.560]   thing for anyone who wants to embark on this fine tuning journey with proprietary solutions you're not
[00:15:49.560 --> 00:15:54.680]   quite the owner or you don't have the flexibility to decide to go with another vendor to host the the
[00:15:54.680 --> 00:16:00.440]   models yourself and so you're kind of locked into an ecosystem some people are comfortable with that others are
[00:16:00.440 --> 00:16:06.120]   less comfortable with it and many of the customers that we talk to they're very eager to jump on the
[00:16:06.120 --> 00:16:11.640]   open source train but they don't really know how to get started or you know where to start on this
[00:16:11.640 --> 00:16:16.040]   journey so hopefully this can this can help inform you how to take your first steps here into the
[00:16:16.040 --> 00:16:21.400]   world of open source then there's a question of like do i use a small model or a large model
[00:16:21.400 --> 00:16:26.360]   because for instance even in the world of open source you have models that are in the order of 8 billion
[00:16:26.360 --> 00:16:33.080]   parameters like llama 3 8 b and then you have the large models with a mixture all 8 by 22 b so this
[00:16:33.080 --> 00:16:38.840]   is a mixture of expert model with over 100 billion parameters very different beasts and we're going
[00:16:38.840 --> 00:16:45.320]   to see even larger models from meta and generally my recommendations here is well look the large models
[00:16:45.320 --> 00:16:52.440]   are amazing they have broader context windows they have higher capabilities of reasoning but they're also
[00:16:52.440 --> 00:16:57.400]   more expensive to fine tune and more expensive to serve and typically when you have to do a deployment
[00:16:57.400 --> 00:17:03.080]   you're going to have to acquire resources like h100s to run these models so generally start with a smaller
[00:17:03.080 --> 00:17:08.920]   model like a llama 3 b and sometimes you'll be surprised by its ability to learn specific problems
[00:17:08.920 --> 00:17:18.440]   so that's my recommendation start with a smaller llama 3 8 b or mistrol 7 b and if that doesn't work out for you then
[00:17:18.440 --> 00:17:23.960]   move towards larger and larger models and today we're going to be using this llama 3 8 billion parameter
[00:17:23.960 --> 00:17:29.880]   model there's also different techniques for fine tuning i'm going to go over this one fairly quickly
[00:17:29.880 --> 00:17:37.880]   but there's two classes of fine tuning techniques one which is parameter efficient fine tuning it produces
[00:17:37.880 --> 00:17:43.960]   a laura and the other one is a full parameter fine tuning which produces a checkpoint a laura is much
[00:17:43.960 --> 00:17:50.440]   more much smaller and efficient in terms of memory footprint we're talking about 50 megabytes versus
[00:17:50.440 --> 00:17:58.200]   a checkpoint that is 15 gigabytes and so you can guess that because of its more compact representation
[00:17:58.200 --> 00:18:06.280]   you're able to serve it on a gpu that doesn't require as much onboard memory and you can even serve
[00:18:06.280 --> 00:18:13.240]   multiple lauras at the same time so multiple fine tunes on a gpu for inference as opposed to the
[00:18:13.240 --> 00:18:19.240]   checkpoints which require a dedicated gpu for every single fine tune so there's more flexibility in
[00:18:19.240 --> 00:18:23.640]   deployment and we're going to use that today we're actually going to serve these lauras which are the
[00:18:23.640 --> 00:18:30.360]   result of parameter efficient fine tuning on a shared tendency endpoint with other users who have their own
[00:18:30.360 --> 00:18:36.280]   lauras all running on the same server and that allows us to really reduce the cost of inference
[00:18:36.280 --> 00:18:43.400]   and there is a benefit to checkpoints though and full parameter fine tuning which is that there are more
[00:18:43.400 --> 00:18:49.640]   parameters to tune so it's a more flexible fine tuning technique it allows the model to have
[00:18:49.640 --> 00:18:56.200]   essentially achieve better results at more expensive tasks like logical reasoning
[00:18:57.000 --> 00:19:01.000]   but for very specialized tasks which is what we're going to look at today like classification or
[00:19:01.000 --> 00:19:06.120]   labeling or function calling a laura is just fine so we're going to use parameter efficient fine tuning
[00:19:06.120 --> 00:19:12.840]   and also when you're doing fine tuning you have to decide am i going to diy it or am i going to use
[00:19:12.840 --> 00:19:18.920]   sas so i'm sure some of you only like to diy things others like the convenience of sas and here i'm not
[00:19:18.920 --> 00:19:24.840]   going to take a side i think there's some great tools right now to diy your own fine tuning for
[00:19:24.840 --> 00:19:29.960]   for instance the open source project axolotl and actually at the conference there's the the creator
[00:19:29.960 --> 00:19:36.680]   behind axolotl who you might be able to catch um and you know the challenge here is that you have to
[00:19:36.680 --> 00:19:41.960]   find your own gpu resources you have to understand how to use these libraries even though they're they're
[00:19:41.960 --> 00:19:49.000]   they're easier than ever uh to to adopt and you have to tune and tinker uh you know settings and hyper
[00:19:49.000 --> 00:19:54.760]   parameters then there's sas which really aim to make it easy to embark on this journey companies like
[00:19:54.760 --> 00:20:00.520]   open pipe and there's uh many folks from the open pipe at this conference today so if you can catch
[00:20:00.520 --> 00:20:04.920]   them please do talk to them and they're trying to lower the barrier of entry to fine tuning right to
[00:20:04.920 --> 00:20:10.280]   make it easy and to bring all this tooling all these libraries to make it as seamless as possible to
[00:20:10.280 --> 00:20:15.880]   for instance move from a gpt4 model to a fine tune with the least amount of steps in collecting your
[00:20:15.880 --> 00:20:21.800]   data fine tuning etc and so we're going to use sas today but if you feel more comfortable in this journey
[00:20:21.800 --> 00:20:28.120]   you might want to start with sas and then evolve into diy-ing it when it comes to deployment you
[00:20:28.120 --> 00:20:32.120]   have to navigate the same options right once you have a fine-tuned model now you need to decide well
[00:20:32.120 --> 00:20:37.400]   how am i going to serve it right because i need to generate maybe thousands millions or billions of
[00:20:37.400 --> 00:20:43.480]   tokens a day and so you need infrastructure you need gpus you need inference libraries some people like to
[00:20:43.480 --> 00:20:52.760]   diy it using libraries like vllm mlclm tensor rtllm hogging face tgi if these are all things that you
[00:20:52.760 --> 00:21:00.040]   might have heard of these are all solutions to run models on your own on your own infrastructure
[00:21:00.040 --> 00:21:06.920]   but you need to provision the resources you need to build the infrastructure to scale with demand and
[00:21:06.920 --> 00:21:12.200]   that can get tricky especially achieving high reliability under load that's a challenge that
[00:21:12.200 --> 00:21:18.040]   many people face as they scale their business up with sas you can essentially work with a third party
[00:21:18.040 --> 00:21:24.680]   like octo ai and obviously i'm a bit biased again i work there so i'm gonna insert a shameless plug for
[00:21:24.680 --> 00:21:32.840]   octo ai which allows users to get these fine tunes deployed on sas based endpoints so endpoints very
[00:21:32.840 --> 00:21:40.120]   similar to the ones from open ai for instance if you're familiar with that or claude and it offers
[00:21:40.120 --> 00:21:45.880]   the ability to serve different kinds of customizations as well and so very quickly i want to go over the
[00:21:45.880 --> 00:21:53.400]   advantages of octo ai here first of all you get speed so llama 3 8 billion parameter model you get achieve
[00:21:53.400 --> 00:21:57.960]   around 150 tokens per second and we keep on improving that number because we've been applying our
[00:21:57.960 --> 00:22:03.880]   our own in-house optimizations to the model serving layer it also has a significant cost advantage
[00:22:03.880 --> 00:22:11.240]   because it costs about 15 cents per million tokens compared to say gpt4 which costs 30 dollars per million tokens
[00:22:11.240 --> 00:22:16.120]   so that's where the 200x comes from and we don't charge a tax for customization so whether you're serving
[00:22:16.120 --> 00:22:24.120]   the base model or a fine-tune it's the same cost there's customization as i mentioned you can load your own laura and serve it
[00:22:25.080 --> 00:22:31.480]   and finally scale our customers some of our customers generate up to billions of tokens per day on our endpoints
[00:22:31.480 --> 00:22:38.280]   i think we're serving around over 20 billion tokens per day and so we've focused and spent a lot of time
[00:22:38.280 --> 00:22:47.960]   on improving robustness and also worth mentioning if sas doesn't cut it for you you are working for a fortune 500
[00:22:47.960 --> 00:22:55.560]   if you're a software company or you know a healthcare company banking sector government you need to deploy your llms inside of your
[00:22:55.560 --> 00:23:02.040]   environment either on-prem or in vpc we also have a solution called octo stack come talk to us at the booth
[00:23:02.040 --> 00:23:08.680]   so that's it for the shameless uh flag section let's go over to section four which is evaluating quality right
[00:23:08.680 --> 00:23:16.360]   we've talked about data set collection fine tuning deployment now quality evaluation and we could have an entire conference just dedicated on that
[00:23:16.360 --> 00:23:22.360]   i'm going to try to summarize it into kind of two classes of evaluation techniques that i've seen
[00:23:22.360 --> 00:23:29.960]   first of all you know can your quality be evaluated in a precise way that can be automated for instance
[00:23:29.960 --> 00:23:37.240]   you generate a program or sql command that can run uh can you for instance label or extract information
[00:23:37.240 --> 00:23:43.560]   or classify information in an accurate way that's a kind of pass or fail scenario right or formatting the output
[00:23:43.560 --> 00:23:49.960]   into a specific json formatting this is something that you can easily test as a pass or fail test and
[00:23:49.960 --> 00:23:55.640]   then there's more of the soft evaluation for instance if i were to take an answer and say well which output
[00:23:55.640 --> 00:24:01.720]   is written in a more polite or professional way you can't really write a program to evaluate this unless
[00:24:01.720 --> 00:24:09.480]   you're using an lm of course right but you have to put yourself into maybe 2000 2000 sorry 2020 2021 mindset
[00:24:09.480 --> 00:24:15.640]   before gpt was around well it'd be hard to build a program that can assess this right so generally you'd
[00:24:15.640 --> 00:24:23.800]   need a human in the loop to say which out of a or b is a better answer thankfully today we can use llms
[00:24:23.800 --> 00:24:29.400]   to automate that evaluation but keep in mind that for instance if you're using gpt4 to evaluate two
[00:24:29.400 --> 00:24:34.440]   answers well if you're comparing against gpt4 it might favor its own answer and people have seen that in
[00:24:34.440 --> 00:24:38.920]   in these kind of evaluations so this is a whole science i mean we could have a whole conference
[00:24:38.920 --> 00:24:46.120]   just on this i just wanted to present the high level uh guidelines of this whole cycle of deploying
[00:24:46.120 --> 00:24:52.520]   fine-tuned llms and so really there is no finish line that's what i want to convey to you all that
[00:24:52.520 --> 00:24:58.120]   going through a single iteration is something that you might have to do on a regular basis maybe
[00:24:58.760 --> 00:25:06.120]   once a week maybe once a year it all depends on your use case and constraints now let's get a bit
[00:25:06.120 --> 00:25:13.480]   more practical let's switch over to our demo and so for those of you who came a little bit late
[00:25:13.480 --> 00:25:21.880]   there's a qr code here that you can scan and that will point you to our google colab and we also have
[00:25:22.680 --> 00:25:29.800]   under slack now let me see if i can pull it if you're in the slack channel for ai engineers world
[00:25:29.800 --> 00:25:35.080]   fair there is this quality optimization boot camp where you can ask questions here if you want to
[00:25:35.080 --> 00:25:40.520]   follow along and so we're going to go we're going to try to go over the practical component in the next
[00:25:40.520 --> 00:25:48.360]   25 minutes i just want to provide some context here the use case is uh personally identifiable
[00:25:48.360 --> 00:25:55.960]   information redaction we've taken this from a data set composed by ai for privacy called pi masking
[00:25:55.960 --> 00:26:03.880]   200k it's one of the largest data sets of its kind it has 54 different pi classes so different kinds
[00:26:03.880 --> 00:26:10.760]   of sensitive data like the name the email address add you know address the physical address of someone
[00:26:10.760 --> 00:26:18.120]   uh their credit card information etc etc across 229 discussion subjects so that includes
[00:26:18.120 --> 00:26:24.440]   conversations from a customer ticket resolution conversations with a banker conversations between
[00:26:24.440 --> 00:26:32.120]   individuals etc what this data set looks like is as follows you're going to have a message an email
[00:26:32.120 --> 00:26:37.800]   here we have you know something that looks like it came out of an email that contains credit card
[00:26:37.800 --> 00:26:45.640]   information ip address maybe even a mention of a rule or or anything that is essentially personally personally
[00:26:45.640 --> 00:26:51.160]   identifiable and i've highlighted those in red because they will need to be redacted
[00:26:51.160 --> 00:26:57.880]   and after redaction we should get the following text that shows look here is this information that is now
[00:26:57.880 --> 00:27:03.880]   redacted anonymized but instead of just masking it we're actually telling it what kind of category this
[00:27:03.880 --> 00:27:10.760]   information belongs to right a credit card number an ip address or job title and this is how we're going to redact this text
[00:27:10.760 --> 00:27:19.400]   so where do llms come in the way we would use it is through function calling who here has used llms
[00:27:19.400 --> 00:27:27.480]   with tool calls or function calls okay so quite a few people you know and as many of us are aware this
[00:27:27.480 --> 00:27:33.320]   kind of what powers a lot of the agentic applications so this is a great use case for people who want to do
[00:27:33.320 --> 00:27:40.440]   function calling and are not seeing the results you know out of the box from say gpt4 that they would like
[00:27:40.440 --> 00:27:44.760]   to to see and in this case we're actually going to see that that these kind of state-of-the-art models
[00:27:44.760 --> 00:27:53.000]   aren't doing quite well at fairly large and complex function call use cases so to achieve this redaction
[00:27:53.000 --> 00:27:58.920]   use case we're going to pass in a system prompt we can also pass in a tool specification the system
[00:27:58.920 --> 00:28:03.320]   prompt says look you're an expert model trained to do redaction and you can call this function
[00:28:03.320 --> 00:28:10.040]   here are all the sensitive pii categories for you to redact and then as a user prompt we're going to
[00:28:10.040 --> 00:28:17.320]   pass in that email or that message and then the output is a tools call so it's not the redacted text
[00:28:17.320 --> 00:28:23.080]   it's actually a tools call to that redact function that's going to contain all the arguments for us to
[00:28:23.080 --> 00:28:28.760]   perform the redaction why am i doing this as opposed to spitting out the redacted test well that gives us
[00:28:28.760 --> 00:28:34.520]   flexibility in terms of how we want to redact this text we could choose to just replace that
[00:28:34.520 --> 00:28:42.120]   information with the pii class we can also completely obfuscate it or we could choose to use for instance a
[00:28:42.120 --> 00:28:51.160]   database that maps each pii entry to a fake substitute so that we have an email that kind of reads normally
[00:28:51.160 --> 00:28:58.600]   except the credit card the the names the addresses are all made up but they will always map to the same individual
[00:28:58.600 --> 00:29:04.680]   and so that allows us to do then more interesting processing on our data set right so that's why
[00:29:04.680 --> 00:29:09.000]   we're going to use function calling here and let's start to build the data set so i'm going to switch
[00:29:09.000 --> 00:29:15.640]   over to our notebook here this notebook is meant to be sort of self explainable so there's a bit of
[00:29:15.640 --> 00:29:22.280]   redundance redundant context as part of the prerequisites you're going to have to get an account on octo ai and
[00:29:22.280 --> 00:29:28.440]   open pipe and and these are the tools that we're going to use and if you want to run the evaluation function also
[00:29:28.440 --> 00:29:35.400]   provide your open ai key because we're going to compare against gpt4 so we're going to install the python packages
[00:29:35.400 --> 00:29:42.200]   initially only open ai and data sets from hugging face you can ignore this pip dependency error here
[00:29:42.200 --> 00:29:48.200]   which happens when you pip install data sets in a colab notebook but that's okay we can get past that
[00:29:48.200 --> 00:29:53.480]   you can enter your octo ai token and open ai api key at the beginning
[00:29:54.440 --> 00:29:58.520]   and i've already done this so we're going to start with the first phase which is to build a fine-tuning
[00:29:58.520 --> 00:30:04.360]   data set so we have this pi masking data set i'm going to show it from hugging face of pi
[00:30:04.360 --> 00:30:12.520]   masking and you can see what the data set looks like it has the source text information as you can see
[00:30:12.520 --> 00:30:18.360]   these are you know exchange you know snippets from emails for instance you have the target text that is
[00:30:18.360 --> 00:30:25.080]   redacted and the privacy mask that contains each one of the pii and the classes associated to it
[00:30:25.080 --> 00:30:30.600]   so this contains all the data all the information input and labels that we need to build our
[00:30:30.600 --> 00:30:35.720]   our data set for fine-tuning and so really what we're going to do
[00:30:35.720 --> 00:30:38.920]   is that we're going to use the system prompt
[00:30:41.480 --> 00:30:46.120]   area we're going to define our system prompt here which is again telling the model you're an
