
[00:00:00.040 --> 00:00:10.500]   thought
[00:07:09.060 --> 00:07:38.600]   and you're using the money and you can get a lot of gain. I don't think the tax savings are the number one reason to use a 529 plan. I think it's useful, but it would work if you have a very young child and you're planning for college, but if you're planning for five-year-old expenses at age 10, five years of earnings on an investment is likely not to be so, so significant. But it can be there. Not denying it can be a factor, just that it's not the number one factor. In my mind, this K-12 open-cast plan is a good idea.
[00:08:08.180 --> 00:08:08.180]   It's not a tax-efficient plan.
[00:08:08.180 --> 00:08:08.180]   But it can be there.
[00:08:08.180 --> 00:08:08.180]   And I think it's useful, but it's not the number one factor.
[00:08:08.180 --> 00:08:08.180]   And I think it's useful, but it's not the number one factor.
[00:08:08.180 --> 00:08:08.180]  obedient: K-12 opens up a tremendous possibility for wealthy parents, wealthy grandparents to fund an expense that they're committed to, often high-priced private school tuition, and to do it in a way that is very flexible and allows them to protect the funds that they have from the claims of creditors. So this is what I really love about 529 plans. Parents, grandparents can put 50 grand, 100 grand into an account, set it aside. It's not inside of a trust, but it is protected from the attacks of creditors, and they can see that it's not a tax-efficient plan.
[00:08:08.180 --> 00:08:08.180]   It's not a tax-efficient plan.
[00:08:08.180 --> 00:08:08.280]   It's not a tax-efficient plan.
[00:08:08.320 --> 00:08:11.140]  nem
[00:08:11.140 --> 00:08:19.340]   lastsGANCI is. And,
[00:08:19.340 --> 00:08:34.800]  ,
[00:09:33.060 --> 00:09:33.060]   and,
[00:10:01.320 --> 00:10:01.320]   and,
[00:10:30.720 --> 00:10:33.720]  ,
[00:10:33.720 --> 00:10:33.720]   and,
[00:10:33.720 --> 00:10:33.740]   and,
[00:10:33.740 --> 00:10:33.780]   and,
[00:10:33.780 --> 00:10:33.840]   and,
[00:10:33.840 --> 00:10:33.880]   and,
[00:10:33.880 --> 00:10:33.900]   and,
[00:10:33.900 --> 00:10:33.940]   and,
[00:10:33.940 --> 00:10:33.960]   and,
[00:10:33.960 --> 00:10:34.020]   and,
[00:10:34.020 --> 00:10:34.120]   and,
[00:10:34.120 --> 00:10:34.180]   and,
[00:10:34.180 --> 00:10:35.260]   and,
[00:10:35.260 --> 00:10:35.280]   and,
[00:10:35.280 --> 00:10:35.300]   and,
[00:10:35.300 --> 00:10:35.400]   and,
[00:10:35.400 --> 00:10:35.460]   and,
[00:10:35.460 --> 00:10:35.520]   and,
[00:10:35.520 --> 00:10:35.540]   and,
[00:10:35.540 --> 00:10:35.580]   and,
[00:10:35.580 --> 00:10:35.640]   and,
[00:10:35.640 --> 00:10:35.720]   and,
[00:10:35.720 --> 00:10:35.780]   and,
[00:10:35.780 --> 00:10:39.480]   you can use the state that best serves your situation.
[00:10:39.480 --> 00:10:46.480]   A small number of U.S. Americans will get some defray of their state-level income taxes with the 529 plan,
[00:10:46.480 --> 00:10:48.620]   so that can be helpful as well.
[00:10:48.620 --> 00:10:52.480]   Now, the thing that 529 plans haven't covered thus far is homeschool expenses.
[00:10:52.480 --> 00:10:57.280]   And if they did cover homeschool expenses, I would now become probably one of the biggest cheerleaders because,
[00:10:57.280 --> 00:10:58.040]   of course,
[00:10:58.040 --> 00:10:59.580]   I think that dollars go much farther in the future.
[00:10:59.580 --> 00:10:59.680]   I think that dollars go much farther in the future.
[00:11:00.660 --> 00:11:29.700]   I think that dollars go much farther in homeschooling,
[00:11:29.700 --> 00:11:29.700]   and I think that dollars go much farther in homeschooling,
[00:11:29.700 --> 00:11:29.700]   and I think that dollars go much farther in homeschooling,
[00:11:29.700 --> 00:11:29.700]   and I think that dollars go much farther in homeschooling,
[00:11:29.700 --> 00:11:29.700]   and I think that dollars go much farther in homeschooling,
[00:11:29.700 --> 00:11:29.700]   and I think that dollars go much farther in homeschooling,
[00:11:29.700 --> 00:11:29.700]   and I think that dollars go much farther in homeschooling,
[00:11:29.700 --> 00:11:29.700]   and I think that dollars go much farther in homeschooling,
[00:11:29.700 --> 00:11:29.700]   and I think that dollars go much farther in homeschooling,
[00:11:29.700 --> 00:11:29.700]   and I think that dollars go much farther in homeschooling, and I think that dollars go much farther in homeschooling,
[00:11:29.720 --> 00:11:59.720]   The previous House bill did have provisions in it that allowed for 529 accounts to be used to pay for homeschool expenses for K-12 students,
[00:11:59.720 --> 00:11:59.720]   The previous House bill did have provisions in it that allowed for 529 accounts to be used to pay for homeschool expenses for K-12 students,
[00:11:59.720 --> 00:11:59.720]   The previous House bill did have provisions in it that allowed for 529 accounts to be used to pay for homeschool expenses for K-12 students,
[00:11:59.720 --> 00:11:59.720]   The previous House bill did have provisions in it that allowed for 529 accounts to be used to pay for homeschool expenses for K-12 students,
[00:11:59.720 --> 00:11:59.720]   The previous House bill did have provisions in it that allowed for 529 accounts to be used to pay for homeschool expenses for K-12 students,
[00:11:59.720 --> 00:11:59.720]   The previous House bill did have provisions in it that allowed for 529 accounts to be used to pay for homeschool expenses for K-12 students,
[00:11:59.760 --> 00:12:29.740]  ,
[00:12:29.740 --> 00:12:29.740]   The previous House bill did have provisions in it that allowed for 529 accounts to be used to pay for homeschool expenses for K-12 students,
[00:12:29.740 --> 00:12:29.740]   The previous House bill did have provisions in it that allowed for 529 accounts to be used to pay for homeschool expenses for K-12 students,
[00:12:29.740 --> 00:12:29.740]   The previous House bill did have provisions in it that allowed for 529 accounts to be used to pay for homeschool expenses for K-12 students,
[00:12:29.740 --> 00:12:29.740]   The previous House bill did have provisions in it that allowed for 529 accounts to be used to pay for homeschool expenses for K-12 students,
[00:12:29.740 --> 00:12:29.740]   The previous House bill did have provisions in it that allowed for 529 accounts to pay for K-12 students,
[00:12:29.760 --> 00:12:59.760]   The previous House bill did have provisions in it that allowed for 529 accounts to be used to pay for homeschool expenses for K-12 students,
[00:12:59.760 --> 00:12:59.760]   The previous House bill did have provisions in it that allowed for 529 accounts to be used to pay for homeschool expenses for K-12 students,
[00:12:59.760 --> 00:12:59.760]   The previous House bill did have provisions in it that allowed for 529 accounts to be used to pay for homeschool expenses for K-12 students,
[00:12:59.760 --> 00:12:59.760]   The previous House bill did have provisions in it that allowed for 529 accounts to be used to pay for homeschool expenses for K-12 students,
[00:12:59.760 --> 00:12:59.760]   The previous House bill did have provisions in it that allowed for 529 accounts to be used to pay for homeschool expenses for K-12 students,
[00:12:59.760 --> 00:12:59.760]   The previous House bill did have provisions in it that allowed for 529 accounts to be used to pay for homeschool expenses for K-12 students,
[00:12:59.780 --> 00:13:29.780]   The previous House bill did have provisions in it that allowed for 529 accounts to be used to pay for homeschool expenses for K-12 students,
[00:13:29.780 --> 00:13:29.780]   The previous House bill did have provisions in it that allowed for 529 accounts to be used to pay for homeschool expenses for K-12 students,
[00:13:29.780 --> 00:13:29.780]   The previous House bill did have provisions in it that allowed for 529 accounts to be used to pay for homeschool expenses for K-12 students,
[00:13:29.780 --> 00:13:29.780]   The previous House bill did have provisions in it that allowed for 529 accounts to be used to pay for homeschool expenses for K-12 students,
[00:13:29.780 --> 00:13:29.780]   The previous House bill did have provisions in it that allowed for 529 accounts to pay for K-12 students,
[00:13:29.780 --> 00:13:29.780]   The previous House bill did have provisions in it that allowed for K-12 students,
[00:13:29.780 --> 00:13:29.780]   The previous House bill did have provisions in it that allowed for K-12 students,
[00:13:29.820 --> 00:13:59.800]  ,
[00:13:59.800 --> 00:13:59.800]   The previous House bill did have provisions in it that allowed for K-12 students,
[00:13:59.800 --> 00:13:59.800]   The previous House bill did have provisions in it that allowed for K-12 students,
[00:13:59.800 --> 00:13:59.800]   The previous House bill did have provisions in it that allowed for K-12 students,
[00:13:59.800 --> 00:13:59.800]   The previous House bill did have provisions in it that allowed for K-12 students,
[00:13:59.800 --> 00:13:59.800]   The previous House bill did have provisions in it that allowed for K-12 students,
[00:13:59.800 --> 00:13:59.800]   The previous House bill did have provisions in it that allowed for K-12 students,
[00:13:59.800 --> 00:13:59.800]   The previous House bill did have provisions in it that allowed for K-12 students,
[00:13:59.800 --> 00:13:59.800]   The previous House bill did have provisions in it that allowed for K-12 students,
[00:13:59.820 --> 00:14:29.820]   The previous House bill did have provisions in it that allowed for K-12 students,
[00:14:29.820 --> 00:14:29.820]   The previous House bill did have provisions in it that allowed for K-12 students,
[00:14:29.820 --> 00:14:29.820]   The previous House bill did have provisions in it that allowed for K-12 students,
[00:14:29.820 --> 00:14:29.820]   The previous House bill did have provisions in it that allowed for K-12 students,
[00:14:29.820 --> 00:14:29.820]   The previous House bill did have provisions in it that allowed for K-12 students,
[00:14:29.820 --> 00:14:29.820]   The previous House bill did have provisions in it that allowed for K-12 students,
[00:14:29.820 --> 00:14:29.820]   The previous House bill did have provisions in it that allowed for K-12 students,
[00:14:29.820 --> 00:14:29.820]   The previous House bill did have provisions in it that allowed for K-12 students,
[00:14:29.820 --> 00:14:29.820]   The previous House bill did have provisions in it that allowed for K-12 students,
[00:14:29.820 --> 00:14:29.820]   The previous House bill did have provisions in it that allowed for K-12 students,
[00:14:29.820 --> 00:14:29.820]   The previous House bill did not allow for K-12 students,
[00:14:29.820 --> 00:14:59.840]   The previous House bill did not allow for K-12 students,
[00:14:59.840 --> 00:14:59.840]   The previous House bill did not allow for K-12 students,
[00:14:59.840 --> 00:14:59.840]   The previous House bill did not allow for K-12 students,
[00:14:59.840 --> 00:14:59.840]   The previous House bill did not allow for K-12 students,
[00:14:59.840 --> 00:14:59.840]   The previous House bill did not allow for K-12 students,
[00:14:59.840 --> 00:14:59.840]   The previous House bill did not allow for K-12 students,
[00:14:59.840 --> 00:14:59.840]   The previous House bill did not allow for K-12 students,
[00:14:59.840 --> 00:14:59.840]   The previous House bill did not allow for K-12 students,
[00:14:59.860 --> 00:15:29.860]   The previous House bill did not allow for K-12 students,
[00:15:29.860 --> 00:15:29.860]   The previous House bill did not allow for K-12 students,
[00:15:29.860 --> 00:15:29.860]   The previous House bill did not allow for K-12 students,
[00:15:29.860 --> 00:15:29.860]   The previous House bill did not allow for K-12 students,
[00:15:29.860 --> 00:15:29.860]   The previous House bill did not allow for K-12 students,
[00:15:29.860 --> 00:15:29.860]   The previous House bill did not allow for K-12 students,
[00:15:29.860 --> 00:15:29.860]   The previous House bill did not allow for K-12 students,
[00:15:29.860 --> 00:15:29.860]   The previous House bill did not allow for K-12 students,
[00:15:29.860 --> 00:15:29.860]   The previous House bill did not allow for K-12 students,
[00:15:29.860 --> 00:15:29.860]   The previous House bill did not allow for K-12 students,
[00:15:29.860 --> 00:15:29.860]   The previous House bill did not allow for K-12 students,
[00:15:29.860 --> 00:15:29.860]   The previous House bill did not allow for K-12 students,
[00:15:29.860 --> 00:15:29.860]   The previous House bill did not allow for K-12 students,
[00:15:29.860 --> 00:15:29.860]   The previous House bill did not allow for K-12 students,
[00:15:29.900 --> 00:15:59.880]  ,
[00:15:59.880 --> 00:15:59.880]   The previous House bill did not allow for K-12 students,
[00:15:59.880 --> 00:15:59.880]   The previous House bill did not allow for K-12 students,
[00:15:59.880 --> 00:15:59.880]   The previous House bill did not allow for K-12 students,
[00:15:59.880 --> 00:15:59.880]   The previous House bill did not allow for K-12 students,
[00:15:59.880 --> 00:15:59.880]   The previous House bill did not allow for K-12 students,
[00:15:59.880 --> 00:15:59.880]   The previous House bill did not allow for K-12 students,
[00:15:59.880 --> 00:15:59.880]   The previous House bill did not allow for K-12 students,
[00:15:59.880 --> 00:15:59.880]   The previous House bill did not allow for K-12 students,
[00:15:59.880 --> 00:15:59.880]   The previous House bill did not allow for K-12 students,
[00:15:59.880 --> 00:15:59.880]   The previous House bill did not allow for K-12 students,
[00:15:59.900 --> 00:16:29.900]   We're going to begin with the present value of $50,000.
[00:16:29.900 --> 00:16:29.900]   We're going to begin with the present value of $50,000.
[00:16:29.900 --> 00:16:29.900]   Let's assume that that 50-year-old doesn't need this particular account
[00:16:29.900 --> 00:16:29.900]   Let's assume that that 50-year-old doesn't need this particular account
[00:16:29.900 --> 00:16:29.900]   to pay for their own retirement expenses such as they are.
[00:16:29.900 --> 00:16:29.900]   They can keep this money invested in this account.
[00:16:29.900 --> 00:16:29.900]   Let's further assume that this 50-year-old is able to live to a total of,
[00:16:29.900 --> 00:16:29.900]   Let's assume that this 50-year-old is able to live to a total of,
[00:16:29.900 --> 00:16:29.900]   Let's use 95, to age 95, for 45 years of total lifespan.
[00:16:29.900 --> 00:16:29.900]   Let's use 95, to age 95, for 45 years of total lifespan.
[00:16:29.900 --> 00:16:29.900]   That gives us 45 years of investment.
[00:16:29.900 --> 00:16:29.900]   That gives us 45 years of investment.
[00:16:29.900 --> 00:16:29.900]   That gives us $50, $50,000,
[00:16:29.900 --> 00:16:59.920]  harvesting, and assuming that this 50-year-old can invest and earn, say, an 8% rate of return, this one account of $50,000, because it has 45 years available for it, can become worth $1.6 million at their date of death. If they could earn a 10% rate of return, it could be potentially $3.6 million. So there's major value in a 50-year-old accumulating this, and setting it aside as a primary asset,
[00:16:59.920 --> 00:16:59.920]   So there's major value in a 50-year-old accumulating this, and setting it aside as a primary asset,
[00:16:59.920 --> 00:16:59.920]   and setting it aside as a primary asset,
[00:16:59.920 --> 00:16:59.920]   a primary asset,
[00:16:59.940 --> 00:17:29.940]   One of the best assets we traditionally teach in good financial planning,
[00:17:29.940 --> 00:17:29.940]   One of the best assets we traditionally teach in good financial planning,
[00:17:29.940 --> 00:17:29.940]   One of the best assets we traditionally teach in good financial planning,
[00:17:29.940 --> 00:17:29.940]   One of the best assets we traditionally teach in good financial planning,
[00:17:29.940 --> 00:17:29.940]   One of the best assets we traditionally teach in good financial planning,
[00:17:29.940 --> 00:17:29.940]   One of the best assets we traditionally teach in good financial planning,
[00:17:29.940 --> 00:17:29.940]   One of the best assets we traditionally teach in good financial planning,
[00:17:29.940 --> 00:17:29.940]   One of the best assets we traditionally teach in good financial planning,
[00:17:29.940 --> 00:17:29.940]   One of the best assets we traditionally teach in good financial planning,
[00:17:29.940 --> 00:17:29.940]   One of the best assets we traditionally teach in good financial planning,
[00:17:29.940 --> 00:17:29.940]   One of the best assets we traditionally teach in good financial planning,
[00:17:29.940 --> 00:17:29.940]   One of the best assets we traditionally teach in good financial planning,
[00:17:29.980 --> 00:17:59.960]  ,
[00:17:59.960 --> 00:17:59.960]   It's a Roth IRA, the taxes have already been paid, now they can take the full distribution out and do whatever they want. If it is a traditional IRA, then they can take the full amount out, the $1.5 million, and then they can take the full amount out, the $1.5 million, and then they can take the full amount out, the $1.5 million, and then they can take the full amount out, the $1.5 million,
[00:17:59.960 --> 00:17:59.960]   If it is a traditional IRA, then they can take the full amount out, the $1.5 million, and then they can take the full amount out, the $1.5 million,
[00:17:59.960 --> 00:17:59.960]   If it is a traditional IRA, then they can take the full amount out, the $1.5 million, and then they can take the full amount out, the $1.5 million,
[00:17:59.980 --> 00:18:29.980]  , but they would owe taxes on $1.5 million of income. So you can see here why the Roth IRA can be really superior. But what else can they do? Well, they can take required minimum distributions over a couple different options of person's life expectancy. So they can take it off of your life expectancy, but if you're leaving it to a child, they can take the required minimum distributions out on their own life expectancy. So if you left this behind for 10 years,
[00:18:29.980 --> 00:18:29.980]   If it is a traditional IRA, then they can take the full amount out, the $1.5 million,
[00:18:29.980 --> 00:18:29.980]   But if it is a traditional IRA, then they can take the full amount out, the $1.5 million, and then they can take the full amount out, the $1.5 million, and then they can take the full amount out, the $1.5 million,
[00:18:29.980 --> 00:18:29.980]   but if you left this behind for 10 years,
[00:18:30.000 --> 00:19:00.000]   or a 15-year-old or a 20-year-old,
[00:19:00.000 --> 00:19:00.000]   you can imagine how low the required minimum distributions are from this account.
[00:19:00.000 --> 00:19:00.000]   Now, if you have a million and a half dollars that's tax-free, and you leave it behind as an asset for a young person, that million and a half dollars can basically become a trust fund that provides an income, a lifelong income for the young person, and in many ways could provide for the retirement security of that person.
[00:19:00.000 --> 00:19:00.000]   So if you have a million and a half dollars that's tax-free, and you leave it behind as an asset for a young person, that million and a half dollars can basically become a trust fund that provides an income, a lifelong income for the young person, and in many ways could provide for the retirement security of that person.
[00:19:00.040 --> 00:19:30.020]   So if you have a million and a half dollars that's tax-free, and you leave it behind as an asset for the retirement security of that person,
[00:19:30.020 --> 00:19:30.020]   So if you have a million and a half dollars that's tax-free, and you leave it behind as an asset for the retirement security of that person,
[00:19:30.020 --> 00:19:30.020]   So if you have a million and a half dollars that's tax-free, and you leave it behind as an asset for the retirement security of that person,
[00:19:30.020 --> 00:19:30.020]   So if you have a million and a half dollars that's tax-free, and you leave it behind as an asset for the retirement security of that person,
[00:19:30.020 --> 00:19:30.020]   So if you have a million and a half dollars that's tax-free, and you leave it behind as an asset for the retirement security of that person,
[00:19:30.040 --> 00:20:00.040]   So if you have a million and a half dollars that's tax-free, and you leave it behind as an asset for the retirement security of that person,
[00:20:00.040 --> 00:20:00.040]   So if you have a million and a half dollars that's tax-free, and you leave it behind as an asset for the retirement security of that person,
[00:20:00.040 --> 00:20:00.040]   So if you have a million and a half dollars that's tax-free, and you leave it behind as an asset for the retirement security of that person,
[00:20:00.040 --> 00:20:00.040]   So if you have a million and a half dollars that's tax-free, and you leave it behind as an asset for the retirement security of that person,
[00:20:00.040 --> 00:20:00.040]   So if you have a million and a half dollars that's tax-free, and you leave it behind as an asset for the retirement security of that person,
[00:20:00.040 --> 00:20:00.040]   So if you have a million and a half dollars that's tax-free, and you leave it behind as an asset for the retirement security of that person,
[00:20:00.060 --> 00:20:30.060]   So if you have a million and a half dollars that's tax-free, and you leave it behind as an asset for the retirement security of that person,
[00:20:30.060 --> 00:20:30.060]   So if you have a million and a half dollars that's tax-free, and you leave it behind as an asset for the retirement security of that person,
[00:20:30.060 --> 00:20:30.060]   So if you have a million and a half dollars that's tax-free, and you leave it behind as an asset for the retirement security of that person,
[00:20:30.060 --> 00:20:30.060]   So if you have a million and a half dollars that's tax-free, and you leave it behind as an asset for the retirement security of that person,
[00:20:30.060 --> 00:20:30.060]   So if you have a million and a half dollars that's tax-free, and you leave it behind as an asset for the retirement security of that person,
[00:20:30.060 --> 00:20:30.060]   So if you have a million and a half dollars that's tax-free, and you leave it behind as an asset for the retirement security of that person,
[00:20:30.080 --> 00:21:00.080]   So if you have a million and a half dollars that's tax-free, and you leave it behind as an asset for the retirement security of that person,
[00:21:00.080 --> 00:21:00.080]   So if you have a million and a half dollars that's tax-free, and you leave it behind as an asset for the retirement security of that person,
[00:21:00.080 --> 00:21:00.080]   So if you have a million and a half dollars that's tax-free, and you leave it behind as an asset for the retirement security of that person,
[00:21:00.080 --> 00:21:00.080]   So if you have a million and a half dollars that's tax-free, and you leave it behind as an asset for the retirement security of that person,
[00:21:00.080 --> 00:21:00.080]   So if you have a million and a half dollars that's tax-free, and you leave it behind as an asset for the retirement security of that person,
[00:21:00.080 --> 00:21:00.080]   So if you have a million and a half dollars that's tax-free, and you leave it behind as an asset for the retirement security of that person,
[00:21:00.100 --> 00:21:30.100]   of how much money this can grow to if you leave it behind to a young person,
[00:21:30.100 --> 00:21:30.100]   So given that this is so good, this has become a primary staple of financial planning advice.
[00:21:30.100 --> 00:21:30.100]   I've gone on and on about all these benefits here just now.
[00:21:30.100 --> 00:21:30.100]   And this is a major, major benefit of a Roth IRA.
[00:21:30.100 --> 00:21:30.100]   So if you have a million and a half dollars that's tax-free, and you leave it behind as an asset for the retirement security of that person,
[00:21:30.100 --> 00:21:30.100]   So if you have a million and a half dollars that's tax-free, and you leave it behind as an asset for the retirement security of that person,
[00:21:30.100 --> 00:21:30.100]   So if you have a million and a half dollars that's tax-free, and you leave it behind as an asset for the retirement security of that person,
[00:21:30.100 --> 00:21:30.100]   So if you have a million and a half dollars that's tax-free, and you leave it behind as an asset for the retirement security of that person,
[00:21:30.100 --> 00:22:00.120]  ,
[00:22:00.120 --> 00:22:00.120]   The Secure Act eliminates the Stretch IRA.
[00:22:00.120 --> 00:22:00.120]   The Secure Act eliminates the Stretch IRA.
[00:22:00.120 --> 00:22:00.120]   The Secure Act eliminates the Stretch IRA.
[00:22:00.120 --> 00:22:00.120]   As things fall apart, the Secure Act eliminates the Stretch IRA.
[00:22:00.120 --> 00:22:00.120]   The Secure Act eliminates the Stretch IRA.
[00:22:00.120 --> 00:22:00.120]   As things fall apart, the Secure Act eliminates the Stretch IRA.
[00:22:00.120 --> 00:22:00.120]   As things fall apart, the Secure Act eliminates the Stretch IRA.
[00:22:00.120 --> 00:22:00.120]   As things fall apart, the Secure Act eliminates the Stretch IRA.
[00:22:00.120 --> 00:22:00.120]   As things fall apart, the Secure Act eliminates the Stretch IRA.
[00:22:00.120 --> 00:22:00.120]   As things fall apart, the Secure Act eliminates the Stretch IRA.
[00:22:00.160 --> 00:22:10.460]   make
[00:22:10.460 --> 00:22:25.100]   be. I,
[00:22:29.620 --> 00:22:37.260]   but
[00:22:37.260 --> 00:22:49.680]   của water,,,
[00:24:22.140 --> 00:24:22.140]   The
[00:24:52.160 --> 00:24:52.160]   They're going to take it out in equal payments for the next 10 years $50,000 per year.
[00:24:52.160 --> 00:24:52.160]   Now that 18 year old child has $50,000 of income coming in, if they're going to take it out in equal payments for the next 10 years, $50,000 per year.
[00:24:52.160 --> 00:24:52.160]   Now that 18 year old child has $50,000 of income coming in, if they're going to take it out in equal payments for the next 10 years, $50,000 per year.
[00:24:52.160 --> 00:24:52.160]   Now that 18 year old child has $50,000 of income coming in, if they're going to take it out in equal payments for the next 10 years, $50,000 per year.
[00:24:52.160 --> 00:24:52.180]   Now that 18 year old child has $50,000 of income coming in, if they're going to take it out in equal payments for the next 10 years, $50,000 per year.
[00:25:18.340 --> 00:25:22.180]   in the middle of the year, I've just destroyed any ability of my child to qualify for scholarships, I've just destroyed any ability of my child to get financial aid, student loans, major changes now because my child has $50,000 of income. Or what if it were more? What if I left behind a million dollar 401k, and now it's $100,000 per year, and now it's $100,000 per year.
[00:25:22.180 --> 00:25:22.220]  .
[00:25:22.220 --> 00:25:22.220]  .
[00:25:22.220 --> 00:25:52.240]  , $100,000 of income coming in on top of their salary. You can quickly see how under the progressive tax system of the United States, a major, major portion of that account would be lost to income taxes. Now, first, let's talk about, is this fair? Is this just? Well, I understand the arguments that would be in favor, for example, let's say we can cry
[00:25:52.280 --> 00:26:10.720]   the
[00:28:49.160 --> 00:28:51.200]   provides
[00:28:51.200 --> 00:29:16.820]   교 head, ,, wooden
[00:29:49.240 --> 00:30:19.220]  , ,, and ,, and ,, and ,, and ,, and ,, and ,, and ,, and ,, and ,, and ,, and
[00:30:19.220 --> 00:30:19.240]   that's the main stream financial planning line of argumentation. From a mathematical perspective, it's really hard to argue with that.
[00:30:19.240 --> 00:30:19.240]   . . .
[00:30:49.300 --> 00:31:19.280]  ертвal.com
[00:31:19.320 --> 00:31:49.340]   ado,
[00:31:49.340 --> 00:31:49.340]   . . .
[00:32:20.320 --> 00:32:49.420]   A.
[00:32:49.420 --> 00:32:49.420]   . . .
[00:32:49.420 --> 00:32:49.420]   . . .
[00:32:49.420 --> 00:32:49.420]   . . . .
[00:32:49.460 --> 00:32:58.440]   Peg
[00:32:58.440 --> 00:33:16.720]   photo no,,,
[00:33:16.720 --> 00:33:18.400]   avere indirect bracelet Urban He Sch I Sh L Folge視 inotiила seismemet eccentric change, , li, tr, be, , and, is, ", ", ", ", ",,,,,,,,,,,,,,,,,,,, or I'm I'm the mind Ranchат work And I'm Colengine Annог第三achu dismantreat N educating threshold Иичноutto intéress beacz er newprend incur the gun fine, er tracks well chicken发 이거는 Del lead that's con viv got aAmericans 22end. So, the, and, and, in, in, means that is,
[00:33:18.480 --> 00:33:33.500]   I mean, 20%, 10%, I don't know exactly how to defend a specific number, but there's a massive drop in value here from your retirement account if this new legislation passes.
[00:33:33.500 --> 00:33:46.500]   So, what do you do? How do you do? What do you do practically? Well, here's how I think about this. I'm uncomfortable with either of those extreme positions that I outlined. For example,
[00:33:46.500 --> 00:33:47.500]   I'm uncomfortable with the main position of the retirement account.
[00:33:47.500 --> 00:33:47.500]   I'm uncomfortable with the main position of the retirement account.
[00:33:47.500 --> 00:33:47.500]   I'm uncomfortable with the main position of the retirement account.
[00:33:47.500 --> 00:33:47.500]   I'm uncomfortable with the main position of the retirement account.
[00:33:47.500 --> 00:33:47.500]   I'm uncomfortable with the main position of the retirement account.
[00:33:47.500 --> 00:33:47.500]   I'm uncomfortable with the main position of the retirement account.
[00:33:47.500 --> 00:33:47.500]   I'm uncomfortable with the main position of the retirement account.
[00:33:47.500 --> 00:33:47.500]   I'm uncomfortable with the main position of the retirement account.
[00:33:47.500 --> 00:33:47.500]   I'm uncomfortable with the main position of the retirement account.
[00:33:47.540 --> 00:34:07.540]  ,
[00:34:07.540 --> 00:34:17.540]   I'm uncomfortable with the main position of the retirement account.
[00:34:17.540 --> 00:34:17.540]   I'm uncomfortable with the main position of the retirement account.
[00:34:17.540 --> 00:34:17.540]   I'm uncomfortable with the main position of the retirement account.
[00:34:17.580 --> 00:34:23.840]   has
[00:34:23.840 --> 00:34:27.900]   as мин
[00:34:27.900 --> 00:34:30.920]  immin. I, I, I, I,ie. necessary. 97 Everyone. C. .. .. ...
[00:34:30.920 --> 00:34:33.580]   compliance
[00:34:33.580 --> 00:34:40.320]   ♪
[00:34:40.320 --> 00:34:45.520]   at " bean dumb and make has 4000 clo� några easy Johnson och� ‑‑幫� ​� Heroes���丈夫 corona ‑‑ Stanley�inking� persec�ог beтив decision virtue� вел Зна� puppies�imen� Phantom� lo� ampsließ a gate�ز ΈEE openly edit fellows Porkanna� 74ned� 49� checks separ sleep but the Sanders arrivectic TL Dieses completoarti своиZZ began three complementary border succeed華360 weigh just Ведь just through the high第二個
