
[00:00:00.000 --> 00:00:03.880]   Kids don't get scored.
[00:03:05.380 --> 00:03:06.660]   You're like, wow, what's going on here?
[00:03:06.660 --> 00:03:08.260]   The robots are building the entire car.
[00:03:08.260 --> 00:03:14.220]   But then when you look carefully, you see like, oh, these robots are amazing, but they're
[00:03:14.220 --> 00:03:19.300]   doing a very precisely orchestrated motion over and over and over.
[00:03:19.300 --> 00:03:22.100]   And that's what they're so good at.
[00:03:22.100 --> 00:03:27.420]   But then when you want to take it beyond that, all of a sudden you need a lot of progress
[00:03:27.420 --> 00:03:32.100]   in AI to actually do it because the robot needs to see, understand what it's looking
[00:03:32.100 --> 00:03:37.100]   at, make sense in terms of what decision to make, react to things quickly, and all of
[00:03:37.100 --> 00:03:39.540]   a sudden it becomes so much harder.
[00:03:39.540 --> 00:03:45.120]   And so I think it's like going from robots that do repeated motion to robots that actually
[00:03:45.120 --> 00:03:47.740]   understand the world and have to react to it.
[00:03:47.740 --> 00:03:49.340]   It's a very large gap.
[00:03:49.340 --> 00:03:50.820]   That's pretty clear at this point.
[00:03:50.820 --> 00:04:00.780]   And so sitting here in August, 2021, how would you describe the state of the art in robotics?
[00:04:00.780 --> 00:04:03.820]   I feel like I hear such conflicting messages.
[00:04:03.820 --> 00:04:07.980]   People talk about how laundry folding is like this impossible challenge and yet you can
[00:04:07.980 --> 00:04:13.060]   see videos of robots folding laundry super well.
[00:04:13.060 --> 00:04:17.380]   I feel like OpenAI had the thing where they manipulated a Rubik's cube, but it was funny
[00:04:17.380 --> 00:04:20.780]   showing that to my wife who is kind of like, of all the different OpenAI things they've
[00:04:20.780 --> 00:04:24.420]   put out, in a way this is the least impressive.
[00:04:24.420 --> 00:04:26.820]   A child could do that too.
[00:04:26.820 --> 00:04:30.900]   It's interesting that she was kind of reflecting back to me, why are you so excited about watching
[00:04:30.900 --> 00:04:33.180]   a robot manipulate a Rubik's cube?
[00:04:33.180 --> 00:04:37.060]   So what's your sense on what's possible and not possible today?
[00:04:37.060 --> 00:04:38.060]   Yeah.
[00:04:38.060 --> 00:04:43.260]   I think the reason, I like what you're saying there, Lukas, because I think the reason it's
[00:04:43.260 --> 00:04:50.540]   so confusing of what's possible and not possible is because a lot of the challenges are in
[00:04:50.540 --> 00:04:53.820]   achieving consistency.
[00:04:53.820 --> 00:04:55.500]   And it's like that in many parts of life.
[00:04:55.500 --> 00:04:59.580]   I mean, imagine you like playing sports and you make one free throw, you might be like,
[00:04:59.580 --> 00:05:01.020]   okay, I can make a free throw.
[00:05:01.020 --> 00:05:04.100]   You make a video of that one free throw you made and that's the only video you ever play
[00:05:04.100 --> 00:05:05.100]   on repeat.
[00:05:05.100 --> 00:05:07.100]   Now it looks like you're making every free throw, right?
[00:05:07.100 --> 00:05:09.540]   But actually being consistent is what's hard.
[00:05:09.540 --> 00:05:17.820]   And same for robotics applications, consistently being successful is really, really hard.
[00:05:17.820 --> 00:05:24.060]   And so I think, I mean, part of it is of course how we all communicate our early successes,
[00:05:24.060 --> 00:05:28.220]   but once we have an early success, of course we're excited.
[00:05:28.220 --> 00:05:33.460]   First time a robot folds laundry, that example of course is from my lab and it's close to
[00:05:33.460 --> 00:05:37.140]   my heart because I love robots folding laundry.
[00:05:37.140 --> 00:05:40.100]   And you watch the video and it's very impressive.
[00:05:40.100 --> 00:05:45.660]   But then once you look at the details, it's like, okay, but it's always towels of a limited
[00:05:45.660 --> 00:05:48.180]   range in size.
[00:05:48.180 --> 00:05:53.980]   And it's in a very specific lab setup where there's a nice table for the robot to fold
[00:05:53.980 --> 00:05:57.060]   on and it starts with a pile not too far away.
[00:05:57.060 --> 00:06:02.740]   And you start realizing there's just a lot of specifics in place that make it not as
[00:06:02.740 --> 00:06:04.020]   general as it might seem.
[00:06:04.020 --> 00:06:07.100]   And I think that's where it's always tricky.
[00:06:07.100 --> 00:06:12.380]   In some sense, when you see a robot do something, it's impressive, like solving a Rubik's cube,
[00:06:12.380 --> 00:06:17.380]   folding a towel, maybe picking something from a bin, which is actually a really important
[00:06:17.380 --> 00:06:19.020]   problem.
[00:06:19.020 --> 00:06:27.660]   You see it and I think most people will generalize and will say, "Oh, hey, if a person can do
[00:06:27.660 --> 00:06:32.460]   that, that means they can do all these other things also."
[00:06:32.460 --> 00:06:34.460]   And that's actually not the case.
[00:06:34.460 --> 00:06:35.460]   And we kind of know that.
[00:06:35.460 --> 00:06:36.460]   That's the funny thing.
[00:06:36.460 --> 00:06:43.420]   We know that because nobody takes a self-driving car to our DMV driving test and is like, "Oh,
[00:06:43.420 --> 00:06:45.740]   wow, you solved the written perfectly.
[00:06:45.740 --> 00:06:46.740]   That's impressive.
[00:06:46.740 --> 00:06:49.500]   Oh, you did a two-minute drive around the block.
[00:06:49.500 --> 00:06:50.500]   That's impressive."
[00:06:50.500 --> 00:06:53.780]   Because we know it doesn't generalize the same way.
[00:06:53.780 --> 00:06:58.540]   And this notion of generalization that's in our head often when we see a robot do something
[00:06:58.540 --> 00:07:01.660]   makes us think, "Oh, wow, we're so far along."
[00:07:01.660 --> 00:07:05.700]   But then when you start putting into practice, you want to commercialize it, as of course
[00:07:05.700 --> 00:07:10.660]   we're doing at Covariant, you realize it's all about the number of nines for liability
[00:07:10.660 --> 00:07:12.220]   you achieve.
[00:07:12.220 --> 00:07:16.940]   And I think that's where robotics is a bit more unique than most other AI applications
[00:07:16.940 --> 00:07:22.660]   because for most AI applications, you don't need that many nines to be helpful.
[00:07:22.660 --> 00:07:28.780]   If you have a spam filter and it removes even just 30% of your spam, that's already a help.
[00:07:28.780 --> 00:07:31.740]   Of course you want it to be better, but it's already helpful.
[00:07:31.740 --> 00:07:36.140]   But if a robot only succeeds 30% of the time, that means 70% of the time it's probably making
[00:07:36.140 --> 00:07:42.580]   a mess that takes even more effort to clean up than it was helping out.
[00:07:42.580 --> 00:07:47.180]   And so it's one of those things where the number of nines of reliability you need with
[00:07:47.180 --> 00:07:53.260]   a robot is just very high before they become actually valuable.
[00:07:53.260 --> 00:07:57.860]   And I think that's where it's so hard to gauge that because you see this cool 30-second clip
[00:07:57.860 --> 00:08:00.540]   and you're like, "Wow, it seems like things are good."
[00:08:00.540 --> 00:08:06.700]   And then you realize, "Well, if you watch it for an hour uninterrupted, it's not consistently
[00:08:06.700 --> 00:08:07.700]   that good."
[00:08:07.700 --> 00:08:10.740]   And now all of a sudden it's not viable.
[00:08:10.740 --> 00:08:16.460]   And so to get those higher levels of accuracy, maybe let's talk about Covariant if you're
[00:08:16.460 --> 00:08:17.460]   up for it.
[00:08:17.460 --> 00:08:23.460]   I mean, obviously a very outwardly successful startup.
[00:08:23.460 --> 00:08:27.460]   Are there breakthroughs that need to happen to get those?
[00:08:27.460 --> 00:08:35.500]   Is it science to get those extra levels of accuracy or is it fixing lots of little details?
[00:08:35.500 --> 00:08:39.220]   Does it feel more like engineering?
[00:08:39.220 --> 00:08:40.500]   I think it's actually both.
[00:08:40.500 --> 00:08:43.220]   I think you can knock it away with just doing one of them.
[00:08:43.220 --> 00:08:46.780]   So if we look at Covariant, what are we doing?
[00:08:46.780 --> 00:08:51.180]   Essentially we're trying to build a brain for robots to be able to see what's around
[00:08:51.180 --> 00:08:54.780]   them and react to it and do interesting things in the world.
[00:08:54.780 --> 00:09:02.100]   And we concluded that the first most relevant space to go into is warehousing and logistics.
[00:09:02.100 --> 00:09:04.820]   And so it means a robot doing pick and place.
[00:09:04.820 --> 00:09:08.860]   You go online, you order something, something has to be retrieved, put into a box.
[00:09:08.860 --> 00:09:14.660]   Well, there's a lot of essentially robots on wheels for many, many years doing the long
[00:09:14.660 --> 00:09:19.820]   distance travel of all the goods in these warehouses, but there isn't really manipulation
[00:09:19.820 --> 00:09:24.300]   robots helping out with the specific, like pick one object, place it there, pack it and
[00:09:24.300 --> 00:09:25.300]   so forth.
[00:09:25.300 --> 00:09:28.020]   And so that's the first thing we're focused on.
[00:09:28.020 --> 00:09:33.980]   And when you try to chase the level of reliability that you need, and of course also speed of
[00:09:33.980 --> 00:09:39.500]   operation, if you're reliable at one item per day, I mean, that's also not very useful,
[00:09:39.500 --> 00:09:42.180]   but you want speed and reliability.
[00:09:42.180 --> 00:09:47.940]   What you realize is that, well, first of all, even though we're an AI company, you can't
[00:09:47.940 --> 00:09:49.580]   ignore the hardware.
[00:09:49.580 --> 00:09:54.620]   If your hardware cannot pick something up, it's just not going to happen.
[00:09:54.620 --> 00:10:00.560]   So a lot of things can be picked with suction cups and that's a lot of what we do.
[00:10:00.560 --> 00:10:05.900]   But then if it doesn't match that paradigm, let's say you have something that's kind of
[00:10:05.900 --> 00:10:10.500]   netting of some kind, well, it has to be rerouted somewhere else.
[00:10:10.500 --> 00:10:15.700]   You also have to recognize that this is not for our robot reroute to a place where it
[00:10:15.700 --> 00:10:19.560]   can be picked with something else than a suction cup.
[00:10:19.560 --> 00:10:25.240]   But then when you get to the difficulties, what you realize is that you encounter a lot
[00:10:25.240 --> 00:10:28.740]   of things that you encounter in every machine learning application.
[00:10:28.740 --> 00:10:34.860]   That is, you typically need more data than you initially anticipated to train on.
[00:10:34.860 --> 00:10:38.080]   And so you need a way to collect that data.
[00:10:38.080 --> 00:10:42.940]   In robotics, collecting data means either going out in the physical world or having
[00:10:42.940 --> 00:10:44.780]   really good simulation.
[00:10:44.780 --> 00:10:47.540]   And simulation is getting better and better and definitely helps.
[00:10:47.540 --> 00:10:51.780]   But again, you actually need real world data.
[00:10:51.780 --> 00:10:56.240]   And now I get this chicken and egg problem because if you want actual real world data
[00:10:56.240 --> 00:11:00.720]   outside of your lab or office environment, you actually need to have something that kind
[00:11:00.720 --> 00:11:01.720]   of works.
[00:11:01.720 --> 00:11:03.960]   Otherwise, who's going to let you collect the data?
[00:11:03.960 --> 00:11:09.660]   And so it's a big challenge to bootstrap in, which of course we've been doing over the
[00:11:09.660 --> 00:11:12.020]   last couple of years.
[00:11:12.020 --> 00:11:16.880]   And then once you're getting the data to come in, and sometimes a whole other kind of fun
[00:11:16.880 --> 00:11:21.760]   part, because a lot of people will say, "Oh, just bigger data, it'll just work."
[00:11:21.760 --> 00:11:24.760]   That's actually not true.
[00:11:24.760 --> 00:11:29.560]   Once you start chasing many nines of reliability, you'll realize that you actually also need
[00:11:29.560 --> 00:11:35.720]   to re-architect the neural nets very often to be able to absorb that data.
[00:11:35.720 --> 00:11:40.720]   Choose a new loss function, find a different way to annotate to provide more signal to
[00:11:40.720 --> 00:11:42.920]   actually get to the levels that you want to get to.
[00:11:42.920 --> 00:11:47.000]   So it's really a mix of a lot of these things, how you collect your data, how you annotate
[00:11:47.000 --> 00:11:51.240]   it, what are the right losses to maximize signal you get, and then what are the neural
[00:11:51.240 --> 00:11:55.920]   net architectures that can actually absorb that signal?
[00:11:55.920 --> 00:12:03.980]   And so if you had started Covariant five years ago or a decade ago, would it have worked
[00:12:03.980 --> 00:12:05.160]   as well as it does now?
[00:12:05.160 --> 00:12:09.600]   Or I guess what's changed in the state of the art that kind of allows this application
[00:12:09.600 --> 00:12:11.740]   to work?
[00:12:11.740 --> 00:12:19.440]   I think the big reason I believed it would be possible to do this now with the right
[00:12:19.440 --> 00:12:26.960]   effort, and we're also proving it possible, is essentially the combination of progress
[00:12:26.960 --> 00:12:34.120]   in computer vision and in imitation/reinforcement learning.
[00:12:34.120 --> 00:12:37.080]   So computer vision, naturally the robot can't see.
[00:12:37.080 --> 00:12:40.320]   It's not going to pick and place reliably objects in a warehouse.
[00:12:40.320 --> 00:12:42.460]   I mean, it can't see them.
[00:12:42.460 --> 00:12:44.220]   How are you going to pick them?
[00:12:44.220 --> 00:12:49.280]   Because these are unstructured environments in many, many ways.
[00:12:49.280 --> 00:12:51.140]   But the vision of course is not enough.
[00:12:51.140 --> 00:12:54.020]   You need to understand how you're going to interact with these objects.
[00:12:54.020 --> 00:12:58.220]   Is this one that you can pick or will it actually fling others out of the bin?
[00:12:58.220 --> 00:13:03.040]   Is this a reliable way to pick it or will you rip the thing apart by picking it over
[00:13:03.040 --> 00:13:04.040]   there and so forth?
[00:13:04.040 --> 00:13:09.700]   So there's a kind of imitation learning, reinforcement learning aspect to that that is also really
[00:13:09.700 --> 00:13:10.700]   important.
[00:13:10.700 --> 00:13:20.220]   And what we saw in 2015, '16, '17 was just a ton of progress on all fronts of vision,
[00:13:20.220 --> 00:13:24.700]   imitation, reinforcement learning that made us believe that with the right additional
[00:13:24.700 --> 00:13:29.260]   push that's really oriented towards bringing it into the real world, that this should work.
[00:13:29.260 --> 00:13:34.780]   And luckily, yes, we were right and it is working.
[00:13:34.780 --> 00:13:36.140]   That's fantastic.
[00:13:36.140 --> 00:13:37.860]   Can you talk a little bit about imitation learning?
[00:13:37.860 --> 00:13:41.140]   I think a lot of people talk about it, but obviously you've done a lot of work in that
[00:13:41.140 --> 00:13:42.140]   field.
[00:13:42.140 --> 00:13:43.140]   Yeah.
[00:13:43.140 --> 00:13:50.860]   So maybe the place I would start is the thing often people are most excited about is reinforcement
[00:13:50.860 --> 00:13:53.420]   learning because it's learning from scratch.
[00:13:53.420 --> 00:13:59.500]   Your robot or your agent is just trial and error learning and gets scored periodically
[00:13:59.500 --> 00:14:01.980]   based on how well it's doing and then gets better over time.
[00:14:01.980 --> 00:14:06.880]   And of course, famous results, learn to play Atari games out at DeepMind and then out of
[00:14:06.880 --> 00:14:11.740]   my lab at Berkeley, robots learning to run, to get up and things like that.
[00:14:11.740 --> 00:14:19.100]   Now the tricky thing with reinforcement learning, despite all its beauty and I think being probably
[00:14:19.100 --> 00:14:25.940]   the most beautiful discipline to work in, is it can be very slow because learning from
[00:14:25.940 --> 00:14:32.260]   scratch is just, well, it takes forever for most problems.
[00:14:32.260 --> 00:14:38.080]   And so in practice, I often think of imitation learning as a way to bootstrap reinforcement
[00:14:38.080 --> 00:14:42.440]   learning agents who can keep learning on their own, but by first getting some examples from
[00:14:42.440 --> 00:14:50.000]   humans of how something is done and imitating that, which actually at its core in many situations
[00:14:50.000 --> 00:14:51.760]   comes down to supervised learning.
[00:14:51.760 --> 00:14:58.480]   So a person might maybe joystick a robot and in doing so they are telling the robot every
[00:14:58.480 --> 00:15:03.520]   moment what action they should apply to each joint or to each motor.
[00:15:03.520 --> 00:15:08.160]   And then the robot will actually do supervised learning, train a neural network from what
[00:15:08.160 --> 00:15:11.760]   it's seeing to the action the person commanded.
[00:15:11.760 --> 00:15:17.480]   And by doing so, that supervised learning model will actually be pretty good at generating
[00:15:17.480 --> 00:15:21.840]   similar behaviors to what the person was doing.
[00:15:21.840 --> 00:15:28.500]   And the beauty is once you have that, it turns out you have a really good starting point.
[00:15:28.500 --> 00:15:31.840]   And a lot of the challenges in reinforcement learning are about having a good starting
[00:15:31.840 --> 00:15:32.840]   point.
[00:15:32.840 --> 00:15:36.360]   Reinforcement learning will be very effective at fine tuning and zoning in on the kind of
[00:15:36.360 --> 00:15:41.560]   final details of your solution, but the exploration problem is really, really hard and you kind
[00:15:41.560 --> 00:15:45.920]   of sidestep it by saying, "Hey, you must know what the solution roughly looks like.
[00:15:45.920 --> 00:15:47.580]   No need to explore everything.
[00:15:47.580 --> 00:15:50.120]   Let's just imitate humans."
[00:15:50.120 --> 00:15:56.160]   And so yeah, I think imitation learning is for practical purposes, almost guaranteed
[00:15:56.160 --> 00:16:00.160]   the way to go in many applications, at least as a starting point.
[00:16:00.160 --> 00:16:05.680]   Even though as you know, in my kind of academic research, there's a lot more focus on reinforcement
[00:16:05.680 --> 00:16:10.000]   learning because it's sometimes the harder, more open-ended problem.
[00:16:10.000 --> 00:16:15.480]   So for example, in a factory, you'd have somebody control the robot, kind of aim a suction,
[00:16:15.480 --> 00:16:20.360]   pick up a thing, and then the robot kind of starts there by trying to imitate the actions
[00:16:20.360 --> 00:16:22.200]   that the human's taking.
[00:16:22.200 --> 00:16:25.520]   And then you switch to reinforcement learning strategy once it's kind of close to something
[00:16:25.520 --> 00:16:26.520]   good.
[00:16:26.520 --> 00:16:27.760]   Is that a good summary?
[00:16:27.760 --> 00:16:29.360]   That is one way to picture it.
[00:16:29.360 --> 00:16:35.800]   Then in practice, often you take further shortcuts because imagine you are joysticking a robot
[00:16:35.800 --> 00:16:37.840]   to pick something up.
[00:16:37.840 --> 00:16:45.240]   Well, could you be even faster by maybe not even using the robot, but just maybe in your
[00:16:45.240 --> 00:16:49.040]   hand holding the suction cup that the robot would be using and going there.
[00:16:49.040 --> 00:16:53.960]   And if you can track that motion as a human, you can demonstrate so much faster.
[00:16:53.960 --> 00:16:59.620]   Or if you are very confident about how things are done, you might say at times, "Hey, maybe
[00:16:59.620 --> 00:17:02.760]   for some situations, all I need is see the images.
[00:17:02.760 --> 00:17:07.160]   And in the images, I can already annotate directly where I would be doing what."
[00:17:07.160 --> 00:17:12.880]   And so there's kind of a trade-off between very precisely demonstrating what the robot
[00:17:12.880 --> 00:17:17.440]   should be doing, which is very informative, but might be time consuming to get that informative
[00:17:17.440 --> 00:17:18.440]   signal.
[00:17:18.440 --> 00:17:23.960]   And so the amount of information you get per time spent might still be low, even though
[00:17:23.960 --> 00:17:29.840]   each single demonstration has a lot of information versus high throughput data collection where
[00:17:29.840 --> 00:17:34.680]   you annotate fast or maybe a bit more noisy, but there's so much more data that it makes
[00:17:34.680 --> 00:17:35.680]   up for it.
[00:17:35.680 --> 00:17:39.200]   And so, I mean, there's always a lot of choices to be made there and it's not a clear cut,
[00:17:39.200 --> 00:17:41.520]   easy decision for any problem.
[00:17:41.520 --> 00:17:45.960]   But I think it is easy to know that you should definitely consider the spectrum of speeding
[00:17:45.960 --> 00:17:51.200]   up your data collection and maybe having a bit more noise on it because the neural nets
[00:17:51.200 --> 00:17:54.040]   will be robust to that.
[00:17:54.040 --> 00:17:55.040]   So then what happens?
[00:17:55.040 --> 00:18:01.520]   Because it's like, I picture reinforcement learning to beat every human at go.
[00:18:01.520 --> 00:18:04.520]   And it seems like such a powerful strategy, especially though you've kind of laid it out.
[00:18:04.520 --> 00:18:06.280]   It makes so much sense.
[00:18:06.280 --> 00:18:09.940]   The robot kind of tries the thing, it gets feedback and then improves.
[00:18:09.940 --> 00:18:15.000]   So what does it run into when you're actually in a factory and you're actually trying to
[00:18:15.000 --> 00:18:16.000]   pick something up?
[00:18:16.000 --> 00:18:21.020]   What kinds of errors creep in or why hasn't the problem just totally solved right now
[00:18:21.020 --> 00:18:24.160]   by that strategy?
[00:18:24.160 --> 00:18:31.120]   So when I look at the deployments we do at Covariant and what makes them successful and
[00:18:31.120 --> 00:18:44.160]   also hard at times, what I see is that even though some things might look very similar
[00:18:44.160 --> 00:18:53.320]   to humans, like you might think for a person, let's say doing maybe pick in place of pharmaceutical
[00:18:53.320 --> 00:19:04.480]   goods versus groceries versus apparel versus electrical supplies versus shoe boxes versus
[00:19:04.480 --> 00:19:05.480]   anything else.
[00:19:05.480 --> 00:19:10.000]   It's all kind of the same for humans.
[00:19:10.000 --> 00:19:13.240]   One person can do one thing, they can also do the other thing.
[00:19:13.240 --> 00:19:15.360]   Same day, no problem.
[00:19:15.360 --> 00:19:23.280]   But when I look at our today's learning systems, when you switch from one industry to another,
[00:19:23.280 --> 00:19:29.000]   actually, you need a good amount of new data for that.
[00:19:29.000 --> 00:19:34.620]   And so what I see is that within industries that we've already collected a lot of data,
[00:19:34.620 --> 00:19:42.120]   my sense is that I'd be surprised if it wouldn't work on the next one.
[00:19:42.120 --> 00:19:45.040]   But when you go to a new industry, there's a whole new data collection.
[00:19:45.040 --> 00:19:50.400]   And of course, at some point we'll have checked off all industries and it'll be all taken
[00:19:50.400 --> 00:19:57.320]   care of, but there's a way humans generalize that is still a bit different from the way
[00:19:57.320 --> 00:20:02.840]   I think our today's most viable AI robotic systems generalize.
[00:20:02.840 --> 00:20:07.720]   And I do think it actually ties back to where a lot of the academic research is these days,
[00:20:07.720 --> 00:20:15.360]   which is kind of massive pre-training and then fine tuning on new tasks.
[00:20:15.360 --> 00:20:20.320]   But if you want to get to many nines of reliability, just massive pre-training on arbitrary data
[00:20:20.320 --> 00:20:26.280]   and then just some quick, small data regime fine tuning, it's not clear that that's working
[00:20:26.280 --> 00:20:27.280]   today.
[00:20:27.280 --> 00:20:30.120]   It'll work for like 90%.
[00:20:30.120 --> 00:20:37.040]   Sure, you can get to 90% quickly, but 99, 99.9, it's harder to get to that.
[00:20:37.040 --> 00:20:44.720]   And I would say that's really, in robotic automation, that's kind of vision AI powered,
[00:20:44.720 --> 00:20:51.780]   I would say getting to somewhere 99.5 to 99.9 tends to often be the sweet spot where things
[00:20:51.780 --> 00:20:56.640]   become viable, commercially viable, where the amount of supervision required from a
[00:20:56.640 --> 00:20:59.200]   person becomes essentially negligible.
[00:20:59.200 --> 00:21:04.240]   And it's really a robot doing the work rather than the supervisor actually being just as
[00:21:04.240 --> 00:21:07.400]   busy as they were before when there was no robot.
[00:21:07.400 --> 00:21:12.200]   Obviously, self-driving cars, you need even more nines and that makes it, I think, even
[00:21:12.200 --> 00:21:18.800]   harder, but get to 99.5, 99.9, that's where things become viable.
[00:21:18.800 --> 00:21:22.600]   And I think that's just the challenge, ultimately.
[00:21:22.600 --> 00:21:25.300]   We call that a challenge of autonomy.
[00:21:25.300 --> 00:21:33.080]   It doesn't mean 100% always being exactly right, but getting that 99.5, 99.9 spot in
[00:21:33.080 --> 00:21:37.240]   the industry that the robot is operating in is really key.
[00:21:37.240 --> 00:21:42.360]   And how much does simulation or simulated data or physical simulation matter here?
[00:21:42.360 --> 00:21:45.680]   I know a lot of people have been talking about it, but it's a little unclear to me if this
[00:21:45.680 --> 00:21:52.040]   is kind of a theoretical thing or something that's really best practice in working in
[00:21:52.040 --> 00:21:53.040]   the real world right now.
[00:21:53.040 --> 00:21:55.000]   How do you think about that?
[00:21:55.000 --> 00:21:56.000]   Yeah.
[00:21:56.000 --> 00:21:59.960]   I mean, I think you probably remember from when you were spending some of your time at
[00:21:59.960 --> 00:22:07.160]   OpenAI and Josh Tobin and I and you and Wojcik, and we're working on this domain randomization
[00:22:07.160 --> 00:22:12.920]   approaches back in 2016, 17, right?
[00:22:12.920 --> 00:22:15.760]   And I would say a couple of lessons learned from that.
[00:22:15.760 --> 00:22:25.480]   One is that simulation can be surprisingly helpful even when it's not super realistic.
[00:22:25.480 --> 00:22:32.520]   Because that was kind of the domain randomization whole kind of spiel and result was, wow, even
[00:22:32.520 --> 00:22:37.440]   when none of the renderings look realistic, training in these simulations does help a
[00:22:37.440 --> 00:22:40.760]   lot in the real world.
[00:22:40.760 --> 00:22:44.560]   And I think that's still a very powerful thing to rely upon.
[00:22:44.560 --> 00:22:49.000]   And of course, some kind of counterpart of that is doing large data augmentation on real
[00:22:49.000 --> 00:22:51.280]   data.
[00:22:51.280 --> 00:22:54.300]   But I think ultimately you do need real data.
[00:22:54.300 --> 00:22:59.800]   You can't just get away with today's simulated data to get to high reliability for real world
[00:22:59.800 --> 00:23:00.800]   operation.
[00:23:00.800 --> 00:23:05.280]   But again, that's part of what's so interesting, exciting about robotics is that you need these
[00:23:05.280 --> 00:23:09.680]   high reliabilities to be valuable.
[00:23:09.680 --> 00:23:13.920]   And this is going to be very different than other application domains that are pure software
[00:23:13.920 --> 00:23:19.000]   where often there's a lot more room for error and already providing value.
[00:23:19.000 --> 00:23:23.600]   But what about something like laundry folding?
[00:23:23.600 --> 00:23:26.840]   I feel like a robot that could fold 90% of my clothes.
[00:23:26.840 --> 00:23:27.840]   I'd be pretty happy with that.
[00:23:27.840 --> 00:23:31.200]   I would buy that for sure.
[00:23:31.200 --> 00:23:35.480]   Yeah, I think that's a very good point.
[00:23:35.480 --> 00:23:40.640]   So maybe we should revisit laundry folding sometime and knock at your door and see if
[00:23:40.640 --> 00:23:43.960]   you'll take one from us.
[00:23:43.960 --> 00:23:47.280]   There are some subtleties though that maybe...
[00:23:47.280 --> 00:23:54.200]   So I think the big subtlety here is the following and why things like robotics and self-driving
