
[00:00:00.000 --> 00:00:05.880]   (applause)
[00:04:11.440 --> 00:04:12.720]   and then over the summer,
[00:04:12.720 --> 00:04:14.720]   I taught special needs three-year-olds.
[00:04:15.280 --> 00:04:18.440]   (audience applauding)
[00:04:18.440 --> 00:04:23.220]   Kevin, I'm gonna put you on the spot,
[00:04:23.220 --> 00:04:25.420]   but one of the things we were laughing so hard about
[00:04:25.420 --> 00:04:28.300]   last year was Michelle's thriftiness,
[00:04:28.300 --> 00:04:30.660]   which she described to us in great detail
[00:04:30.660 --> 00:04:32.400]   and made us all laugh.
[00:04:32.400 --> 00:04:35.200]   So would you say you're on the same page with her
[00:04:35.200 --> 00:04:37.300]   with respect to thrift?
[00:04:37.300 --> 00:04:43.740]   - Hmm. (audience laughing)
[00:04:43.740 --> 00:04:45.880]   Ooh, starting off with the tough ones.
[00:04:45.880 --> 00:04:48.020]   So we are of a similar mind.
[00:04:48.020 --> 00:04:51.980]   She is probably more conservative than I am,
[00:04:51.980 --> 00:04:53.460]   but I am also thrifty.
[00:04:53.460 --> 00:04:56.060]   I mean, I think we both came from humble beginnings.
[00:04:56.060 --> 00:05:00.560]   And so we both have a similar mindset about money.
[00:05:00.560 --> 00:05:03.960]   We're both, we both live rather modestly
[00:05:03.960 --> 00:05:05.660]   or believe that that's how we should live,
[00:05:05.660 --> 00:05:07.300]   and so we live below our means.
[00:05:07.300 --> 00:05:11.340]   We both are good savers and investors,
[00:05:11.340 --> 00:05:15.080]   and so, and in terms of the kids,
[00:05:15.080 --> 00:05:17.820]   I think we do agree in terms of what we,
[00:05:17.820 --> 00:05:20.320]   how we would like to talk with them
[00:05:20.320 --> 00:05:22.520]   about their financial futures and that sort of thing,
[00:05:22.520 --> 00:05:24.220]   what we explain to them about our situation.
[00:05:24.220 --> 00:05:27.660]   So yeah, I'd say we're pretty much in sync,
[00:05:27.660 --> 00:05:29.960]   not in lockstep, but in sync.
[00:05:29.960 --> 00:05:31.560]   (audience laughing)
[00:05:31.560 --> 00:05:34.700]   - Can you discuss, have there been any areas
[00:05:34.700 --> 00:05:36.940]   in recent memory where there was a little bit
[00:05:36.940 --> 00:05:39.240]   of a disconnect where one of you wanted to go one way
[00:05:39.240 --> 00:05:41.980]   and the other wanted to go another way?
[00:05:41.980 --> 00:05:43.180]   - From a financial standpoint?
[00:05:43.180 --> 00:05:44.020]   - Yeah.
[00:05:44.020 --> 00:05:44.840]   - Okay.
[00:05:44.840 --> 00:05:47.240]   (audience laughing)
[00:05:47.240 --> 00:05:48.680]   How much time have we got?
[00:05:48.680 --> 00:05:51.820]   (audience laughing)
[00:05:51.820 --> 00:05:56.200]   Well, the thing that comes to mind
[00:05:56.200 --> 00:05:57.860]   most immediately is my retirement.
[00:05:57.860 --> 00:06:00.160]   So I actually retired in June,
[00:06:00.160 --> 00:06:03.200]   and it was a little bit sooner than I was planning to.
[00:06:03.200 --> 00:06:05.800]   I was planning to retire probably at the end of the year,
[00:06:05.800 --> 00:06:07.540]   but there was a difficult situation.
[00:06:07.540 --> 00:06:10.100]   I was in at work, and it was to the point
[00:06:10.100 --> 00:06:14.440]   where I had to do something, either change or retire.
[00:06:14.440 --> 00:06:16.980]   And I didn't really want to, at this stage of my career,
[00:06:16.980 --> 00:06:19.220]   start over into something else.
[00:06:19.220 --> 00:06:20.620]   And so we talked about retirement.
[00:06:20.620 --> 00:06:22.680]   So we went back and forth about,
[00:06:22.680 --> 00:06:25.280]   can you hang on to the end of the year?
[00:06:25.280 --> 00:06:31.460]   And so it was a good conversation
[00:06:31.460 --> 00:06:34.560]   to have leading up to my retirement,
[00:06:34.560 --> 00:06:36.740]   and it's one that we've even continued going forward
[00:06:36.740 --> 00:06:39.160]   because it brought to the surface a lot of things
[00:06:39.160 --> 00:06:40.800]   that we have to think about
[00:06:40.800 --> 00:06:42.980]   for our long-term future in retirement.
[00:06:42.980 --> 00:06:46.780]   So one of the decisions that we made along the way
[00:06:46.780 --> 00:06:49.420]   was that we paid off our mortgage,
[00:06:49.420 --> 00:06:51.320]   because we agreed early on
[00:06:51.320 --> 00:06:53.940]   that we were not gonna retire with a mortgage.
[00:06:53.940 --> 00:06:55.620]   And there's been some discussion around that.
[00:06:55.620 --> 00:06:57.920]   We had a good discussion the other night at dinner,
[00:06:57.920 --> 00:06:59.880]   last night at dinner, about it.
[00:06:59.880 --> 00:07:02.360]   But that was a decision that we made personally.
[00:07:02.360 --> 00:07:04.500]   But even as we agreed on that,
[00:07:04.500 --> 00:07:07.160]   there were other things that we didn't agree on
[00:07:07.160 --> 00:07:11.040]   in terms of, can I afford to leave yet?
[00:07:11.040 --> 00:07:12.900]   Should I hang on to the end of the year,
[00:07:12.900 --> 00:07:14.940]   even after we paid off the mortgage?
[00:07:14.940 --> 00:07:17.080]   Should I hang on and then take the mortgage payments
[00:07:17.080 --> 00:07:18.700]   and put that into a savings account
[00:07:18.700 --> 00:07:21.140]   so we have a little bit of cushion by the time I retire?
[00:07:21.140 --> 00:07:24.680]   And obviously, I retired sooner than that.
[00:07:24.680 --> 00:07:26.920]   (laughs)
[00:07:26.920 --> 00:07:29.020]   So yeah, that was probably the most recent thing
[00:07:29.020 --> 00:07:32.860]   where we had a little bit of intense discussion.
[00:07:32.860 --> 00:07:35.780]   - Yeah, so I wanted to ask about that.
[00:07:35.780 --> 00:07:38.500]   And Michelle and I talked about this separately,
[00:07:38.500 --> 00:07:41.100]   this idea of when you retire,
[00:07:41.100 --> 00:07:44.560]   if you've been a saver your whole life,
[00:07:44.560 --> 00:07:48.560]   your whole career, transitioning into spending mode
[00:07:48.560 --> 00:07:52.340]   or having to tap that portfolio, it feels bad.
[00:07:52.340 --> 00:07:56.340]   So Michelle, maybe you can talk about
[00:07:56.340 --> 00:07:58.080]   kind of making peace with that,
[00:07:58.080 --> 00:08:00.020]   which we all must do eventually.
[00:08:00.020 --> 00:08:02.740]   We're gonna have to, that was the point, right?
[00:08:02.740 --> 00:08:05.860]   That we saved to retire at some point.
[00:08:05.860 --> 00:08:09.120]   So talk about that. - In theory, yeah, in theory.
[00:08:09.120 --> 00:08:11.820]   I love the last panel was Mike said, "Get therapy."
[00:08:11.820 --> 00:08:13.360]   Yes, I'm getting therapy.
[00:08:13.360 --> 00:08:15.100]   (audience laughs)
[00:08:15.100 --> 00:08:19.060]   Kevin was actually kind, because for those of you here,
[00:08:19.060 --> 00:08:20.900]   last year I talked about how I grew up.
[00:08:20.900 --> 00:08:24.080]   And so I grew up with my grandmother who was very frugal.
[00:08:24.080 --> 00:08:26.640]   And I've always had this fear
[00:08:26.640 --> 00:08:28.600]   that I'm not gonna have enough.
[00:08:28.600 --> 00:08:29.920]   And so I actually did write a column
[00:08:29.920 --> 00:08:31.080]   about my husband's gonna retire
[00:08:31.080 --> 00:08:32.840]   and I'm scared we're gonna run out of money
[00:08:32.840 --> 00:08:34.520]   and we're not gonna run out of money.
[00:08:34.520 --> 00:08:39.520]   But it's so hard when you spend your entire life,
[00:08:39.520 --> 00:08:44.960]   your entire existence saving, saving, saving,
[00:08:44.960 --> 00:08:47.880]   denying, denying, denying.
[00:08:47.880 --> 00:08:49.480]   They can tell you some things.
[00:08:49.480 --> 00:08:51.920]   And then all of a sudden people are like,
[00:08:51.920 --> 00:08:53.120]   "Well, you can spend."
[00:08:53.120 --> 00:08:56.120]   And that's actually where we had the most intense fellowship
[00:08:56.120 --> 00:08:58.240]   because he wants to spend the money.
[00:08:58.240 --> 00:09:00.880]   (audience laughs)
[00:09:00.880 --> 00:09:02.080]   I don't wanna spend.
[00:09:02.080 --> 00:09:05.960]   And so he wants to buy something and I'm like, "What, no."
[00:09:05.960 --> 00:09:09.160]   And he'll put something in the Amazon box
[00:09:09.160 --> 00:09:11.140]   and I'll take it out of the Amazon box.
[00:09:11.140 --> 00:09:12.480]   (audience laughs)
[00:09:12.480 --> 00:09:13.880]   And so he says, "Well, honey,
[00:09:13.880 --> 00:09:17.240]   "we spent all this time saving this.
[00:09:17.240 --> 00:09:20.960]   "Let's enjoy it, 'cause we don't wanna leave it to."
[00:09:20.960 --> 00:09:23.800]   (audience laughs)
[00:09:23.800 --> 00:09:27.840]   'Cause he said, "If we don't enjoy it,
[00:09:27.840 --> 00:09:30.400]   "they're gonna enjoy it."
[00:09:30.400 --> 00:09:32.880]   And so I can't get there.
[00:09:32.880 --> 00:09:35.520]   And I'm not gonna lie, I'm not there yet.
[00:09:35.520 --> 00:09:38.320]   And the only way he is allowed to put stuff
[00:09:38.320 --> 00:09:41.760]   back into the Amazon box is he'll say,
[00:09:41.760 --> 00:09:43.760]   we have phrases that we say in our marriage
[00:09:43.760 --> 00:09:45.920]   to help us not fuss and cuss.
[00:09:45.920 --> 00:09:49.600]   And so he'll say, "Well, let's go to the net worth statement."
[00:09:49.600 --> 00:09:50.920]   I hate that.
[00:09:50.920 --> 00:09:52.880]   (audience laughs)
[00:09:52.880 --> 00:09:55.800]   Because a personal net worth statement,
[00:09:55.800 --> 00:09:58.060]   all the assets and all the liabilities,
[00:09:58.060 --> 00:10:00.640]   and at the bottom half, it's zero, zero, zero,
[00:10:00.640 --> 00:10:02.120]   zero, zero, zero, zero.
[00:10:02.120 --> 00:10:05.140]   And then the net worth, which is,
[00:10:05.140 --> 00:10:08.720]   shh, don't tell him, is considerable.
[00:10:08.720 --> 00:10:11.000]   And so he'll say, "Look at that."
[00:10:11.000 --> 00:10:13.780]   And I just get mad, because then I have to let him
[00:10:13.780 --> 00:10:15.400]   put something back in the Amazon box.
[00:10:15.400 --> 00:10:17.680]   (audience laughs)
[00:10:17.680 --> 00:10:19.200]   But it's very difficult.
[00:10:19.200 --> 00:10:20.480]   And I think Mike was right.
[00:10:20.480 --> 00:10:23.920]   I think those of us who are the aunt,
[00:10:23.920 --> 00:10:26.760]   and that example of the aunt and the grasshopper,
[00:10:26.760 --> 00:10:30.840]   we do have to come to the point where it's okay
[00:10:30.840 --> 00:10:34.280]   to spend some of it and live a life
[00:10:34.280 --> 00:10:37.520]   that you've spent your whole life trying to do.
[00:10:37.520 --> 00:10:40.080]   And what I loved about this conference this whole weekend
[00:10:40.080 --> 00:10:44.300]   is strategies to do that, to make yourself more comfortable.
[00:10:44.300 --> 00:10:49.240]   And I have to say that you really have relieved me.
[00:10:49.240 --> 00:10:50.920]   You've helped me this weekend.
[00:10:50.920 --> 00:10:54.900]   I'm not saying he could buy everything in the Amazon box,
[00:10:54.900 --> 00:10:59.640]   but a couple of more things, because we have a good plan.
[00:10:59.640 --> 00:11:03.140]   - So Michelle, like in addition to getting therapy
[00:11:03.140 --> 00:11:06.160]   or something, what strategies will you use
[00:11:06.160 --> 00:11:09.200]   to help you over this hurdle when you eventually retire
[00:11:09.200 --> 00:11:11.280]   and your income stops altogether?
[00:11:11.280 --> 00:11:12.760]   - Ooh, see that right there?
[00:11:12.760 --> 00:11:14.240]   (audience laughs)
[00:11:14.240 --> 00:11:15.860]   My heart started palpitating.
[00:11:15.860 --> 00:11:22.200]   So I think the whole weekend was like plan, plan, plan.
[00:11:22.200 --> 00:11:27.200]   And so we started retirement planning like 20 years ago,
[00:11:27.200 --> 00:11:29.380]   and I'm not exaggerating.
[00:11:29.380 --> 00:11:32.060]   So one of the big things was to pay the house off.
[00:11:32.060 --> 00:11:34.220]   And I wrote a column about that, and oh my gosh,
[00:11:34.220 --> 00:11:36.940]   people lost their everlasting mind.
[00:11:36.940 --> 00:11:41.500]   Because we used some funds, we did a mortgage recast,
[00:11:41.500 --> 00:11:43.340]   we made extra mortgage payments.
[00:11:43.340 --> 00:11:45.740]   For the entire time we had a mortgage,
[00:11:45.740 --> 00:11:47.700]   we had, now some of you will probably cringe,
[00:11:47.700 --> 00:11:50.500]   we had like a 2.75% mortgage, and people were like,
[00:11:50.500 --> 00:11:54.040]   "How could you give that cheap money?"
[00:11:54.040 --> 00:11:56.280]   And I was like, "Mind your business."
[00:11:56.280 --> 00:11:58.040]   (audience laughs)
[00:11:58.040 --> 00:12:00.560]   So that was one thing to pay off the mortgage.
[00:12:00.560 --> 00:12:02.440]   I like pots.
[00:12:02.440 --> 00:12:04.820]   I'm a pot person, not that kind of pot.
[00:12:04.820 --> 00:12:07.360]   (audience laughs)
[00:12:07.360 --> 00:12:08.760]   Pots, plural.
[00:12:08.760 --> 00:12:12.560]   So we have a travel fund, we've set them up,
[00:12:12.560 --> 00:12:17.320]   we saved enough that none of them have education debt.
[00:12:17.320 --> 00:12:20.320]   They actually even have money to go to grad school.
[00:12:20.320 --> 00:12:21.920]   So we made sure that was okay.
[00:12:21.920 --> 00:12:23.240]   We have a cash fund.
[00:12:23.240 --> 00:12:25.600]   So we have set things to the point
[00:12:25.600 --> 00:12:28.080]   where we know how to pull stuff out.
[00:12:28.080 --> 00:12:29.920]   And so now the next thing
[00:12:29.920 --> 00:12:32.360]   is to do some more tax management, things like that.
[00:12:32.360 --> 00:12:36.320]   So we made sure we keep our expenses in check.
[00:12:36.320 --> 00:12:41.320]   And we just made sure that the groundwork was there
[00:12:41.320 --> 00:12:43.480]   to allow us to spend.
[00:12:43.480 --> 00:12:46.480]   Now I just gotta get the mental thing together.
[00:12:46.480 --> 00:12:48.480]   And I'm not, I'm just not gonna lie.
[00:12:48.480 --> 00:12:49.600]   I'm just not there yet.
[00:12:49.600 --> 00:12:51.080]   He is.
[00:12:51.080 --> 00:12:53.000]   So I don't know.
[00:12:53.000 --> 00:12:55.080]   (laughs)
[00:12:55.080 --> 00:12:59.680]   - So Olivia and Jillian, I wanna bring you into this.
[00:12:59.680 --> 00:13:02.080]   Michelle said that when you were growing up,
[00:13:02.080 --> 00:13:06.480]   there was a lot of like, no, we are saving for,
[00:13:06.480 --> 00:13:09.160]   I want you to graduate college debt-free.
[00:13:09.160 --> 00:13:10.940]   Can you talk about sort of that?
[00:13:10.940 --> 00:13:13.180]   Like you wanted this and your mom and dad
[00:13:13.180 --> 00:13:15.780]   were sort of telling you that you needed
[00:13:15.780 --> 00:13:18.640]   to delay that gratification into the future.
[00:13:19.520 --> 00:13:21.480]   (laughs)
[00:13:21.480 --> 00:13:22.960]   - Yeah, there's lots of stories.
[00:13:22.960 --> 00:13:25.500]   I actually, I don't know what age I was,
[00:13:25.500 --> 00:13:27.980]   but for Christmas or your birthday or something,
[00:13:27.980 --> 00:13:30.340]   we made like a booklet of all the like sayings
[00:13:30.340 --> 00:13:33.320]   that she would say to us like over and over again.
[00:13:33.320 --> 00:13:35.280]   Like, is it a need or a want?
[00:13:35.280 --> 00:13:36.840]   Do you have McDonald's money?
[00:13:36.840 --> 00:13:41.040]   Like, it's a lot of, you know, college fund, college fund.
[00:13:41.040 --> 00:13:42.120]   Like, do you can't have that
[00:13:42.120 --> 00:13:43.240]   'cause we're paying for your college fund.
[00:13:43.240 --> 00:13:45.160]   Like it was like a lot of stuff
[00:13:45.160 --> 00:13:47.000]   whenever we would ask for things
[00:13:47.000 --> 00:13:49.700]   or just lots of money conversations.
[00:13:49.700 --> 00:13:52.560]   It was pretty intense.
[00:13:52.560 --> 00:13:53.400]   (laughs)
[00:13:53.400 --> 00:13:54.240]   I'm not gonna lie.
[00:13:54.240 --> 00:13:55.800]   It was pretty intense.
[00:13:55.800 --> 00:13:58.880]   It was quite a lot of like money conversations
[00:13:58.880 --> 00:13:59.720]   and a lot of, like she was saying,
[00:13:59.720 --> 00:14:01.360]   like a lot of denying, you know,
[00:14:01.360 --> 00:14:03.800]   like we would get things after it was like not cool
[00:14:03.800 --> 00:14:06.700]   to have them anymore and they were like on sale
[00:14:06.700 --> 00:14:08.560]   or nobody cared about having that thing anymore.
[00:14:08.560 --> 00:14:11.240]   Then we got it and it was like, well, thank you.
[00:14:11.240 --> 00:14:15.140]   And also like, this is maybe three years behind
[00:14:15.140 --> 00:14:17.200]   like what everyone else is doing.
[00:14:17.200 --> 00:14:19.120]   So then we just kind of learned to stop
[00:14:19.120 --> 00:14:21.440]   like paying attention or caring, you know,
[00:14:21.440 --> 00:14:22.720]   about what people were having.
[00:14:22.720 --> 00:14:24.160]   'Cause we were like, well, we're just not gonna get it.
[00:14:24.160 --> 00:14:26.920]   So you kind of have to like self-soothe
[00:14:26.920 --> 00:14:29.720]   and say that it's fine, you know.
[00:14:29.720 --> 00:14:32.400]   We'll focus on other things, I guess.
[00:14:32.400 --> 00:14:34.480]   - Yeah, I think that I remember
[00:14:34.480 --> 00:14:36.240]   a lot of the rules the most.
[00:14:36.240 --> 00:14:38.280]   Like, I first remember I asked for like
[00:14:38.280 --> 00:14:39.840]   some really elaborate payment
[00:14:39.840 --> 00:14:42.280]   and she got me one that had like a saving,
[00:14:42.280 --> 00:14:46.240]   a spending, an investing, a charity, little spots in them.
[00:14:46.240 --> 00:14:48.840]   So of course I put all of the ones in the savings.
[00:14:48.840 --> 00:14:51.880]   What a 10 year old has to invest, I don't know.
[00:14:51.880 --> 00:14:52.720]   But you know, then I was like,
[00:14:52.720 --> 00:14:54.520]   if you went to the grocery store
[00:14:54.520 --> 00:14:56.880]   and I picked something up and I didn't know the price of it,
[00:14:56.880 --> 00:14:59.160]   what it was, I automatically had to put it back.
[00:14:59.160 --> 00:15:01.480]   So when you started, you had to remember the price
[00:15:01.480 --> 00:15:03.840]   and be like, let me get this, this is 3.25,
[00:15:03.840 --> 00:15:05.320]   I promise I'll open it up.
[00:15:05.320 --> 00:15:09.960]   And then sort of like that kind of stuff, yeah.
[00:15:09.960 --> 00:15:12.800]   - What was sort of the light bulb moment for you?
[00:15:12.800 --> 00:15:15.320]   Like, oh, here's why we're doing this.
[00:15:15.320 --> 00:15:17.400]   Like, when did you feel like
[00:15:17.400 --> 00:15:20.300]   you really got the method to the madness?
[00:15:20.300 --> 00:15:24.180]   - Ooh, it was late, I would say.
[00:15:24.180 --> 00:15:29.440]   I would probably say after graduating college
[00:15:29.440 --> 00:15:31.260]   or maybe sometime in college
[00:15:31.260 --> 00:15:34.000]   and hearing people talk about kind of the loans
[00:15:34.000 --> 00:15:37.200]   and being stressed out about, you know, repayments
[00:15:37.200 --> 00:15:40.680]   and being able to graduate and not have to worry about that,
[00:15:40.680 --> 00:15:42.960]   it really started to click for me
[00:15:42.960 --> 00:15:44.680]   and I could make different decisions
[00:15:44.680 --> 00:15:46.680]   than my friends were making.
[00:15:46.680 --> 00:15:49.160]   And I was like, oh, okay, this has a really big impact.
[00:15:49.160 --> 00:15:51.040]   And especially when I went and got my master's
[00:15:51.040 --> 00:15:52.200]   and that was also debt-free,
[00:15:52.200 --> 00:15:54.160]   like that was like a huge game changer
[00:15:54.160 --> 00:15:56.160]   'cause I was talking to people in my program
[00:15:56.160 --> 00:16:00.600]   who had undergrad debt and then also had master's debt.
[00:16:00.600 --> 00:16:02.600]   And I went into social work,
[00:16:02.600 --> 00:16:04.080]   which depending on what you do
[00:16:04.080 --> 00:16:07.040]   is not like a super high paying career.
[00:16:07.040 --> 00:16:08.600]   And so a lot of the people in the program
[00:16:08.600 --> 00:16:12.920]   were talking about that and kind of the stress of that
[00:16:12.920 --> 00:16:15.400]   and saying like, well, I have this passion to serve
[00:16:15.400 --> 00:16:18.400]   and I have to go to school and get all of this debt
[00:16:18.400 --> 00:16:20.700]   and then my earning potential when I graduate,
[00:16:20.700 --> 00:16:22.620]   it's a really stressful circumstance for them.
[00:16:22.620 --> 00:16:25.440]   And I just felt so like grateful
[00:16:25.440 --> 00:16:27.920]   that I didn't have to worry about that.
[00:16:27.920 --> 00:16:30.480]   And I think that's when it really started to click like,
[00:16:30.480 --> 00:16:32.000]   oh, okay, maybe, you know,
[00:16:32.000 --> 00:16:34.120]   like all of the silent like resentment,
[00:16:34.120 --> 00:16:36.960]   like, you know, not having the things
[00:16:36.960 --> 00:16:39.280]   like it actually really mattered
[00:16:39.280 --> 00:16:41.760]   and like all of that stuff is kind of irrelevant now
[00:16:41.760 --> 00:16:45.080]   because I'm in a position to have so much more flexibility
[00:16:45.080 --> 00:16:47.160]   and freedom than a lot of my peers.
[00:16:47.160 --> 00:16:52.120]   - Yeah, I would say mine was my experience was similar.
[00:16:52.120 --> 00:16:54.880]   Like I think maybe after my first year in college,
[00:16:54.880 --> 00:16:58.120]   just talking to my peers and like realizing like how much
[00:16:58.120 --> 00:17:00.120]   like they actually had to take out already
[00:17:00.120 --> 00:17:01.480]   just in the first year.
[00:17:01.480 --> 00:17:03.700]   And that was actually when I started thinking like,
[00:17:03.700 --> 00:17:05.360]   oh, what about my master's degree?
[00:17:05.360 --> 00:17:07.400]   So I started applying to scholarships
[00:17:07.400 --> 00:17:10.640]   and then I got full ride in my last three years of school
[00:17:10.640 --> 00:17:13.560]   and I was like, okay, now I can have my master's degree.
[00:17:13.560 --> 00:17:15.320]   So it really just made it like,
[00:17:15.320 --> 00:17:17.400]   I was just thinking much more ahead
[00:17:17.400 --> 00:17:19.800]   just because of like the foundation that we had.
[00:17:19.800 --> 00:17:21.280]   - Yeah, so Kevin and Michelle,
[00:17:21.280 --> 00:17:24.880]   I wanna back up and talk about how it was such a pride,
[00:17:24.880 --> 00:17:27.680]   why it was such a priority for you
[00:17:27.680 --> 00:17:30.560]   to not have your kids emerge from college
[00:17:30.560 --> 00:17:32.120]   with a bunch of debt.
[00:17:32.120 --> 00:17:35.720]   - Yeah, I will have to say we're,
[00:17:35.720 --> 00:17:38.640]   I don't wanna say 'cause we're with our people.
[00:17:38.640 --> 00:17:39.840]   So y'all acquired too.
[00:17:39.840 --> 00:17:43.640]   So, but out there, the abnormal people,
