
[00:00:00.040 --> 00:00:09.460]  � ex
[00:07:18.920 --> 00:07:18.920]   The fact is that you don't have the right to do what you want to do.
[00:07:18.920 --> 00:07:18.920]   The fact is that you don't have the right to do what you want to do.
[00:07:18.920 --> 00:07:18.920]   The fact is that you don't have the right to do what you want to do.
[00:07:18.920 --> 00:07:18.920]   The fact is that you don't have the right to do what you want to do.
[00:07:18.920 --> 00:07:18.920]   The fact is that you don't have the right to do what you want to do.
[00:07:18.920 --> 00:07:18.920]   The fact is that you don't have the right to do what you want to do.
[00:07:18.940 --> 00:07:48.940]   The fact is that you don't have the right to do what you want to do.
[00:07:48.940 --> 00:07:48.940]   The fact is that you don't have the right to do what you want to do.
[00:07:48.940 --> 00:07:48.940]   The fact is that you don't have the right to do what you want to do.
[00:07:48.940 --> 00:07:48.940]   The fact is that you don't have the right to do what you want to do.
[00:07:48.940 --> 00:07:48.940]   The fact is that you don't have the right to do what you want to do.
[00:07:48.940 --> 00:07:48.940]   The fact is that you don't have the right to do what you want to do.
[00:07:48.940 --> 00:07:48.940]   The fact is that you don't have the right to do what you want to do.
[00:07:48.940 --> 00:07:48.940]   The fact is that you don't have the right to do what you want to do.
[00:07:48.940 --> 00:07:48.940]   The fact is that you don't have the right to do what you want to do.
[00:07:48.940 --> 00:07:48.940]   The fact is that you don't have the right to do what you want to do.
[00:07:48.960 --> 00:08:18.960]   The fact is that you don't have the right to do what you want to do.
[00:08:18.960 --> 00:08:18.960]   The fact is that you don't have the right to do what you want to do.
[00:08:18.960 --> 00:08:18.960]   The fact is that you don't have the right to do what you want to do.
[00:08:18.960 --> 00:08:18.960]   The fact is that you don't have the right to do what you want to do.
[00:08:18.960 --> 00:08:18.960]   The fact is that you don't have the right to do what you want to do.
[00:08:18.960 --> 00:08:18.960]   The fact is that you don't have the right to do what you want to do.
[00:08:18.960 --> 00:08:18.960]   The fact is that you don't have the right to do what you want to do.
[00:08:18.960 --> 00:08:18.960]   The fact is that you don't have the right to do what you want to do.
[00:08:18.960 --> 00:08:18.960]   The fact is that you don't have the right to do what you want to do.
[00:08:18.960 --> 00:08:18.960]   The fact is that you don't have the right to do what you want to do.
[00:08:18.980 --> 00:08:48.980]   The fact is that you don't have the right to do what you want to do.
[00:08:48.980 --> 00:08:48.980]   The fact is that you don't have the right to do what you want to do.
[00:08:48.980 --> 00:08:48.980]   The fact is that you don't have the right to do what you want to do.
[00:08:48.980 --> 00:08:48.980]   The fact is that you don't have the right to do what you want to do.
[00:08:48.980 --> 00:08:48.980]   The fact is that you don't have the right to do what you want to do.
[00:08:48.980 --> 00:08:48.980]   The fact is that you don't have the right to do what you want to do.
[00:08:48.980 --> 00:08:48.980]   The fact is that you don't have the right to do what you want to do.
[00:08:48.980 --> 00:08:48.980]   The fact is that you don't have the right to do what you want to do.
[00:08:48.980 --> 00:08:48.980]   The fact is that you don't have the right to do what you want to do.
[00:08:48.980 --> 00:08:48.980]   The fact is that you don't have the right to do what you want to do.
[00:08:49.000 --> 00:09:19.000]   I think that you don't have the right to do what you want to do.
[00:09:19.000 --> 00:09:19.000]   The fact is that you don't have the right to do what you want to do.
[00:09:19.000 --> 00:09:19.000]   The fact is that you don't have the right to do what you want to do.
[00:09:19.000 --> 00:09:19.000]   The fact is that you don't have the right to do what you want to do.
[00:09:19.000 --> 00:09:19.000]   The fact is that you don't have the right to do what you want to do.
[00:09:19.000 --> 00:09:19.000]   The fact is that you don't have the right to do what you want to do.
[00:09:19.000 --> 00:09:19.000]   The fact is that you don't have the right to do what you want to do.
[00:09:19.000 --> 00:09:19.000]   The fact is that you don't have the right to do what you want to do.
[00:09:19.000 --> 00:09:19.000]   The fact is that you don't have the right to do what you want to do.
[00:09:19.000 --> 00:09:19.000]   The fact is that you don't have the right to do what you want to do what you want to do.
[00:09:19.040 --> 00:09:49.020]   underway.
[00:09:49.060 --> 00:09:58.800]   weigh
[00:09:58.800 --> 00:10:17.060]   Se Z И peers and I be your
[00:10:17.420 --> 00:10:45.720]   잊은 자 ginseng and I be your se si si si si si si si si si si si si si si si si si si si.
[00:10:45.720 --> 00:10:45.740]   Dictatorship.
[00:10:45.740 --> 00:10:45.740]   The opposite side.
[00:10:45.740 --> 00:10:45.740]   The way you avoid it is something that was built essentially by British philosophers and French philosophers but was encapsulated by the founding fathers of the United States. You create a balance between the three branches of government. The legislative, executive, and the judiciary. And this balance is what assures the balance between majority rights and individual rights.
[00:10:45.740 --> 00:10:45.740]   The way you avoid it is something that was built essentially by British philosophers and French philosophers but was encapsulated by the founding fathers of the United States. You create a balance between the three branches of government. The legislative, executive, and the judiciary. And this balance is what assures the balance between majority rights and individual rights.
[00:10:45.780 --> 00:11:14.100]  , and individual rights. And you have to balance all of them. Okay. That balance was maintained in Israel in its first 50 years and was gradually overtaken and basically broken by the most activist judicial court on the planet. That's what happened here. Gradually over the last two, three decades, the court arrogated for itself the powers of the parliament and the executive.
[00:11:14.120 --> 00:11:42.460]   So we're trying to bring it back into line. Bringing it back into line into what is common in all parliamentary democracies and in the United States doesn't mean taking the pendulum from one side and bringing it to the other side. We want checks and balances, not unrivaled power. Just as we said, we want an independent judiciary but not an all-powerful judiciary. That balance does not mean bringing it back into line. It doesn't mean that you can have the parliament architect.
[00:11:42.500 --> 00:11:47.740]   continue
[00:11:47.740 --> 00:11:56.320]   figure Melissa E a love corpor
[00:12:11.360 --> 00:12:22.380]   least
[00:16:00.920 --> 00:16:03.300]   And I'm not saying that you can't do it.
[00:16:03.300 --> 00:16:04.680]   I'm saying that you can't do it.
[00:16:04.680 --> 00:16:05.420]   I'm saying that you can't do it.
[00:16:05.420 --> 00:16:06.160]   I'm saying that you can't do it.
[00:16:06.160 --> 00:16:06.920]   I'm saying that you can't do it.
[00:16:06.920 --> 00:16:07.580]   I'm saying that you can't do it.
[00:16:07.580 --> 00:16:08.680]   I'm saying that you can't do it.
[00:16:08.680 --> 00:16:09.740]   I'm saying that you can't do it.
[00:16:09.740 --> 00:16:10.920]   I'm saying that you can't do it.
[00:16:10.920 --> 00:16:11.920]   I'm saying that you can't do it.
[00:16:11.920 --> 00:16:12.920]   I'm saying that you can't do it.
[00:16:12.920 --> 00:16:13.920]   I'm saying that you can't do it.
[00:16:13.920 --> 00:16:14.920]   I'm saying that you can't do it.
[00:16:14.920 --> 00:16:15.920]   I'm saying that you can't do it.
[00:16:15.920 --> 00:16:16.920]   I'm saying that you can't do it.
[00:16:16.920 --> 00:16:17.920]   I'm saying that you can't do it.
[00:16:17.920 --> 00:16:18.920]   I'm saying that you can't do it.
[00:16:18.920 --> 00:16:19.920]   I'm saying that you can't do it.
[00:16:19.960 --> 00:16:27.540]   de
[00:16:27.540 --> 00:16:31.760]  essions't, isDS L E And at, you, you,,,,,.
[00:16:31.760 --> 00:16:48.860]   Hell " за欢 but Bei Berg hoe
[00:16:49.360 --> 00:16:51.180]  orter" th.
[00:16:51.180 --> 00:17:18.760]   Корректор - Umar Al-Masri
[00:17:18.760 --> 00:17:18.760]   Zsók - Umar Al-Masri
[00:17:18.760 --> 00:17:18.760]   Zsók - Umar Al-Masri
[00:17:18.760 --> 00:17:18.760]   Zsók - Umar Al-Masri
[00:17:18.760 --> 00:17:18.760]   Zsók - Umar Al-Masri
[00:17:18.760 --> 00:17:18.760]   Zsók - Umar Al-Masri
[00:17:18.760 --> 00:17:18.760]   Zsók - Umar Al-Masri
[00:17:18.760 --> 00:17:18.760]   Zsók - Umar Al-Masri
[00:17:18.760 --> 00:17:18.760]   Zsók - Umar Al-Masri
[00:17:18.760 --> 00:17:18.800]   Zsók - Umar Al-Masri
[00:17:18.800 --> 00:17:18.860]   Zsók - Umar Al-Masri
[00:17:18.860 --> 00:17:18.920]   Zsók - Umar Al-Masri
[00:17:18.920 --> 00:17:18.980]   Zsók - Umar Al-Masri
[00:17:18.980 --> 00:17:19.020]   Zsók - Umar Al-Masri
[00:17:19.020 --> 00:17:19.080]   Zsók - Umar Al-Masri
[00:17:19.120 --> 00:17:26.120]   "I understand that AI is developing at a geometric rate.
[00:17:26.120 --> 00:17:30.220]   And mostly in political life and in life in general,
[00:17:30.220 --> 00:17:33.640]   people don't have an intuitive grasp of geometric growth.
[00:17:33.640 --> 00:17:38.240]   You understand things basically in linear increments.
[00:17:38.240 --> 00:17:43.360]   And the idea that you're coming up a ski slope is very foreign to people.
[00:17:43.360 --> 00:17:47.040]   So they don't understand it and they're naturally also
[00:17:47.040 --> 00:17:49.100]   "I understand that AI is developing at a geometric rate.
[00:17:49.100 --> 00:17:49.100]   And they're naturally also understanding that it's going to be a linear increment.
[00:17:49.100 --> 00:17:49.100]   And they're naturally also understanding that it's going to be a linear increment.
[00:17:49.100 --> 00:17:49.100]   And they're naturally also understanding that it's going to be a linear increment.
[00:17:49.100 --> 00:17:49.100]   And they're naturally also understanding that it's going to be a linear increment.
[00:17:49.140 --> 00:18:00.040]   sound
[00:18:00.040 --> 00:18:03.920]   plank the is the
[00:19:12.120 --> 00:19:22.100]   L
[00:19:22.100 --> 00:19:23.140]   treat, work,
[00:19:23.140 --> 00:19:35.720]  �'m not is going but find包 vé play butosa made i M E W S G E H E Nas continue starve the de heart. I's, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the,, was, kidney bean, свой Scholars organs. Rus bun upload theseב�
[00:19:35.720 --> 00:19:38.700]  し,guard.� DOM:,
[00:19:38.700 --> 00:19:40.140]  ,
[00:19:40.140 --> 00:19:41.400]  . attend Ashtime.
[00:19:41.400 --> 00:19:42.100]   Chungha,
[00:19:42.140 --> 00:19:42.500]   didnt,
[00:19:42.500 --> 00:19:44.060]  . this fiction would become fact.
[00:19:44.060 --> 00:19:44.960]   And,
[00:19:44.960 --> 00:19:45.980]   it was a book.
[00:19:45.980 --> 00:19:47.060]   It was a novel about,
[00:19:47.060 --> 00:19:47.460]   um,
[00:19:47.460 --> 00:19:48.380]   uh,
[00:19:48.380 --> 00:19:51.260]   a Chinese American future cyber war.
[00:19:51.260 --> 00:19:53.120]   And I read the book,
[00:19:53.120 --> 00:19:53.900]   one sitting,
[00:19:53.900 --> 00:19:54.980]   uh,
[00:19:54.980 --> 00:19:56.720]   called in a team of experts.
[00:19:56.720 --> 00:19:57.120]   And I said,
[00:19:57.120 --> 00:19:57.320]   all right,
[00:19:57.320 --> 00:19:57.620]   let's,
[00:19:57.620 --> 00:19:57.820]   uh,
[00:19:57.820 --> 00:19:59.540]   let's turn Israel into,
[00:19:59.540 --> 00:19:59.760]   um,
[00:19:59.760 --> 00:20:02.240]   one of the world's five cyber powers.
[00:20:02.240 --> 00:20:03.320]   And let's do it very quickly.
[00:20:03.320 --> 00:20:03.800]   And we did,
[00:20:03.800 --> 00:20:04.200]   actually,
[00:20:04.200 --> 00:20:04.640]   we did,
[00:20:04.640 --> 00:20:05.600]   we did exactly that.
[00:20:05.600 --> 00:20:06.900]   Uh,
[00:20:06.900 --> 00:20:12.040]   I think AI is bigger than that and related to that because,
[00:20:12.040 --> 00:20:12.080]   um,
[00:20:12.080 --> 00:20:12.120]   ,
[00:20:12.120 --> 00:20:12.120]   I,
[00:20:12.120 --> 00:20:12.120]   I think AI is bigger than that and related to that because in the world,
[00:20:12.160 --> 00:20:42.140]   I think AI is bigger than that and related to that because in the world,
[00:20:42.140 --> 00:20:42.140]   Well, cyber affects everything, but AI will affect it even more fundamentally. And the joining of the two could be very powerful. So I think in Israel we have to, we have to do it anyway for security reasons and we're doing it. But I think what about, what about our databases that are already very robust on, on the medical records of 98% of our population? Why don't we stick a genetic database on that? Why don't we do other things that could be used to protect us?
[00:20:42.180 --> 00:20:52.500]  였습니다
[00:20:52.500 --> 00:21:11.080]   do,
[00:21:11.640 --> 00:21:12.640]  이트,
[00:21:12.640 --> 00:21:41.060]   - The question I have an answer to is,
[00:21:41.060 --> 00:21:41.240]   - The question I have an answer to is,
[00:21:41.240 --> 00:21:41.560]   - The question I have an answer to is, where does it go?
[00:21:41.580 --> 00:22:11.520]   - The question I have an answer to is, where does it go?
[00:22:11.520 --> 00:22:11.560]   - The question I have an answer to is, where does it go?
[00:22:11.560 --> 00:22:11.560]   - The question I have an answer to is, where does it go?
[00:22:11.560 --> 00:22:11.600]   - The question I have an answer to is, where does it go?
[00:22:11.600 --> 00:22:11.600]   - The question I have an answer to is, where does it go?
[00:22:11.600 --> 00:22:11.600]   - The question I have an answer to is, where does it go?
[00:22:11.600 --> 00:22:11.600]   - The question I have an answer to is, where does it go?
[00:22:11.640 --> 00:22:41.640]  , The question I have an answer to is, where does it go?
[00:22:41.640 --> 00:22:41.640]   - The question I have an answer to is, where does it go?
[00:22:41.640 --> 00:22:41.640]   - The question I have an answer to is, where does it go?
[00:22:41.640 --> 00:22:41.640]   - The question I have an answer to is, where does it go?
[00:22:41.640 --> 00:22:41.640]   - The question I have an answer to is, where does it go?
[00:22:41.640 --> 00:22:41.640]   - The question I have an answer to is, where does it go?
[00:22:41.640 --> 00:22:41.640]   - The question I have an answer to is, where does it go?
[00:22:41.640 --> 00:22:41.640]   - The question I have an answer to is, where does it go?
[00:22:41.640 --> 00:22:41.640]   - The question I have an answer to is, where does it go?
[00:22:41.640 --> 00:22:41.640]   - The question I have an answer to is, where does it go?
[00:22:41.640 --> 00:22:41.640]   - The question I have an answer to is, where does it go?
[00:22:41.640 --> 00:22:41.640]   The question I have an answer to is, where does it go?
[00:22:41.640 --> 00:22:41.640]   The question I have an answer to is, where does it go?
[00:22:41.680 --> 00:22:52.460]   test
[00:22:52.460 --> 00:23:09.680]   go way
[00:23:09.680 --> 00:23:09.900]   Al Th I obtain Louis馬roid �, "nd, ", ", ",,,,,,,,,,,, about of a pass Little deredit's know who像ousauthang doivent извест synthат smart Sherlock am whatsoever
[00:23:10.100 --> 00:23:15.100]  bewildewiththewhatilannmaskallstheendofscarcity"
[00:23:15.100 --> 00:23:19.300]   So you'll have the end of scarcity. You'll have enormous productivity.
[00:23:19.300 --> 00:23:24.500]   You know, very few people are producing enormous added value.
[00:23:24.500 --> 00:23:28.700]   You're going to have to tax that to pass it to the others.
[00:23:28.700 --> 00:23:32.200]   Okay, you're going to have to do that. That's a political question.
[00:23:32.200 --> 00:23:33.900]   I'm not sure how we answer that.
[00:23:33.900 --> 00:23:38.100]   What if you tax and somebody else doesn't tax, you're going to get everybody to go there.
[00:23:38.100 --> 00:23:39.400]   That's an issue.
[00:23:39.480 --> 00:23:50.440]   more
[00:23:50.440 --> 00:24:07.860]   work hand atなん remember g
[00:24:37.280 --> 00:24:46.460]   설�
[00:24:46.460 --> 00:25:05.140]  acht in the ch這樣的
[00:25:06.240 --> 00:25:10.100]   onde estamos, e vamos a verificar. É um, record. E, sabe, nós não temos, não damos, não damos, "we'll check it"
[00:25:10.100 --> 00:25:11.780]   after our lifetime, no, we'll see it in a after our lifetime, no, we'll see it in a
[00:25:11.780 --> 00:25:13.880]   few years, we'll see in a few years. I'm few years, we'll see in a few years. I'm
[00:25:13.880 --> 00:25:15.580]   really concerned about cybersecurity and really concerned about cybersecurity and
[00:25:15.580 --> 00:25:18.120]   the nature of how that changes with the nature of how that changes with the
[00:25:18.120 --> 00:25:21.820]   power of AI, and in terms of existential power of AI, and in terms of existential
[00:25:21.820 --> 00:25:24.260]   threats, I think there will be so much threats threats, I think there will be so much
[00:25:24.260 --> 00:25:27.200]   threats that aren't existential along the threats that aren't existential along the
[00:25:27.200 --> 00:25:28.820]   way, that that's the thing I'm mostly way, that that's the thing I'm mostly
[00:25:28.820 --> 00:25:33.020]   concerned about versus AI taking complete concerned about versus AI taking complete
[00:25:33.960 --> 00:26:02.000]   didntont control and becoming sort of didnont control and becoming sort of superseding the human species, although that is superseding the human species, although that is something you should consider seriously, because of the exponential growth of its capabilities. It's exactly the exponential growth which we understand is before us, but we don't really, it's very hard to project forward. To really understand. That's right, exactly right. So, you know, I deal with what I can, where I can affect something. I tend not to worry about things I don't control. I deal with what I can, where I can affect something. I tend not to worry about things I don't control.
[00:26:02.040 --> 00:26:30.800]   apologize IG C I they vis
[00:26:32.060 --> 00:26:35.700]  --
[00:26:35.700 --> 00:26:43.820]   talk,
[00:26:48.000 --> 00:27:03.940]   I'm going to go ahead and start the video.
[00:27:03.940 --> 00:27:04.020]   I'm going to go ahead and start the video.
[00:27:04.020 --> 00:27:04.100]   I'm going to go ahead and start the video.
[00:27:04.100 --> 00:27:04.140]   I'm going to go ahead and start the video.
[00:27:04.140 --> 00:27:04.160]   I'm going to go ahead and start the video.
[00:27:04.160 --> 00:27:04.200]   I'm going to go ahead and start the video.
[00:27:04.200 --> 00:27:04.240]   I'm going to go ahead and start the video.
[00:27:04.240 --> 00:27:04.280]   I'm going to go ahead and start the video.
[00:27:04.280 --> 00:27:04.320]   I'm going to go ahead and start the video.
[00:27:04.320 --> 00:27:04.360]   I'm going to go ahead and start the video.
[00:27:04.360 --> 00:27:04.400]   I'm going to go ahead and start the video.
[00:27:04.400 --> 00:27:04.440]   I'm going to go ahead and start the video.
[00:27:04.440 --> 00:27:04.460]   I'm going to go ahead and start the video.
[00:27:04.460 --> 00:27:04.480]   I'm going to go ahead and start the video.
[00:27:04.480 --> 00:27:04.520]   I'm going to go ahead and start the video.
[00:27:04.520 --> 00:27:04.540]   I'm going to go ahead and start the video.
[00:27:04.540 --> 00:27:25.400]  ,
[00:27:25.400 --> 00:27:34.560]   I'm going to go ahead and start the video.
[00:27:34.560 --> 00:27:34.560]   I'm going to go ahead and start the video.
[00:27:34.560 --> 00:27:34.560]   I'm going to go ahead and start the video.
[00:27:34.560 --> 00:27:34.560]   I'm going to go ahead and start the video.
[00:27:34.560 --> 00:27:34.560]   I'm going to go ahead and start the video.
[00:27:34.560 --> 00:27:34.560]   I'm going to go ahead and start the video.
[00:27:34.560 --> 00:27:34.560]   I'm going to go ahead and start the video.
[00:27:34.560 --> 00:27:34.560]   I'm going to go ahead and start the video.
[00:27:34.560 --> 00:27:34.560]   I'm going to go ahead and start the video.
[00:27:34.560 --> 00:27:34.560]   I'm going to go ahead and start the video.
[00:27:34.560 --> 00:27:34.560]   I'm going to go ahead and start the video.
[00:27:34.560 --> 00:27:34.560]   I'm going to go ahead and start the video.
[00:27:34.560 --> 00:27:34.560]   I'm going to go ahead and start the video. I'm going to go ahead and start the video.
[00:27:34.580 --> 00:28:04.580]   I'm going to go ahead and start the video.
[00:28:04.580 --> 00:28:04.580]   I'm going to go ahead and start the video.
[00:28:04.580 --> 00:28:04.580]   I'm going to go ahead and start the video.
[00:28:04.580 --> 00:28:04.580]   I'm going to go ahead and start the video.
[00:28:04.580 --> 00:28:04.580]   I'm going to go ahead and start the video.
[00:28:04.580 --> 00:28:04.580]   I'm going to go ahead and start the video.
[00:28:04.580 --> 00:28:04.580]   I'm going to go ahead and start the video.
[00:28:04.580 --> 00:28:04.580]   I'm going to go ahead and start the video.
[00:28:04.580 --> 00:28:04.580]   I'm going to go ahead and start the video.
[00:28:04.580 --> 00:28:04.580]   I'm going to go ahead and start the video.
[00:28:04.580 --> 00:28:04.580]   I'm going to go ahead and start the video.
[00:28:04.580 --> 00:28:04.580]   I'm going to go ahead and start the video.
[00:28:04.580 --> 00:28:04.580]   I'm going to go ahead and start the video.
[00:28:04.580 --> 00:28:04.580]   I'm going to go ahead and start the video.
[00:28:04.580 --> 00:28:04.580]   I'm going to go ahead and start the video.
[00:28:04.580 --> 00:28:04.580]   I'm going to go ahead and start the video.
[00:28:04.580 --> 00:28:34.600]   I'm going to go ahead and start the video.
[00:28:34.600 --> 00:28:34.600]   I'm going to go ahead and start the video.
[00:28:34.600 --> 00:28:34.600]   I'm going to go ahead and start the video.
[00:28:34.600 --> 00:28:34.600]   I'm going to go ahead and start the video.
[00:28:34.600 --> 00:28:34.600]   I'm going to go ahead and start the video.
[00:28:34.600 --> 00:28:34.600]   I'm going to go ahead and start the video.
[00:28:34.600 --> 00:28:34.600]   I'm going to go ahead and start the video.
[00:28:34.600 --> 00:28:34.600]   I'm going to go ahead and start the video.
[00:28:34.600 --> 00:28:34.600]   I'm going to go ahead and start the video.
[00:28:34.600 --> 00:28:34.600]   I'm going to go ahead and start the video.
[00:28:34.600 --> 00:28:34.600]   I'm going to go ahead and start the video.
[00:28:34.620 --> 00:29:04.620]   I'm going to go ahead and start the video.
[00:29:04.620 --> 00:29:04.620]   I'm going to go ahead and start the video.
[00:29:04.620 --> 00:29:04.620]   I'm going to go ahead and start the video.
[00:29:04.620 --> 00:29:04.620]   I'm going to go ahead and start the video.
[00:29:04.620 --> 00:29:04.620]   I'm going to go ahead and start the video.
[00:29:04.620 --> 00:29:04.620]   I'm going to go ahead and start the video.
[00:29:04.620 --> 00:29:04.620]   I'm going to go ahead and start the video.
[00:29:04.620 --> 00:29:04.620]   I'm going to go ahead and start the video.
[00:29:04.620 --> 00:29:04.620]   I'm going to go ahead and start the video.
[00:29:04.620 --> 00:29:04.620]   I'm going to go ahead and start the video.
[00:29:04.620 --> 00:29:04.620]   I'm going to go ahead and start the video.
[00:29:04.620 --> 00:29:04.620]   I'm going to go ahead and start the video.
[00:29:04.620 --> 00:29:04.620]   I'm going to go ahead and start the video.
[00:29:04.620 --> 00:29:04.620]   I'm going to go ahead and start the video.
[00:29:04.620 --> 00:29:04.620]   I'm going to go ahead and start the video.
[00:29:04.620 --> 00:29:04.620]   I'm going to go ahead and start the video.
[00:29:04.620 --> 00:29:34.640]   I'm going to go ahead and start the video.
[00:29:34.640 --> 00:29:34.640]   I'm going to go ahead and start the video.
[00:29:34.640 --> 00:29:34.640]   I'm going to go ahead and start the video.
[00:29:34.640 --> 00:29:34.640]   I'm going to go ahead and start the video.
[00:29:34.640 --> 00:29:34.640]   I'm going to go ahead and start the video.
[00:29:34.640 --> 00:29:34.640]   I'm going to go ahead and start the video.
[00:29:34.640 --> 00:29:34.640]   I'm going to go ahead and start the video.
[00:29:34.640 --> 00:29:34.640]   I'm going to go ahead and start the video.
[00:29:34.640 --> 00:29:34.640]   I'm going to go ahead and start the video.
[00:29:34.640 --> 00:29:34.640]   I'm going to go ahead and start the video.
[00:29:34.660 --> 00:30:04.660]   I'm going to go ahead and start the video.
[00:30:04.660 --> 00:30:04.660]   I'm going to go ahead and start the video.
[00:30:04.660 --> 00:30:04.660]   I'm going to go ahead and start the video.
[00:30:04.660 --> 00:30:04.660]   I'm going to go ahead and start the video.
[00:30:04.660 --> 00:30:04.660]   I'm going to go ahead and start the video.
[00:30:04.660 --> 00:30:04.660]   I'm going to go ahead and start the video.
[00:30:04.660 --> 00:30:04.660]   I'm going to go ahead and start the video.
[00:30:04.660 --> 00:30:04.660]   I'm going to go ahead and start the video.
[00:30:04.660 --> 00:30:04.660]   I'm going to go ahead and start the video.
[00:30:04.660 --> 00:30:04.660]   I'm going to go ahead and start the video.
[00:30:04.660 --> 00:30:04.660]   I'm going to go ahead and start the video.
[00:30:04.660 --> 00:30:04.660]   I'm going to go ahead and start the video.
[00:30:04.660 --> 00:30:04.660]   I'm going to go ahead and start the video.
[00:30:04.660 --> 00:30:04.660]   I'm going to go ahead and start the video.
