
[00:00:00.000 --> 00:00:20.940]   my name is Ben Hylak and also just feeling really grateful to be with all of you guys today it's
[00:03:02.880 --> 00:03:06.000]   I'm not sure this is like you know when I think about writing tests for my backend I'm not sure
[00:03:06.000 --> 00:03:14.400]   that this is what I wanted right and it's not just open AI right like I think that increasingly in
[00:03:14.400 --> 00:03:19.860]   the last year AI products still even in the last couple months a couple weeks like there's all these weird
[00:03:19.860 --> 00:03:25.440]   issues like yeah this is a funny one right so virgin money their chatbot was threatening to cut off
[00:03:25.440 --> 00:03:33.780]   their customers for using the word virgin right so just the other day I was using a Google cloud and
[00:03:33.780 --> 00:03:37.980]   I asked it where my credits are and it was like are you talking about Azure credits or Roblox credits you
[00:03:37.980 --> 00:03:42.240]   know and I was like how is this possible it's funny because I tweeted this and it's like this isn't just a
[00:03:42.240 --> 00:03:46.260]   one-off thing right like someone's like oh yeah this exact same thing happened to me
[00:03:46.260 --> 00:03:53.800]   right just a few weeks ago grok had this crazy thing right where people were asking in this case
[00:03:53.800 --> 00:03:59.040]   about enterprise software and it's like oh by the way you know let's talk about the you know claims of
[00:03:59.040 --> 00:04:05.760]   white genocide in South Africa you know just completely off off the rails here and we only see we only
[00:04:05.760 --> 00:04:10.980]   caught something like this only kind of entered the public you know awareness because grok is public and
[00:04:10.980 --> 00:04:16.200]   because you can kind of see everything funny enough I actually tweet a lot about if you follow me you
[00:04:16.200 --> 00:04:21.660]   know I tweet a lot about AI products and where they fail and so last night when I was like rushing to
[00:04:21.660 --> 00:04:27.240]   get this presentation my part of hit done I asked it to find tweets of mine about AI failures and it says
[00:04:27.240 --> 00:04:31.500]   I don't have access to your personal Twitter I can't search tweets I was like I think I can so I
[00:04:31.500 --> 00:04:35.860]   double down I'm like you are literally grok you know like this is what you're made for and it's
[00:04:35.860 --> 00:04:40.740]   like oh you're right I can I just don't have your username you know so it's absurd and I
[00:04:40.740 --> 00:04:46.560]   actually like like this is this is yesterday right this is still bug that they have so I feel
[00:04:46.560 --> 00:04:52.380]   really lucky to be you know like I like I mentioned I I'm a CTO co-founder of a company called raindrop
[00:04:52.380 --> 00:04:57.960]   and we're in this really cool position where we get to work with some of the coolest fastest growing
[00:04:57.960 --> 00:05:02.820]   companies in the world and just a huge range of companies so it's everything from you know apps
[00:05:02.820 --> 00:05:08.400]   like SIDS which he'll share about to things like clay.com you know which is like a sales sort of outreach tool
[00:05:08.400 --> 00:05:15.660]   to like alien companion apps to coding assistance it's just this insane range of products and so I
[00:05:15.660 --> 00:05:22.980]   get I think we get to see so much of like what works what doesn't work we are also like it's not just
[00:05:22.980 --> 00:05:29.460]   all secondhand like we also have a massive AI pipeline where you know every single event that
[00:05:29.460 --> 00:05:34.680]   we receive is being analyzed is being kind of divvied up in some way and we're kind of like you know we
[00:05:34.680 --> 00:05:39.900]   have this product we're also kind of this like stealth frontier lab of some sort of where we are kind of
[00:05:39.900 --> 00:05:44.880]   shipping some of the coolest AI features I've ever seen we have like tools like deep search that allows people to go
[00:05:44.880 --> 00:05:52.140]   really deep into the production data and build just classifiers from just a few examples so it's been cool to sort of
[00:05:52.140 --> 00:05:59.400]   build this intuition both from firsthand from our customers and kind of merge that and I think we have a pretty good intuition of what
[00:05:59.400 --> 00:06:01.400]   actually works right now
[00:06:01.400 --> 00:06:08.660]   one question I get a lot is will it get easier to make AI products right like how much of this
[00:06:08.660 --> 00:06:16.400]   is just a moment in time I think this is a very very interesting question and I think the answer is actually twofold right so the first answer is yes
[00:06:16.400 --> 00:06:24.260]   like yes it will get easier and we know this because we've seen it a year ago you had to give you know threatened to kill your you know
[00:06:24.260 --> 00:06:33.680]   dpd4 in order to get it to output JSON right like it was like you had to threaten to kill its firstborn or something and now it's just like a parameter in the API like you're just like in
[00:06:33.680 --> 00:06:41.240]   fact here's the exact scheme I want you to output and it just works so those sort of things will get easier but I think the second part of this answer is actually no like
[00:06:41.240 --> 00:06:46.160]   like like in a lot of ways it's not gonna get easier and I think that comes from the fact that
[00:06:46.160 --> 00:06:49.500]   communication is hard like communication is a hard thing
[00:06:49.500 --> 00:07:07.080]   um what do I mean by this I actually um I'm a big Paul Graham fan I'm sure a lot of a lot of us are but I actually really really disagree with this and the reason why is so so he says it seems to me AGI would mean the end of prompt engineering moderately intelligent humans can figure out what you want without elaborate prompts
[00:07:07.080 --> 00:07:15.920]   I don't think that's true like I think that if you can think of all the times you know you've your partner has told you something and you've gotten it wrong right like you completely
[00:07:15.920 --> 00:07:25.260]   misinterpreted what they wanted right what their goal was think about onboarding a new hire right and like like you told them to do something and they come back what the hell is this right
[00:07:25.260 --> 00:07:32.260]   um I think it's really really hard to communicate what you want to someone especially someone that doesn't have a lot of context
[00:07:32.260 --> 00:07:39.160]   so yes I think this is wrong the other reason why I'm not sure it's gonna get that much easier
[00:07:39.160 --> 00:07:49.420]   in a lot of ways is that as these models as our products become more capable there's just more undefined behavior right there's more edge cases you didn't think about
[00:07:49.420 --> 00:07:56.760]   and this is only becoming more true you know as our products have to start integrating with other tools through like MCP for example
[00:07:56.760 --> 00:08:05.220]   there's gonna be new data formats new ways of doing things so I I think that as our products become more capable as the eight as these models get more intelligent
[00:08:05.220 --> 00:08:08.760]   where it's a little bit uh we're kind of stuck in the same same situation
[00:08:08.760 --> 00:08:17.500]   so this is this is how I like to think about it I think you can't define the entire scope of your products behavior up front anymore
[00:08:17.500 --> 00:08:21.420]   you can't just say like you know here's the prd here's the document of everything I want my product to do
[00:08:21.420 --> 00:08:27.820]   like you actually have to iterate on it you have to kind of ship it see what it does and then iterate on it
[00:08:27.820 --> 00:08:30.620]   so
[00:08:30.620 --> 00:08:35.220]   I think evals are a very very important part of this actually
[00:08:35.220 --> 00:08:42.780]   but I also think there's a lot of confusion you know I use the word lies a little spicy but I think there's a there's a lot of sort of
[00:08:42.780 --> 00:08:49.560]   misinformation around evals so I'm not gonna share I'm not gonna like rehash what evals are I'm not gonna kind of go into all the details
[00:08:49.560 --> 00:08:53.320]   But I will talk about I think some like common misconceptions I've seen around evals
[00:08:53.320 --> 00:08:56.240]   so one is that
[00:08:56.240 --> 00:08:59.900]   This idea that evals are gonna tell you how good your product is they're not
[00:08:59.900 --> 00:09:04.120]   They're really not if you're not familiar with Goodhart's law. It's like kind of the reason for this
[00:09:04.120 --> 00:09:10.920]   The evals that you collect are only the things you already know of it's gonna be easy to saturate them
[00:09:10.920 --> 00:09:16.200]   If you look at recent model launches a lot of them are actually performing lower on evals than you know previous ones
[00:09:16.200 --> 00:09:19.280]   But they're just way better in real-world use so it's not gonna do this
[00:09:19.280 --> 00:09:28.480]   The other lie is this idea that like okay well if you have a sort of like imagine you have something like how funny is my joke?
[00:09:28.480 --> 00:09:34.080]   You know that my app is generating this is the example I always hear used you'll just like ask an LLM to judge how funny your joke is
[00:09:34.880 --> 00:09:38.980]   I this doesn't work like I largely does not work
[00:09:38.980 --> 00:09:47.740]   They're tempting because you know these LLM judges take text as an input and they output a score they output a decision whatever it is
[00:09:47.740 --> 00:09:55.900]   Like largely the best companies are not doing this they're they're not they're they're the best companies are using highly curated data sets
[00:09:55.900 --> 00:10:04.360]   They're using autogradable evals autogradable here meaning like, you know, there's some way of in some deterministic way figuring out if the model passed or not
[00:10:04.360 --> 00:10:07.020]   They're not really using LLM as judges
[00:10:07.020 --> 00:10:10.920]   There's some edge cases here, but just like largely this is not the thing you should reach for
[00:10:10.920 --> 00:10:17.460]   The last one I see which also really confuses me which I don't think is real is like evals on production data
[00:10:18.140 --> 00:10:23.240]   There's this idea that you should just move your offline evals online you use the same judges the same scoring
[00:10:23.240 --> 00:10:27.040]   Largely doesn't work either I
[00:10:27.040 --> 00:10:32.860]   Think that a it could be very expensive especially if you're you know, you have some sort of judge that requires the model to be a lot smarter
[00:10:32.860 --> 00:10:38.020]   So either it's really expensive or you're only doing a small percentage of production traffic
[00:10:38.020 --> 00:10:43.540]   It's really hard set up accurately. You're not really getting the patterns that are emerging
[00:10:43.540 --> 00:10:46.480]   It's often limited to what you already know
[00:10:47.180 --> 00:10:53.020]   even open AI talks about this so they have like this kind of really weird behavioral issue with chat GPT recently and
[00:10:53.020 --> 00:10:59.000]   They talked about this and their postmortem. They're like, you know, our evals aren't gonna catch that everything right the evals are catching things
[00:10:59.000 --> 00:11:03.000]   We already knew and real world use is what helps us spot problems
[00:11:03.000 --> 00:11:07.600]   And so to build reliable AI apps you really need signals
[00:11:07.600 --> 00:11:11.220]   If you think about issues in an app like century
[00:11:11.220 --> 00:11:14.360]   You have what the issue is
[00:11:14.360 --> 00:11:17.780]   But then you have how many times it happened and how many users it affected
[00:11:17.780 --> 00:11:20.780]   But for AI apps
[00:11:20.780 --> 00:11:28.200]   There is no concrete error, right? There's no exception being thrown and that's why like I think signals are really the thing you need to be looking at
[00:11:28.200 --> 00:11:36.280]   And signals I define as like and a raindrop. We call them like ground truthy indicators of your apps performance
[00:11:36.280 --> 00:11:42.120]   And so the anatomy of an AI issue looks like some combination of signals implicit and explicit
[00:11:42.120 --> 00:11:45.800]   And then intense which what which are what the users are trying to do
[00:11:45.800 --> 00:11:53.120]   And there's this process of essentially defining these signals exploring these signals and refining them
[00:11:53.120 --> 00:11:55.920]   so
[00:11:55.920 --> 00:11:57.920]   Briefly, let's talk about defining signals
[00:11:57.920 --> 00:12:05.040]   There's explicit signals which is almost like an analytics event your app can send and then there's implicit data that's sort of hiding in your data
[00:12:05.040 --> 00:12:07.040]   I'm sorry implicit signals
[00:12:07.040 --> 00:12:10.460]   So a common explicit signal is thumbs up thumbs down
[00:12:10.460 --> 00:12:13.040]   But there really are way more signals than that
[00:12:13.040 --> 00:12:19.300]   So chat tpt themselves actually track what portion of a message you copy out of chat tpt
[00:12:19.300 --> 00:12:21.580]   That's something that they track that's a signal that they're tracking
[00:12:21.580 --> 00:12:26.940]   They do preference data, right? You may have seen this sort of a b which response do you prefer?
[00:12:28.200 --> 00:12:37.980]   There's a whole host of possible both positive and negative signals everything from errors to regenerating to like syntax errors if you're coding assistant to copy sharing suggesting
[00:12:37.980 --> 00:12:46.080]   We actually use this so we have a flow where users can search for data and we actually look at how many were marked correct
[00:12:46.080 --> 00:12:52.080]   How many were marked wrong and we can use that to figure out an RL on like and improve the quality of our searches
[00:12:52.080 --> 00:12:54.080]   It's a super interesting signal
[00:12:54.080 --> 00:12:59.260]   But there's also implicit signals which are like essentially detecting rather than judging
[00:12:59.260 --> 00:13:06.060]   So we detect things like refusals task failure user frustration and if you think about like the grok example
[00:13:06.060 --> 00:13:09.980]   When you cluster them it gets very interesting so we can look at and say okay
[00:13:09.980 --> 00:13:14.020]   There's this cluster of user frustration and it's all around people trying to search for tweets
[00:13:14.020 --> 00:13:22.320]   And that's where exploring comes in so just like you can explore tags in the century you need some way of exploring tags and metadata
[00:13:23.900 --> 00:13:32.660]   For us, that's like properties models et cetera keywords and intense because like I just said the intent really changes what the actual issue is
[00:13:32.660 --> 00:13:38.140]   So again, that's what we talked about the anatomy of an AI issue being a the signal with the intent
[00:13:38.140 --> 00:13:42.620]   Just parting thoughts here. You really need a constant IV of your app's data
[00:13:42.620 --> 00:13:45.860]   We send slack notifications. You can do whatever you want
[00:13:45.860 --> 00:13:49.160]   But you need to be looking at your data whether that's searching it, et cetera
[00:13:50.300 --> 00:13:54.740]   And then you really need to just refine and define new issues, which means you look find these patterns
[00:13:54.740 --> 00:14:00.380]   You look at your data talk to your users find new definitions of issues. You weren't expecting and then start tracking them
[00:14:00.380 --> 00:14:04.620]   So I'm gonna cut this part if you want to know how to fix these things
[00:14:04.620 --> 00:14:10.820]   I'm happy to talk about some of the advancements in SFT and things I've seen work, but let's move over to you said cool
[00:14:10.820 --> 00:14:17.500]   Thanks, Ben. Hey everybody. I'm Sid. I'm the co-founder of Aleve and we're building a portfolio of consumer products that have
[00:14:17.900 --> 00:14:22.180]   With the aim of building products that are fulfilling and productive for people's lives
[00:14:22.180 --> 00:14:30.040]   We're a tiny team based out of New York that successfully scaled viral products around six million dollars in ARR profitably and generate about half a billion views on socials
[00:14:30.040 --> 00:14:35.800]   Today I'm going to talk about the framework that drives the success which is powered by raindrop
[00:14:35.800 --> 00:14:41.660]   There are two features of a viral AI product for it to be successful
[00:14:41.660 --> 00:14:47.380]   The first part is a wow factor for virality and the second part is reliable consistent user experiences
[00:14:47.380 --> 00:14:55.480]   The problem is AI is chaotic and non-deterministic and this begs for a structure and approach that allows us to create some sort of scaling system
[00:14:55.480 --> 00:14:59.000]   That still caters to the AI magic that is non-deterministic
[00:15:01.220 --> 00:15:09.340]   the idea is that we want to have a systematic approach for continuously improving our AI experiences so that we can scale to millions of users worldwide and keep
[00:15:09.340 --> 00:15:16.740]   Experiences reliable without taking away the magic of AI that people fall in love with we need some way to guide the chaos instead of eliminating it
[00:15:16.740 --> 00:15:23.020]   This is why we came up with trellis trellis is our framework for a contingency refining our AI experiences
[00:15:23.020 --> 00:15:29.280]   So we can systematically improve the user experiences across our AI products at scale designed specifically around our virality engine
[00:15:29.280 --> 00:15:37.740]   There are three core axioms to trellis one is discretization where we take the infinite output space and break it down into specific buckets of focus
[00:15:37.740 --> 00:15:46.580]   Then we prioritize this involves ranking those bucket spaces by what will drive the most impact for your business and finally recursive refinement
[00:15:46.580 --> 00:15:51.860]   We repeat this process within those buckets of output spaces so that we can continue to create structure and order
[00:15:51.940 --> 00:15:54.740]   Within the chaotic output plane
[00:15:54.740 --> 00:16:01.900]   There are effectively six steps to trellis a lot of this has been shared by Ben in terms of the the grounding principles of it
[00:16:01.900 --> 00:16:09.480]   The first is you want to initialize an output space by launching an MVP agent that is informed by some product priors and some product expectations
[00:16:09.480 --> 00:16:11.480]   But the goal is really to collect a lot of user data
[00:16:11.480 --> 00:16:15.900]   The second step is once you've under once you have all this user data
[00:16:15.900 --> 00:16:19.180]   You want to correctly classify these into intents based on usage patterns
[00:16:19.180 --> 00:16:24.180]   The goal is you want to understand exactly why people are sticking to your product and what they're using in your product
[00:16:24.180 --> 00:16:27.660]   Especially when it's a conversational open-ended AI agent experience
[00:16:27.660 --> 00:16:31.360]   The third step is converting these intents into dedicated
[00:16:31.360 --> 00:16:37.860]   Semi-deterministic workflows a workflow is a predefined set of steps that allows you to achieve a certain output
[00:16:38.120 --> 00:16:42.460]   The goal is you want these workflows to be broad enough to be useful for many possibilities
[00:16:42.460 --> 00:16:48.280]   But narrow enough to be reliable after you have your workflows you want to prioritize them by some scoring mechanism
[00:16:48.280 --> 00:16:50.840]   This has to be something that's tied to your company's KPIs
[00:16:50.840 --> 00:16:56.280]   And finally you want to analyze these workflows from within you want to understand the failure patterns within them
[00:16:56.280 --> 00:17:00.860]   you want to understand the sub intents and you want to keep recursing from there which is what step six involves a
[00:17:00.860 --> 00:17:09.340]   Quick note on prioritization. There's a simple and naive way to do it. Which is volume only this involves focusing on the workflows that have the most volume
[00:17:09.340 --> 00:17:14.840]   However, this leaves a lot of room on the table for improving general satisfaction across your product
[00:17:14.840 --> 00:17:18.160]   A more recommended approach is volume times negative sentiment score
[00:17:18.160 --> 00:17:22.800]   In this we try to score the expected lift
[00:17:22.800 --> 00:17:27.380]   We'd like to get by focusing on a workflow that might be generating a lot of negative satisfaction on your product
[00:17:27.380 --> 00:17:33.840]   An even more informed score is negative sentiment times volume times estimated achievable delta times some strategic relevance
[00:17:33.840 --> 00:17:36.240]   the idea of estimated achievable delta is
[00:17:36.240 --> 00:17:39.760]   comes down to you coming up with a way to score the actual
[00:17:39.760 --> 00:17:46.320]   achievable delta you can gain from working on that workflow and improving the product if you're gonna need to train a foundation model to improve something
[00:17:46.320 --> 00:17:50.000]   It's achievable delta is probably near zero depending on the kind of company you are
[00:17:50.000 --> 00:17:57.520]   All in all the goal is once you have these intents identified you can build structured workflows where each workflow is self attributable
[00:17:57.520 --> 00:17:59.520]   deterministic and
[00:17:59.520 --> 00:18:01.520]   it's self bound which means
[00:18:01.520 --> 00:18:08.000]   Which which allows your teams to move much more quickly because when you when you improve a specific workflow
[00:18:08.000 --> 00:18:15.360]   All those changes are contained and self-accountable to one workflow instead of spilling over into other workflows. This allows your team to move more reliably
[00:18:15.360 --> 00:18:22.880]   And while we have a few more seconds you can continue to further refine this process going deeper and deeper into all your workflows
[00:18:22.880 --> 00:18:28.560]   And at the end that you create magic which is engineered repeatable testable and attributable but not accidental
[00:18:28.560 --> 00:18:33.600]   If you'd like to read more about this feel free to scan secure code to read about our blog post on the trellis framework
[00:18:33.600 --> 00:18:37.120]   Thank you for having me
[00:18:37.120 --> 00:18:37.620]   you
[00:18:37.620 --> 00:18:41.700]   I'll see you next time.

