
[00:00:00.000 --> 00:00:04.600]   Hello everybody, it's Sam from Financial Samurai and in this episode I want to talk about
[00:07:28.460 --> 00:07:35.060]   Assembling furniture teaching tennis teaching ballet music violin, whatever it is
[00:07:35.060 --> 00:07:40.040]   We can all do something to make a little bit more money. So if you get through these stages
[00:07:40.040 --> 00:07:42.800]   Well, I think you'll be okay
[00:07:42.800 --> 00:07:48.560]   The downturn usually lasts two to five years and if you keep on paying your mortgage
[00:07:48.560 --> 00:07:50.920]   Nothing really bad happens
[00:07:50.920 --> 00:07:58.360]   It's just a psychological knock where you could have saved money or made more money had you waited. That's it and
[00:07:58.360 --> 00:08:02.840]   Given that nothing really happens or bad happens except for a mental knock
[00:08:02.840 --> 00:08:10.120]   It's so important to follow a good home buying rule. I've presented the 30 33 home buying rule
[00:08:11.120 --> 00:08:13.120]   30% of cash flow
[00:08:13.120 --> 00:08:15.040]   30% cash
[00:08:15.040 --> 00:08:19.720]   By no more than 3x your household income, you know, it's a pretty conservative rule
[00:08:19.720 --> 00:08:26.120]   But if you follow this rule and a downturn happens, you're probably gonna be fine if you stop paying your mortgage
[00:08:26.120 --> 00:08:28.040]   Let's say the worst case
[00:08:28.040 --> 00:08:31.320]   Your credit score is gonna get knocked 30 days late
[00:08:31.320 --> 00:08:38.040]   You're gonna get a 40 to 110 point hit 90 days late on paying your mortgage 70 to 135 point hit
[00:08:38.240 --> 00:08:40.760]   If you do a foreclosure a short sale
[00:08:40.760 --> 00:08:49.280]   85 to 160 point hit and then bankruptcy is 130 to 240 point hit the higher your credit score
[00:08:49.280 --> 00:08:51.760]   Actually the more it's gonna get hit
[00:08:51.760 --> 00:08:59.800]   Therefore if you've got a great credit score and you can afford the payments, I would just keep on paying keep on enjoying your life
[00:08:59.800 --> 00:09:05.000]   Build that cash reserve work on building your income and cutting expenses
[00:09:05.320 --> 00:09:09.420]   Over time things are gonna self-correct as we are seeing right now
[00:09:09.420 --> 00:09:13.280]   I mean the people who held on to their homes during the last financial crisis
[00:09:13.280 --> 00:09:19.240]   I would say most of them are in the green now now, obviously the opportunity cost is another thing
[00:09:19.240 --> 00:09:22.760]   they could have invested in something else and maybe have made more or
[00:09:22.760 --> 00:09:27.720]   You know again if they didn't buy at the top of the market and just waited several years
[00:09:27.720 --> 00:09:33.200]   They could have made a lot more but let's be realistic. We just can't time it properly. I
[00:09:34.080 --> 00:09:40.280]   Personally never like to buy into a frenzy whether it's a housing market frenzy equity frenzy or anything
[00:09:40.280 --> 00:09:43.600]   That's why we were talking so much in 2020
[00:09:43.600 --> 00:09:52.040]   During the bottom in first quarter or second quarter 2020 why we should be strategically looking at buying real estate and buying equities
[00:09:52.040 --> 00:09:55.880]   And if you've been listening to this podcast for a while or reading financial samurai for a while
[00:09:55.880 --> 00:10:02.840]   That is when we were really going on in we're finding strategies on how to convince people to sell to us
[00:10:03.360 --> 00:10:07.280]   Because doom was here. You know, we talked about real estate love letters
[00:10:07.280 --> 00:10:14.440]   We're talking about analyzing earnings estimates and seeing what expectations are versus reality all these things
[00:10:14.440 --> 00:10:17.800]   They're great to talk about and we can never get it a hundred percent, right?
[00:10:17.800 --> 00:10:22.800]   But I think if we do our due diligence learn from others
[00:10:22.800 --> 00:10:29.360]   Pay attention to what's going on learn from past cycles. I think we can build ourselves an edge
[00:10:29.800 --> 00:10:35.640]   So the edge right now is a little bit difficult because everybody is buying everything
[00:10:35.640 --> 00:10:42.120]   There's just massive amounts of liquidity everywhere and interest rates are probably gonna stay low for a long long time
[00:10:42.120 --> 00:10:47.600]   I'm gonna make the call that interest rates are gonna stay low for the rest of our lives because we've got this inflation
[00:10:47.600 --> 00:10:49.880]   interest rate cycle down pat
[00:10:49.880 --> 00:10:54.460]   Technology and productivity are our friends when it comes to managing inflation
[00:10:54.560 --> 00:11:01.240]   So our emerging markets exporting their deflation to us right now. It's China. Maybe it's India next
[00:11:01.240 --> 00:11:03.400]   Maybe it's a country in Africa
[00:11:03.400 --> 00:11:10.320]   the world is getting smaller and it's going to continue to get smaller with better technology better connectivity and
[00:11:10.320 --> 00:11:15.200]   Therefore interest rates are gonna stay lower because inflation is gonna be contained
[00:11:15.200 --> 00:11:22.960]   finally, I just want to say that you don't have to go all in on real estate now and all in means buying a physical property
[00:11:23.200 --> 00:11:28.520]   With debt you don't have to leverage up to buy property. You can buy a real estate ETF
[00:11:28.520 --> 00:11:33.940]   You can buy stocks like Home Depot a public REIT or a private eREIT from Fundrise
[00:11:33.940 --> 00:11:41.580]   There are many opportunities to invest in real estate without having to go all in you can invest in real estate more surgically if you
[00:11:41.580 --> 00:11:46.480]   Are worried personally, I'm not that worried about a housing market correction
[00:11:46.480 --> 00:11:49.240]   Because of all the fundamentals that are in place today
[00:11:49.240 --> 00:11:55.120]   I believe there's gonna be a huge rush back to big city living as people realize that the
[00:11:55.120 --> 00:11:59.040]   Opportunities the jobs the connections are all much better
[00:11:59.040 --> 00:12:02.700]   When you're closer to the people in power who have the money
[00:12:02.700 --> 00:12:05.100]   I was just out and about last
[00:12:05.100 --> 00:12:11.160]   Couple nights ago after a softball league game and I went out on a popular Street called Chestnut Street in the marina
[00:12:11.160 --> 00:12:14.680]   Which is the northern side of San Francisco and it was popping
[00:12:15.360 --> 00:12:20.540]   Every single restaurant was packed. All the stalls outdoors were packed
[00:12:20.540 --> 00:12:27.560]   It is absolutely clear to me that big city living is back at the same time
[00:12:27.560 --> 00:12:29.680]   There is going to be a long-term
[00:12:29.680 --> 00:12:37.600]   demographic shift towards lower cost areas of the country because of technology because we can and because we all are more
[00:12:37.600 --> 00:12:42.520]   Accepting of working from home in conclusion. I don't think we're at the top of the market
[00:12:42.960 --> 00:12:47.280]   Maybe a 20% chance over the next one or two years that we buy at the top of the market
[00:12:47.280 --> 00:12:51.340]   But that means there's an 80% chance the housing market continues to do well
[00:12:51.340 --> 00:12:57.360]   I'd love to hear from all of you on whether you've bought at the top of the market in the past or whether you think
[00:12:57.360 --> 00:13:02.480]   The market is toppy right now, and if you like this podcast, I'd appreciate a positive review
[00:13:02.480 --> 00:13:04.480]   Thanks folks, and I'll see you guys around

