
[00:00:00.040 --> 00:00:07.060]   Escape all about
[00:05:43.080 --> 00:06:11.720]   Or perhaps you're using some other piece of software and all your transactions are automatically imported from your credit card and automatically categorized because of all the rules that you have. And so you can pull up a nifty little spreadsheet and show exactly how much money you're spending. That's a reasonable thing. A lot of people use credit cards and debit cards simply because they're convenient. They don't have to worry about making sure they have enough money in their pocket. They don't have to worry about going to an ATM machine and taking cash out. And so they just like the convenience of it. And so I think it's a great way to do that.
[00:06:11.720 --> 00:06:11.740]   That's a great way to do that.
[00:06:11.740 --> 00:06:11.740]   That's a great way to do that.
[00:06:11.740 --> 00:06:11.740]   That's a great way to do that.
[00:06:11.740 --> 00:06:11.740]   That's a great way to do that.
[00:06:11.740 --> 00:06:11.840]   That's a great way to do that.
[00:06:11.840 --> 00:06:11.960]   That's a great way to do that.
[00:06:11.960 --> 00:06:11.980]   That's a great way to do that.
[00:06:12.020 --> 00:06:19.920]  èce,
[00:06:19.920 --> 00:06:23.420]  Out
[00:06:23.420 --> 00:06:41.840]   wasn wasn Min En It's Z Or The He's the set, or, the, the, the, the, the, the, the, the, four, well, errands,過來, hull,只, spread, big,ер, VII,調,別,區, mainten, paw, circa, made, die, trust, jaw, relating,oud,otes. 뭐� A N прошл, lol The En M. дел
[00:07:11.740 --> 00:07:11.740]   You can use it to pay for your credit card.
[00:07:11.740 --> 00:07:11.740]   It's a level of convenience to using a card.
[00:07:11.780 --> 00:07:41.620]  actively. You can't just use a card to pay for your credit cards. But here is what I observed at one point in time in my own life when I used to make those arguments and exclusively use digital forms of plastic cards for my spending mechanisms. I wasn't actually getting ahead. I wasn't actually making much progress with regard to building wealth. And if I had to do an informal survey of many people, I would say that many people feel the same way. If I were to look at five or six people, I would say that many people feel the same way.
[00:07:41.620 --> 00:08:11.500]   .
[00:08:11.500 --> 00:08:11.500]   .
[00:08:11.500 --> 00:08:11.520]   .
[00:08:11.520 --> 00:08:11.560]   .
[00:08:11.560 --> 00:08:11.580]   .
[00:08:11.580 --> 00:08:11.640]   .
[00:08:11.640 --> 00:08:11.660]   .
[00:08:11.660 --> 00:08:41.700]   .
[00:08:41.740 --> 00:08:52.100]   aren
[00:08:52.100 --> 00:08:54.240]  個 I I
[00:10:08.460 --> 00:10:08.460]   I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I
[00:10:08.460 --> 00:10:08.460]   to be clear very few of us would be able to go to a hundred percent cash position
[00:10:08.460 --> 00:10:08.460]   to be clear very few of us would be able to go to a hundred percent cash position
[00:10:08.460 --> 00:10:08.460]   to be clear very few of us would be able to go to a hundred percent cash position
[00:10:08.460 --> 00:10:08.460]   to be clear very few of us would be able to go to a hundred percent cash position
[00:10:08.460 --> 00:10:08.460]   to be clear very few of us would be able to go to a hundred percent cash position
[00:10:08.460 --> 00:10:08.460]   to be clear very few of us would be able to go to a hundred percent cash position
[00:10:08.460 --> 00:10:08.460]   to be clear very few of us would be able to go to a hundred percent cash position
[00:10:08.460 --> 00:10:08.460]   to be clear very few of us would be able to go to a hundred percent cash position
[00:10:08.460 --> 00:10:08.460]   to be clear very few of us would be able to go to a hundred percent cash position
[00:11:07.540 --> 00:11:35.860]  ,
[00:11:35.860 --> 00:11:36.260]   to be clear very few of us would be able to go to a hundred percent cash position
[00:11:36.260 --> 00:11:36.340]   to be clear very few of us would be able to go to a hundred percent cash position
[00:11:36.340 --> 00:11:36.420]   to be clear very few of us would be able to go to a hundred percent cash position
[00:11:36.420 --> 00:11:36.420]   to be clear very few of us would be able to go to a hundred percent cash position
[00:11:36.420 --> 00:11:36.500]   to be clear very few of us would be able to go to a hundred percent cash position
[00:11:36.500 --> 00:11:36.580]   to be clear very few of us would be able to go to a hundred percent cash position
[00:11:36.580 --> 00:11:36.660]   to be clear very few of us would be able to go to a hundred percent cash position
[00:11:36.660 --> 00:11:36.660]   to be clear very few of us would be able to go to a hundred percent cash position
[00:11:36.660 --> 00:11:36.700]   to be clear very few of us would be able to go to a hundred percent cash position
[00:11:36.700 --> 00:11:36.720]   to be clear very few of us would be able to go to a hundred percent cash position
[00:11:37.600 --> 00:12:06.760]   to be clear very few of us would be able to go to a hundred percent cash position
[00:12:06.760 --> 00:12:06.760]   to be clear very few of us would be able to go to a hundred percent cash position
[00:12:06.760 --> 00:12:06.760]   to be clear very few of us would be able to go to a hundred percent cash position
[00:12:06.760 --> 00:12:06.760]   to be clear very few of us would be able to go to a hundred percent position
[00:12:06.780 --> 00:12:36.800]   to be clear very few of us would be able to go to a hundred percent cash position
[00:12:36.800 --> 00:12:36.800]   and to be clear very few of us would be able to go to a hundred percent cash position
[00:12:36.800 --> 00:12:36.800]   and to be clear very few of us would be able to go to a hundred percent cash position
[00:12:36.800 --> 00:12:36.800]   and to be clear very few of us would be able to go to a hundred percent cash position
[00:12:36.800 --> 00:12:36.800]   and to be clear very few of us would be able to go to a hundred percent cash position
[00:12:36.800 --> 00:12:36.800]   and to be clear very few of us would be able to go to a hundred percent cash position
[00:12:36.800 --> 00:12:36.800]   and to be clear very few of us would be able to go to a hundred percent cash position
[00:12:36.800 --> 00:12:36.800]   and to be clear very few of us would be able to go to a hundred percent cash position
[00:12:36.800 --> 00:12:36.800]   and to be clear very few of us would be able to go to a hundred percent cash position
[00:12:36.800 --> 00:12:36.800]   and to be clear very few of us would be able to go to a hundred percent cash position
[00:12:37.740 --> 00:13:06.840]  ,
[00:13:06.840 --> 00:13:06.840]   and to be clear very few of us would be able to go to a hundred percent cash position
[00:13:06.840 --> 00:13:06.840]   and to be clear very few of us would be able to go to a hundred percent cash position
[00:13:06.840 --> 00:13:06.840]   and to be clear very few of us would be able to go to a hundred percent cash position
[00:13:06.840 --> 00:13:06.840]   and to be clear very few of us would be able to go to a hundred percent cash position
[00:13:06.840 --> 00:13:06.840]   and to be clear very few of us would be able to go to a hundred percent cash position
[00:13:06.840 --> 00:13:06.840]   and to be clear very few of us would be able to go to a hundred percent cash position
[00:13:06.840 --> 00:13:06.840]   and to be clear very few of us would be able to go to a hundred percent cash position
[00:13:06.840 --> 00:13:06.840]   and to be clear very few of us would be able to go to a hundred percent cash position
[00:13:06.840 --> 00:13:06.840]   and to be clear very few of us would be able to go to a hundred percent cash position
[00:13:06.860 --> 00:13:36.880]   and to be clear very few of us would be able to go to a hundred percent cash position
[00:13:36.880 --> 00:13:36.880]   and to be clear very few of us would be able to go to a hundred percent cash position
[00:13:36.880 --> 00:13:36.880]   and to be clear very few of us would be able to go to a hundred percent cash position
[00:13:36.880 --> 00:13:36.880]   and to be clear very few of us would be able to go to a hundred percent cash position
[00:13:36.880 --> 00:13:36.880]   and to be clear very few of us would be able to go to a hundred percent cash position
[00:13:36.880 --> 00:13:36.880]   and to be clear very few of us would be able to go to a hundred percent cash position
[00:13:36.880 --> 00:13:36.880]   and to be clear very few of us would be able to go to a hundred percent cash position
[00:13:36.880 --> 00:13:36.880]   and to be clear very few of us would be able to go to a hundred percent cash position
[00:13:36.880 --> 00:13:36.880]   and to be clear very few of us would be able to go to a hundred percent cash position
[00:13:36.880 --> 00:13:36.880]   and to be clear very few of us would be able to go to a hundred percent cash position
[00:13:37.820 --> 00:14:06.920]  ,
[00:14:06.920 --> 00:14:06.920]   and to be clear very few of us would be able to go to a hundred percent cash position
[00:14:06.920 --> 00:14:06.920]   and to be clear very few of us would be able to go to a hundred percent cash position
[00:14:06.920 --> 00:14:06.920]   and to be clear very few of us would be able to go to a hundred percent cash position
[00:14:06.920 --> 00:14:06.920]   and to be clear very few of us would be able to go to a hundred percent cash position
[00:14:06.920 --> 00:14:06.920]   and to be clear very few of us would be able to go to a hundred percent cash position
[00:14:06.920 --> 00:14:06.920]   and to be clear very few of us would be able to go to a hundred percent cash position
[00:14:06.920 --> 00:14:06.920]   and to be clear very few of us would be able to go to a hundred percent cash position
[00:14:06.940 --> 00:14:12.960]   and to be clear very few of us would be able to go to a hundred percent cash position
[00:14:12.960 --> 00:14:14.960]   and to be clear very few of us would be able to go to a hundred percent cash position
[00:14:14.960 --> 00:14:16.960]   and to be clear very few of us would be able to go to a hundred percent cash position
[00:14:16.960 --> 00:14:18.960]   and to be clear very few of us would be able to go to a hundred percent cash position
[00:14:18.960 --> 00:14:20.960]   and to be clear very few of us would be able to go to a hundred percent cash position
[00:14:20.960 --> 00:14:22.960]   and to be clear very few of us would be able to go to a hundred percent cash position
[00:14:22.960 --> 00:14:24.960]   and to be clear very few of us would be able to go to a hundred percent cash position
[00:14:24.960 --> 00:14:26.960]   and to be clear very few of us would be able to go to a hundred percent cash position
[00:14:26.960 --> 00:14:28.960]   and to be clear very few of us would be able to go to a hundred percent cash position
[00:14:28.960 --> 00:14:30.960]   and to be clear very few of us would be able to go to a hundred percent cash position
[00:14:31.900 --> 00:14:57.000]  , and to be clear very few of us would be able to go to a hundred percent cash position
[00:14:57.000 --> 00:14:59.000]   and to be clear very few of us would be able to go to a hundred percent cash position
[00:14:59.000 --> 00:15:01.000]   and to be clear very few of us would be able to go to a hundred percent cash position
[00:15:01.000 --> 00:15:01.000]   and to be clear very few of us would be able to go to a hundred percent cash position
[00:15:01.000 --> 00:15:01.000]   and to be clear very few of us would be able to go to a hundred percent cash position
[00:15:01.000 --> 00:15:01.000]   and to be clear very few of us would be able to go to a hundred percent cash position
[00:15:01.000 --> 00:15:01.000]   and to be clear very few of us would be able to go to a hundred percent cash position
[00:15:01.000 --> 00:15:01.000]   and to be clear very few of us would be able to go to a hundred percent cash position
[00:15:01.000 --> 00:15:01.000]   and to be clear very few of us would be able to go to a hundred percent cash position
[00:15:01.000 --> 00:15:01.000]   and to be clear very few of us would be able to go to a hundred percent cash position
[00:15:01.020 --> 00:15:07.040]   and to be clear very few of us would be able to go to a hundred percent cash position
[00:15:07.040 --> 00:15:09.040]   and to be clear very few of us would be able to go to a hundred percent cash position
[00:15:09.040 --> 00:15:11.040]   and to be clear very few of us would be able to go to a hundred percent cash position
[00:15:11.040 --> 00:15:13.040]   and to be clear very few of us would be able to go to a hundred percent cash position
[00:15:13.040 --> 00:15:15.040]   and to be clear very few of us would be able to go to a hundred percent cash position
[00:15:15.040 --> 00:15:17.040]   and to be clear very few of us would be able to go to a hundred percent cash position
[00:15:17.040 --> 00:15:19.040]   and to be clear very few of us would be able to go to a hundred percent cash position
[00:15:19.040 --> 00:15:21.040]   and to be clear very few of us would be able to go to a hundred percent cash position
[00:15:21.040 --> 00:15:23.040]   and to be clear very few of us would be able to go to a hundred percent cash position
[00:15:23.040 --> 00:15:25.040]   and to be clear very few of us would be able to go to a hundred percent cash position
[00:15:25.580 --> 00:15:51.080]  , and to be clear very few of us would be able to go to a hundred percent cash position
[00:15:51.080 --> 00:15:53.080]   and to be clear very few of us would be able to go to a hundred percent cash position
[00:15:53.080 --> 00:15:55.080]   and to be clear very few of us would be able to go to a hundred percent cash position
[00:15:55.080 --> 00:15:55.080]   and to be clear very few of us would be able to go to a hundred percent cash position
[00:15:55.080 --> 00:15:55.080]   and to be clear very few of us would be able to go to a hundred percent cash position
[00:15:55.080 --> 00:15:55.080]   and to be clear very few of us would be able to go to a hundred percent cash position
[00:15:55.080 --> 00:15:55.080]   and to be clear very few of us would be able to go to a hundred percent cash position
[00:15:55.100 --> 00:15:57.120]   and to be clear very few of us would be able to go to a hundred percent cash position
[00:15:57.120 --> 00:15:59.120]   and to be clear very few of us would be able to go to a hundred percent cash position
[00:15:59.120 --> 00:16:01.120]   and to be clear very few of us would be able to go to a hundred percent cash position
[00:16:01.120 --> 00:16:03.120]   and to be clear very few of us would be able to go to a hundred percent cash position
[00:16:03.120 --> 00:16:05.120]   and to be clear very few of us would be able to go to a hundred percent cash position
[00:16:05.120 --> 00:16:07.120]   and to be clear very few of us would be able to go to a hundred percent cash position
[00:16:07.120 --> 00:16:09.120]   and to be clear very few of us would be able to go to a hundred percent cash position
[00:16:09.120 --> 00:16:11.120]   and to be clear very few of us would be able to go to a hundred percent cash position
[00:16:11.120 --> 00:16:13.120]   and to be clear very few of us would be able to go to a hundred percent cash position
[00:16:13.120 --> 00:16:15.120]   and to be clear very few of us would be able to go to a hundred percent cash position
[00:16:15.140 --> 00:16:41.160]   and to be clear very few of us would be able to go to a hundred percent cash position
[00:16:41.160 --> 00:16:43.160]   and to be clear very few of us would be able to go to a hundred percent cash position
[00:16:43.160 --> 00:16:45.160]   and to be clear very few of us would be able to go to a hundred percent cash position
[00:16:45.160 --> 00:16:45.160]   and to be clear very few of us would be able to go to a hundred percent cash position
[00:16:45.160 --> 00:16:45.160]   and to be clear very few of us would be able to go to a hundred percent cash position
[00:16:45.160 --> 00:16:45.160]   and to be clear very few of us would be able to go to a hundred percent cash position
[00:16:45.160 --> 00:16:45.160]   and to be clear very few of us would be able to go to a hundred percent cash position
[00:16:45.160 --> 00:16:45.160]   and to be clear very few of us would be able to go to a hundred percent cash position
[00:16:45.160 --> 00:16:45.160]   and to be clear very few of us would be able to go to a hundred percent cash position
[00:16:45.200 --> 00:17:15.200]  ,
[00:17:15.200 --> 00:17:15.200]   and to be clear very few of us would be able to go to a hundred percent cash position
[00:17:15.200 --> 00:17:15.200]   and to be clear very few of us would be able to go to a hundred percent cash position
[00:17:15.200 --> 00:17:15.200]   and to be clear very few of us would be able to go to a hundred percent cash position
[00:17:15.200 --> 00:17:15.200]   and to be clear very few of us would be able to go to a hundred percent cash position
[00:17:15.200 --> 00:17:15.200]   and to be clear very few of us would be able to go to a hundred percent cash position
[00:17:15.200 --> 00:17:15.200]   and to be clear very few of us would be able to go to a hundred percent cash position
[00:17:15.200 --> 00:17:15.200]   and to be clear very few of us would be able to go to a hundred percent cash position
[00:17:15.220 --> 00:17:17.240]   and to be clear very few of us would be able to go to a hundred percent cash position
[00:17:17.240 --> 00:17:19.240]   and to be clear very few of us would be able to go to a hundred percent cash position
[00:17:19.240 --> 00:17:21.240]   and to be clear very few of us would be able to go to a hundred percent cash position
[00:17:21.240 --> 00:17:23.240]   and to be clear very few of us would be able to go to a hundred percent cash position
[00:17:23.240 --> 00:17:25.240]   and to be clear very few of us would be able to go to a hundred percent cash position
[00:17:25.240 --> 00:17:27.240]   and to be clear very few of us would be able to go to a hundred percent cash position
[00:17:27.240 --> 00:17:29.240]   and to be clear very few of us would be able to go to a hundred percent cash position
[00:17:29.240 --> 00:17:31.240]   and to be clear very few of us would be able to go to a hundred percent cash position
[00:17:31.240 --> 00:17:33.240]   and to be clear very few of us would be able to go to a hundred percent cash position
[00:17:33.240 --> 00:17:35.240]   and to be clear very few of us would be able to go to a hundred percent cash position
[00:17:35.260 --> 00:18:05.280]   and to be clear very few of us would be able to go to a hundred percent cash position
[00:18:05.280 --> 00:18:05.280]   and to be clear very few of us would be able to go to a hundred percent cash position
[00:18:05.280 --> 00:18:05.280]   and to be clear very few of us would be able to go to a hundred percent cash position
[00:18:05.280 --> 00:18:05.280]   and to be clear very few of us would be able to go to a hundred percent cash position
[00:18:05.280 --> 00:18:05.280]   and to be clear very few of us would be able to go to a hundred percent cash position
[00:18:05.280 --> 00:18:05.280]   and to be clear very few of us would be able to go to a hundred percent cash position
[00:18:05.280 --> 00:18:05.280]   and to be clear very few of us would be able to go to a hundred percent cash position
[00:18:05.280 --> 00:18:05.280]   and to be clear very few of us would be able to go to a hundred percent cash position
[00:18:05.280 --> 00:18:05.280]   and to be clear very few of us would be able to go to a hundred percent cash position
[00:18:05.280 --> 00:18:05.280]   and to be clear very few of us would be able to go to a hundred percent cash position
[00:18:05.320 --> 00:18:35.320]  ,
[00:18:35.320 --> 00:18:35.320]   and to be clear very few of us would be able to go to a hundred percent cash position
[00:18:35.320 --> 00:18:35.320]   and to be clear very few of us would be able to go to a hundred percent cash position
[00:18:35.320 --> 00:18:35.320]   and to be clear very few of us would be able to go to a hundred percent cash position
[00:18:35.320 --> 00:18:35.320]   and to be clear very few of us would be able to go to a hundred percent cash position
[00:18:35.320 --> 00:18:35.320]   and to be clear very few of us would be able to go to a hundred percent cash position
[00:18:35.320 --> 00:18:35.320]   and to be clear very few of us would be able to go to a hundred percent cash position
[00:18:35.340 --> 00:19:05.360]   and to be clear very few of us would be able to go to a hundred percent cash position
[00:19:05.360 --> 00:19:05.360]   and to be clear very few of us would be able to go to a hundred percent cash position
[00:19:05.360 --> 00:19:05.360]   and to be clear very few of us would be able to go to a hundred percent cash position
[00:19:05.360 --> 00:19:05.360]   and to be clear very few of us would be able to go to a hundred percent cash position
[00:19:05.360 --> 00:19:05.360]   and to be clear very few of us would be able to go to a hundred percent cash position
[00:19:05.360 --> 00:19:05.360]   and to be clear very few of us would be able to go to a hundred percent cash position
[00:19:05.360 --> 00:19:05.360]   and to be clear very few of us would be able to go to a hundred percent cash position
[00:19:05.360 --> 00:19:05.360]   and to be clear very few of us would be able to go to a hundred percent cash position
[00:19:05.360 --> 00:19:05.360]   and to be clear very few of us would be able to go to a hundred percent cash position
[00:19:05.360 --> 00:19:05.360]   and to be clear very few of us would be able to go to a hundred percent cash position
[00:19:06.300 --> 00:19:35.400]  ,
[00:19:35.400 --> 00:19:35.400]   and to be clear very few of us would be able to go to a hundred percent cash position
[00:19:35.400 --> 00:19:35.400]   and to be clear very few of us would be able to go to a hundred percent cash position
[00:19:35.400 --> 00:19:35.400]   and to be clear very few of us would be able to go to a hundred percent cash position
[00:19:35.400 --> 00:19:35.400]   and to be clear very few of us would be able to go to a hundred percent cash position
[00:19:35.400 --> 00:19:35.400]   and to be clear very few of us would be able to go to a hundred percent cash position
[00:19:35.400 --> 00:19:35.400]   and to be clear very few of us would be able to go to a hundred percent cash position position
[00:19:35.400 --> 00:19:35.400]   and to be clear very few of us would be able to go to a hundred percent cash position position
[00:19:35.440 --> 00:19:46.240]   the
[00:19:46.240 --> 00:20:03.740]   in,�,,,,, con do kin there degree Via their vary despite 12h. I have a thing. I've a. I'm a. I'm a. I'm a. I's a, and, and I, and they, and, and,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, head et
[00:20:04.100 --> 00:20:14.180]   and
[00:20:14.180 --> 00:20:32.180]   지 Marie I even,,,,,
[00:22:27.720 --> 00:22:56.740]  ographics and the tangibility of cash has benefits of lowering your overall expenses, which is one of the major goals. If you are going to improve your financial situation, you have to earn more money, lower your expenses and improve your investment returns. Those, that's all that matters. And so anything that's resulting in your spending more money is by definition,
[00:23:25.360 --> 00:23:35.620]   Кар
[00:23:35.620 --> 00:23:36.920]   have, upset,
[00:23:36.920 --> 00:23:54.100]   spineuche ISO N N I got as at at asked can é
[00:23:55.380 --> 00:24:05.300]  ,
[00:25:46.500 --> 00:25:56.240]  ief
[00:25:56.240 --> 00:25:56.780]   was in make
[00:25:56.780 --> 00:25:57.320]  lege
[00:26:41.580 --> 00:26:41.580]   and
[00:27:09.140 --> 00:27:09.140]   and
[00:27:09.140 --> 00:27:09.140]   and
[00:27:36.700 --> 00:27:37.780]   and
[00:27:37.780 --> 00:27:37.780]   and
[00:27:37.780 --> 00:27:37.860]   and
[00:27:37.860 --> 00:27:37.980]   and
[00:27:37.980 --> 00:27:39.160]   and
[00:27:39.160 --> 00:27:39.160]   and
[00:28:39.240 --> 00:29:09.220]  atively the most powerful system in the world, and it's the only one that can generate the most money for you. It's a really powerful system. The most powerful thing about cash and cash budgeting is that you are engaging in proactive money management, which is the only thing that you can do.
[00:29:09.220 --> 00:29:09.220]   It's a really powerful system. The most powerful thing about cash and cash budgeting is that you are engaging in proactive money management, which is the only thing that you can do.
[00:29:09.220 --> 00:29:09.220]   It's a really powerful system. The most powerful thing about cash and cash budgeting is that you are engaging in proactive money management, which is the only thing that you can do.
[00:29:09.220 --> 00:29:09.220]   It's a really powerful system. The most powerful thing about cash and cash budgeting is that you are engaging in proactive money management, which is the only thing that you can do.
[00:29:09.220 --> 00:29:09.220]   It's a really powerful system. The most powerful thing about cash and cash budgeting is that you are engaging in proactive money management, which is the only thing that you can do.
[00:29:09.260 --> 00:29:39.240]   It's a really powerful system. The most powerful system about cash and cash budgeting is that you are engaging in proactive money management, which is the only thing that you can do.
[00:29:39.260 --> 00:30:09.260]   It's a really powerful system. The most powerful system about cash and cash budgeting is that you are engaging in proactive money management, which is the only thing that you can do.
[00:30:09.260 --> 00:30:09.260]   It's a really powerful system about cash and cash budgeting is that you are engaging in proactive money management, which is the only thing that you can do.
[00:30:09.260 --> 00:30:09.260]   It's a really powerful system about cash and cash budgeting is that you are engaging in proactive money management,
[00:30:09.300 --> 00:30:39.280]  ,
[00:30:39.280 --> 00:30:39.280]   It's a really powerful system about cash and cash budgeting is that you are engaging in proactive money management, which is the only thing that you can do.
[00:30:39.280 --> 00:30:39.280]   It's a really powerful system about cash and cash budgeting is that you are engaging in proactive money management, which is the only thing that you can do.
[00:30:39.280 --> 00:30:39.280]   It's a really powerful system about cash and cash budgeting is that you are engaging in proactive money management, which is the only thing that you can do.
[00:30:39.320 --> 00:31:09.300]  ,
[00:31:09.340 --> 00:31:39.320]  ,
[00:31:39.320 --> 00:31:39.320]   ------
[00:31:39.320 --> 00:31:39.320]   ------
[00:31:40.200 --> 00:32:09.340]   ------
[00:32:09.380 --> 00:32:09.460]  iji
[00:32:09.460 --> 00:32:23.580]   that,,,,
[00:32:23.580 --> 00:32:37.640]   divid S I I S I X conduct� wherein chore con ac her think of she is the服 gray
[00:32:37.860 --> 00:32:43.740]   every single time. Because that's proactive. It's changing their future decisions, which
[00:32:43.740 --> 00:32:51.240]   is where they'll wind up in time, spending less, saving more.
[00:32:51.240 --> 00:32:55.440]   When you spend and budget cash, you don't need great math skills. You don't even need
[00:32:55.440 --> 00:33:01.940]   great organizational skills. And that opens up financial success to more people.
[00:33:01.940 --> 00:33:06.340]   Finally, there are other little benefits of cash that can come along.
[00:33:06.340 --> 00:33:06.340]   I've talked about the financial benefits of cash. I've talked about the financial
[00:33:06.340 --> 00:33:06.340]   benefits of cash. I've talked about the financial benefits of cash. I've talked
[00:33:06.340 --> 00:33:06.340]   about the financial benefits of cash. I've talked about the financial benefits of cash.
[00:33:06.340 --> 00:33:06.340]   I've talked about the financial benefits of cash. I've talked about the financial benefits of cash.
[00:33:06.340 --> 00:33:06.400]   I've talked about the financial benefits of cash. I've talked about the financial benefits of cash.
[00:33:06.400 --> 00:33:06.480]   I've talked about the financial benefits of cash. I've talked about the financial benefits of cash.
[00:33:06.520 --> 00:33:16.480]   don
[00:33:16.480 --> 00:33:31.120]   personal them,�
[00:33:35.380 --> 00:33:42.860]   Dragon
[00:33:42.860 --> 00:33:45.980]   Z Pour
[00:33:45.980 --> 00:33:56.920]   about in. I have. I have. I, but, toward,,,,,,,, that onion
[00:34:04.480 --> 00:34:08.140]   assess
[00:34:08.140 --> 00:34:13.960]   Secondly
[00:34:13.960 --> 00:34:14.120]   Engine
[00:34:14.120 --> 00:34:15.540]   Por I bloody for the, the, the, the, the, the, the,ative. S assessments en
[00:34:15.540 --> 00:34:18.300]  轉
[00:34:18.300 --> 00:34:33.800]   confirm
[00:34:34.220 --> 00:34:44.240]   There are two basic problems that I think are largely perceived problems, not actual problems.
[00:34:44.240 --> 00:34:48.240]   The first is, well, I can't do my subscriptions, right?
[00:34:48.240 --> 00:34:55.240]   I can't have my, if I'm spending cash, I can't pay my electric bill automatically with cash.
[00:34:55.240 --> 00:34:58.240]   I can't pay my Netflix payment automatically with cash.
[00:34:58.240 --> 00:35:03.960]   I can't have my computer data backup plan paid automatically with cash.
[00:35:03.960 --> 00:35:03.960]   I can't have my computer data backup plan paid automatically with cash.
[00:35:03.960 --> 00:35:03.960]   I can't have my computer data backup plan paid automatically with cash.
[00:35:03.960 --> 00:35:03.960]   I can't have my computer data backup plan paid automatically with cash.
[00:35:03.960 --> 00:35:03.960]   I can't have my computer data backup plan paid automatically with cash.
[00:35:03.960 --> 00:35:03.960]   I can't have my computer data backup plan paid automatically with cash.
[00:35:03.960 --> 00:35:03.960]   I can't have my computer data backup plan paid automatically with cash.
[00:35:03.960 --> 00:35:03.960]   I can't have my computer data backup plan paid automatically with cash.
[00:35:04.000 --> 00:35:33.720]  ,
[00:35:33.720 --> 00:35:33.840]   I can't have my computer data backup plan paid automatically with cash.
[00:35:33.840 --> 00:35:33.880]   I can't have my computer data backup plan paid automatically with cash.
[00:35:33.880 --> 00:35:33.920]   I can't have my computer data backup plan paid automatically with cash.
[00:35:33.920 --> 00:35:33.960]   I can't have my computer data backup plan paid automatically with cash.
