
[00:00:00.000 --> 00:00:05.000]   [intro music]
[00:05:28.000 --> 00:05:33.000]   rather than when we have life made easier for us by his removal
[00:05:33.000 --> 00:05:35.000]   and we like Jesus because of it.
[00:05:35.000 --> 00:05:39.000]   That was Pastor John in a Q&A setting several years back.
[00:05:39.000 --> 00:05:41.000]   And related to this, two other Ask Pastor John episodes
[00:05:41.000 --> 00:05:43.000]   deal with the nature and existence of Satan.
[00:05:43.000 --> 00:05:47.000]   See episode #204, "Does it make God evil to ordain evil?"
[00:05:47.000 --> 00:05:51.000]   and episode #280, "Does God cause all sickness?"
[00:05:51.000 --> 00:05:54.000]   You can find these episodes in the Ask Pastor John archive.
[00:05:54.000 --> 00:05:56.000]   Check out our free app for the iPhone and the Android.
[00:05:56.000 --> 00:05:58.000]   Most of the podcast listeners use the free app.
[00:05:58.000 --> 00:06:02.000]   And if you have an iPhone or an iPad or an Android phone or device,
[00:06:02.000 --> 00:06:05.000]   check out your app store for the app, which is free of charge to you
[00:06:05.000 --> 00:06:10.000]   because we have very faithful and generous financial donors like you.
[00:06:10.000 --> 00:06:12.000]   So thank you for supporting the ministry of Desiring God.
[00:06:12.000 --> 00:06:14.000]   Thank you for listening to this podcast.
[00:06:14.000 --> 00:06:16.000]   Thank you for engaging the content.
[00:06:16.000 --> 00:06:18.000]   And thank you for sharing it with your friends.
[00:06:18.000 --> 00:06:21.000]   And, of course, thank you for asking wonderful questions.
[00:06:21.000 --> 00:06:24.000]   I'm your host, Tony Reinke. Have a great weekend.
[00:06:24.000 --> 00:06:26.000]   [end]
[00:06:26.000 --> 00:06:28.000]   .
[00:06:28.000 --> 00:06:30.000]   .
[00:06:30.000 --> 00:06:40.000]   [BLANK_AUDIO]

