
[00:00:00.000 --> 00:00:05.000]   Should be fine.
[00:03:15.360 --> 00:03:19.120]   There's so many cool and smart people who also like know how to have a good time and
[00:03:19.120 --> 00:03:20.120]   stuff like that.
[00:03:20.120 --> 00:03:26.440]   So yeah, it was that was like the beginning and I got my first paper at UMass, which was
[00:03:26.440 --> 00:03:31.840]   a short paper, but that was like mostly NLP and at NACL in 2018.
[00:03:31.840 --> 00:03:36.400]   And then once I started working at Oracle, I explored more like on the industry side
[00:03:36.400 --> 00:03:41.520]   how to apply things and I realized I wanted a bit more freedom in like in terms of what
[00:03:41.520 --> 00:03:42.840]   I like to work on.
[00:03:42.840 --> 00:03:48.400]   So I applied for a PhD after like working on a bunch of research projects with some
[00:03:48.400 --> 00:03:52.840]   friends, you know, to like improve my PhD application.
[00:03:52.840 --> 00:03:58.200]   So yeah, NYU happened after that because I had an interview with Jan and we discussed
[00:03:58.200 --> 00:04:01.160]   a bunch of stuff about like common sense reasoning and multimodality.
[00:04:01.160 --> 00:04:05.720]   And he was like super excited about like, you know, going beyond just image or just
[00:04:05.720 --> 00:04:10.120]   text and using self supervised learning and also putting it together with like multimodality
[00:04:10.120 --> 00:04:13.280]   and yeah, going along this path.
[00:04:13.280 --> 00:04:15.960]   So I started working on this after I joined NYU.
[00:04:15.960 --> 00:04:17.840]   So yeah, that's my.
[00:04:17.840 --> 00:04:18.840]   That's really exciting.
[00:04:18.840 --> 00:04:24.080]   I've always meant to ask, but never got an option to, but how's Jan like in real life?
[00:04:24.080 --> 00:04:25.640]   He's super chill.
[00:04:25.640 --> 00:04:30.360]   He's like, yeah, he's, he's like, really, really nice and understanding and like, you
[00:04:30.360 --> 00:04:34.560]   know, I never feel like in the beginning I was like, oh my God, during award winner,
[00:04:34.560 --> 00:04:36.560]   how am I ever going to talk to him, right?
[00:04:36.560 --> 00:04:42.040]   Like this year, especially like that interview, which I had with him where he told me like
[00:04:42.040 --> 00:04:44.880]   during the interview, oh, you know, I'm going to be taking a PhD student.
[00:04:44.880 --> 00:04:46.760]   Do you want to be a PhD student with me?
[00:04:46.760 --> 00:04:47.760]   And I was like, what?
[00:04:47.760 --> 00:04:48.760]   Did you just say that?
[00:04:48.760 --> 00:04:49.760]   Cause I was totally not expecting it.
[00:04:49.760 --> 00:04:50.760]   And it was just like out of the blue.
[00:04:50.760 --> 00:04:51.760]   And yeah, so I was super excited.
[00:04:51.760 --> 00:04:58.640]   And since then, I think like we have a pretty good relationship.
[00:04:58.640 --> 00:05:04.600]   He is very open to like me trying out ideas or like, you know, pursuing my own direction.
[00:05:04.600 --> 00:05:09.240]   So he like has some high level of interest that, you know, these energy-based models
[00:05:09.240 --> 00:05:13.800]   and regularize energy-based models for like different kinds of tasks.
[00:05:13.800 --> 00:05:16.720]   So he doesn't really care about what task you work on.
[00:05:16.720 --> 00:05:21.800]   So, you know, at that point he wasn't like that much into NLP and I was, so he was like,
[00:05:21.800 --> 00:05:23.800]   yeah, we can like find common interests.
[00:05:23.800 --> 00:05:28.400]   And he did try to like find a project which, you know, overlap with his interests and mine,
[00:05:28.400 --> 00:05:29.720]   which was super nice.
[00:05:29.720 --> 00:05:34.760]   And then during my internship last year at FAIR with him, I started exploring more of
[00:05:34.760 --> 00:05:36.920]   the multi-modal area.
[00:05:36.920 --> 00:05:37.920]   So yeah.
[00:05:37.920 --> 00:05:38.920]   Wow.
[00:05:38.920 --> 00:05:41.560]   That is really exciting to hear.
[00:05:41.560 --> 00:05:42.560]   Thanks for that introduction, Aishwarya.
[00:05:42.560 --> 00:05:43.880]   I really appreciate it.
[00:05:43.880 --> 00:05:49.720]   So for everybody, if you have questions for Aishwarya like I have, this is the link 1db.me/mdetr.
[00:05:49.720 --> 00:05:55.280]   So let me just show you where that will take you.
[00:05:55.280 --> 00:05:58.000]   So if I go to that link, that's the wrong place.
[00:05:58.000 --> 00:05:59.000]   One second.
[00:05:59.000 --> 00:06:00.000]   So 1db.me/mdtr.
[00:06:00.000 --> 00:06:06.400]   So that should take you to the Fast.ai forums.
[00:06:06.400 --> 00:06:08.400]   That's where we've been hosting all our discussions.
[00:06:08.400 --> 00:06:11.120]   So you'll see this link mdtr.
[00:06:11.120 --> 00:06:13.640]   And then if you go there, you can just click reply.
[00:06:13.640 --> 00:06:17.480]   And I'm just going to do this test and click reply.
[00:06:17.480 --> 00:06:18.960]   I think this will make an error.
[00:06:18.960 --> 00:06:20.480]   Yeah, at least 20 characters.
[00:06:20.480 --> 00:06:23.280]   I'm going to make this 20 characters.
[00:06:23.280 --> 00:06:24.280]   All right.
[00:06:24.560 --> 00:06:29.040]   So this is because we're also live on YouTube and we also have Zoom chats.
[00:06:29.040 --> 00:06:31.360]   So it's really hard for me to monitor questions everywhere.
[00:06:31.360 --> 00:06:36.760]   So Aishwarya, what we do is basically as we're going through the papers, we're just going
[00:06:36.760 --> 00:06:40.360]   to have a look at this forum and then that's where all the questions will be.
[00:06:40.360 --> 00:06:43.280]   So this is for the Ask Me Anything section right at the end.
[00:06:43.280 --> 00:06:44.280]   OK, sounds good.
[00:06:44.280 --> 00:06:45.280]   All right.
[00:06:45.280 --> 00:06:52.200]   With that being said, let's start and let's start to dig in this paper, which is MDETR.
[00:06:52.200 --> 00:06:54.760]   So I guess we'll start with an introduction.
[00:06:54.760 --> 00:06:59.120]   And then the first thing when I was reading this paper, figure one was like, that's the
[00:06:59.120 --> 00:07:00.120]   first thing I ever saw.
[00:07:00.120 --> 00:07:04.240]   And I'm like a pink elephant and the model can recognize a pink elephant.
[00:07:04.240 --> 00:07:09.240]   So please tell us, I guess it would be really helpful if you could tell us what is multimodal
[00:07:09.240 --> 00:07:17.080]   understanding and how is MDETR different from DETR, which is just object detection and how
[00:07:17.080 --> 00:07:19.160]   did the work come about?
[00:07:19.160 --> 00:07:20.160]   Sure.
[00:07:20.160 --> 00:07:25.480]   So DETR was like the first object detection model, which went like end to end.
[00:07:25.480 --> 00:07:28.920]   So you can train it like fully end to end.
[00:07:28.920 --> 00:07:31.280]   And I mean, it's solving a different task.
[00:07:31.280 --> 00:07:36.940]   So detection is a classical vision, you know, task it to localize and recognize objects
[00:07:36.940 --> 00:07:37.940]   in the image.
[00:07:37.940 --> 00:07:43.280]   Whereas multimodal reasoning or like multimodal understanding is much more broad term, I would
[00:07:43.280 --> 00:07:46.080]   say, because it like has a lot of more components to it.
[00:07:46.080 --> 00:07:49.960]   You have to understand like if you're right here, we're learning about text and image
[00:07:49.960 --> 00:07:54.500]   multimodal, but of course you can also, you know, do other modalities like speech.
[00:07:54.500 --> 00:07:57.400]   And then if you have videos, you can learn from that as well.
[00:07:57.400 --> 00:08:04.840]   But yeah, so the main idea of our paper was like to extend from what previous work was
[00:08:04.840 --> 00:08:05.840]   based on.
[00:08:05.840 --> 00:08:11.520]   So most of the previous work for multimodal approaches all did object detection as some
[00:08:11.520 --> 00:08:13.320]   sort of pre-processing step.
[00:08:13.320 --> 00:08:16.720]   So it's always like a pipeline approach where you first do detection, you find a bunch of
[00:08:16.720 --> 00:08:21.320]   objects of interest, and then you have this multimodal reasoning or like understanding
[00:08:21.320 --> 00:08:24.340]   phase where you actually align image and text.
[00:08:24.340 --> 00:08:29.640]   So this is problematic because the object detectors all have like a fixed label set,
[00:08:29.640 --> 00:08:30.640]   right?
[00:08:30.640 --> 00:08:34.960]   So they're trained on like Cocoa or VG or whatever, which have a fixed number of object
[00:08:34.960 --> 00:08:35.960]   classes.
[00:08:35.960 --> 00:08:41.640]   So if you want to reason about objects and attributes, which suppose this pink elephant,
[00:08:41.640 --> 00:08:44.360]   right, Cocoa does not have a pink elephant.
[00:08:44.360 --> 00:08:50.000]   So in like your VQA task, suppose you have some question, which is about a pink elephant
[00:08:50.000 --> 00:08:53.960]   and the image has it, there's really no way you can reason about it.
[00:08:53.960 --> 00:08:59.000]   On the other hand, if you like make the object detection part more central to your approach,
[00:08:59.000 --> 00:09:03.960]   which is what we try to do, then you can basically detect anything that's found in free form
[00:09:03.960 --> 00:09:04.960]   text.
[00:09:04.960 --> 00:09:10.280]   So as long as you know, you have some aligned text and object, like you have the alignment
[00:09:10.280 --> 00:09:15.800]   between some text and the object in the image, you can recognize it and you can like reason
[00:09:15.800 --> 00:09:19.000]   over it in the VQA or whatever other tasks that you're interested in.
[00:09:19.000 --> 00:09:23.040]   I mean, there's a whole bunch of multimodal tasks, there's image captioning, there's VQA,
[00:09:23.040 --> 00:09:25.520]   you know, there's phase grounding and segmentation.
[00:09:25.520 --> 00:09:28.320]   So yeah, it's like phrase based segmentation.
[00:09:28.320 --> 00:09:35.720]   So yeah, MDeter was trying to get away from this limitation basically where you have to
[00:09:35.720 --> 00:09:39.760]   have this object detector trained on a bunch of classes and you can only do stuff with
[00:09:39.760 --> 00:09:40.760]   those classes.
[00:09:40.760 --> 00:09:44.760]   That was the motivating idea.
[00:09:44.760 --> 00:09:48.360]   And like in terms of that idea, it's very, I guess, a similar approach to what DETR tried
[00:09:48.360 --> 00:09:52.720]   to do with object detection as a whole, because there were two steps.
[00:09:52.720 --> 00:09:56.160]   You had a region of interest and then that's when the detection would happen.
[00:09:56.160 --> 00:09:59.880]   And then you see MDETR, which is kind of like taking away that bottleneck.
[00:09:59.880 --> 00:10:03.440]   So it's really good to see like things being built one after the other.
[00:10:03.440 --> 00:10:09.240]   I mean, it was like collaboration with Nico and Gab as well, who are like Nico is the
[00:10:09.240 --> 00:10:11.480]   one who wrote the DETR paper.
[00:10:11.480 --> 00:10:16.640]   And he was like basically my mentor during my internship along with Jan, because he was
[00:10:16.640 --> 00:10:19.240]   like working on this for a whole while now.
[00:10:19.240 --> 00:10:22.600]   And yeah, he has a lot of experience.
[00:10:22.600 --> 00:10:28.280]   And initially, actually, when I started working on MDETR, it wasn't called that because I
[00:10:28.280 --> 00:10:30.680]   wasn't trying to do it as modulator detection.
[00:10:30.680 --> 00:10:33.060]   It was more of a multitask model.
[00:10:33.060 --> 00:10:36.480]   So I think there's been like a bunch of papers actually, which ended up doing that in the
[00:10:36.480 --> 00:10:37.960]   last few months.
[00:10:37.960 --> 00:10:42.240]   But that's the first thing I had tried basically to do image captioning, like have a decoder
[00:10:42.240 --> 00:10:46.720]   for captioning and the DETR decoder, which does detection so that there's some sort of
[00:10:46.720 --> 00:10:50.080]   synergy between the two and you have better performance.
[00:10:50.080 --> 00:10:51.080]   It did okay.
[00:10:51.080 --> 00:10:55.920]   Like I would say the results were decent, but it wasn't like clear how to make this
[00:10:55.920 --> 00:10:58.160]   help downstream tasks such as VQA.
[00:10:58.160 --> 00:11:04.720]   And I guess the main, like my main motivation was like learn to make a model where you can
[00:11:04.720 --> 00:11:09.400]   apply it to like a whole bunch of tasks and like, which is in a way that's useful to downstream
[00:11:09.400 --> 00:11:10.400]   tasks.
[00:11:10.400 --> 00:11:15.440]   So that's why we kind of pivoted at some point after the internship, I started looking at
[00:11:15.440 --> 00:11:16.680]   referring expressions.
[00:11:16.680 --> 00:11:20.880]   And then I was like, wait, what if like, you know, you find stuff which is actually referred
[00:11:20.880 --> 00:11:27.280]   to and that's basically what made the direction shift from just using DETR as a detector and
[00:11:27.280 --> 00:11:31.680]   doing detection and captioning to like actually doing modulator detection.
[00:11:31.680 --> 00:11:35.000]   Yeah, that's really exciting to hear.
[00:11:35.000 --> 00:11:38.560]   And I guess this is another thing, just so you mentioned, I just want to highlight that
[00:11:38.560 --> 00:11:39.560]   in the paper as well.
[00:11:39.560 --> 00:11:44.400]   Like exactly what you said, there's like several downstream tasks like phrase counting, referring
[00:11:44.400 --> 00:11:49.280]   expansion, comprehension, segmentation, and then you've achieved this, this paper's achieved
[00:11:49.280 --> 00:11:53.840]   state of the art on a lot of popular benchmarks, which is very exciting.
[00:11:53.840 --> 00:11:59.040]   And I'm really keen to see like what's coming next after MDTR and like where this will lead
[00:11:59.040 --> 00:12:00.040]   to.
[00:12:00.040 --> 00:12:03.600]   So I'm going to leave all of that for the AMA towards the end on what your plans are
[00:12:03.600 --> 00:12:06.280]   after MDTR.
[00:12:06.280 --> 00:12:11.920]   So I guess from the app, so what we do is we just go through the paper section by section.
[00:12:11.920 --> 00:12:16.880]   So in terms of abstract, I guess this was just about providing the main idea about the
[00:12:16.880 --> 00:12:17.880]   paper.
[00:12:17.880 --> 00:12:23.960]   And one thing maybe that I do want to highlight is the pre-training of the network on 1.3
[00:12:23.960 --> 00:12:29.480]   text image pairs, which, and that was a data set that was curated at Facebook.
[00:12:29.480 --> 00:12:30.480]   Is that correct?
[00:12:30.480 --> 00:12:33.920]   Well, we just use existing public data sets.
[00:12:33.920 --> 00:12:38.440]   So for our images, we use Cocoa and VG and Flickr.
[00:12:38.440 --> 00:12:41.640]   So there's some overlap between Cocoa and VG.
[00:12:41.640 --> 00:12:44.640]   And then there's like a few extra images, which are only in VG.
[00:12:44.640 --> 00:12:48.080]   And then there's like, I don't know, not that many images in Flickr.
[00:12:48.080 --> 00:12:50.200]   So like, yeah, I'm not sure.
[00:12:50.200 --> 00:12:52.160]   I don't remember the exact number, but yeah.
[00:12:52.160 --> 00:12:57.760]   So these data sets all existed and we just went and looked for data sets where you have
[00:12:57.760 --> 00:13:02.720]   an explicit alignment between words in the text and the object.
[00:13:02.720 --> 00:13:06.920]   So we need this kind of alignment because we use it in our loss functions.
[00:13:06.920 --> 00:13:11.600]   Of course, like it's a strong requirement and like future work or like subsequent work
[00:13:11.600 --> 00:13:15.000]   is going to try and like reduce this strong requirement.
[00:13:15.000 --> 00:13:17.000]   But yeah, we didn't make any new data sets.
[00:13:17.000 --> 00:13:21.280]   It was just about taking it from VG regions.
[00:13:21.280 --> 00:13:27.480]   It's actually a very rich source of information because they have, it's extremely noisy.
[00:13:27.480 --> 00:13:34.000]   So we did do like quite a lot of like filtering or like, you know, noise reduction in the
[00:13:34.000 --> 00:13:38.120]   region to box kind of annotations.
[00:13:38.120 --> 00:13:42.640]   But yeah, there's a lot of like really good data out there, which is like extremely long
[00:13:42.640 --> 00:13:43.920]   tailed and very interesting.
[00:13:43.920 --> 00:13:51.160]   For example, one of the images, like I remember there was a tiny glass which had a, you know,
[00:13:51.160 --> 00:13:53.960]   an inscription of a tree on it.
[00:13:53.960 --> 00:13:55.760]   And they even like annotate that.
[00:13:55.760 --> 00:13:59.000]   Like it's crazy how detailed the annotations are.
[00:13:59.000 --> 00:14:02.840]   So it's a very rich source of information and VG is just like amazing.
[00:14:02.840 --> 00:14:07.800]   So we use basically just existing stuff, nothing like made at Facebook basically.
[00:14:07.800 --> 00:14:08.800]   Yeah.
[00:14:08.800 --> 00:14:09.800]   Right.
[00:14:09.800 --> 00:14:10.800]   Interesting.
[00:14:10.800 --> 00:14:11.800]   Thank you for that background.
[00:14:11.800 --> 00:14:13.800]   So I guess then we'll move on to the introduction.
[00:14:13.800 --> 00:14:19.360]   Is there anything else you want to add in abstract or we good for introduction?
[00:14:19.360 --> 00:14:25.600]   I guess about the 1.3 million image text pairs, the main difference from prior work like Oscar
[00:14:25.600 --> 00:14:31.560]   and, you know, all of these recent papers, they all are trained on conceptual captions,
[00:14:31.560 --> 00:14:33.360]   which is, which has a lot more images.
[00:14:33.360 --> 00:14:38.600]   It's like 3.3 million images, whereas we use only 200,000 images, which is like an order
[00:14:38.600 --> 00:14:40.320]   of magnitude smaller.
[00:14:40.320 --> 00:14:46.080]   But we of course have like a stronger supervision in terms of like, you know, the actual part
[00:14:46.080 --> 00:14:51.080]   of the text that is annotated, whereas they use a lot more data, but it's sort of weaker
[00:14:51.080 --> 00:14:52.800]   because it's just image and text.
[00:14:52.800 --> 00:14:54.520]   It's not like object level.
[00:14:54.520 --> 00:14:58.920]   So yeah, just to make that point, because some of the reviewers were a bit confused
[00:14:58.920 --> 00:15:04.120]   about like if it's 1.3 million or 200,000, because we say that interchangeably and yeah,
[00:15:04.120 --> 00:15:07.160]   200,000 is images just to be clear.
[00:15:07.160 --> 00:15:08.160]   Right.
[00:15:08.160 --> 00:15:11.560]   And then the 1.3 million is an image and text pairs because you can, for one image you can
[00:15:11.560 --> 00:15:12.560]   add multiple texts.
[00:15:12.560 --> 00:15:13.560]   Yeah, exactly.
[00:15:13.560 --> 00:15:14.560]   Correct.
[00:15:14.560 --> 00:15:15.560]   That makes sense.
[00:15:15.560 --> 00:15:16.560]   All right.
[00:15:16.560 --> 00:15:22.560]   So I guess when I was first looking at the paper, what I find too is I just go through
[00:15:22.560 --> 00:15:27.200]   the architecture and just trying to understand the paper from an architecture perspective.
[00:15:27.200 --> 00:15:33.240]   So we know that MDTI is then from an introduction perspective, we know that MDTI is trying to
[00:15:33.240 --> 00:15:37.800]   mix the text or basically the text modality with the image modality.
[00:15:37.800 --> 00:15:40.040]   So it's mixing text and vision.
[00:15:40.040 --> 00:15:45.160]   And then I guess maybe it will be helpful if we could go through figure two from here
[00:15:45.160 --> 00:15:46.360]   on Eshwarya.
[00:15:46.360 --> 00:15:52.520]   So did you want to share on what's going on in figure two and explain how that works?
[00:15:52.520 --> 00:15:57.600]   So on the left, we're going to look at the image going from left to right.
[00:15:57.600 --> 00:16:02.560]   So on the left, we have this picture of a cat jumping over a fence and you have the
[00:16:02.560 --> 00:16:06.600]   caption which is aligned with it, which says a cat with white paws jumps over a fence in
[00:16:06.600 --> 00:16:08.040]   front of a yellow tree.
[00:16:08.040 --> 00:16:15.720]   Now in our annotations, we have explicit mapping that certain boxes in the image are mapped
[00:16:15.720 --> 00:16:17.800]   to certain spans of text.
[00:16:17.800 --> 00:16:22.680]   So that's what we show in the absolute right image and the color coded text.
[00:16:22.680 --> 00:16:28.760]   It's just to show you that the box corresponding to cat, for example, the orange one, we know
[00:16:28.760 --> 00:16:36.480]   from the ground truth that it is mapped to a cat, the span of the text.
[00:16:36.480 --> 00:16:42.280]   So the image is passed through a CNN, just like in Dita, you'd get a bunch of image features,
[00:16:42.280 --> 00:16:45.120]   which is just linearized.
[00:16:45.120 --> 00:16:50.680]   So it's flattened, the empty box is meant to show that it's a flattening.
[00:16:50.680 --> 00:16:55.800]   Similarly from the text, you get Roberta embeddings, apply a linear to make it the same size.
[00:16:55.800 --> 00:16:58.460]   And then you have like the sequence of text features.
[00:16:58.460 --> 00:17:02.400]   On the image side, there's no positional embedding that's already there.
[00:17:02.400 --> 00:17:06.400]   Like Roberta has sequence embeddings already, so we don't add an extra one.
[00:17:06.400 --> 00:17:10.080]   But on the image side, we use 2D positional embedding so that it knows which part of the
[00:17:10.080 --> 00:17:11.920]   image these features are from.
[00:17:11.920 --> 00:17:15.240]   And then we concatenate these on the sequence dimension.
[00:17:15.240 --> 00:17:22.000]   So you basically get this really long sequence of like image features and then text features.
[00:17:22.000 --> 00:17:26.680]   So the part after that is basically just a Dita transformer.
[00:17:26.680 --> 00:17:32.160]   So you have an encoder in Dita, here we call it a cross encoder because it takes in both
[00:17:32.160 --> 00:17:33.840]   image and text features.
[00:17:33.840 --> 00:17:35.920]   But otherwise, there's like nothing different about it.
[00:17:35.920 --> 00:17:40.280]   And then the decoder basically predicts boxes just as in Dita.
[00:17:40.280 --> 00:17:46.720]   The main difference is that the predicted boxes are not mapped to explicit class labels.
[00:17:46.720 --> 00:17:51.400]   So there's no more notion of like, you know, 81 or whatever class labels in Cocoa.
[00:17:51.400 --> 00:17:56.400]   Here it's just like, since we know in the ground truth that that orange box is mapped
[00:17:56.400 --> 00:18:02.040]   to a cat, we will supervise it to predict the actual like a soft distribution over the
[00:18:02.040 --> 00:18:07.080]   span where it's uniform over all the parts that correspond to that box.
[00:18:07.080 --> 00:18:08.080]   So yeah.
[00:18:08.080 --> 00:18:09.320]   That makes complete sense.
[00:18:09.320 --> 00:18:13.520]   Let's try and, I guess when I was first looking at this, that was the first difference that
[00:18:13.520 --> 00:18:18.120]   I saw is like, and you've mentioned that in the paper as well, is like how DTR maps the
[00:18:18.120 --> 00:18:20.480]   boxes to the class IDs.
[00:18:20.480 --> 00:18:23.600]   And then instead where over here, because we're doing multi-modal, what you want to
[00:18:23.600 --> 00:18:27.600]   do is you want to have the red box correspond to the tokens, a cat, whereas you want to
[00:18:27.600 --> 00:18:31.960]   have the purple one, which is like the four bounding boxes for the pause, which corresponds
[00:18:31.960 --> 00:18:32.960]   to the white pause.
[00:18:32.960 --> 00:18:35.680]   So I guess that was really helpful to see.
[00:18:35.680 --> 00:18:40.200]   And one thing that has always helped me is if it's okay, if we maybe start going through
[00:18:40.200 --> 00:18:44.960]   dimensions or just maybe tensor shapes, and then maybe that will help clear that understanding,
[00:18:44.960 --> 00:18:48.000]   or maybe we can move on and not go through the tensor shapes.
[00:18:48.000 --> 00:18:49.000]   Sure.
[00:18:49.000 --> 00:18:53.160]   So I guess like the box, you will have like, yeah, go ahead.
[00:18:53.160 --> 00:18:58.320]   Do you mind if I just go through, maybe we have our, I was just going to do it very quickly
[00:18:58.320 --> 00:19:03.080]   just for anybody who's new to like DTR or MDTR.
[00:19:03.080 --> 00:19:10.680]   So I just wanted to do it very quickly is, so if we have an input of say one by three
[00:19:10.680 --> 00:19:15.440]   by five and two, it would be something like that, which is one image and three channels
[00:19:15.440 --> 00:19:17.320]   and five and two by five and two.
[00:19:17.320 --> 00:19:22.120]   And then we have this whole text over here, which let's say is 10 words.
[00:19:22.120 --> 00:19:27.120]   So what Roberta is, and please correct me at any point if you feel like my understanding
[00:19:27.120 --> 00:19:31.720]   is different, but then what Roberta would do is for each of these 10, it would convert
[00:19:31.720 --> 00:19:35.220]   it into a, say a 10 by 196.
[00:19:35.220 --> 00:19:38.000]   I'm not sure what the embedding dimension is.
[00:19:38.000 --> 00:19:39.000]   768.
[00:19:39.000 --> 00:19:40.000]   Okay.
[00:19:40.000 --> 00:19:42.400]   So it would do 768.
[00:19:42.400 --> 00:19:47.120]   So that's going to convert those 10 words into an embedding of 10 by 768.
[00:19:47.120 --> 00:19:53.060]   And then from a CNN, what we would get is something like one by say 64 channels and
[00:19:53.060 --> 00:19:56.520]   maybe like a 16 by 16 spatial dimension.
[00:19:56.520 --> 00:19:59.280]   So far, is that correct?
[00:19:59.280 --> 00:20:03.480]   And then we just flattened this out so you could have reshaping and flattening things
[00:20:03.480 --> 00:20:04.480]   out.
[00:20:04.480 --> 00:20:08.240]   And then this is where this dimension would go in and they both get concatenated.
[00:20:08.240 --> 00:20:09.240]   So we have.
[00:20:09.240 --> 00:20:14.320]   So before you, when you flatten it, you're going to have like some feature dimension.
[00:20:14.320 --> 00:20:19.000]   That's why there's a linear so that you convert it to the dimension of the transformer basically,
[00:20:19.000 --> 00:20:20.840]   which was 256 for us.
[00:20:20.840 --> 00:20:26.240]   So before we add the positional embedding and concat, the text and image features are
[00:20:26.240 --> 00:20:30.120]   both like basically just, you know, 256 dimensional.
[00:20:30.120 --> 00:20:32.560]   And then we concat it on the sequence dimension.
[00:20:32.560 --> 00:20:37.360]   So it becomes length of the image features plus the length of the text features.
[00:20:37.360 --> 00:20:40.280]   And the last dimension is always 256 basically.
[00:20:40.280 --> 00:20:41.280]   All right.
[00:20:41.280 --> 00:20:42.280]   Okay.
[00:20:42.280 --> 00:20:43.280]   That makes good.
[00:20:43.280 --> 00:20:44.480]   That does really help.
[00:20:44.480 --> 00:20:48.760]   And then finally the transformer over here, because now we have the concatenated list.
[00:20:48.760 --> 00:20:52.080]   So the transformer over here, that's very similar to the DETR.
[00:20:52.080 --> 00:20:53.880]   And we just pass that through the transformer.
[00:20:53.880 --> 00:21:00.400]   So now the transformer learns to find that, basically find that relationship between text
