
[00:00:00.000 --> 00:00:05.500]   [APPLAUSE]
[00:04:25.900 --> 00:04:30.180]   of life decisions, really fun things to talk about, I know.
[00:04:30.180 --> 00:04:31.020]   Welcome to my life.
[00:04:31.020 --> 00:04:34.900]   I talk about them every single day.
[00:04:34.900 --> 00:04:38.220]   These documents are really important
[00:04:38.220 --> 00:04:40.660]   because this is what gives you guys the power
[00:04:40.660 --> 00:04:44.540]   to express what your wishes are as it relates to health care
[00:04:44.540 --> 00:04:46.700]   decisions.
[00:04:46.700 --> 00:04:47.740]   Anyone in the room--
[00:04:47.740 --> 00:04:49.500]   I'm sure a lot of people in the room--
[00:04:49.500 --> 00:04:53.300]   do you guys remember the name Terri Schiavo?
[00:04:53.300 --> 00:04:54.300]   Yes.
[00:04:54.300 --> 00:04:56.500]   If you don't, I'll give you the quick crash course.
[00:04:56.500 --> 00:04:58.900]   There was a young lady down in Florida.
[00:04:58.900 --> 00:05:01.500]   I think it was in maybe late '90s.
[00:05:01.500 --> 00:05:03.940]   She was in a persistent vegetative state.
[00:05:03.940 --> 00:05:07.620]   Long story short, her husband and her parents
[00:05:07.620 --> 00:05:12.820]   went to like World War III over whether to keep her feeding
[00:05:12.820 --> 00:05:14.860]   tube in.
[00:05:14.860 --> 00:05:18.380]   And what I always tell people is we
[00:05:18.380 --> 00:05:21.620]   got the opinion of everyone.
[00:05:21.620 --> 00:05:24.620]   We got the opinion of politicians.
[00:05:24.620 --> 00:05:26.980]   We got the opinion of courts.
[00:05:26.980 --> 00:05:30.680]   We surely got the opinion from Nancy Grace.
[00:05:30.680 --> 00:05:33.300]   We got a lot of people's opinion.
[00:05:33.300 --> 00:05:37.780]   But whose opinion was the most important one?
[00:05:37.780 --> 00:05:39.540]   Hers, Terri's.
[00:05:39.540 --> 00:05:41.980]   And that's the one we were missing.
[00:05:41.980 --> 00:05:46.340]   And so that case really shined a bright light
[00:05:46.340 --> 00:05:49.740]   on this set of documents I'm talking about,
[00:05:49.740 --> 00:05:53.460]   the Living Will Declaration and advanced directives,
[00:05:53.460 --> 00:05:55.820]   because that's what she was missing.
[00:05:55.820 --> 00:05:57.580]   So when you think of estate planning,
[00:05:57.580 --> 00:05:59.820]   I think a lot of people's focus goes really
[00:05:59.820 --> 00:06:04.020]   to what happens when I pass away, or financial,
[00:06:04.020 --> 00:06:06.180]   or more legally focused.
[00:06:06.180 --> 00:06:09.940]   But health care decision making is equally as important
[00:06:09.940 --> 00:06:12.460]   when you embark on this process.
[00:06:12.460 --> 00:06:15.740]   So that's the first set, advanced directives slash
[00:06:15.740 --> 00:06:17.660]   Living Will Declaration.
[00:06:17.660 --> 00:06:22.940]   Second set is a medical power of attorney or a health care
[00:06:22.940 --> 00:06:26.260]   representative.
[00:06:26.260 --> 00:06:31.340]   I'm trying to keep things very high level and more general,
[00:06:31.340 --> 00:06:35.940]   because as Mike mentioned, I am only in Indiana.
[00:06:35.940 --> 00:06:38.380]   Different states call these documents
[00:06:38.380 --> 00:06:39.860]   different things.
[00:06:39.860 --> 00:06:42.540]   And so you may see this document called Appointment of Health
[00:06:42.540 --> 00:06:43.480]   Care Representative.
[00:06:43.480 --> 00:06:46.100]   That's what my state of Indiana calls it.
[00:06:46.100 --> 00:06:48.100]   But you may see health care power of attorney
[00:06:48.100 --> 00:06:49.340]   or medical power of attorney.
[00:06:49.340 --> 00:06:53.060]   So any of these, it just depends on what your state calls it.
[00:06:53.060 --> 00:06:56.140]   But they do effectively the same thing.
[00:06:56.140 --> 00:07:00.380]   So documents number two, or like the second theme of documents,
[00:07:00.380 --> 00:07:02.860]   is this health care power of attorney.
[00:07:02.860 --> 00:07:09.540]   So this is the document that states, if I am unable to--
[00:07:09.540 --> 00:07:12.860]   man, I thought that was my presentation again.
[00:07:12.860 --> 00:07:16.820]   If I'm unable to make health care decisions,
[00:07:16.820 --> 00:07:20.180]   who do I trust to make those for me?
[00:07:20.180 --> 00:07:22.740]   So that's the document that I state.
[00:07:22.740 --> 00:07:26.140]   Maybe it's my spouse, or maybe it's my children.
[00:07:26.140 --> 00:07:27.620]   And just a little insider secret,
[00:07:27.620 --> 00:07:30.620]   it doesn't have to be your oldest child.
[00:07:30.620 --> 00:07:32.340]   I hear that all the time.
[00:07:32.340 --> 00:07:33.940]   It doesn't even have to be the child that
[00:07:33.940 --> 00:07:36.300]   lives down the street.
[00:07:36.300 --> 00:07:39.380]   I wish I could go on in more detail about this.
[00:07:39.380 --> 00:07:41.940]   But there's a set of factors that you should weigh when
[00:07:41.940 --> 00:07:45.380]   you pick people in all of these roles.
[00:07:45.380 --> 00:07:47.660]   So yeah, it doesn't have to be the oldest child.
[00:07:47.660 --> 00:07:50.660]   But the primary purpose of this document
[00:07:50.660 --> 00:07:54.500]   is to put someone in a position to make your health care
[00:07:54.500 --> 00:07:58.820]   decisions for you if you're unable to do so.
[00:07:58.820 --> 00:08:04.060]   Number three is a financial power of attorney.
[00:08:04.060 --> 00:08:07.220]   So financial power of attorneys are specifically
[00:08:07.220 --> 00:08:13.100]   for people when they need to put someone in a position
[00:08:13.100 --> 00:08:17.740]   to help them with more financial and legal affairs.
[00:08:17.740 --> 00:08:22.740]   So if you think about all these documents, a lot of the times
[00:08:22.740 --> 00:08:27.060]   these are not usually kicking in until something has happened,
[00:08:27.060 --> 00:08:29.980]   whether it's incapacity, whether it's
[00:08:29.980 --> 00:08:31.820]   death, which will be the documents that we
[00:08:31.820 --> 00:08:33.980]   talk about later.
[00:08:33.980 --> 00:08:36.660]   But most of the time, the financial power of attorney
[00:08:36.660 --> 00:08:38.500]   is a document that kicks in.
[00:08:38.500 --> 00:08:42.660]   I mostly see it in my practice when people are--
[00:08:42.660 --> 00:08:45.380]   they're dealing with some sort of cognitive impairment.
[00:08:45.380 --> 00:08:49.460]   So think dementia, Alzheimer's, that sort of thing.
[00:08:49.460 --> 00:08:51.260]   I always tell people, just because we
[00:08:51.260 --> 00:08:55.340]   are in that yucky situation doesn't
[00:08:55.340 --> 00:08:57.620]   mean the bills stop coming.
[00:08:57.620 --> 00:09:01.540]   It doesn't mean that we get a pass on filing taxes.
[00:09:01.540 --> 00:09:04.700]   And that's what the power of attorney's responsibility is,
[00:09:04.700 --> 00:09:09.100]   is to keep your financial affairs, financial management
[00:09:09.100 --> 00:09:12.820]   afloat and under control.
[00:09:12.820 --> 00:09:16.900]   As I talked about with Christine in her book, you will--
[00:09:16.900 --> 00:09:19.580]   and I could go on for hours about this too,
[00:09:19.580 --> 00:09:24.460]   but there are many types of financial power of attorneys
[00:09:24.460 --> 00:09:27.580]   for varying different situations.
[00:09:27.580 --> 00:09:31.020]   So sometimes you'll see power of attorneys that really--
[00:09:31.020 --> 00:09:31.520]   oh.
[00:09:31.520 --> 00:09:42.540]   OK, if I stand on one leg, maybe it'll pop up.
[00:09:42.540 --> 00:09:44.660]   There's many different types of power of attorneys.
[00:09:44.660 --> 00:09:48.380]   So you may see them limit the scope of the powers.
[00:09:48.380 --> 00:09:50.100]   So there's some that say, hey, I'm
[00:09:50.100 --> 00:09:53.300]   only going to give you the power to do this one thing.
[00:09:53.300 --> 00:09:55.060]   But you may see different power of attorneys
[00:09:55.060 --> 00:09:58.260]   that give someone much more--
[00:09:58.260 --> 00:10:00.800]   or all powers, really.
[00:10:00.800 --> 00:10:02.300]   There's also power of attorneys that
[00:10:02.300 --> 00:10:04.820]   limit the scope on when they become effective.
[00:10:04.820 --> 00:10:10.220]   So just be very mindful as to when you do a power of attorney,
[00:10:10.220 --> 00:10:12.060]   be very mindful that you're choosing
[00:10:12.060 --> 00:10:16.820]   the type that is appropriate for your situation.
[00:10:16.820 --> 00:10:19.540]   The last one, number four in my core four,
[00:10:19.540 --> 00:10:22.180]   is a last will and testament.
[00:10:22.180 --> 00:10:26.040]   So that's probably the most well-known document
[00:10:26.040 --> 00:10:29.020]   in my world.
[00:10:29.020 --> 00:10:31.780]   I always tell people that a last will and testament,
[00:10:31.780 --> 00:10:36.300]   it doesn't mean diddly squat until we pass away.
[00:10:36.300 --> 00:10:39.060]   So that's when that document becomes effective.
[00:10:39.060 --> 00:10:42.980]   And it states-- it primarily does two things.
[00:10:42.980 --> 00:10:47.020]   You'll see wills be five pages.
[00:10:47.020 --> 00:10:49.260]   You'll see wills be 50 pages.
[00:10:49.260 --> 00:10:53.380]   And even in the 50-page wills, they're still really kind
[00:10:53.380 --> 00:10:56.100]   of doing two things at its core.
[00:10:56.100 --> 00:10:59.220]   So the first thing a will does is it states,
[00:10:59.220 --> 00:11:02.820]   who's in charge after I pass away?
[00:11:02.820 --> 00:11:05.780]   So who is the ringleader of the circus?
[00:11:05.780 --> 00:11:11.420]   Secondly, it states who gets my stuff, who gets my assets,
[00:11:11.420 --> 00:11:13.980]   in what way?
[00:11:13.980 --> 00:11:16.420]   So when I say in what way, what I'm really talking about
[00:11:16.420 --> 00:11:20.060]   is in terms of maybe we're putting parameters
[00:11:20.060 --> 00:11:23.900]   around their inheritance, like staggered distributions based
[00:11:23.900 --> 00:11:26.540]   on age or something like that.
[00:11:26.540 --> 00:11:31.740]   But wills, they do those two things and two things only.
[00:11:31.740 --> 00:11:35.980]   And from kind of a 50,000-foot overview,
[00:11:35.980 --> 00:11:43.020]   those four that I just talked about are the most basic level.
[00:11:43.020 --> 00:11:47.100]   And sometimes those four are completely sufficient.
[00:11:47.100 --> 00:11:50.260]   And sometimes you don't need any more.
[00:11:50.260 --> 00:11:54.020]   But at the end of the day, those are kind of the basic documents
[00:11:54.020 --> 00:11:56.020]   at play.
[00:11:56.020 --> 00:11:58.940]   One of the biggest mistakes I see people make all the time
[00:11:58.940 --> 00:12:03.700]   is really dealing with how assets are owned.
[00:12:03.700 --> 00:12:07.700]   And generally speaking, there's those three asset ownership
[00:12:07.700 --> 00:12:10.900]   or ways to set assets up.
[00:12:10.900 --> 00:12:14.140]   So that first one, individually owned assets.
[00:12:14.140 --> 00:12:17.740]   So when I say individually owned assets,
[00:12:17.740 --> 00:12:20.820]   it's quite literally what that is meaning.
[00:12:20.820 --> 00:12:24.300]   It is one person's name on that asset
[00:12:24.300 --> 00:12:27.060]   and no beneficiaries attached.
[00:12:27.060 --> 00:12:30.980]   That is usually going to be the only type of asset that
[00:12:30.980 --> 00:12:34.860]   is controlled by a last will and testament.
[00:12:34.860 --> 00:12:36.320]   A lot of people don't realize that.
[00:12:36.320 --> 00:12:38.260]   A lot of people think that wills just
[00:12:38.260 --> 00:12:40.360]   throw on their superhero cape when we pass away
[00:12:40.360 --> 00:12:42.300]   and take care of everything.
[00:12:42.300 --> 00:12:43.340]   I wish it was that easy.
[00:12:43.340 --> 00:12:46.940]   We should know that things aren't that easy.
[00:12:46.940 --> 00:12:49.460]   So that is the only kind of category
[00:12:49.460 --> 00:12:53.860]   of an asset that's going to be controlled by a will.
[00:12:53.860 --> 00:12:57.140]   And then that third bullet under that individually owned asset
[00:12:57.140 --> 00:13:01.180]   category, we're going to talk about probate in my next slide
[00:13:01.180 --> 00:13:03.780]   and what it is.
[00:13:03.780 --> 00:13:06.140]   But that's usually going to be the only category that's
[00:13:06.140 --> 00:13:08.780]   going to force us to kind of entertain
[00:13:08.780 --> 00:13:13.460]   whether probate is going to be a part of our life
[00:13:13.460 --> 00:13:16.420]   or part of our estate administration.
[00:13:16.420 --> 00:13:19.780]   Every state has a different threshold
[00:13:19.780 --> 00:13:23.680]   as to whether we're going to have to go through probate.
[00:13:23.680 --> 00:13:27.180]   So what I mean by that is if I use Indiana, for example,
[00:13:27.180 --> 00:13:31.780]   for the two people in here that live in my state,
[00:13:31.780 --> 00:13:36.780]   Indiana, for example, our threshold is 100,000.
[00:13:36.780 --> 00:13:39.620]   So what that means and what I'm talking about
[00:13:39.620 --> 00:13:44.140]   is that if the assets that fit that category of one person's
[00:13:44.140 --> 00:13:47.340]   name on the asset with no beneficiaries attached
[00:13:47.340 --> 00:13:51.900]   exceed 100,000, we are going through the probate process.
[00:13:51.900 --> 00:13:53.400]   Whether we have a will or not, that's
[00:13:53.400 --> 00:13:55.000]   another big misconception.
[00:13:55.000 --> 00:13:57.280]   So that may be something to write down
[00:13:57.280 --> 00:13:59.820]   is what is my state's probate threshold?
[00:13:59.820 --> 00:14:02.520]   Because every state's different.
[00:14:02.520 --> 00:14:05.400]   Second category is beneficiary designated assets.
[00:14:05.400 --> 00:14:08.120]   So this is just like what it states.
[00:14:08.120 --> 00:14:10.520]   Think of like retirement accounts, life insurance
[00:14:10.520 --> 00:14:11.680]   policies.
[00:14:11.680 --> 00:14:13.000]   A lot of times those--
[00:14:13.000 --> 00:14:15.880]   a lot of times, not all--
[00:14:15.880 --> 00:14:19.680]   those kind of assets have a beneficiary designated on them.
[00:14:19.680 --> 00:14:22.140]   So when we pass away, that asset is
[00:14:22.140 --> 00:14:25.640]   going to go to the designated beneficiary.
[00:14:25.640 --> 00:14:27.720]   I have a slide towards the end of my presentation
[00:14:27.720 --> 00:14:29.680]   that I'm probably not going to get to,
[00:14:29.680 --> 00:14:32.400]   since we've got a little bit of a late start.
[00:14:32.400 --> 00:14:37.840]   But it was really about kind of real life cautionary tales
[00:14:37.840 --> 00:14:39.620]   that I've worked on.
[00:14:39.620 --> 00:14:42.360]   And this is one of them, where people don't realize
[00:14:42.360 --> 00:14:47.040]   that if there's a conflict between a beneficiary
[00:14:47.040 --> 00:14:49.360]   designation on an asset and a will,
[00:14:49.360 --> 00:14:52.640]   the beneficiary designation is going to win.
[00:14:52.640 --> 00:14:54.960]   So I am just wrapping up a case right now
[00:14:54.960 --> 00:15:00.000]   where a gentleman passed away, and he left his ex-spouse
[00:15:00.000 --> 00:15:03.160]   on his IRA and life insurance.
[00:15:03.160 --> 00:15:08.040]   His daughter wasn't happy about that, as she should.
[00:15:08.040 --> 00:15:14.080]   And so it's turned into a very messy administration,
[00:15:14.080 --> 00:15:17.560]   because you have to consider the fact that maybe he
[00:15:17.560 --> 00:15:18.720]   intended to do that.
[00:15:18.720 --> 00:15:20.280]   He's passed away now.
[00:15:20.280 --> 00:15:21.760]   We can't just make things up.
[00:15:21.760 --> 00:15:24.340]   We don't think he probably wanted that to happen,
[00:15:24.340 --> 00:15:25.920]   but that's assuming.
[00:15:25.920 --> 00:15:30.320]   So beneficiary designated assets, those assets at death
[00:15:30.320 --> 00:15:33.760]   go to whoever the beneficiaries listed are.
[00:15:33.760 --> 00:15:37.140]   They're not controlled by your will.
[00:15:37.140 --> 00:15:40.640]   Last type of asset type is jointly owned assets.
[00:15:40.640 --> 00:15:44.000]   So what I mean by this is two or more people
[00:15:44.000 --> 00:15:48.040]   on an asset, so you think of a joint bank
[00:15:48.040 --> 00:15:49.040]   account, for example.
[00:15:49.040 --> 00:15:54.840]   Let's use a joint bank account as an example.
[00:15:54.840 --> 00:15:59.800]   If I own-- me and my husband are both on a bank account.
[00:15:59.800 --> 00:16:03.440]   At my death, that is going to go to my husband.
[00:16:03.440 --> 00:16:05.120]   It's not going through the will.
[00:16:05.120 --> 00:16:11.000]   It is just merely as a product of the type of asset ownership.
[00:16:11.000 --> 00:16:13.680]   It's joint.
[00:16:13.680 --> 00:16:17.560]   My last little bullet there, you have to be very--
[00:16:17.560 --> 00:16:19.120]   what's the word--
[00:16:19.120 --> 00:16:24.360]   hypersensitive of property when it comes to joint ownership.
[00:16:24.360 --> 00:16:29.720]   When I say property, what I mean is like houses, farmland,
[00:16:29.720 --> 00:16:30.720]   because I'm from Indiana.
[00:16:30.720 --> 00:16:37.520]   Property ownership is a little funky.
[00:16:37.520 --> 00:16:42.120]   So just know from this bullet if it's
[00:16:42.120 --> 00:16:45.120]   like joint ownership on a house, don't
[00:16:45.120 --> 00:16:46.880]   assume it's going to automatically
[00:16:46.880 --> 00:16:48.040]   go to that joint owner.
[00:16:48.040 --> 00:16:50.700]   And they have a whole class in law school
[00:16:50.700 --> 00:16:51.960]   on property ownership.
[00:16:51.960 --> 00:16:54.200]   So it just can be tricky, and you
[00:16:54.200 --> 00:16:57.360]   need to be very mindful of it.
[00:16:57.360 --> 00:17:00.600]   OK, probate.
[00:17:00.600 --> 00:17:03.760]   That is a word that cracks me up,
[00:17:03.760 --> 00:17:06.000]   because I will meet with prospects or clients
[00:17:06.000 --> 00:17:10.680]   in my office, and I'll ask them about what their goals are,
[00:17:10.680 --> 00:17:12.480]   what they're trying to accomplish.
[00:17:12.480 --> 00:17:17.360]   And a lot of times, they'll say, I want to avoid probate.
[00:17:17.360 --> 00:17:21.960]   And I'll say, OK, what do you think probate is?
[00:17:21.960 --> 00:17:24.760]   They're like, well, my great aunt
[00:17:24.760 --> 00:17:27.440]   told me that I need to avoid it.
[00:17:27.440 --> 00:17:30.560]   I'm like, OK.
[00:17:30.560 --> 00:17:33.560]   So I made a slide specifically about probate
[00:17:33.560 --> 00:17:38.680]   to kind of give you good factual information on what
[00:17:38.680 --> 00:17:40.560]   this word even means.
[00:17:40.560 --> 00:17:44.680]   So probate is a process that happens sometimes
[00:17:44.680 --> 00:17:46.240]   when we pass away.
[00:17:46.240 --> 00:17:49.560]   And the sometimes piece is because of that last slide.
[00:17:49.560 --> 00:17:53.400]   It depends on the type of assets when we pass away.
[00:17:53.400 --> 00:17:56.960]   And if there are assets in that individually owned category
[00:17:56.960 --> 00:17:59.720]   with no beneficiaries attached, like I said,
[00:17:59.720 --> 00:18:02.120]   whether we have a will or not, sometimes
[00:18:02.120 --> 00:18:03.920]   they're going through this probate process.
[00:18:03.920 --> 00:18:06.200]   It is a court process.
[00:18:06.200 --> 00:18:10.480]   And from there, I think there's a lot of professionals
[00:18:10.480 --> 00:18:13.960]   that will try just to scare the bejesus out of you
[00:18:13.960 --> 00:18:16.680]   on what this process is.
[00:18:16.680 --> 00:18:20.720]   And I come from a place of always really not
[00:18:20.720 --> 00:18:22.320]   doing the whole fear tactic thing,
[00:18:22.320 --> 00:18:24.880]   but more of an educational side.
[00:18:24.880 --> 00:18:28.160]   And when I say non-negotiables about probate,
[00:18:28.160 --> 00:18:29.760]   what I'm talking about on this slide
[00:18:29.760 --> 00:18:34.600]   is that these are the three things that you have to decide
[00:18:34.600 --> 00:18:39.440]   really whether you care about these three things.
[00:18:39.440 --> 00:18:44.640]   And if you don't, then maybe probate's just a formality
[00:18:44.640 --> 00:18:47.200]   sometimes when we pass away.
[00:18:47.200 --> 00:18:51.960]   So hitting on the should I be scared or concerned first.
[00:18:51.960 --> 00:18:54.080]   Should I be scared or concerned?
[00:18:54.080 --> 00:18:59.600]   My favorite lawyer answer in the entire world is it depends.
[00:18:59.600 --> 00:19:02.920]   It depends primarily on two things,
[00:19:02.920 --> 00:19:06.800]   on what you're trying to accomplish,
[00:19:06.800 --> 00:19:09.520]   as well as your state.
[00:19:09.520 --> 00:19:13.240]   And I hate to be so kind of general about it,
[00:19:13.240 --> 00:19:18.920]   but some states' probate process is a nightmare.
[00:19:18.920 --> 00:19:23.600]   Some states' probate process isn't so bad.
[00:19:23.600 --> 00:19:26.800]   And so like, for example, California,
[00:19:26.800 --> 00:19:28.920]   if there's any California folks in the room,
[00:19:28.920 --> 00:19:32.280]   they have a pretty brutal probate process.
[00:19:32.280 --> 00:19:34.960]   I just saw you raise your hand, and you're like, yep.
[00:19:34.960 --> 00:19:36.760]   They have a pretty brutal probate process.
[00:19:36.760 --> 00:19:41.640]   So it is very common to cite that as a reason when someone
[00:19:41.640 --> 00:19:43.200]   embarks on an estate planning process
[00:19:43.200 --> 00:19:46.280]   is to avoid that probate process.
[00:19:46.280 --> 00:19:47.880]   Indiana's not that bad.
[00:19:47.880 --> 00:19:49.520]   I do probate all the time, and I don't even
[00:19:49.520 --> 00:19:50.640]   set foot in the courthouse.
[00:19:50.640 --> 00:19:52.760]   Everything's electronically filed.
[00:19:52.760 --> 00:19:54.760]   I don't handle any contested cases.
[00:19:54.760 --> 00:19:57.600]   So my state's not too bad.
[00:19:57.600 --> 00:20:00.480]   But these non-negotiables, just to hit on them,
[00:20:00.480 --> 00:20:04.840]   regardless of your state, when I say time, public record,
[00:20:04.840 --> 00:20:07.440]   and cost, those are the things that
[00:20:07.440 --> 00:20:12.360]   are going to occur with probate regardless of your state.
[00:20:12.360 --> 00:20:15.560]   When I say time, what I mean by that is specifically,
[00:20:15.560 --> 00:20:18.480]   it's not going to happen overnight.
[00:20:18.480 --> 00:20:21.840]   I always set the expectation for my clients in Indiana,
[00:20:21.840 --> 00:20:25.000]   it's going to minimally take about six months.
[00:20:25.000 --> 00:20:28.720]   But realistically, it's probably going to take about a year.
[00:20:28.720 --> 00:20:30.360]   And there's just parts of the process
[00:20:30.360 --> 00:20:32.600]   that I just can't speed up.
[00:20:32.600 --> 00:20:34.800]   It is like statutorily, like I have
[00:20:34.800 --> 00:20:39.640]   to sit and twiddle my thumbs for three months for creditors
[00:20:39.640 --> 00:20:42.040]   to make claims on the estate, whether someone
[00:20:42.040 --> 00:20:43.040]   has creditors or not.
[00:20:43.040 --> 00:20:46.200]   So there's just part of the process I just can't speed up.
[00:20:46.200 --> 00:20:47.600]   So that's time.
[00:20:47.600 --> 00:20:50.360]   Public record, if you don't know this,
[00:20:50.360 --> 00:20:53.120]   anytime you're going to the courthouse,
[00:20:53.120 --> 00:20:55.520]   it's part of public record.
[00:20:55.520 --> 00:20:59.680]   So I have some clients that are like, if my nosy neighbor
[00:20:59.680 --> 00:21:03.160]   Nancy finds out what's going through my estate,
[00:21:03.160 --> 00:21:06.080]   I would just roll over in my grave.
[00:21:06.080 --> 00:21:09.440]   Sorry if there's any Nancys in the room.
[00:21:09.440 --> 00:21:12.040]   So public record sometimes is a concern for people.
[00:21:12.040 --> 00:21:13.960]   I always say, a lot of people don't
[00:21:13.960 --> 00:21:16.800]   know where to go to look, to look up this kind of stuff.
[00:21:16.800 --> 00:21:19.680]   So I don't give that too much thought.
[00:21:19.680 --> 00:21:21.600]   Lastly is cost.
[00:21:21.600 --> 00:21:25.800]   When I say this, I typically kind of make--
[00:21:25.800 --> 00:21:27.080]   I'm a lawyer, yes.
[00:21:27.080 --> 00:21:29.800]   But I make lawyer jokes all the time, because most of them
[00:21:29.800 --> 00:21:32.440]   are actually warranted.
[00:21:32.440 --> 00:21:35.080]   From a cost standpoint, it makes me laugh,
[00:21:35.080 --> 00:21:38.440]   because a lot of attorneys will say, oh, the probate cost.
[00:21:38.440 --> 00:21:39.720]   Oh, the probate cost.
[00:21:39.720 --> 00:21:43.440]   It's mostly the legal fees.
[00:21:43.440 --> 00:21:48.400]   Yeah, sure, there's some filing fees with the county,
[00:21:48.400 --> 00:21:52.120]   and maybe some publication fees for the newspaper.
