
[00:00:00.000 --> 00:00:04.080]   Welcome to lesson 12.
[00:01:53.920 --> 00:01:58.360]   callbacks that used to be on the line underneath the thing before them and lined them up over
[00:01:58.360 --> 00:02:03.120]   here and suddenly realized that now I can answer all the questions I have in my head
[00:02:03.120 --> 00:02:09.440]   about our callback system, which is what exactly are the steps in the training loop?
[00:02:09.440 --> 00:02:13.600]   What exactly are the callbacks that you can use in the training loop?
[00:02:13.600 --> 00:02:17.000]   Which step goes with which callback?
[00:02:17.000 --> 00:02:18.760]   Which steps don't have a callback?
[00:02:18.760 --> 00:02:22.200]   Are there any callbacks that don't have a step?
[00:02:22.200 --> 00:02:30.620]   So it's one of these interesting things where I really don't like the idea of automating
[00:02:30.620 --> 00:02:35.240]   your formatting and creating rules for formatting when something like this can just, as soon
[00:02:35.240 --> 00:02:38.560]   as I did this, I understood my code better.
[00:02:38.560 --> 00:02:41.840]   And for me, understanding my code is the only way to make it work.
[00:02:41.840 --> 00:02:45.920]   Because debugging machine learning code is awful.
[00:02:45.920 --> 00:02:48.720]   So you've got to make sure that the thing you write makes sense.
[00:02:48.720 --> 00:02:49.720]   It's got to be simple.
[00:02:49.720 --> 00:02:50.720]   It's got to be really simple.
[00:02:50.720 --> 00:02:56.440]   So this is really simple.
[00:02:56.440 --> 00:03:02.680]   Then more interestingly, we used to create the optimizer in init.
[00:03:02.680 --> 00:03:05.640]   And you could actually pass in an already created optimizer.
[00:03:05.640 --> 00:03:06.960]   I removed that.
[00:03:06.960 --> 00:03:10.040]   And the only thing now you can pass in is an optimization function.
[00:03:10.040 --> 00:03:14.060]   So something that will create an optimizer, which is what we've always been doing anyway.
[00:03:14.060 --> 00:03:19.120]   And by doing that, we can now create our optimizer when we start fitting.
[00:03:19.120 --> 00:03:21.560]   And that turns out to be really important.
[00:03:21.560 --> 00:03:25.080]   Because when we do things like discriminative learning rates and gradual unfreezing and
[00:03:25.080 --> 00:03:27.720]   layer groups and stuff, we can change things.
[00:03:27.720 --> 00:03:30.440]   And then when we fit, it will all just work.
[00:03:30.440 --> 00:03:34.200]   So that's a more significant -- it's like one line of code, but it's conceptually a
[00:03:34.200 --> 00:03:36.040]   very significant change.
[00:03:36.040 --> 00:03:42.760]   Okay. So that's some minor changes to 9B.
[00:03:42.760 --> 00:03:46.720]   And now let's move on to mixup and label smoothing.
[00:03:46.720 --> 00:03:52.120]   So I'm really excited about the stuff we saw at the end of the last lesson where we saw
[00:03:52.120 --> 00:03:55.440]   how we can use the GPU to do data augmentation.
[00:03:55.440 --> 00:04:01.680]   Fully randomized, fully GPU accelerated data augmentation using just plain PyTorch operations.
[00:04:01.680 --> 00:04:04.560]   I think that's a big win.
[00:04:04.560 --> 00:04:10.680]   But it's quite possible we don't need that kind of data augmentation anymore.
[00:04:10.680 --> 00:04:15.600]   Because in our experimentation with this data augmentation called mixup, we found we can
[00:04:15.600 --> 00:04:20.960]   remove most other data augmentation and get amazingly good results.
[00:04:20.960 --> 00:04:23.760]   So it's just a kind of a simplicity result.
[00:04:23.760 --> 00:04:27.760]   And also when you use mixup, you can train for a really long time and get really good
[00:04:27.760 --> 00:04:29.200]   results.
[00:04:29.200 --> 00:04:31.040]   So let me show you mixup.
[00:04:31.040 --> 00:04:38.920]   And in terms of the results, you can get -- what happened in the bag of tricks paper was they
[00:04:38.920 --> 00:04:48.480]   -- when they turned mixup on, they also started training for 200 epochs instead of 120.
[00:04:48.480 --> 00:04:56.520]   So be a bit careful when you interpret their paper table when it goes from label smoothing
[00:04:56.520 --> 00:05:04.200]   94.1 to mixup without distillation 94.6.
[00:05:04.200 --> 00:05:07.120]   They're also nearly doubling the number of epochs they do.
[00:05:07.120 --> 00:05:12.640]   But you can kind of get a sense that you can get big decrease in error.
[00:05:12.640 --> 00:05:15.120]   The other thing they mention in the paper is distillation.
[00:05:15.120 --> 00:05:19.880]   I'm not going to talk about that because it's a thing where you pre-train some much bigger
[00:05:19.880 --> 00:05:23.960]   model like a ResNet-152, and then you try and train something that predicts the output
[00:05:23.960 --> 00:05:24.960]   of that.
[00:05:24.960 --> 00:05:29.560]   The idea of training a really big model, to train a smaller model, it's interesting, but
[00:05:29.560 --> 00:05:32.440]   it's not exactly training in the way I normally think about it.
[00:05:32.440 --> 00:05:33.800]   So we're not looking at distillation.
[00:05:33.800 --> 00:05:39.680]   It would be an interesting assignment if somebody wanted to try adding it to the notebooks though.
[00:05:39.680 --> 00:05:43.280]   You have all the information and I think all the skills you need to do that now.
[00:05:43.280 --> 00:05:45.740]   All right.
[00:05:45.740 --> 00:05:55.960]   So mixup, we start by grabbing our ImageNet data set and we grab the MakeRGB and resize
[00:05:55.960 --> 00:05:58.360]   and turn it into a float tensor.
[00:05:58.360 --> 00:06:02.000]   This is just our quick and dirty resize, we're already doing this for testing purposes.
[00:06:02.000 --> 00:06:07.060]   Split it up, create a data bunch, all the normal stuff.
[00:06:07.060 --> 00:06:15.080]   But what we're going to do is we're going to take an image like this and an image like
[00:06:15.080 --> 00:06:19.560]   this and we're going to combine them.
[00:06:19.560 --> 00:06:27.840]   We're going to take 0.3 times this image plus 0.7 times this image and this is what it's
[00:06:27.840 --> 00:06:29.620]   going to look like.
[00:06:29.620 --> 00:06:35.200]   Unfortunately, Silva and I have different orderings of file names on our thing, so I wrote, it's
[00:06:35.200 --> 00:06:39.200]   a French horn and a tench but actually Silva clearly doesn't have French horn or tenches
[00:06:39.200 --> 00:06:40.520]   but you get the idea.
[00:06:40.520 --> 00:06:42.880]   It's a mixup of two different images.
[00:06:42.880 --> 00:06:49.200]   So we're going to create a greater augmentation where every time we predict something we're
[00:06:49.200 --> 00:06:52.160]   going to be predicting a mix of two things like this.
[00:06:52.160 --> 00:07:01.080]   So we're going to both take the linear combination, 0.3 and 0.7, of the two images but then we're
[00:07:01.080 --> 00:07:03.520]   going to have to do that for the labels as well, right?
[00:07:03.520 --> 00:07:11.500]   There's no point predicting the one hot encoded output of this breed of doggy where there's
[00:07:11.500 --> 00:07:14.000]   also a bit of a gas pump.
[00:07:14.000 --> 00:07:17.560]   So we're also going to have, we're not going to have one hot encoded output, we're going
[00:07:17.560 --> 00:07:24.480]   to have a 0.7 encoded doggy and a 0.3 encoded gas pump.
[00:07:24.480 --> 00:07:28.340]   So that's the basic idea.
[00:07:28.340 --> 00:07:34.060]   So the mixup paper was super cool.
[00:07:34.060 --> 00:07:40.720]   Wow, there are people talking about things that aren't deep learning.
[00:07:40.720 --> 00:07:46.640]   I guess that's their priorities.
[00:07:46.640 --> 00:07:52.340]   So the paper's a pretty nice, easy read by paper standards and I would definitely suggest
[00:07:52.340 --> 00:07:57.560]   you check it out.
[00:07:57.560 --> 00:08:03.360]   So I've told you what we're going to do, implementation-wise, we have to decide what number to use here.
[00:08:03.360 --> 00:08:06.600]   Is it 0.3 or 0.1 or 0.5 or what?
[00:08:06.600 --> 00:08:10.560]   And this is a data augmentation method, so the answer is we'll randomize it.
[00:08:10.560 --> 00:08:16.960]   But we're not going to randomize it from 0 to 1 uniform or 0 to 0.5 uniform, but instead
[00:08:16.960 --> 00:08:22.240]   we're going to randomize it using shapes like this.
[00:08:22.240 --> 00:08:27.760]   In other words, when we grab a random number, most of the time it'll be really close to
[00:08:27.760 --> 00:08:31.680]   0 or really close to 1, and just occasionally it'll be close to 0.5.
[00:08:31.680 --> 00:08:35.960]   So that way most of the time it'll be pretty easy for our model because it'll be predicting
[00:08:35.960 --> 00:08:41.080]   one and only one thing, and just occasionally it'll be predicting something that's a pretty
[00:08:41.080 --> 00:08:43.360]   evenly mixed combination.
[00:08:43.360 --> 00:08:50.120]   So the ability to grab random numbers, that this is basically the histogram, the smoothed
[00:08:50.120 --> 00:08:57.880]   histogram of how often we're going to see those numbers, is called sampling from a probability
[00:08:57.880 --> 00:08:58.880]   distribution.
[00:08:58.880 --> 00:09:03.320]   And basically in nearly all these cases you can start with a uniform random number or
[00:09:03.320 --> 00:09:07.780]   a normal random number and put it through some kind of function or process to turn it
[00:09:07.780 --> 00:09:08.780]   into something like this.
[00:09:08.780 --> 00:09:13.240]   So the details don't matter at all.
[00:09:13.240 --> 00:09:17.240]   But the paper points out that this particular shape is nicely characterized by something
[00:09:17.240 --> 00:09:21.360]   called the beta distribution, so that's what we're going to use.
[00:09:21.360 --> 00:09:29.800]   So it was interesting drawing these because it requires a few interesting bits of math,
[00:09:29.800 --> 00:09:35.480]   which some of you may be less comfortable with or entirely uncomfortable with.
[00:09:35.480 --> 00:09:42.480]   For me, every time I see this function, which is called the gamma function, I kind of break
[00:09:42.480 --> 00:09:47.240]   out in sweats, not just because I've got a cold, but it's like the idea of functions
[00:09:47.240 --> 00:09:50.400]   that I don't-- like how do you describe this thing?
[00:09:50.400 --> 00:09:56.080]   But actually, it turns out that like most things, once you look at it, it's actually
[00:09:56.080 --> 00:09:57.080]   pretty straightforward.
[00:09:57.080 --> 00:09:59.520]   And we're going to be using this function, so I'll just quickly explain what's going
[00:09:59.520 --> 00:10:00.520]   on.
[00:10:00.520 --> 00:10:06.960]   We're going to start with a factorial function, so 1 times 2 times 3 times 4, whatever, right?
[00:10:06.960 --> 00:10:11.720]   And here these red dots is just the value of the factorial function for a few different
[00:10:11.720 --> 00:10:14.720]   places.
[00:10:14.720 --> 00:10:20.360]   But don't think of the factorial function as being 1 times 2 times 3 times 4, or times
[00:10:20.360 --> 00:10:28.720]   n, whatever, but divide both sides by n, and now you've got-- or divide both sides by n,
[00:10:28.720 --> 00:10:37.120]   and now you've got like factorial n divided by n equals 1 times 2 times 3, so it equals
[00:10:37.120 --> 00:10:39.960]   the factorial of n minus 1.
[00:10:39.960 --> 00:10:43.440]   And so when you define it like that, you suddenly realize there's no reason that you kind of
[00:10:43.440 --> 00:10:49.120]   have a function that's not just on the integers-- not just on the integers, but is everywhere.
[00:10:49.120 --> 00:10:51.000]   This is the point where I stop with the math, right?
[00:10:51.000 --> 00:10:55.040]   Because to me, if I need a sine function, or a log function, or an x-punk fin, or whatever,
[00:10:55.040 --> 00:10:57.140]   I type it into my computer and I get it, right?
[00:10:57.140 --> 00:11:00.480]   So the actual how you get it is not at all important.
[00:11:00.480 --> 00:11:05.680]   But the fact of knowing what these functions are and how they're defined is useful.
[00:11:05.680 --> 00:11:07.640]   PyTorch doesn't have this function.
[00:11:07.640 --> 00:11:09.760]   Weirdly enough, they have a log gamma function.
[00:11:09.760 --> 00:11:13.480]   So we can take log gamma and go e to the power of that to get a gamma function.
[00:11:13.480 --> 00:11:17.880]   And you'll see here, I am breaking my no Greek letters rule.
[00:11:17.880 --> 00:11:24.200]   And the reason I'm breaking that rule is because a function like this doesn't have a kind of
[00:11:24.200 --> 00:11:30.360]   domain-specific meaning, or a pure physical analogy, which is how we always think about
[00:11:30.360 --> 00:11:31.360]   it.
[00:11:31.360 --> 00:11:32.560]   It's just a math function.
[00:11:32.560 --> 00:11:34.480]   And so we call it gamma, right?
[00:11:34.480 --> 00:11:38.280]   And so if you're going to call it gamma, you may as well write it like that.
[00:11:38.280 --> 00:11:42.400]   And why this matters is when you start using it.
[00:11:42.400 --> 00:11:49.280]   Like look at the difference between writing it out with the actual Unicode and operators
[00:11:49.280 --> 00:11:54.400]   versus what would happen if you wrote it out long form in Python.
[00:11:54.400 --> 00:11:57.920]   Like when you're comparing something to a paper, you want something that you can look
[00:11:57.920 --> 00:12:02.080]   at and straight away say like, oh, that looks very familiar.
[00:12:02.080 --> 00:12:06.160]   And as long as it's not familiar, you might want to think about how to make it more familiar.
[00:12:06.160 --> 00:12:12.480]   So I just briefly mentioned that writing these math symbols nowadays is actually pretty easy.
[00:12:12.480 --> 00:12:16.880]   On Linux, there's a thing called a compose key which is probably already set up for you.
[00:12:16.880 --> 00:12:18.800]   And if you Google it, you can learn how to turn it on.
[00:12:18.800 --> 00:12:22.400]   And it's basically like you'll press like the right alt button or the caps lock button.
[00:12:22.400 --> 00:12:24.360]   You can choose what your compose key is.
[00:12:24.360 --> 00:12:26.080]   And then a few more letters.
[00:12:26.080 --> 00:12:30.000]   So for example, all the Greek letters are compose and then star, and then the English
[00:12:30.000 --> 00:12:31.560]   letter that corresponds with it.
[00:12:31.560 --> 00:12:38.200]   So for example, if I want to do lambda, I would go composed L. So it's just as quick
[00:12:38.200 --> 00:12:40.920]   as typing non Unicode characters.
[00:12:40.920 --> 00:12:43.760]   Most of the Greek letters are available on a Mac keyboard just with option.
[00:12:43.760 --> 00:12:46.960]   Unfortunately, nobody's created a decent compose key for Mac yet.
[00:12:46.960 --> 00:12:49.920]   There's a great compose key for Windows called win compose.
[00:12:49.920 --> 00:12:55.120]   Anybody who's working with, you know, Greek letters should definitely install and learn
[00:12:55.120 --> 00:12:58.360]   to use these things.
[00:12:58.360 --> 00:13:01.520]   So there's our gamma function nice and concise.
[00:13:01.520 --> 00:13:03.320]   It looks exactly like the paper.
[00:13:03.320 --> 00:13:07.080]   And so it turns out that this is how you calculate the value of the beta function, which is the
[00:13:07.080 --> 00:13:08.160]   beta distribution.
[00:13:08.160 --> 00:13:09.160]   And so now here it is.
[00:13:09.160 --> 00:13:13.120]   So as I said, the details aren't important, but they're the tools that you can use.
[00:13:13.120 --> 00:13:17.720]   The basic idea is that we now have something where we can pick some parameter, which is
[00:13:17.720 --> 00:13:25.040]   called alpha, where if it's high, then it's much more likely that we get a equal mix.
[00:13:25.040 --> 00:13:27.200]   And if it's low, it's very unlikely.
[00:13:27.200 --> 00:13:30.240]   And this is really important because for data augmentation, we need to be able to tune a
[00:13:30.240 --> 00:13:34.040]   lever that says how much regularization am I doing?
[00:13:34.040 --> 00:13:35.400]   How much augmentation am I doing?
[00:13:35.400 --> 00:13:37.920]   So you can move your alpha up and down.
[00:13:37.920 --> 00:13:41.560]   And the reason it's important to be able to print these plots out is that when you change
[00:13:41.560 --> 00:13:45.000]   your alpha, you want to plot it out and see what it looks like, right?
[00:13:45.000 --> 00:13:49.600]   Make sure it looks sensible, okay?
[00:13:49.600 --> 00:13:59.640]   So it turns out that all we need to do then is we don't actually have to 0.7 hot encode
[00:13:59.640 --> 00:14:02.360]   one thing and 0.3 hot encode another thing.
[00:14:02.360 --> 00:14:11.760]   It's actually identical to simply go, I guess it is lambda times the first loss plus 1 minus
[00:14:11.760 --> 00:14:12.920]   lambda times the second loss.
[00:14:12.920 --> 00:14:15.200]   I guess we're using t here.
[00:14:15.200 --> 00:14:18.160]   So that's actually all we need to do.
[00:14:18.160 --> 00:14:23.160]   So this is our mixup.
[00:14:23.160 --> 00:14:25.920]   And again, as you can see, we're using the same letters that we'd expect to see in the
[00:14:25.920 --> 00:14:26.920]   paper.
[00:14:26.920 --> 00:14:28.720]   So everything should look very familiar.
[00:14:28.720 --> 00:14:33.400]   And mixup, remember, is something which is going to change our loss function.
[00:14:33.400 --> 00:14:35.680]   So we need to know what loss function to change.
[00:14:35.680 --> 00:14:42.200]   So when you begin fitting, you find out what the old loss function on the learner was when
[00:14:42.200 --> 00:14:43.720]   you store it away.
[00:14:43.720 --> 00:14:49.680]   And then when we calculate loss, we can just go ahead and say, oh, if it's invalidation,
[00:14:49.680 --> 00:14:51.300]   there's no mixup involved.
[00:14:51.300 --> 00:14:57.400]   And if we're training, then we'll calculate the loss on two different sets of images.
[00:14:57.400 --> 00:15:04.120]   One is just the regular set, and the second is we'll grab all the other images and randomly
[00:15:04.120 --> 00:15:08.720]   permute one and randomly pick one to share with.
[00:15:08.720 --> 00:15:13.940]   So we do that for the image, and we do that for the loss.
[00:15:13.940 --> 00:15:17.480]   And that's basically it.
[00:15:17.480 --> 00:15:19.160]   Couple of minor things to mention.
[00:15:19.160 --> 00:15:25.880]   In the last lesson, I created an EWMA function, Exponentially Weighted Moving Average Function,
[00:15:25.880 --> 00:15:30.000]   which is a really dumb name for it, because actually it was just a linear combination
[00:15:30.000 --> 00:15:31.000]   of two things.
[00:15:31.000 --> 00:15:38.280]   It was like V times alpha plus V1 times alpha plus V2 times 1 minus alpha.
[00:15:38.280 --> 00:15:42.600]   You create exponentially weighted moving averages with it by applying it multiple times, but
[00:15:42.600 --> 00:15:46.880]   the actual function is a linear combination, so I've renamed that to linear combination,
[00:15:46.880 --> 00:15:48.240]   and you'll see that so many places.
[00:15:48.240 --> 00:15:55.440]   So this mixup is a linear combination of our actual images and some randomly permuted images
[00:15:55.440 --> 00:15:57.640]   in that mini-batch.
[00:15:57.640 --> 00:16:04.320]   And our loss is a linear combination of the loss of our two different parts, our normal
[00:16:04.320 --> 00:16:06.800]   mini-batch and our randomly permuted mini-batch.
[00:16:06.800 --> 00:16:09.840]   One of the nice things about this is if you think about it, this is all being applied
[00:16:09.840 --> 00:16:11.380]   on the GPU.
[00:16:11.380 --> 00:16:14.160]   So this is pretty much instant.
[00:16:14.160 --> 00:16:22.480]   So super powerful augmentation system, which isn't going to add any overhead to our code.
[00:16:22.480 --> 00:16:30.960]   One thing to be careful of is that we're actually replacing the loss function, and loss functions
[00:16:30.960 --> 00:16:34.280]   have something called a reduction.
[00:16:34.280 --> 00:16:39.400]   And most PyTorch loss functions, you can say, after calculating the loss function for everything
[00:16:39.400 --> 00:16:44.880]   in the mini-batch, either return a rank 1 tensor of all of the loss functions for the
[00:16:44.880 --> 00:16:49.200]   mini-batch, or add them all up, or take the average.
[00:16:49.200 --> 00:16:50.200]   We pretty much always take the average.
[00:16:50.200 --> 00:16:53.800]   But we just have to make sure that we do the right thing.
[00:16:53.800 --> 00:16:58.400]   So I've just got a little function here that does the mean or sum, or nothing at all, as
[00:16:58.400 --> 00:16:59.960]   requested.
[00:16:59.960 --> 00:17:07.240]   And so then we need to make sure that we create our new loss function, that at the end, it's
[00:17:07.240 --> 00:17:11.400]   going to reduce it in the way that they actually asked for.
[00:17:11.400 --> 00:17:16.640]   But then we have to turn off the reduction when we actually do mixup, because we actually
[00:17:16.640 --> 00:17:23.280]   need to calculate the loss on every image for both halves of our mixup.
[00:17:23.280 --> 00:17:27.640]   So this is a good place to use a context manager, which we've seen before.
[00:17:27.640 --> 00:17:32.020]   So we just created a tiny little context manager, which will just find out what the previous
[00:17:32.020 --> 00:17:38.420]   reduction was, save it away, get rid of it, and then put it back when it's finished.
[00:17:38.420 --> 00:17:41.280]   So there's a lot of minor details there.
[00:17:41.280 --> 00:17:44.600]   But with that in place, the actual mixup itself is very little code.
[00:17:44.600 --> 00:17:46.320]   It's a single callback.
[00:17:46.320 --> 00:17:49.440]   And we can then run it in the usual way.
[00:17:49.440 --> 00:17:52.440]   Just add mixup.
[00:17:52.440 --> 00:17:55.560]   Our default alpha here is 0.4.
[00:17:55.560 --> 00:17:59.380]   And I've been mainly playing with alpha at 0.2, so this is a bit more than I'm used to.
[00:17:59.380 --> 00:18:04.500]   But somewhere around that vicinity is pretty normal.
[00:18:04.500 --> 00:18:05.660]   So that's mixup.
[00:18:05.660 --> 00:18:13.320]   And that's like-- it's really interesting, because you could use this for layers other
[00:18:13.320 --> 00:18:15.020]   than the input layer.
[00:18:15.020 --> 00:18:18.040]   You could use it on the first layer, maybe with the embeddings.
[00:18:18.040 --> 00:18:23.920]   So you could do mixup augmentation in NLP, for instance.
[00:18:23.920 --> 00:18:28.000]   That's something which people haven't really dug into deeply yet.
[00:18:28.000 --> 00:18:34.880]   But it seems to be an opportunity to add augmentation in many places where we don't really see it
[00:18:34.880 --> 00:18:35.880]   at the moment.
[00:18:35.880 --> 00:18:41.680]   Which means we can train better models with less data, which is why we're here.
[00:18:41.680 --> 00:18:42.760]   So here's a problem.
[00:18:42.760 --> 00:18:45.440]   How does Softmax interact with this?
[00:18:45.440 --> 00:18:49.120]   So now we've drawn some random number lambda.
[00:18:49.120 --> 00:18:50.120]   It's 0.7.
[00:18:50.120 --> 00:18:53.640]   So I've got 0.7 of a dog and 0.3 of a gas station.
[00:18:53.640 --> 00:19:01.520]   And the correct answer would be a rank one tensor which has 0.7 in one spot and 0.3 in
[00:19:01.520 --> 00:19:04.840]   the other spot and 0 everywhere else.
[00:19:04.840 --> 00:19:08.400]   Softmax isn't going to want to do that for me, because Softmax really wants just one
[00:19:08.400 --> 00:19:14.860]   of my values to be high, because it's got an e to the top, as we've talked about.
[00:19:14.860 --> 00:19:21.560]   So we-- to really use mixup well-- and not just use mixup well, but any time your data
[00:19:21.560 --> 00:19:25.720]   is-- the labels on the data, you're not 100% sure they're correct.
[00:19:25.720 --> 00:19:30.320]   You don't want to be asking your model to predict one.
[00:19:30.320 --> 00:19:35.040]   You want to be-- don't predict, I'm 100% sure it's this label, because you've got label
[00:19:35.040 --> 00:19:36.040]   noise.
[00:19:36.040 --> 00:19:38.960]   You've got incorrect labels, or you've got mixup, mixing, or whatever.
[00:19:38.960 --> 00:19:45.880]   So instead, we say, oh, don't use one hot encoding for the dependent variable, but use a little
[00:19:45.880 --> 00:19:47.640]   bit less than one hot encoding.
[00:19:47.640 --> 00:19:50.000]   So say 0.9 hot encoding.
[00:19:50.000 --> 00:19:54.720]   So then the correct answer is to say, I'm 90% sure this is the answer.
[00:19:54.720 --> 00:19:57.360]   And then all of your probabilities have to add to one.
[00:19:57.360 --> 00:20:03.080]   So then all of the negatives, you just put 0.1 divided by n minus one, and all the rest.
[00:20:03.080 --> 00:20:05.640]   And that's called label smoothing.
[00:20:05.640 --> 00:20:13.600]   And it's a really simple but astonishingly effective way to handle noisy labels.
[00:20:13.600 --> 00:20:20.560]   I keep on hearing people saying, oh, we can't use deep learning in this medical problem,
[00:20:20.560 --> 00:20:24.980]   because the diagnostic labels in the reports are not perfect, and we don't have a gold
[00:20:24.980 --> 00:20:26.980]   standard and whatever.
[00:20:26.980 --> 00:20:31.400]   It actually turns out that particularly if you lose label smoothing, noisy data is generally
[00:20:31.400 --> 00:20:32.400]   not an option.
[00:20:32.400 --> 00:20:38.440]   Like, there's plenty of examples of people using this where they literally randomly permute
[00:20:38.440 --> 00:20:42.680]   half the labels to make them like 50% wrong, and they still get good results, really good
[00:20:42.680 --> 00:20:44.160]   results.
[00:20:44.160 --> 00:20:50.880]   So don't listen to people in your organization saying, we can't start modeling until we do
[00:20:50.880 --> 00:20:52.900]   all this cleanup work.
[00:20:52.900 --> 00:20:53.900]   Start modeling right now.
[00:20:53.900 --> 00:20:56.200]   See if the results are OK.
[00:20:56.200 --> 00:21:01.360]   And if they are, then maybe you can skip all the cleanup work or do them simultaneously.
[00:21:01.360 --> 00:21:09.960]   So label smoothing ends up just being the cross entropy loss as before times if epsilon
[00:21:09.960 --> 00:21:17.800]   is 0.1 and 0.9 plus 0.1 times the cross entropy for everything divided by n.
[00:21:17.800 --> 00:21:21.040]   And the nice thing is that's another linear combination.
[00:21:21.040 --> 00:21:24.520]   So once you kind of create one of these little mathematical refactorings that tend to pop
[00:21:24.520 --> 00:21:28.760]   up everywhere and make your code a little bit easier to read and a little bit harder
[00:21:28.760 --> 00:21:33.520]   to stuff up, every time I have to write a piece of code, there's a very high probability
[00:21:33.520 --> 00:21:34.860]   that I'm going to screw it up.
[00:21:34.860 --> 00:21:39.540]   So the less I have to write, the less debugging I'm going to have to do later.
[00:21:39.540 --> 00:21:46.400]   So we can just pop that in as a loss function and away we go.
[00:21:46.400 --> 00:21:53.400]   So that's a super powerful technique which has been around for a couple of years, those
[00:21:53.400 --> 00:21:58.840]   two techniques, but not nearly as widely used as they should be.
[00:21:58.840 --> 00:22:06.120]   Then if you're using a Volta, Tensor Core, 2080, any kind of pretty much any current
[00:22:06.120 --> 00:22:13.680]   generation Nvidia graphics card, you can train using half precision floating point in theory
[00:22:13.680 --> 00:22:16.040]   like 10 times faster.
[00:22:16.040 --> 00:22:18.920]   In practice it doesn't quite work out that way because there's other things going on,
[00:22:18.920 --> 00:22:22.880]   but we certainly often see 3x speedups.
[00:22:22.880 --> 00:22:28.600]   So the other thing we've got is some work here to allow you to train in half precision
[00:22:28.600 --> 00:22:30.560]   floating point.
[00:22:30.560 --> 00:22:35.080]   Now the reason it's not as simple as saying model.half, which would convert all of your
[00:22:35.080 --> 00:22:41.200]   weights and biases and everything to half precision floating point, is because of this.
[00:22:41.200 --> 00:22:48.840]   This is from Nvidia's materials and what they point out is that you can't just use half
[00:22:48.840 --> 00:22:53.800]   precision everywhere because it's not accurate, it's bumpy.
[00:22:53.800 --> 00:22:59.680]   So it's hard to get good useful gradients if you do everything in half precision, particularly
[00:22:59.680 --> 00:23:02.300]   often things will round off to zero.
[00:23:02.300 --> 00:23:09.980]   So instead what we do is we do the forward pass in FP16, we do the backward pass in FP16,
[00:23:09.980 --> 00:23:14.800]   so all the hard work is done in half precision floating point, and pretty much everywhere
[00:23:14.800 --> 00:23:20.680]   else we convert things to full precision floating point and do everything else in full precision.
[00:23:20.680 --> 00:23:23.800]   So for example, when we actually apply the gradients by multiplying the value of the learning
[00:23:23.800 --> 00:23:28.780]   rate, we do that in FP32, single precision.
[00:23:28.780 --> 00:23:34.960]   And that means that if your learning rate's really small, in FP16 it might basically round
[00:23:34.960 --> 00:23:40.280]   down to zero, so we do it in FP32.
[00:23:40.280 --> 00:23:44.720]   In FastAI version one, we wrote all this by hand.
[00:23:44.720 --> 00:23:50.120]   For the lessons, we're experimenting with using a library from Nvidia called Apex.
[00:23:50.120 --> 00:23:55.520]   Apex basically have some of the functions to do this there for you.
[00:23:55.520 --> 00:24:01.380]   So we're using it here, and basically you can see there's a thing called model to half
[00:24:01.380 --> 00:24:05.700]   where we just go model to half, batch norm, goes to float, and so forth.
[00:24:05.700 --> 00:24:09.480]   So these are not particularly interesting, but they're just going through each one and
[00:24:09.480 --> 00:24:13.160]   making sure that the right layers have the right types.
