
[00:00:00.000 --> 00:00:16.520]   A few logistical things.
[00:08:07.980 --> 00:08:08.980]   So there's that.
[00:08:08.980 --> 00:08:15.720]   The final word I do want to offer you is effectively what I think, in terms of non-technical
[00:08:15.720 --> 00:08:19.320]   terms, the 1,000 X engineer could offer.
[00:08:19.320 --> 00:08:24.720]   My favorite advice for what a 10X engineer could look like is an engineer that teaches 10 other
[00:08:24.720 --> 00:08:26.720]   people what they know.
[00:08:26.720 --> 00:08:31.460]   networks, that's not a technical term, but it is very useful.
[00:08:31.460 --> 00:08:34.460]   And there's all these scaling laws for networks, which I really keep in mind.
[00:08:34.460 --> 00:08:41.200]   So you can go from O of N to O of N squared to O to the power of N. But really what O of N
[00:08:41.200 --> 00:08:45.940]   is, is you attending all the talks and consume all the content and letting people in with
[00:08:45.940 --> 00:08:47.940]   your Pac-Man rule.
[00:08:47.940 --> 00:08:49.940]   O and Squared is helping others learn.
[00:08:49.940 --> 00:08:53.940]   My very first blog post was at exactly a conference like this where I was encouraged to write something.
[00:08:53.940 --> 00:08:56.940]   And of course it was on machine learning.
[00:08:56.940 --> 00:09:03.100]   And finally going home and then building your own networks of AI engineers and helping to
[00:09:03.100 --> 00:09:06.100]   grow networks of learning as well.
[00:09:06.100 --> 00:09:09.220]   So I hope you take that with you in your AI engineer journey.
[00:09:09.220 --> 00:09:12.820]   I hope that over the next few days you get a sense of what it's like to be at the start
[00:09:12.820 --> 00:09:14.120]   of an industry.
[00:09:14.120 --> 00:09:15.680]   And I'm just glad to be here with you.
[00:09:15.680 --> 00:09:16.260]   Thanks so much.
[00:09:16.260 --> 00:09:17.260]   Thank you.
[00:09:17.260 --> 00:09:18.260]   Thank you.
[00:09:18.260 --> 00:09:19.260]   Thank you.
[00:09:19.260 --> 00:09:19.260]   Thank you.
[00:09:19.260 --> 00:09:20.260]   Thank you.
[00:09:20.260 --> 00:09:21.260]   Thank you.
[00:09:21.260 --> 00:09:21.260]   Thank you.
[00:09:21.260 --> 00:09:22.260]   Thank you.
[00:09:22.260 --> 00:09:26.080]   I'll see you next time.

