
[00:00:00.040 --> 00:00:22.240]   so thank you everyone we have a very full room today so we'll get started with the repo here in
[00:03:37.340 --> 00:03:38.340]   yes
[00:03:38.340 --> 00:03:47.180]   it might be a good idea for you to start running the notebook cells so especially the first cell the pip install
[00:03:47.180 --> 00:03:56.440]   just because that might take a little while if when you just start that might it's probably the longest running cell in the whole notebook is just loading all the requirements for today
[00:03:56.440 --> 00:04:19.500]   so to say again create your sandbox blank sandbox at blank sandbox gds graph data science and then you're going to open that notebook create a copy of it or have it locally and then start running that pip install cell right here
[00:04:19.500 --> 00:04:28.500]   okay so what happens i did the blank sandbox instead of the blank data science sandbox
[00:04:28.500 --> 00:04:35.460]   i did the blank sandbox instead of the blank data science sandbox
[00:04:35.460 --> 00:04:50.460]   that one will maybe work but what i'd recommend doing is just terminating that instance so if you go to the um if you go to the screen once it's there just uh press terminate there's like a garbage can icon
[00:04:50.460 --> 00:04:59.460]   and then go and create a graph uh data science sandbox yeah blank it's blank sandbox dash graph data science is the one we want
[00:04:59.460 --> 00:05:19.460]   so the main difference is actually that the graph data science sandbox has a little bit more of memory so as we're doing some more involved operations it's just faster to complete so the regular blank one should still work but it will take longer so the graph data science one will just be faster so it runs with a little bit more memory
[00:05:19.460 --> 00:05:26.460]   yeah i know it's we need to work on that it's a little bit tricky
[00:05:26.460 --> 00:05:36.460]   alrighty so um i'll leave this here is there can i get a show of hands of how many people have the notebook set up
[00:05:36.460 --> 00:05:46.460]   okay so we're pretty good um is there is there anyone who still needs to stay on this pr code
[00:05:46.460 --> 00:06:15.460]   okay we'll go ahead and move on um so i'm gonna do like my general spiel that i normally do i think for a lot of us this is gonna be review um we're gonna be talking a lot about retrieval augmented generation today um and for those who are you know unfamiliar right retrieval augmented generation is just when you have this step in the middle when you're communicating with a large language model where instead of sort of like in a chat gpt like way where you're just sending
[00:06:15.460 --> 00:06:22.460]   a question and getting a response back you're going to have that LLM application go and pull relevant data through some query
[00:06:22.460 --> 00:06:31.460]   um that it can then use to reduce hallucinations provide more domain specific context enable better traceability etc
[00:06:31.460 --> 00:06:49.460]   and when we talk about graph powered retrieval augmented generation and we'll use the word graph rag kind of throughout this course is we're talking about the combination of three things that we're gonna look at today so that's gonna be vector search which i'm sure a lot of you are already fairly familiar with
[00:06:49.460 --> 00:07:08.460]   knowledge graph traversals which is going to be traversing over structured data in addition to the vector search and then we're gonna do some cool things with graph data science so we're actually gonna create a new type of embedding a graph embedding and we're gonna use that that vector to do some very interesting things for recommendations with structured data
[00:07:08.460 --> 00:07:37.460]   um and today so um everyone does chat bots which chat bots are wonderful i wanted to do something a little bit different today um so we're actually going to do an example of using a large language model to construct an email um sort of like a recommendation recommendation type of email um and this is going to be for clothing so imagine um someone's looking for something like a halter neck top right how do you choose what to buy
[00:07:37.460 --> 00:07:58.460]   why well you need a list of things that are available in your online store you need to match that specifically for that specific customer right which different customers might have different preferences um and then you might want to have other recommendations to pair with that item like maybe a pair of pants um or a hat or other accessories and things of that nature
[00:07:58.460 --> 00:08:27.460]   and so what we're going to do is sort of build an AI fashion assistance so to speak to help scale this um so we're going to use real world data from a Kaggle competition from H&M um and we're going to do some search and retrieval we're going to add some context for personalization a small recommendation engine and we're going to wrap that into sort of an LLM chain inside of LANG chain to show you how to generate that response um and the idea behind this right is again we're combining sort of this
[00:08:27.460 --> 00:08:56.460]   we're combining sort of this knowledge graph which provides this context and this enrichment with the large language model giving that reasoning and that creativity and sort of the we're giving some liberty to the large language model to kind of take what's in the knowledge graph based on the customer's purchase behavior and other textual data and vectors um and and kind of say use your creativity to put something together for this customer basically um and while we're doing sort of a fashion recommendation thing here this same process could
[00:08:56.460 --> 00:09:08.460]   could work for different types of support agents um or a lot of different types of internal search and customer experience use cases um and this is what we're going to build today um um what's that
[00:09:08.460 --> 00:09:10.460]   we're going to be sharing the deck
[00:09:10.460 --> 00:09:16.460]   deck is in the github repo i need to it's not the most it's not exactly the one that i have here but i'll update it tonight
[00:09:16.460 --> 00:09:28.460]   pdf pdf the pdf of the workshop slides is in the repo yep yep yep um so this is what we're going to build
[00:09:28.460 --> 00:09:34.460]   today it's a little gradio app um where basically we're going to enter in some customer information their id
[00:09:34.460 --> 00:09:40.460]   a time of year um and some of the things they're interested in and we're going to generate an email that provides
[00:09:40.460 --> 00:09:46.460]   various recommendations to that customer so imagine you're trying to create targeted marketing content or
[00:09:46.460 --> 00:09:51.980]   whatever it may be this is sort of an example of how to do that and these are the specific technologies
[00:09:51.980 --> 00:09:57.500]   we'll be using um so we're going to use open ai for the language model we could of course substitute that
[00:09:57.500 --> 00:10:04.620]   out um with vertex ai or gemini or whatever we wanted to there we have lane chain that we're using to
[00:10:04.620 --> 00:10:09.500]   orchestrate everything so that's going to be creating the vector stores and also the large language model
[00:10:09.500 --> 00:10:15.740]   chain we're using colab obviously and then gradio just to kind of show you an example of a very simple
[00:10:15.740 --> 00:10:23.500]   ui that you can put on top of that just for demonstration purposes and this is going to be how we're splitting
[00:10:23.500 --> 00:10:29.020]   the course up um so basically there's this journey that we're going to follow we're going to start
[00:10:29.020 --> 00:10:33.820]   with building our graph that's going to be built inside of that sandbox instance that you just made
[00:10:33.820 --> 00:10:38.860]   after that we're going to be showing you how to do some very simple vector search
[00:10:38.860 --> 00:10:45.660]   then we're going to explore how to integrate knowledge graph traversal patterns into that to
[00:10:45.660 --> 00:10:49.420]   better personalize the retrieval data so not just based on
[00:10:50.300 --> 00:10:55.660]   sort of text similarity but also on similarity based on co-purchasing behavior
[00:10:55.660 --> 00:11:00.220]   and then when we get to recommendations we're actually going to use an unsupervised machine
[00:11:00.220 --> 00:11:06.220]   learning model to generate graph embeddings and we're going to use k nearest neighbor there to
[00:11:06.220 --> 00:11:10.540]   locate other recommendations that we can make inside of the graph and then we're going to put that
[00:11:10.540 --> 00:11:16.860]   all together inside of an llm chain to show you how you can use that to create a better more curated
[00:11:16.860 --> 00:11:18.140]   response with the language model
[00:11:18.140 --> 00:11:22.300]   alrighty so that was a lot
[00:11:22.300 --> 00:11:25.820]   i'll go ahead and get started with graph building
[00:11:25.820 --> 00:11:32.780]   again the way this will work is i'll spend a little bit of time in slides just talking about what we're
[00:11:32.780 --> 00:11:37.500]   going to do then we're going to hop over to the notebook and we we're going to run through those
[00:11:37.500 --> 00:11:43.900]   cells you you might already be running through those cells because i know a lot of us we it's going to be
[00:11:43.900 --> 00:11:49.260]   pretty easy to just sort of click through there's not actually a lot of hands-on coding you need to do
[00:11:49.260 --> 00:11:51.980]   but we're going to walk through that anyway so
[00:11:51.980 --> 00:11:59.020]   this is the data model that we're going to use a reminder right that we're working inside of a graph database
[00:11:59.020 --> 00:12:06.620]   which means that everything that we're working with is natively represented as nodes and relationships inside of a graph
[00:12:06.620 --> 00:12:13.020]   so we have these entities we have customers and articles and then products so basically what this
[00:12:13.020 --> 00:12:19.500]   graph is telling us is a sample of customers that exists different purchases that they made of articles
[00:12:19.500 --> 00:12:25.020]   of clothing so think of these like the halter tops the jeans the boots you know all the accessories
[00:12:25.020 --> 00:12:37.020]   a variant of so an article is a variant of a product in the sense that you can have a certain style of jeans but they can be you know have different color patterns different sizes etc
[00:12:37.020 --> 00:12:42.780]   so the product is sort of like the product and then the article is like the variant of that product
[00:12:43.500 --> 00:12:49.660]   we also have each department that the article is sold in we're not going to use that department
[00:12:49.660 --> 00:12:52.700]   node very much though in this specific workshop
[00:12:55.260 --> 00:13:04.620]   and of course all of these things can have properties associated with them so we have for example the customer id to uniquely identify a customer
[00:13:04.620 --> 00:13:12.300]   for articles we have product we have color and different design patterns and then for the product we have sort of the description of the product
[00:13:12.300 --> 00:13:16.300]   the garment group that is in the type of the product and the name of the product etc
[00:13:19.580 --> 00:13:26.700]   so again i think we've we've all done this step hopefully by now so i will go ahead and
[00:13:26.700 --> 00:13:30.140]   enter into our notebook
[00:13:30.140 --> 00:13:37.980]   so hopefully everyone can see this this was the first cell that we wanted to run before just because
[00:13:37.980 --> 00:13:43.260]   it takes a while if you haven't run the first cell for pip install please go ahead and do that now
[00:13:43.260 --> 00:13:49.340]   once you've run that go ahead and just kind of keep going down here run the
[00:13:49.900 --> 00:13:57.100]   import this just gets us all the libraries we need and now here's the part where we're going to have to
[00:13:57.100 --> 00:14:01.420]   inject some things here so when you made that sandbox instance
[00:14:01.420 --> 00:14:07.020]   i'll actually go to my i have to log out and go to a different account here
[00:14:10.700 --> 00:14:20.300]   you should get connection details
[00:14:20.300 --> 00:14:24.780]   so if i go and i just click this and i go to connection details so please don't use mine
[00:14:24.780 --> 00:14:32.780]   so we're not fighting on the same database um but copy copy the bolt url here um and you're going to go
[00:14:32.780 --> 00:14:38.060]   back into your uh workshop code and you're going to put that here for your neo4j uri is going to be that
[00:14:38.060 --> 00:14:45.660]   bolt connection the password as well is going to be um is going to be this one right here the password
[00:14:46.380 --> 00:14:51.820]   and then you're going to keep the username as neo4j so you don't have to change either of these two
[00:14:51.820 --> 00:14:54.940]   we're going to keep the llm as gpt4o
[00:14:54.940 --> 00:15:02.860]   and then for the open ai key if you have your own please please do use that if you don't
[00:15:02.860 --> 00:15:08.620]   if you click on this link uh it'll take you to a workshop key that we'll keep live for a little
[00:15:08.620 --> 00:15:14.060]   bit that you can use um to run through the workshop and so basically you're just going to copy it in
[00:15:14.060 --> 00:15:19.260]   kind of like i've done here um and you're going to give that a run and then this next cell is just if
[00:15:19.260 --> 00:15:24.860]   you wanted to do it the proper way and have a separate environments file which you can skip or you can do
[00:15:24.860 --> 00:15:33.420]   that if you want um uh but that uh is not necessary so once you've run that we get down to the knowledge
[00:15:33.420 --> 00:15:38.140]   graph building section and we've already talked about the graph we're going to import and basically
[00:15:38.140 --> 00:15:45.340]   what you're going to do is you're going to connect to neo4j so this is our graph data science client we
[00:15:45.340 --> 00:15:51.340]   have multiple different drivers and different wrappers around those drivers to connect to the database
[00:15:51.340 --> 00:15:56.140]   i'm using graph data science for this just to simplify things it's basically you're just going to hand
[00:15:56.140 --> 00:16:01.340]   it the uri the username and the password and that'll get you connected and there's some warnings there
[00:16:01.340 --> 00:16:08.620]   that we're going to get rid of and then if you can run this cell successfully right after it this gds debug
[00:16:08.620 --> 00:16:13.020]   that means you're connected and you're good to go so you're connected to a blank database
[00:16:13.020 --> 00:16:20.860]   once that is run there's one cell here that i have for pretty much loading
[00:16:20.860 --> 00:16:27.580]   90 of the data so you're going to go ahead and run this um what this is doing is i've gone ahead and
[00:16:27.580 --> 00:16:34.300]   there's another notebook inside of this repository that's prepared these csvs so there's uh five csvs
[00:16:34.300 --> 00:16:42.620]   here um there's department product article uh customer and transaction um and so most of these are
[00:16:42.620 --> 00:16:46.940]   self-explanatory the department is the department node the product is the product node article is the
[00:16:46.940 --> 00:16:52.620]   article node etc customer the customer node and then transactions are all the purchase transactions
[00:16:52.620 --> 00:16:59.020]   between customers and articles um so the if you were to dig into this code and because we only have two
[00:16:59.020 --> 00:17:03.740]   hours i mean we can spend all our time talking about this but i decided uh not to so we can we can get to
[00:17:03.740 --> 00:17:09.900]   more of the vector stuff um this is going to create uniqueness constraints which are going to be useful for
[00:17:09.900 --> 00:17:16.620]   for querying later um in neo4j so it's just a general best practice um and then if i go there's basically
[00:17:16.620 --> 00:17:22.780]   two functions here one for loading the nodes and the next for the relationships um if you were doing this
[00:17:22.780 --> 00:17:29.740]   sort of in a non-automated setting um this is kind of what the cipher looks like so just like um
[00:17:29.740 --> 00:17:41.020]   um so just like in sql how you or for rdbms you have sql for graphs um and for neo4j specifically you have
[00:17:41.020 --> 00:17:47.580]   cipher so what this code is doing that i have above is basically for loading the different nodes it's
[00:17:47.580 --> 00:17:54.700]   generating this cipher so you see it says use this cipher query unwind merge set so that's the actual code
[00:17:54.700 --> 00:18:00.140]   behind the scenes right the cipher code that's being run to load this data um so if you are interested
[00:18:00.140 --> 00:18:05.500]   in how to load more data into neo4j you can take a look at that um and we have other graph academy
[00:18:05.500 --> 00:18:11.420]   resources as well if if you wanted to dig into that piece um in more detail around just how to model data
[00:18:11.420 --> 00:18:24.140]   and how to load data into a graph um and then we'll stop there and i think we're at 15 minutes now so we can
[00:18:24.140 --> 00:18:32.620]   probably do um i'd say five to ten minutes and we can wait for people to catch up as a quick show
[00:18:32.620 --> 00:18:41.420]   of hands how many people have made it through the loading awesome okay that's really good um and then
[00:18:41.420 --> 00:18:51.580]   michael and tomaj
[00:18:53.580 --> 00:19:23.020]   so instead of this um yeah so actually so don't
[00:19:23.020 --> 00:19:27.500]   you don't you've got the credentials as well okay so instead of uh
[00:19:27.500 --> 00:19:29.500]   single sign on there's user name password
[00:19:29.500 --> 00:19:31.500]   just add the password
[00:19:31.500 --> 00:19:37.500]   you see it says we're leaving it
[00:19:37.500 --> 00:19:43.500]   so this is like the built-in cipher query
[00:19:43.500 --> 00:19:51.980]   so one thing that's going to be doing is click on this database icon there
[00:19:51.980 --> 00:19:55.980]   it should end up looking for
[00:19:55.980 --> 00:20:01.980]   it looks like it might be blank still
[00:20:01.980 --> 00:20:10.460]   so it's going to be in the middle of the database so it's going to be in the middle of the database
[00:20:10.460 --> 00:20:12.460]   so it's going to be in the middle of the database so it's going to be in the middle of the database
[00:20:12.460 --> 00:20:14.460]   so it's going to be in the middle of the database so it's going to be in the middle of the database
[00:20:14.460 --> 00:20:16.460]   so it's going to be in the middle of the database so it's going to be in the middle of the database
[00:20:16.460 --> 00:20:22.940]   it's going to be in the middle of the database so it's going to be in the middle of the database
[00:20:22.940 --> 00:20:24.940]   so it's going to be in the middle of the database
[00:20:24.940 --> 00:20:29.420]   it's going to be in the middle of the database so it's going to be in the middle of the database
[00:20:29.420 --> 00:20:31.420]   so it's going to be in the middle of the database
[00:20:31.420 --> 00:20:33.420]   and it's going to be in the middle of the database
[00:20:33.420 --> 00:20:35.420]   so it's going to be in the middle of the database
[00:20:35.420 --> 00:20:37.420]   so it's going to be in the middle of the database
[00:20:37.420 --> 00:20:39.420]   so it's going to be in the middle of the database
[00:20:39.420 --> 00:20:41.420]   so it's going to be in the middle of the database
[00:20:41.420 --> 00:20:43.420]   so it's going to be in the middle of the database
[00:20:43.420 --> 00:20:45.420]   so it's going to be in the middle of the database
[00:20:45.420 --> 00:20:47.420]   so it's going to be in the middle of the database
[00:20:47.420 --> 00:20:49.420]   so it's going to be in the middle of the database
[00:20:49.420 --> 00:20:51.420]   so it's going to be in the middle of the database
[00:20:51.420 --> 00:20:53.420]   so it's going to be in the middle of the database
[00:20:53.420 --> 00:20:53.420]   so it's going to be in the middle of the database
[00:20:53.420 --> 00:20:59.900]   it's going to be in the middle of the database
[00:20:59.900 --> 00:21:01.900]   so it's going to be in the middle of the database
[00:21:01.900 --> 00:21:03.900]   so it's going to be in the middle of the database
[00:21:03.900 --> 00:21:05.900]   so it's going to be in the middle of the database
[00:21:05.900 --> 00:21:07.900]   so it's going to be in the middle of the database
[00:21:07.900 --> 00:21:09.900]   so it's going to be in the middle of the database
[00:21:09.900 --> 00:21:11.900]   so it's going to be in the middle of the database
[00:21:11.900 --> 00:21:13.900]   so it's going to be in the middle of the database
[00:21:13.900 --> 00:21:15.900]   so it's going to be in the middle of the database
[00:21:15.900 --> 00:21:17.900]   so it's going to be in the middle of the database
[00:21:17.900 --> 00:21:19.900]   so it's going to be in the middle of the database
[00:21:19.900 --> 00:21:21.900]   so it's going to be in the middle of the database
[00:21:21.900 --> 00:21:28.380]   so
[00:21:28.380 --> 00:21:34.860]   it's going to be in the middle of the database
[00:21:34.860 --> 00:21:36.860]   so it's going to be in the middle of the database
[00:21:36.860 --> 00:21:38.860]   so it's going to be in the middle of the database
[00:21:38.860 --> 00:21:40.860]   so it's going to be in the middle of the database
[00:21:40.860 --> 00:21:42.860]   so it's going to be in the middle of the database
[00:21:42.860 --> 00:21:44.860]   so it's going to be in the middle of the database
[00:21:44.860 --> 00:21:51.340]   so it's going to be in the middle of the database
[00:21:51.340 --> 00:21:53.340]   so it's going to be in the middle of the database
[00:21:53.340 --> 00:21:55.340]   so it's going to be in the middle of the database
[00:21:55.340 --> 00:21:57.340]   so it's going to be in the middle of the database
[00:21:57.340 --> 00:21:59.340]   so it's going to be in the middle of the database
[00:21:59.340 --> 00:22:05.820]   so it's going to be in the middle of the database
[00:22:05.820 --> 00:22:07.820]   so it's going to be in the middle of the database
[00:22:07.820 --> 00:22:09.820]   so it's going to be in the middle of the database
[00:22:09.820 --> 00:22:11.820]   so it's going to be in the middle of the database
[00:22:11.820 --> 00:22:18.300]   so it's going to be in the middle of the database
[00:22:18.300 --> 00:22:22.300]   so it's going to be in the middle of the database
[00:22:22.300 --> 00:22:24.300]   so it's going to be in the middle of the database
[00:22:24.300 --> 00:22:26.300]   so it's going to be in the middle of the database
[00:22:26.300 --> 00:22:28.300]   so it's going to be in the middle of the database
[00:22:28.300 --> 00:22:29.840]   and it's going to be in the middle of the database
[00:22:29.840 --> 00:22:31.040]   so it's going to be in the middle of the database
[00:22:31.040 --> 00:22:32.040]   so it's going to be in the middle of the database
[00:22:32.040 --> 00:22:33.040]   so it's going to be in the middle of the database
[00:22:33.040 --> 00:22:34.040]   so it's going to be in the middle of the database
[00:22:34.040 --> 00:22:35.100]   so it's going to be in the middle of the database
[00:22:35.100 --> 00:22:36.080]   so it's going to be in the middle of the database
[00:22:36.080 --> 00:22:37.040]   so it's going to be in the middle of the database
[00:22:37.040 --> 00:22:37.840]   so it's going to be in the middle of the database
[00:22:37.840 --> 00:22:38.840]   so it's going to be in the middle of the database
[00:22:38.840 --> 00:22:40.040]   so it's going to be in the middle of the database
[00:22:40.040 --> 00:22:42.040]   so it's going to be in the middle of the database
[00:22:42.040 --> 00:22:43.040]   so it's going to be in the middle of the database
[00:22:43.040 --> 00:22:44.040]   so it's going to be in the middle of the database
[00:22:44.040 --> 00:22:44.960]   so it's going to be in the middle of the database
[00:22:44.960 --> 00:22:48.700]   so it's going to be in the middle of the database
[00:22:48.700 --> 00:22:49.860]   so it's going to be in the middle of the database
[00:22:49.860 --> 00:22:51.700]   so it's going to be in the middle of the database
[00:22:51.700 --> 00:22:52.700]   so it's going to be in the middle of the database
[00:22:52.700 --> 00:22:53.700]   so it's going to be in the middle of the database
[00:22:53.700 --> 00:22:54.700]   so it's going to be in the middle of the database
[00:22:54.700 --> 00:22:56.700]   so it's going to be in the middle of the database
[00:22:56.700 --> 00:22:57.700]   so it's going to be in the middle of the database
[00:22:57.700 --> 00:22:58.700]   so it's going to be in the middle of the database
[00:22:58.700 --> 00:23:00.700]   so it's going to be in the middle of the database
[00:23:00.700 --> 00:23:02.700]   so it's going to be in the middle of the database
[00:23:02.700 --> 00:23:03.700]   so it's going to be in the middle of the database
[00:23:03.700 --> 00:23:05.700]   so it's going to be in the middle of the database
[00:23:05.700 --> 00:23:06.700]   so it's going to be in the middle of the database
[00:23:06.700 --> 00:23:07.700]   so it's going to be in the middle of the database
[00:23:07.700 --> 00:23:09.760]   so it's going to be in the middle of the database
[00:23:09.760 --> 00:23:10.760]   so it's going to be in the middle of the database
[00:23:10.760 --> 00:23:11.800]   so it's going to be in the middle of the database
[00:23:11.800 --> 00:23:12.800]   so it's going to be in the middle of the database
[00:23:12.800 --> 00:23:13.800]   so it's going to be in the middle of the database
[00:23:13.800 --> 00:23:14.800]   so it's going to be in the middle of the database
[00:23:14.800 --> 00:23:15.860]   so it's going to be in the middle of the database
[00:23:15.860 --> 00:23:16.800]   so it's going to be in the middle of the database
[00:23:16.800 --> 00:23:17.400]   so it's going to be in the middle of the database
[00:23:17.400 --> 00:23:18.800]   so it's going to be in the middle of the database
[00:23:18.800 --> 00:23:19.800]   so it's going to be in the middle of the database
[00:23:19.800 --> 00:23:21.800]   so it's going to be in the middle of the database
[00:23:21.800 --> 00:23:22.800]   so it's going to be in the middle of the database
[00:23:22.800 --> 00:23:23.800]   so it's going to be in the middle of the database
[00:23:23.800 --> 00:23:24.800]   so it's going to be in the middle of the database
[00:23:24.800 --> 00:23:27.900]   so it's going to be in the middle of the database
[00:23:27.900 --> 00:23:29.240]   so it's going to be in the middle of the database
[00:23:29.240 --> 00:23:29.900]   so it's going to be in the middle of the database
[00:23:29.900 --> 00:23:30.860]   so it's going to be in the middle of the database
[00:23:30.860 --> 00:23:31.800]   so it's going to be in the middle of the database
[00:23:31.800 --> 00:23:32.860]   so it's going to be in the middle of the database
[00:23:32.860 --> 00:23:33.860]   so it's going to be in the middle of the database
[00:23:33.860 --> 00:23:34.860]   so it's going to be in the middle of the database
[00:23:34.860 --> 00:23:35.860]   so it's going to be in the middle of the database
[00:23:35.860 --> 00:23:36.860]   so it's going to be in the middle of the database
[00:23:36.860 --> 00:23:37.860]   so it's going to be in the middle of the database
[00:23:37.860 --> 00:23:38.860]   so it's going to be in the middle of the database
[00:23:38.860 --> 00:23:39.860]   so it's going to be in the middle of the database
[00:23:39.860 --> 00:23:40.860]   so it's going to be in the middle of the database
[00:23:40.860 --> 00:23:41.860]   so it's going to be in the middle of the database
[00:23:41.860 --> 00:23:45.920]   so it's going to be in the middle of the database
[00:23:45.920 --> 00:23:46.920]   so it's going to be in the middle of the database
[00:23:46.920 --> 00:23:48.920]   and it's going to be in the middle of the database
[00:23:48.920 --> 00:23:50.920]   so it's going to be in the middle of the database
[00:23:50.920 --> 00:23:51.920]   so it's going to be in the middle of the database
[00:23:51.920 --> 00:23:53.920]   so it's going to be in the middle of the database
[00:23:53.920 --> 00:23:54.920]   so it's going to be in the middle of the database
[00:23:54.920 --> 00:23:55.920]   so it's going to be in the middle of the database
[00:23:55.920 --> 00:23:56.920]   so it's going to be in the middle of the database
[00:23:56.920 --> 00:23:58.920]   so it's going to be in the middle of the database
[00:23:58.920 --> 00:23:59.920]   so it's going to be in the middle of the database
[00:23:59.920 --> 00:24:00.920]   so it's going to be in the middle of the database
[00:24:00.920 --> 00:24:01.920]   so it's going to be in the middle of the database
[00:24:01.920 --> 00:24:03.920]   so it's going to be in the middle of the database
[00:24:03.920 --> 00:24:05.920]   so it's going to be in the middle of the database
[00:24:05.920 --> 00:24:09.020]   so it's going to be in the middle of the database
[00:24:09.020 --> 00:24:10.980]   so it's going to be in the middle of the database
[00:24:10.980 --> 00:24:12.980]   so it's going to be in the middle of the database
[00:24:12.980 --> 00:24:14.980]   so it's going to be in the middle of the database
[00:24:14.980 --> 00:24:15.980]   so it's going to be in the middle of the database
[00:24:15.980 --> 00:24:16.980]   so it's going to be in the middle of the database
[00:24:16.980 --> 00:24:17.980]   so it's going to be in the middle of the database
[00:24:17.980 --> 00:24:18.980]   so it's going to be in the middle of the database
[00:24:18.980 --> 00:24:19.980]   so it's going to be in the middle of the database
[00:24:19.980 --> 00:24:20.980]   so it's going to be in the middle of the database
[00:24:20.980 --> 00:24:21.980]   so it's going to be in the middle of the database
[00:24:21.980 --> 00:24:22.980]   so it's going to be in the middle of the database
[00:24:22.980 --> 00:24:23.980]   so it's going to be in the middle of the database
[00:24:23.980 --> 00:24:25.980]   so it's going to be in the middle of the database
[00:24:25.980 --> 00:24:26.980]   so it's going to be in the middle of the database
[00:24:26.980 --> 00:24:33.500]   does anybody else need some help
[00:24:33.500 --> 00:24:36.220]   that I can tell Tomaj to help with
[00:24:36.220 --> 00:24:40.120]   everyone's good
[00:24:40.120 --> 00:24:44.420]   so there might still be some people
[00:24:44.420 --> 00:24:46.280]   having network connectivity issues
[00:24:46.280 --> 00:24:48.260]   we've seen a couple different variations on that
[00:24:48.260 --> 00:24:49.600]   we'll try to help figure those out
[00:24:49.600 --> 00:24:50.300]   and get that sorted
[00:24:50.300 --> 00:24:52.560]   I think we can maybe
[00:24:52.560 --> 00:24:53.200]   okay
[00:24:53.200 --> 00:24:54.920]   awesome
[00:24:54.920 --> 00:25:11.000]   oh
[00:25:11.000 --> 00:25:12.020]   it's crowd
[00:25:12.020 --> 00:25:13.120]   it's the stupid
[00:25:13.120 --> 00:25:18.420]   by the way I have to say
[00:25:18.420 --> 00:25:19.340]   you're all pretty good
[00:25:19.340 --> 00:25:20.520]   for such a big room
[00:25:20.520 --> 00:25:22.180]   everyone being on top of things
[00:25:22.180 --> 00:25:23.080]   I'm really impressed
[00:25:23.080 --> 00:25:24.140]   so well done everyone
[00:25:24.140 --> 00:25:25.680]   what's the software they installed on that
[00:25:25.680 --> 00:25:27.680]   yes
[00:25:27.680 --> 00:25:30.720]   fun security software on my laptop
[00:25:30.720 --> 00:25:33.420]   preventing me from connecting USB devices
[00:25:33.420 --> 00:25:35.580]   so hopefully it's there
[00:25:35.580 --> 00:25:37.100]   if it disappears again let me know
[00:25:37.100 --> 00:25:39.900]   one thing that I wanted to point out
[00:25:39.900 --> 00:25:41.020]   someone had a good question
[00:25:41.020 --> 00:25:42.760]   about what we were loading
[00:25:42.760 --> 00:25:44.380]   so there is
[00:25:44.380 --> 00:25:46.240]   there's a couple things that we do
[00:25:46.240 --> 00:25:48.180]   kind of at the end of this block
[00:25:48.180 --> 00:25:49.180]   one of them is
[00:25:49.180 --> 00:25:50.580]   I'm going to create a fake
