
[00:00:00.000 --> 00:00:00.760]   You know who drank?
[00:02:48.760 --> 00:02:52.420]   And I was like, "The sun also rises."
[00:02:52.420 --> 00:02:58.240]   Yeah, he was so good with just a handful of words.
[00:02:58.240 --> 00:02:58.740]   Yeah.
[00:02:58.740 --> 00:03:00.240]   The simplicity, the choice of words.
[00:03:00.240 --> 00:03:02.240]   Basically, his process is carving down.
[00:03:02.240 --> 00:03:04.240]   Write drunk, edit sober.
[00:03:04.240 --> 00:03:06.240]   Write drunk, edit sober.
[00:03:06.240 --> 00:03:08.240]   Yeah.
[00:03:08.240 --> 00:03:10.240]   But he was good at a small amount of words to get a point across.
[00:03:10.240 --> 00:03:12.240]   I'm the exact fucking opposite.
[00:03:12.240 --> 00:03:14.240]   Well, he's also said the first draft of anything is always shit.
[00:03:14.240 --> 00:03:16.240]   Is that true for you?
[00:03:16.240 --> 00:03:18.240]   I think so.
[00:03:18.240 --> 00:03:20.240]   It's the best one I have.
[00:03:20.240 --> 00:03:22.240]   Because Donald Trump is the best.
[00:03:22.240 --> 00:03:24.240]   Yeah.
[00:03:24.240 --> 00:03:26.240]   I think so.
[00:03:26.240 --> 00:03:27.240]   I think so.
[00:03:27.240 --> 00:03:29.240]   He goes downhill from there.
[00:03:29.240 --> 00:03:32.240]   So for you, editing is destroying the original genius.
[00:03:32.240 --> 00:03:36.240]   The first time I tell it, it's perfect.
[00:03:36.240 --> 00:03:37.240]   It's perfect.
[00:03:37.240 --> 00:03:38.240]   It works.
[00:03:38.240 --> 00:03:39.240]   And then I go, "Great."
[00:03:39.240 --> 00:03:43.240]   And then I take it, and I try to fix it and make it better and jazzier.
[00:03:43.240 --> 00:03:48.240]   I just joke and razzle-dazzle about my daughters and I drive them past a deaf child sign.
[00:03:48.240 --> 00:03:50.240]   And I just told it on stage.
[00:03:50.240 --> 00:03:51.240]   It just happened.
[00:03:51.240 --> 00:03:54.240]   And Louis was in the audience.
[00:03:54.240 --> 00:03:55.240]   He goes, "I love that joke."
[00:03:55.240 --> 00:03:56.240]   I said, "Really?"
[00:03:56.240 --> 00:03:57.240]   He goes, "Yeah."
[00:03:57.240 --> 00:03:58.240]   And I just told it.
[00:03:58.240 --> 00:03:59.240]   And I went, "Done."
[00:03:59.240 --> 00:04:00.240]   Louis C.K. says he likes the joke.
[00:04:00.240 --> 00:04:03.240]   It's fucking, it's in the special.
[00:04:03.240 --> 00:04:08.240]   And I tried to fucking razzle-dazzle that joke into like a 15-minute bit.
[00:04:08.240 --> 00:04:14.240]   It got to the point where it was so bad that I told him, I did a podcast with him.
[00:04:14.240 --> 00:04:16.240]   I said, "What did you like about that joke?"
[00:04:16.240 --> 00:04:18.240]   Because I can't get it to work anymore.
[00:04:18.240 --> 00:04:19.240]   He goes, "It was just simple.
[00:04:19.240 --> 00:04:23.240]   It was simple that your daughter didn't know how they'd figure out where deaf kids lived."
[00:04:23.240 --> 00:04:25.240]   I went, "That's it?"
[00:04:25.240 --> 00:04:26.240]   He's like, "Yeah."
[00:04:26.240 --> 00:04:27.240]   I was like, "Nothing about gun control?"
[00:04:27.240 --> 00:04:28.240]   And he was like, "Huh?"
[00:04:28.240 --> 00:04:29.240]   I was like, "Oh, fuck, man.
[00:04:29.240 --> 00:04:30.240]   I really fucked that joke up."
[00:04:30.240 --> 00:04:32.240]   And then I had to go back to the beginning of it.
[00:04:32.240 --> 00:04:36.240]   But that first time, that's when the joke comes out purest for me.
[00:04:36.240 --> 00:04:39.240]   And then it's always chasing back to get that first telling.
[00:04:39.240 --> 00:04:40.240]   Some jokes are different.
[00:04:40.240 --> 00:04:45.240]   Like the machine, obviously, was a much longer story and like escape room for this one.
[00:04:45.240 --> 00:04:46.240]   The longer stories take a little work.
[00:04:46.240 --> 00:04:53.240]   But the simple ones, like the deaf child in pajamas and those first times are perfect.
[00:04:53.240 --> 00:04:54.240]   What do you think is the most important thing about the movie?
[00:04:54.240 --> 00:05:00.240]   What do you think is it about the machine story that works, that was so captivating for people?
[00:05:00.240 --> 00:05:11.240]   I think it's a good story.
[00:05:11.240 --> 00:05:12.240]   I think it's a good story.
[00:05:12.240 --> 00:05:19.240]   I think everyone has something similar that happened in their life where they had a crazy night and that no one believed.
[00:05:19.240 --> 00:05:20.240]   And they told their friends.
[00:05:20.240 --> 00:05:23.240]   Or they experienced that with a friend like that.
[00:05:23.240 --> 00:05:28.240]   And I think that's got to be it.
[00:05:28.240 --> 00:05:29.240]   I really don't know.
[00:05:29.240 --> 00:05:42.240]   I think there's a part of our community of comedy fans that were that early death squad that was fun to watch someone take something from the podcast and turn it into a bit on stage.
[00:05:42.240 --> 00:05:43.240]   I think there was a lot of that.
[00:05:43.240 --> 00:05:51.240]   But I think people identify with a wild, crazy night that got out of control that they've probably had too.
[00:05:51.240 --> 00:05:52.240]   I think.
[00:05:52.240 --> 00:05:58.000]   think i don't know you think putin knows who you are because of that story i hope so
[00:05:58.000 --> 00:06:04.400]   i hope so i hope so but there's there's a part of me that that you got to understand is like
[00:06:04.400 --> 00:06:09.840]   i'm not i say stuff like that i'm sure there's someone who hears that and they go who is this
[00:06:09.840 --> 00:06:14.000]   narcissist you're like no that's not it i'm just telling the truth like i understand
[00:06:14.000 --> 00:06:18.800]   what i'm supposed to say well you know i don't know i do you know i i don't know that's hard
[00:06:18.800 --> 00:06:23.120]   to say but i don't give a about that guy i'm not that guy i'm telling you everything
[00:06:23.120 --> 00:06:27.360]   that comes out of my mouth the second it comes out i'm going to be 100 honest i don't know any
[00:06:27.360 --> 00:06:32.720]   other way to live i kind of hope so that would be cool and i look i know he's a bad i guess
[00:06:32.720 --> 00:06:37.520]   he's a bad dude i don't follow politics done but it'd be cool if like one day someone's like uh
[00:06:37.520 --> 00:06:45.600]   he's he's on his computer and somebody goes and he's like yeah yeah and he's like
[00:06:45.600 --> 00:06:47.840]   and it shows it to him and and then he's like
[00:06:47.840 --> 00:06:54.160]   this guy huh it's not out of the realm of possibility that uh putin has watched it
[00:06:54.160 --> 00:06:58.160]   and this this podcast has kind of made me realize how like small the world is
[00:06:58.160 --> 00:07:02.480]   i've gotten to meet some incredibly oh yeah especially the people interesting people
[00:07:02.480 --> 00:07:10.560]   like that's i mean that's the thing where i go like it's gotten really crazy the internet's
[00:07:10.560 --> 00:07:16.720]   really insane and netflix is really insane and the reach of like people that like is really simple
[00:07:16.720 --> 00:07:17.760]   but like
[00:07:17.760 --> 00:07:21.680]   i'm a big fan of the show drink champs i didn't think in a million years nori would ever know who
[00:07:21.680 --> 00:07:25.840]   i was and then he offered me to come to his podcast and then when i got there he told me he
[00:07:25.840 --> 00:07:31.920]   was a fan of mine and i went like i remember moving to new york listening to you and capone
[00:07:31.920 --> 00:07:38.720]   like i'm sitting there going wow like and then and the phone calls i've gotten since the movie came
[00:07:38.720 --> 00:07:46.880]   out and uh since razzle dazzle came out have been really insane when you realize as much as i know
[00:07:46.880 --> 00:07:47.520]   about people
[00:07:47.520 --> 00:07:52.720]   and i i like there's people i'm fans of that don't know who i am that that like that are like they're
[00:07:52.720 --> 00:07:57.920]   like some uh pitcher in florida that i follow the kids i like i think it's fun to watch and
[00:07:57.920 --> 00:08:03.680]   pitch there was a softball player in uh tempe that she do catching drills and i was really into
[00:08:03.680 --> 00:08:07.760]   softball with my daughter and we watched her catching girls there's a girl d glazer who me and
[00:08:07.760 --> 00:08:11.680]   my daughters will watch her dance videos and then i hit her up she's like you know who i am and
[00:08:11.680 --> 00:08:15.680]   you're like oh yeah that's the way the world works uh what world leader would you drink with if you
[00:08:15.680 --> 00:08:22.640]   could so you mentioned putin so putin doesn't drink much yeah zielinski drinks more but also
[00:08:22.640 --> 00:08:26.880]   not much boris yeltsin would have been a good one he would have been a good one i mean
[00:08:26.880 --> 00:08:34.160]   like i i'd go hitler was a like he he drank wine with a with a cut with a spoonful of sugar
[00:08:34.160 --> 00:08:39.120]   in it you never drank what's churchill that's my whole and that's my guy yeah you know that's my
[00:08:39.120 --> 00:08:45.200]   guy right no i don't know that's your guy so he uh he did champagne well let me well do you have to
[00:08:45.200 --> 00:08:51.120]   tell me a thing about winston churchill he i found out about his daily routine yeah so his daily
[00:08:51.120 --> 00:08:58.960]   routine was a big breakfast cigar coffee eggs over eggs sunny side up toast bacon sausage tomato
[00:08:58.960 --> 00:09:06.080]   beans uh fruit orange juice soft scotch cigar in bed and he'd sit there for three hours and he'd
[00:09:06.080 --> 00:09:11.280]   hold morning breakfast and that's they'd come in and he'd run through his day and then he'd get in
[00:09:11.280 --> 00:09:15.180]   the bathtub for an hour and drink champagne and then he'd go to lunch and he'd go to lunch and he'd
[00:09:15.180 --> 00:09:20.160]   go to lunch and have some goose or whatever the they ate back then with more champagne and then
[00:09:20.160 --> 00:09:25.320]   and then and then i mean and then he'd take a nap and like i love that so every year on hit the day
[00:09:25.320 --> 00:09:30.440]   of his death and he's january 24th i celebrate winston churchill's life by living the way he did
[00:09:30.440 --> 00:09:35.520]   and so i have breakfast in bed with a soft scotch and i just party all day that would be the
[00:09:35.520 --> 00:09:41.200]   guy to drink with that would be the guy if you could pick anyone to drink with he drank every day
[00:09:41.200 --> 00:09:44.520]   throughout the day he lived like 94. and was
[00:09:44.520 --> 00:09:53.300]   one of the most heroic figures in human history never never surrender i mean what a badass thing
[00:09:53.300 --> 00:09:57.540]   you know he taught he taught the queen the queen was like uh like a like a window licking idiot
[00:09:57.540 --> 00:10:04.540]   right like she was she had a third grade education so like her dad dies and she's like 10 or 12 or
[00:10:04.540 --> 00:10:07.540]   whatever the first thing they do is they pull her out of school they're like you're done learning
[00:10:07.540 --> 00:10:11.340]   you're just going to be the queen you got to know this is what you need to learn don't make let
[00:10:11.340 --> 00:10:12.580]   people make eye contact with you put your hand out like this and you're just gonna be the queen you're
[00:10:12.580 --> 00:10:13.580]   gonna know this is what you need to learn don't make let people make eye contact with you put your
[00:10:13.580 --> 00:10:17.960]   hand out like this don't let people touch you so she like she had like a really i saw that by the
[00:10:17.960 --> 00:10:23.400]   way i didn't do this research i just watched the crown okay and winston churchill kind of taught
[00:10:23.400 --> 00:10:28.920]   her about world politics and was that they like coming and she'd be like winston what did we do
[00:10:28.920 --> 00:10:34.000]   in africa and he's like this is gonna be a tough one and so yeah so but winston churchill's the
[00:10:34.000 --> 00:10:38.760]   badass but if i had to drink with someone living like drink and there's like there's a two obvious
[00:10:38.760 --> 00:10:43.560]   one like obviously it's kim jong-un right you kind of want to he drinks no way
[00:10:43.560 --> 00:10:46.580]   he does
[00:10:46.580 --> 00:10:52.180]   you think my ivs are good in the morning you know kim jong-un's ivs are next you're like i feel up
[00:10:52.180 --> 00:10:57.180]   and he's like it's amphetamine he would be a badass to drink i think he drinks hard liquor
[00:10:57.180 --> 00:11:03.380]   uh i think scotch johnny walker blue that's what i've heard i don't know where you heard this but
[00:11:03.380 --> 00:11:08.940]   i like this okay so i say things like that but then i'm sure i i i i don't know if you ever
[00:11:08.940 --> 00:11:11.700]   party with someone who just parties a little different than you and then you notice like
[00:11:11.700 --> 00:11:13.540]   like sometimes celebrity like as a celebrity you're like oh i'm gonna be a celebrity i'm gonna be a
[00:11:13.540 --> 00:11:18.600]   athletes and then like you're at a strip club and then they they talk weird to a woman you're like
[00:11:18.600 --> 00:11:22.000]   oh that's not me i'm so sorry so that would be the thing the atrocities would be hard to get
[00:11:22.000 --> 00:11:26.780]   with them not just the atrocity but the way of being i agree with you i actually don't like
[00:11:26.780 --> 00:11:33.680]   drinking with rich and powerful people often there's something weird about them yeah not not
[00:11:33.680 --> 00:11:38.720]   all of them and i don't like i don't like a drinking meeting like when someone goes
[00:11:38.720 --> 00:11:46.360]   like what's that people go like hey uh i'm taking you out tonight we're drinking yeah and then i go
[00:11:46.360 --> 00:11:51.840]   oh that's not the way i like to do it it gives me anxiety like um our lives are very different
[00:11:51.840 --> 00:11:58.960]   you and i yeah were you in a fraternity no we could start there yet no i was not okay
[00:11:58.960 --> 00:12:05.100]   that's the and the differences continue from there i'm sure so when you get your pledge of pen
[00:12:05.100 --> 00:12:08.420]   uh-huh they take you out and their whole thing is you're gonna we're getting you
[00:12:08.420 --> 00:12:08.700]   fucked up
[00:12:08.700 --> 00:12:13.560]   yeah that energy is not my energy i don't like that like it's i just go why don't we just get
[00:12:13.560 --> 00:12:18.520]   drunk and feel really good about ourselves like i never like took mushrooms to see jesus i just
[00:12:18.520 --> 00:12:26.040]   wanted to enjoy rain x on a windshield like so like that that for me uh is like one of my things
[00:12:26.040 --> 00:12:30.640]   so if if kim jong-un flew me to north korea to drink with him i'd be like i'd have to start
[00:12:30.640 --> 00:12:35.680]   really getting blackout drunk on the plane to enjoy drinking with him that day what's your
[00:12:35.680 --> 00:12:38.660]   favorite like different occasions what's
[00:12:38.660 --> 00:12:38.680]   your favorite
[00:12:38.680 --> 00:12:46.420]   drink what's your favorite way of drinking it's it's i've got it varies so what are the different
[00:12:46.420 --> 00:12:53.720]   contexts here it's like one-on-one one-on-one like you sit down with i don't know rogan invites
[00:12:53.720 --> 00:12:58.380]   you like it's a godfather to sit down and finally have a talk about something it's gonna be whiskey
[00:12:58.380 --> 00:13:03.260]   it's gonna be like a nice whiskey neat no i like it on the rocks and i like lots of rocks
[00:13:03.260 --> 00:13:08.660]   it won't be something expensive because rogan is not he's not a fancy boy you know
[00:13:08.660 --> 00:13:14.100]   like he's a real regular he's a really regular dude he's gotten less regular the more millions
[00:13:14.100 --> 00:13:19.260]   of dollars he has i think there's parts of him where you're like yeah like where you're like
[00:13:19.260 --> 00:13:24.600]   oh wow we can do this yeah um but he's a ray he'd be like jack on the rocks or like
[00:13:24.600 --> 00:13:28.980]   probably buffalo trace or one of the maybe a little whiskey he's buying rogan be uh whiskey
[00:13:28.980 --> 00:13:35.100]   rocks and then like that's a good i haven't hung out with joe by ourselves i take that back i was
[00:13:35.100 --> 00:13:38.540]   with him the other night but like it would be cool my times with joe's are always the same i'm not
[00:13:38.540 --> 00:13:38.540]   going to be with him the other night but like it would be cool my times with joe's are always the
[00:13:38.540 --> 00:13:38.540]   best i've ever had with him the other night but like it would be cool my times with joe's are always the
[00:13:38.540 --> 00:13:38.560]   best i've ever had with him the other night but like it would be cool my times with joe's are always
[00:13:38.560 --> 00:13:44.160]   on podcasts yeah and his i missed the times where it was where you just have you and him at the
[00:13:44.160 --> 00:13:50.480]   store late night yeah i'm okay with podcasts like i used to think this is like uh performative or
[00:13:50.480 --> 00:13:54.420]   something like this but it's not really no it's just a chance to really sit down i enjoy it
[00:13:54.420 --> 00:13:59.120]   because of the people i could never sit down with ah like david cross i would never sit down with
[00:13:59.120 --> 00:14:03.880]   david cross because we don't run in the same circles and but it's nice he has something to
[00:14:03.880 --> 00:14:08.420]   promote and then he comes to my house and then we can sit down for an hour and talk and then i
[00:14:08.420 --> 00:14:16.780]   and then or kevin smith like people i would never really hang out with tom um i enjoy being alone
[00:14:16.780 --> 00:14:25.300]   with tom more off mic yeah we have a lot of history there's a lot of things secrets we know
[00:14:25.300 --> 00:14:28.960]   about each other and there's a lot of secrets going on in each other's lives that i would
[00:14:28.960 --> 00:14:34.640]   never share on podcasts that i that i can talk to him about and i really appreciate his and i know
[00:14:34.640 --> 00:14:38.300]   this isn't on brand of us beating each other up but like i really appreciate his work and i really
[00:14:38.300 --> 00:14:45.060]   appreciate his insight as a as a dad and as a dude and as a son but but he makes me giggle harder
[00:14:45.060 --> 00:14:49.560]   than anyone so doing a podcast is fun so there's something on a podcast that's performative for you
[00:14:49.560 --> 00:14:54.080]   with him and then there's a part me and him because we're trying to make each other laugh
[00:14:54.080 --> 00:15:00.720]   but i'll tell you if we're going back to drinks i'll tell you like a great a great afternoon drink
[00:15:00.720 --> 00:15:04.900]   is a compari spritz it's my one of my favorite drinks in the world i don't even know what that
[00:15:04.900 --> 00:15:08.060]   is oh party spritz compari is an interesting
[00:15:08.180 --> 00:15:15.060]   alcohol because i think it's a bitter uh or it's a liqueur and it's got a weird rooty earthy taste
[00:15:15.060 --> 00:15:19.900]   it's red so it looks like kool-aid that's why i got into it i thought compari on ice would be oh
[00:15:19.900 --> 00:15:25.420]   so nice there's an old commercial but man it's fucking like sucking the green giant's dick it is
[00:15:25.420 --> 00:15:31.200]   earthy what's earthy it's like it's it tastes like roots it's oh nice it's not it's not it's
[00:15:31.200 --> 00:15:37.220]   there's a bitterness and like it's just not great and then someone introduced me to a negroni which
[00:15:37.220 --> 00:15:38.060]   is compari
[00:15:38.060 --> 00:15:44.500]   and gin and a little soda water and then compari spritz compari spritz is compari
[00:15:44.500 --> 00:15:54.360]   prosecco and soda water in like a wine glass and it is so enjoyable it's got so many different
[00:15:54.360 --> 00:15:58.800]   profiles to it where you get the bitterness but the sweetness of the prosecco and then it
[00:15:58.800 --> 00:16:03.440]   flattens it out with the soda water and it looks like kool-aid so i love it that's one of my
[00:16:03.440 --> 00:16:07.940]   favorite drinks to share in what context oh uh you're in italy
[00:16:07.940 --> 00:16:13.260]   and you've been walking around venice and everyone went their own ways and the whole family comes back
[00:16:13.260 --> 00:16:19.180]   together and you meet at a statue and and your wife's sweating and she's uncomfortable and your
[00:16:19.180 --> 00:16:24.700]   daughters are 16 and 18 and they're like what are we gonna what are we doing with the rest of the day
[00:16:24.700 --> 00:16:29.580]   and you go hey guys it's europe does anyone want to compari spritz and everyone goes i don't know
[00:16:29.580 --> 00:16:33.740]   what that is and you go for compari spritz now it's a minor in alcohol so it's not going to
[00:16:33.740 --> 00:16:37.820]   light them up but it gives them a little bit of a buzz where they're like dad these are nice
[00:16:37.820 --> 00:16:43.060]   island didn't drink hers so i drank hers i georgia had hers leanne had hers and we ordered another
[00:16:43.060 --> 00:16:52.100]   round i ordered an and they're refreshing and the buzz is perfect it's not too much because
[00:16:52.100 --> 00:16:56.900]   it's just a little bit of champagne and some campari if the buzz is perfect and then a couple
[00:16:56.900 --> 00:17:01.040]   of them and then they kind of disappear and then you're just walking around again that's
[00:17:01.040 --> 00:17:07.700]   a great drink you have a drink alone so there's a
[00:17:07.700 --> 00:17:14.640]   two kinds of alone one is alone like at a bar there's other people but they're strangers right
[00:17:14.640 --> 00:17:19.960]   you're kind of like out there okay i've done that keep going yeah keep going walk me through all the
[00:17:19.960 --> 00:17:25.260]   and then i'll tell you the rest there's all kinds of there's a alone on a train
[00:17:25.260 --> 00:17:29.800]   we're transporting i've dragged him alone on a train yeah train plane and then there's just
[00:17:29.800 --> 00:17:36.800]   alone in the in an empty home or a hotel room hotel and it's sunday night sunday night and
[00:17:36.800 --> 00:17:37.580]   you're packing your bag and you're like oh my god i'm so tired i'm so tired i'm so tired i'm so tired
[00:17:37.580 --> 00:17:38.580]   and you're like i'm so tired i'm so tired i'm so tired i'm so tired and you're like oh my god you're
[00:17:38.580 --> 00:17:39.580]   like oh my god you're so tired i'm so tired i'm so tired i'm so tired i'm so tired and you get a bag
[00:17:39.580 --> 00:17:44.580]   and you get a flight at 6 00 a.m yeah but roadhouse is on and you're like so you get out of the front
[00:17:44.580 --> 00:17:49.580]   desk and go is the bar still open and they go yeah can i order some to take to my room sure how about
[00:17:49.580 --> 00:17:55.580]   six heinekens six heinekens yeah my wife wanted one too she's not up there you murdered her and
[00:17:55.580 --> 00:18:01.420]   you just say to yourself i'm just getting six so that if i have four i just know i have two extra
[00:18:01.420 --> 00:18:07.460]   ones and then you go through six and you're like oh man i'm not done yet dude i've drank in every
[00:18:07.460 --> 00:18:14.540]   drink i can possibly think of i've drank uh i've drank alone in a helicopter with a dude who didn't
[00:18:14.540 --> 00:18:18.500]   know i was drinking uh he was like i was like can i drink in here and he's like absolutely not and
[00:18:18.500 --> 00:18:22.460]   then i poured it into a flask and opened it and drank it and he's like dude we're in a fucking
[00:18:22.460 --> 00:18:28.220]   helicopter you don't think i smell that the best alone drinking you can ever do in my opinion now
[00:18:28.220 --> 00:18:33.860]   we're getting into the weeds on it is alone behind someone's back what do you mean like
[00:18:33.860 --> 00:18:36.140]   when they don't know you're drinking but you're drinking
[00:18:37.340 --> 00:18:45.300]   uh like christmas shopping ah and your wife says all right let's all split up and you go cool
[00:18:45.300 --> 00:18:49.860]   and it's like it's like 11 o'clock on a sunday and they just opened that bar by the elevator
[00:18:49.860 --> 00:18:54.620]   in the beverly center and you just sneak over and you go hey man can i get a double jack on the
[00:18:54.620 --> 00:18:58.580]   ross ox rots and they're like sure and you just have it you just go let's just and then you're
[00:18:58.580 --> 00:19:03.140]   off and then you're like yeah yeah and then you just little sneak one sneak it and sneak it and
[00:19:03.140 --> 00:19:06.620]   then you're buzzed and nobody knows and then your wife's like wait have you been drinking you're like
[00:19:07.220 --> 00:19:13.020]   yeah i'm drinking by myself in a fucking mall yeah on christmas how sad do you think i am and
[00:19:13.020 --> 00:19:20.460]   then you go yeah i am uh what about mood do you ever drink in a dark place so i broke i had a
[00:19:20.460 --> 00:19:25.580]   chick break up or a chick cheat on me uh when i was when i came back from russia and she slept
[00:19:25.580 --> 00:19:30.140]   with my best friend and i didn't know how to deal with the emotions i had and my buddy mike osborne
[00:19:30.140 --> 00:19:37.100]   said i can tell you this if you drink they go away and i went okay and that was the first and
[00:19:37.100 --> 00:19:44.440]   kind of last time i ever did that because i did it i've done it i've done it a couple times but
[00:19:44.440 --> 00:19:49.660]   i try to avoid i try to avoid if there's emotion going to alcohol like meaning
[00:19:49.660 --> 00:19:55.780]   not when it's anxiety but like depression yeah i kind of sit in the depression because or anxiety
[00:19:55.780 --> 00:20:01.860]   i lean towards alcohol like anxiety like about flying or or or just like getting worked up on
[00:20:01.860 --> 00:20:06.560]   over something but with depression i try to avoid alcohol and just sit in it
[00:20:06.980 --> 00:20:13.880]   um because i because i've gone there before i've but anxieties i land i land all the time
[00:20:13.880 --> 00:20:17.400]   but depression heartbreak all that you just sit in the feeling
[00:20:17.400 --> 00:20:23.040]   yeah heartbreak is a weird one for me so like the last time i got my heart broken at leanne dumped me
[00:20:23.040 --> 00:20:27.860]   um we were dating for like four months and she broke up with me and my instinct was to have a
[00:20:27.860 --> 00:20:33.020]   drink my friends went to this uh this uh middle eastern restaurant and i told him what was going
[00:20:33.020 --> 00:20:36.860]   on and my buddy corey's like let's get a cocktail and i was like i don't want one i gotta figure
[00:20:36.860 --> 00:20:42.700]   this out because i want this chick and if i start drinking i'll be like ah it so i gotta
[00:20:42.700 --> 00:20:48.380]   figure it out like i wonder i'm gonna find out my dad dies one day or my mom but my dad will be
[00:20:48.380 --> 00:20:55.180]   the rough one my mom will be equally as rough my dad and i are really close and i wonder if
[00:20:55.180 --> 00:21:01.420]   i've thought about this a lot if i'll have a drink dealing with that like i think about that a lot
[00:21:01.420 --> 00:21:06.740]   i keep saying everything i get with my dad is extra my dad my dad
[00:21:06.740 --> 00:21:12.620]   my dad had a 100 blockage in his widow maker twice and both times they saved his life and he got a
[00:21:12.620 --> 00:21:20.940]   stint i think 12 or 13 years ago and then he just got a stint this last year but so everything i get
[00:21:20.940 --> 00:21:25.820]   to do i feel like is extra and so you know he was just at the premiere of my movie and he got to see
[00:21:25.820 --> 00:21:31.180]   that and he had a very emotional response and i got i got that from him and i was like that that's
[00:21:31.180 --> 00:21:35.260]   a little icing on the cake i did you know the arena in tampa was the first time he ever saw me
[00:21:35.260 --> 00:21:36.620]   do stand up that was like a little bit of a shock to me and i was like i'm gonna do it again and i'm
[00:21:36.620 --> 00:21:40.900]   like a little extra so all these things i'm getting with them are all extra so i have a you
[00:21:40.900 --> 00:21:50.500]   know at least 74 so yeah that'll be a tough one well at the premiere he was what proud yeah he
[00:21:50.500 --> 00:21:55.940]   came out he was sobbing crying and he goes i've underestimated you your whole life and i was like
