
[00:00:00.000 --> 00:00:02.500]   A major resignation now.
[00:08:06.000 --> 00:08:10.080]   for people who crave that thing
[00:08:10.080 --> 00:08:11.360]   that journalism used to do.
[00:08:11.360 --> 00:08:12.000]   - The truth?
[00:08:12.000 --> 00:08:12.400]   - Can you...
[00:08:12.400 --> 00:08:14.560]   - Yeah, the truth, yeah.
[00:08:14.560 --> 00:08:16.000]   - Can you just double- - Yeah, the truth.
[00:08:16.000 --> 00:08:17.440]   - Just double-click into that.
[00:08:17.440 --> 00:08:21.120]   Like, it's not like there's some grand cabal of people
[00:08:21.120 --> 00:08:23.920]   that decide, "Let's obfuscate Biden's decline.
[00:08:23.920 --> 00:08:25.440]   "Let's elevate this."
[00:08:25.440 --> 00:08:28.160]   So what does it actually mean day-to-day?
[00:08:28.160 --> 00:08:29.920]   Like, how is it actually happening?
[00:08:29.920 --> 00:08:30.320]   - Okay.
[00:08:30.320 --> 00:08:31.360]   - Is it the money?
[00:08:31.360 --> 00:08:32.240]   Is it the incentives?
[00:08:32.240 --> 00:08:32.880]   What is happening?
[00:08:32.880 --> 00:08:34.320]   - There's a few things that happened.
[00:08:34.320 --> 00:08:36.240]   The first, as Jason was alluding to,
[00:08:36.240 --> 00:08:38.320]   is that the economic model changed.
[00:08:38.320 --> 00:08:42.160]   It used to be that if you ran a piece in "The New York Times,"
[00:08:42.160 --> 00:08:44.880]   your fear was you were gonna piss off the advertiser
[00:08:44.880 --> 00:08:46.480]   that was running next to the story.
[00:08:46.480 --> 00:08:49.120]   Once the business model shifted,
[00:08:49.120 --> 00:08:51.440]   you no longer were as concerned about,
[00:08:51.440 --> 00:08:53.280]   although you still are to some extent,
[00:08:53.280 --> 00:08:56.160]   about enraging, you know, Procter & Gamble.
[00:08:56.160 --> 00:08:59.120]   You're worried about enraging the reader, right?
[00:08:59.120 --> 00:09:00.640]   This is the phenomenon that so many people
[00:09:00.640 --> 00:09:02.720]   have talked about, which is audience capture,
[00:09:02.720 --> 00:09:05.600]   which is as, you know, the individual sub-stacker
[00:09:05.600 --> 00:09:07.520]   is as susceptible to this as "The New York Times."
[00:09:07.520 --> 00:09:09.520]   None of us are free from that phenomenon either.
[00:09:09.520 --> 00:09:11.440]   - People respond to your article and say,
[00:09:11.440 --> 00:09:13.920]   "That was stupid," or "That pissed me off,"
[00:09:13.920 --> 00:09:15.520]   and then you feel pressure to change.
[00:09:15.520 --> 00:09:17.360]   - Unsubscribe or unsubscribe.
[00:09:17.360 --> 00:09:18.640]   - No, so think about this.
[00:09:18.640 --> 00:09:22.320]   The court, and I think that these are public figures,
[00:09:22.320 --> 00:09:26.480]   but something like 95 to 98% of readers
[00:09:26.480 --> 00:09:28.160]   at "The New York Times," and I'm choosing that only
[00:09:28.160 --> 00:09:30.400]   'cause it's the experience I know most intimately,
[00:09:30.400 --> 00:09:32.800]   regard themselves as liberals or progressives.
[00:09:33.360 --> 00:09:38.080]   So if you write, and I'm thinking about my wife,
[00:09:38.080 --> 00:09:40.480]   who writes about in her book how she,
[00:09:40.480 --> 00:09:43.360]   after the violent rioting that happened
[00:09:43.360 --> 00:09:46.080]   in places like Kenosha, she was a business reporter,
[00:09:46.080 --> 00:09:47.680]   went and reported on those stories
[00:09:47.680 --> 00:09:50.560]   and found that the story was unbelievably complicated,
[00:09:50.560 --> 00:09:53.440]   that many of these business owners were minority,
[00:09:53.440 --> 00:09:55.760]   small business owners, they did not have insurance,
[00:09:55.760 --> 00:09:58.400]   they were absolutely devastated by what happened,
[00:09:58.400 --> 00:09:59.600]   and you know what happened?
[00:09:59.600 --> 00:10:01.280]   She brought, it was an excellent story,
[00:10:01.280 --> 00:10:02.880]   back to her editors, and they said,
[00:10:02.880 --> 00:10:05.120]   "Let's wait until after the election to run this."
[00:10:05.120 --> 00:10:09.040]   So that's the kind of thing that would happen a lot,
[00:10:09.040 --> 00:10:12.240]   and no, there's not like some secret cabal meeting
[00:10:12.240 --> 00:10:14.720]   that happens where it says, "Let's make sure
[00:10:14.720 --> 00:10:18.800]   "that we lie to our readers about Joe Biden's mental state."
[00:10:18.800 --> 00:10:21.920]   It's the exact same phenomenon that everyone here feels
[00:10:21.920 --> 00:10:25.920]   in any social scene or company or institution
[00:10:25.920 --> 00:10:28.080]   that they're a part of, which is that human beings
[00:10:28.080 --> 00:10:30.320]   are social animals, and if you look
[00:10:30.320 --> 00:10:32.880]   at the kinds of people that work at the New York Times,
[00:10:32.880 --> 00:10:34.880]   they went to the same 10 boarding schools
[00:10:34.880 --> 00:10:37.600]   or fancy schools and the same 10 colleges,
[00:10:37.600 --> 00:10:39.440]   and they marinated in the same set of ideas,
[00:10:39.440 --> 00:10:41.680]   and they want their kids to go to the same schools
[00:10:41.680 --> 00:10:43.440]   in Brooklyn Heights or the Upper West Side,
[00:10:43.440 --> 00:10:46.160]   and that creates this very particular
[00:10:46.160 --> 00:10:47.120]   group thinking phenomenon.
[00:10:47.120 --> 00:10:49.520]   Let me add one thing, which is that was always there.
[00:10:49.520 --> 00:10:53.520]   The thing that I think has changed a lot in the past,
[00:10:53.520 --> 00:10:57.840]   let's call it 20 years, is that the very places
[00:10:57.840 --> 00:11:00.160]   that used to be feeders to the New York Times
[00:11:00.160 --> 00:11:02.160]   were no longer feeding in sort of
[00:11:02.160 --> 00:11:05.040]   your standard center-left liberal Democrat.
[00:11:05.040 --> 00:11:07.840]   They were feeding in a kind of person
[00:11:07.840 --> 00:11:11.280]   who believed in something like revolution
[00:11:11.280 --> 00:11:14.480]   and believed that their job was to foment that
[00:11:14.480 --> 00:11:15.600]   inside the New York Times.
[00:11:15.600 --> 00:11:18.880]   - No, but how does that, say more about what does that,
[00:11:18.880 --> 00:11:19.280]   what do you mean?
[00:11:19.280 --> 00:11:22.160]   - Well, what I mean by that is that they did not,
[00:11:22.160 --> 00:11:25.200]   you could look at the values of the New York Times and--
[00:11:25.200 --> 00:11:26.480]   - Sorry, okay, wait, just go back a step.
[00:11:26.480 --> 00:11:28.800]   So the people in the New York Times are fancy,
[00:11:28.800 --> 00:11:29.760]   basically is what you're saying.
[00:11:29.760 --> 00:11:32.400]   - I'm not saying, their fanciness is sort of beside the point.
[00:11:32.400 --> 00:11:34.320]   - Yeah, but I'm saying there was an archetype.
[00:11:34.320 --> 00:11:35.120]   - Yeah, of course.
[00:11:35.120 --> 00:11:36.400]   - And then that archetype shifted.
[00:11:36.400 --> 00:11:36.880]   - Right.
[00:11:36.880 --> 00:11:39.120]   - And is that because the feeder schools changed
[00:11:39.120 --> 00:11:40.320]   or is that because what they were taught
[00:11:40.320 --> 00:11:41.280]   at those schools changed?
[00:11:41.280 --> 00:11:44.240]   - It's because wokeness happened to American liberalism
[00:11:44.240 --> 00:11:48.000]   and the people that were speaking the language
[00:11:48.000 --> 00:11:52.720]   of progressivism all of a sudden transformed the notion
[00:11:52.720 --> 00:11:56.720]   of what let's say social justice was, right?
[00:11:56.720 --> 00:11:58.800]   All of a sudden social justice wasn't about doing
[00:11:59.360 --> 00:12:00.480]   good by the poor.
[00:12:00.480 --> 00:12:03.920]   It was actually about a kind of neo-racism
[00:12:03.920 --> 00:12:05.520]   and a resegregation.
[00:12:05.520 --> 00:12:08.480]   All of a sudden, progressivism wasn't actually
[00:12:08.480 --> 00:12:11.360]   about human flourishing and progress.
[00:12:11.360 --> 00:12:16.080]   It was about ensuring equality of outcome
[00:12:16.080 --> 00:12:17.840]   rather than equality of opportunity.
[00:12:17.840 --> 00:12:22.400]   And I don't think that the sort of that transformation,
[00:12:22.400 --> 00:12:23.200]   which some people have said,
[00:12:23.200 --> 00:12:24.720]   "Oh, wokeness has peaked, it's over."
[00:12:24.720 --> 00:12:26.400]   It cannot be overstated.
[00:12:26.400 --> 00:12:29.600]   The thing that began at the margins and at the fringe
[00:12:29.600 --> 00:12:34.640]   has moved into the center of American institutional life.
[00:12:34.640 --> 00:12:37.040]   And that is the story of the transformation
[00:12:37.040 --> 00:12:37.760]   of the New York Times.
[00:12:37.760 --> 00:12:40.240]   And it's the story of the transformation of Harvard
[00:12:40.240 --> 00:12:43.040]   and so many other places where people all of a sudden
[00:12:43.040 --> 00:12:44.000]   turned around and thought,
[00:12:44.000 --> 00:12:46.480]   "When did everything get so insane?"
[00:12:46.480 --> 00:12:48.640]   - Is it a story that ends in socialism
[00:12:48.640 --> 00:12:50.320]   as it has in past lives?
[00:12:50.320 --> 00:12:53.920]   - I think that, you know, I'm an optimist.
[00:12:53.920 --> 00:12:54.880]   This is America.
[00:12:54.880 --> 00:12:57.840]   And I think that there's an unbelievable pushback
[00:12:57.840 --> 00:12:59.120]   to this phenomenon.
[00:12:59.120 --> 00:13:01.920]   But the pushback, I believe...
[00:13:01.920 --> 00:13:04.760]   (audience applauding)
[00:13:04.760 --> 00:13:07.440]   - We have Elon here this afternoon.
[00:13:07.440 --> 00:13:07.940]   - Right.
[00:13:07.940 --> 00:13:11.040]   The pushback, and this is where I guess
[00:13:11.040 --> 00:13:12.640]   I'm more of a radical than a reformer.
[00:13:12.640 --> 00:13:14.880]   I think I began at the New York Times as a reformer
[00:13:14.880 --> 00:13:16.960]   believing that I could make a difference.
[00:13:16.960 --> 00:13:19.520]   And God bless the people who are still trying to do that.
[00:13:19.520 --> 00:13:21.200]   I think there's a role for both.
[00:13:21.200 --> 00:13:23.360]   I think what has made me more of a radical,
[00:13:23.360 --> 00:13:28.000]   not politically, but just in terms of my posture,
[00:13:28.000 --> 00:13:30.000]   has been that I've become someone who believes
[00:13:30.000 --> 00:13:32.720]   that the way to change those institutions
[00:13:32.720 --> 00:13:34.480]   is not to give money to those places
[00:13:34.480 --> 00:13:35.680]   or join the board of them
[00:13:35.680 --> 00:13:37.200]   or delude yourself with the idea
[00:13:37.200 --> 00:13:39.200]   that you can transform them from within.
[00:13:39.200 --> 00:13:40.400]   It's to build new things.
[00:13:40.400 --> 00:13:43.200]   And in building new things and creating competition,
[00:13:43.200 --> 00:13:45.760]   it forces the other people to change.
[00:13:45.760 --> 00:13:47.520]   - Sheri, give a voice to the people.
[00:13:47.520 --> 00:13:51.280]   (audience applauding)
[00:13:51.280 --> 00:13:53.440]   If you wouldn't mind, give a voice to the people
[00:13:53.440 --> 00:13:56.800]   that want to buck the trend,
[00:13:56.800 --> 00:14:00.000]   that want to be able to respond to the statement
[00:14:00.000 --> 00:14:01.840]   that they are morally bankrupt
[00:14:01.840 --> 00:14:06.320]   if they identify that this is not the right path.
[00:14:06.320 --> 00:14:08.400]   What's the conversation that,
[00:14:08.400 --> 00:14:09.840]   and this is happening with everyone I know
[00:14:09.840 --> 00:14:11.520]   in schools, in workplaces.
[00:14:11.520 --> 00:14:13.440]   It's not just the institution of the New York Times.
[00:14:13.440 --> 00:14:14.400]   It's all institutions.
[00:14:14.400 --> 00:14:16.320]   - Okay, it starts with something very simple.
[00:14:16.480 --> 00:14:19.680]   Give up the heroin needle of prestige.
[00:14:19.680 --> 00:14:22.640]   Rip it out of your arm immediately.
[00:14:22.640 --> 00:14:26.400]   Stop poisoning yourself, your families,
[00:14:26.400 --> 00:14:30.320]   and your children with the bankrupt notion
[00:14:30.320 --> 00:14:32.720]   that them getting into Harvard or Yale
[00:14:32.720 --> 00:14:35.520]   is more important than inculcating in them
[00:14:35.520 --> 00:14:38.640]   a sense of love, of family, of country,
[00:14:38.640 --> 00:14:40.720]   and of all of the things we used to think were normal.
[00:14:40.720 --> 00:14:44.320]   (audience applauding)
[00:14:44.320 --> 00:14:47.120]   - That, to-- - That could've been clapping
[00:14:47.120 --> 00:14:48.400]   'cause he went to Stanford, but no.
[00:14:48.400 --> 00:14:49.440]   (audience laughing)
[00:14:49.440 --> 00:14:53.840]   - To me, to me, that, it begins with that
[00:14:53.840 --> 00:14:56.960]   because I find myself in these baffling conversations
[00:14:56.960 --> 00:14:59.840]   with people where they say, "Thank you for what you do.
[00:14:59.840 --> 00:15:01.280]   "I'm so grateful for the free press.
[00:15:01.280 --> 00:15:02.080]   "I'm so grateful."
[00:15:02.080 --> 00:15:03.760]   I'm like, "Yeah, and we're talking, it's great."
[00:15:03.760 --> 00:15:05.600]   And I'm like, "Where do your kids go to school?"
[00:15:05.600 --> 00:15:08.400]   And then they name a place that's like
[00:15:08.400 --> 00:15:10.880]   the center of the mind virus.
[00:15:10.880 --> 00:15:13.520]   And I'm like-- (audience laughing)
[00:15:13.520 --> 00:15:15.280]   - Why would you do that?
[00:15:15.280 --> 00:15:17.840]   - Well, Al-Qaeda was all filled up.
[00:15:17.840 --> 00:15:19.840]   They reached their capacities.
[00:15:19.840 --> 00:15:22.320]   - Right, so to me, it's sort of,
[00:15:22.320 --> 00:15:24.720]   the beginning of wisdom begins with that
[00:15:24.720 --> 00:15:29.360]   and with the confidence that prestige and honor
[00:15:29.360 --> 00:15:32.080]   is not something that is granted to you
[00:15:32.080 --> 00:15:34.320]   by institutions that have allowed themselves
[00:15:34.320 --> 00:15:38.880]   to be corrupted by morally bankrupt people.
[00:15:38.880 --> 00:15:43.280]   You and your values, they're lucky to have you, right?
[00:15:43.280 --> 00:15:46.480]   That's what I think the fundamental posture needs to change.
[00:15:46.480 --> 00:15:50.640]   - Let's talk about the new stuff we're all building,
[00:15:50.640 --> 00:15:52.880]   the Go Direct movement, all these new brands.
[00:15:52.880 --> 00:15:54.800]   You're one of them, we're one of them, I suppose.
[00:15:54.800 --> 00:15:56.240]   - Are we gonna talk about Founder Mode?
[00:15:56.240 --> 00:15:57.680]   I know you guys can explain to me what that is.
[00:15:57.680 --> 00:15:58.800]   - Well, I mean-- - It's cocaine.
[00:15:58.800 --> 00:16:00.560]   - No, you're right. - Oh, Barry, it's cocaine.
[00:16:00.560 --> 00:16:02.080]   - Really? - Yeah, Founder Mode's cocaine.
[00:16:02.080 --> 00:16:02.560]   - Yeah, it's good.
[00:16:02.560 --> 00:16:05.200]   We have actually a good-- - I've never done Founder Mode.
[00:16:05.200 --> 00:16:06.080]   - I can only guess, but--
[00:16:06.080 --> 00:16:07.680]   - No, my guys got the best Founder Modes.
[00:16:07.680 --> 00:16:09.760]   I put some in your green room.
[00:16:09.760 --> 00:16:10.560]   - Thank you so much.
[00:16:10.560 --> 00:16:11.440]   - Yeah, yeah.
[00:16:11.440 --> 00:16:12.400]   If you need more, let me know.
[00:16:12.800 --> 00:16:16.480]   - I think I've been doing Founder Mode.
[00:16:16.480 --> 00:16:19.600]   If Founder Mode means working till you collapse every night
[00:16:19.600 --> 00:16:20.880]   for three years-- - No, no, that just means
[00:16:20.880 --> 00:16:22.240]   being committed and trying to build a business.
[00:16:22.240 --> 00:16:23.440]   - Yeah, we're talking about cocaine.
[00:16:23.440 --> 00:16:24.800]   - Founder Mode's being a dealership.
[00:16:24.800 --> 00:16:26.640]   (audience laughing)
[00:16:26.640 --> 00:16:27.200]   - It's back.
[00:16:27.200 --> 00:16:30.320]   But let's seriously talk about--
[00:16:30.320 --> 00:16:33.920]   (Barry laughing)
[00:16:33.920 --> 00:16:35.440]   It's so funny. - These are back, baby.
[00:16:35.440 --> 00:16:36.960]   - It's back, woo!
[00:16:36.960 --> 00:16:37.840]   It's gonna be a great show.
[00:16:37.840 --> 00:16:41.920]   So I wanna talk to you about the new stuff
[00:16:41.920 --> 00:16:42.640]   that's being built.
[00:16:42.640 --> 00:16:45.920]   Obviously, you have your subscription-based business
[00:16:45.920 --> 00:16:46.960]   doing wonderfully.
[00:16:46.960 --> 00:16:48.320]   We've got the information.
[00:16:48.320 --> 00:16:50.160]   We've got all in.
