
[00:00:00.000 --> 00:00:10.880]   Hi, everybody.
[00:10:04.400 --> 00:10:21.200]   standard deviation, let's say it's somewhere around 150, and here, let's-- and again, actually,
[00:10:21.200 --> 00:10:25.960]   let's just grab our subset so it's a little bit easier to see what's going on.
[00:10:25.960 --> 00:10:43.320]   So we'll go the subset of the image is a few of those rows, OK, there we go.
[00:10:43.320 --> 00:11:01.440]   So we could check now t image dot mean, the sub dot mean, output t image dot mean, I should
[00:11:01.440 --> 00:11:31.320]   say, let's say, normed image across that, dot com, t, so, normed image dot mean, OK,
[00:11:31.320 --> 00:11:42.000]   so, it's the right idea, OK, so here's a function that would be actually pretty useful to have
[00:11:42.000 --> 00:11:56.360]   in a transformation pipeline, but I will note that we would generally want to run this particular
[00:11:56.360 --> 00:12:04.480]   transformation on the GPU, because even though that doesn't look like a lot of work, it actually
[00:12:04.480 --> 00:12:10.920]   turns out that normalizing takes an astonishingly large amount of time as part of something
[00:12:10.920 --> 00:12:16.560]   like an ImageNet pipeline, so we would generally want to run it on the GPU.
[00:12:16.560 --> 00:12:22.400]   So by the time something has gotten to the GPU, it won't just be an image, it's the thing
[00:12:22.400 --> 00:12:34.160]   that our data set returns will be an image and a label, so let's create a image tuple,
[00:12:34.160 --> 00:12:42.120]   will be image, comma, let's say it's a one, so this is the kind of thing that we're actually
[00:12:42.120 --> 00:12:48.680]   going to be working with, oh, we should use a test, we're actually going to be working
[00:12:48.680 --> 00:13:08.880]   with on the GPU, so if we want to normalize that, and again, let's grab a mean and a standard
[00:13:08.880 --> 00:13:22.520]   one, and again, we have a problem, so let's make it a transform, so that's something that
[00:13:22.520 --> 00:13:26.720]   will be applied over tuples, so you'll see that none of the stuff we already have is going
[00:13:26.720 --> 00:13:40.440]   to change at all, because, oh, I made a mistake, I did it wrong, oh, took two additional arguments,
[00:13:40.440 --> 00:13:49.560]   that four were given, ah, yes, that's true, so we do have to use n equals s equals, okay,
[00:13:49.560 --> 00:14:01.960]   so one changes that we have to use, um, named arguments, so now we can go m equals s equals,
[00:14:01.960 --> 00:14:10.920]   so there we go, so now it's working again, um, but, oh, that's no good, it's also transformed
[00:14:10.920 --> 00:14:21.200]   our label, which is definitely not what we want, so, um, we need some way to have it
[00:14:21.200 --> 00:14:31.840]   only apply to those things that we would want to normalize, um, we can't, so, as we saw,
[00:14:31.840 --> 00:14:43.560]   you can add a type notation to say what to apply it to, um, the problem is that generally
[00:14:43.560 --> 00:14:50.880]   by the time you are getting through the data loader, everything's a tensor, so how can
[00:14:50.880 --> 00:14:58.120]   we decide which bits of our tuple to apply this to, um, so the answer is that we need
[00:14:58.120 --> 00:15:06.860]   to, um, create things that inherit from a tensor, um, and so we have something called
[00:15:06.860 --> 00:15:12.080]   tensor base, um, which is just a base class for things that inherit the tensor, so we
[00:15:12.080 --> 00:15:25.920]   could go plus, um, my tensor image, which will inherit from tensor base, um, oops, and
[00:15:25.920 --> 00:15:34.120]   I don't have to add any functionality to it, um, what I could just do is now say p image
[00:15:34.120 --> 00:15:45.560]   equals my tensor image, p image, actually let's call this, uh, my tensor image, uh,
[00:15:45.560 --> 00:15:53.240]   and so this, because this inherits from tensor, it looks exactly like a tensor, as all the
[00:15:53.240 --> 00:16:03.360]   normal tensory things, um, but if you check its type, it's one of these, so the nice thing
[00:16:03.360 --> 00:16:11.280]   is that we can now start constraining our functions to only work on things we want,
[00:16:11.280 --> 00:16:18.600]   so I want this to only work on that type, um, and so this is the second thing that a
[00:16:18.600 --> 00:16:24.000]   transform does, is that it's going to make sure that a new e gets applied, um, to these
[00:16:24.000 --> 00:16:28.000]   parts of a tuple, if you are applying it to a tuple. So again, it's not going to change
[00:16:28.000 --> 00:16:34.880]   this behaviour, because it's not a tuple, um, but this one, we are applying it to a
[00:16:34.880 --> 00:16:41.280]   tuple, ah, perfect, okay, so now that's not being changed. So it's important to realise
[00:16:41.280 --> 00:16:50.840]   that this is like, um, it's, it's no, uh, more or less weird or more or less magical or anything
[00:16:50.840 --> 00:16:58.080]   than Python's normal function dispatch, different languages and different libraries have different
[00:16:58.080 --> 00:17:06.360]   function dispatch methods, um, Julia tends to do, uh, function dispatch nearly entirely
[00:17:06.360 --> 00:17:16.320]   using these kinds of, um, this kind of system that I'm describing here, um, um, Python by
[00:17:16.320 --> 00:17:22.560]   default has a different way of doing things, um, so we're just picking, we're just picking
[00:17:22.560 --> 00:17:31.600]   another way, uh, equally valid, uh, no more strange or no less strange. Um, so Max is
[00:17:31.600 --> 00:17:36.920]   asking does transform only apply to tensor? No, not at all. It's just a, it's just a,
[00:17:36.920 --> 00:17:43.360]   so let's go back and have a look. Remember that, um, uh, in our image tuple, the second
[00:17:43.360 --> 00:17:50.000]   part of the tuple is just a one. So when I remove that, you'll see it's being applied
[00:17:50.000 --> 00:17:55.360]   to that int as well. This is just a, this is, it's nothing PyTorch specific or anything
[00:17:55.360 --> 00:18:04.400]   about this. It's just another, um, way of doing, uh, function dispatch in Python. And
[00:18:04.400 --> 00:18:09.160]   so in this case, uh, we're constraining it to this particular type, but yeah, I mean,
[00:18:09.160 --> 00:18:22.240]   I could have instead said, um, class my int. And then let's create a, my int equals my
[00:18:22.240 --> 00:18:34.600]   int one. And then let's say this only applies to a my int. Um, and so now let's not use
[00:18:34.600 --> 00:18:44.320]   a one, but let's use my int. So you can see now the, uh, tensor, the image tensor hasn't
[00:18:44.320 --> 00:18:54.480]   changed, but the int has. So it's just a, yeah, it's just a different way of doing, um, function
[00:18:54.480 --> 00:19:04.040]   dispatch. Um, but it's a way that makes a lot more sense for data processing, um, than
[00:19:04.040 --> 00:19:09.320]   the default way that Python has. And so the nice thing is that like Python is specifically
[00:19:09.320 --> 00:19:15.560]   designed to be able to provide this kind of functionality. So every, all everything we've
[00:19:15.560 --> 00:19:27.680]   written as you'll see, uh, we've written that all, um, uh, okay. Got a few questions here.
[00:19:27.680 --> 00:19:37.280]   Uh, so let's answer these first. Um, you defined MTI, but when did that get passed to norm?
[00:19:37.280 --> 00:19:49.720]   Uh, it got passed to norm. Oh, it got passed to norm. Yeah. That I think. Yes. Okay. So
[00:19:49.720 --> 00:19:59.040]   let's go back and check this. So we're going to do my tensor image. So there it is with
[00:19:59.040 --> 00:20:08.240]   a by tensor image. If we made the tuple non my tensor image, just a regular tensor. Oh,
[00:20:08.240 --> 00:20:22.320]   it's still running. Why is that? Um, right. Oh, I actually changed the type of T image
[00:20:22.320 --> 00:20:51.080]   at some point. I didn't mean to do that. Let's run it again. Okay. Uh, oh, uh, because I'm
[00:20:51.080 --> 00:20:59.440]   actually changing the original way. Uh, that looks like we found a bug. Okay. Let's make
[00:20:59.440 --> 00:21:22.600]   that bug. Okay. So let's do it separately. Yes, I do need a job. Oh, I've got fun. Um,
[00:21:22.600 --> 00:21:32.440]   I shouldn't, but I have a bug. Okay. Let's do it again. There we go. Okay. So T image
[00:21:32.440 --> 00:21:40.920]   is now a tensor. And so, okay. So now when I run this on the tuple, which has a normal
[00:21:40.920 --> 00:21:52.600]   tensor, it doesn't run. Okay. And so then if I change it to the subclass, then it does
[00:21:52.600 --> 00:22:14.400]   run. Um, and oh, and we wanted to make this a bug. Uh, and that should be a tensor array.
[00:22:14.400 --> 00:22:29.060]   Okay. There we go. Um, so that one is just being applied to the image and not to the label.
[00:22:29.060 --> 00:22:39.360]   And so, uh, to answer Max's question, we absolutely could just write in here and put that back
[00:22:39.360 --> 00:22:51.400]   to T here. And now it is being applied. Uh, the reason I was showing you sub classing
[00:22:51.400 --> 00:22:59.000]   is because this is how we add a kind of semantic markers to existing types, um, so that we
[00:22:59.000 --> 00:23:04.360]   can get all the functionality of the existing types, but also say that they represent different
[00:23:04.360 --> 00:23:13.360]   kinds of information. Um, um, so for example, in fast AI vision two, there is a capital
[00:23:13.360 --> 00:23:22.320]   I int, um, which is basically an int that has a, uh, show method. Um, but it knows how
[00:23:22.320 --> 00:23:30.360]   to show itself. Uh, what kind of work do you put in after the pipe? Not sure what you mean,
[00:23:30.360 --> 00:23:38.360]   Caleb. We don't have a pipe. Uh, so feel free to re ask that question if I'm not understanding.
[00:23:38.360 --> 00:23:47.040]   Um, okay. So this is kind of on the right track. But one problem here, though, is that
[00:23:47.040 --> 00:23:52.160]   we don't want to have to pass the main and standard deviation in every time. So it would
[00:23:52.160 --> 00:24:01.440]   be better if we could, uh, grab the main and standard deviation and we could say mean on
[00:24:01.440 --> 00:24:10.400]   our standard deviation equals T image dot mean comma T image dot standard deviation.
[00:24:10.400 --> 00:24:31.320]   Oops. He calls. I'm not sure what I just did. Okay. So now we've got a name and standard
[00:24:31.320 --> 00:24:37.440]   deviation. So what we could do is we could create a function, which is a partial application
[00:24:37.440 --> 00:24:49.920]   of norm over that main and that standard deviation. Uh, so now we could go norm image equals f
[00:24:49.920 --> 00:25:02.400]   of that instance. Um, and then of course, we'll need to put this back to let's just make this
[00:25:02.400 --> 00:25:17.440]   tensor for now, say, there we go. Um, or we could do it over our tuple. Um, we don't need
[00:25:17.440 --> 00:25:23.560]   an F, but more and more. So, and this is kind of more how we would want something like normalization
[00:25:23.560 --> 00:25:30.840]   to work, right? Because, um, we generally want to normalize a bunch of things with the
[00:25:30.840 --> 00:25:37.800]   same main and standard deviation. Um, so this is more kind of the behavior we want, except
[00:25:37.800 --> 00:25:44.880]   there's a few other things we'd want in, um, normalization. Um, one is we generally want
[00:25:44.880 --> 00:25:50.360]   to be able to serialize it. We'd want to be able to save the transform that we're using
[00:25:50.360 --> 00:25:57.080]   to disk, including the main and standard deviation. Um, uh, the second thing we'd want to be able
[00:25:57.080 --> 00:26:03.500]   to do is we want to be able to undo the normalization so that when you get back, uh, an image or
[00:26:03.500 --> 00:26:07.560]   whatever from some model, we'd want to be able to display it, which means we'd have to
[00:26:07.560 --> 00:26:14.080]   be able to denormalize it. So that means that we're going to need proper state. So the easiest
[00:26:14.080 --> 00:26:22.080]   way to get proper state is to create a class. Um, Oh, before I do that, I'll just put something
[00:26:22.080 --> 00:26:26.680]   out. Um, for those of you that haven't spent much time with decorators, this thing where
[00:26:26.680 --> 00:26:31.800]   I went at transform and then I said def norm, um, that's exactly the same as doing this.
[00:26:31.800 --> 00:26:37.560]   I could have just said def say underscore norm equals this and then I could have said
[00:26:37.560 --> 00:26:49.120]   norm equals transform. Um, and that's identical as you can see, because exactly the same answers
[00:26:49.120 --> 00:26:58.440]   that's literally the definition of a decorator in Python is it literally takes this function
[00:26:58.440 --> 00:27:06.960]   and passes it to this function. That's what at does. So anytime you see at something,
[00:27:06.960 --> 00:27:16.640]   you know that, oh, thank you transform underscore norm. Um, you know that that's what it's doing.
[00:27:16.640 --> 00:27:25.800]   Thanks very much for picking up my silly mistakes. Um, okay. So yeah, so it's important to remember
[00:27:25.800 --> 00:27:32.000]   when you see a decorator, it's something you can always run that manually on functions
[00:27:32.000 --> 00:27:40.520]   and um, yeah, okay. Uh, so what I was saying is in order to have state in this, we should
[00:27:40.520 --> 00:27:48.480]   turn it into a class, let's call it capital N norm. And so the way transform works is
[00:27:48.480 --> 00:27:56.680]   you can also inherit from it. And so now if you inherit from it, you have to use special
[00:27:56.680 --> 00:28:05.520]   names and encodes is the name that transforms expect. Uh, and so normally you wouldn't then
[00:28:05.520 --> 00:28:19.600]   pass in those things, but instead good pass it here. And remember, uh, so we could just
[00:28:19.600 --> 00:28:27.920]   go self dot m comma self dot s equals m comma s, or we could use our little convenient thing
[00:28:27.920 --> 00:28:37.640]   we mentioned last time or doesn't really add as much, um, so small number, but just to
[00:28:37.640 --> 00:28:49.720]   show you the different approaches. So that one. Um, so now we need self dot m self dot
[00:28:49.720 --> 00:29:07.160]   s. Um, I still have my, uh, annotation here. So now we will go f equals capital N norm
[00:29:07.160 --> 00:29:24.640]   equals M s equals s. Um, Oh, and of course these states are still, and there we go. So
[00:29:24.640 --> 00:29:44.560]   Oh, and why isn't that working? So it worked on our, this one. That's not on our tuple.
[00:29:44.560 --> 00:30:02.160]   Um, so David asks, why would we inherit versus use decorator? Yeah. So basically, um, yeah,
[00:30:02.160 --> 00:30:06.160]   if you want some state, it's easier, easier to use a class. If you don't, it's probably
[00:30:06.160 --> 00:30:14.000]   easy to use a decorator. Um, that sounds about right to me. Um, okay. So let's try and figure
[00:30:14.000 --> 00:30:26.360]   out why this isn't working. Um, Oh, I think it's because we forgot to call the super pass.
[00:30:26.360 --> 00:30:37.560]   Perhaps. Yes, that's probably why. Thank you. Oh yeah. But we both put it at the same time.
[00:30:37.560 --> 00:30:50.320]   There we go. Okay. Um, so that's an interesting point. Um, it's, it's quite annoying to have
[00:30:50.320 --> 00:30:58.760]   to call supers in it. Um, we actually have something to make that easier, which is borrowed
[00:30:58.760 --> 00:31:06.200]   from the idea that, uh, Python standard libraries, data classes use, which is to have a special
[00:31:06.200 --> 00:31:16.360]   thing called post in it that runs after you're in it. Um, uh, okay, Juvie and I will come
[00:31:16.360 --> 00:31:33.560]   back to that question. It's a very good one. Um, um, so we actually have, yes, if we inherit
[00:31:33.560 --> 00:31:37.920]   from base object, we're going to get a meta class, which we'll learn more about later called
[00:31:37.920 --> 00:31:44.700]   pre post in it. Meth meta, which allows us to have a pre in it and a post in it. And
[00:31:44.700 --> 00:32:07.340]   they may already be using that. Let's have a look. Um, transforms. Transform. This isn't
[00:32:07.340 --> 00:32:23.840]   a trick from meta. Yeah. Okay. So we'll have to come back to this. This isn't a great opportunity
[00:32:23.840 --> 00:32:34.080]   to use this one. So must be impaired. Um, let's answer some questions first. Uh, so
[00:32:34.080 --> 00:32:42.920]   can you specify multiple types? Um, so as max said, it would be nice if we could use
[00:32:42.920 --> 00:32:49.680]   union. I can't remember if I actually currently have that working. The problem is that Python's
[00:32:49.680 --> 00:32:59.900]   typing system, um, isn't at all well designed for using at runtime. Um, and last time I
[00:32:59.900 --> 00:33:09.720]   checked, I don't think I had this working. Let's see. No, there's this really annoying
[00:33:09.720 --> 00:33:24.760]   check that they do. Um, so basically if you want this, um, then you have to go like this.
[00:33:24.760 --> 00:33:41.780]   Um, probably actually probably the easiest way would be to go underscore norm, get rid
[00:33:41.780 --> 00:33:52.220]   of that there. And then in codes here would be return self underscore norm X and we'll
[00:33:52.220 --> 00:33:57.380]   do the same here. I think that's what you have to do at the moment. So have it twice
[00:33:57.380 --> 00:34:03.260]   both calling the same thing with the two different types. Um, if anybody can figure out how to
[00:34:03.260 --> 00:34:08.220]   get union working, that would be great because this is slightly more clunky than it should
[00:34:08.220 --> 00:34:25.420]   be. Um, so if you need multiple different encodes for different types, you absolutely
[00:34:25.420 --> 00:34:35.980]   don't need to use, um, class. Um, and, um, so just to confirm, you know, again, you can
[00:34:35.980 --> 00:34:58.580]   do it with a class, uh, like so, um, so if that, uh, you can also do it like this. Um,
[00:34:58.580 --> 00:35:10.380]   well, actually, um, yeah, there's a few ways you can do it, but one way is you partially
[00:35:10.380 --> 00:35:18.340]   use it. You partially use a class, uh, you define it like this, um, but you just write
[00:35:18.340 --> 00:35:27.620]   pass here. And then what you do is you write in codes here and you actually use this as
[00:35:27.620 --> 00:35:40.100]   a decorator, um, like so, and then you can do this a bunch of times like so. Um, and
[00:35:40.100 --> 00:35:49.940]   this is another way to do it. So we now have multiple versions of encodes, um, uh, in separate
[00:35:49.940 --> 00:35:56.180]   places. So it's still defining a class once, but it's an empty class. Um, but then you
[00:35:56.180 --> 00:35:59.700]   can put the encodes in these different places. This is actually, we'll see more about using
[00:35:59.700 --> 00:36:06.100]   this later, but this is actually super important because, um, let's say the class was, well,
[00:36:06.100 --> 00:36:09.540]   actually norms, norms are great class. So let's say you've got a normalized class and there's
[00:36:09.540 --> 00:36:15.420]   somewhere where you, uh, defined it for your, you know, answer image us. Um, but then later
[00:36:15.420 --> 00:36:25.420]   on you create a new data type for audio, say, um, you might have an audio tensor and then
[00:36:25.420 --> 00:36:32.940]   that might have some different implementation where, I don't know, maybe you have to, uh,
[00:36:32.940 --> 00:36:38.900]   transpose something or you have to add a non somewhere or whatever. Um, so the nice thing
[00:36:38.900 --> 00:36:43.220]   is this separate implementation can mean a totally different file, totally different
[00:36:43.220 --> 00:36:49.020]   module, totally different project, and it will add the functionality to normalize audio
[00:36:49.020 --> 00:36:56.580]   tensors, um, to the library. Um, so this is one of the really, uh, helpful things about
[00:36:56.580 --> 00:37:01.980]   this, uh, about this style. And so you'll see, yeah, the data augmentation in particular,
[00:37:01.980 --> 00:37:10.540]   this is great. Anybody can add data augmentation of, um, their own types, uh, to the library
[00:37:10.540 --> 00:37:18.220]   with just one line of code. Well, two lines of code, one for the decorator. Um, oh, great
[00:37:18.220 --> 00:37:25.140]   question, Juvian. So yes, um, the, the way that, uh, encodes works or the way that in
[00:37:25.140 --> 00:37:40.700]   general, um, these, uh, this dispatch system works is, um, let's check it out. Um, let's
[00:37:40.700 --> 00:37:58.740]   put here, print a, print b, and this is a tensor and this is a tensor image. Um, so if
[00:37:58.740 --> 00:38:14.140]   we call it with MTI, it prints b. Why is it printing b? Because my tensor image is a more,
[00:38:14.140 --> 00:38:20.740]   um, is further down the inheritance hierarchy. So that's the more, uh, what you would call
[00:38:20.740 --> 00:38:27.900]   Juvian closest match, a more specific, uh, match. Um, so it uses the most, um, precise
[00:38:27.900 --> 00:38:38.900]   type that it can. Um, and this does also work for, um, uh, kind of generic types as well.
[00:38:38.900 --> 00:38:52.580]   So we could say type being dot, somewhere there's a class for this. Ah, what's it called?
[00:38:52.580 --> 00:39:01.500]   There you go. Just a little bit slowly. So Python standard library comes with various
[00:39:01.500 --> 00:39:07.260]   type hierarchy. So we could say numbers dot integral, for instance. Uh, and then we could
[00:39:07.260 --> 00:39:26.060]   say f3, as you can see, uh, where else if we had one that was on int. And again, it's
[00:39:26.060 --> 00:39:46.060]   going to call the most specialized version. Um, okay. So lots of good questions. All right.
[00:39:46.060 --> 00:40:15.980]   Let me check this out later. Thank you for the tip. Um, all right.
[00:40:15.980 --> 00:40:21.860]   Um, the next thing that we want to be able to do is we need to be able to go in the opposite
[00:40:21.860 --> 00:40:36.220]   direction. Um, so to go in the opposite direction, they create something called decodes. And so
[00:40:36.220 --> 00:40:53.140]   this would be X plus self dot S. Sorry, self times self dot S plus M. Um, and so let's
[00:40:53.140 --> 00:41:05.300]   check normalized image. And so to run decodes, you have to go F dot decode. And then we would
[00:41:05.300 --> 00:41:14.980]   say an image. And there it is. Um, and this works for tuples and everything exactly the
[00:41:14.980 --> 00:41:27.500]   same way. So if we go, uh, F of our tuple, and then we could say F dot decode F of our
[00:41:27.500 --> 00:41:34.420]   tuple. Yep. We've gone back to where we were for the whole couple, just to confirm that
[00:41:34.420 --> 00:41:41.060]   this did impact. Oh, that's not working. Oh, because this should be an MTI. This we're
[00:41:41.060 --> 00:41:55.020]   now saying this image type. There we go. And decode. There we go. Okay. So, um, so that
[00:41:55.020 --> 00:42:07.320]   is, um, some of the key pieces around how this dispatch works and why it works this
[00:42:07.320 --> 00:42:17.380]   way. Um, but of course, it's not enough to have just one transform. Um, in practice,
[00:42:17.380 --> 00:42:24.900]   we need to, um, not only normalize, but we need to be able to do other things as well.
[00:42:24.900 --> 00:42:33.620]   So for example, maybe we'll have something, uh, that flips. Um, and so generally things
[00:42:33.620 --> 00:42:38.100]   that flip, we don't need to unflip because data augmentation, we want to see it even,
[00:42:38.100 --> 00:42:43.620]   um, later on, we don't generally want to decode data augmentation. So we could probably just
[00:42:43.620 --> 00:42:56.980]   use a function for that. Um, so it's going to take one of our image tenses and it's gonna
[00:42:56.980 --> 00:43:13.720]   return porch.flip, uh, our X and we'll do it on the, uh, zero, the zeroth axis, uh, no,
[00:43:13.720 --> 00:43:24.660]   the fifth axis. Uh, if random random is greater than 0.5, otherwise we'll leave it alone. So
[00:43:24.660 --> 00:43:30.400]   that would be an example of some data augmentation we could do. Uh, so how would we combine those
[00:43:30.400 --> 00:43:42.220]   two things together? Um, so one simple approach would be, we could say, um, uh, trans, uh,
[00:43:42.220 --> 00:43:48.020]   transformed image, uh, equals, uh, in fact, let's do it for the whole couple. So transform
[00:43:48.020 --> 00:43:57.300]   tuple, all right, tuple is image tuple. So transform tuple equals, um, let's say first
[00:43:57.300 --> 00:44:13.900]   we normalize, which was f of our image and then we flip it. Um, actually that won't quite
[00:44:13.900 --> 00:44:24.940]   work because, um, um, because we can't apply it to couples, so we could tell it that this
[00:44:24.940 --> 00:44:32.140]   is a transform. And so now that works, which is good. Um, it's kind of annoying having
[00:44:32.140 --> 00:44:37.180]   to say everything's a transform and it's also kind of annoying because this kind of, um,
[00:44:37.180 --> 00:44:42.740]   uh, normalize and then flip and then do something else and then do something else. These kinds
[00:44:42.740 --> 00:44:48.360]   of pipelines are things we often want to define once and use multiple times. Um, one way could
[00:44:48.360 --> 00:44:57.500]   do that is we could say, uh, pipeline, uh, equals compose. Uh, so compose is just a standard,
[00:44:57.500 --> 00:45:03.940]   um, functional and mathematical thing that, um, runs a bunch of functions in order. So
[00:45:03.940 --> 00:45:10.100]   we could first of all run our normalization function and then our flip image function.
[00:45:10.100 --> 00:45:17.940]   So now we could just go pipe. Uh, so that, that works. Um, probably is that composed
[00:45:17.940 --> 00:45:33.180]   doesn't know anything about, um, transforms. So if we now wanted to go, um, to decode it,
[00:45:33.180 --> 00:45:41.260]   we can't. So we would have to go, um, you know, the image dot decode, uh, which actually isn't
[00:45:41.260 --> 00:45:44.620]   going to do anything because we don't have one, but we don't necessarily know which ones
[00:45:44.620 --> 00:45:50.680]   have one, which don't, you'd have to do something like this. Um, so it would be great if we could
[00:45:50.680 --> 00:45:57.660]   compose things in a way that know how to compose, um, decoding as well as encoding. Um, so to
[00:45:57.660 --> 00:46:05.660]   do that, you just change from compose to pipeline and it's going to do exactly the same thing.
[00:46:05.660 --> 00:46:17.440]   But now we can say pipe.decode and it's done. Um, so as you can see, this is kind of idea
[00:46:17.440 --> 00:46:26.180]   of like trying to get the pieces all to work together in this data transformation domain
