
[00:00:00.040 --> 00:00:09.260]   alkal
[00:15:28.440 --> 00:15:28.440]   I feel like it's very psychologically healthy to have those long-term anchoring points.
[00:15:28.440 --> 00:15:28.440]   I feel like it's very psychologically healthy to have those long-term anchoring points.
[00:15:28.480 --> 00:15:58.460]  ,
[00:15:58.460 --> 00:15:58.460]   I feel like it's very psychologically healthy to have those long-term anchoring points.
[00:15:58.460 --> 00:15:58.460]   I feel like it's very psychologically healthy to have those long-term anchoring points.
[00:15:58.460 --> 00:15:58.460]   I feel like it's very psychologically healthy to have those long-term anchoring points.
[00:15:58.460 --> 00:15:58.460]   I feel like it's very psychologically healthy to have those long-term anchoring points.
[00:15:58.460 --> 00:15:58.460]   I feel like it's very psychologically healthy to have those long-term anchoring points.
[00:15:58.460 --> 00:15:58.460]   I feel like it's very psychologically healthy to have those long-term anchoring points.
[00:15:58.460 --> 00:15:58.460]   I feel like it's very psychologically healthy to have those long-term anchoring points.
[00:15:58.480 --> 00:16:28.480]   I feel like it's very psychologically healthy to have those long-term anchoring points.
[00:16:28.480 --> 00:16:28.480]   I feel like it's very psychologically healthy to have those long-term anchoring points.
[00:16:28.480 --> 00:16:28.480]   I feel like it's very psychologically healthy to have those long-term anchoring points.
[00:16:28.480 --> 00:16:28.480]   I feel like it's very psychologically healthy to have those long-term anchoring points.
[00:16:28.480 --> 00:16:28.480]   I feel like it's very psychologically healthy to have those long-term anchoring points.
[00:16:28.480 --> 00:16:28.480]   I feel like it's very psychologically healthy to have those long-term anchoring points.
[00:16:28.480 --> 00:16:28.480]   I feel like it's very psychologically healthy to have those long-term anchoring points.
[00:16:28.480 --> 00:16:28.480]   I feel like it's very psychologically healthy to have those long-term anchoring points.
[00:16:28.480 --> 00:16:28.480]   I feel like it's very psychologically healthy to have those long-term anchoring points.
[00:16:28.480 --> 00:16:28.480]   I feel like it's very psychologically healthy to have those long-term anchoring points.
[00:16:28.480 --> 00:16:58.500]  ,
[00:16:58.500 --> 00:16:58.500]   I feel like it's very psychologically healthy to have those long-term anchoring points.
[00:16:58.500 --> 00:16:58.500]   I feel like it's very psychologically healthy to have those long-term anchoring points.
[00:16:58.500 --> 00:16:58.500]   I feel like it's very psychologically healthy to have those long-term anchoring points.
[00:16:58.500 --> 00:16:58.500]   I feel like it's very psychologically healthy to have those long-term anchoring points.
[00:16:58.500 --> 00:16:58.500]   I feel like it's very psychologically healthy to have those long-term anchoring points.
[00:16:58.500 --> 00:16:58.500]   I feel like it's very psychologically healthy to have those long-term anchoring points.
[00:16:58.500 --> 00:16:58.500]   I feel like it's very psychologically healthy to have those long-term anchoring points.
[00:16:58.520 --> 00:17:28.520]   I feel like it's very psychologically healthy to have those long-term anchoring points.
[00:17:28.520 --> 00:17:28.520]   I feel like it's very psychologically healthy to have those long-term anchoring points.
[00:17:28.520 --> 00:17:28.520]   I feel like it's very psychologically healthy to have those long-term anchoring points.
[00:17:28.520 --> 00:17:28.520]   I feel like it's very psychologically healthy to have those long-term anchoring points.
[00:17:28.520 --> 00:17:28.520]   I feel like it's very psychologically healthy to have those long-term anchoring points.
[00:17:28.520 --> 00:17:28.520]   I feel like it's very psychologically healthy to have those long-term anchoring points.
[00:17:28.520 --> 00:17:28.520]   I feel like it's very psychologically healthy to have those long-term anchoring points.
[00:17:28.520 --> 00:17:28.520]   I feel like it's very psychologically healthy to have those long-term anchoring points.
[00:17:28.520 --> 00:17:28.520]   I feel like it's very psychologically healthy to have those long-term anchoring points.
[00:17:28.520 --> 00:17:28.520]   I feel like it's very psychologically healthy to have those long-term anchoring points.
[00:17:28.520 --> 00:17:58.540]   I feel like it's very psychologically healthy to have those long-term anchoring points.
[00:17:58.540 --> 00:17:58.540]   I feel like it's very psychologically healthy to have those long-term anchoring points.
[00:17:58.540 --> 00:17:58.540]   I feel like it's very psychologically healthy to have those long-term anchoring points.
[00:17:58.540 --> 00:17:58.540]   I feel like it's very psychologically healthy to have those long-term anchoring points.
[00:17:58.540 --> 00:17:58.540]   I feel like it's very psychologically healthy to have those long-term anchoring points.
[00:17:58.540 --> 00:17:58.540]   I feel like it's very psychologically healthy to have those long-term anchoring points.
[00:17:58.540 --> 00:17:58.540]   I feel like it's very psychologically healthy to have those long-term anchoring points.
[00:17:58.560 --> 00:18:28.560]   I feel like it's very psychologically healthy to have those long-term anchoring points.
[00:18:28.560 --> 00:18:28.560]   I feel like it's very psychologically healthy to have those long-term anchoring points.
[00:18:28.560 --> 00:18:28.560]   I feel like it's very psychologically healthy to have those long-term anchoring points.
[00:18:28.560 --> 00:18:28.560]   I feel like it's very psychologically healthy to have those long-term anchoring points.
[00:18:28.560 --> 00:18:28.560]   I feel like it's very psychologically healthy to have those long-term anchoring points.
[00:18:28.560 --> 00:18:28.560]   I feel like it's very psychologically healthy to have those long-term anchoring points.
[00:18:28.560 --> 00:18:28.560]   I feel like it's very psychologically healthy to have those long-term anchoring points.
[00:18:28.560 --> 00:18:28.560]   I feel like it's very psychologically healthy to have those long-term anchoring points.
[00:18:28.560 --> 00:18:28.560]   I feel like it's very psychologically healthy to have those long-term anchoring points.
[00:18:28.560 --> 00:18:28.560]   I feel like it's very psychologically healthy to have those long-term anchoring points.
[00:18:28.600 --> 00:18:58.580]  ,
[00:18:58.580 --> 00:18:58.580]   I feel like it's very psychologically healthy to have those long-term anchoring points.
[00:18:58.580 --> 00:18:58.580]   I feel like it's very psychologically healthy to have those long-term anchoring points.
[00:18:58.580 --> 00:18:58.580]   I feel like it's very psychologically healthy to have those long-term anchoring points.
[00:18:58.580 --> 00:18:58.580]   I feel like it's very psychologically healthy to have those long-term anchoring points.
[00:18:58.580 --> 00:18:58.580]   I feel like it's very psychologically healthy to have those long-term anchoring points.
[00:18:58.580 --> 00:18:58.580]   I feel like it's very psychologically healthy to have those long-term anchoring points.
[00:18:58.580 --> 00:18:58.580]   I feel like it's very psychologically healthy to have those long-term anchoring points.
[00:18:58.600 --> 00:19:28.600]   I feel like it's very psychologically healthy to have those long-term anchoring points.
[00:19:28.600 --> 00:19:28.600]   I feel like it's very psychologically healthy to have those long-term anchoring points.
[00:19:28.600 --> 00:19:28.600]   I feel like it's very psychologically healthy to have those long-term anchoring points.
[00:19:28.600 --> 00:19:28.600]   I feel like it's very psychologically healthy to have those long-term anchoring points.
[00:19:28.600 --> 00:19:28.600]   I feel like it's very psychologically healthy to have those long-term anchoring points.
[00:19:28.600 --> 00:19:28.600]   I feel like it's very psychologically healthy to have those long-term anchoring points.
[00:19:28.600 --> 00:19:28.600]   I feel like it's very psychologically healthy to have those long-term anchoring points.
[00:19:28.600 --> 00:19:28.600]   I feel like it's very psychologically healthy to have those long-term anchoring points.
[00:19:28.600 --> 00:19:28.600]   I feel like it's very psychologically healthy to have those long-term anchoring points.
[00:19:28.600 --> 00:19:28.600]   I feel like it's very psychologically healthy to have those long-term anchoring points.
[00:19:28.600 --> 00:19:58.620]  ,
[00:19:58.620 --> 00:19:58.620]   and I feel like it's very psychologically healthy to have those long-term anchoring points.
[00:19:58.620 --> 00:19:58.620]   and I feel like it's very psychologically healthy to have those long-term anchoring points.
[00:19:58.620 --> 00:19:58.620]   and I feel like it's very psychologically healthy to have those long-term anchoring points.
[00:19:58.620 --> 00:19:58.620]   and I feel like it's very psychologically healthy to have those long-term anchoring points.
[00:19:58.620 --> 00:19:58.620]   and I feel like it's very psychologically healthy to have those long-term anchoring points.
[00:19:58.640 --> 00:20:28.640]   The obvious example of that,
[00:20:28.640 --> 00:20:28.640]   The obvious example of that,
[00:20:28.640 --> 00:20:28.640]   The obvious example of that,
[00:20:28.640 --> 00:20:28.640]   The obvious example of that,
[00:20:28.640 --> 00:20:28.640]   The obvious example of that,
[00:20:28.640 --> 00:20:28.640]   The obvious example of that,
[00:20:28.640 --> 00:20:28.640]   The obvious example of that,
[00:20:28.640 --> 00:20:28.640]   The obvious example of that,
[00:20:28.640 --> 00:20:28.640]   The obvious example of that,
[00:20:28.640 --> 00:20:28.640]   The obvious example of that,
[00:20:28.640 --> 00:20:28.640]   The obvious example of that, the Jewish Bar Mitzvah Bat Mitzvah was not always just a religious ceremony with no actual meaning. It was a rite of adulthood, a rite of passage. You can find some tribes of Indians who would have rites of passage into manhood at 13 years old. And then if you think about what happens physiologically for a child in their teens, in the US we call it adolescence, but it's a term that's denoting major changes and those changes are not just the changes that are being made in the world.
[00:20:58.660 --> 00:20:58.660]   It's a rite of passage into adulthood where I want to treat them in many ways as adults starting from about those early teenage years. Now you kind of got to work around some of the restrictions in the modern society that can't drive. It's a little easier today in a world of smartphone apps and probably by the time I get to the point where I'm going to be able to drive.
[00:20:58.680 --> 00:21:28.680]   It's a little easier today in a world of smartphone apps and probably by the time I get to the point where I'm going to be able to drive.
[00:21:28.680 --> 00:21:28.680]   It's a little easier today in a world of smartphone apps and probably by the time I get to the point where I'm going to be able to drive.
[00:21:28.680 --> 00:21:28.680]   It's a little easier today in a world of smartphone apps and probably by the time I get to the point where I'm going to be able to drive.
[00:21:28.680 --> 00:21:28.680]   It's a little easier today in a world of smartphone apps and probably by the time I get to the point where I'm going to be able to drive.
[00:21:28.680 --> 00:21:28.680]   It's a little easier today in a world of smartphone apps and probably by the time I get to the point where I'm going to be able to drive.
[00:21:28.680 --> 00:21:28.680]   It's a little easier today in a world of smartphone apps and probably by the time I get to the point where I'm going to be able to drive.
[00:21:28.720 --> 00:21:58.700]  ,
[00:21:58.700 --> 00:21:58.700]   I'm going to be able to drive.
[00:21:58.700 --> 00:21:58.700]   It's a little easier today in a world of smartphone apps and probably by the time I get to the point where I'm going to drive.
[00:21:58.700 --> 00:21:58.700]   It's a little easier today in a world of smartphone apps and probably by the time I get to the point where I'm going to drive.
[00:21:58.700 --> 00:21:58.700]   It's a little easier today in a world of smartphone apps and probably by the time I get to the point where I'm going to drive.
[00:21:58.700 --> 00:21:58.700]   It's a little easier today in a world of smartphone apps and probably by the time I get to the point where I'm going to drive.
[00:21:58.700 --> 00:21:58.700]   It's a little easier today in a world of smartphone apps and probably by the time I'm going to drive.
[00:21:58.700 --> 00:21:58.700]   It's a little easier today in a world of smartphone apps and probably by the time I'm going to drive.
[00:21:58.700 --> 00:21:58.700]   It's a little easier today in a world of smartphone apps and probably by the time I'm going to drive.
[00:21:58.740 --> 00:22:09.560]   heart
[00:22:09.560 --> 00:22:22.780]   versa the call I I My Marcel
[00:22:22.780 --> 00:22:26.220]  ,
[00:23:22.920 --> 00:23:32.560]   even
[00:23:32.560 --> 00:23:51.140]   vie offer. I have,,,,,
[00:24:02.200 --> 00:24:22.920]   a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[00:24:22.920 --> 00:24:22.920]   I want to help my children to, to work a lot during their, their young years to develop businesses. I want them to build the skill and the practice of, of doing something.
[00:24:22.920 --> 00:24:22.920]   I want them to build the skill and the practice of, of doing something.
[00:24:22.920 --> 00:24:22.920]   I want them to build the skill and the practice of, of doing something.
[00:24:22.920 --> 00:24:22.920]   I want them to build the skill and the practice of, of doing something.
[00:24:22.920 --> 00:24:22.920]   I want them to build the skill and the practice of, of doing something.
[00:24:22.920 --> 00:24:22.920]   I want them to build the skill and the practice of, of doing something.
[00:24:22.920 --> 00:24:22.920]   I want them to build the skill and the practice of, of doing something.
[00:24:22.920 --> 00:24:22.920]   I want them to build the skill and the practice of, of doing something.
[00:24:22.940 --> 00:24:52.940]   I want them to build the skill and the practice of, of doing something.
[00:24:52.940 --> 00:24:52.940]   I want them to build the skill and the practice of, of doing something.
[00:24:52.940 --> 00:24:52.940]   I want them to build the skill and the practice of, of doing something.
[00:24:52.940 --> 00:24:52.940]   I want them to build the skill and the practice of, of doing something.
[00:24:52.940 --> 00:24:52.940]   I want them to build the skill and the practice of, of doing something.
[00:24:52.940 --> 00:24:52.940]   I want them to build the skill and the practice of, of doing something.
[00:24:52.940 --> 00:24:52.940]   I want them to build the skill and the practice of, of doing something.
[00:24:52.940 --> 00:24:52.940]   I want them to build the skill and the practice of, of doing something.
[00:24:52.940 --> 00:24:52.940]   I want them to build the skill and the practice of, of doing something.
[00:24:52.960 --> 00:25:22.960]   I want them to build the skill and the practice of, of doing something.
[00:25:22.960 --> 00:25:22.960]   I want them to build the skill and the practice of, of doing something.
[00:25:22.960 --> 00:25:22.960]   I want them to build the skill and the practice of, of doing something.
[00:25:22.960 --> 00:25:22.960]   I want them to build the skill and the practice of, of doing something.
[00:25:22.960 --> 00:25:22.960]   I want them to build the skill and the practice of, of doing something.
[00:25:22.960 --> 00:25:22.960]   I want them to build the skill and the practice of, of doing something.
[00:25:22.960 --> 00:25:22.960]   I want them to build the skill and the practice of, of doing something.
[00:25:22.960 --> 00:25:22.960]   I want them to build the skill and the practice of, of doing something.
[00:25:22.960 --> 00:25:22.960]   I want them to build the skill and the practice of, of doing something.
[00:25:22.960 --> 00:25:22.960]   I want them to build the skill and the practice of, of doing something.
[00:25:22.960 --> 00:25:22.960]   I want them to build the skill and the practice of, of doing something.
[00:25:22.960 --> 00:25:22.960]   I want them to build the skill and the practice of, of doing something.
[00:25:23.000 --> 00:25:52.980]  , of doing something.
[00:25:52.980 --> 00:25:52.980]   I want them to build the skill and the practice of, of doing something.
[00:25:52.980 --> 00:25:52.980]   I want them to build the skill and the practice of, of doing something.
[00:25:52.980 --> 00:25:52.980]   I want them to build the skill and the practice of, of doing something.
[00:25:52.980 --> 00:25:52.980]   I want them to build the skill and the practice of, of doing something.
[00:25:52.980 --> 00:25:52.980]   I want them to build the skill and the practice of, of doing something.
[00:25:52.980 --> 00:25:52.980]   I want them to build the skill and the practice of, of doing something.
[00:25:53.000 --> 00:26:23.000]   I want them to build the skill and the practice of, of doing something.
[00:26:23.000 --> 00:26:23.000]   I want them to build the skill and the practice of, of doing something.
[00:26:23.000 --> 00:26:23.000]   I want them to build the skill and the practice of, of doing something.
[00:26:23.000 --> 00:26:23.000]   I want them to build the skill and the practice of, of doing something.
[00:26:23.000 --> 00:26:23.000]   I want them to build the skill and the practice of, of doing something.
[00:26:23.000 --> 00:26:23.000]   I want them to build the skill and the practice of, of doing something.
[00:26:23.000 --> 00:26:23.000]   I want them to build the skill and the practice of, of doing something.
[00:26:23.000 --> 00:26:23.000]   I want them to build the skill and the practice of, of doing something.
[00:26:23.000 --> 00:26:23.000]   I want them to build the skill and the practice of, of doing something.
[00:26:23.000 --> 00:26:23.000]   I want them to build the skill and the practice of, of doing something.
[00:26:23.000 --> 00:26:23.000]   I want them to build the skill and the practice of, of doing something.
[00:26:23.000 --> 00:26:23.000]   I want them to build the skill and the practice of, of doing something.
[00:26:23.020 --> 00:26:53.020]   I want them to build the skill and the practice of, of doing something.
[00:26:53.020 --> 00:26:53.020]   I want them to build the skill and the practice of, of doing something.
[00:26:53.020 --> 00:26:53.020]   I want them to build the skill and the practice of, of doing something.
[00:26:53.020 --> 00:26:53.020]   I want them to build the skill and the practice of, of doing something.
[00:26:53.020 --> 00:26:53.020]   I want them to build the skill and the practice of, of doing something.
[00:26:53.020 --> 00:26:53.020]   I want them to build the skill and the practice of, of doing something.
[00:26:53.020 --> 00:26:53.020]   I want them to build the skill and the practice of, of doing something.
[00:26:53.020 --> 00:26:53.020]   I want them to build the skill and the practice of, of doing something.
[00:26:53.020 --> 00:26:53.020]   I want them to build the skill and the practice of, of doing something.
[00:26:53.020 --> 00:26:53.020]   I want them to build the skill and the practice of, of doing something.
[00:26:53.020 --> 00:26:53.020]   I want them to build the skill and the practice of, of doing something.
[00:26:53.040 --> 00:27:23.040]  , of doing something.
[00:27:23.040 --> 00:27:23.040]   I want them to build the skill and the practice of, of doing something.
[00:27:23.040 --> 00:27:23.040]   I want them to build the skill and the practice of, of doing something.
[00:27:23.040 --> 00:27:23.040]   I want them to build the skill and the practice of, of doing something.
[00:27:23.040 --> 00:27:23.040]   I want them to build the skill and the practice of, of doing something.
[00:27:23.040 --> 00:27:23.040]   I want them to build the skill and the practice of, of doing something.
[00:27:23.040 --> 00:27:23.040]   I want them to build the skill and the practice of, of doing something.
[00:27:23.040 --> 00:27:23.040]   I want them to build the skill and the practice of, of doing something.
[00:27:23.040 --> 00:27:23.040]   I want them to build the skill and the practice of, of doing something.
[00:27:23.040 --> 00:27:53.060]   I want them to build the skill and the practice of, of doing something.
[00:27:53.060 --> 00:27:53.060]   I want them to build the skill and the practice of, of doing something.
[00:27:53.060 --> 00:27:53.060]   I want them to build the skill and the practice of, of doing something.
[00:27:53.060 --> 00:27:53.060]   I want them to build the skill and the practice of, of doing something.
[00:27:53.060 --> 00:27:53.060]   I want them to build the skill and the practice of, of doing something.
[00:27:53.060 --> 00:27:53.060]   I want them to build the skill and the practice of, of doing something.
[00:27:53.060 --> 00:27:53.060]   I want them to build the skill and the practice of, of doing something.
[00:27:53.060 --> 00:27:53.060]   I want them to build the skill and the practice of, of doing something.
[00:27:53.060 --> 00:27:53.060]   I want them to build the skill and the practice of, of doing something.
[00:27:53.060 --> 00:27:53.060]   I want them to build the skill and the practice of, of doing something.
[00:27:53.080 --> 00:28:23.080]   I want them to build the skill and the practice of, of doing something.
[00:28:23.080 --> 00:28:23.080]   I want them to build the skill and the practice of, of doing something.
[00:28:23.080 --> 00:28:23.080]   I want them to build the skill and the practice of, of doing something.
[00:28:23.080 --> 00:28:23.080]   I want them to build the skill and the practice of, of doing something.
[00:28:23.080 --> 00:28:23.080]   I want them to build the skill and the practice of, of doing something.
[00:28:23.080 --> 00:28:23.080]   I want them to build the skill and the practice of, of doing something.
[00:28:23.080 --> 00:28:23.080]   I want them to build the skill and the practice of, of doing something.
[00:28:23.080 --> 00:28:23.080]   I want them to build the skill and the practice of, of doing something.
[00:28:23.080 --> 00:28:23.080]   I want them to build the skill and the practice of, of doing something.
[00:28:23.080 --> 00:28:23.080]   I want them to build the skill and the practice of, of doing something.
[00:28:23.080 --> 00:28:23.080]   I want them to build the skill and the practice of, of doing something.
[00:28:23.080 --> 00:28:23.080]   I want them to build the skill and the practice of, of doing something.
[00:28:23.080 --> 00:28:53.100]   I want them to build the skill and the practice of, of doing something.
[00:28:53.100 --> 00:28:53.100]   I want them to build the skill and the practice of, of doing something.
[00:28:53.100 --> 00:28:53.100]   I want them to build the skill and the practice of, of doing something.
[00:28:53.100 --> 00:28:53.100]   I want them to build the skill and the practice of, of doing something.
[00:28:53.100 --> 00:28:53.100]   I want them to build the skill and the practice of, of doing something.
[00:28:53.100 --> 00:28:53.100]   I want them to build the skill and the practice of, of doing something.
[00:28:53.100 --> 00:28:53.100]   I want them to build the skill and the practice of, of doing something.
[00:28:53.120 --> 00:29:23.120]   I want them to build the skill and the practice of, of doing something.
[00:29:23.120 --> 00:29:23.120]   I want them to build the skill and the practice of, of doing something.
[00:29:23.120 --> 00:29:23.120]   I want them to build the skill and the practice of, of doing something.
[00:29:23.120 --> 00:29:23.120]   I want them to build the skill and the practice of, of doing something.
[00:29:23.120 --> 00:29:23.120]   I want them to build the skill and the practice of, of doing something.
[00:29:23.120 --> 00:29:23.120]   I want them to build the skill and the practice of, of doing something.
[00:29:23.120 --> 00:29:23.120]   I want them to build the skill and the practice of, of doing something.
[00:29:23.120 --> 00:29:23.120]   I want them to build the skill and the practice of, of doing something.
[00:29:23.120 --> 00:29:23.120]   I want them to build the skill and the practice of, of doing something.
