
[00:00:00.000 --> 00:00:02.040]   And we are live.
[00:02:41.880 --> 00:02:44.960]   to track something that people do think quite a bit about.
[00:02:44.960 --> 00:02:46.800]   Where are the outliers in my dataset?
[00:02:46.800 --> 00:02:49.860]   Where are the examples my network's not learning,
[00:02:49.860 --> 00:02:50.900]   you know, not learning about?
[00:02:50.900 --> 00:02:52.160]   Which ones are they?
[00:02:52.160 --> 00:02:54.140]   So I'm really excited to have Chirag on
[00:02:54.140 --> 00:02:56.620]   to talk about that work.
[00:02:56.620 --> 00:03:01.160]   - Awesome.
[00:03:01.160 --> 00:03:02.620]   Thanks for the introduction, Charles.
[00:03:02.620 --> 00:03:04.900]   I think that was a better introduction
[00:03:04.900 --> 00:03:06.800]   to the work that I could have come up with.
[00:03:06.800 --> 00:03:10.800]   So I'm gonna steal that from you.
[00:03:10.800 --> 00:03:13.820]   So, okay.
[00:03:13.820 --> 00:03:15.220]   Can I share my screen now?
[00:03:16.460 --> 00:03:17.680]   - Yeah, go ahead.
[00:03:17.680 --> 00:03:18.520]   - Awesome.
[00:03:18.520 --> 00:03:21.980]   So it looks good.
[00:03:21.980 --> 00:03:25.780]   Awesome.
[00:03:25.780 --> 00:03:27.800]   So yeah, hello to everyone
[00:03:27.800 --> 00:03:30.320]   who are attending today's WNB Salon.
[00:03:30.320 --> 00:03:33.080]   I would start by thanking Charles
[00:03:33.080 --> 00:03:34.820]   for inviting me to the salon today.
[00:03:34.820 --> 00:03:38.140]   In today's talk, I'll be basically discussing
[00:03:38.140 --> 00:03:40.680]   about the work with my fantastic collaborator,
[00:03:40.680 --> 00:03:42.160]   Sarah Hooker from Google,
[00:03:42.160 --> 00:03:44.520]   about estimating example difficulties
[00:03:44.520 --> 00:03:46.200]   using variance of gradients.
[00:03:46.840 --> 00:03:51.840]   So I guess most, before going to the depth of the work,
[00:03:51.840 --> 00:03:55.400]   I would like to just provide some basic motivations
[00:03:55.400 --> 00:03:57.240]   for studying the relative importance
[00:03:57.240 --> 00:04:00.600]   between different samples during the training process.
[00:04:00.600 --> 00:04:04.280]   So understanding individual samples importance
[00:04:04.280 --> 00:04:05.920]   is very important,
[00:04:05.920 --> 00:04:08.480]   given that modern data sets are large,
[00:04:08.480 --> 00:04:10.620]   with sometimes data sets like ImageNet,
[00:04:10.620 --> 00:04:13.760]   they comprise of more than million of images.
[00:04:13.760 --> 00:04:16.480]   So this is not feasible for an individual
[00:04:16.480 --> 00:04:19.560]   to look at individual explanation of each data point
[00:04:19.560 --> 00:04:20.960]   in this huge data sets.
[00:04:20.960 --> 00:04:25.000]   Moreover, it is also critical
[00:04:25.000 --> 00:04:29.400]   to understand the relative importance of individual classes
[00:04:29.400 --> 00:04:32.440]   and inspect images that the model finds easier
[00:04:32.440 --> 00:04:33.460]   or more challenging.
[00:04:33.460 --> 00:04:38.040]   Last but not the least,
[00:04:38.040 --> 00:04:39.140]   most of the current works
[00:04:39.140 --> 00:04:42.640]   in explainable artificial intelligence, XAI,
[00:04:42.640 --> 00:04:45.160]   are focused on explaining model behavior
[00:04:45.160 --> 00:04:48.040]   on single or a group of explanations.
[00:04:48.040 --> 00:04:50.840]   However, these don't actually highlight
[00:04:50.840 --> 00:04:52.560]   the inherent bias of the model
[00:04:52.560 --> 00:04:54.960]   towards features like say,
[00:04:54.960 --> 00:04:57.520]   colors or textures in an image classifier model.
[00:04:57.520 --> 00:05:01.160]   So these were like the motivations
[00:05:01.160 --> 00:05:03.560]   that prompted us to move into this direction
[00:05:03.560 --> 00:05:05.460]   and explore the variance of gradients.
[00:05:05.460 --> 00:05:09.500]   So with respect to explanations,
[00:05:10.640 --> 00:05:12.880]   most of the earliest work in XAI
[00:05:12.880 --> 00:05:15.400]   was based on model gradients.
[00:05:15.400 --> 00:05:18.020]   Now using vanilla gradients is intuitive
[00:05:18.020 --> 00:05:19.720]   as they have a very clear connection
[00:05:19.720 --> 00:05:21.280]   to the neural network function.
[00:05:21.280 --> 00:05:24.640]   Basically, we have an image, let's say,
[00:05:24.640 --> 00:05:26.840]   we can easily calculate its vanilla gradient
[00:05:26.840 --> 00:05:28.520]   by backpropagating the loss
[00:05:28.520 --> 00:05:30.400]   with respect to the input image
[00:05:30.400 --> 00:05:33.800]   and get these gradient representations of the model.
[00:05:33.800 --> 00:05:37.820]   However, following works showed
[00:05:37.820 --> 00:05:39.880]   that gradients are very noisy
[00:05:39.880 --> 00:05:41.360]   and hence uninterpretable.
[00:05:41.360 --> 00:05:44.160]   This led to several works
[00:05:44.160 --> 00:05:46.680]   which tried to improve the gradient maps
[00:05:46.680 --> 00:05:48.560]   by either smoothing them
[00:05:48.560 --> 00:05:52.000]   or using methods like guided backpropagation
[00:05:52.000 --> 00:05:54.020]   or trying to integrate the gradients
[00:05:54.020 --> 00:05:55.680]   between a baseline image,
[00:05:55.680 --> 00:05:56.820]   let's say a gray image,
[00:05:56.820 --> 00:05:57.800]   and the input image,
[00:05:57.800 --> 00:05:59.680]   here the image of the dog.
[00:05:59.680 --> 00:06:01.800]   As one would observe
[00:06:01.800 --> 00:06:04.880]   in all these different gradient maps,
[00:06:04.880 --> 00:06:07.040]   what most researchers were trying to do
[00:06:07.040 --> 00:06:08.880]   was to tune these gradients
[00:06:08.880 --> 00:06:11.400]   so to give them some interpretability
[00:06:11.400 --> 00:06:14.120]   with context to the raw vanilla gradients
[00:06:14.120 --> 00:06:16.640]   so that these maps can be understandable
[00:06:16.640 --> 00:06:19.040]   to end users like us, humans.
[00:06:19.040 --> 00:06:22.480]   However, one may also question
[00:06:22.480 --> 00:06:27.140]   that the gradients can be the best explanation of a model
[00:06:27.140 --> 00:06:29.960]   because that is what the model uses
[00:06:29.960 --> 00:06:31.900]   to learn the given objective function.
[00:06:31.900 --> 00:06:37.640]   This actually brings us to why variants of gradients.
[00:06:37.640 --> 00:06:39.320]   And as I said before,
[00:06:39.320 --> 00:06:41.080]   the raw input vanilla gradients
[00:06:41.080 --> 00:06:44.440]   can be the best explanations of a model in some context.
[00:06:44.440 --> 00:06:49.440]   So we hypothesize that gradients of examples
[00:06:49.440 --> 00:06:51.680]   that can be easily learned by the model
[00:06:51.680 --> 00:06:53.120]   will converge quickly
[00:06:53.120 --> 00:06:56.640]   during the early training of the whole model
[00:06:56.640 --> 00:06:58.640]   as compared to the challenging examples
[00:06:58.640 --> 00:07:02.000]   where the gradients could not converge quickly.
[00:07:02.000 --> 00:07:04.200]   So following this hypothesis,
[00:07:04.200 --> 00:07:07.500]   what we basically do is we calculate a proxy metric
[00:07:07.500 --> 00:07:10.120]   that's like the variance of gradients
[00:07:10.120 --> 00:07:12.120]   for quantifying the relative importance
[00:07:12.120 --> 00:07:14.600]   between individual samples of the training
[00:07:14.600 --> 00:07:15.920]   and the testing datasets.
[00:07:15.920 --> 00:07:19.920]   In this figure, we basically show an input image
[00:07:19.920 --> 00:07:21.720]   that's the image of the bird.
[00:07:21.720 --> 00:07:23.400]   And we show its gradients
[00:07:23.400 --> 00:07:25.920]   as it is evolving during different checkpoints
[00:07:25.920 --> 00:07:28.000]   the whole training process.
[00:07:28.000 --> 00:07:30.040]   This image was taken from the image in dataset
[00:07:30.040 --> 00:07:31.360]   and hence it was trained
[00:07:31.360 --> 00:07:34.800]   using a REST F50 architecture for 90 epoch.
[00:07:34.800 --> 00:07:39.280]   So we can easily calculate the gradients
[00:07:39.280 --> 00:07:41.420]   with respect to any particular checkpoint
[00:07:41.420 --> 00:07:42.560]   throughout the training process.
[00:07:42.560 --> 00:07:47.460]   And that's like one of the best USP of using VOG score.
[00:07:47.460 --> 00:07:50.700]   So using these gradients,
[00:07:50.700 --> 00:07:54.020]   we come up with this VOG scalar score.
[00:07:54.020 --> 00:07:55.500]   In the given equation,
[00:07:55.500 --> 00:07:58.180]   the STI basically represents the gradients
[00:07:58.180 --> 00:08:01.420]   of the particular image at the given checkpoint T.
[00:08:02.380 --> 00:08:04.760]   Mu i is basically the mean gradients
[00:08:04.760 --> 00:08:06.960]   of a given number of checkpoints.
[00:08:06.960 --> 00:08:10.560]   Here, since K determines the number of checkpoints
[00:08:10.560 --> 00:08:13.280]   across which we are trying to calculate the gradients
[00:08:13.280 --> 00:08:15.700]   and N determines the number of superpixels,
[00:08:15.700 --> 00:08:18.480]   number of pixels in the whole images.
[00:08:18.480 --> 00:08:23.480]   So in a way, we can actually interpret the VOG score
[00:08:23.480 --> 00:08:26.220]   as a scalar score,
[00:08:26.220 --> 00:08:30.260]   which represents the VOG across each pixel of the image.
[00:08:30.260 --> 00:08:32.500]   And then we basically take the mean
[00:08:32.500 --> 00:08:35.520]   across the whole VOG across all pixels
[00:08:35.520 --> 00:08:38.440]   to get just one scalar score for a given input image.
[00:08:38.440 --> 00:08:43.920]   So what we do then is calculate these VOG scores
[00:08:43.920 --> 00:08:47.020]   for all the training and the testing images in the dataset
[00:08:47.020 --> 00:08:49.420]   by using the different checkpoints of the model.
[00:08:49.420 --> 00:08:55.120]   So many existing works have shown
[00:08:55.120 --> 00:08:58.000]   that there exists different stages of training
[00:08:58.000 --> 00:08:59.620]   in a deep neural network.
[00:08:59.620 --> 00:09:05.340]   So what we show here is on analyzing the images
[00:09:05.340 --> 00:09:07.060]   using the VOG score,
[00:09:07.060 --> 00:09:10.800]   we see that images having a low VOG scores
[00:09:10.800 --> 00:09:12.400]   are very different than the images
[00:09:12.400 --> 00:09:14.640]   which are having high VOG scores.
[00:09:14.640 --> 00:09:16.060]   In this particular figure,
[00:09:16.060 --> 00:09:19.960]   we trained the VESNET-18 model on C500 dataset,
[00:09:19.960 --> 00:09:23.240]   and we tried to visualize the relative importance
[00:09:23.240 --> 00:09:24.920]   between the Apple class images.
[00:09:26.000 --> 00:09:29.660]   Clearly we see that there's a big cluster of red apples
[00:09:29.660 --> 00:09:31.520]   which have a low VOG score
[00:09:31.520 --> 00:09:34.120]   as compared to the high VOG score apple images
[00:09:34.120 --> 00:09:35.540]   which are more cluttered.
[00:09:35.540 --> 00:09:38.920]   And in some of the images, they are like multiple apples.
[00:09:38.920 --> 00:09:43.720]   On comparing this to the late stage training,
[00:09:43.720 --> 00:09:45.240]   we see similar patterns
[00:09:45.240 --> 00:09:48.920]   where the low VOG score images are more object-centric
[00:09:48.920 --> 00:09:52.120]   and have clear view of the object in interest,
[00:09:52.120 --> 00:09:53.480]   that is apples,
[00:09:53.480 --> 00:09:55.880]   whereas the high VOG samples are more cluttered
[00:09:55.880 --> 00:09:58.360]   and they are taken from different vantage points.
[00:09:58.360 --> 00:10:06.000]   So one quick question that would come
[00:10:06.000 --> 00:10:09.640]   to any model developer or end user is,
[00:10:09.640 --> 00:10:13.120]   can we use VOGs to have a relative ranking
[00:10:13.120 --> 00:10:14.240]   across each classes?
[00:10:14.240 --> 00:10:17.440]   So in this particular experiment,
[00:10:17.440 --> 00:10:20.680]   we divided the training process into two stages,
[00:10:20.680 --> 00:10:22.960]   which is the early stage and the late stage,
[00:10:22.960 --> 00:10:24.560]   comprising of three checkpoints.
[00:10:25.560 --> 00:10:27.640]   The proposed VOG score
[00:10:27.640 --> 00:10:29.760]   then actually discriminates images
[00:10:29.760 --> 00:10:31.540]   with clean and cluttered backgrounds
[00:10:31.540 --> 00:10:36.540]   and higher VOG scores images are usually images
[00:10:36.540 --> 00:10:38.400]   with zoomed in view,
[00:10:38.400 --> 00:10:42.160]   or they are more typical as compared to low VOG scores.
[00:10:42.160 --> 00:10:43.580]   In this particular image,
[00:10:43.580 --> 00:10:48.580]   we trained a ResNet-50 architecture on image and dataset,
[00:10:48.580 --> 00:10:51.800]   and we basically visualized a cluster of images
[00:10:51.800 --> 00:10:53.300]   belonging to the MacPy class.
[00:10:54.220 --> 00:10:56.560]   Very surprisingly, we see the same pattern
[00:10:56.560 --> 00:10:58.520]   as in the CIFAR datasets,
[00:10:58.520 --> 00:11:02.080]   where we see the low VOG samples are much more cleaner
[00:11:02.080 --> 00:11:05.280]   and have the birds centered to the images
[00:11:05.280 --> 00:11:07.480]   as compared to the high VOG scores,
[00:11:07.480 --> 00:11:10.680]   where you'll see zoomed in views of the bird
[00:11:10.680 --> 00:11:12.920]   or cropped images,
[00:11:12.920 --> 00:11:15.160]   which are basically the data augmented portions
[00:11:15.160 --> 00:11:16.000]   of the datasets.
[00:11:16.000 --> 00:11:20.120]   We saw the same pattern for a different class,
[00:11:20.120 --> 00:11:21.840]   which is the Pop Portal in this case,
[00:11:21.840 --> 00:11:25.040]   where the low VOG scores had images
[00:11:25.040 --> 00:11:27.960]   comprising of multiple bottles in the same image,
[00:11:27.960 --> 00:11:32.660]   whereas the high VOG score had Pop Portal images
[00:11:32.660 --> 00:11:34.840]   where let's say a human was involved
[00:11:34.840 --> 00:11:36.760]   or they were taken from the top view
[00:11:36.760 --> 00:11:41.760]   and all the different styles of Pop Portal images.
[00:11:41.760 --> 00:11:47.040]   So these qualitative insights gave us good motivation
[00:11:47.040 --> 00:11:49.620]   that VOG can be actually used
[00:11:49.620 --> 00:11:52.600]   to understand the different clusters of images
[00:11:52.600 --> 00:11:55.880]   during different training stages
[00:11:55.880 --> 00:11:58.540]   and for different classes too.
[00:11:58.540 --> 00:12:05.320]   So moving on to some quantitative results,
[00:12:05.320 --> 00:12:07.280]   here we show that VOG can discriminate
[00:12:07.280 --> 00:12:09.240]   easy and challenging examples easily.
[00:12:09.240 --> 00:12:12.280]   Between CIFAR-10 models,
[00:12:12.280 --> 00:12:17.000]   it achieved a testing accuracy of 89.55%.
[00:12:17.000 --> 00:12:18.800]   It is to be noted that all the models
[00:12:18.800 --> 00:12:20.480]   that I'll be showing now were trained
[00:12:20.480 --> 00:12:22.160]   with 100% accuracy.
[00:12:22.160 --> 00:12:24.040]   That is, there is some sense of overfitting
[00:12:24.040 --> 00:12:26.400]   across all these networks.
[00:12:26.400 --> 00:12:29.440]   So we clearly see that the misclassification rate
[00:12:29.440 --> 00:12:32.080]   is the highest for the VOG scores,
[00:12:32.080 --> 00:12:35.440]   which for the samples which have the high VOG score.
[00:12:35.440 --> 00:12:39.360]   Interestingly, we found the similar patterns
[00:12:39.360 --> 00:12:43.500]   across two more datasets of CIFAR-100 and ImageNet.
[00:12:43.500 --> 00:12:46.820]   Here, if we see carefully,
[00:12:46.820 --> 00:12:49.440]   then the testing accuracies of the CIFAR-100
[00:12:49.440 --> 00:12:51.920]   and ImageNet datasets were much lower,
[00:12:51.920 --> 00:12:54.760]   and that means they were more overfitted.
[00:12:54.760 --> 00:12:56.560]   And as compared to CIFAR-10,
[00:12:56.560 --> 00:12:59.400]   that is why we see a much more linear pattern
[00:12:59.400 --> 00:13:03.280]   between the VOG scores and the misclassification error rate,
[00:13:03.280 --> 00:13:05.080]   where we see a consistent trend
[00:13:05.080 --> 00:13:07.200]   that as the VOG scores increases,
[00:13:07.200 --> 00:13:10.100]   the misclassification error increases.
[00:13:10.100 --> 00:13:15.680]   So these are all good because we can easily use VOGs
[00:13:15.680 --> 00:13:18.720]   to understand the testing datasets.
[00:13:18.720 --> 00:13:21.920]   But now moving back to the training datasets,
[00:13:21.920 --> 00:13:25.640]   then we ask the question that can actually VOG
[00:13:25.640 --> 00:13:29.040]   give us more insights about the behavior of the model
[00:13:29.040 --> 00:13:30.420]   during different stages?
[00:13:30.420 --> 00:13:35.120]   So we took the ImageNet-trained ResNet-50 model,
[00:13:35.120 --> 00:13:38.140]   and we saw that the behavior completely flips
[00:13:38.140 --> 00:13:40.600]   in the early and the late stage.
[00:13:40.600 --> 00:13:43.200]   Now the coordination pattern with accuracy reverses,
[00:13:43.200 --> 00:13:45.920]   as we see from the early to late stage training,
[00:13:45.920 --> 00:13:47.720]   which gives us an interesting viewpoint
[00:13:47.720 --> 00:13:49.720]   into the training dynamics of the model.
[00:13:49.720 --> 00:13:52.360]   That is basically that early on,
[00:13:52.360 --> 00:13:54.480]   the gradient updates have high variance
[00:13:54.480 --> 00:13:56.240]   for the easiest examples,
[00:13:56.240 --> 00:13:57.840]   but once they are being trained,
[00:13:57.840 --> 00:14:01.040]   their VOG scores decreases,
[00:14:01.040 --> 00:14:03.480]   and later on during the late stage process,
[00:14:03.480 --> 00:14:07.360]   the gradient variance is high for only those samples
[00:14:07.360 --> 00:14:09.040]   that the model finds challenging.
[00:14:10.880 --> 00:14:15.040]   So these were more like looking into a trained model,
[00:14:15.040 --> 00:14:17.860]   be it the training datasets or the testing datasets,
[00:14:17.860 --> 00:14:21.080]   but an interesting application that we thought
[00:14:21.080 --> 00:14:23.520]   VOG can be used to is that it can act
[00:14:23.520 --> 00:14:25.700]   like an unsupervised auditing tool.
[00:14:25.700 --> 00:14:29.560]   Now it is to be noted that all the results
[00:14:29.560 --> 00:14:31.200]   that we have seen until now,
[00:14:31.200 --> 00:14:32.600]   the gradients were actually taken
[00:14:32.600 --> 00:14:36.760]   using the ground truth class of the particular image.
[00:14:36.760 --> 00:14:39.160]   But in real world setting,
[00:14:39.160 --> 00:14:42.600]   we often do not know the ground truth class.
[00:14:42.600 --> 00:14:45.040]   So the question comes that can VOG serve
[00:14:45.040 --> 00:14:48.680]   as a good auditing tool if we don't know the predicted class
[00:14:48.680 --> 00:14:50.320]   or if we don't know the ground truth class
[00:14:50.320 --> 00:14:52.080]   of the respective inputs.
[00:14:52.080 --> 00:14:55.520]   So what we did here was we took the back propagated gradient
[00:14:55.520 --> 00:14:58.360]   with the top one predicted class of any image,
[00:14:58.360 --> 00:15:01.840]   and then we tried to visualize the low VOG
[00:15:01.840 --> 00:15:04.080]   and the high VOG samples.
[00:15:05.720 --> 00:15:08.800]   To our surprise, we actually see the similar patterns
[00:15:08.800 --> 00:15:11.240]   as we saw for the ground truth VOG scores,
[00:15:11.240 --> 00:15:13.760]   where we see that images that were correctly predicted
[00:15:13.760 --> 00:15:16.920]   by the model were more object centric
[00:15:16.920 --> 00:15:18.680]   as compared to the high VOG samples
[00:15:18.680 --> 00:15:21.080]   where we see blurred out images
[00:15:21.080 --> 00:15:25.000]   or images where the object was too much zoomed in.
[00:15:25.000 --> 00:15:27.720]   And hence, I mean, that gave us a good indicator
[00:15:27.720 --> 00:15:31.720]   that VOG can actually serve as an unsupervised tool
[00:15:31.720 --> 00:15:34.440]   since we do not use any ground truth information
[00:15:34.440 --> 00:15:35.840]   of the respective images.
[00:15:35.840 --> 00:15:40.840]   Now, all these results are fine,
[00:15:40.840 --> 00:15:45.560]   but to build trust with any end user,
[00:15:45.560 --> 00:15:48.840]   or even if you're giving a model developer
[00:15:48.840 --> 00:15:52.240]   this VOG proxymetric to analyze the model,
[00:15:52.240 --> 00:15:54.920]   a key desirable property for any tool
[00:15:54.920 --> 00:15:56.360]   would be the consistency.
[00:15:56.360 --> 00:16:00.760]   That is basically that we would expect a consistent method
[00:16:00.760 --> 00:16:02.200]   to produce a ranking
[00:16:02.200 --> 00:16:04.800]   with a very closely bounded distribution of scores
[00:16:04.800 --> 00:16:07.040]   across independent runs.
[00:16:07.040 --> 00:16:10.640]   To measure the VOG stability,
[00:16:10.640 --> 00:16:15.640]   we train five networks, five ResNet-18 models on CIFAR-10,
[00:16:15.640 --> 00:16:18.600]   and then we try to visualize the VOG scores
[00:16:18.600 --> 00:16:22.360]   across each of these five different trained models.
[00:16:22.360 --> 00:16:27.040]   All the five models were randomly initialized,
[00:16:27.040 --> 00:16:29.640]   so we can expect some variance.
[00:16:29.640 --> 00:16:32.200]   But when we visualize the VOG scores
[00:16:32.200 --> 00:16:35.520]   with respect to the error performance of these five models,
[00:16:35.520 --> 00:16:38.840]   we saw more or less like all the VOG scores
[00:16:38.840 --> 00:16:42.840]   had the same patterns across the five models,
[00:16:42.840 --> 00:16:47.600]   which talks about the stability of the VOG metric.
[00:16:47.600 --> 00:16:51.680]   So these were basically all the results
[00:16:51.680 --> 00:16:55.320]   that I could have summed up today for this talk.
[00:16:55.320 --> 00:16:58.680]   So the final takeaways for this VOG paper
[00:16:58.680 --> 00:17:01.400]   was that it can serve as an interpretability tool
[00:17:01.400 --> 00:17:04.760]   for ranking both training and the testing samples.
[00:17:04.760 --> 00:17:08.760]   An interesting advantage of VOG
[00:17:08.760 --> 00:17:10.800]   is that it does not need any modification
[00:17:10.800 --> 00:17:12.080]   of the architecture.
[00:17:12.080 --> 00:17:14.280]   Since we always train models
[00:17:14.280 --> 00:17:17.600]   and we always capture snapshots during the training process,
[00:17:17.600 --> 00:17:20.520]   so it doesn't come with any external additional costs.
[00:17:20.520 --> 00:17:22.960]   We can easily just take snapshots of a trained model
[00:17:22.960 --> 00:17:24.360]   and then calculate the VOGs
[00:17:24.360 --> 00:17:26.640]   of the input images in this case.
[00:17:27.520 --> 00:17:32.400]   And the third takeaway would be that the VOG scores
[00:17:32.400 --> 00:17:35.320]   and that can actually aid us in clustering images
[00:17:35.320 --> 00:17:36.480]   with respect to each class
[00:17:36.480 --> 00:17:40.160]   across the training datasets and the testing datasets
[00:17:40.160 --> 00:17:41.800]   so that we can actually understand
[00:17:41.800 --> 00:17:43.680]   the behavior of the model
[00:17:43.680 --> 00:17:47.840]   and also know about the dataset buyers,
[00:17:47.840 --> 00:17:51.560]   whether for say it consists of images
[00:17:51.560 --> 00:17:53.040]   of just one unique nature
[00:17:53.040 --> 00:17:57.680]   or it can have a good diversity across in each image.
[00:17:57.680 --> 00:18:03.040]   I think those are like the final takeaways of our work.
[00:18:03.040 --> 00:18:06.240]   And yep, you can find our paper on archive
[00:18:06.240 --> 00:18:09.320]   and I'm open to questions now.
[00:18:09.320 --> 00:18:12.320]   - Great.
[00:18:12.320 --> 00:18:16.000]   Thanks, Chag for that nice overview of your work.
[00:18:16.000 --> 00:18:17.520]   So I have a lot of questions.
[00:18:17.520 --> 00:18:19.760]   I encourage folks on Zoom and on YouTube
[00:18:19.760 --> 00:18:22.960]   to also chime in if they've got questions of their own.
[00:18:22.960 --> 00:18:24.600]   So either in the Q&A on Zoom
[00:18:24.600 --> 00:18:27.320]   or in the live chat on YouTube.
[00:18:27.320 --> 00:18:31.960]   So I guess just to start us off here.
[00:18:31.960 --> 00:18:37.600]   So how many samples from a class do you need
[00:18:37.600 --> 00:18:41.400]   in order to do this variance of gradient operation?
[00:18:41.400 --> 00:18:44.520]   - So that's an interesting question, Charles.
[00:18:44.520 --> 00:18:46.480]   So the thing is we actually experimented
[00:18:46.480 --> 00:18:47.800]   with different checkpoints,
[00:18:47.800 --> 00:18:50.560]   but we actually found out that as low
[00:18:50.560 --> 00:18:52.240]   as just three checkpoints from a model
[00:18:52.240 --> 00:18:56.400]   can actually serve, can lead to a good VOG approximation
[00:18:56.400 --> 00:18:58.200]   of the whole dataset.
[00:18:58.200 --> 00:19:02.040]   And in all these results that I presented today,
[00:19:02.040 --> 00:19:04.480]   we just took three snapshots of the model.
[00:19:04.480 --> 00:19:07.240]   Like by that I mean that during the early stage,
[00:19:07.240 --> 00:19:08.680]   we just took three snapshots
[00:19:08.680 --> 00:19:11.520]   when the model reached a decent accuracy
[00:19:11.520 --> 00:19:14.880]   for the testing model, for the training dataset.
[00:19:14.880 --> 00:19:18.200]   And then we took the last three checkpoints
[00:19:18.200 --> 00:19:21.200]   during the end cycle of the training process.
[00:19:21.200 --> 00:19:22.600]   So yeah, we just used three.
[00:19:22.600 --> 00:19:24.400]   - I see.
[00:19:24.400 --> 00:19:28.800]   And can you clarify, so if I have a single example,
[00:19:28.800 --> 00:19:33.240]   I'm gonna have, yeah, I'm gonna have a variety
[00:19:33.240 --> 00:19:34.960]   of like gradient values if I back propagate
[00:19:34.960 --> 00:19:38.320]   all the way to the pixel level input, right?
[00:19:38.320 --> 00:19:40.320]   But that variance isn't what you need.
[00:19:40.320 --> 00:19:42.080]   What you need is variance of the gradient
[00:19:42.080 --> 00:19:43.840]   over time through training.
[00:19:43.840 --> 00:19:45.600]   - Exactly.
[00:19:45.600 --> 00:19:48.320]   So what you just described would give us
