
[00:00:00.040 --> 00:00:09.520]   milligrams
[00:10:18.940 --> 00:10:18.940]   The Night of Fiscal Infamy, posted on Friday, February 12th, 2019.
[00:10:18.940 --> 00:10:18.940]   The Night of Fiscal Infamy, posted on Friday, February 12th, 2019.
[00:10:18.940 --> 00:10:18.940]   The Night of Fiscal Infamy, posted on Friday, February 12th, 2019.
[00:10:18.940 --> 00:10:18.940]   The Night of Fiscal Infamy, posted on Friday, February 12th, 2019.
[00:10:18.940 --> 00:10:18.940]   The Night of Fiscal Infamy, posted on Friday, February 12th, 2019.
[00:10:18.940 --> 00:10:18.940]   The Night of Fiscal Infamy, posted on Friday, February 12th, 2019.
[00:10:18.960 --> 00:10:48.960]   Hustle
[00:10:48.960 --> 00:10:48.960]   Hustle
[00:10:48.960 --> 00:10:48.960]   Hustle
[00:10:48.960 --> 00:10:48.960]   Hustle
[00:10:48.960 --> 00:10:48.960]   Hustle
[00:10:48.960 --> 00:10:48.960]   Hustle
[00:10:48.960 --> 00:10:48.960]   Hustle
[00:10:48.960 --> 00:10:48.960]   Hustle
[00:10:48.960 --> 00:10:48.960]   Hustle
[00:10:48.960 --> 00:10:48.960]   Hustle
[00:10:48.960 --> 00:10:48.960]   Hustle
[00:10:48.960 --> 00:10:48.960]   Hustle
[00:10:48.960 --> 00:10:48.960]   Hustle
[00:10:48.960 --> 00:10:48.960]   Hustle
[00:10:48.960 --> 00:10:48.960]   Hustle
[00:10:48.960 --> 00:10:48.960]   Hustle
[00:10:48.960 --> 00:10:48.960]   Hustle
[00:10:48.960 --> 00:10:48.960]   Hustle
[00:10:48.960 --> 00:10:48.960]   Hustle
[00:10:48.960 --> 00:10:48.960]   Hustle
[00:10:48.960 --> 00:10:48.960]   Hustle
[00:10:48.960 --> 00:10:48.960]   Hustle
[00:10:48.960 --> 00:10:48.960]   Hustle
[00:10:48.960 --> 00:10:48.960]   Hustle
[00:10:48.960 --> 00:10:48.960]   Hustle
[00:10:48.960 --> 00:10:48.960]   Hustle
[00:10:48.960 --> 00:10:48.960]   Hustle
[00:10:48.960 --> 00:10:48.960]   Hustle
[00:10:48.960 --> 00:10:48.960]   Hustle
[00:10:48.960 --> 00:10:48.960]   Hustle
[00:10:48.960 --> 00:10:48.960]   Hustle
[00:10:48.960 --> 00:10:48.960]   Hustle
[00:10:48.960 --> 00:10:48.960]   Hustle
[00:10:48.960 --> 00:10:48.960]   Hustle
[00:10:48.960 --> 00:10:48.960]   Hustle
[00:10:48.960 --> 00:10:48.960]   Hustle
[00:10:48.960 --> 00:10:48.960]   Hustle
[00:10:48.960 --> 00:10:48.960]   H, the entire GDP, the entire GDP, the North Korea, you get 325 billion,
[00:10:49.000 --> 00:10:59.300]   de
[00:10:59.300 --> 00:11:17.720]   проц, under the Performance She 12 heh
[00:11:47.920 --> 00:11:47.920]   and
[00:11:47.920 --> 00:11:47.920]   and
[00:11:47.920 --> 00:11:47.920]   and
[00:11:47.920 --> 00:11:47.920]   and
[00:11:47.920 --> 00:11:47.960]   and
[00:11:47.960 --> 00:11:47.980]   and
[00:11:47.980 --> 00:11:48.020]   and
[00:11:48.020 --> 00:11:48.080]   and
[00:12:18.100 --> 00:12:18.100]  , and
[00:12:18.100 --> 00:12:18.100]   and
[00:12:18.100 --> 00:12:18.100]   and
[00:12:18.100 --> 00:12:18.100]  obedience, and I will not be able to explain the difference between the two.
[00:12:18.100 --> 00:12:18.100]  obedience, and I will not be able to explain the difference between the two.
[00:12:18.100 --> 00:12:18.100]   The first is that the industrial complex is now ruling the roost and has swallowed up most of the fiscal opposition, which was populated with neocons, militarists, and war hawks. That means, in turn, that it will be absolutely impossible to cut a single dime of domestic spending as far as the eye can see. Moreover, given the rather certain explosion of debt service costs to more than $1 trillion by the middle of the coming decade and the base of the economy, the industrial complex is now ruling the roost and has swallowed up most of the fiscal opposition, which was populated with neocons, militarists, and war hawks.
[00:12:18.140 --> 00:12:48.120]   and then, of course, we have the federal outlays. In the most recent year completed, fiscal year 2017, federal outlays are heading toward 26.5% of GDP or higher. That compares to just 21% in the most recent year completed, fiscal year 2017. At the same time, the drastically front-loaded tax cut will reduce revenue to just 16.5% of GDP in the year ahead. The math of it is that the US is now heading for a 10% of GDP deficit on a long-run, long-term investment.
[00:12:48.140 --> 00:13:18.140]   Worse still, there is now no process available to slow the drift toward calamity. As a result of last night's action on a two-year budget deal, the Congressional Republicans can now dispense with a budget resolution for fiscal year 2019 entirely, even though it is notionally required as a legal matter. That will spare them of the inconvenience of voting for a red-ink-saturated 10-year fiscal plan, along with the political shame of it. The Congressional Republicans can now dispense with a budget resolution for fiscal year 2019 entirely, even though it is notionally required as a legal matter.
[00:13:18.140 --> 00:13:18.140]   That will spare them of the inconvenience of voting for a red-ink-saturated 10-year fiscal plan, along with the political shame of it.
[00:13:18.140 --> 00:13:18.140]   That will spare them of the inconvenience of voting for a red-ink-saturated 10-year fiscal plan, along with the political shame of it.
[00:13:18.140 --> 00:13:18.140]  , along with the political shame of it.
[00:13:18.140 --> 00:13:48.160]  , along with the political shame of it.
[00:13:48.180 --> 00:13:55.880]   that the current faltering business expansion will last for a record 219 months,
[00:13:55.880 --> 00:14:00.060]   or double the previous longest expansion in recorded history,
[00:14:00.060 --> 00:14:05.520]   the true fiscal facts will ultimately be a lot worse.
[00:14:05.520 --> 00:14:09.700]   At the same time, no fiscal year 2019 budget resolution
[00:14:09.700 --> 00:14:13.900]   also means no chance whatsoever for entitlement reform,
[00:14:13.900 --> 00:14:17.280]   not even a minor beating up on food stamp recipients
[00:14:17.280 --> 00:14:18.180]   on behalf of strong and powerful Congressional Republicans.
[00:14:18.180 --> 00:14:18.180]   That will spare them of the inconvenience of voting for a red-ink-saturated 10-year fiscal plan,
[00:14:18.180 --> 00:14:18.180]   Not even a minor beating up on food stamp recipients on behalf of strong and powerful Congressional Republicans.
[00:14:18.180 --> 00:14:18.180]   Not even a minor beating up on food stamp recipients on behalf of strong and powerful Congressional Republicans.
[00:14:18.220 --> 00:14:48.200]   not even a minor beating up on food stamp recipients on behalf of strong and powerful Congressional Republicans.
[00:14:48.200 --> 00:14:48.200]   Not even a minor beating up on food stamp recipients on behalf of strong and powerful Congressional Republicans.
[00:14:48.200 --> 00:14:48.200]   Not even a minor beating up on food stamp recipients on behalf of strong and powerful Congressional Republicans.
[00:14:48.200 --> 00:14:48.200]   Not even a minor beating up to the fiscal year 2019,
[00:14:48.200 --> 00:14:48.200]   not even a minor beating up to the fiscal year 2019, not even a minor up to the fiscal year 2019,
[00:14:48.220 --> 00:15:18.220]   not even a minor beating up to the fiscal year 2019, not even a minor beating up to the fiscal year 2019,
[00:15:18.220 --> 00:15:18.220]   and that will occur even as the Fed dumps $600 billion of existing debt back into the market.
[00:15:18.220 --> 00:15:18.220]   and that will occur even as the Fed dumps $600 billion of existing debt back into the market.
[00:15:18.220 --> 00:15:18.220]   unless the law of supply and demand has been stealthily repealed by the economic gods,
[00:15:18.220 --> 00:15:18.220]   unless the law of supply and demand has been stealthily repealed by the economic gods,
[00:15:18.220 --> 00:15:18.220]   a conflagration of biblical proportions in the bond pits is now unavoidable.
[00:15:18.220 --> 00:15:18.220]   And when the 10-year yield hits 3.5% and then 4.5%, it will be Katie bar the door in the entire casino,
[00:15:18.220 --> 00:15:18.220]   And when the 10-year yield hits 3.5% and then 4.5%, it will be Katie bar the door in the entire casino,
[00:15:18.220 --> 00:15:18.220]   because nothing like the drastic collision ahead is priced into equity.
[00:15:18.260 --> 00:15:48.240]  , because nothing like the drastic collision ahead is priced into equity.
[00:15:48.240 --> 00:15:48.240]   And when the 10-year yield hits 3.5% and then 4.5% and 4.5% are priced into equity,
[00:15:48.240 --> 00:15:48.240]   And when the 10-year yield hits 3.5% and 4.5% are priced into equity,
[00:15:48.240 --> 00:15:48.240]   And when the 10-year yield hits 3.5% and 4.5% are priced into equity,
[00:15:48.240 --> 00:15:48.240]   and 4.5% into equity.
[00:15:48.240 --> 00:15:48.240]   And when the 10-year yield hits 3. and 4.0% into equity, and 4.0.
[00:15:48.260 --> 00:16:18.260]   And when the 10-year yield hits 3. and 4.0% into equity, and 4.0%.
[00:16:18.260 --> 00:16:18.260]   And when the 10-year yield hits 3. and 4.0% into equity, and 4.0%.
[00:16:18.260 --> 00:16:18.260]   And when the 10-year yield hits 3. and 4.0% into equity, and 4.0%.
[00:16:18.260 --> 00:16:18.260]   And when the 10-year yield hits 3. and 4.0% into equity, and 4.0% into equity, and 4.0%.
[00:16:18.300 --> 00:16:48.280]  ,
[00:16:48.280 --> 00:16:48.280]   I have no idea.
[00:16:48.280 --> 00:16:48.280]   Go ask someone else and try to find their answer.
[00:16:48.280 --> 00:16:48.280]   Go ask someone else and try to find their answer.
[00:16:48.280 --> 00:16:48.280]   Go ask someone else and try to find their answer.
[00:16:48.280 --> 00:16:48.280]   Go ask someone else and try to find their answer.
[00:16:48.280 --> 00:16:48.280]   Go ask someone else and try to find their answer.
[00:16:48.280 --> 00:16:48.280]   Go ask someone else and try to find their answer.
[00:16:48.280 --> 00:16:48.280]   Go ask someone else and try to find their answer.
[00:16:48.280 --> 00:16:48.280]   Go ask someone else and try to find their answer.
[00:16:48.280 --> 00:16:48.280]   Go ask someone else and try to find their answer.
[00:16:48.300 --> 00:17:18.300]   Go ask someone else and try to find their answer.
[00:17:18.300 --> 00:17:18.300]   I can make a number of arguments that countries are not companies.
[00:17:18.300 --> 00:17:18.300]   I believe that's true.
[00:17:18.300 --> 00:17:18.300]   I can make a number of arguments that would say,
[00:17:18.300 --> 00:17:18.300]   Well, you know, things always work out in the long run.
[00:17:18.300 --> 00:17:18.300]   I believe that's true.
[00:17:18.300 --> 00:17:18.300]   But I have no idea.
[00:17:18.300 --> 00:17:18.300]   And guess what? No either does anybody else.
[00:17:18.300 --> 00:17:18.300]   We're all just making guesses.
[00:17:18.300 --> 00:17:18.300]   But we are in a world that has become completely unconnected from
[00:17:18.300 --> 00:17:18.300]   and that is a completely unconnected from everything that we have.
[00:17:18.300 --> 00:17:18.300]   I believe that's true.
[00:17:18.300 --> 00:17:18.300]   But I have no idea.
[00:17:18.300 --> 00:17:18.300]   And guess what? No either does anybody else.
[00:17:18.300 --> 00:17:18.300]   We're all just making guesses.
[00:17:18.300 --> 00:17:18.300]   But we are in a world that has become completely unconnected from
[00:17:18.300 --> 00:17:18.300]   and that is a world that has become completely unconnected from
[00:17:18.300 --> 00:17:18.300]   and that is a world that has become completely unconnected from
[00:17:18.320 --> 00:17:48.320]   and that is a world that has become completely unconnected from
[00:17:48.320 --> 00:17:48.320]   and that is a world that has become completely unconnected from the world.
[00:17:48.360 --> 00:17:55.840]  �
[00:17:55.840 --> 00:18:01.820]   dough,そ,
[00:18:01.820 --> 00:18:02.340]   Russ el go gouw иде hair
[00:18:46.200 --> 00:18:46.200]   The
[00:18:46.200 --> 00:18:46.200]   The
[00:18:46.200 --> 00:18:46.200]   The
[00:18:46.200 --> 00:18:46.200]   The
[00:18:46.200 --> 00:18:46.200]   The
[00:18:46.200 --> 00:18:46.220]   The
[00:18:46.220 --> 00:18:46.240]   The
[00:18:46.280 --> 00:18:57.300]   L
[00:19:39.200 --> 00:19:39.200]   and
[00:23:12.080 --> 00:23:14.260]   and the future. Because of fewer and fewer workers and the massive growth of new more and more people retiring massive growth of the baby boomers.
[00:23:33.860 --> 00:23:38.180]   The birth rate is higher in the United States and they are in many parts of the world, especially Europe. Birth rates are too low and especially too low to support the large wave of the elderly. But that's 33% of the budget. Now next biggest category is Medicare and health, which is $1.05 trillion. 27.42%
[00:23:38.180 --> 00:23:44.100]   If you add that to the previous 33%, you come up with over 60% of the budget.
[00:23:44.100 --> 00:23:44.100]   If you add that to the previous 33%, you come up with over 60% of the budget.
[00:23:44.100 --> 00:23:44.260]   If you add that to the previous 33%, you come up with over 60% of the budget.
[00:23:44.300 --> 00:23:46.680]   where
[00:23:46.680 --> 00:24:00.220]  out,
[00:24:00.220 --> 00:24:12.520]  , set a began to the things that is a
[00:24:41.820 --> 00:24:41.820]   and set a began to the things that is a
[00:24:41.820 --> 00:24:41.820]   and set a began to the things that is a
[00:25:10.600 --> 00:25:10.600]   and set a began to the things that is a
[00:25:10.600 --> 00:25:10.600]   and set a began to the things that is a
[00:25:39.420 --> 00:25:49.660]  ELIarr en the double. Br,,,,,
[00:26:08.160 --> 00:26:15.800]   got
[00:26:15.800 --> 00:26:19.720]   in,
[00:26:36.500 --> 00:27:04.800]  해주, and "in" in. But what gets worse and worse and worse is all the political infighting. And everybody thinks the wrong thing about the other person. Now here's what's amazing. When you actually start digging into the numbers, what you find is that the people who sell themselves as "conservatives," especially fiscal conservatives, are actually the worst of the lot. You know who's spent the most money? In the last rash of presidents?
[00:27:04.840 --> 00:27:14.920]   in
[00:27:14.920 --> 00:27:15.980]  imm aside, ,,, pencil
[00:27:15.980 --> 00:27:23.760]   gjortajари
[00:28:29.620 --> 00:28:39.380]   lived
[00:28:39.380 --> 00:28:41.240]   our,還 Iz con
[00:30:25.580 --> 00:30:25.580]   and LBJ 5.9.
[00:30:25.580 --> 00:30:25.580]   but total outlays 0.8% Clinton 1.5% Bush 1 1.8% Reagan 2.6% Nixon 3.3 Carter 4.0 Bush 2 5.1 and LBJ 5.9 but total outlays 0.8% Clinton 1.5% Bush 1 1.8% Reagan 2.6% Nixon 3.3 Carter 4.0 Bush 2 5.1 and LBJ 5.9 but total outlays 0.8% Clinton 1.5% Bush 1 1.8% Reagan 2.6% Nixon 3.3 Carter 4.0 Bush 2 5.1 and LBJ 5.9 but total outlays 0.8% Clinton 1.5% Bush 1 1.8% Reagan 2.6% Nixon 3.3 Carter 4.0 Bush 2 5.1 and LBJ 5.9
[00:31:23.600 --> 00:31:52.580]   4.8% Reagan 2.8% Bush 2.8% Reagan 3.8% Reagan 3.8% Reagan 3.8% Reagan 3.8% Reagan 3.8% Reagan 3.8% Reagan 3.8% Reagan 3.8% Reagan 3.8% Reagan 3.8% Reagan 3.8% Reagan 3.8% Reagan 3.8% Reagan 3.8% Reagan 3.8% Reagan 3.8% Reagan 3.8% Reagan 3.8% Reagan 3.8% Reagan 3.8% Reagan 3.8% Reagan 3.8% Reagan 3.8% Reagan 3.8% Reagan 1.8% Reagan 1.8% Bush administration and Obama administration. So if we take out the one-time effects of those two bailouts, which I categorize as non-tarp for reasons of brevity, we get a new ranking. Reagan is now in first place followed by Clinton and Obama. Primary spending non-tarp, Reagan 1.
[00:31:52.580 --> 00:32:22.560]   I'm going to take a look at the numbers.
[00:32:22.560 --> 00:32:22.580]   I'm going to take a look at the numbers.
[00:32:22.580 --> 00:32:22.600]   I'm going to take a look at the numbers.
[00:32:22.600 --> 00:32:22.600]   I'm going to take a look at the numbers.
[00:32:22.600 --> 00:32:22.600]   I'm going to take a look at the numbers.
[00:32:22.600 --> 00:32:22.600]   I'm going to take a look at the numbers.
[00:32:22.600 --> 00:32:22.600]   I'm going to take a look at the numbers.
[00:32:22.600 --> 00:32:22.600]   I'm going to take a look at the numbers.
[00:32:22.620 --> 00:32:52.620]   I'm going to take a look at the numbers.
[00:32:52.620 --> 00:32:52.620]   I'm going to take a look at the numbers.
[00:32:52.620 --> 00:32:52.620]   I'm going to take a look at the numbers.
[00:32:52.620 --> 00:32:52.620]   I'm going to take a look at the numbers.
[00:32:52.620 --> 00:32:52.620]   I'm going to take a look at the numbers.
