
[00:00:00.000 --> 00:00:05.820]   Hi everyone, welcome.
[00:26:41.960 --> 00:26:43.960]   We have a couple more kilobytes of RAM.
[00:26:43.960 --> 00:26:47.960]   But if you fast forward to where we are now, it's like we have terabytes.
[00:26:47.960 --> 00:26:50.960]   And it's like it's not just that it got twice as good.
[00:26:50.960 --> 00:26:53.960]   It's that things got millions of times better.
[00:26:53.960 --> 00:26:57.960]   And that's what happens with exponentials over a course of 20 years.
[00:26:57.960 --> 00:27:02.960]   So we shouldn't think about 20 years from now is like what happens if these models are twice as good.
[00:27:02.960 --> 00:27:08.960]   We should think about what happens if these models are a million times smarter and faster than they are today, which is wild.
[00:27:08.960 --> 00:27:13.960]   Like I we can't even think about what that means in the same way that someone working on computers in the 90s.
[00:27:13.960 --> 00:27:20.960]   I don't think they could think about what would happen to society if a computer was a million times faster than what they were working with.
[00:27:20.960 --> 00:27:25.960]   But that's what happened. And so that's what we mean by the exponential is it's going to go bonkers.
[00:27:25.960 --> 00:27:26.960]   All right.
[00:27:26.960 --> 00:27:27.960]   Yes.
[00:27:27.960 --> 00:27:32.960]   I got a couple. Well, I got one question, but it's kind of two parts.
[00:27:32.960 --> 00:27:36.960]   The first part, when it comes to via coding, I have like two different workflows.
[00:27:36.960 --> 00:27:42.960]   I have one where I'm in my terminal and then I have one when I'm in VS code or cursor.
[00:27:42.960 --> 00:27:45.960]   Which workflow do you use?
[00:27:45.960 --> 00:27:51.960]   And if you're using cloud code in a terminal, how often do you compact?
[00:27:51.960 --> 00:28:02.960]   Because what I find is my functions will get a new name as the longer I vibe code or, you know, just things kind of go off the rails the longer I go.
[00:28:02.960 --> 00:28:04.960]   And if I compact, it still happens.
[00:28:04.960 --> 00:28:10.960]   If I create like a document to kind of guide it, I still have to, you know, get it back on track.
[00:28:10.960 --> 00:28:18.960]   Yeah. Yeah. Great question. I do both. I often code with cloud code open in my terminal in VS code.
[00:28:18.960 --> 00:28:29.960]   And I'd say that like cloud code is doing most of the editing and I'm kind of reviewing the code as I go in VS code, which, you know, is not true vibe coding in the sense here.
[00:28:29.960 --> 00:28:33.960]   Or maybe I'm reviewing just the tests from it.
[00:28:33.960 --> 00:28:48.960]   I like to compact or just start a new session kind of whenever I get clawed to a good stopping point where it kind of feels like, okay, as a human programmer, like when would I kind of stop and take a break and maybe like go get lunch and then come back.
[00:28:48.960 --> 00:28:52.960]   If I feel like I'm at that kind of stage, that's like a good time to compact.
[00:28:52.960 --> 00:28:57.960]   So maybe I'll start off with having clawed find all the relevant files and make a plan.
[00:28:57.960 --> 00:29:02.960]   And then I'll say, okay, like, you know, write all this into a document and then I'll compact.
[00:29:02.960 --> 00:29:10.960]   And that gets rid of a hundred K tokens that we took to create that plan and find all these files and boils it down to a few thousand tokens.
[00:29:10.960 --> 00:29:33.960]   Hey, so one question is following up his previous question, which is have you used other tools along with cloud code to like increase your speed a little bit more like running multiple cloud codes together using get work trees and then like sort of merging few things or stack PR or something like that.
[00:29:33.960 --> 00:29:36.960]   Is that something that you like personally follow or would advise to?
[00:29:36.960 --> 00:29:56.960]   Second question is, um, how do you like, how do you very structurally and like in a very nice engineering, like, um, like way approach a part of the code base that you're not very familiar with, but you want to like ship a PR in it really fast and you want to do it in a really nice way and not wipe code it.
[00:29:56.960 --> 00:30:02.960]   So yeah, like what, what are the, what are your ways of like using cloud code to do help to both these things?
[00:30:02.960 --> 00:30:03.960]   Yep.
[00:30:03.960 --> 00:30:06.960]   Uh, yeah, so I definitely use cloud code as well as cursor.
[00:30:06.960 --> 00:30:13.960]   Um, and I'd say typically all like start things with cloud code and then I'll use cursor to fix things up.
[00:30:13.960 --> 00:30:24.960]   Or if I was like, if I have very specific changes, if I know exactly the change that I want to do to this file, I'll just do it myself, uh, with cursor and sort of target the exact lines that I know need to change.
[00:30:24.960 --> 00:30:33.960]   Um, the second part of your question was, um, oh yeah, like, uh, how to get spun up on a new part of the code base.
[00:30:33.960 --> 00:30:39.960]   Um, before I start trying to write the feature, I use clawed code to help me explore the code base.
[00:30:39.960 --> 00:30:53.960]   So I might say like, tell me where in this code base off happens or, you know, where in this code base something happens, tell me similar features to this and like, have it tell me the file names, have it tell me the classes that I should look at.
[00:30:53.960 --> 00:31:03.960]   Um, and then kind of use that to try to build up a mental picture to make sure that I can do this and not vibe code, make sure I can still get like, uh, a good sense of what's happening.
[00:31:03.960 --> 00:31:05.960]   And then I go work on the feature with Claude.
[00:31:05.960 --> 00:31:06.960]   Uh, thank you so much.
[00:31:06.960 --> 00:31:09.960]   I'll be around and can Miller and answer other questions.
[00:31:09.960 --> 00:31:10.960]   Thank you.
[00:31:10.960 --> 00:31:10.960]   Thank you.
[00:31:10.960 --> 00:31:11.960]   Thank you.
[00:31:11.960 --> 00:31:12.960]   Thank you.
[00:31:12.960 --> 00:31:13.960]   Thank you.
[00:31:13.960 --> 00:31:14.960]   Thank you.
[00:31:14.960 --> 00:31:15.800]   - Thank you.
[00:31:15.800 --> 00:31:45.780]   Thank you.

