
[00:00:00.000 --> 00:00:01.440]   Take Tiablo Canyon.
[00:02:02.260 --> 00:02:05.180]   One, you know, I think it's important to recognize
[00:02:05.180 --> 00:02:07.060]   we're obviously not nuclear experts.
[00:02:07.060 --> 00:02:09.940]   You know, we come at this from outside.
[00:02:09.940 --> 00:02:13.300]   That being said, the second point I would make is
[00:02:13.300 --> 00:02:16.880]   you and I have gone extremely deep in the past week or two
[00:02:16.880 --> 00:02:20.100]   and been given phenomenal access to a lot of people
[00:02:20.100 --> 00:02:23.580]   that have been in and around the industry for a long time
[00:02:23.580 --> 00:02:25.400]   and including getting access today
[00:02:25.400 --> 00:02:27.440]   at what is really remarkable.
[00:02:27.440 --> 00:02:30.460]   I mean, just to see it up close and the scale
[00:02:30.460 --> 00:02:33.660]   and how well run it is, it's just super impressive.
[00:02:33.660 --> 00:02:37.300]   And so I qualify, I'm certain that we're gonna get
[00:02:37.300 --> 00:02:39.180]   some feedback from some people,
[00:02:39.180 --> 00:02:41.500]   like, why are you guys talking about nuclear?
[00:02:41.500 --> 00:02:45.860]   And my only qualification I would offer to everyone is
[00:02:45.860 --> 00:02:48.320]   if someone comes at us with something that's different
[00:02:48.320 --> 00:02:51.380]   from what we said or that's additive to the discussion,
[00:02:51.380 --> 00:02:53.260]   next time we're up, we'll talk about it
[00:02:53.260 --> 00:02:54.860]   and we'll bring that into the discussion.
[00:02:54.860 --> 00:02:56.060]   You know, absolutely.
[00:02:56.060 --> 00:02:58.320]   I mean, I think you and I talk about it
[00:02:58.320 --> 00:03:00.820]   pretty much on every pod, we're analysts.
[00:03:00.820 --> 00:03:04.060]   As analysts, the one thing we're reasonably okay at
[00:03:04.060 --> 00:03:07.100]   is we ask questions, we dig in, we find our way to experts,
[00:03:07.100 --> 00:03:08.900]   we find our way to information.
[00:03:08.900 --> 00:03:11.340]   And frankly, the more digging we did
[00:03:11.340 --> 00:03:14.180]   about Diablo and about nuclear,
[00:03:14.180 --> 00:03:17.340]   it's just so clear that it has to be part
[00:03:17.340 --> 00:03:20.740]   of the energy constellation future of the United States.
[00:03:20.740 --> 00:03:22.580]   I think that's correct. It's clean, it's dense,
[00:03:22.580 --> 00:03:24.740]   it's the exact type of energy that we need.
[00:03:24.740 --> 00:03:25.700]   So why don't we kick off
[00:03:25.700 --> 00:03:27.260]   with a little bit of background today?
[00:03:27.260 --> 00:03:29.860]   We'll weave in some discussion about Diablo,
[00:03:29.860 --> 00:03:32.620]   we're gonna talk to Marine Zawalny,
[00:03:32.620 --> 00:03:35.740]   we're gonna talk about China's emerging advantage here,
[00:03:35.740 --> 00:03:38.900]   right, like, why are they on such a fast path
[00:03:38.900 --> 00:03:40.940]   and a cheap path to nuclear?
[00:03:40.940 --> 00:03:42.420]   Hone in on those costs.
[00:03:42.420 --> 00:03:44.540]   And then some of the things that we believe we gotta do
[00:03:44.540 --> 00:03:47.380]   in order to get the United States back on the nuclear track
[00:03:47.380 --> 00:03:49.420]   and maybe end with a little bit of that positive.
[00:03:49.420 --> 00:03:50.260]   - That'd be great.
[00:03:50.260 --> 00:03:53.680]   And one thing I wanted to share with the audience,
[00:03:53.680 --> 00:03:58.120]   I think we've uncovered some really amazing documents,
[00:03:58.120 --> 00:04:01.460]   research, pieces of research, podcasts, that kind of thing.
[00:04:01.460 --> 00:04:03.960]   So we're gonna put a list of those together
[00:04:03.960 --> 00:04:04.800]   in the show notes.
[00:04:04.800 --> 00:04:08.580]   And if anyone wants to follow the journey we've been on
[00:04:08.580 --> 00:04:09.620]   and go a little bit deeper
[00:04:09.620 --> 00:04:11.180]   than what we're gonna talk about today,
[00:04:11.180 --> 00:04:12.380]   those will be available.
[00:04:14.260 --> 00:04:16.260]   Marine, it's great to be here.
[00:04:16.260 --> 00:04:20.020]   Marine Zawalny, Vice President here at Diablo Canyon.
[00:04:20.020 --> 00:04:21.260]   It's just been an incredible day.
[00:04:21.260 --> 00:04:24.420]   Thank you for having Bill and I here.
[00:04:24.420 --> 00:04:27.140]   You know, maybe just a little background on Diablo Canyon.
[00:04:27.140 --> 00:04:29.820]   You know, it took 10 years to build this,
[00:04:29.820 --> 00:04:32.880]   you know, starting in 1970.
[00:04:32.880 --> 00:04:36.220]   It cost $16 billion to build both reactors.
[00:04:36.220 --> 00:04:39.220]   It went online in 1985.
[00:04:39.220 --> 00:04:42.060]   It's the state's single largest power station.
[00:04:42.060 --> 00:04:45.260]   It generates about eight to 9% of total energy,
[00:04:45.260 --> 00:04:48.540]   about 20% of all the renewable energy in the state
[00:04:48.540 --> 00:04:52.020]   at a cost of about six cents per kilowatt hour.
[00:04:52.020 --> 00:04:53.860]   So very cheap relative to the power
[00:04:53.860 --> 00:04:55.700]   that we import in the state.
[00:04:55.700 --> 00:04:58.280]   It's been an extraordinary day going around.
[00:04:58.280 --> 00:05:01.300]   And I think one of the things we'd love to start with
[00:05:01.300 --> 00:05:03.340]   is just a little bit of the history,
[00:05:03.340 --> 00:05:05.620]   your history here at Diablo.
[00:05:05.620 --> 00:05:06.460]   - Well, great.
[00:05:06.460 --> 00:05:07.420]   First of all, thank you for coming.
[00:05:07.420 --> 00:05:09.980]   And it's always great to get people here
[00:05:09.980 --> 00:05:12.420]   that have not been here before and putting eyes on it
[00:05:12.420 --> 00:05:14.460]   and looking at the facility,
[00:05:14.460 --> 00:05:16.020]   seeing the security around it,
[00:05:16.020 --> 00:05:18.260]   the safety around it and so forth.
[00:05:18.260 --> 00:05:22.440]   And so I've been out here for 30 years
[00:05:22.440 --> 00:05:25.140]   and I've raised my children here in the community
[00:05:25.140 --> 00:05:27.420]   and I've had various different positions out here.
[00:05:27.420 --> 00:05:30.820]   We are the largest private employer in the community.
[00:05:30.820 --> 00:05:32.460]   And what is just amazing
[00:05:32.460 --> 00:05:35.220]   and just something I like to highlight a lot
[00:05:35.220 --> 00:05:38.220]   is the strong safety culture we have out here,
[00:05:38.220 --> 00:05:40.100]   the strong use of standards
[00:05:40.100 --> 00:05:42.980]   and the history of the excellence in safely
[00:05:42.980 --> 00:05:45.840]   and reliably operating this nuclear power plant.
[00:05:45.840 --> 00:05:47.660]   - Well, given how safely you operate it,
[00:05:47.660 --> 00:05:50.500]   I appreciate you letting us into the control room.
[00:05:50.500 --> 00:05:53.980]   It's just the simulator of the control room.
[00:05:53.980 --> 00:05:56.220]   But that was very evident today.
[00:05:56.220 --> 00:05:58.660]   The fact of the matter is the history of the last 10 years
[00:05:58.660 --> 00:06:01.900]   has not been smooth sailing here at Diablo Canyon.
[00:06:01.900 --> 00:06:05.180]   Tell us a little bit about like what took you on the path
[00:06:05.180 --> 00:06:09.100]   of decommissioning this two and a half gig facility
[00:06:09.100 --> 00:06:11.260]   and kind of where you are today.
[00:06:11.260 --> 00:06:12.100]   - Great question.
[00:06:12.100 --> 00:06:15.500]   So, you know, 10 years ago, eight, 10 years ago,
[00:06:15.500 --> 00:06:19.060]   the energy equations and the need for Diablo
[00:06:19.060 --> 00:06:21.100]   had very different assumptions and inputs.
[00:06:21.100 --> 00:06:25.700]   What I mean by that in the 2015 timeframe, 2016 timeframe,
[00:06:25.700 --> 00:06:27.540]   you know, we weren't talking about AI.
[00:06:27.540 --> 00:06:29.540]   We weren't talking about data centers.
[00:06:29.540 --> 00:06:32.900]   We weren't talking about the electrification goals
[00:06:32.900 --> 00:06:34.980]   of the state and of the country.
[00:06:34.980 --> 00:06:37.460]   We didn't have geopolitical things going on
[00:06:37.460 --> 00:06:39.220]   like the Russian invasion in Ukraine.
[00:06:39.220 --> 00:06:42.660]   So that has like a squeeze on some of our supply
[00:06:42.660 --> 00:06:45.620]   for nuclear fuel and uranium.
[00:06:45.620 --> 00:06:49.060]   And so you have all of that and then you add on the drought
[00:06:49.060 --> 00:06:50.940]   and the climate stuff going on
[00:06:50.940 --> 00:06:53.260]   and the severe heat and the wildfires.
[00:06:53.260 --> 00:06:55.580]   And what I mean by wildfires is that's impacting
[00:06:55.580 --> 00:06:58.340]   our bringing in energy to California
[00:06:58.340 --> 00:07:03.060]   and affecting our transmission lines of importing in energy.
[00:07:03.060 --> 00:07:05.660]   So you don't have all that back in 2016.
[00:07:05.660 --> 00:07:10.260]   Now fast forward to 2020, August, rolling blackouts,
[00:07:10.260 --> 00:07:12.500]   seeing just peak demands on the system
[00:07:12.500 --> 00:07:15.060]   and on the grid in California.
[00:07:15.060 --> 00:07:18.500]   And really re-looking at that needs analysis,
[00:07:18.500 --> 00:07:21.740]   is Diablo needed given now all these new factors?
[00:07:21.740 --> 00:07:25.740]   You run all those numbers and you know, what we're seeing,
[00:07:25.740 --> 00:07:27.540]   it's very hard to pull off
[00:07:27.540 --> 00:07:29.420]   the largest clean energy producer,
[00:07:29.420 --> 00:07:31.740]   the largest energy producer in California.
[00:07:31.740 --> 00:07:34.340]   That's about nine to 10% of Californians.
[00:07:34.340 --> 00:07:38.420]   So the projects to replace,
[00:07:38.420 --> 00:07:41.020]   the renewable projects to replace,
[00:07:41.020 --> 00:07:43.100]   Diablo have not made the progress
[00:07:43.100 --> 00:07:46.820]   that I think the state thought it would back in 2015, 2016.
[00:07:46.820 --> 00:07:48.500]   - So this is things like offshore wind.
[00:07:48.500 --> 00:07:51.860]   - Correct, offshore wind projects and so forth.
[00:07:51.860 --> 00:07:55.380]   We need a mix of it all for not only California,
[00:07:55.380 --> 00:07:56.380]   but for the country.
[00:07:56.380 --> 00:07:58.860]   We need a mix of solar and wind,
[00:07:58.860 --> 00:08:01.860]   hydro and clean nuclear energy
[00:08:01.860 --> 00:08:04.060]   to meet the goals that we have of this country
[00:08:04.060 --> 00:08:05.180]   and of the state.
[00:08:05.180 --> 00:08:09.580]   - Yeah, I think a lot of the people in our industry
[00:08:09.580 --> 00:08:14.100]   have kind of been on a pro-nuclear bandwagon
[00:08:14.100 --> 00:08:15.140]   past five years.
[00:08:15.140 --> 00:08:16.060]   - Yeah.
[00:08:16.060 --> 00:08:19.260]   - And that appears now to be something
[00:08:19.260 --> 00:08:22.140]   that's kind of tipped across the US.
[00:08:22.140 --> 00:08:25.460]   Take us back to prior to that starting to happen.
[00:08:25.460 --> 00:08:29.940]   What were the forces that were pushing for decommissioning?
[00:08:29.940 --> 00:08:34.940]   - So the main force was the projections
[00:08:34.940 --> 00:08:39.860]   by the Energy Commission and other energy advisors
[00:08:39.860 --> 00:08:42.340]   was showing that there wasn't a need for Diablo.
[00:08:42.340 --> 00:08:43.660]   That was the main driver.
[00:08:43.660 --> 00:08:47.700]   So there were a number of things that were going on in 2016.
[00:08:47.700 --> 00:08:50.420]   And what was important was that we were being used
[00:08:50.420 --> 00:08:51.820]   for a bridging strategy
[00:08:51.820 --> 00:08:54.780]   to get to have those other renewable projects
[00:08:54.780 --> 00:08:58.420]   come online to replace us in 2024 and 2025.
[00:08:58.420 --> 00:09:00.060]   So here we are.
[00:09:00.060 --> 00:09:05.060]   Unit one's current license expires November 2nd of 2024.
[00:09:05.060 --> 00:09:07.100]   And it'll be really interesting to look at
[00:09:07.100 --> 00:09:10.620]   what's going on November 3rd and 4th with our grid
[00:09:10.620 --> 00:09:12.380]   had we taken unit one off.
[00:09:12.380 --> 00:09:14.300]   So we're right there, right?
[00:09:14.300 --> 00:09:18.500]   Unit two's current license expires in August of 2025.
[00:09:18.500 --> 00:09:22.860]   But we've put in for a 20 year license renewal application
[00:09:22.860 --> 00:09:24.180]   with the federal regulator,
[00:09:24.180 --> 00:09:25.860]   the Nuclear Regulatory Commission.
[00:09:25.860 --> 00:09:28.380]   Even though the state's only asked us for five,
[00:09:28.380 --> 00:09:30.900]   we've done that to make sure we maximize the optionality
[00:09:30.900 --> 00:09:33.380]   for the state and seeing the progress
[00:09:33.380 --> 00:09:36.500]   of those other projects coming online to replace Diablo.
[00:09:36.500 --> 00:09:39.380]   - It's inconceivable to me.
[00:09:39.380 --> 00:09:42.500]   I mean, we're just in the generating facility.
[00:09:42.500 --> 00:09:46.380]   This is an extraordinarily efficient operation
[00:09:46.380 --> 00:09:50.220]   for the production of very dense baseload power.
[00:09:50.220 --> 00:09:53.340]   Elon Musk recently said, with respect to Germany,
[00:09:53.340 --> 00:09:57.860]   that it's utter madness to take plants like this offline.
[00:09:57.860 --> 00:10:00.820]   When you look at the shift over the last 10 years,
[00:10:00.820 --> 00:10:04.620]   characterize your own view.
[00:10:04.620 --> 00:10:07.180]   Obviously, you're an interested party here,
[00:10:07.180 --> 00:10:11.700]   but given the state's increasing needs for baseload power
[00:10:11.700 --> 00:10:13.820]   and the fact that some of these things
[00:10:13.820 --> 00:10:15.340]   have come online slower,
[00:10:15.340 --> 00:10:17.540]   I assume you would agree it would be utter madness
[00:10:17.540 --> 00:10:19.380]   to take Diablo offline.
[00:10:19.380 --> 00:10:22.100]   - And I would, and I would from being an engineer
[00:10:22.100 --> 00:10:25.180]   and a scientist who loves to work in facts.
[00:10:25.180 --> 00:10:30.580]   Nuclear's capacity factors, you said efficient,
[00:10:30.580 --> 00:10:35.580]   their capacity factors, Diablo's upwards of 90%, right?
[00:10:35.580 --> 00:10:39.860]   And we have had our units run at 93, 94%.
[00:10:39.860 --> 00:10:41.780]   You can't mess with those numbers.
[00:10:41.780 --> 00:10:46.700]   We're available 24/7, 365 days a year, rain or shine.
[00:10:46.700 --> 00:10:49.460]   And so much needed if you need to store some of that energy
[00:10:49.460 --> 00:10:53.060]   or need that energy for the high demand
[00:10:53.060 --> 00:10:56.140]   that we see in extreme conditions.
[00:10:56.140 --> 00:10:57.660]   I mean, this today, right now,
[00:10:57.660 --> 00:11:02.620]   we're under restricted maintenance operations by the state
[00:11:02.620 --> 00:11:04.540]   because it's in the hundreds degrees
[00:11:04.540 --> 00:11:06.300]   in the majority of the state
[00:11:06.300 --> 00:11:07.900]   and the demand is gonna be so high
[00:11:07.900 --> 00:11:09.180]   and we don't wanna have what happened
[00:11:09.180 --> 00:11:12.340]   in August of 2020 happen again.
[00:11:12.340 --> 00:11:13.180]   I mean, that's about people's--
[00:11:13.180 --> 00:11:14.820]   - Rolling blackouts. - Rolling blackouts.
[00:11:14.820 --> 00:11:16.020]   That's about people's lives.
[00:11:16.020 --> 00:11:17.300]   That's people in hospitals.
[00:11:17.300 --> 00:11:20.940]   I mean, you see the tragedies in Texas going on, right?
[00:11:20.940 --> 00:11:22.740]   We need to be doing something about it.
[00:11:22.740 --> 00:11:26.780]   So it would be utter madness and scientifically wrong.
[00:11:26.780 --> 00:11:30.060]   And I say that from 35 years in the industry
[00:11:30.060 --> 00:11:33.220]   as a nuclear engineer with confidence.
[00:11:33.220 --> 00:11:34.300]   - Right.
[00:11:34.300 --> 00:11:39.300]   Can you talk about the potential timeline for Diablo?
[00:11:39.300 --> 00:11:43.180]   'Cause you mentioned earlier
[00:11:43.180 --> 00:11:45.700]   that the state had talked about five years
[00:11:45.700 --> 00:11:47.300]   but you're applying for 20.
[00:11:47.300 --> 00:11:49.980]   How far theoretically could it run
[00:11:49.980 --> 00:11:51.860]   or how long theoretically could it run?
[00:11:51.860 --> 00:11:52.700]   - Sure.
[00:11:52.700 --> 00:11:53.980]   So the current licenses
[00:11:53.980 --> 00:11:56.260]   for all United States nuclear power plants
[00:11:56.260 --> 00:11:59.500]   is your original licenses for 40 years, okay?
[00:11:59.500 --> 00:12:00.980]   Then there's a process that we're in right now
[00:12:00.980 --> 00:12:03.260]   to renew it for 20 more years.
[00:12:03.260 --> 00:12:06.540]   And just about every nuclear unit in the United States
[00:12:06.540 --> 00:12:09.220]   has submitted for that except for a few of us.
[00:12:09.220 --> 00:12:10.540]   We had previously submitted,
[00:12:10.540 --> 00:12:13.060]   but part of the decommissioning
[00:12:13.060 --> 00:12:14.860]   or the shutting down agreement in 2016
[00:12:14.860 --> 00:12:17.220]   was to pull that application back.
[00:12:17.220 --> 00:12:18.700]   And then there's about a dozen plants
[00:12:18.700 --> 00:12:21.460]   that are going for subsequent license renewal applications
[00:12:21.460 --> 00:12:22.460]   to go 20 more.
[00:12:22.460 --> 00:12:23.620]   - From 60 to 80.
[00:12:23.620 --> 00:12:25.420]   - Yeah, so go 80 years.
[00:12:25.420 --> 00:12:27.420]   And so the NRC has these processes
[00:12:27.420 --> 00:12:30.100]   'cause just like renewing your driver's license
[00:12:30.100 --> 00:12:31.340]   that you have to do on a periodicity,
[00:12:31.340 --> 00:12:33.780]   you wanna be looking at the licenses
[00:12:33.780 --> 00:12:37.740]   and the components and so forth at every nuclear plant.
[00:12:37.740 --> 00:12:39.980]   So they have that opportunity as a safety regulator
[00:12:39.980 --> 00:12:41.660]   to approve those phases.
[00:12:41.660 --> 00:12:43.820]   - This is something you educated me on today.
[00:12:43.820 --> 00:12:46.060]   I think I was under the perception
[00:12:46.060 --> 00:12:48.700]   that there was some kind of finite life
[00:12:48.700 --> 00:12:49.860]   to one of these facilities
[00:12:49.860 --> 00:12:52.340]   because of something about nuclear I didn't understand,
[00:12:52.340 --> 00:12:54.260]   but I'm walking away now thinking
[00:12:54.260 --> 00:12:58.140]   that the plant is upgradable and maintainable,
[00:12:58.140 --> 00:13:01.380]   and it's just a matter of keeping it in tip-top shape,
[00:13:01.380 --> 00:13:03.220]   meeting all the safety standards
[00:13:03.220 --> 00:13:05.340]   and then reapplying for these licenses.
[00:13:05.340 --> 00:13:06.180]   - Yeah, absolutely.
[00:13:06.180 --> 00:13:11.180]   We run this station to excellence and performance,
[00:13:11.180 --> 00:13:12.940]   as I said, from a safety perspective,
[00:13:12.940 --> 00:13:15.700]   from an operational, from a maintenance, engineering,
[00:13:15.700 --> 00:13:17.500]   everything that it takes.
[00:13:17.500 --> 00:13:19.820]   We are in the highest compliance ranking
[00:13:19.820 --> 00:13:22.420]   of the Nuclear Regulatory Commission,
[00:13:22.420 --> 00:13:24.940]   and we have achieved many evaluations
[00:13:24.940 --> 00:13:27.300]   by an industry group
[00:13:27.300 --> 00:13:29.100]   that evaluates all nuclear power plants
[00:13:29.100 --> 00:13:31.380]   in the world of excellence performance
[00:13:31.380 --> 00:13:33.700]   in operation and safety and reliability.
[00:13:33.700 --> 00:13:36.100]   So we run this plant very well,
[00:13:36.100 --> 00:13:38.820]   and that's what made it such a fairly easy call
[00:13:38.820 --> 00:13:40.900]   from the state of California of,
[00:13:40.900 --> 00:13:42.660]   hey, what would it take?
[00:13:42.660 --> 00:13:44.060]   What's the point of no return?
[00:13:44.060 --> 00:13:46.700]   Could you keep operating Diablo Canyon?
[00:13:46.700 --> 00:13:49.260]   And that was the legislation of Senate Bill 846
[00:13:49.260 --> 00:13:50.780]   in September of 2022,
[00:13:50.780 --> 00:13:53.780]   because we're regulated by both the federal government
[00:13:53.780 --> 00:13:54.780]   and the state government.
[00:13:54.780 --> 00:13:56.020]   So the state government think
[00:13:56.020 --> 00:13:58.380]   the California Public Utility Commission,
[00:13:58.380 --> 00:14:00.820]   they just approved in December of 2023
[00:14:00.820 --> 00:14:04.500]   our new expiration dates, which is 2029 and 2030.
[00:14:04.500 --> 00:14:05.700]   State Lands Commission,
[00:14:05.700 --> 00:14:07.860]   you got to see the intake and the discharge.
[00:14:07.860 --> 00:14:10.580]   We have leases with them,
[00:14:10.580 --> 00:14:13.460]   so that they just extended it for five more years
[00:14:13.460 --> 00:14:14.660]   or up to 2030.
[00:14:14.660 --> 00:14:17.500]   And then State Water Resource Control Board,
[00:14:17.500 --> 00:14:19.420]   we had to get the continued exemption
[00:14:19.420 --> 00:14:21.860]   for things like once-through cooling
[00:14:21.860 --> 00:14:23.460]   that has been required
[00:14:23.460 --> 00:14:25.540]   because of the way our system is designed,
[00:14:25.540 --> 00:14:26.500]   our plant is designed.
[00:14:26.500 --> 00:14:27.700]   - Just to be clear,
[00:14:27.700 --> 00:14:34.300]   the current governor could extend
[00:14:34.300 --> 00:14:38.180]   the plant's useful life for an additional 15 years
[00:14:38.180 --> 00:14:42.460]   beyond 2030, assuming the federal 20-year extension
[00:14:42.460 --> 00:14:45.060]   comes through, which you expect to come through.
[00:14:45.060 --> 00:14:47.220]   Now, of course, at any point along the way,
[00:14:47.220 --> 00:14:49.940]   they could say we have excess power generation.
[00:14:49.940 --> 00:14:52.340]   All of a sudden, we had a breakthrough in solar or wind
[00:14:52.340 --> 00:14:54.500]   and we don't need Diablo anymore.
[00:14:54.500 --> 00:14:58.500]   But there's an opportunity over the next two years, Bill,
[00:14:58.500 --> 00:15:03.500]   for Governor Newsom to extend the operating license
[00:15:03.500 --> 00:15:05.060]   here in the state on Diablo,
[00:15:05.060 --> 00:15:07.900]   which seems to me, given our present power needs
[00:15:07.900 --> 00:15:09.340]   and what we see inflecting up,
[00:15:09.340 --> 00:15:12.540]   we've talked a lot about what's happening in AI.
[00:15:12.540 --> 00:15:14.740]   I'm sure you've had the hyperscalers down here
[00:15:14.740 --> 00:15:19.740]   talking to you guys, talking to Patty at PG&E
[00:15:19.740 --> 00:15:21.060]   about their power needs.
[00:15:21.060 --> 00:15:22.380]   But if we're gonna build data centers
[00:15:22.380 --> 00:15:23.300]   in the state of California,
[00:15:23.300 --> 00:15:24.580]   as I was walking around here today,
[00:15:24.580 --> 00:15:25.540]   I was thinking to myself,
[00:15:25.540 --> 00:15:27.340]   they ought to be building data centers right here.
[00:15:27.340 --> 00:15:29.100]   You have plenty of excess land
[00:15:29.100 --> 00:15:32.380]   and plugging them into these incredible
[00:15:32.380 --> 00:15:34.180]   power-generating machines that we have.
[00:15:34.180 --> 00:15:37.820]   So that's the opportunity right now for Diablo
[00:15:37.820 --> 00:15:41.700]   is to extend for another 15 years beyond 2030.
[00:15:41.700 --> 00:15:45.380]   - We will stay ready for that call, if we get that call.
[00:15:45.380 --> 00:15:46.340]   - Do you wanna get that call?
[00:15:46.340 --> 00:15:47.180]   - Absolutely wanna get that call.
[00:15:47.180 --> 00:15:48.020]   - What's the argument?
[00:15:48.020 --> 00:15:50.020]   I mean, tell me if I'm wrong,
[00:15:50.020 --> 00:15:53.100]   but what's the argument for decommissioning nuclear
[00:15:53.100 --> 00:15:54.340]   ahead of coal?
[00:15:54.340 --> 00:15:56.900]   Like there's no argument, is there?
[00:15:56.900 --> 00:16:00.100]   - I think it gets down to the energy policies
[00:16:00.140 --> 00:16:04.780]   and how you define renewable versus greenhouse gas free.
[00:16:04.780 --> 00:16:09.020]   And Senate Bill 350, I believe is the number from 2015.
[00:16:09.020 --> 00:16:13.140]   And at the very end of that bill,
[00:16:13.140 --> 00:16:16.140]   they changed the word greenhouse gas free to renewable
[00:16:16.140 --> 00:16:19.100]   and excluded nuclear and large hydro.
[00:16:19.100 --> 00:16:20.260]   So we need a mix of renewables.
[00:16:20.260 --> 00:16:21.100]   - Who's they?
[00:16:21.100 --> 00:16:24.820]   - Yeah, I mean, legislators, yeah.
[00:16:24.820 --> 00:16:25.940]   Which is fine because again,
[00:16:25.940 --> 00:16:29.260]   that's what was known in 2015 timeframe.
[00:16:29.260 --> 00:16:31.740]   Very different equation and formula
[00:16:31.740 --> 00:16:33.220]   that we are navigating through
[00:16:33.220 --> 00:16:34.780]   with all the things I mentioned earlier.
[00:16:34.780 --> 00:16:38.100]   - Yeah, that's why I go to some of the smartest people
[00:16:38.100 --> 00:16:40.980]   in our world, whether it's Elon or Patrick Collison
[00:16:40.980 --> 00:16:43.340]   or Steven Pinker is not in our world,
[00:16:43.340 --> 00:16:45.180]   but a very smart individual.
[00:16:45.180 --> 00:16:51.500]   I think they would all argue you take coal and gas off
[00:16:51.500 --> 00:16:53.100]   before you take nuclear off.
[00:16:53.100 --> 00:16:55.460]   - I would say, and then to reverse it or flip it
[00:16:55.460 --> 00:16:58.660]   is just go after as much carbon free as you can.
[00:16:58.660 --> 00:16:59.980]   - Totally, totally agree.
[00:16:59.980 --> 00:17:02.460]   - And work on that, the latter part there.
[00:17:02.460 --> 00:17:05.700]   But again, going for the 20 or applying
[00:17:05.700 --> 00:17:08.020]   for the 20 year licensed renewal application,
[00:17:08.020 --> 00:17:09.500]   which is the NRC's process.
[00:17:09.500 --> 00:17:10.420]   That's what they approve.
[00:17:10.420 --> 00:17:12.460]   So like in the state of New York,
[00:17:12.460 --> 00:17:14.420]   Indian Point was a plant which applied
[00:17:14.420 --> 00:17:17.540]   for the 20 year licensed renewal NRC process,
[00:17:17.540 --> 00:17:18.380]   got that approval.
[00:17:18.380 --> 00:17:20.020]   And then the state decided,
[00:17:20.020 --> 00:17:22.260]   hey, we have enough renewable in that
[00:17:22.260 --> 00:17:24.460]   and we don't need the nuclear power plant.
[00:17:24.460 --> 00:17:27.140]   And after about 10 years or so, I don't have the exacts.
[00:17:27.140 --> 00:17:29.220]   But I mean, that is we are governed
[00:17:29.220 --> 00:17:32.740]   and regulated by both the state and the federal government.
[00:17:32.740 --> 00:17:35.940]   - It's hard to believe, it's hard for me to see a future.
[00:17:35.940 --> 00:17:38.060]   Okay, when you have China,
[00:17:38.060 --> 00:17:42.300]   who's adding six to eight new fission reactors per year,
