
[00:00:00.000 --> 00:00:19.680]   Hi everyone, I'm Jerry, co-founder and CEO of Llama Index, and I'll probably spend the first
[00:17:17.280 --> 00:17:23.200]   question but like have you seen a single system work as a single source of truth and kind of how have
[00:17:23.200 --> 00:17:30.080]   you see that work yeah real big use so i think um the yeah i think i think the full details there's
[00:17:30.080 --> 00:17:34.400]   probably like a lot to dive into there i think generally speaking what we see is um for like
[00:17:34.400 --> 00:17:38.800]   homogeneous data sources where it's like of the same kind of like data type let's say it's all like
[00:17:38.800 --> 00:17:43.120]   financial reports you can generally use like the same set of parameters to basically parse it because
[00:17:43.120 --> 00:17:48.080]   there's like an expectation they're roughly the same format for very diverse and different data sources
[00:17:48.080 --> 00:17:54.080]   like if all of a sudden you're bringing in not just like pdf documents but also um like semi-structured
[00:17:54.080 --> 00:18:00.320]   data from like you know uh jira or something or or um uh what was it like salesforce for instance like
[00:18:00.320 --> 00:18:06.160]   jasons um you typically need to set up like a separate pipeline there and then what you know we both offer
[00:18:06.160 --> 00:18:12.160]   on the open source but also the enterprise side um is this ability to like combine um all these different
[00:18:12.160 --> 00:18:16.800]   data sources and then you just have to like combine them together and re-rank them right and and have some
[00:18:16.800 --> 00:18:28.960]   re-ranking layer at the at the top all right thank you um yeah so i've been using llama parts for a
[00:18:28.960 --> 00:18:34.240]   little bit and first of all i love it so it works really well so thank you for producing it uh however
[00:18:34.240 --> 00:18:39.200]   two weeks ago i was working on a project for a client and uh all of a sudden i was getting all these
[00:18:39.200 --> 00:18:44.800]   failures and i contacted support via the chat and there was a gentleman helping me out and he's like go
[00:18:44.800 --> 00:18:50.240]   pass me the job ids give me the job ids and all of a sudden just went mia and then replied back so
[00:18:50.240 --> 00:18:55.360]   the question is what are the support options so in case i get stuck over the weekend i could actually
[00:18:55.360 --> 00:18:59.600]   get somebody to help totally first of all i'm sorry you ran into those issues i know we had like a
[00:18:59.600 --> 00:19:04.800]   cluster of just uh failures i think that specific weekend it was just it was um it was a good lesson
[00:19:04.800 --> 00:19:09.760]   for us right uh keep in mind we're like 15 people at the company um and so we're uh when you talk to
[00:19:09.760 --> 00:19:14.320]   support is probably like one of the the founding engineers just like jumping in uh so i promise
[00:19:14.320 --> 00:19:18.640]   we're making that process more streamlined um typically on the enterprise side like especially
[00:19:18.640 --> 00:19:22.800]   uh for kind of like the like enterprise plans that we offer i'm happy to chat about this offline like
[00:19:22.800 --> 00:19:27.520]   we offer dedicated slas right and so this is kind of like there's uh some support option we're doing on
[00:19:27.520 --> 00:19:32.960]   on the casual like kind of uh like self-serve APIs but um we're offering like dedicated slas on on the
[00:19:32.960 --> 00:19:48.640]   enterprise hey so we're building a building hallucination detection and other evaluation systems for
[00:19:48.640 --> 00:19:53.440]   our customers that have a very large collection of documents and typically that's like uh you could
[00:19:53.440 --> 00:19:59.040]   have of course like thousands of pdfs and also those pdfs typically of course contain a lot of tables and all
[00:19:59.040 --> 00:20:05.760]   that uh and then there's question of how to combine like ocrs and other pdp processing on that so the
[00:20:05.760 --> 00:20:11.600]   question is like what is your general recommendation like last does lama parse uh take care of all this
[00:20:11.600 --> 00:20:16.720]   or and do you recommend like building some kind of custom system directly on top of lama index or how do
[00:20:16.720 --> 00:20:21.120]   you how would you recommend handling that yeah i think i mean i i guess i didn't actually show the
[00:20:21.120 --> 00:20:27.600]   capabilities of law first in these slides um but uh maybe if i dig around a little bit i can try to find the
[00:20:27.600 --> 00:20:35.840]   specific um uh slides where showcases um yeah like the basically what you want when you parse these
[00:20:35.840 --> 00:20:42.640]   documents is you want some generally good parser um that will lay out the text like uh in a spatially
[00:20:42.640 --> 00:20:47.120]   aligned way um and so it doesn't matter if you have all the bells and whistles of like bounding boxes
[00:20:47.120 --> 00:20:51.520]   and all these things you generally like bare minimum like just want the text to be like faithfully
[00:20:51.520 --> 00:20:56.400]   represented and that's exactly what lama parse does especially for like tables so we have a few examples
[00:20:56.400 --> 00:21:00.880]   for instance where like you have tables within a document um and then you lay it out in a spatially
[00:21:00.880 --> 00:21:07.440]   aligned way and then when you feed this to an llm llms generally are trained to respond pretty well to
[00:21:07.440 --> 00:21:13.520]   like well like just formatted pieces of text uh so they can understand what's going on um in that text
[00:21:13.520 --> 00:21:19.600]   trunk uh whereas if you use like a very naive parser like a baseline pdf parser um it's going to like
[00:21:19.600 --> 00:21:24.000]   collapse the text and numbers and therefore kind of uh it's going to generate a lot of hallucinations but
[00:21:24.000 --> 00:21:34.080]   yeah yeah with the with the increase in size of context windows that are available to us and also the
[00:21:34.080 --> 00:21:38.000]   improvements that we're finding for like dealing the haste of that kind of problems yeah what is your
[00:21:38.000 --> 00:21:43.840]   perspective on where we're headed towards rag yeah i think there's two general trends uh one is longer
[00:21:43.840 --> 00:21:48.800]   context windows the other is like multi-modality um i do think uh there's a few things that will
[00:21:48.800 --> 00:21:54.160]   probably go away and a few things that will stay one is uh good parsing is still important um the reason
[00:21:54.160 --> 00:21:58.880]   is like you know in the end if your parser is bad you're just going to feed bad data into the llm and it's
[00:21:58.880 --> 00:22:04.320]   going to hallucinate information um what i think will probably go away is as context windows get bigger
[00:22:04.320 --> 00:22:10.080]   chunk sizes can also get bigger um so you know you are probably not going to need to worry about like
[00:22:10.080 --> 00:22:15.040]   intra-page splitting like splitting a single page into a bunch of smaller chunks um in the future we
[00:22:15.040 --> 00:22:20.480]   could see you just uh like putting entire documents as chunks and basically indexing stuff at a document
[00:22:20.480 --> 00:22:24.720]   level i think that actually makes a lot of sense because documents are typically like self-contained
[00:22:24.720 --> 00:22:31.280]   entities um and i think they'll make a lot easier for developers um however in general for a multi-doc
[00:22:31.280 --> 00:22:35.440]   system which you know if you're in a company you probably have like billions of documents uh many
[00:22:35.440 --> 00:22:41.040]   gigabytes of documents it's you're probably not going to feed all billion documents into the uh
[00:22:41.040 --> 00:22:46.560]   context window on every inference call even with context caching which i think gemini has because
[00:22:46.560 --> 00:22:51.280]   context caching is right now super expensive um probably doesn't make sense from a cost perspective
[00:22:51.280 --> 00:22:55.920]   and also is a black box so you don't get accountability into the data um you basically store the transformer
[00:22:55.920 --> 00:23:00.000]   weights for those of you who like kind of are familiar with that um and you don't really get like full
[00:23:00.000 --> 00:23:05.360]   transparency into what the data is actually being fed um into the language model at each step so actually i think for
[00:23:05.360 --> 00:23:09.760]   a variety of reasons the overall idea of retrieval from an external storage system whether it's a
[00:23:09.760 --> 00:23:15.520]   vector database or graph database still matters for a variety of reasons um but you know the minute
[00:23:15.520 --> 00:23:20.080]   chunking decisions will probably go away the second thing which you didn't ask about but which i'll talk
[00:23:20.080 --> 00:23:26.400]   about anyways is multimodal um i think as multimodal uh models get better um i think it actually makes
[00:23:26.400 --> 00:23:31.200]   sense to basically start having like diverse representations of the same thing um so for instance we have a
[00:23:31.200 --> 00:23:36.720]   a powerpoint presentation um you're able to uh like represent each page for instance as an image
[00:23:36.720 --> 00:23:41.360]   in addition to just like parse text and by storing native image chunks you basically preserve
[00:23:41.360 --> 00:23:46.320]   all the information within that data um anytime you do parsing it's an inherently lossy right because
[00:23:46.320 --> 00:23:52.160]   you're inherently like trying to extract out stuff in like a textual format as opposed to preserving the full picture
[00:23:52.160 --> 00:23:57.680]   um and by having like um like different ways of representing the same amount of data
[00:23:57.680 --> 00:24:00.640]   you can basically trade off between like cost performance and latency
[00:24:00.640 --> 00:24:05.600]   let's check in though
[00:24:05.600 --> 00:24:12.160]   hi um so i see you you've done a lot of work improving the accuracy reduce the hallucination
[00:24:12.160 --> 00:24:17.200]   i wonder if you are working on anything to make the conversation flow better uh in my experience
[00:24:18.240 --> 00:24:24.480]   it's so hard to to get um did the conversation to to feel natural sometimes they overemphasize the
[00:24:24.480 --> 00:24:30.480]   the context uh data while i just want to give it a fii and just continue talking like a normal human
[00:24:30.480 --> 00:24:35.920]   so you're talking about like basically how to create more natural conversation flows that's uh that's uh
[00:24:35.920 --> 00:24:39.360]   yeah i think all the so that that's very interesting i think um
[00:24:42.000 --> 00:24:48.400]   the the um the overall answer to that is i think the default way most people are building these
[00:24:48.400 --> 00:24:53.920]   conversation flows is you have some like say rag pipeline as like a tool right um and then you
[00:24:53.920 --> 00:24:59.920]   basically have an agent as an outer layer um that reasons over the conversation history and can um
[00:24:59.920 --> 00:25:04.960]   basically you know synthesize the the right answer at the given point in time so the the knobs
[00:25:04.960 --> 00:25:10.560]   basically that you want to tune are the the agent reasoning like prompt um as well as the memory
[00:25:10.560 --> 00:25:15.040]   and i think the memory is actually pretty important because um right now most memory modules are like
[00:25:15.040 --> 00:25:19.440]   very primitive um there's not a lot of good things beyond just like dumping the conversation history
[00:25:19.440 --> 00:25:24.000]   into the prompt um so happy to chat more about that as well but i think there's like a lot of a lot
[00:25:24.000 --> 00:25:30.000]   of stuff there that you could probably try um just want to double check the time yeah okay okay okay
[00:25:30.000 --> 00:25:36.880]   nurse yeah how are you using llama agents internally what's the most complex task that's a great question
[00:25:36.880 --> 00:25:40.640]   um so for those of you who weren't at the keynote we launched this thing called llama agents which is
[00:25:40.640 --> 00:25:46.240]   an open source multi-agent um framework basically for helping you basically deploy agents as micro
[00:25:46.240 --> 00:25:51.120]   services right now agents primarily live in like notebooks and the idea is to spin them up as like api
[00:25:51.120 --> 00:25:56.880]   services right now i think we're mostly just like uh using it to build like kind of more constrained
[00:25:56.880 --> 00:26:01.680]   simple rag pipelines and it's actually still in alpha state so i encourage all of you to basically try
[00:26:01.680 --> 00:26:07.440]   it out um there's a lot of things that i already know it can't do um for instance have like more general
[00:26:07.440 --> 00:26:12.720]   um kind of like uh there's like communication protocols and interfaces that we want to build in
[00:26:12.720 --> 00:26:17.360]   a more interesting message queue system but you know if you have an enterprise use case that's
[00:26:17.360 --> 00:26:22.000]   like going agentic and you want to basically kind of understand it as microservices uh so they can
[00:26:22.000 --> 00:26:28.400]   basically reuse encapsulate it um please track it out come talk to us but cool and thank you yeah sorry
[00:26:28.400 --> 00:26:38.400]   for going over no that's all fantastic
[00:26:38.400 --> 00:26:50.480]   you

