
[00:00:00.000 --> 00:00:11.680]   Well, hi, everyone. Welcome back to another episode of Everyday Educator. Today I have
[00:04:11.700 --> 00:04:19.940]   conversation. And I think that idea of, of a way of educating where you're inviting your students into
[00:04:19.940 --> 00:04:29.300]   the conversation is groundbreaking. I mean, that is a completely different way to look at educating.
[00:04:29.300 --> 00:04:33.540]   Will you speak to that? And then also the fact that you invited the Holy Spirit into the
[00:04:33.540 --> 00:04:37.140]   conversation? Because it's kind of like you're having this two way conversation, right?
[00:04:37.140 --> 00:04:48.260]   I think, you know, I guess because I felt like I wasn't a good calculator, you know, I wasn't a fast
[00:04:48.260 --> 00:04:55.540]   calculator. I didn't always understand a lot of the big picture ideas in, even in geometry and algebra.
[00:04:55.540 --> 00:05:01.300]   So I felt like I wasn't invited into that conversation to keep learning. And I feel like
[00:05:01.300 --> 00:05:07.380]   that's what CC has done for me is, hey, we want to invite you in the conversation. We don't care about
[00:05:07.380 --> 00:05:13.060]   your math background. We don't care if you ever took an advanced math class. We want to invite all
[00:05:13.060 --> 00:05:19.060]   parents into the conversation. Because if we're invited in, now we can invite our student, right?
[00:05:19.060 --> 00:05:24.900]   And so there are students that feel like, I just can't do this math. You can, right? You can. And so
[00:05:24.900 --> 00:05:33.860]   we want to model to our students, I can do it. And how old am I? 49. And I can do it. So you at 16,
[00:05:33.860 --> 00:05:41.460]   15, 14, whatever age they are, they can do it too. So the Holy Spirit thing, I just have to share this
[00:05:41.460 --> 00:05:47.220]   with you. So we will probably talk about this a little bit with a different topic. But so
[00:05:47.220 --> 00:05:53.380]   this past semester, I took a class through Southeastern, the master's program. And I was
[00:05:53.380 --> 00:05:57.940]   trying to decide, you know, what major I wanted. And so I was just playing around with different classes.
[00:05:57.940 --> 00:06:07.540]   So I took elementary number theory. There's nothing elementary about it. Okay. It was very hard. It
[00:06:07.540 --> 00:06:17.220]   was very hard. And what I found myself doing was crying a lot and also praying a lot. Like I would get
[00:06:17.220 --> 00:06:24.100]   to a topic and I just wouldn't understand it. And I would, I would pray, Lord, I know you can help me do
[00:06:24.100 --> 00:06:29.460]   this. I know you can help me at least understand enough, you know, to get the gist of this problem,
[00:06:29.460 --> 00:06:35.780]   to complete this assignment. And a lot of times it would take me leaving, you know, like walking away,
[00:06:35.780 --> 00:06:40.120]   you know, how we get to that breaking point sometimes, and we just have to take a break.
[00:06:40.120 --> 00:06:47.380]   And then coming back to it, you know, after spending some time with the Lord. And eventually I would get
[00:06:47.380 --> 00:06:52.980]   it. Now it might take me a day or two, or maybe even a week, but I would eventually get it.
[00:06:53.580 --> 00:06:59.160]   And so I feel like if I can take a master's level math class with the help of the Holy Spirit,
[00:06:59.160 --> 00:07:04.820]   then I can do anything now. I mean, it really was one of the hardest things I've ever done in my life.
[00:07:04.820 --> 00:07:09.740]   I know that sounds silly, but it really was one of the hardest things I've ever done
[00:07:09.740 --> 00:07:15.320]   because I, I couldn't see the end result. Like I didn't know, well, at the end of this,
[00:07:15.320 --> 00:07:21.300]   I can write a paper, right? I couldn't see that. It was just, I was understanding this number theory.
[00:07:21.940 --> 00:07:28.020]   So definitely inviting the Holy Spirit. I have to do that all day long. You know, even if you go to
[00:07:28.020 --> 00:07:34.620]   Walmart, you should invite the Holy Spirit to come with you. But for sure, when you're teaching your
[00:07:34.620 --> 00:07:40.060]   kids, because not only can the Holy Spirit stir in you and give you the right word to say, but now they
[00:07:40.060 --> 00:07:44.500]   can stir in the heart of your child, you know, as you're, you're teaching them as well. So.
[00:07:45.500 --> 00:07:50.340]   It's so true. I love that you shared that story. Um, something else that we mentioned before we
[00:07:50.340 --> 00:07:59.360]   press record, you guys is just the fact that I also was a person who, who just had the way I think of
[00:07:59.360 --> 00:08:03.760]   it. And I'm not sure if this is actually the truth, but this is where we landed is that I had some
[00:08:03.760 --> 00:08:11.060]   neurological blocks. Like there were just things in my brain, the figurative speech about math where I,
[00:08:11.060 --> 00:08:17.540]   I just had a block and I needed the time. Like I actually needed my brain to grow and shift and
[00:08:17.540 --> 00:08:26.240]   change so that I could wrap my mind around certain concepts when it came to math. And because I was
[00:08:26.240 --> 00:08:29.780]   homeschooled through high school and had the benefit of not being the guinea pig child, my mother
[00:08:29.780 --> 00:08:34.900]   recognized that fairly quickly. So when I was between the ages of like 13 and 15, she said,
[00:08:34.900 --> 00:08:40.600]   you know what? We've done algebra too, so many times, you know, geometry was nothing for me. I
[00:08:40.600 --> 00:08:44.800]   could have done it in my sleep. I still can tell you, yes, that wall is about this, this big. And
[00:08:44.800 --> 00:08:49.520]   it's this shape. I just, that's how my brain worked. But when it came time to make it figurative,
[00:08:49.520 --> 00:08:54.960]   I couldn't get there for a long time. And then when I went to college, I needed to get there for the
[00:08:54.960 --> 00:09:01.920]   major that I had. And so I was like you begging the Lord to enlighten me. And the thing that I want
[00:09:01.920 --> 00:09:08.120]   everyone to hear in both of our stories is that he did, you know, like it's, it's not as though math
[00:09:08.120 --> 00:09:13.600]   is this topic where you can't invite him in. So while we have this conversation about math and I know
[00:09:13.600 --> 00:09:20.400]   everyone tends to have mixed feelings, um, let's teach our kids to do that, to, to really have that
[00:09:20.400 --> 00:09:25.620]   conversation with the Lord. Because if we really do believe that the purpose of education is to know
[00:09:25.620 --> 00:09:29.420]   God and to make him known, then he should be in the conversation.
[00:09:29.420 --> 00:09:36.620]   Yes. And that's, that's something too, to, you know, a lot of people are like, why do I even care?
[00:09:36.620 --> 00:09:42.000]   Like, why do I, why should I make my kid like study all these things? And there's a couple of reasons,
[00:09:42.000 --> 00:09:47.860]   but you kind of hit on one of them is I can learn more about God by studying math. And it's probably
[00:09:47.860 --> 00:09:54.300]   things that I'm not going to discover anywhere else. You know, like if you think about like Fibonacci
[00:09:54.300 --> 00:10:02.960]   numbers, okay, God created this pattern that he put in a sunflower or a shell or a pine cone
[00:10:02.960 --> 00:10:12.680]   for, for my enjoyment, right? For me to love it and to see its beauty. And so if I don't study and know
[00:10:12.680 --> 00:10:19.360]   that the, the, the way that was created was by God's math pattern, why I can learn one more thing about
[00:10:19.360 --> 00:10:25.260]   the Lord by studying that particular topic. So that's one thing is that we can learn more about
[00:10:25.260 --> 00:10:31.700]   the Lord by studying this math topic. And another thing too, is how to do hard things.
[00:10:31.700 --> 00:10:38.940]   Yeah. I mean, we all know in CC, we're training our kids to do hard things. Right. And so I feel like,
[00:10:38.940 --> 00:10:46.340]   you know, it's really training your brain to think logically, to, to look for patterns. I mean,
[00:10:46.340 --> 00:10:50.740]   we can take a lot of the skills that we're learning in mathematics and apply them to so many other
[00:10:50.740 --> 00:10:57.580]   things that it's just, you're just transferring that skill to math. And so I honestly don't feel
[00:10:57.580 --> 00:11:06.480]   like you have to love math in order to want your student to succeed in it or want them to, to know
[00:11:06.480 --> 00:11:11.580]   about it. I mean, it would probably be helpful for them to see joy while you're teaching them,
[00:11:11.580 --> 00:11:18.440]   but also it might be good for them to see you're, you're doing hard things. Like my boys watching me
[00:11:18.440 --> 00:11:24.100]   cry and struggle and pray to get through this class. I mean, as embarrassing as that probably was
[00:11:24.100 --> 00:11:29.920]   for me, I'm glad they saw it because I didn't give up. I didn't not take, you know, I did not finish the
[00:11:29.920 --> 00:11:36.100]   class. I actually got an A in it. Hey, you know what I mean? So the fact that they get to see that and
[00:11:36.100 --> 00:11:41.320]   we're modeling that for our students, that's just another skill like showing them, Hey, I can do hard
[00:11:41.320 --> 00:11:47.360]   things. I can look at something that maybe right might seem really difficult, but breaking it down,
[00:11:47.360 --> 00:11:52.420]   looking at the grammar, looking at patterns, it's approachable. So I think that's another thing too,
[00:11:52.420 --> 00:11:58.120]   is, um, you know, there are lots of reasons to do math. Not, not just that I'm going to be a good
[00:11:58.120 --> 00:12:04.560]   calculator. I mean, we have computers to calculate, right? And so, you know, yes, it's, it's important
[00:12:04.560 --> 00:12:09.500]   for me to know how to, to add a subtract and multiply and divide. It's definitely important. I mean, I need
[00:12:09.500 --> 00:12:15.000]   to know if this person gives me back change, did she give me back the right change? Exactly. And I don't
[00:12:15.000 --> 00:12:21.080]   have time to pull out my calculator to figure that out. If something's on sale, right? I need to know if
[00:12:21.080 --> 00:12:25.240]   they're going to ring it up correctly, right? Cause I can figure out percentages. So there's lots of
[00:12:25.240 --> 00:12:29.920]   reasons why we need to know those kinds of things. Um, but more importantly, I think is,
[00:12:29.920 --> 00:12:35.380]   can we do hard things and what can I learn about God by studying something that I've never studied
[00:12:35.380 --> 00:12:42.500]   this deep before? Yeah. And that starts, you know, I love that you and I are having this conversation
[00:12:42.500 --> 00:12:48.340]   because your boys are a lot older. I've got one in utero and one who's three, you know, so I'm like
[00:12:48.340 --> 00:12:56.020]   on the opposite end of the spectrum. Um, but that, that literally starts from a young age,
[00:12:56.020 --> 00:13:00.000]   you know, when your children are older, you can explain to them the value of doing something
[00:13:00.000 --> 00:13:05.720]   difficult when they are younger. It's more along the lines of modeling, but there are some really
[00:13:05.720 --> 00:13:12.980]   practical things that regardless of the age of your student, they're going to glean from focusing on
[00:13:12.980 --> 00:13:19.680]   math. And, and some of that is for, for my son, it's like, Hey, I really want you to write these
[00:13:19.680 --> 00:13:25.720]   numbers because we're working on your fine motor skills. And I know what that's going to do for your
[00:13:25.720 --> 00:13:33.200]   brain. So if you are resistant to, and he's not, he loves to draw, but if, and when he was resistant
[00:13:33.200 --> 00:13:38.460]   to writing, I knew it was because he was struggling with a fine motor. So there were a lot of things that
[00:13:38.460 --> 00:13:42.780]   we did exercises that we did games that we play, just stuff. I had him pick up all over the place
[00:13:42.780 --> 00:13:47.920]   to strengthen those little fingers so that when it came time to do the math, that wasn't a hurdle for
[00:13:47.920 --> 00:13:54.060]   him. Same thing with like practicing sitting still that might seem so, so unrelated to math, but that
[00:13:54.060 --> 00:14:00.240]   patience of doing hard things, that's a skill that you're building your child over time. And if they
[00:14:00.240 --> 00:14:05.720]   don't have that tolerance to be able to wade through and just sit there when they're not interested
[00:14:05.720 --> 00:14:09.580]   because they don't understand yet, then they can't get that light bulb moment. But those are,
[00:14:09.580 --> 00:14:15.180]   that's a character conversation we're having right now. So yeah. And it's, it starts young. So I just
[00:14:15.180 --> 00:14:22.140]   love that we, I'm seeing what you're seeing from a totally different angle, but the value is the same.
[00:14:22.140 --> 00:14:28.920]   So I'm sure that there are people listening who are like, okay, I love what you're saying. Give me some
[00:14:28.920 --> 00:14:36.420]   practicals. So let's switch gears for just a few minutes and maybe talk about some of your,
[00:14:36.420 --> 00:14:42.500]   your top math activity ideas specifically for children in the summer.
[00:14:42.500 --> 00:14:50.400]   So I think first I would make sure I've taken a break, right? Whenever we're done with community
[00:14:50.400 --> 00:14:55.760]   or whatever we're doing with school, make sure I at least take a week or two and take a break
[00:14:55.760 --> 00:15:00.760]   because we do need the break as moms. We need the break and as kids, they need the break too.
[00:15:00.760 --> 00:15:08.520]   Right. So making sure we, we have a break. Um, and for, for a lot of our families who are getting
[00:15:08.520 --> 00:15:13.900]   ready to use the math map, which is brand new, um, there are lots of things to do in the summer
[00:15:13.900 --> 00:15:20.200]   that can get them ready. And one of them as a parent is to download, there's a naturals booklet.
[00:15:20.200 --> 00:15:26.340]   It's for like ages four and five, no five and six. And it's mostly, mostly copy and trace,
[00:15:26.340 --> 00:15:33.320]   but for the parent, it gives them an introduction into this brand new curriculum and they can just
[00:15:33.320 --> 00:15:38.460]   copy and trace at their will. So what I've been trying to do is print out a booklet, stick it in
[00:15:38.460 --> 00:15:43.340]   my giant pocketbook that I carry everywhere. And if I go to like the doctor's office and I have to wait,
[00:15:43.340 --> 00:15:48.580]   instead of scrolling my phone, which I want to do, I put it up and I try to get out my booklet and just
[00:15:48.580 --> 00:15:54.740]   copy and trace. And what that does is it, it gives me an overview of the curriculum, but it also
[00:15:54.740 --> 00:16:01.640]   gives me, it introduces me to some grammar that either I don't remember from school or I've never
[00:16:01.640 --> 00:16:07.660]   seen before because I didn't take that particular higher level math. And so that's one thing that
[00:16:07.660 --> 00:16:12.180]   parents can do. And then if their kids are old enough, they can have their kids join and do the
[00:16:12.180 --> 00:16:17.840]   same thing with them because again, it's copying and tracing. So there's not a lot of brain power that has
[00:16:17.840 --> 00:16:24.000]   to go through if I'm just tracing a definition or I'm, you know, copying a symbol. Um, but it's
[00:16:24.000 --> 00:16:29.620]   still, I still have the connection. Right. And so I would just, you know, copying and tracing is just a
[00:16:29.620 --> 00:16:37.160]   good, a good thing to try. Also flashcards. I love flashcards. Um, not necessarily just the CC ones,
[00:16:37.160 --> 00:16:42.540]   but like addition, subtraction, multiplication, division to always keep those things, you know,
[00:16:42.780 --> 00:16:48.800]   going on in my mind. But the new notations flashcards, I love them because it's all those
[00:16:48.800 --> 00:16:54.440]   symbols that I don't remember from school. Now they're brought up again in a flashcard way. And if
[00:16:54.440 --> 00:16:59.380]   I don't really like the sitting and drilling, I could like hide them around the room and let them go find
[00:16:59.380 --> 00:17:04.280]   them. And as they brought them back to me, they could tell me, you know, what the definition was of
[00:17:04.280 --> 00:17:08.620]   whatever the symbol was, you know, you can find little ways to play with them and not necessarily
[00:17:08.620 --> 00:17:16.620]   have to be, um, you know, just drilling. But so, so that's another thing. And then any games,
[00:17:16.620 --> 00:17:21.560]   any game that you have in your game closet, you can make it mathematical. So I went through the game
[00:17:21.560 --> 00:17:27.060]   closet a while back and I have a hard time getting rid of games. You know, my kids are older, so they
[00:17:27.060 --> 00:17:32.420]   probably aren't going to play hi-ho cheerio, but I still have that game. And, and that game can be
[00:17:32.420 --> 00:17:38.040]   mathematical because I have to count how many of those little red cherries to put on my, my little
[00:17:38.040 --> 00:17:43.560]   board. And so like battleship, they have to know coordinates, right? Because they have to put those
[00:17:43.560 --> 00:17:48.520]   on there. So probably any game you have in your closet, you could figure out a way to make it
[00:17:48.520 --> 00:17:54.300]   mathematical and your kids don't even realize they're learning or reviewing anything. They're just
[00:17:54.300 --> 00:18:01.100]   playing a game. And so I like to do stuff like that, that really tells them, like, they don't think
[00:18:01.100 --> 00:18:06.600]   they're learning, but they are. And we get to play a game because I love games. I love card games. I love
[00:18:06.600 --> 00:18:12.620]   board games. And so if I can get all of my folks at one table, I'm going to get them to play a game.
[00:18:12.620 --> 00:18:20.020]   Yeah. And then a bonus if they're, if they're learning something, right? Exactly. Oh, I love those ideas.
[00:18:20.020 --> 00:18:24.920]   And I mean, it's, it's so true that I had never thought of that. The fact that most,
[00:18:24.920 --> 00:18:30.740]   I can't think of an exception at this time, pretty much every board game or card game that you can
[00:18:30.740 --> 00:18:37.020]   play can be. That's the easiest. I mean, even, even just like that's number recognition, really. It's
[00:18:37.020 --> 00:18:43.180]   like numbers and colors, right? But like checkers, that's like logic. Cause you got to, well, and kind
[00:18:43.180 --> 00:18:49.420]   of numbers too, because you have to have so many in a row, but like almost every game is either, you know,
[00:18:49.420 --> 00:18:55.400]   you're practicing logic or you're practicing numbers. And then like reading books, you know, we always want
[00:18:55.400 --> 00:19:01.120]   to read to our kids. That's really big for us. But there are books at the library about math stuff. Like there
[00:19:01.120 --> 00:19:06.960]   was this one book. See if I can remember. It was something like, how does a dinosaur count to 10? It was like
[00:19:06.960 --> 00:19:12.900]   over and over again, like little things like that. You could just go to the library and just pick out
[00:19:12.900 --> 00:19:19.020]   random books about math. But you're, you're reading to your kids. They're hearing the numbers, you know,
[00:19:19.020 --> 00:19:23.960]   what was the other one? There was another one about counting. It might've been a Dr. Seuss. Oh,
[00:19:23.960 --> 00:19:27.060]   you know, like the, he was counting all the weird things in the Dr. Seuss.
[00:19:27.300 --> 00:19:33.280]   Apples up on top is another one. Yes. Yeah. Yeah. Yeah. So, I mean, those kinds of, and see,
[00:19:33.280 --> 00:19:37.960]   that's still, you know, reading, right? So you're, you're doing two things at one time. You're reading
[00:19:37.960 --> 00:19:43.480]   to your kids or having them read it, but then you're also looking at a math concept. So that's
[00:19:43.480 --> 00:19:47.500]   something else you can kind of do in the summer too, is, is reading different math. Yeah, that's
[00:19:47.500 --> 00:19:51.320]   great. Well, and what you're making me think of too, Babs, is just the fact that sometimes
[00:19:51.320 --> 00:19:59.900]   expanding a child's ability to see the application of math is a fantastic use of your time. Like I'll
[00:19:59.900 --> 00:20:04.840]   take one just right off the top. Although I'm sure there are many more. I love the story of hidden
[00:20:04.840 --> 00:20:12.840]   figures. I find it so inspiring to me. I, and I would have told you in high school and into my early
[00:20:12.840 --> 00:20:16.780]   twenties. Now I'm in my thirties that I didn't care about math. That's what I would have told you.
[00:20:16.780 --> 00:20:22.000]   But when I learned what these ladies were able to do with their math skills, I said,
[00:20:22.000 --> 00:20:28.560]   hang on a second. Actually, I think I want to learn Euler's method. And actually I think I'm very
[00:20:28.560 --> 00:20:34.320]   interested in the way, you know, my father's an engineer. And so I had, I'd always have kind of
[00:20:34.320 --> 00:20:39.620]   a concept of what you could do if you did love math with your mathematical knowledge. However,
[00:20:39.620 --> 00:20:46.520]   sometimes I think people just need to be, they need to be exposed to a new way that math is,
[00:20:46.520 --> 00:20:51.800]   is kind of hitting them in the face in their daily life, you know, or people who they might
[00:20:51.800 --> 00:20:57.980]   not expect to be thinking in a mathematical way so that then they, it'll wet their palate and they'll
[00:20:57.980 --> 00:21:04.060]   say, okay, well, I do want to know these facts because if I can, if I can get ABC, I can get to D and I
[00:21:04.060 --> 00:21:11.400]   really want to be in this D range. So I'll just, I'll just plow through. So I love what you're saying
[00:21:11.400 --> 00:21:12.060]   about that too.
[00:21:12.060 --> 00:21:17.000]   And cooking, like cooking is the easiest one, right? Because you have to know your measurements.
[00:21:17.000 --> 00:21:20.300]   And I remember there was a foundation song. I'm probably going to mess it up, but it was like
[00:21:20.300 --> 00:21:24.660]   eight blue, an ounce equal one cup, you know, all the ones where you're, it's the measurements.
[00:21:24.660 --> 00:21:31.680]   So I remember in the kitchen cooking and singing that song to try to remember how many ounces were
[00:21:31.680 --> 00:21:37.560]   in a cup or whatever. And we would be in the grocery store and we would have to get like hot dogs and
[00:21:37.560 --> 00:21:41.920]   hamburgers for, or maybe hot dogs and buns for like some kind of church event. And I would have
[00:21:41.920 --> 00:21:47.720]   to count by twelves, like for the buns, how many buns do I need? So I'd get out the 12 song, 12,
[00:21:47.720 --> 00:21:53.120]   24, 30, 30, 40, and sing that. So, I mean, those kinds of things, you don't even know you're doing
[00:21:53.120 --> 00:21:59.320]   it. You're just doing it, you know? So, I mean, yeah, math is like all around us and, and just living.
[00:21:59.320 --> 00:22:03.680]   I mean, if you just cooked or you went to the grocery store, you'd be doing math. So, and we talked
[00:22:03.680 --> 00:22:09.020]   about, you know, the sale, knowing the sale price or knowing the correct change, which honestly,
[00:22:09.020 --> 00:22:14.480]   we really need to check these people who give us change back now, because I don't think all of them
[00:22:14.480 --> 00:22:18.900]   know how to give correct change. That's why they don't count it back. They just put it in your hand
[00:22:18.900 --> 00:22:25.620]   and say, here you go. Yes. Yes. So we need to train our kids to know how to say, oh, I don't think you
[00:22:25.620 --> 00:22:33.520]   gave me all the right change. Yes, exactly. We could, we could fund a college, college on what
[00:22:33.520 --> 00:22:39.160]   you could get back and change if you got the right change. That's fantastic. And then even just the
[00:22:39.160 --> 00:22:44.520]   fact that I was thinking about artists as you were sharing too, that's another place that I think a lot
[00:22:44.520 --> 00:22:52.340]   of people don't necessarily expect, although the math map showcases it impeccably, but artists are
[00:22:52.340 --> 00:22:59.960]   constantly doing math because God, the whole world he created is mathematical. This physical world
[00:22:59.960 --> 00:23:07.680]   is mathematical and there is balance in good art. High quality art has the most balance. And so if
[00:23:07.680 --> 00:23:12.760]   you know your ratios and your brain can think in ratios and then like even decorating, I always loved
[00:23:12.760 --> 00:23:17.400]   interior design. That's another thing. I want to rearrange over half the rooms in my house right now,
[00:23:17.400 --> 00:23:24.520]   because it has occurred to me that the ratios are off. And since I know that, you know, now it's,
[00:23:24.520 --> 00:23:29.880]   it's bothering. I can't unsee it, but it's, it's a math thing. I want the balance and I know exactly
[00:23:29.880 --> 00:23:34.860]   where these thirds need to land and, and that, that brings peace. So having your children really,
[00:23:34.860 --> 00:23:40.280]   going back to the math, having your children come at this math conversation from an unconventional
[00:23:40.280 --> 00:23:48.280]   way is, is a great thing. And the summertime is so ripe for this because you do have a little bit
[00:23:48.280 --> 00:23:55.660]   more flexibility usually in your schedule. So figure out what they're into. I promise you math is in the
[00:23:55.660 --> 00:24:00.900]   middle of it. If they like sports, there's a lot of math involved. If they like cooking, there's math
[00:24:00.900 --> 00:24:06.420]   in there. Legos, Legos. There's lots of, I mean, you could do with Legos, you know, like even just
[00:24:06.420 --> 00:24:12.300]   counting, but like building 3d objects or trying to build a 4d object. Cause it was hard for us to
[00:24:12.300 --> 00:24:17.840]   imagine what 4d is like building those kinds of weird objects. But Legos are so fun to play with
[00:24:17.840 --> 00:24:23.220]   math. I mean, you could even do like sorting games, you know, where you sort by color or you sort by,
[00:24:23.220 --> 00:24:27.980]   I don't know, like functionality, you know, like however many have two, however many have four,
[00:24:27.980 --> 00:24:33.560]   you know, that kind of thing. Cause we used to do that when, with, with writing, we were learning how
[00:24:33.560 --> 00:24:38.820]   to make an Annie chart. We would sort Legos or sort something in your kitchen drawer. The same thing
[00:24:38.820 --> 00:24:44.320]   with math. You have to sort numbers, right. Put them in because, you know, like if you can't, you can't
[00:24:44.320 --> 00:24:48.380]   add or subtract different numbers, you got to make sure they have that like fractions have to have the
[00:24:48.380 --> 00:24:52.780]   same denominator. Right. So you've got to know how to sort or you got to put them in the right format.
[00:24:53.400 --> 00:24:58.700]   So, um, yeah, Legos are always fun in my house and I feel like that they're very mathematical.
[00:24:58.700 --> 00:25:03.240]   Yeah. That's such a great point. So, and I was trying to think there was another thing I was
[00:25:03.240 --> 00:25:09.340]   trying to think, Oh, well, well we do have, um, but we talked about card games too, but just a plain
[00:25:09.340 --> 00:25:15.740]   deck of cards, right. You can have so many games just from a deck of cards. You can practice like
[00:25:15.740 --> 00:25:19.660]   adding, you can practice multiplying and dividing me. You can practice algebraic expressions
[00:25:19.660 --> 00:25:26.060]   just with a deck of cards. And so it's not that you have to go buy a bunch of stuff over the summer.
[00:25:26.060 --> 00:25:32.260]   You probably have everything in your house, like a board game that's really mathematical or Legos or
[00:25:32.260 --> 00:25:39.620]   whatever it is. And you can make it into, you know, a math game. Exactly. And that applies to every
[00:25:39.620 --> 00:25:46.940]   age, every range of learning and understanding. It doesn't matter if your child is in the grammar phase
[00:25:46.940 --> 00:25:53.980]   or if they are in dialectic or rhetoric, you can do math with the things that you have around you.
[00:25:53.980 --> 00:26:00.980]   Um, I love that you're making me really want to do some math calculations with sports. My, my son is
[00:26:00.980 --> 00:26:07.000]   very into baseball right now and I'm atrocious at it and he's phenomenal at it. And I bet you, if I knew
[00:26:07.000 --> 00:26:11.820]   a little bit more about like what I was supposed to be doing with my hand or the arc, he keeps trying to
[00:26:11.820 --> 00:26:16.200]   explain it to me. But of course he's serious. He can do it, but he can't articulate it. But he's like,
[00:26:16.260 --> 00:26:21.340]   no, you're supposed to do it like this. If I got that, whatever that thing was, I bet it would
[00:26:21.340 --> 00:26:27.020]   change my life. And I promise you, it's attached to math. Um, I love this. Let's talk about, let's
[00:26:27.020 --> 00:26:32.700]   talk about breakthroughs and tension. Cause again, some of the reason why we have this stigma against
[00:26:32.700 --> 00:26:38.720]   diving into the conversation in math is that it can get emotional and challenging. And you've got a lot
[00:26:38.720 --> 00:26:45.040]   years under your belt of homeschooling. Um, can you maybe talk to us about a time when one of your
[00:26:45.040 --> 00:26:52.420]   students really was having a, a challenging, a challenging season with math and they had a
[00:26:52.420 --> 00:26:58.660]   breakthrough and what, what changed the game for them and how, how you navigated that with them?
