
[00:00:00.000 --> 00:00:08.060]   They end up chanting in front of him, Viva la muerte. Long live death. They have their
[00:10:54.260 --> 00:11:00.980]   thing. But it means that you get some people in who are sort of, yeah, from blog land, there's nothing
[00:11:00.980 --> 00:11:04.740]   wrong with that. But it means that you get somebody who will do something like that. The problem with
[00:11:04.740 --> 00:11:14.660]   that interaction, as I saw it, was that guy asked that more disrespectful question. And I think it was
[00:11:14.660 --> 00:11:22.500]   disrespectful. I'll very quickly say why. I mean, I think that when a man comes from the realm of war
[00:11:22.500 --> 00:11:29.300]   into the realm of peace, the people in the realm of peace should have some respect or at least concession
[00:11:29.300 --> 00:11:38.180]   that the other man has come from the realm of war. And that if you're sitting in a political environment
[00:11:38.180 --> 00:11:46.260]   where you talk about people being destroyed and decimated and defenestrated and much more to a
[00:11:46.260 --> 00:11:56.740]   man who's, for whom none of that is metaphorical, I think that's extremely hard to accept.
[00:11:59.300 --> 00:12:07.140]   And I think that probably also at that moment, there was a sort of sense of, you know, Zelensky is
[00:12:07.140 --> 00:12:14.260]   being disrespected by being asked about what he's wearing. When, as everyone knows, you know, Churchill
[00:12:14.260 --> 00:12:20.180]   during World War II used to wear his fatigues on foreign visits. And it's just that, it's to remind
[00:12:20.180 --> 00:12:27.620]   people that you're coming from the realm of war. And I think that probably in that moment, one of the things
[00:12:27.620 --> 00:12:31.780]   that would have been going through his head would be, but I mean, if, if, if this was Putin sitting
[00:12:31.780 --> 00:12:37.060]   here being assaulted by a journalist, you know, you'd, you'd hope your host stepped in and defended you.
[00:12:37.060 --> 00:12:42.740]   I mean, if, let me try this one out. I mean, if safe, if a, if a journalist in the Oval Office,
[00:12:42.740 --> 00:12:49.780]   if Putin was sitting there or a putative journalist said to Putin, you know, um, everyone knows you've
[00:12:49.780 --> 00:12:55.620]   had a lot of facial work done and, uh, word is you've used the same guy that Berlusconi used to use.
[00:12:56.580 --> 00:13:01.460]   Um, can you comment on, on that? You, you, you'd, you'd, you'd say, well,
[00:13:01.460 --> 00:13:07.460]   that's a kind of disrespectful question for journalists to ask. And it's a little bit,
[00:13:07.460 --> 00:13:16.580]   um, off, off what needs to be gone over. Uh, and it's the same thing with Zelensky with the outfit.
[00:13:16.580 --> 00:13:20.500]   I think it was just petty and, and, and, and threw things off in a bad way.
[00:13:20.500 --> 00:13:26.260]   Yeah. And it was probably research because I think Zelensky was explained this like three years
[00:13:26.260 --> 00:13:30.420]   ago at the beginning of the war, why he wears what he wears. And he's been consistent wearing the same.
[00:13:30.420 --> 00:13:35.460]   It's also, by the way, it's, it's an example of the frivolity of a lot of the, of the attempts to,
[00:13:35.460 --> 00:13:42.820]   attempts to understand what's going on. I mean, my view is that, is that since actually most people,
[00:13:42.820 --> 00:13:47.060]   in fact, everybody cannot be an expert on everything. One of the things that we always
[00:13:47.060 --> 00:13:55.140]   do is to seize on minor and really quite unimportant things. I mean, I mean, every side does it look at
[00:13:55.140 --> 00:13:59.940]   the way in which the American right for years talked about the Churchill bust leaving the White House
[00:13:59.940 --> 00:14:06.020]   Oval Office in the Obama years. I didn't want to hear another darn thing about the Churchill bust
[00:14:06.020 --> 00:14:14.740]   after eight years, because it just, it was in lieu of trying to understand and actually critique Obama's
[00:14:14.740 --> 00:14:20.420]   foreign policy. It was just the easy shorthand. I think it's the same. We're always tempted to that.
[00:14:20.420 --> 00:14:25.220]   But the thing is, I think you mentioned Putin. I think Putin would have been able to
[00:14:25.220 --> 00:14:33.220]   respond himself to that journalist effectively. And he would have done it in Russian.
[00:14:33.220 --> 00:14:35.140]   Oh yeah. The language thing.
[00:14:35.140 --> 00:14:40.260]   Yeah. So I wanted to sort of lay out several just unfortunate things that happen in these
[00:14:40.260 --> 00:14:45.860]   situations. And I think it happens in all peace negotiations. And it's funny how history can turn
[00:14:45.860 --> 00:14:50.340]   in moments like this. I do think there's a dickhead reporter combined with the fact that
[00:14:50.340 --> 00:14:55.460]   the, you know, with all due respect, but Zelensky's English sometimes is not very good.
[00:14:55.460 --> 00:14:58.660]   Yes. And apart from anything else, if he had to agree to not done it in English,
[00:14:58.660 --> 00:15:02.420]   he would have bought himself the extra seconds in some of his replies that he needed. Yeah.
[00:15:02.420 --> 00:15:09.780]   Yeah. And have the wit, the guy is funny, witty, intelligent. You know, he could do that
[00:15:09.780 --> 00:15:14.900]   in the native language of whether it's Ukrainian or Russian to be able to respond and get the interpreter.
[00:15:16.020 --> 00:15:20.180]   So all of that is really unfortunate. Cause I think on those little moments,
[00:15:20.180 --> 00:15:27.620]   it's a dance and there's an opportunity there, you know, the Republicans, the right wing in the United
[00:15:27.620 --> 00:15:34.740]   States have a general kind of skepticism of Zelensky and, and, but that doesn't mean it has to be that
[00:15:34.740 --> 00:15:37.140]   way. It can turn, it can change, it can evolve.
[00:15:37.140 --> 00:15:40.020]   It's very interesting why it has happened. Why do you think it's happened?
[00:15:40.020 --> 00:15:48.180]   I think the politics in the United States is so dumb that at the very beginning, it could just be
[00:15:48.180 --> 00:15:57.300]   reduced to, well, the left went Putin bad, Zelensky good, rah, rah, Ukrainian flags. Therefore,
[00:15:57.300 --> 00:15:59.220]   the right must go the opposite. Yeah.
[00:15:59.220 --> 00:16:04.340]   It's sometimes as literally as dumb as that. Let's each pick a side and call the other dumb.
[00:16:04.340 --> 00:16:12.020]   I had a line I used recently, um, the necessity of people who live too long online to try to wade
[00:16:12.020 --> 00:16:16.820]   their way out of the means. It is so like that, isn't it? Because yes, I mean, I can understand the
[00:16:16.820 --> 00:16:22.420]   people who find it very irritating that so many people who would put BLM flags or pride flags or,
[00:16:22.420 --> 00:16:28.260]   you know, trans flags in their bio, then put Ukrainian flags in their bio, despite almost certainly not
[00:16:28.260 --> 00:16:33.940]   knowing where Ukraine was. And, uh, if that happens, the inevitable instinct of a lot of
[00:16:33.940 --> 00:16:39.060]   people who aren't really thinking is to say, that's really annoying. These people are really
[00:16:39.060 --> 00:16:43.380]   annoying. I'll sock it to them. But that's where you've got to try to rise above that and say,
[00:16:43.380 --> 00:16:48.740]   actually, funnily enough, the fate of a country doesn't depend on my tolerance for memes online
[00:16:48.740 --> 00:16:56.980]   today. Yeah. So I think the memes can be broken through in meetings like the one that happened
[00:16:56.980 --> 00:17:03.220]   between Zelensky and Trump. There could have been real camaraderie. I've seen the skill of that just
[00:17:03.220 --> 00:17:10.820]   recently having researched deeply and interacted with Narendra Modi. Here's somebody who has the skill
[00:17:10.820 --> 00:17:19.460]   of, you know, for his country, for his situation, being able to somehow be friends with Putin and friends
[00:17:19.460 --> 00:17:25.140]   with Zelensky and friends with Trump and friends with Biden and friends with Obama.
[00:17:25.140 --> 00:17:25.700]   That's very skillful.
[00:17:25.700 --> 00:17:37.300]   And that while still being strong for his country and fundamentally a nationalist figure who's like,
[00:17:38.180 --> 00:17:46.100]   you know, very not globalist, not anything but pro-India, India first, nation first.
[00:17:46.100 --> 00:17:51.460]   In fact, nation first with a very specific idea of what that nation represents.
[00:17:51.460 --> 00:17:52.020]   Cool.
[00:17:52.020 --> 00:17:54.980]   And that, you know, Zelensky could do all of those things,
[00:17:54.980 --> 00:18:04.180]   but have the skill of navigating the Trump room. Because every single leader has their own peculiar
[00:18:04.180 --> 00:18:05.940]   quirks that need to be navigated.
[00:18:05.940 --> 00:18:09.620]   Yes. The obvious one, I mean, I don't want to make it sound like it was all Zelensky's fault,
[00:18:09.620 --> 00:18:13.220]   but I mean, the obvious one was at the beginning of the meeting to say yet again, as he has done for
[00:18:13.220 --> 00:18:18.260]   three years, thank you to America and the American people and American politicians from across the aisle
[00:18:18.260 --> 00:18:24.820]   for your support for my country and its hour of need. We're deeply grateful. And because he for
[00:18:24.820 --> 00:18:26.020]   once forgot to say that.
[00:18:26.020 --> 00:18:29.060]   I think it's not that simple. I think there's a...
[00:18:29.060 --> 00:18:30.500]   It's not that simple. It's one reason.
[00:18:30.500 --> 00:18:32.900]   I think saying thank you, he didn't need to say thank you.
[00:18:32.900 --> 00:18:33.460]   There is just...
[00:18:33.460 --> 00:18:35.940]   That was why Vance, that was what Vance leapt in on.
[00:18:35.940 --> 00:18:41.460]   He's just picking a thing to leap on. There's a whole energy. You have to
[00:18:41.460 --> 00:18:50.340]   acknowledge in your way of being that you have been very Biden, buddy, buddy with the left for the last
[00:18:50.340 --> 00:18:56.660]   four years. There's ways to fix that. Listen, these people are complicated narcissists,
[00:18:56.660 --> 00:19:03.060]   all of them, Biden, Trump. You have to navigate the complexity of that. And you basically have to
[00:19:03.060 --> 00:19:10.980]   say a kind word to Trump, which is like showing... There's many ways of doing that, but one of them is
[00:19:10.980 --> 00:19:17.140]   saying feeding the ego by acknowledging that he is one of the world's greatest negotiators, right?
[00:19:18.020 --> 00:19:22.980]   I'm glad we're able to come to the table and negotiate together because I believe you are the
[00:19:22.980 --> 00:19:30.420]   great negotiator, mediator that can actually bring a successful resolution to it as opposed to have
[00:19:30.420 --> 00:19:37.220]   an energy of like, it should be obvious to everybody that Ukraine are the good guys and Russia is the
[00:19:37.220 --> 00:19:42.820]   bad guys. There's this whole energy of entitlement that he brought. He forgot that there's a new guy.
[00:19:42.820 --> 00:19:51.140]   You got to like convince the new guy that this global mission that this nation is on, this war
[00:19:51.140 --> 00:20:02.900]   that is in many ways, the West versus the East, that there's ideals, there's whole histories here,
[00:20:02.900 --> 00:20:06.740]   that this is a war worth winning. You have to convince them, right?
[00:20:06.740 --> 00:20:14.180]   Yeah, no, sure. And they obviously failed on that occasion. But as I say, it must be bewildering to
[00:20:14.180 --> 00:20:21.220]   have landed in a place where people were seriously talking about Ukraine starting the war and Zelensky,
[00:20:21.220 --> 00:20:29.220]   not Putin being the dictator. I did the front page of the New York Post the day after the President's
[00:20:29.220 --> 00:20:35.300]   comments on that saying that, the big picture of Putin just saying, right, this is a dictator. And
[00:20:35.300 --> 00:20:42.660]   you know, I think that people can be live enough to be able to recognize that, you know, you can make
[00:20:42.660 --> 00:20:49.940]   criticisms of Zelensky or the Ukrainians, but it doesn't mean you have to fall full Putin. And again,
[00:20:49.940 --> 00:20:53.780]   unfortunately, a lot of people in our time don't have that capability.
[00:20:53.780 --> 00:20:59.540]   Can we go right into it? What is your strongest criticism of Putin?
[00:20:59.540 --> 00:21:07.060]   He's a dictator who's very bloody, as repressive as you can be of political opposition, internal
[00:21:07.060 --> 00:21:14.420]   opposition. He's kleptomaniac of his country's resources, has enriched himself as much as he could,
[00:21:15.540 --> 00:21:25.620]   as he has with the cronies around him. He's not just acted to destroy internal opposition in Russia,
[00:21:25.620 --> 00:21:33.300]   but has gone to other countries, including my own country of birth and killed people on their, our soil,
[00:21:33.300 --> 00:21:41.540]   using, as it happens, weapons of mass destruction. The use of polonium in the center of London,
[00:21:42.260 --> 00:21:48.580]   not good. The use of incredibly dangerous nerve agents that could kill tens of thousands of
[00:21:48.580 --> 00:21:55.060]   people in a charming cathedral city like Salisbury, not good. If the sort of apologists of Putin would
[00:21:55.060 --> 00:22:00.020]   say, well, he's just a sort of tough man who's looking after his house business. Well, I don't
[00:22:00.020 --> 00:22:04.180]   think, even if you think he has the right to do that, that he should be doing it in third countries,
[00:22:05.300 --> 00:22:12.740]   deliberately using weapons that are meant to show that you could take out tens of thousands of British
[00:22:12.740 --> 00:22:20.500]   citizens. Yeah, I mean, that's just for starters. What do you make for, do you think he's actually
[00:22:20.500 --> 00:22:29.860]   popularly elected? No. Do you think the results of the elections are fraudulent? Yes. I mean,
[00:22:30.740 --> 00:22:35.700]   do you think it's possible that it's just that the opposition has been eliminated and he's
[00:22:35.700 --> 00:22:41.460]   legitimately popularly elected? It definitely helps a chap if he's killed all of his opponents.
[00:22:42.580 --> 00:22:46.420]   something by using the term chap in that context is just marvelous.
[00:22:46.420 --> 00:22:55.380]   I mean, seriously, if people are worried about, this is another of the sort of slightly Alice
[00:22:55.380 --> 00:23:00.180]   in Wonderland things recently about Zelensky is people are saying, well, he's a dictator because
[00:23:00.180 --> 00:23:07.140]   he hasn't held elections during a total war of self-defense. And it's like, well, you know,
[00:23:07.140 --> 00:23:11.940]   if you're really, really passionate about free and fair elections in that neck of the woods,
[00:23:12.980 --> 00:23:18.260]   you'd at least notice that the Russian elections are not free and fair in any meaningful sense.
[00:23:18.260 --> 00:23:24.900]   But this doesn't mean that you have to say that therefore they should have Western style elections
[00:23:24.900 --> 00:23:29.860]   and, and, and freedom that Russia is, is ready to go and become a Western liberal democracy. It
[00:23:29.860 --> 00:23:34.820]   doesn't mean any of that at all. It's just at least note that this is what Putin is.
[00:23:34.820 --> 00:23:40.100]   What do you think is the motivation for his invasion of Ukraine in 22?
[00:23:40.100 --> 00:23:46.420]   It's what he's said for years, which is the basic, the reconstitution of the Soviet Union.
[00:23:46.420 --> 00:23:52.260]   Do you think there's empire building components to that motivation?
[00:23:52.260 --> 00:24:01.220]   I would trust most my friends in Eastern Central Europe who certainly do think that there's a
[00:24:01.220 --> 00:24:06.500]   reason why the Baltic countries are the countries that are spending highest in percentage of GDP on
[00:24:06.500 --> 00:24:13.140]   defense. And it's because they're very worried. I don't think they're faking it. I don't think
[00:24:13.140 --> 00:24:17.780]   they're faking it for me or for anyone else. I think the Lithuanians, Latvians, the Estonians,
[00:24:17.780 --> 00:24:22.900]   and others are genuinely worried for the first time in some decades.
[00:24:22.900 --> 00:24:29.860]   Do you think there's a possibility that the war continues indefinitely?
[00:24:29.860 --> 00:24:37.300]   Even if there's a ceasefire and the peace reached, the war will resume and he will seek expansion even
[00:24:37.300 --> 00:24:44.660]   beyond Ukraine? Yes. And the most obvious thing is that if Trump manages to negotiate a ceasefire,
[00:24:45.620 --> 00:24:53.460]   it'll be a temporary pause. And whoever comes in as president after Trump, Putin will use the
[00:24:53.460 --> 00:25:00.260]   opportunity to advance again. Yes. Again, one of the things that I have heard from parts of the
[00:25:00.260 --> 00:25:07.140]   American right and others is that all he wants is Ukraine, that that's all he wants and that he has no
[00:25:08.100 --> 00:25:15.460]   history of rhetoric or actions that suggests anything else. And again, it's one of the reasons why it's
[00:25:15.460 --> 00:25:19.700]   useful traveling to places and seeing things with your own eyes, because I very much remember being in
[00:25:19.700 --> 00:25:30.500]   the country of Georgia after Putin tried to invade in 2008. So I just, again, people don't have to be
[00:25:30.500 --> 00:25:37.460]   the greatest supporters of the Ukrainian cause just to recognize that, that it doesn't seem to be the case,
[00:25:37.460 --> 00:25:40.820]   that Ukraine is the only thing in Putin's vision.
[00:25:40.820 --> 00:25:48.500]   Do you see value and maybe depth and power to the realist perspective of all this? You know, somebody like
[00:25:48.500 --> 00:25:58.820]   John Mearsheimer's formulation of all this, that in these invasions of Georgia and Ukraine, it's using
[00:25:58.820 --> 00:26:05.860]   military power to expand the sphere of influence in the region in a cold calculation of geopolitics.
[00:26:05.860 --> 00:26:11.140]   It's interesting. One of the fascinating things about the last few years is there's been an act of sort
[00:26:11.140 --> 00:26:20.500]   of necromancy of certain figures were totally, totally debunked in the area of Ukraine, Mearsheimer,
[00:26:20.500 --> 00:26:26.980]   and in the case of Israel, people like Finkelstein. And it's been interesting because these are people
[00:26:26.980 --> 00:26:33.460]   that one hadn't heard of for some years because they were not listened to, usually for good reason.
[00:26:34.020 --> 00:26:39.300]   But by the way, first of all, I'm very skeptical of the term realist in foreign policy because
[00:26:39.300 --> 00:26:45.860]   most people to some extent will say that they are a realist in foreign policy.
[00:26:45.860 --> 00:26:53.300]   Very few people are surrealists in foreign policy. Very few people are unrealists.
[00:26:53.300 --> 00:26:54.340]   I would like to meet them.
[00:26:54.340 --> 00:26:56.580]   A surrealist foreign policy analyst.
[00:26:56.580 --> 00:26:59.140]   We did mention Alice in Wonderland.
[00:26:59.140 --> 00:27:05.460]   Yeah. I mean, maybe we should introduce the term, but I mean, if you want to say,
[00:27:05.460 --> 00:27:11.780]   if you want to look gimlet out, eyed out across the world, you're a realist. I think the steel man of
[00:27:11.780 --> 00:27:21.220]   their argument would be Russia has, or believes it has a sphere of influence and is regrettable,
[00:27:21.220 --> 00:27:23.300]   But there's very little we can do about that.
[00:27:23.300 --> 00:27:29.780]   That would be about the best version of that argument that you can make.
[00:27:29.780 --> 00:27:36.660]   Well, to expand on that, steel man, isn't this how superpowers operate in the dark,
[00:27:36.660 --> 00:27:43.780]   realist slash surrealist way? Meaning the United States uses military power
[00:27:43.780 --> 00:27:52.420]   to have a sphere influence over the whole globe, really. China appears to be willing to use military
[00:27:52.420 --> 00:27:54.820]   power to expand its sphere of influence.
[00:27:54.820 --> 00:27:57.620]   And political power, yeah. More importantly, in the case of China.
[00:27:57.620 --> 00:27:58.740]   Political power.
[00:27:58.740 --> 00:28:05.060]   Non-kinetic warfare to take over areas, Hong Kong being the obvious one.
[00:28:05.060 --> 00:28:09.380]   But behind that, isn't there always a kinetic threat?
[00:28:09.380 --> 00:28:12.900]   Oh yeah, of course, yeah. I mean, you disappear some booksellers and
[00:28:12.900 --> 00:28:19.620]   students who are protesting, of course. But to go back to this, yeah, of course.
[00:28:20.420 --> 00:28:24.740]   Okay, countries believe they have or would like to have spheres of influence.
[00:28:24.740 --> 00:28:28.820]   I do think at some point that the so-called realists on that have to
[00:28:28.820 --> 00:28:36.660]   try to decide how much leeway that allows you to give to a fairly rapacious regime.
[00:28:36.660 --> 00:28:45.700]   And it's not the easiest calculation always to make. You have to work out whether or not,
[00:28:45.700 --> 00:28:52.260]   for instance, it is true that if Russia had, if Putin had managed to go all the way to Kyiv in the
[00:28:52.260 --> 00:28:59.540]   first weeks of the war in 22, he would have gone straight on to other places. And, you know,
[00:28:59.540 --> 00:29:04.100]   maybe he would have done, maybe he would have taken his time, maybe he wouldn't have done. And this is a
[00:29:04.100 --> 00:29:10.100]   very fine calculation that changes every week, let alone every year.
[00:29:10.100 --> 00:29:17.700]   You know, my friends in Georgia, I thought, were wildly off the mark when they were believing that
[00:29:17.700 --> 00:29:24.340]   after 2008, they could get, for instance, either NATO membership or EU membership. And I thought that was
[00:29:24.340 --> 00:29:30.180]   completely unlikely, and I still think it's unlikely and almost certainly undesirable for Europe and for NATO.
[00:29:30.180 --> 00:29:35.620]   Because you've got to be very careful as, and obviously, this is one of the issues with Ukraine and has been
[00:29:35.620 --> 00:29:44.020]   since the '90s is, you know, are you going to set up a tripwire to start World War III? And that's not a small thing to consider.
[00:29:44.020 --> 00:29:56.180]   So what do you think the peace deal might look like? And what does the path to peace look like in Ukraine in the coming weeks and months?
[00:29:56.180 --> 00:30:02.900]   I just thought it would be, regrettably, the Ukrainians seeding some territory in the east,
[00:30:04.500 --> 00:30:13.620]   and then making sure they rearm during whatever peace period comes afterwards.
