
[00:00:00.040 --> 00:00:09.620]   benz
[00:05:49.400 --> 00:05:49.400]   I'm going to see what this is like. Now, there have been very few times in my life where I have felt dirty when doing something.
[00:05:49.400 --> 00:05:49.400]   I'm going to see what this is like. Now, there have been very few times in my life where I have felt dirty when doing something.
[00:05:49.420 --> 00:06:19.420]   I'm going to see what this is like. Now, there have been very few times in my life where I have felt dirty when doing something.
[00:06:19.420 --> 00:06:19.420]   I'm going to see what this is like. Now, there have been very few times in my life where I have felt dirty when doing something.
[00:06:19.420 --> 00:06:19.420]   I'm going to see what this is like. Now, there have been very few times in my life where I have felt dirty when doing something.
[00:06:19.420 --> 00:06:19.420]   I'm going to see what this is like. Now, there have been very few times in my life where I have felt dirty when doing something.
[00:06:19.420 --> 00:06:19.420]   I'm going to see what this is like. Now, there have been very few times in my life where I have felt dirty when doing something.
[00:06:19.420 --> 00:06:19.420]   I'm going to see what this is like. Now, there have been very few times in my life where I have felt dirty when doing something.
[00:06:19.420 --> 00:06:49.440]  , and I had to pay the difference between the two.
[00:06:49.440 --> 00:06:49.440]   I'm going to see what this is like. Now, there have been very few times in my life where I have felt dirty when doing something.
[00:06:49.440 --> 00:06:49.440]   I'm going to see what this is like. Now, there have been very few times in my life where I have felt dirty when doing something.
[00:06:49.440 --> 00:06:49.440]   I'm going to see what this is like. Now, there have been very few times in my life where I have felt dirty when doing something.
[00:06:49.440 --> 00:06:49.440]   I'm going to see what this is like. Now, there have been very few times in my life where I have felt dirty when doing something.
[00:06:49.440 --> 00:06:49.440]   I'm going to see what this is like. Now, there have been very few times in my life where I have felt dirty when doing something.
[00:06:49.460 --> 00:07:19.460]   I'm going to see what this is like. Now, there have been very few times in my life where I have felt dirty when doing something.
[00:07:19.460 --> 00:07:19.460]   I'm going to see what this is like. Now, there have been very few times in my life where I have felt dirty when doing something.
[00:07:19.460 --> 00:07:19.460]   I'm going to see what this is like. Now, there have been very few times in my life where I have felt dirty when doing something.
[00:07:19.460 --> 00:07:19.460]   I'm going to see what this is like. Now, there have been very few times in my life where I have felt dirty when doing something.
[00:07:19.460 --> 00:07:19.460]   I'm going to see what this is like. Now, there have been very few times in my life where I have felt dirty when doing something.
[00:07:19.460 --> 00:07:19.460]   I'm going to see what this is like. Now, there have been very few times in my life where I have felt dirty when doing something.
[00:07:19.460 --> 00:07:19.460]   Now, there have been very few times in my life where I have felt dirty when doing something.
[00:07:19.500 --> 00:07:49.480]  , I'm going to see what this is like. Now, there have been very few times in my life where I have felt dirty when doing something.
[00:07:49.480 --> 00:07:49.480]   I'm going to see what this is like. Now, there have been very few times in my life where I have felt dirty when doing something.
[00:07:49.480 --> 00:07:49.480]   I'm going to see what this is like. Now, there have been very few times in my life where I have felt dirty when doing something.
[00:07:49.480 --> 00:07:49.480]   I'm going to see what this is like. Now, there have been very few times in my life where I have felt dirty when doing something.
[00:07:49.500 --> 00:08:19.500]   I'm going to see what this is like. Now, there have been very few times in my life where I have felt dirty when doing something.
[00:08:19.500 --> 00:08:19.500]   I'm going to see what this is like. Now, there have been very few times in my life where I have felt dirty when doing something.
[00:08:19.500 --> 00:08:19.500]   I'm going to see what this is like. Now, there have been very few times in my life where I have felt dirty when doing something.
[00:08:19.500 --> 00:08:19.500]   I'm going to see what this is like. Now, there have been very few times in my life where I have felt dirty when doing something.
[00:08:19.500 --> 00:08:19.500]   I'm going to see what this is like. Now, there have been very few times in my life where I have felt dirty when doing something.
[00:08:19.500 --> 00:08:19.500]   I'm going to see what this is like. Now, there have been very few times in my life where I have felt dirty when doing something.
[00:08:19.500 --> 00:08:49.520]  , I'm going to see what this is like. Now, there have been very few times in my life where I have felt dirty when doing something.
[00:08:49.520 --> 00:08:49.520]   I'm going to see what this is like. Now, there have been very few times in my life where I have felt dirty when doing something.
[00:08:49.520 --> 00:08:49.520]   I'm going to see what this is like. Now, there have been very few times in my life where I have felt dirty when doing something.
[00:08:49.520 --> 00:08:49.520]   I'm going to see what this is like. Now, there have been very few times in my life where I have felt dirty when doing something.
[00:08:49.540 --> 00:09:19.540]   I'm going to see what this is like. Now, there have been very few times in my life where I have felt dirty when doing something.
[00:09:19.540 --> 00:09:19.540]   I'm going to see what this is like. Now, there have been very few times in my life where I have felt dirty when doing something.
[00:09:19.540 --> 00:09:19.540]   I'm going to see what this is like. Now, there have been very few times in my life where I have felt dirty when doing something.
[00:09:19.540 --> 00:09:19.540]   I'm going to see what this is like. Now, there have been very few times in my life where I have felt dirty when doing something.
[00:09:19.540 --> 00:09:19.540]   I'm going to see what this is like. Now, there have been very few times in my life where I have felt dirty when doing something.
[00:09:19.540 --> 00:09:19.540]   I'm going to see what this is like. Now, there have been very few times in my life where I have felt dirty when doing something.
[00:09:19.580 --> 00:09:49.560]  ,
[00:09:49.560 --> 00:09:49.560]   I'm going to see what this is like. Now, there have been very few times in my life where I have felt dirty when doing something.
[00:09:49.560 --> 00:09:49.560]   I'm going to see what this is like. Now, there have been very few times in my life where I have felt dirty when doing something.
[00:09:49.560 --> 00:09:49.560]   I'm going to see what this is like. Now, there have been very few times in my life where I have felt dirty when doing something.
[00:09:49.560 --> 00:09:49.560]   I'm going to see what this is like. Now, there have been very few times in my life where I have felt dirty when doing something.
[00:09:49.580 --> 00:10:19.580]   I'm going to see what this is like. Now, there have been very few times in my life where I have felt dirty when doing something.
[00:10:19.580 --> 00:10:19.580]   I'm going to see what this is like. Now, there have been very few times in my life where I have felt dirty when doing something.
[00:10:19.580 --> 00:10:19.580]   I'm going to see what this is like. Now, there have been very few times in my life where I have felt dirty when doing something.
[00:10:19.580 --> 00:10:19.580]   I'm going to see what this is like. Now, there have been very few times in my life where I have felt dirty when doing something.
[00:10:19.580 --> 00:10:19.580]   I'm going to see what this is like. Now, there have been very few times in my life where I have felt dirty when doing something.
[00:10:19.580 --> 00:10:19.580]   I'm going to see what this is like. Now, there have been very few times in my life where I have felt dirty when doing something.
[00:10:19.580 --> 00:10:49.600]  , if you wanted to buy a certain thing or invest in a certain thing, you wanted to buy some gold or buy a mutual fund or buy Bitcoin,
[00:10:49.600 --> 00:10:49.600]   if you wanted to buy a certain thing or invest in a certain thing, you wanted to buy some gold or buy a mutual fund or buy Bitcoin,
[00:10:49.600 --> 00:10:49.600]   if you wanted to buy a certain thing or invest in a certain thing, you wanted to buy some gold or buy a mutual fund or buy Bitcoin,
[00:10:49.620 --> 00:11:19.620]   and you'll learn so much more by doing it
[00:11:19.620 --> 00:11:19.620]   and you'll learn so much more by doing it
[00:11:19.620 --> 00:11:19.620]   and you'll learn so much more by doing it
[00:11:19.620 --> 00:11:19.620]   and you'll learn so much more by doing it
[00:11:19.620 --> 00:11:19.620]   and you'll learn so much more by doing it
[00:11:19.620 --> 00:11:19.620]   and you'll learn so much more by doing it
[00:11:19.620 --> 00:11:19.620]   and you'll learn so much more by doing it than you will by reading about it.
[00:11:19.620 --> 00:11:19.620]   and you'll learn so much more by doing it than you will by reading about it.
[00:11:19.620 --> 00:11:19.620]   Spend time thinking carefully about big questions and big issues.
[00:11:19.620 --> 00:11:19.620]   Spend time thinking carefully about big questions and big issues.
[00:11:19.620 --> 00:11:19.620]   But if you can try something inexpensively, do it.
[00:11:19.620 --> 00:11:19.620]   And by the way, when it comes to the big issues, a lot of times one of the best things you can do is to apply the same principle.
[00:11:19.620 --> 00:11:49.640]  , but if you can try something inexpensively, do it.
[00:11:49.640 --> 00:11:49.640]   And by the way, when it comes to the big issues, a lot of times one of the best things you can do is to apply the same principle.
[00:11:49.640 --> 00:11:49.640]   And by the way, when it comes to the big issues, a lot of times one of the best things you can do is to apply the same principle.
[00:11:49.640 --> 00:11:49.640]   And by the way, when it comes to the big issues, a lot of times one of the best things you can do is to apply the same principle.
[00:11:49.640 --> 00:11:49.640]   And by the way, when it comes to the big issues, a lot of times one of the best things you can do is to apply the same principle.
[00:11:49.660 --> 00:12:19.660]   I encourage you to close out.
[00:12:19.660 --> 00:12:19.660]   I'm offering a couple of sales.
[00:12:19.660 --> 00:12:19.660]   And right now, if you go to radicalpersonalfinance.com/store, you can sign up for either of the classes that's currently available.
[00:12:19.660 --> 00:12:19.660]   The first one is called How to Survive and Thrive During the Coming Economic Crisis.
[00:12:19.660 --> 00:12:19.660]   Or the second one is called How to Borrow Money Safely and Never Pay Interest Using Credit Cards.
[00:12:19.660 --> 00:12:19.660]   Both of those courses are 20% off.
[00:12:19.660 --> 00:12:19.660]   The first one is called How to Borrow Money Safely and Never Pay Interest Using Credit Cards.
[00:12:19.660 --> 00:12:19.660]   Both of those courses are 20% off.
[00:12:19.660 --> 00:12:19.660]   The second one is called How to Borrow Money Safely and Never Pay Interest Using Credit Cards.
[00:12:19.660 --> 00:12:19.660]   Both of those courses are 20% off.
[00:12:19.660 --> 00:12:19.660]   Both of those courses are 20% off.
[00:12:19.660 --> 00:12:19.660]   The first one is called How to Borrow Money Safely and Never Pay Interest Using Credit Cards.
[00:12:19.660 --> 00:12:49.680]   The first one is called How to Borrow Money Safely and Never Pay Interest Using Credit Cards.
[00:12:49.680 --> 00:12:49.680]   The second one is called How to Borrow Money Safely and Never Pay Interest Using Credit Cards.
[00:12:49.680 --> 00:12:49.680]   The first one is called How to Borrow Money Safely and Never Pay Interest Using Credit Cards.
[00:12:49.680 --> 00:12:49.680]   The first one is called How to Borrow Money Safely and Never Pay Interest Using Credit Cards.
[00:12:49.680 --> 00:12:49.680]   The first one is called How to Borrow Money Safely and Never Pay Interest Using Credit Cards.

