
[00:00:00.000 --> 00:00:08.480]   [VIDEO PLAYBACK]
[00:06:33.200 --> 00:06:35.320]   is, like, requires long-context examples
[00:06:35.320 --> 00:06:36.640]   and long-context training.
[00:06:36.640 --> 00:06:39.000]   -Like, meta-learning, like, you have to induce meta-learning.
[00:06:39.000 --> 00:06:40.120]   -Right. -Like, understanding how to better
[00:06:40.120 --> 00:06:41.800]   induce meta-learning in your pre-training process
[00:06:41.800 --> 00:06:43.200]   is, like, a very important thing to actually get that,
[00:06:43.200 --> 00:06:45.000]   like, flexible or adaptive intelligence.
[00:06:45.000 --> 00:06:46.720]   -Right, but you can proxy for that
[00:06:46.720 --> 00:06:50.680]   just by getting better at doing long-context tasks.
[00:06:50.680 --> 00:06:52.800]   One of the bottlenecks for AI progress
[00:06:52.800 --> 00:06:56.040]   that many people identify is the inability of these models
[00:06:56.040 --> 00:07:00.000]   to perform tasks on long horizons,
[00:07:00.000 --> 00:07:03.200]   which means engaging with a task for many hours
[00:07:03.200 --> 00:07:04.840]   or even many weeks or months,
[00:07:04.840 --> 00:07:07.360]   where, like, if I have, I don't know,
[00:07:07.360 --> 00:07:09.200]   an assistant or an employee or something,
[00:07:09.200 --> 00:07:11.600]   they can just do a thing I tell them for a while.
[00:07:11.600 --> 00:07:13.440]   And AI agents haven't taken off for this reason,
[00:07:13.440 --> 00:07:14.560]   from what I understand.
[00:07:14.560 --> 00:07:17.880]   So, how linked are long-context windows
[00:07:17.880 --> 00:07:19.320]   and the ability to perform well on them
[00:07:19.320 --> 00:07:22.000]   and the ability to do these kinds of long-horizon tasks
[00:07:22.000 --> 00:07:25.920]   that require you to engage with an assignment for many hours?
[00:07:25.920 --> 00:07:27.800]   Or are these unrelated concepts?
[00:07:27.800 --> 00:07:30.760]   -I mean, I would actually take issue with that being the reason
[00:07:30.760 --> 00:07:32.400]   that agents haven't taken off,
[00:07:32.400 --> 00:07:34.440]   where I think that's more about, like, nines of reliability
[00:07:34.440 --> 00:07:36.040]   and the model actually successfully doing things.
[00:07:36.040 --> 00:07:38.840]   If you just can't chain tasks successfully
[00:07:38.840 --> 00:07:39.840]   with high enough probability,
[00:07:39.840 --> 00:07:41.840]   then you won't get something that looks like an agent.
[00:07:41.840 --> 00:07:43.560]   And that's why something like an agent
[00:07:43.560 --> 00:07:46.000]   might follow more of a step function in sort of,
[00:07:46.000 --> 00:07:48.120]   usually, like, GPT-4 class models,
[00:07:48.120 --> 00:07:50.600]   Gemini Ultra class models, they're not enough.
[00:07:50.600 --> 00:07:52.360]   But maybe, like, the next increment on model scale
[00:07:52.360 --> 00:07:53.760]   means that you get that extra nine,
[00:07:53.760 --> 00:07:56.440]   even though, like, the loss isn't going down that dramatically,
[00:07:56.440 --> 00:07:58.400]   that, like, small amount of extra ability
[00:07:58.400 --> 00:08:00.240]   gives you the extra nine.
[00:08:00.240 --> 00:08:02.440]   And, like, yeah, obviously, you need some amount of context
[00:08:02.440 --> 00:08:04.800]   to fit long-horizon tasks,
[00:08:04.800 --> 00:08:07.600]   but I don't think that's been the limiting factor up to now.
[00:08:07.600 --> 00:08:08.600]   -Yeah.
[00:08:08.600 --> 00:08:11.400]   The NURBS Best Paper this year by Ryland Schaefer
[00:08:11.400 --> 00:08:14.520]   was the lead author, points to this as, like,
[00:08:14.520 --> 00:08:18.280]   the emergence of Mirage, where people will have a task
[00:08:18.280 --> 00:08:20.200]   and you get the right or wrong answer
[00:08:20.200 --> 00:08:23.960]   depending on if you've sampled the last five tokens correctly.
[00:08:23.960 --> 00:08:25.640]   And so, naturally, that's --
[00:08:25.640 --> 00:08:26.920]   you're multiplying the probability
[00:08:26.920 --> 00:08:28.880]   of sampling all of those.
[00:08:28.880 --> 00:08:30.600]   And if you don't have enough nines of reliability,
[00:08:30.600 --> 00:08:31.920]   then you're not going to get emergence.
[00:08:31.920 --> 00:08:34.600]   And all of a sudden, you do, and it's like,
[00:08:34.600 --> 00:08:36.040]   "Oh, my gosh, this ability is emergent,"
[00:08:36.040 --> 00:08:38.960]   when actually it was kind of almost there to begin with.
[00:08:38.960 --> 00:08:40.400]   -And there are ways that you can find, like,
[00:08:40.400 --> 00:08:42.160]   a smooth metric for that.
[00:08:42.160 --> 00:08:45.000]   -Yeah, Human Eval or whatever, in the GPT-4 paper,
[00:08:45.000 --> 00:08:47.360]   the coding problems, they measure --
[00:08:47.360 --> 00:08:48.800]   -Log-pass, right? -Exactly.
[00:08:48.800 --> 00:08:50.200]   -Yeah. -For the audience,
[00:08:50.200 --> 00:08:54.160]   the context on this is, basically,
[00:08:54.160 --> 00:08:56.000]   the idea is you want to --
[00:08:56.000 --> 00:08:57.840]   when you're measuring how much progress there has been
[00:08:57.840 --> 00:09:00.520]   on a specific task, like solving coding problems,
[00:09:00.520 --> 00:09:03.560]   you up-weight it when it gets it right
[00:09:03.560 --> 00:09:04.720]   only one in 1,000 times.
[00:09:04.720 --> 00:09:06.200]   You don't, like, give it a one-in-1,000 score
[00:09:06.200 --> 00:09:07.920]   because it's like, "Oh, got it right some of the time,"
[00:09:07.920 --> 00:09:09.320]   and so the curve you see is, like,
[00:09:09.320 --> 00:09:11.000]   it gets it right one in 1,000, then one in 100,
[00:09:11.000 --> 00:09:13.560]   then one in 10, and so forth.
[00:09:13.560 --> 00:09:15.760]   So, actually, I want to follow up on this.
[00:09:15.760 --> 00:09:18.400]   So, if your claim is that the AI agents
[00:09:18.400 --> 00:09:20.640]   haven't taken off because of reliability
[00:09:20.640 --> 00:09:23.560]   rather than long-horizon task performance,
[00:09:23.560 --> 00:09:27.360]   isn't the lack of reliability
[00:09:27.360 --> 00:09:30.520]   when a task is chained on top of another task
[00:09:30.520 --> 00:09:31.720]   on top of another task,
[00:09:31.720 --> 00:09:33.120]   isn't that exactly the difficulty
[00:09:33.120 --> 00:09:34.280]   with long-horizon tasks?
[00:09:34.280 --> 00:09:36.480]   Is that, like, you have to do 10 things in a row
[00:09:36.480 --> 00:09:37.880]   or 100 things in a row,
[00:09:37.880 --> 00:09:42.240]   and diminishing the reliability of any one of them,
[00:09:42.240 --> 00:09:44.000]   or, yeah, the probability goes down
[00:09:44.000 --> 00:09:46.240]   from 99.99 to 99.9,
[00:09:46.240 --> 00:09:48.400]   then, like, the whole thing gets multiplied together,
[00:09:48.400 --> 00:09:50.520]   and the whole thing becomes much less likely to happen.
[00:09:50.520 --> 00:09:52.080]   - That is exactly the problem,
[00:09:52.080 --> 00:09:53.840]   but the key issue you're pointing out there
[00:09:53.840 --> 00:09:57.160]   is that your base task-solve rate is 90%,
[00:09:57.160 --> 00:10:00.640]   and if it was 99%, then chaining doesn't become a problem.
[00:10:00.640 --> 00:10:02.560]   - But also-- - Yeah, exactly.
[00:10:02.560 --> 00:10:03.640]   And I think this is also something
[00:10:03.640 --> 00:10:05.200]   that just, like, hasn't been properly studied enough.
[00:10:05.200 --> 00:10:06.960]   If you look at all of the evals that are commonly--
[00:10:06.960 --> 00:10:10.720]   like, the academic evals are a single problem, right?
[00:10:10.720 --> 00:10:11.960]   You know, like, the math problem.
[00:10:11.960 --> 00:10:14.000]   It's, like, one, like, typical math problem,
[00:10:14.000 --> 00:10:15.880]   or MMOU, it's, like, one university-level,
[00:10:15.880 --> 00:10:18.320]   like, problem from across different topics.
[00:10:18.320 --> 00:10:21.400]   You are beginning to start to see evals
[00:10:21.400 --> 00:10:23.680]   looking at this properly via more complex tasks,
[00:10:23.680 --> 00:10:24.640]   like SuiteBench,
[00:10:24.640 --> 00:10:26.080]   where they take a whole bunch of GitHub issues,
[00:10:26.080 --> 00:10:28.200]   and that is, like, a reasonably long-horizon task,
[00:10:28.200 --> 00:10:30.280]   but it's still not a multi--
[00:10:30.280 --> 00:10:32.440]   it's, like, a multi, you know, sub-hour
[00:10:32.440 --> 00:10:34.960]   as opposed to, like, multi-hour or multi-day task.
[00:10:35.640 --> 00:10:37.000]   And so I think one of the things
[00:10:37.000 --> 00:10:40.800]   that will be really important to do over the next however long
[00:10:40.800 --> 00:10:42.880]   is understand better what does success rate
[00:10:42.880 --> 00:10:44.680]   over a long-horizon task look like.
[00:10:44.680 --> 00:10:46.040]   And I think that's even important to understand
[00:10:46.040 --> 00:10:47.800]   what the economic impact of these models might be,
[00:10:47.800 --> 00:10:50.760]   and, like, actually properly judge increasing capabilities
[00:10:50.760 --> 00:10:53.560]   by, like, cutting down the tasks that we do
[00:10:53.560 --> 00:10:54.840]   and the inputs and outputs involved
[00:10:54.840 --> 00:10:57.560]   into minutes or hours or days,
[00:10:57.560 --> 00:10:59.600]   and seeing how good it is at successively, like,
[00:10:59.600 --> 00:11:01.160]   chaining and completing tasks
[00:11:01.160 --> 00:11:02.800]   at those different resolutions of time.
[00:11:02.800 --> 00:11:03.640]   Because then that tells you, like,
[00:11:03.640 --> 00:11:07.040]   how automateable a job family or task family is
[00:11:07.040 --> 00:11:09.400]   in a way that, like, MMOU school is doing.
[00:11:09.400 --> 00:11:10.880]   - Mm.
[00:11:10.880 --> 00:11:11.880]   - I mean, it was less than a year ago
[00:11:11.880 --> 00:11:14.200]   that we introduced 100K context windows,
[00:11:14.200 --> 00:11:16.240]   and I think everyone was pretty surprised by that.
[00:11:16.240 --> 00:11:19.520]   So, yeah, everyone just kind of had this soundbite
[00:11:19.520 --> 00:11:21.040]   of quadratic attention costs,
[00:11:21.040 --> 00:11:24.360]   and we can't have long context windows, and here we are.
[00:11:24.360 --> 00:11:27.440]   So, yeah, like, the benchmarks are being actively made.
[00:11:27.440 --> 00:11:28.920]   - Wait, wait, so doesn't the fact
[00:11:28.920 --> 00:11:31.200]   that there's these companies, Google and, I don't know,
[00:11:31.200 --> 00:11:34.360]   Magic, maybe others, who have million token attention
[00:11:34.360 --> 00:11:36.160]   imply that the quadrat--
[00:11:36.160 --> 00:11:38.440]   You shouldn't say anything, 'cause you're not allowed.
[00:11:38.440 --> 00:11:39.680]   But doesn't that, like, imply
[00:11:39.680 --> 00:11:40.920]   that it's not quadratic anymore,
[00:11:40.920 --> 00:11:42.400]   or are they just eating the cost?
[00:11:42.400 --> 00:11:44.400]   - Well, like, who knows what Google is doing
[00:11:44.400 --> 00:11:46.040]   for its long context scheme, right?
[00:11:46.040 --> 00:11:49.000]   Like, I'm not saying it's either.
[00:11:49.000 --> 00:11:50.200]   One other thing that's frustrated me
[00:11:50.200 --> 00:11:53.920]   about, like, the general research field's approach
[00:11:53.920 --> 00:11:56.080]   to attention is that there's an important way
[00:11:56.080 --> 00:11:59.000]   in which the quadratic cost of attention
[00:11:59.000 --> 00:12:01.440]   is actually dominated in typical dense transformers
[00:12:01.440 --> 00:12:03.360]   by the MLP block.
[00:12:03.360 --> 00:12:05.640]   So, you have this N-squared term
[00:12:05.640 --> 00:12:06.720]   that's associated with attention,
[00:12:06.720 --> 00:12:07.720]   but you also have an N-squared term
[00:12:07.720 --> 00:12:08.920]   that's associated with the D model,
[00:12:08.920 --> 00:12:11.240]   the residual stream dimension of the model.
[00:12:11.240 --> 00:12:14.480]   And if you look, I think Sasha Rush has a great tweet
[00:12:14.480 --> 00:12:16.360]   where he looks like basically plots the curve
[00:12:16.360 --> 00:12:17.440]   of the cost of attention,
[00:12:17.440 --> 00:12:19.760]   respective to, like, the cost of, like, really large models,
[00:12:19.760 --> 00:12:21.680]   and attention actually trails off.
[00:12:21.680 --> 00:12:24.080]   And you actually need to be doing pretty long context
[00:12:24.080 --> 00:12:28.640]   before that term becomes, like, really important.
[00:12:28.640 --> 00:12:31.120]   And the second thing is that people often talk
[00:12:31.120 --> 00:12:33.240]   about how attention at inference time
[00:12:33.240 --> 00:12:35.840]   is such a huge cost, right?
[00:12:35.840 --> 00:12:37.320]   And if you think about
[00:12:37.320 --> 00:12:39.160]   when you're actually generating tokens,
[00:12:39.160 --> 00:12:41.400]   the operation is not N-squared.
[00:12:41.400 --> 00:12:45.160]   It is one Q, like, one set of Q vectors
[00:12:45.160 --> 00:12:46.840]   looks up a whole bunch of KB vectors,
[00:12:46.840 --> 00:12:48.320]   and that's linear with respect
[00:12:48.320 --> 00:12:51.640]   to the amount of, like, context that the model has.
[00:12:51.640 --> 00:12:54.600]   And so, I think this drives a lot of the, like,
[00:12:54.600 --> 00:12:56.800]   recurrence and state space research
[00:12:56.800 --> 00:12:57.920]   where people have this meme of, oh, like,
[00:12:57.920 --> 00:12:59.920]   linear attention and all this stuff.
[00:12:59.920 --> 00:13:01.080]   And as Trenton said,
[00:13:01.080 --> 00:13:04.280]   there's, like, a graveyard of ideas around attention.
[00:13:04.280 --> 00:13:07.360]   And not to think I don't think it's worth exploring,
[00:13:07.360 --> 00:13:09.680]   but I think it's important to consider
[00:13:09.680 --> 00:13:12.520]   where the actual, like, strengths and weaknesses of it are.
[00:13:12.520 --> 00:13:14.760]   - Okay, so what do you make of this take?
[00:13:14.760 --> 00:13:18.520]   As we move forward through the takeoff,
[00:13:18.520 --> 00:13:21.400]   more and more of the learning happens in the forward pass.
[00:13:21.400 --> 00:13:23.160]   So originally, like, all the learning happens
[00:13:23.160 --> 00:13:25.880]   in the backward, you know, during, like, this, like,
[00:13:25.880 --> 00:13:29.400]   bottom-up sort of hill-climbing evolutionary process.
[00:13:29.400 --> 00:13:31.600]   If you think in the limit during the intelligence explosion,
[00:13:31.600 --> 00:13:33.040]   it just, like, the AI is, like,
[00:13:33.040 --> 00:13:34.880]   maybe, like, handwriting the weights
[00:13:34.880 --> 00:13:37.000]   or, like, doing go-fi or something.
[00:13:37.000 --> 00:13:38.840]   And we're in, like, the middle step
[00:13:38.840 --> 00:13:41.600]   where, like, a lot of learning happens in context now
[00:13:41.600 --> 00:13:43.040]   with these models.
[00:13:43.040 --> 00:13:44.880]   A lot of it happens within the backward pass.
[00:13:44.880 --> 00:13:47.480]   Does this seem like a meaningful gradient
[00:13:47.480 --> 00:13:48.680]   along which progress is happening?
[00:13:48.680 --> 00:13:52.320]   Of, like, how much, 'cause the broader thing being the,
[00:13:52.320 --> 00:13:54.240]   if you're learning in the forward pass,
[00:13:54.240 --> 00:13:55.480]   it's, like, much more sample efficient
[00:13:55.480 --> 00:13:57.040]   'cause you can kind of, like, basically think
[00:13:57.040 --> 00:13:57.880]   as you're learning.
[00:13:57.880 --> 00:13:59.240]   Like, when humans, when you read a textbook,
[00:13:59.240 --> 00:14:02.040]   you're not just skimming it and trying to absorb what,
[00:14:02.040 --> 00:14:05.680]   you know, what inductive, these words follow these words.
[00:14:05.680 --> 00:14:07.280]   You, like, read it and you think about it,
[00:14:07.280 --> 00:14:10.040]   and then you read some more, you think about it.
[00:14:10.040 --> 00:14:10.880]   I don't know.
[00:14:10.880 --> 00:14:11.840]   Does this seem like a sensible way
[00:14:11.840 --> 00:14:13.960]   to think about the progress?
[00:14:13.960 --> 00:14:14.800]   - Yeah.
[00:14:14.800 --> 00:14:17.000]   It may just be one of the ways in which, like,
[00:14:17.000 --> 00:14:18.240]   you know, birds and planes, like, fly,
[00:14:18.240 --> 00:14:19.160]   but they fly slightly differently.
[00:14:19.160 --> 00:14:21.600]   And, like, the virtue of technology allows us to do that,
[00:14:21.600 --> 00:14:25.800]   like, I used to accomplish things that birds can't.
[00:14:25.800 --> 00:14:27.240]   It might be that context length is similar
[00:14:27.240 --> 00:14:31.080]   in that it allows it to have a working memory that we can't,
[00:14:31.080 --> 00:14:32.240]   but functionally is not, like,
[00:14:32.240 --> 00:14:34.880]   the key thing towards actual reasoning.
[00:14:34.880 --> 00:14:38.200]   The key step between GPT-2 and GPT-3
[00:14:38.200 --> 00:14:39.280]   was that all of a sudden, like,
[00:14:39.280 --> 00:14:40.600]   there was this meta-learning behavior
[00:14:40.600 --> 00:14:42.440]   that was observed in training,
[00:14:42.440 --> 00:14:44.920]   like, in the pre-training of the model.
[00:14:44.920 --> 00:14:48.200]   And that's, as you said, like, it's something to do with,
[00:14:48.200 --> 00:14:49.440]   you give it some amount of context,
[00:14:49.440 --> 00:14:50.560]   it's able to adapt to that context,
[00:14:50.560 --> 00:14:52.840]   and that was a behavior that wasn't really observed
[00:14:52.840 --> 00:14:54.360]   before that at all.
[00:14:54.360 --> 00:14:56.480]   And maybe that's a mixture of property of context
[00:14:56.480 --> 00:14:57.400]   and scale and this kind of stuff,
[00:14:57.400 --> 00:14:59.720]   that wouldn't have occurred to model tiny context,
[00:14:59.720 --> 00:15:00.560]   I would say.
[00:15:00.560 --> 00:15:03.680]   - This is actually an interesting point.
[00:15:03.680 --> 00:15:07.080]   So when we talk about scaling up these models,
[00:15:07.080 --> 00:15:08.600]   how much of it comes from
[00:15:08.600 --> 00:15:10.840]   just making the models themselves bigger?
[00:15:10.840 --> 00:15:12.280]   And how much comes from the fact
[00:15:12.280 --> 00:15:15.720]   that during any single call,
[00:15:15.720 --> 00:15:17.440]   you are using more compute?
[00:15:17.440 --> 00:15:18.320]   So if you think of diffusion,
[00:15:18.320 --> 00:15:20.760]   you can just iteratively keep adding more compute.
[00:15:20.760 --> 00:15:22.800]   And if adaptive compute is solved,
