
[00:00:00.000 --> 00:00:03.760]   >>LT: Let alone consciousness.
[00:06:23.200 --> 00:06:24.000]   I think.
[00:06:24.000 --> 00:06:25.120]   Yeah, Christoph Koch, yeah.
[00:06:25.120 --> 00:06:30.320]   I find it unconvincing for the smoking gun reason.
[00:06:35.360 --> 00:06:39.840]   So I've gone on collecting views without actually having taken a very strong one myself,
[00:06:39.840 --> 00:06:44.560]   because I haven't seen the entry point. Not seeing the smoking gun
[00:06:44.560 --> 00:06:48.000]   from the point of view of physics, I don't see the entry point.
[00:06:48.000 --> 00:06:55.920]   Whereas in neurobiology, once I understood the idea of a collective evolution of dynamics,
[00:06:55.920 --> 00:07:02.560]   which could be described as a collective phenomenon, I thought, "Ah, there's a point
[00:07:02.560 --> 00:07:07.600]   where what I know about physics is so different from any neurobiologist that I have something
[00:07:07.600 --> 00:07:08.960]   that I might be able to contribute."
[00:07:08.960 --> 00:07:15.520]   And right now, there's no way to grasp at consciousness from a physics perspective.
[00:07:15.520 --> 00:07:20.160]   From my point of view, that's correct. And of course, people,
[00:07:20.160 --> 00:07:26.640]   physicists like everybody else, think very muddily about things. You ask
[00:07:27.600 --> 00:07:33.040]   the closely related question about free will. Do you believe you have free will?
[00:07:33.040 --> 00:07:40.400]   Physicists will give an offhand answer, and then backtrack, backtrack, backtrack,
[00:07:40.400 --> 00:07:45.200]   where they realize that the answer they gave must fundamentally contradict the laws of physics.
[00:07:45.200 --> 00:07:50.640]   Naturally, answering questions of free will and consciousness naturally lead to contradictions
[00:07:50.640 --> 00:07:56.720]   from a physics perspective, because it eventually ends up with quantum mechanics, and then you
[00:07:56.720 --> 00:08:03.840]   get into that whole mess of trying to understand how much, from a physics perspective,
[00:08:03.840 --> 00:08:10.160]   how much is determined, already predetermined, how much is already deterministic about our universe.
[00:08:10.160 --> 00:08:11.360]   There's lots of different—
[00:08:11.360 --> 00:08:14.240]   And if you don't push quite that far, you can say,
[00:08:14.240 --> 00:08:21.360]   essentially all of neurobiology, which is relevant, can be captured by classical equations of motion.
[00:08:24.080 --> 00:08:29.440]   Because in my view of the mysteries of the brain are not the mysteries of quantum mechanics,
[00:08:29.440 --> 00:08:34.320]   but the mysteries of what can happen when you have a dynamical system,
[00:08:34.320 --> 00:08:42.560]   driven system, with 10 to the 14 parts. That that complexity is something which is—
[00:08:42.560 --> 00:08:49.360]   that the physics of complex systems is at least as badly understood
[00:08:49.360 --> 00:08:53.360]   as the physics of phase coherence in quantum mechanics.
[00:08:53.680 --> 00:08:53.760]   Thanks.
[00:08:54.000 --> 00:08:54.080]   [END]
[00:08:54.080 --> 00:08:56.140]   you
[00:08:56.140 --> 00:08:58.200]   you
[00:08:58.200 --> 00:09:00.260]   you
[00:09:00.260 --> 00:09:02.320]   you
[00:09:02.320 --> 00:09:04.380]   you
[00:09:04.380 --> 00:09:06.440]   you
[00:09:06.440 --> 00:09:08.500]   you
[00:09:08.500 --> 00:09:10.560]   you
[00:09:10.560 --> 00:09:20.560]   [BLANK_AUDIO]

