
[00:00:00.000 --> 00:00:07.020]   a bit on Laura's okay I'll restart we just started recording so basically Hugging Face put out this
[00:03:57.960 --> 00:04:04.760]   like what's the weight so this is a 70b how many batches are you doing so more batches more more GPU
[00:04:04.760 --> 00:04:11.480]   needed more sequence length significantly more GPU needed and kind of like one of the takeaways is you know
[00:04:11.480 --> 00:04:18.440]   the attention blocks here quadratically increase right so as I double the batch size we quadratically
[00:04:18.440 --> 00:04:25.080]   or sorry double the sequence length we um quadratically increase attention so if we start
[00:04:25.080 --> 00:04:31.400]   with a sequence length of like 4 000 you can see how like the gradients optimizers these make up like
[00:04:31.400 --> 00:04:39.320]   you know oh I did 14 000 as we do about 4 000 the attention is sure it's some of it like to to train
[00:04:39.320 --> 00:04:46.920]   llama 7db uh 4 000 sequence length you know activation memory is about 80 gigs parameters gradients
[00:04:46.920 --> 00:04:53.400]   optimization steps are about 300 gigs parameters are obviously you know it's about one to two if
[00:04:53.400 --> 00:04:59.480]   you're doing um mixed precision you can also toggle that off so one to two for mixed precision then
[00:04:59.480 --> 00:05:05.400]   gradients and optimizations they add a lot people don't realize that this um attention mechanism it
[00:05:05.400 --> 00:05:11.640]   actually doesn't take that much but as we scale up let's say to a hundred thousand context length or a
[00:05:11.640 --> 00:05:20.760]   million this attention mechanism really eats up all the all the um memory so cool little visualization
[00:05:20.760 --> 00:05:26.840]   um the other stuff I guess yeah like hidden dimension cool bat size cool it's cool how they at least just
[00:05:26.840 --> 00:05:32.360]   have these presets for you though you know um vocab size is kind of interesting if you want to kind
[00:05:32.360 --> 00:05:38.280]   of see what this is changing here um you could change different activations but basically you guys should
[00:05:39.000 --> 00:05:45.400]   play around with this like read through this intro um pldr of this blog post they have like a high
[00:05:45.400 --> 00:05:50.120]   level overview if you want to get anything just read through this and you'll you'll kind of have
[00:05:50.120 --> 00:05:56.120]   a decent understanding of what's going on what takes memory when you train a foundation model from scratch
[00:05:56.120 --> 00:06:04.360]   and yeah um okay let's go to inefficiency so I guess they're in 4 000 experiments not not a thousand and
[00:06:04.360 --> 00:06:11.160]   then they run them across different sizes so 1b 3b 8b to 70b here's what crashed here's more tokens I
[00:06:11.160 --> 00:06:16.760]   thought this chart was kind of weird to read I don't know they wanted it like pretty instead of functional
[00:06:16.760 --> 00:06:24.680]   but I didn't find the charts too useful by the way all this context is pretty much pure gold um so high
[00:06:24.680 --> 00:06:31.480]   level overview um they're going to look at three challenges when you do training right so memory usage this
[00:06:31.480 --> 00:06:37.720]   is kind of your hard limitation right how many gpus do you have and what can you fit so one gpu
[00:06:37.720 --> 00:06:43.720]   you got to adjust your batch size your sequence length two gpus uh how do we do compute efficiency
[00:06:43.720 --> 00:06:48.600]   right how do we share the model do we put data parallelism where we have the entire model on every
[00:06:48.600 --> 00:06:54.360]   single gpu or do we do something like uh shard the model weights if we can't even fit them like that
[00:06:54.360 --> 00:07:00.440]   then communication overhead this kind of becomes when you're gpu rich rich you know most people gpu poor you
[00:07:00.440 --> 00:07:06.120]   have one two gpus you can do some fine tuning some post training gpu rich rich is when you have
[00:07:06.120 --> 00:07:12.680]   multiple nodes so there's there's a thing called like gpu interconnect right so what's the communication
[00:07:12.680 --> 00:07:17.400]   bandwidth it's a buzzword that we hear around pretty often what that basically means is like
[00:07:17.400 --> 00:07:23.080]   when you're sharding stuff between gpus they need to talk to each other right so like if i have
[00:07:23.080 --> 00:07:29.160]   layer one of a model on one gpu and layer two on another gpu well they kind of have to sync to do
[00:07:29.160 --> 00:07:35.240]   their thing right so if they've got good communication this is basically what envy link is if they have
[00:07:35.240 --> 00:07:39.880]   good communication you're kind of chilling there's stuff we can do ring attention is a way that you can
[00:07:39.880 --> 00:07:47.720]   like do really long context and you split this really like chunky sequence length you can do like a
[00:07:47.720 --> 00:07:55.080]   million context scaled across multiple gpus now that only works if you have low communication overhead
[00:07:55.080 --> 00:08:01.480]   meaning you know the gpus talk to each other very very like closely so you have one node of eight gpus
[00:08:01.480 --> 00:08:06.680]   all interconnected with high communication that's cool but then when you become gpu rich and you have
[00:08:06.680 --> 00:08:12.120]   multiple nodes how do these nodes talk together well now you have like another level of communication
[00:08:12.120 --> 00:08:17.400]   bottleneck right so you have nodes that have good interconnect but the node to node communication you
[00:08:17.400 --> 00:08:23.480]   probably want to do something different so these are kind of like the three main things um if anyone is
[00:08:23.480 --> 00:08:28.600]   really doing this you probably don't need to listen to this lap yap from me you probably know more than me
[00:08:28.600 --> 00:08:35.080]   but uh they give good formulas and like explanations as to how you want to mathematically figure out what's
[00:08:35.080 --> 00:08:41.720]   your batch size what's your sequence length based on um your available compute they have a little cheat
[00:08:41.720 --> 00:08:49.160]   sheet here we can go over pretty quick um so small models use single parallelism you know if you have eight
[00:08:49.160 --> 00:08:54.120]   gpus in a small model you can probably throw the full model on every gpu if you have a large model and
[00:08:54.120 --> 00:08:59.800]   you need more than eight gpus there's tensor parallelism if you have a bunch of gpus there's
[00:08:59.800 --> 00:09:07.160]   like moe parallelism there's stuff like that um there's a section on optimizing throughput so sensor
[00:09:07.160 --> 00:09:12.360]   parallelism data parallelism they kind of have this little cheat sheet um then they have parallelization
[00:09:12.360 --> 00:09:18.040]   strategies right so these are kind of the ones that they go over data parallelism is pretty straightforward
[00:09:18.040 --> 00:09:25.080]   they give you pros and cons then they have zero one two three um tensor parallelism pipeline and context
[00:09:25.080 --> 00:09:31.720]   we'll we'll quickly go over all of them but this cheat sheet is interesting it seems more like uh
[00:09:31.720 --> 00:09:39.160]   if you're interviewing a research intern you would expect them to be able to yap about this but if you're
[00:09:39.160 --> 00:09:44.360]   really doing something in training and if you're giving someone access to 500 or a thousand gpus
[00:09:45.160 --> 00:09:53.400]   they better not be needing this cheat sheet but i guess it's useful you know um yeah so step zero this
[00:09:53.400 --> 00:09:59.720]   is still kind of that overview right what happens when you're training on one gpu so very very high
[00:09:59.720 --> 00:10:05.960]   level we know that lms are trained to predict the next token right so what happens is you do a forward
[00:10:05.960 --> 00:10:13.560]   pass of your data you do like gradient accumulation you know you kind of do a forward pass you accumulate
[00:10:13.560 --> 00:10:18.520]   gradients you do a backward propagation where you update these gradients you run an optimizer step
[00:10:18.520 --> 00:10:25.640]   and now we have new new parameters right so the interesting little diagram but this is kind of
[00:10:25.640 --> 00:10:31.320]   what's happening when you train on a single gpu forward pass backward pass to compute gradients
[00:10:31.320 --> 00:10:37.560]   optimization step to update gradients and parameters you basically keep doing this at scale then you can start
[00:10:38.120 --> 00:10:44.440]   batching your input so the interesting thing about this attention which is taking up all of this
[00:10:44.440 --> 00:10:51.640]   compute right out of this 300 terabytes of ram required to train an 8b at that scale or let's say
[00:10:51.640 --> 00:10:59.000]   400 gigs of vram required to train uh 70b at 256 right all of this little attention blocks they're really
[00:10:59.000 --> 00:11:05.720]   good at running in parallel so you don't necessarily sequentially do attention attention attention you run all
[00:11:05.720 --> 00:11:11.720]   these in parallel that's what gpus are good at so when you're doing stuff in parallel you want to start
[00:11:11.720 --> 00:11:17.560]   doing batching right batching is basically where you do multiple sequences at once so you have eight
[00:11:17.560 --> 00:11:24.040]   sequences you throw them in one batch and then you run the whole batch in parallel so um that's kind of
[00:11:24.040 --> 00:11:29.960]   what your batch size is they're like forget all that stuff what we really think about is batch size tokens
[00:11:29.960 --> 00:11:35.640]   batch size tokens is batch size times your sequence length so if each sequence is a hundred tokens like
[00:11:35.640 --> 00:11:41.720]   a hundred characters and you have eight batches of a hundred characters you're actually basically just
[00:11:41.720 --> 00:11:48.680]   training 8 000 tokens um a suite this is kind of a cool little line right so for people not super reading
[00:11:48.680 --> 00:11:55.320]   up on pre-training stuff lms are typically trained on the order of four to 60 million tokens per batch so the
[00:11:55.320 --> 00:12:00.040]   batch size has been kind of increasing as we get bigger and bigger clusters and we get more efficient
[00:12:00.040 --> 00:12:07.960]   training so llama one was trained on four million token batch size tokens uh each batch had whatever
[00:12:07.960 --> 00:12:16.360]   many um batches times how many ever tokens so about four million token batch size tokens and uh one point
[00:12:16.360 --> 00:12:22.040]   wait sorry form sorry it was with a batch size of four million tokens for 1.4 trillion tokens so yeah
[00:12:22.040 --> 00:12:28.200]   uh four million batch size tokens and they trained on troll total of 1.4 trillion tokens llama three was
[00:12:28.200 --> 00:12:33.560]   trained on 15 trillion tokens and i don't know the batch size tokens off the top of my head deep seek
[00:12:33.560 --> 00:12:40.040]   was trained on 60 million batch size tokens for 14 trillion tokens so numbers go up more efficient training
[00:12:40.040 --> 00:12:48.040]   is very cool so first challenge is scaling our model to have these large batch sizes and running out of
[00:12:48.040 --> 00:12:52.760]   memory issues right so as much as i want to parallelize everything i'm going to run out of
[00:12:52.760 --> 00:12:58.040]   um i'm going to run out of memory so the question here we're trying to solve is what should we do when
[00:12:58.040 --> 00:13:05.000]   one gpu doesn't have enough memory to hold a full batch of target batch sizes well um basically you know
[00:13:05.000 --> 00:13:10.760]   make the batch size smaller and if you really can't fit it then let's start adding more gpus but what
[00:13:10.760 --> 00:13:17.160]   happens when you can't fit your one batch size of tokens is you well they want to kind of explain what
[00:13:17.160 --> 00:13:23.080]   that is right so let's look at what happens in the memory so when you train you kind of have a few
[00:13:23.080 --> 00:13:31.080]   things going on right you have um model weights which is basically the parameters so parameters are like
[00:13:31.080 --> 00:13:35.960]   depending on the precision they go into all the math about this of how many bytes it takes per
[00:13:35.960 --> 00:13:41.480]   parameter then you're computing gradients for backprop then you have an optimization state that you have
[00:13:41.480 --> 00:13:48.760]   to keep keep held and activate and activations additionally you you need to leave a little bit of a buffer
[00:13:48.760 --> 00:13:54.520]   cuda kernels add one to two gigs of gpu memory so if you're kind of doing local stuff you know if you're
[00:13:54.520 --> 00:14:01.320]   trying to like do some training on a 7b model and you have like a 40 90 50 90 or if you have like a
[00:14:01.320 --> 00:14:08.040]   macbook with 16 gigs of ram well 16 or 24 gigs of ram doesn't mean that you can use it all right
[00:14:08.040 --> 00:14:14.680]   your cuda kernels take one to two gigs you're like screen in general like laptop processing takes a few
[00:14:14.680 --> 00:14:21.240]   gigs so keep that into account quantization stuff is this crazy thing you do mix precision training where you
[00:14:21.240 --> 00:14:30.360]   can kind of um keep cut the cut the um cut the memory requirement for the model weights um another
[00:14:30.360 --> 00:14:36.760]   thing is that you're not consistently using all the memory right so this is kind of four training steps
[00:14:36.760 --> 00:14:45.800]   of llama 1b you see spikes right so at one second memory being used was up here 50 gigs then it dropped
[00:14:45.800 --> 00:14:50.920]   when it was doing other stuff right so gradient accumulation autograd all this stuff it drops
[00:14:50.920 --> 00:14:58.920]   then it does um activations and drop so it's like kind of little spiky like this um they go into a
[00:14:58.920 --> 00:15:04.200]   bit of math about how to calculate all this but i think if you're interested in this you should kind of
[00:15:04.200 --> 00:15:10.040]   read it on your own time it's pretty long um this is always interesting so they kind of have
[00:15:10.600 --> 00:15:15.720]   interesting little tables here that show you how much memory you would need for fixed precision
[00:15:15.720 --> 00:15:21.560]   or half precision training with gradient accumulation gradient accumulation is a pretty cool little thing
[00:15:21.560 --> 00:15:27.560]   where you can kind of you know add every couple steps accumulate gradients and then do a loss over the
[00:15:27.560 --> 00:15:35.320]   average of them activation memory is another interesting one um it's it's another thing that you know
[00:15:35.320 --> 00:15:43.160]   activations take memory uh we are running a little slow so i'm gonna go a little quicker but if anyone
[00:15:43.160 --> 00:15:48.520]   wants to double click into any of this stuff um you know we can always come back towards the end or just
[00:15:48.520 --> 00:15:55.800]   interrupt me and we can go into it now um yeah sorry just one quick question and um that uh that graph that
[00:15:55.800 --> 00:16:04.120]   you showed is is um on the um uh for epochs right like so that's the first epoch in uh by the end of
[00:16:04.120 --> 00:16:11.480]   the first epoch right this is just training steps so all the steps okay yeah so steps could be like you
[00:16:11.480 --> 00:16:17.800]   know per batch for whatever after you do the training after you accumulate your loss and stuff after you do a
[00:16:17.800 --> 00:16:25.080]   back prop there's just a little dip so this is per batch um yeah so it kind of depends epochs are just a
[00:16:25.080 --> 00:16:32.520]   broader term for this grouping of these right but similar concept yeah a lot of stuff is one epoch you
[00:16:32.520 --> 00:16:41.320]   don't train as much on the same data anymore kind of interesting but uh same same concept okay uh gradient
[00:16:41.320 --> 00:16:49.960]   accumulation this is a very fun one so as you accumulate these gradients um yeah so epoch meta
[00:16:49.960 --> 00:16:56.360]   might be shifting to four epochs there's interesting little niches there so high quality data more epochs
[00:16:56.360 --> 00:17:03.160]   retraining data less epochs one epoch is basically training on a full trade like a full pastor of all
[00:17:03.160 --> 00:17:08.520]   your training data right so i've had thousand samples if i train on a thousand all my one thousand samples that
[00:17:08.520 --> 00:17:14.920]   is one epoch uh two epochs would be you know do the thousand samples and do it again and there's like
[00:17:14.920 --> 00:17:22.760]   there was this whole phase of one epoch on a trillion tokens is the new norm i guess new meta is now four
[00:17:22.760 --> 00:17:30.360]   epochs according to some paper okay so um gradient accumulation this is kind of interesting right so
[00:17:30.360 --> 00:17:36.920]   that gradient storing these gradients as you train is pretty important right as we do a forward pass we have
[00:17:36.920 --> 00:17:42.280]   to kind of do a backward pass and calculate the gradients right so we predict some tokens then we
[00:17:42.280 --> 00:17:47.240]   look at okay what was the actual token and how far off are we should we are we moving in the right
[00:17:47.240 --> 00:17:51.800]   direction or are we completely off for every parameter for all these gradients we kind of have
[00:17:51.800 --> 00:17:58.040]   to store them then we have multiple batches then we have to do an optimization now storing this little
[00:17:58.040 --> 00:18:05.400]   gradient um this little these gradients for every single parameter adds up it takes a lot a lot of memory so
[00:18:05.400 --> 00:18:12.840]   what we can do is this gradient accumulation right so instead of doing one entire batch we split our batch
[00:18:12.840 --> 00:18:19.560]   into micro batches we do a forward and backward pass on each micro batch complete compute the gradients
[00:18:19.560 --> 00:18:31.560]   so if you have a batch of 16 instead cut it up into small micro batches of four do forward backward passes
[00:18:31.560 --> 00:18:39.960]   and kind of only compute smaller gradients and then kind of accumulate them average them out it really helps
[00:18:39.960 --> 00:18:45.560]   you reduce your memory footprint there's a bit of a overhead right now because instead of fast parallel
[00:18:45.560 --> 00:18:51.480]   computation we now have to take time to do all this gradient accumulation stuff but this is pretty
[00:18:51.480 --> 00:18:57.240]   straightforward it's what it's what you would expect right um oh i haven't even looked at this chart but
[00:18:57.240 --> 00:19:06.360]   i guess it shows there's a a bit of idle gpu when you're doing some of this um accumulation merging so
[00:19:06.360 --> 00:19:11.960]   that's kind of your one gpu right you you take your stuff you find you how much vram you have
[00:19:11.960 --> 00:19:18.040]   you take your sequences you optimize your batch size um if you can't fit that size then you can do
[00:19:18.040 --> 00:19:24.920]   gradient accumulation with micro batches um there's other little niches like yeah when you have too many
[00:19:24.920 --> 00:19:30.280]   micro batches your loss can get a little spiky because now you're you know you're doing more little
[00:19:30.280 --> 00:19:36.600]   batches so little little niches if you're actually doing it you should start to look into but otherwise
[00:19:36.600 --> 00:19:43.960]   at a high level that's kind of what's um going on here now that's all great one gpu stuff is pretty
[00:19:43.960 --> 00:19:50.680]   easy right there's a bunch of libraries that'll help us do this one gpu fine tuning like full parameter
[00:19:50.680 --> 00:19:56.120]   stuff a lot of companies will do it for us but what happens when i want to start to like use multiple
[00:19:56.120 --> 00:20:03.400]   gpus right there was a whole gpu shortage but now now it's kind of chill like now you can rent multiple
[00:20:03.400 --> 00:20:09.080]   gpus i can go to run pod i can go to prime intellect i can go to a bunch of these companies
[00:20:09.080 --> 00:20:15.800]   and i can rent like two four eight i think run pod announced they're soon gonna have on demand 64 h100s
[00:20:15.800 --> 00:20:22.840]   so let's say i've got like eight h100s or 64 h100s what do i do um i don't want to just you know
[00:20:22.840 --> 00:20:27.000]   do a whole batch size and just run it that's kind of inefficient so that's where stuff like
[00:20:27.000 --> 00:20:34.840]   data parallelism comes into play so data parallelism is where you basically um you put all of the model
[00:20:34.840 --> 00:20:43.400]   weights on every gpu or several gpus then you split up your data and you run different batches on different
[00:20:43.400 --> 00:20:51.080]   gpus so you know in parallel you have all the weights and you do training on different gpus on different
[00:20:51.080 --> 00:20:56.440]   batches then you kind of accumulate them and you do this optimization and you update them all in
[00:20:56.440 --> 00:21:01.240]   parallel there's a bunch of ways that we do this there's zero one zero two all this stuff and we'll
[00:21:01.240 --> 00:21:06.360]   we'll kind of talk about that in a bit but the the interesting other little note here with data
[00:21:06.360 --> 00:21:14.040]   parallelism is there's this whole crypto wave of um distributed training and everyone talks about you
[00:21:14.040 --> 00:21:21.960]   know everyone has one gpu everyone has one macbook let's train god gpt5 on everyone's distributed
[00:21:21.960 --> 00:21:27.800]   training what they're actually doing is they're doing data parallelism so like news research prime
[00:21:27.800 --> 00:21:32.200]   intellect not to shine on the research they did it's still very interesting and very unique and like
[00:21:32.200 --> 00:21:39.240]   novel and hard to do um they're doing this distributed training which is yeah it's not a mean um it's basically
[00:21:39.240 --> 00:21:44.600]   where you have multiple data centers so like you have one node here one in australia one in europe
[00:21:44.600 --> 00:21:51.000]   one wherever and you put the entire weights on them and then you train batches across there it's still
[00:21:51.000 --> 00:21:57.400]   cool it still requires a lot of you know servers and different locations but it is still like the whole
[00:21:57.400 --> 00:22:04.280]   weights have to be on every gpu on you know every server so that's kind of what this one is it's it's
[00:22:04.280 --> 00:22:10.280]   basically as straightforward as you would expect um you throw all the weights and you do different
[00:22:10.280 --> 00:22:19.240]   batches on different stuff and then you have optimization sinking across right so um there's
[00:22:19.240 --> 00:22:24.920]   there's different types there's you can add gradient accumulation you can bucket gradients they talk about
[00:22:24.920 --> 00:22:30.360]   like efficiencies to do this which i think is not what we should cover in an hour you know if you're at
[00:22:30.360 --> 00:22:35.400]   a stage where you're doing this they kind of go over what are the main ways to do it but um yeah
[00:22:35.400 --> 00:22:40.840]   that's kind of the two so we've gone from single gpu training to now we have data parallel where
[00:22:40.840 --> 00:22:47.320]   let's say i have a node of four h100s i want to train a llama 70b a llama 7b what i can do is i can
[00:22:47.320 --> 00:22:54.760]   throw llama 7b on each gpu split my one trillion tokens so let's say like a hundred million tokens split
[00:22:54.760 --> 00:23:01.880]   that into batches do each gpu trains a batch and then kind of efficiently chunk them together so
[00:23:01.880 --> 00:23:08.920]   this is kind of a summary of what's happened so far so if you're at this stage here's what you should
[00:23:08.920 --> 00:23:16.680]   do first determine the best global batch size by either running experiments or just consume uh you know
[00:23:16.680 --> 00:23:22.040]   consult their literature read their blog post to figure out how you should do this then select the sequence
[00:23:22.040 --> 00:23:28.360]   length this kind of takes a lot of compute what's done in modern models is you train on a small
[00:23:28.360 --> 00:23:33.800]   sequence length for like 90 of the tokens and then the last 10 you kind of increase so if i'm not
[00:23:33.800 --> 00:23:40.360]   mistaken llama did like 14 trillion tokens at 4 000 sequence length and then the last trillion they did
[00:23:40.360 --> 00:23:45.560]   at like 100k then they you know update it's very common because it takes a lot of compute and this kind of
[00:23:45.560 --> 00:23:51.720]   works to generalize as well but two to eight thousand token length works well for the evaluations we have
[00:23:51.720 --> 00:23:57.880]   today i think this is something that people don't really look into enough right um sure you could do
[00:23:57.880 --> 00:24:03.960]   two to eight thousand tokens because that works for mmlu but if you're training something like a llm judge
[00:24:03.960 --> 00:24:09.400]   classifier you probably don't always need 8 000 tokens right so be smart and train on less tokens if you
[00:24:09.400 --> 00:24:17.720]   need less tokens um then we know the bat size we can find the minimum local bat size for a single gpu
[00:24:17.720 --> 00:24:23.160]   and then kind of increase that till you run out of memory then determine the number of gps use you
[00:24:23.160 --> 00:24:30.440]   have for data parallelism and you kind of throw your stuff across them so cool then you have gradient
[00:24:30.440 --> 00:24:38.760]   accumulation if you need it but that's kind of basic data um parallelism now we've kind of got this whole
[00:24:38.760 --> 00:24:51.000]   series of how do we improve upon data problem we've got um 0 1 0 2 0 3 um so what is 0 0 is redundant
[00:24:51.000 --> 00:24:56.520]   actually let me also check chat real quick if there's anything there's map reduce to kind of do this
[00:24:57.240 --> 00:25:02.920]   stink uh they have fancy versions of map reduce as well numbers are different for reasoning models
[00:25:02.920 --> 00:25:08.440]   are when it's putting out yeah reasoning models are a little different but that's kind of rl rl is
[00:25:08.440 --> 00:25:14.360]   at some level similar right you're still just training a transformer um what's happening in that
[00:25:14.360 --> 00:25:22.920]   transformer is somewhat irrelevant okay so zero what's going on with zero um so data parallelism is an
[00:25:22.920 --> 00:25:30.920]   efficient way to scale training the naive replication of optimizer states gradients and parameters across dp
[00:25:30.920 --> 00:25:38.600]   introduces significant memory redundancy right so what's happening here is as you in regular data
[00:25:38.600 --> 00:25:47.320]   parallelism as you split the entire model you also have to at every single gpu do all the optimizer states
[00:25:47.320 --> 00:25:53.560]   all the gradients and you know all the parameters on every gpu and that's kind of redundancy right so
[00:25:53.560 --> 00:26:01.240]   what zero one two and three look into is how can we shard more than just the weights so can we sort of
[00:26:01.240 --> 00:26:08.120]   shard this optimizer state can we start shard the gradient partitioning so and then there's uh zero three
[00:26:08.120 --> 00:26:14.760]   which is kind of interesting where you start to actually shard the parameters themselves so uh zero
[00:26:14.760 --> 00:26:21.720]   one zero two are more efficient ways of data sharding basically instead of just model like instead of
[00:26:21.720 --> 00:26:27.480]   everything on every gpu can we also shard this optimizer state a little bit and then zero two is
[00:26:27.480 --> 00:26:33.400]   can we also shard this gradient a little bit okay back into what's happening in memory so um
[00:26:35.320 --> 00:26:41.000]   in mixed precision training we have parameters we have gradients we have optimizer states which
[00:26:41.000 --> 00:26:48.200]   are stored in higher precision and then gradients in higher precision if we want gradients in higher
[00:26:48.200 --> 00:26:56.440]   position uh precision so zero one is partitioning the optimizer state so in regular data parallelism
[00:26:56.440 --> 00:27:04.840]   all ranks gather uh gradients after the backwards pass simultaneously and perform identical optimization steps
[00:27:04.840 --> 00:27:10.600]   that's a lot of duplicated of work we can avoid it using redundant memory stores at the same pad so
[00:27:10.600 --> 00:27:17.800]   they have this all gather which is kind of um community it's kind of yeah let's shard this um
[00:27:17.800 --> 00:27:24.680]   optimization state so forward passes happen at the same time backward passes at the same time
[00:27:24.680 --> 00:27:31.480]   perform a reduced scatter on gradients each replica performs an optimization step on its local optimization
[00:27:31.480 --> 00:27:40.920]   steps then you perform this all gather to kind of send these missing replications pldr um they're now just
[00:27:40.920 --> 00:27:48.920]   sharding optimization uh how they do it they go into more details here now zero two is kind of the next
[00:27:48.920 --> 00:27:57.240]   step we have a reduced shatter optimization where now not only does each replica have to shard optimization but
[00:27:57.240 --> 00:28:04.120]   they're also calculating gradients right so why don't we shard this gradient optimization state so during
[00:28:04.120 --> 00:28:10.040]   the backward instead of performing in all reduced we perform a reduced scatter reduced scatter spreads
[00:28:10.040 --> 00:28:17.400]   gradients needed in memory and it's more memory saving again um that's that's cool they have a chart
[00:28:17.400 --> 00:28:23.240]   at the end of this that kind of shows how all of this works um then we have zero three zero three is the fun one
[00:28:23.240 --> 00:28:30.680]   a fun one so if you can or if you need to if you're training something like let's say you're doing uh
[00:28:30.680 --> 00:28:37.800]   llama 70b or something post training and you want to crazily increase your sequence length right so you
[00:28:37.800 --> 00:28:43.800]   want to go up to a hundred thousand sequence length well now you're not fitting in even one node this is
[00:28:43.800 --> 00:28:51.160]   where um fsdp starts coming in where you have to shard your parameters themselves so instead of each gpu
[00:28:51.160 --> 00:28:58.040]   having every single all the model weights now you're sharding the model weights across different gpus
[00:28:58.040 --> 00:29:04.200]   sounds pretty interesting right well in zero three you still need good communication between the gpus
[00:29:04.200 --> 00:29:09.480]   there's kind of technical ways that they do this how they do these forward passes these backward passes
[00:29:09.480 --> 00:29:16.760]   later on we'll learn about sharding across different dimensions the way this works is basically
[00:29:17.320 --> 00:29:24.360]   training and all this attention and all of like math all all of this stuff is just matmos right
[00:29:24.360 --> 00:29:31.400]   it's matrix multiplication so it's row times column there's smart ways to do that and manipulate row times
[00:29:31.400 --> 00:29:37.720]   column and yeah they they kind of just make it really easy to do it all this explained what's going
[00:29:37.720 --> 00:29:43.720]   on so if interested read it if you really want to use it pretty much any training library whether that's
[00:29:43.720 --> 00:29:49.720]   pytorch or whatever you're using uh you can you know in a few lines of code just implement this and it
[00:29:49.720 --> 00:29:58.360]   handles all of this for you on the back end now um yeah that's that's kind of the three stages uh
