
[00:00:00.040 --> 00:00:10.800]   cost
[00:06:17.680 --> 00:06:17.680]   You're going to need a lot of money to get your disability income insurance policy.
[00:06:17.680 --> 00:06:17.680]   You're going to need a lot of money to get your disability income insurance policy.
[00:06:17.680 --> 00:06:17.680]   You're going to need a lot of money to get your disability income insurance policy.
[00:06:17.680 --> 00:06:17.680]   You're going to need a lot of money to get your disability income insurance policy.
[00:06:17.680 --> 00:06:17.680]   You're going to need a lot of money to get your disability income insurance policy.
[00:06:17.680 --> 00:06:17.680]   You're going to need a lot of money to get your disability income insurance policy.
[00:06:17.680 --> 00:06:17.680]   You're going to need a lot of money to get your disability income insurance policy.
[00:06:17.680 --> 00:06:17.680]   You're going to need a lot of money to get your disability income insurance policy.
[00:06:17.680 --> 00:06:47.680]  , you're going to need a lot of money to get your disability income insurance policy.
[00:06:47.680 --> 00:06:47.680]   You're going to need a lot of money to get your disability income insurance policy.
[00:06:47.680 --> 00:06:47.680]   You're going to need a lot of money to get your disability income insurance policy.
[00:06:47.680 --> 00:06:47.680]   You're going to need a lot of money to get your disability income insurance policy.
[00:06:47.680 --> 00:06:47.680]   You're going to need a lot of money to get your disability income insurance policy.
[00:06:47.680 --> 00:06:47.680]   You're going to need a lot of money to get your disability income insurance policy.
[00:06:47.680 --> 00:06:47.680]   You're going to need a lot of money to get your disability income insurance policy.
[00:06:47.680 --> 00:06:47.680]   You're going to need a lot of money to get your disability income insurance policy.
[00:06:47.700 --> 00:07:17.680]   You're going to need a lot of money to get your disability income insurance policy.
[00:07:17.680 --> 00:07:17.680]   You're going to need a lot of money to get your disability income insurance policy.
[00:07:17.680 --> 00:07:17.680]   You're going to need a lot of money to get your disability income insurance policy.
[00:07:17.680 --> 00:07:17.680]   You're going to need a lot of money to get your disability income insurance policy.
[00:07:17.680 --> 00:07:17.680]   You're going to need a lot of money to get your disability income insurance policy.
[00:07:17.680 --> 00:07:17.680]   You're going to need a lot of money to get your disability income insurance policy.
[00:07:17.680 --> 00:07:17.680]   You're going to need a lot of money to get your disability income insurance policy.
[00:07:17.680 --> 00:07:17.680]   You're going to need a lot of money to get your disability income insurance policy.
[00:07:17.680 --> 00:07:17.680]   You're going to need a lot of money to get your disability income insurance policy.
[00:07:17.680 --> 00:07:17.680]   You're going to need a lot of money to get your disability income insurance policy.
[00:07:17.680 --> 00:07:17.680]   You're going to need a lot of money to get your disability income insurance policy.
[00:07:17.680 --> 00:07:47.700]   a lot of money to get your disability income insurance policy.
[00:07:47.700 --> 00:07:47.700]   You're going to need a lot of money to get your disability income insurance policy.
[00:07:47.700 --> 00:07:47.700]   You're going to need a lot of money to get your disability income insurance policy.
[00:07:47.700 --> 00:07:47.700]   You're going to need a lot of money to get your disability income insurance policy.
[00:07:47.700 --> 00:07:47.700]   You're going to need a lot of money to get your disability income insurance policy.
[00:07:47.700 --> 00:07:47.700]   You're going to need a lot of money to get your disability income insurance policy.
[00:07:47.700 --> 00:07:47.700]   You're going to need a lot of money to get your disability income insurance policy.
[00:07:47.720 --> 00:08:17.720]   You're going to need a lot of money to get your disability income insurance policy.
[00:08:17.720 --> 00:08:17.720]   You're going to need a lot of money to get your disability income insurance policy.
[00:08:17.720 --> 00:08:17.720]   You're going to need a lot of money to get your disability income insurance policy.
[00:08:17.720 --> 00:08:17.720]   You're going to need a lot of money to get your disability income insurance policy.
[00:08:17.720 --> 00:08:17.720]   You're going to need a lot of money to get your disability income insurance policy.
[00:08:17.720 --> 00:08:17.720]   You're going to need a lot of money to get your disability income insurance policy.
[00:08:17.720 --> 00:08:17.720]   You're going to need a lot of money to get your disability income insurance policy.
[00:08:17.720 --> 00:08:17.720]   You're going to need a lot of money to get your disability income insurance policy.
[00:08:17.720 --> 00:08:17.720]   You're going to need a lot of money to get your disability income insurance policy.
[00:08:17.720 --> 00:08:17.720]   You're going to need a lot of money to get your disability income insurance policy.
[00:08:17.720 --> 00:08:17.720]   You're going to need a lot of money to get your disability income insurance policy.
[00:08:17.720 --> 00:08:47.740]  ,
[00:08:47.740 --> 00:08:47.740]   You're going to need a lot of money to get your disability income insurance policy.
[00:08:47.740 --> 00:08:47.740]   You're going to need a lot of money to get your disability income insurance policy.
[00:08:47.740 --> 00:08:47.740]   You're going to need a lot of money to get your disability income insurance policy.
[00:08:47.740 --> 00:08:47.740]   You're going to need a lot of money to get your disability income insurance policy.
[00:08:47.740 --> 00:08:47.740]   You're going to need a lot of money to get your disability income insurance policy.
[00:08:47.740 --> 00:08:47.740]   You're going to need a lot of money to get your disability income insurance policy.
[00:08:47.740 --> 00:08:47.740]   You're going to need a lot of money to get your disability income insurance policy.
[00:08:47.760 --> 00:09:17.760]   You're going to need a lot of money to get your disability income insurance policy.
[00:09:17.760 --> 00:09:17.760]   You're going to need a lot of money to get your disability income insurance policy.
[00:09:17.760 --> 00:09:17.760]   You're going to need a lot of money to get your disability income insurance policy.
[00:09:17.760 --> 00:09:17.760]   You're going to need a lot of money to get your disability income insurance policy.
[00:09:17.760 --> 00:09:17.760]   You're going to need a lot of money to get your disability income insurance policy.
[00:09:17.760 --> 00:09:17.760]   You're going to need a lot of money to get your disability income insurance policy.
[00:09:17.760 --> 00:09:17.760]   You're going to need a lot of money to get your disability income insurance policy.
[00:09:17.760 --> 00:09:17.760]   You're going to need a lot of money to get your disability income insurance policy.
[00:09:17.760 --> 00:09:17.760]   You're going to need a lot of money to get your disability income insurance policy.
[00:09:17.760 --> 00:09:17.760]   You're going to need a lot of money to get your disability income insurance policy.
[00:09:17.760 --> 00:09:17.760]   You're going to need a lot of money to get your disability income insurance policy.
[00:09:47.780 --> 00:09:47.780]   You're going to need a lot of money to get your disability income insurance policy.
[00:09:47.780 --> 00:09:47.780]   You're going to need a lot of money to get your disability income insurance policy.
[00:09:47.780 --> 00:09:47.780]   You're going to need a lot of money to get your disability income insurance policy.
[00:09:47.780 --> 00:09:47.780]   You're going to need a lot of money to get your disability income insurance policy.
[00:09:47.780 --> 00:09:47.780]   You're going to need a lot of money to get your disability income insurance policy.
[00:09:47.780 --> 00:09:47.780]   You're going to need a lot of money to get your disability income insurance policy.
[00:09:47.780 --> 00:09:47.780]   You're going to need a lot of money to get your disability income insurance policy.
[00:09:47.780 --> 00:09:47.780]   You're going to need a lot of money to get your disability income insurance policy.
[00:10:17.800 --> 00:10:17.800]   We're going to need a lot of money to get your disability income insurance policy.
[00:10:17.800 --> 00:10:17.800]   We're going to need a lot of money to get your disability income insurance policy.
[00:10:17.800 --> 00:10:17.800]   We're going to need a lot of money to get your disability income insurance policy.
[00:10:17.800 --> 00:10:17.800]   We're going to need a lot of money to get your disability income insurance policy.
[00:10:17.800 --> 00:10:17.800]   We're going to need a lot of money to get your disability income insurance policy.
[00:10:17.800 --> 00:10:17.800]   We're going to need a lot of money to get your disability income insurance policy.
[00:10:17.800 --> 00:10:17.800]   We're going to need a lot of money to get your disability income insurance policy.
[00:10:17.800 --> 00:10:17.800]   We're going to need a lot of money to get your disability income insurance policy.
[00:10:17.800 --> 00:10:17.800]  , and we would not be destitute in that sense that we would need to rely on others.
[00:10:17.800 --> 00:10:17.800]  , we're going to be destitute in that sense that we would be dependent on the other people.
[00:10:17.820 --> 00:10:26.820]   So philosophically, insurance works best when it covers catastrophic circumstances
[00:10:26.820 --> 00:10:29.920]   that can't be protected by other means of planning.
[00:10:29.920 --> 00:10:36.080]   Insurance works best for those needs, not for relatively predictable day-to-day things.
[00:10:36.080 --> 00:10:43.540]   For somebody who's financially prudent, there's very little reason for you to take out insurance on losing your job.
[00:10:43.540 --> 00:10:47.820]   Because you can solve that problem with maintaining a good financial condition
[00:10:47.820 --> 00:10:47.820]   and maintaining a good financial condition.
[00:10:47.820 --> 00:10:47.820]   For somebody who's financially prudent, there's very little reason for you to take out insurance on losing your job.
[00:10:47.820 --> 00:10:47.820]   Because you can solve that problem with maintaining a good financial condition.
[00:10:47.820 --> 00:10:47.820]   Because you can solve that problem with maintaining a good financial condition.
[00:10:47.820 --> 00:10:47.820]   Because you can solve that problem with maintaining a good financial condition.
[00:10:47.820 --> 00:10:47.820]   For somebody who's financially prudent, there's very little reason for you to take out insurance on losing your job.
[00:10:47.820 --> 00:11:17.840]   a good financial condition.
[00:11:17.840 --> 00:11:17.840]   For somebody who's financially prudent, there's very little reason for you to take out insurance on losing your job.
[00:11:17.840 --> 00:11:17.840]   For somebody who's financially prudent, there's very little reason for you to take out insurance on losing your job.
[00:11:17.840 --> 00:11:17.840]   For somebody who's financially prudent, there's very little reason for you to take out insurance on losing your job.
[00:11:17.840 --> 00:11:17.840]   For somebody who's financially prudent, there's very little reason for you to take out insurance on losing your job.
[00:11:17.840 --> 00:11:17.840]   for somebody who's financially prudent, there's very little reason for you to take out insurance on losing your job.
[00:11:17.840 --> 00:11:17.840]  , there's very little reason for somebody who's financially prudent who's financially prudent who's financial condition for you to take out insurance for their life.
[00:11:17.860 --> 00:11:47.860]   It's statistically relatively unlikely that you'll be unable to work for more than six months.
[00:11:47.860 --> 00:11:47.860]   But it's dramatically more unlikely that you'll be unable to work for more than six months.
[00:11:47.860 --> 00:11:47.860]   But it's dramatically more unlikely that you'll be unable to work for more than six months.
[00:11:47.860 --> 00:11:47.860]   But it's dramatically more unlikely that you'll be unable to work for more than six months.
[00:11:47.860 --> 00:11:47.860]   But it's dramatically more unlikely that you'll be unable to work for more than six months.
[00:11:47.860 --> 00:11:47.860]   But it's dramatically more unlikely that you'll be unable to work for more than six months.
[00:11:47.860 --> 00:11:47.860]   But it's dramatically more unlikely that you'll be unable to work for more than six months.
[00:11:47.860 --> 00:11:47.860]   But it's dramatically more unlikely that you'll be unable to work for more than six months.
[00:11:47.860 --> 00:11:47.860]   But it's dramatically more unlikely that you'll be unable to work for more than six months.
[00:11:47.860 --> 00:11:47.860]   But it's dramatically more unlikely that you'll be unable to work for more than six months.
[00:11:47.880 --> 00:12:17.880]   But it's dramatically more unlikely that you'll be unable to work for more than six months.
[00:12:17.880 --> 00:12:17.880]   But it's dramatically more unlikely that you'll be unable to work for more than six months.
[00:12:17.880 --> 00:12:17.880]   But it's dramatically more unlikely that you'll be unable to work for more than six months.
[00:12:17.880 --> 00:12:17.880]   But it's dramatically more unlikely that you'll be unable to work for more than six months.
[00:12:17.880 --> 00:12:17.880]   But it's dramatically more unlikely that you'll be unable to work for more than six months.
[00:12:17.880 --> 00:12:17.880]   But it's dramatically more unlikely that you'll be unable to work for more than six months.
[00:12:17.880 --> 00:12:17.880]   But it's dramatically more unlikely that you'll be unable to work for more than six months.
[00:12:17.880 --> 00:12:17.880]   But it's dramatically more unlikely that you'll be unable to work for more than six months.
[00:12:17.880 --> 00:12:17.880]   But it's dramatically more unlikely that you'll be unable to work for more than six months.
[00:12:17.880 --> 00:12:47.900]  ,
[00:12:47.900 --> 00:12:47.900]   What was quoted to you, what was the monthly benefit of the policy?
[00:12:47.900 --> 00:12:47.900]   What was quoted to you, what was the monthly benefit of the policy?
[00:12:47.900 --> 00:12:47.900]   What was quoted to you, what was the monthly benefit of the policy?
[00:12:47.900 --> 00:12:47.900]   What was quoted to you, what was the monthly benefit of the policy?
[00:12:47.900 --> 00:12:47.900]   What was quoted to you, what was quoted to you, what was the monthly benefit of the policy?
[00:12:47.900 --> 00:12:47.900]   What was quoted to you, what was quoted to you, what was quoted to you, what was the monthly benefit of the policy?
[00:12:47.920 --> 00:13:17.920]   What was quoted to you, what was the monthly benefit of the policy?
[00:13:17.920 --> 00:13:17.920]   You know, I was trying to follow, pull that up and I somehow misplaced the policy.
[00:13:17.920 --> 00:13:17.920]   My recollection was it was roughly 60% of income, which would have been, so well, it wouldn't be making 60 a year roughly and they're going to cover about 60% of that is my recollection.
[00:13:17.920 --> 00:13:17.920]   Okay, so $60,000 a year times 0.6 comes out to $36,000 per year.
[00:13:17.920 --> 00:13:17.920]   So times 4.5 years, or sorry, it would be $36,000 per year times 0.6 comes out to $36,000 per year.
[00:13:17.920 --> 00:13:17.920]   So times 4.5 years, or sorry, it would be $36,000 per year times 0.6 comes out to $36,000 per year times 0.6 comes out to $36,000 per year.
[00:13:17.920 --> 00:13:47.940]  , and ask yourself, okay, how long would it take me to save $180,000 with the monthly premium and start to run that ratio?
[00:13:47.960 --> 00:14:17.960]   I think you're better off setting the money aside.
[00:14:17.960 --> 00:14:17.960]   And so I think that's what I'm doing here.
[00:14:17.960 --> 00:14:17.960]   I think you're better off setting the money aside.
[00:14:17.960 --> 00:14:17.960]   I think you're better off setting the money aside.
[00:14:17.960 --> 00:14:17.960]   I think you're better off setting the money aside.
[00:14:17.960 --> 00:14:17.960]   I think you're better off setting the money aside.
[00:14:17.960 --> 00:14:17.960]   and I just said I don't think this is worth it.
[00:14:17.960 --> 00:14:17.960]   I think you're better off setting the money aside.
[00:14:17.960 --> 00:14:17.960]   And I just said I don't think this is worth it.
[00:14:17.960 --> 00:14:17.960]   and I think you're better off setting the money aside.
[00:14:17.960 --> 00:14:17.960]   and I think you're better off setting the money aside.
[00:14:17.960 --> 00:14:17.960]   and I think you're better off setting the money aside.
[00:14:17.960 --> 00:14:17.960]   and I think you're better off setting the money aside.
[00:14:17.960 --> 00:14:17.960]   and I think you're not spending the money aside.
[00:14:17.960 --> 00:14:17.960]   and I think you're not spending this is worth it.
[00:14:17.960 --> 00:14:17.960]   I'm not spending this is worth it.
[00:14:17.960 --> 00:14:47.980]   and I think you're not spending this is worth it.
[00:14:47.980 --> 00:14:47.980]   and I think you're not spending this is worth it.
[00:14:47.980 --> 00:14:47.980]   and I think you're not spending this is worth it.
[00:14:47.980 --> 00:14:47.980]   and I think you're not spending this is worth it.
[00:14:47.980 --> 00:14:47.980]   and I think you're not spending this is worth it.
[00:14:47.980 --> 00:14:47.980]   and I think you're not spending this is worth it.
[00:14:47.980 --> 00:14:47.980]   and I think you're not spending this is worth it.
[00:14:47.980 --> 00:14:47.980]   and I think you're not spending this is worth it.
[00:14:48.000 --> 00:15:18.000]   I think you're not spending this is worth it.
[00:15:18.000 --> 00:15:18.000]   and I think you're not spending this is worth it.
[00:15:18.000 --> 00:15:18.000]   and I think you're not spending this is worth it.
[00:15:18.000 --> 00:15:18.000]   and I think you're not spending this is worth it.
[00:15:18.000 --> 00:15:18.000]   and I think you're not spending this is worth it.
[00:15:18.000 --> 00:15:18.000]   and I think you're not spending this is worth it.
[00:15:18.000 --> 00:15:18.000]   and I think you're not spending this is worth it.
[00:15:18.000 --> 00:15:18.000]   and I think you're not spending this is worth it.
[00:15:18.000 --> 00:15:18.000]   and I think you're not spending this is worth it.
[00:15:18.000 --> 00:15:18.000]   and I think you're not spending this is worth it.
[00:15:18.000 --> 00:15:18.000]   and I think you're not spending this is worth it.
[00:15:18.000 --> 00:15:18.000]   and I think you're not spending this is worth it.
[00:15:18.000 --> 00:15:18.000]   and I think you're not spending this is worth it.
[00:15:18.000 --> 00:15:18.000]   and I think you're not spending this is worth it.
[00:15:18.000 --> 00:15:18.000]   and I think you're not spending this is worth it.
[00:15:18.000 --> 00:15:48.020]   and I think you're not spending this is worth it.
[00:15:48.020 --> 00:15:48.020]   and I think you're not spending this is worth it.
[00:15:48.020 --> 00:15:48.020]   and I think you're not spending this is worth it.
[00:15:48.020 --> 00:15:48.020]   and I think you're not spending this is worth it.
[00:15:48.020 --> 00:15:48.020]   and I think you're not spending this is worth it.
[00:15:48.020 --> 00:15:48.020]   and I think you're not spending this is worth it.
[00:15:48.020 --> 00:15:48.020]   and I think you're not spending this is worth it.
[00:15:48.040 --> 00:16:18.040]   I think you're not spending this is worth it.
[00:16:18.040 --> 00:16:18.040]   and I think you're not spending this is worth it.
[00:16:18.040 --> 00:16:18.040]   and I think you're not spending this is worth it.
[00:16:18.040 --> 00:16:18.040]   and I think you're not spending this is worth it.
[00:16:18.040 --> 00:16:18.040]   and I think you're not spending this is worth it.
[00:16:18.040 --> 00:16:18.040]   and I think you're not spending this is worth it.
[00:16:18.040 --> 00:16:18.040]   and I think you're not spending this is worth it.
[00:16:18.040 --> 00:16:18.040]   and I think you're not spending this is worth it.
[00:16:18.040 --> 00:16:18.040]   and I think you're not spending this is worth it.
[00:16:18.040 --> 00:16:18.040]   and I think you're not spending this is worth it.
[00:16:18.040 --> 00:16:18.040]   and I think you're not spending this is worth it.
[00:16:18.040 --> 00:16:18.040]   and I think you're not spending this is worth it.
[00:16:18.040 --> 00:16:18.040]   and I think you're not spending this is worth it.
[00:16:18.040 --> 00:16:18.040]   and I think you're not spending this is worth it.
[00:16:18.040 --> 00:16:18.040]   and I think you're not spending this is worth it.
[00:16:18.040 --> 00:16:48.060]   and I think you're not spending this is worth it.
[00:16:48.060 --> 00:16:48.060]   and I think you're not spending this is worth it.
[00:16:48.060 --> 00:16:48.060]   and I think you're not spending this is worth it.
[00:16:48.060 --> 00:16:48.060]   and I think you're not spending this is worth it.
[00:16:48.060 --> 00:16:48.060]   and I think you're not spending this is worth it.
[00:16:48.060 --> 00:16:48.060]   and I think you're not spending this is worth it.
[00:16:48.060 --> 00:16:48.060]   and I think you're not spending this is worth it.
[00:16:48.060 --> 00:16:48.060]   and I think you're not spending this is worth it.
[00:16:48.080 --> 00:17:18.080]   and I think you're not spending this is worth it.
[00:17:18.080 --> 00:17:18.080]   and I think you're not spending this is worth it.
[00:17:18.080 --> 00:17:18.080]   and I think you're not spending this is worth it.
[00:17:18.080 --> 00:17:18.080]   and I think you're not spending this is worth it.
[00:17:18.080 --> 00:17:18.080]   and I think you're not spending this is worth it.
[00:17:18.080 --> 00:17:18.080]   and I think you're not spending this is worth it.
[00:17:18.080 --> 00:17:18.080]   and I think you're not spending this is worth it.
[00:17:18.080 --> 00:17:18.080]   and I think you're not spending this is worth it.
[00:17:18.080 --> 00:17:18.080]   and I think you're not spending this is worth it.
[00:17:18.080 --> 00:17:18.080]   and I think you're not spending this is worth it.
[00:17:18.080 --> 00:17:18.080]   and I think you're not spending this is worth it.
[00:17:18.080 --> 00:17:18.080]   and I think you're not spending this is worth it.
[00:17:18.080 --> 00:17:18.080]   and I think you're not spending this is worth it.
[00:17:18.080 --> 00:17:18.080]   and I think you're not spending this is worth it.
[00:17:18.080 --> 00:17:18.080]   and I think you're not spending this is worth it.
[00:17:18.080 --> 00:17:48.100]   and I think you're not spending this is worth it.
[00:17:48.100 --> 00:17:48.100]   and I think you're not spending this is worth it.
[00:17:48.100 --> 00:17:48.100]   and I think you're not spending this is worth it.
[00:17:48.100 --> 00:17:48.100]   and I think you're not spending this is worth it.
[00:17:48.100 --> 00:17:48.100]   and I think you're not spending this is worth it.
[00:17:48.100 --> 00:17:48.100]   and I think you're not spending this is worth it.
[00:17:48.100 --> 00:17:48.100]   and I think you're not spending this is worth it.
[00:17:48.100 --> 00:17:48.100]   and I think you're not spending this is worth it.
[00:17:48.100 --> 00:17:48.100]   and I think you're not spending this is worth it.
[00:17:48.120 --> 00:18:18.120]   I think you're not spending this is worth it.
[00:18:18.120 --> 00:18:18.120]   and I think you're not spending this is worth it.
[00:18:18.120 --> 00:18:18.120]   and I think you're not spending this is worth it.
[00:18:18.120 --> 00:18:18.120]   and I think you're not spending this is worth it.
[00:18:18.120 --> 00:18:18.120]   and I think you're not spending this is worth it.
[00:18:18.120 --> 00:18:18.120]   and I think you're not spending this is worth it.
[00:18:18.120 --> 00:18:18.120]   and I think you're not spending this is worth it.
[00:18:18.120 --> 00:18:18.120]   and I think you're not spending this is worth it.
[00:18:18.120 --> 00:18:18.120]   and I think you're not spending this is worth it.
[00:18:18.120 --> 00:18:18.120]   and I think you're not spending this is worth it.
[00:18:18.120 --> 00:18:18.120]   and I think you're not spending this is worth it.
[00:18:18.120 --> 00:18:18.120]   and I think you're not spending this is worth it.
[00:18:18.120 --> 00:18:18.120]   and I think you're not spending this is worth it.
[00:18:18.120 --> 00:18:18.120]   and I think you're not spending this is worth it.
[00:18:18.120 --> 00:18:18.120]   and I think you're not spending this is worth it.
[00:18:18.120 --> 00:18:48.140]   and I think you're not spending this is worth it.
[00:18:48.140 --> 00:18:48.140]   and I think you're not spending this is worth it.
[00:18:48.140 --> 00:18:48.140]   and I think you're not spending this is worth it.
[00:18:48.140 --> 00:18:48.140]   and I think you're not spending this is worth it.
[00:18:48.140 --> 00:18:48.140]   and I think you're not spending this is worth it.
[00:18:48.140 --> 00:18:48.140]   and I think you're not spending this is worth it.
[00:18:48.140 --> 00:18:48.140]   and I think you're not spending this is worth it.
[00:18:48.140 --> 00:18:48.140]   and I think you're not spending this is worth it.
[00:18:48.160 --> 00:19:18.160]   I think you're not spending this is worth it.
[00:19:18.160 --> 00:19:18.160]   and I think you're not spending this is worth it.
[00:19:18.160 --> 00:19:18.160]   and I think you're not spending this is worth it.
[00:19:18.160 --> 00:19:18.160]   and I think you're not spending this is worth it.
[00:19:18.160 --> 00:19:18.160]   and I think you're not spending this is worth it.
[00:19:18.160 --> 00:19:18.160]   and I think you're not spending this is worth it.
[00:19:18.160 --> 00:19:18.160]   and I think you're not spending this is worth it.
[00:19:18.160 --> 00:19:18.160]   and I think you're not spending this is worth it.
[00:19:18.160 --> 00:19:18.160]   and I think you're not spending this is worth it.
[00:19:18.160 --> 00:19:18.160]   and I think you're not spending this is worth it.
[00:19:18.160 --> 00:19:18.160]   and I think you're not spending this is worth it.
[00:19:18.160 --> 00:19:18.160]   and I think you're not spending this is worth it.
[00:19:18.160 --> 00:19:18.160]   and I think you're not spending this is worth it.
[00:19:18.160 --> 00:19:18.160]   and I think you're not spending this is worth it.
[00:19:18.160 --> 00:19:18.160]   and I think you're not spending this is worth it.
[00:19:18.160 --> 00:19:48.180]   and I think you're not spending this is worth it.
[00:19:48.180 --> 00:19:48.180]   and I think you're not spending this is worth it.
[00:19:48.180 --> 00:19:48.180]   and I think you're not spending this is worth it.
[00:19:48.180 --> 00:19:48.180]   and I think you're not spending this is worth it.
[00:19:48.180 --> 00:19:48.180]   and I think you're not spending this is worth it.
[00:19:48.180 --> 00:19:48.180]   and I think you're not spending this is worth it.
[00:19:48.180 --> 00:19:48.180]   and I think you're not spending this is worth it.
[00:19:48.180 --> 00:19:48.180]   and I think you're not spending this is worth it.
[00:19:48.200 --> 00:20:18.200]   and I think you're not spending this is worth it.
[00:20:18.200 --> 00:20:18.200]   and I think you're not spending this is worth it.
[00:20:18.200 --> 00:20:18.200]   and I think you're not spending this is worth it.
[00:20:18.200 --> 00:20:18.200]   and I think you're not spending this is worth it.
[00:20:18.200 --> 00:20:18.200]   and I think you're not spending this is worth it.
[00:20:18.200 --> 00:20:18.200]   and I think you're not spending this is worth it.
[00:20:18.200 --> 00:20:18.200]   and I think you're not spending this is worth it.
[00:20:18.200 --> 00:20:18.200]   and I think you're not spending this is worth it.
[00:20:18.200 --> 00:20:18.200]   and I think you're not spending this is worth it.
[00:20:18.200 --> 00:20:18.200]   and I think you're not spending this is worth it.
[00:20:18.200 --> 00:20:18.200]   and I think you're not spending this is worth it.
[00:20:18.200 --> 00:20:18.200]   and I think you're not spending this is worth it.
[00:20:18.200 --> 00:20:18.200]   and I think you're not spending this is worth it.
[00:20:18.200 --> 00:20:18.200]   and I think you're not spending this is worth it.
[00:20:18.200 --> 00:20:18.200]   and I think you're not spending this is worth it.
[00:20:18.200 --> 00:20:48.220]   and I think you're not spending this is worth it.
[00:20:48.220 --> 00:20:48.220]   and I think you're not spending this is worth it.
[00:20:48.220 --> 00:20:48.220]   and I think you're not spending this is worth it.
[00:20:48.220 --> 00:20:48.220]   and I think you're not spending this is worth it.
[00:20:48.220 --> 00:20:48.220]   and I think you're not spending this is worth it.
[00:20:48.220 --> 00:20:48.220]   and I think you're not spending this is worth it.
[00:20:48.220 --> 00:20:48.220]   and I think you're not spending this is worth it.
[00:20:48.220 --> 00:20:48.220]   and I think you're not spending this is worth it.
[00:20:48.240 --> 00:21:18.240]   I think you're not spending this is worth it.
[00:21:18.240 --> 00:21:18.240]   and I think you're not spending this is worth it.
[00:21:18.240 --> 00:21:18.240]   and I think you're not spending this is worth it.
[00:21:18.240 --> 00:21:18.240]   and I think you're not spending this is worth it.
[00:21:18.240 --> 00:21:18.240]   and I think you're not spending this is worth it.
[00:21:18.240 --> 00:21:18.240]   and I think you're not spending this is worth it.
[00:21:18.240 --> 00:21:18.240]   and I think you're not spending this is worth it.
[00:21:18.240 --> 00:21:18.240]   and I think you're not spending this is worth it.
[00:21:18.240 --> 00:21:18.240]   and I think you're not spending this is worth it.
[00:21:18.240 --> 00:21:18.240]   and I think you're not spending this is worth it.
[00:21:18.240 --> 00:21:18.240]   and I think you're not spending this is worth it.
[00:21:18.240 --> 00:21:18.240]   and I think you're not spending this is worth it.
[00:21:18.240 --> 00:21:18.240]   and I think you're not spending this is worth it.
[00:21:18.240 --> 00:21:18.240]   and I think you're not spending this is worth it.
[00:21:18.240 --> 00:21:18.240]   and I think you're not spending this is worth it.
[00:21:18.280 --> 00:21:48.260]   and I think you're not spending this is worth it.
[00:21:48.260 --> 00:21:48.260]   and I think you're not spending this is worth it.
[00:21:48.260 --> 00:21:48.260]   and I think you're not spending this is worth it.
[00:21:48.260 --> 00:21:48.260]   and I think you're not spending this is worth it.
[00:21:48.260 --> 00:21:48.260]   and I think you're not spending this is worth it.
[00:21:48.260 --> 00:21:48.260]   and I think you're not spending this is worth it.
[00:21:48.260 --> 00:21:48.260]   and I think you're not spending this is worth it.
