
[00:00:00.000 --> 00:00:02.120]   of Intermediate Biblical Counseling.
[00:03:30.760 --> 00:03:35.760]   many counseling meetings that do get very emotional.
[00:03:35.760 --> 00:03:39.220]   And you wanna be equipped to know how to handle
[00:03:39.220 --> 00:03:44.220]   those expressions of emotion in counseling ministry.
[00:03:44.220 --> 00:03:48.920]   And then just not even how it relates to counseling ministry
[00:03:48.920 --> 00:03:53.860]   but just processing the everyday events of life.
[00:03:53.860 --> 00:03:56.660]   I believe that the Christian life
[00:03:56.660 --> 00:04:00.380]   is a life that is filled with emotions.
[00:04:00.380 --> 00:04:03.220]   Paul described it as sorrowful,
[00:04:03.220 --> 00:04:08.220]   yet always rejoicing in 2 Corinthians 6, verse 10.
[00:04:08.220 --> 00:04:11.780]   We rejoice with those who rejoice
[00:04:11.780 --> 00:04:14.500]   and we weep with those who weep.
[00:04:15.980 --> 00:04:19.160]   And sometimes you feel like you're on
[00:04:19.160 --> 00:04:21.760]   an emotional rollercoaster in the Christian life.
[00:04:21.760 --> 00:04:25.160]   I know I feel that way as a pastor.
[00:04:25.160 --> 00:04:27.200]   I was sharing just this past Wednesday
[00:04:27.200 --> 00:04:29.440]   at our church staff meeting,
[00:04:29.440 --> 00:04:33.920]   that I feel something of the emotional rollercoaster
[00:04:33.920 --> 00:04:36.320]   of pastoral ministry.
[00:04:36.320 --> 00:04:38.760]   On one hand, you're rejoicing with a couple
[00:04:38.760 --> 00:04:41.420]   over the birth of their baby,
[00:04:41.420 --> 00:04:46.420]   or you're rejoicing with a couple at a wedding
[00:04:46.420 --> 00:04:50.140]   or a birthday, and on the other hand,
[00:04:50.140 --> 00:04:55.140]   you are weeping at a funeral or in a hospital.
[00:04:55.140 --> 00:04:58.200]   You're just rejoicing and you're weeping.
[00:04:58.200 --> 00:05:02.140]   And sometimes those emotional highs and emotional lows,
[00:05:02.140 --> 00:05:06.200]   if you will, come within 24 hours of each other.
[00:05:06.200 --> 00:05:08.500]   And it's just the Christian life
[00:05:08.500 --> 00:05:11.920]   that if you're rejoicing with those who rejoice
[00:05:11.920 --> 00:05:13.500]   and weeping with those who weep,
[00:05:13.500 --> 00:05:18.460]   then there is a bit of an emotional rollercoaster
[00:05:18.460 --> 00:05:19.840]   in church ministry.
[00:05:19.840 --> 00:05:24.840]   And my former professor at the Master Seminary,
[00:05:24.840 --> 00:05:28.340]   who's also a pastor here in Riverside,
[00:05:28.340 --> 00:05:31.420]   Milton Vincent, used to say to us,
[00:05:31.420 --> 00:05:36.420]   "Embrace the emotional rollercoaster of being a pastor."
[00:05:36.900 --> 00:05:38.620]   That is the stuff of life.
[00:05:38.620 --> 00:05:42.100]   That's what it means to be most fully alive
[00:05:42.100 --> 00:05:46.180]   is to be experiencing these emotions
[00:05:46.180 --> 00:05:51.180]   alongside those whom you love in the church.
[00:05:51.180 --> 00:05:55.020]   And that is indeed so much of life
[00:05:55.020 --> 00:05:58.860]   is just experiencing emotions.
[00:05:58.860 --> 00:06:01.740]   So we need a category for that.
[00:06:01.740 --> 00:06:06.280]   We need to understand what the Bible says about emotions.
[00:06:06.280 --> 00:06:09.320]   We need to understand something of the complexity
[00:06:09.320 --> 00:06:13.320]   of the emotional life of the Christian,
[00:06:13.320 --> 00:06:15.980]   sorrowful yet always rejoicing.
[00:06:15.980 --> 00:06:20.500]   Paul said, which means that the emotional life
[00:06:20.500 --> 00:06:23.620]   of the Christian is not a single note.
[00:06:23.620 --> 00:06:25.560]   It's not staccato.
[00:06:25.560 --> 00:06:27.100]   If it was a piano piece,
[00:06:27.100 --> 00:06:31.300]   it would not just be one chord being played over and over.
[00:06:31.300 --> 00:06:35.580]   But the Christian's emotional life is a little bit more
[00:06:35.580 --> 00:06:40.580]   like a symphony where there are various melodies
[00:06:40.580 --> 00:06:44.180]   and themes being played interwoven
[00:06:44.180 --> 00:06:49.180]   and all moving toward a beautiful melody
[00:06:49.180 --> 00:06:51.740]   in the end as the Lord orchestrates
[00:06:51.740 --> 00:06:54.100]   all of these things in our lives.
[00:06:54.100 --> 00:06:56.620]   So this indeed is just so much of life.
[00:06:56.620 --> 00:07:00.300]   And I hope that this teaching will help us
[00:07:00.300 --> 00:07:02.660]   handle that in a biblical manner.
[00:07:02.660 --> 00:07:03.860]   So let's pray together.
[00:07:03.860 --> 00:07:06.020]   Let us devote our time to the Lord
[00:07:06.020 --> 00:07:07.460]   and ask God to bless our time.
[00:07:07.460 --> 00:07:10.740]   Father, thank you so much for our time around your word
[00:07:10.740 --> 00:07:14.540]   and for each of the brothers and sisters in Christ
[00:07:14.540 --> 00:07:18.140]   who have joined us in this online class.
[00:07:18.140 --> 00:07:21.500]   We thank you for Christ and his shed blood
[00:07:21.500 --> 00:07:24.660]   and his glorious resurrection from the grave.
[00:07:24.660 --> 00:07:27.740]   And we thank you for the Spirit's work in our lives
[00:07:27.740 --> 00:07:31.260]   to make us more like your son.
[00:07:32.140 --> 00:07:37.140]   We thank you that Jesus experienced genuine human emotions
[00:07:37.140 --> 00:07:41.200]   in his earthly incarnation.
[00:07:41.200 --> 00:07:46.200]   He was the perfect man, and yet he experienced emotions.
[00:07:46.200 --> 00:07:52.140]   He wept at the grave site of Lazarus.
[00:07:52.140 --> 00:07:56.540]   He was a man of sorrows, well acquainted with grief,
[00:07:56.540 --> 00:08:01.540]   and yet he also obeyed you, the Father,
[00:08:01.840 --> 00:08:04.540]   for the joy that was set before him.
[00:08:04.540 --> 00:08:09.500]   And we just pray that we might learn to handle this topic
[00:08:09.500 --> 00:08:10.640]   in a wise manner.
[00:08:10.640 --> 00:08:13.020]   Give us wisdom, Lord.
[00:08:13.020 --> 00:08:17.020]   Help us to not be overly simplistic
[00:08:17.020 --> 00:08:19.840]   in our handling of this topic.
[00:08:19.840 --> 00:08:22.420]   Make us wise counselors, we pray,
[00:08:22.420 --> 00:08:24.760]   that we might be able to come alongside others
[00:08:24.760 --> 00:08:27.420]   and give help and hope to those in need.
[00:08:27.420 --> 00:08:29.900]   So we pray all this in Jesus' name.
[00:08:29.900 --> 00:08:30.740]   Amen.
[00:08:31.740 --> 00:08:36.220]   - Okay, we are looking at counseling exam number three
[00:08:36.220 --> 00:08:38.420]   tonight, and the question is this.
[00:08:38.420 --> 00:08:42.040]   Provide a biblical theology of emotions.
[00:08:42.040 --> 00:08:44.900]   What role should a counselor allow emotions
[00:08:44.900 --> 00:08:47.460]   to play in counseling?
[00:08:47.460 --> 00:08:50.580]   How can one tell the difference between sinful emotions
[00:08:50.580 --> 00:08:52.940]   and righteous emotions?
[00:08:52.940 --> 00:08:54.660]   And how would you use scripture
[00:08:54.660 --> 00:08:59.300]   to help a counselee change improper emotions?
[00:08:59.300 --> 00:09:02.220]   So that is a bit of a handful of a question there.
[00:09:02.220 --> 00:09:05.660]   As you can see, you could break that question down
[00:09:05.660 --> 00:09:08.420]   into four parts.
[00:09:08.420 --> 00:09:10.620]   What is a biblical theology of emotions?
[00:09:10.620 --> 00:09:14.900]   Which, just explaining that part of the exam
[00:09:14.900 --> 00:09:19.620]   will take a large portion of your essay.
[00:09:19.620 --> 00:09:22.500]   What role should a counselor allow emotions
[00:09:22.500 --> 00:09:25.060]   to play in counseling?
[00:09:25.060 --> 00:09:30.060]   And so how would you handle emotions in a counseling session
[00:09:30.060 --> 00:09:34.260]   talking through the difference between sinful emotions
[00:09:34.260 --> 00:09:35.740]   and righteous emotions?
[00:09:35.740 --> 00:09:39.320]   We'll talk a little bit about that in our session tonight.
[00:09:39.320 --> 00:09:41.900]   And then how would you use scripture
[00:09:41.900 --> 00:09:45.820]   to help a counselee change improper emotions?
[00:09:45.820 --> 00:09:49.160]   That's really a four-part question.
[00:09:49.160 --> 00:09:51.940]   You can go about it in a number of different ways,
[00:09:51.940 --> 00:09:54.820]   but I would say that the first part,
[00:09:54.820 --> 00:09:58.540]   providing a biblical theology of emotions
[00:09:58.540 --> 00:10:03.540]   should take at least a half to two-thirds of your essay,
[00:10:03.540 --> 00:10:06.160]   and just walking through some of the points
[00:10:06.160 --> 00:10:07.840]   that we'll look at tonight.
[00:10:07.840 --> 00:10:10.980]   And then the rest of the essay can move
[00:10:10.980 --> 00:10:14.940]   toward some application points that are highlighted
[00:10:14.940 --> 00:10:16.820]   by the next three parts of the question.
[00:10:16.820 --> 00:10:19.220]   So just trying to break down this question.
[00:10:19.220 --> 00:10:20.180]   There's a lot there.
[00:10:20.180 --> 00:10:22.120]   It's really a four-part question,
[00:10:22.120 --> 00:10:24.560]   but the first part of the question
[00:10:24.560 --> 00:10:27.100]   providing a biblical theology of emotion
[00:10:27.100 --> 00:10:32.100]   should occupy a large portion of your time and attention.
[00:10:32.100 --> 00:10:37.380]   As I mentioned, this is one of the harder questions
[00:10:37.380 --> 00:10:38.760]   in the year two training
[00:10:38.760 --> 00:10:42.520]   because we have not had a lecture on this in year one,
[00:10:42.520 --> 00:10:47.060]   but it is a subject that is very important.
[00:10:47.060 --> 00:10:50.180]   So if you look at page one of your handout,
[00:10:50.180 --> 00:10:53.420]   I have some recommended resources for you to look at there.
[00:10:54.400 --> 00:10:57.480]   We have, first of all, Sam Williams,
[00:10:57.480 --> 00:11:01.040]   an excellent article toward a theology of emotions,
[00:11:01.040 --> 00:11:04.720]   which was printed in the Southern Baptist
[00:11:04.720 --> 00:11:06.000]   Journal of Theology,
[00:11:06.000 --> 00:11:08.080]   and that's available online for free.
[00:11:08.080 --> 00:11:12.240]   I've emailed that to you in a Dropbox handout.
[00:11:12.240 --> 00:11:14.760]   You can star that resource.
[00:11:14.760 --> 00:11:18.560]   That really is the one resource that if you learn
[00:11:18.560 --> 00:11:20.880]   and if you master,
[00:11:20.880 --> 00:11:23.020]   you really shouldn't need much more
[00:11:23.020 --> 00:11:26.020]   than that article in writing this essay.
[00:11:26.020 --> 00:11:30.160]   Dr. Williams is a biblical counseling professor
[00:11:30.160 --> 00:11:33.520]   at Southeastern Baptist Theological Seminary,
[00:11:33.520 --> 00:11:37.520]   and he has written a very good essay on that topic.
[00:11:37.520 --> 00:11:39.800]   I wanna commend that to you.
[00:11:39.800 --> 00:11:43.800]   He does spend a lot of time in that article
[00:11:43.800 --> 00:11:47.360]   trying to make the distinctions between feelings,
[00:11:47.360 --> 00:11:50.540]   affections, and emotions.
[00:11:50.540 --> 00:11:52.880]   Just don't get bogged down in that discussion.
[00:11:52.880 --> 00:11:55.960]   I think that's a necessary discussion,
[00:11:55.960 --> 00:12:00.040]   but not one that is really pertinent
[00:12:00.040 --> 00:12:03.340]   or at the heart of the essay that you're writing.
[00:12:03.340 --> 00:12:05.720]   So don't get lost in the discussion
[00:12:05.720 --> 00:12:07.420]   of trying to distinguish feelings,
[00:12:07.420 --> 00:12:09.280]   affections, and emotions.
[00:12:09.280 --> 00:12:14.280]   You can take that under the broad category of emotions
[00:12:14.280 --> 00:12:17.920]   and look to the rest of the article
[00:12:17.920 --> 00:12:20.520]   for some help on this topic.
[00:12:20.520 --> 00:12:21.860]   Just an excellent work.
[00:12:21.860 --> 00:12:23.400]   I wanna commend that to you.
[00:12:23.400 --> 00:12:26.600]   I've given you Jeff Forey's chapter
[00:12:26.600 --> 00:12:28.680]   in the book "Christ-Centered Biblical Counseling"
[00:12:28.680 --> 00:12:29.520]   as a reference.
[00:12:29.520 --> 00:12:32.640]   That's chapter 27 in that book.
[00:12:32.640 --> 00:12:34.240]   The chapter is entitled
[00:12:34.240 --> 00:12:38.060]   "A Biblical Understanding and Treatment of Emotions."
[00:12:38.060 --> 00:12:40.400]   If you need one chapter
[00:12:40.400 --> 00:12:42.880]   that does an overview of this subject,
[00:12:42.880 --> 00:12:45.680]   I would recommend Jeff Forey's chapter
[00:12:45.680 --> 00:12:49.000]   in "Christ-Centered Biblical Counseling."
[00:12:50.920 --> 00:12:52.800]   And then you have really an excellent work
[00:12:52.800 --> 00:12:54.380]   I would highly recommend
[00:12:54.380 --> 00:12:57.660]   if you want further study on this topic.
[00:12:57.660 --> 00:13:02.660]   Dr. Brian Borgman is a pastor in Nevada.
[00:13:02.660 --> 00:13:06.540]   I believe he pastors near Las Vegas,
[00:13:06.540 --> 00:13:09.540]   and I have listened to his material for years.
[00:13:09.540 --> 00:13:12.020]   He is an excellent and faithful,
[00:13:12.020 --> 00:13:15.300]   diligent student of scripture,
[00:13:15.300 --> 00:13:19.420]   and he has spoken at a few biblical counseling conferences.
[00:13:19.420 --> 00:13:21.900]   You'll find some of his materials
[00:13:21.900 --> 00:13:26.360]   up at the ibcd.org website.
[00:13:26.360 --> 00:13:30.420]   And just everything he does is very well done.
[00:13:30.420 --> 00:13:33.620]   So I commend his teaching ministry to you.
[00:13:33.620 --> 00:13:35.580]   And he has a book out that's entitled
[00:13:35.580 --> 00:13:39.820]   "Feelings and Faith, Cultivating Godly Emotions
[00:13:39.820 --> 00:13:42.660]   in the Christian Life."
[00:13:42.660 --> 00:13:46.820]   I would encourage you to make the study of emotions
[00:13:46.820 --> 00:13:48.940]   a lifelong study,
[00:13:48.940 --> 00:13:52.740]   and that's one book that you will want to read
[00:13:52.740 --> 00:13:56.340]   and seek to learn more from,
[00:13:56.340 --> 00:14:00.940]   "Feelings and Faith, Cultivating Godly Emotions."
[00:14:00.940 --> 00:14:05.340]   By the way, Dr. Borgman does have, I think,
[00:14:05.340 --> 00:14:09.380]   a few lectures on the subject of emotions.
[00:14:09.380 --> 00:14:11.700]   If you want to listen to it on audio,
[00:14:11.700 --> 00:14:15.540]   he has a few lectures at the ibcd.org website.
[00:14:15.540 --> 00:14:18.360]   You can look that up under resources
[00:14:18.360 --> 00:14:21.780]   and do a search on his name and find that there.
[00:14:21.780 --> 00:14:26.100]   Wayne Grudem has a couple of good sections
[00:14:26.100 --> 00:14:27.300]   in "Systematic Theology"
[00:14:27.300 --> 00:14:29.460]   that relates to the subject of emotions,
[00:14:29.460 --> 00:14:31.760]   especially the two pages
[00:14:31.760 --> 00:14:35.380]   on the subject of God's impassibility.
[00:14:35.380 --> 00:14:38.580]   You will want to have a basic understanding
[00:14:38.580 --> 00:14:40.860]   of what the doctrine of,
[00:14:40.860 --> 00:14:43.980]   or the teaching of impassibility holds,
[00:14:43.980 --> 00:14:48.060]   and then why Grudem does not affirm
[00:14:48.060 --> 00:14:51.780]   the teaching on God's impassibility.
[00:14:51.780 --> 00:14:54.600]   I do not affirm that teaching as well.
[00:14:54.600 --> 00:14:57.960]   The doctrine of impassibility basically teaches
[00:14:57.960 --> 00:15:01.680]   that God is not subject to passions or emotions,
[00:15:01.680 --> 00:15:04.840]   that emotions you see in scriptures
[00:15:04.840 --> 00:15:06.200]   are not genuine emotions,
[00:15:06.200 --> 00:15:09.620]   but they are anthropomorphisms.
[00:15:09.620 --> 00:15:14.620]   They are descriptions of God in a human analogy,
[00:15:14.620 --> 00:15:17.520]   but they are not describing genuine emotions.
[00:15:17.520 --> 00:15:19.600]   And Grudem talks about in those two pages
[00:15:19.600 --> 00:15:22.820]   of how he does not affirm God's,
[00:15:22.820 --> 00:15:26.680]   the teaching that God is God's impassibility.
[00:15:26.680 --> 00:15:28.780]   And so you just want to be aware of that discussion.
[00:15:28.780 --> 00:15:31.680]   I think it relates to the subject of emotions,
[00:15:31.680 --> 00:15:33.760]   as we'll see a little bit more tonight.
[00:15:33.760 --> 00:15:36.200]   Those are two pages that you'll want to read
[00:15:36.200 --> 00:15:39.920]   and just have a basic working knowledge of.
[00:15:39.920 --> 00:15:44.800]   My dear wife, Mina, wrote a very good essay
[00:15:44.800 --> 00:15:46.820]   on the subject of emotions.
[00:15:46.820 --> 00:15:49.320]   It's entitled "A Biblical Understanding of Emotions."
[00:15:49.320 --> 00:15:50.520]   This is from her training
[00:15:50.520 --> 00:15:54.760]   on the Master's of Biblical Counseling program
[00:15:54.760 --> 00:15:56.900]   at the Master's University.
[00:15:56.900 --> 00:15:58.960]   And that is an unpublished document,
[00:15:58.960 --> 00:16:02.900]   but I have put that in your hands in the Dropbox link.
[00:16:02.900 --> 00:16:06.180]   A very good summary of the subject of emotions
[00:16:06.180 --> 00:16:09.980]   with some good applications for counselors.
[00:16:09.980 --> 00:16:13.020]   So please do use that resource.
[00:16:13.020 --> 00:16:15.660]   We've made that available to you.
[00:16:15.660 --> 00:16:18.520]   And then some articles, B.B. Warfield's
[00:16:18.520 --> 00:16:20.460]   "The Emotional Life of Our Lord"
[00:16:20.460 --> 00:16:24.940]   is helpful in thinking through the subject of emotions
[00:16:24.940 --> 00:16:29.380]   in relation to the incarnation of Jesus Christ.
[00:16:29.380 --> 00:16:31.940]   We see in the life of Christ in the gospel records
[00:16:31.940 --> 00:16:35.460]   that Jesus wept, Jesus felt compassion,
[00:16:35.460 --> 00:16:38.320]   Jesus felt righteous anger,
[00:16:38.320 --> 00:16:42.700]   Jesus' sweat drops of blood in the Garden of Gethsemane.
[00:16:42.700 --> 00:16:47.060]   So if Jesus was and is the perfect man
[00:16:47.060 --> 00:16:52.580]   and he expressed and experienced genuine emotion,
[00:16:52.580 --> 00:16:55.660]   then we have to conclude that emotions
[00:16:55.660 --> 00:16:59.660]   in and of themselves are not sinful.
[00:16:59.660 --> 00:17:04.100]   Jesus was not like a Vulcan in the Star Trek TV show.
[00:17:04.100 --> 00:17:07.820]   He was not just pure logic.
[00:17:07.820 --> 00:17:10.140]   He experienced genuine emotions,
[00:17:10.140 --> 00:17:12.480]   but those emotions were appropriate
[00:17:12.480 --> 00:17:17.280]   to the context in which he was in.
[00:17:17.280 --> 00:17:21.660]   Think about it, Jesus Christ, the perfect man,
[00:17:21.660 --> 00:17:25.140]   had a full emotional life
[00:17:25.140 --> 00:17:28.620]   that was perfectly holy and righteous.
[00:17:28.620 --> 00:17:32.380]   And B.B. Warfield talks through that in his article,
[00:17:32.380 --> 00:17:34.140]   "The Emotional Life of Our Lord,"
[00:17:34.140 --> 00:17:38.100]   and that is available for free on the World Wide Web.
[00:17:38.100 --> 00:17:43.020]   David Powelson has a couple of good articles on this topic.
[00:17:43.020 --> 00:17:45.540]   Anything by David Powelson is worth reading
[00:17:45.540 --> 00:17:47.160]   and thinking through.
[00:17:47.160 --> 00:17:49.260]   And in fact, in one of his articles,
[00:17:49.260 --> 00:17:53.580]   he pleads for more people to write on this subject.
[00:17:53.580 --> 00:17:55.900]   He says, "We just need more publications.
[00:17:55.900 --> 00:17:59.180]   "We need more people to think about what the Bible says
[00:17:59.180 --> 00:18:02.780]   "about emotions and then apply that wisely
[00:18:02.780 --> 00:18:06.300]   "and skillfully to the Christian life."
[00:18:06.300 --> 00:18:11.300]   And he has done a great job in setting us up for this study.
[00:18:11.300 --> 00:18:15.260]   And then a last subject or last article
[00:18:15.260 --> 00:18:19.180]   that I've placed in the Dropbox is Bruce Ware's article
[00:18:19.180 --> 00:18:23.380]   from back in 1986, where he contends from scripture
[00:18:23.380 --> 00:18:27.220]   that God is a personal being with genuine emotions.
[00:18:27.220 --> 00:18:30.100]   That article is a little academic,
[00:18:30.100 --> 00:18:32.520]   but it's well worth your time if you wanna be read
[00:18:32.520 --> 00:18:35.860]   and be challenged a little bit on this subject.
[00:18:35.860 --> 00:18:40.620]   He holds to the view that the biblical descriptions
[00:18:40.620 --> 00:18:45.620]   of God rejoicing, God being grieved,
[00:18:45.620 --> 00:18:48.620]   God having compassion,
[00:18:48.620 --> 00:18:51.500]   that these are not mere anthropomorphisms.
[00:18:51.500 --> 00:18:53.860]   They're not just human analogies.
[00:18:53.860 --> 00:18:58.860]   They are describing real emotions that God is experiencing.
[00:18:58.860 --> 00:19:04.300]   And you can look through his article
[00:19:04.300 --> 00:19:06.480]   for some further discussion on that subject,
[00:19:06.480 --> 00:19:07.920]   but it's well worth your time.
[00:19:07.920 --> 00:19:11.580]   And if you want more of an academic defense
[00:19:11.580 --> 00:19:15.760]   of the truth that God is a person with genuine emotions,
[00:19:15.760 --> 00:19:18.820]   you might want to work through that journal article.
[00:19:18.820 --> 00:19:20.580]   So just a number of good resources.
[00:19:20.580 --> 00:19:21.700]   You don't need to read them all.
[00:19:21.700 --> 00:19:26.700]   I just wanna give you a sense of the breadth of this subject
[00:19:26.700 --> 00:19:31.400]   and whet your appetite for further study.
[00:19:31.400 --> 00:19:36.400]   If you want one resource, please read Sam Williams' work
[00:19:36.400 --> 00:19:39.780]   on "Toward a Theology of Emotion,"
[00:19:39.780 --> 00:19:43.060]   and then the rest can be supplementary reading.
[00:19:43.060 --> 00:19:47.540]   But again, a lifetime of learning awaits us on this subject,
[00:19:47.540 --> 00:19:51.060]   and I hope that this will be a good introduction
[00:19:51.060 --> 00:19:52.580]   to the topic.
[00:19:52.580 --> 00:19:55.860]   With that said, let me move to page two of your class notes.
[00:19:55.860 --> 00:19:57.980]   And again, let me prime the pump
[00:19:57.980 --> 00:20:02.160]   in emphasizing the importance of this topic.
[00:20:02.160 --> 00:20:04.540]   Sam Williams writes this,
[00:20:04.540 --> 00:20:06.340]   "Whether we are conscious of it or not,
[00:20:06.340 --> 00:20:09.820]   we have theories and operating principles about emotion.
[00:20:09.820 --> 00:20:12.420]   It should be no surprise that when scripture
[00:20:12.420 --> 00:20:14.260]   does not inform our thinking,
[00:20:14.260 --> 00:20:16.460]   especially about a matter such as emotion,
[00:20:16.460 --> 00:20:19.540]   which is so much a part of the nature of persons,
[00:20:19.540 --> 00:20:20.800]   something else will.
[00:20:20.800 --> 00:20:24.580]   Unfortunately, contemporary evangelicals
[00:20:24.580 --> 00:20:28.940]   have paid little attention to the development of a theology
[00:20:28.940 --> 00:20:31.460]   or biblical anthropology of the emotions,
[00:20:31.460 --> 00:20:34.300]   affections, and feelings.
[00:20:34.300 --> 00:20:37.140]   As a result, when the emotions are addressed,
[00:20:37.140 --> 00:20:41.500]   personal opinion, denominational or cultural prejudices,
[00:20:41.500 --> 00:20:45.000]   and pop psychology are the dominant voices.
[00:20:45.000 --> 00:20:48.340]   Even worse, these voices are rarely questioned
[00:20:48.340 --> 00:20:50.180]   or justified with biblical warrant.
[00:20:50.180 --> 00:20:51.980]   We seem to function as if scripture
[00:20:51.980 --> 00:20:55.240]   is silent on these matters."
[00:20:55.240 --> 00:21:00.240]   I think this is true and a helpful observation.
[00:21:00.240 --> 00:21:03.900]   I can't tell you how many times as a pastor
[00:21:03.900 --> 00:21:07.060]   that a Christian has talked to me in the church
[00:21:07.060 --> 00:21:12.060]   and expressed sorrow or grief or pain or disappointment,
[00:21:13.020 --> 00:21:17.680]   and then appear to feel guilty over the emotions
[00:21:17.680 --> 00:21:19.120]   that they were experiencing.
[00:21:19.120 --> 00:21:22.760]   As if to say, "I'm a Christian,
[00:21:22.760 --> 00:21:24.160]   and I believe the word of God,
[00:21:24.160 --> 00:21:28.660]   and so I shouldn't be experiencing these emotions.
[00:21:28.660 --> 00:21:30.320]   I should be able to get over this.
[00:21:30.320 --> 00:21:33.360]   I should be able to move past this.
[00:21:33.360 --> 00:21:36.920]   I shouldn't be feeling these emotions."
[00:21:36.920 --> 00:21:39.160]   And it's my privilege as a pastor
[00:21:39.160 --> 00:21:44.100]   to reassure this beloved Christian
[00:21:44.100 --> 00:21:47.180]   that what you are feeling is normal.
[00:21:47.180 --> 00:21:49.860]   We are emotional beings.
[00:21:49.860 --> 00:21:54.860]   You shouldn't feel guilty over feeling genuine emotions.
[00:21:54.860 --> 00:22:01.380]   If Jesus felt sorrow, then so should we at certain points.
[00:22:01.380 --> 00:22:05.340]   In fact, it would be sinful not to feel sorrow
[00:22:05.340 --> 00:22:10.340]   or to feel grief or pain in certain situations.
[00:22:10.340 --> 00:22:15.080]   I've also counseled in situations
[00:22:15.080 --> 00:22:20.080]   where the counseling issue is an absence of emotion.
[00:22:20.080 --> 00:22:25.160]   Just a dear believer in Christ saying,
