
[00:00:00.040 --> 00:00:19.120]   Hey folks, this is Vivek. I'm super excited to chat with all of y'all. We'll give a quick talk
[00:07:55.400 --> 00:08:07.400]   So, when you actually build the embeddings for this, you get a fairly complex like vector space and your search queries might not actually like map neatly to this, right?
[00:08:07.400 --> 00:08:26.400]   And this is sort of like where our re-ranker comes in. So, what our re-ranker does is once you have all of these retrieved documents, it's a cross-encoder that helps you re-rank the retrieved set and make sure that that's the one that you send into your context with the generative model.
[00:08:26.400 --> 00:08:37.400]   And here's the re-ranker in action. So, what this demo is showing you is we search for the transformer paper by Aidan.
[00:08:37.400 --> 00:08:47.400]   So, you have three different types of like search patterns over here: a lexical search, an embeddings-based search, and the cohere re-rank-based search, right?
[00:08:47.400 --> 00:08:55.400]   And the various forms of these like retrievals obviously give you the responses, but they are stacked rank at different places in the retrieval set,
[00:08:55.400 --> 00:09:00.400]   which means the overall accuracy of your rag system might be low.
[00:09:00.400 --> 00:09:04.400]   And re-rank is what's helping you to make sure that isn't the case.
[00:09:04.400 --> 00:09:11.400]   This builds on top of like other things that people care about like chunking strategies, but making those more optimal.
[00:09:11.400 --> 00:09:21.400]   Another impact of this re-ranker is again total cost of operation because most of the expense for your models is coming in from the input tokens, right?
[00:09:21.400 --> 00:09:33.400]   And if you were able to like narrow in to the right context and do that quickly, you could pass in very minimal amount of context to your large language model,
[00:09:33.400 --> 00:09:40.400]   which drives down your overall cost of like operation. And that is again very important in the enterprise setting.
[00:09:40.400 --> 00:09:52.400]   Yeah, and when it comes to deployment options, like I said, we have our SaaS API that we can help you manage run your workloads.
[00:09:52.400 --> 00:10:08.400]   But then we're also on all of the major cloud AI services, SageMaker, Bedrock, OCI, and private deployment across all of these cloud providers and also on premise deployments if that's something you care about.
[00:10:08.400 --> 00:10:20.400]   So security and privacy obviously is a pretty top of mind for us. So we make sure we're compliant with the standards that our customers are often asking us for.
[00:10:20.400 --> 00:10:37.400]   And then the last bit is just enabling like developers. So we obviously have a pretty tight integration with things like Langchain, Lama Index, but we also have an open source like toolkit that comes out of the box with various forms of like connectors.
[00:10:37.400 --> 00:10:55.400]   And that lets you ingest data pretty easily into your systems and lets you have full control over the things you're building and don't have to really look for a ton of different options as you're developing your enterprise applications.
[00:10:55.400 --> 00:11:06.400]   So that's it from me and I'd love to take any questions or chat. And we also have Sandra here from Coher, so she'll be happy to help.
[00:11:06.400 --> 00:11:13.400]   Thank you very much. Yeah. Maybe two questions. So on the first or second slide, you show your investors and the selected partners, right?
[00:11:13.400 --> 00:11:20.400]   Yeah. So Accenture, so McKinsey. Yeah. Can you explain a little bit like how that partnership work, right?
[00:11:20.400 --> 00:11:35.400]   Yeah. And then the second question, like you can skip if someone else like has another one is, can you like maybe without disclosing customers and all, give us like a few samples of where you clients picked up Coher versus other solutions and kind of work?
[00:11:35.400 --> 00:11:39.400]   So explain where you win right on the enterprise world.
[00:11:39.400 --> 00:11:51.400]   Yeah, absolutely. Happy to chat about that. So I think the typical challenge with all of these enterprise like generative AI models is the last mile challenge, right?
[00:11:51.400 --> 00:11:56.400]   So there's so many different like arcs of customization that's needed with the enterprises.
[00:11:56.400 --> 00:12:10.400]   And there's a lot of like traditional like players who've been around for a while and have great relationships with the enterprises, have a deep understanding of like the various like business domains.
[00:12:10.400 --> 00:12:24.400]   That's where the McKinsey and Accenture and all of these companies come in. So they've been really helpful for us to go develop like the product, like make sure that we're able to effectively bridge that like last mile gap with them.
[00:12:24.400 --> 00:12:42.400]   And yeah, that hopefully that helps. And then onto your second question, I would say in terms of like winnability, I think like the main aspects that has been resonating a lot with our customers is this control over the data and control over the compute, right?
[00:12:42.400 --> 00:13:00.400]   Given we're available pretty much everywhere. A lot of like the customers care about that private cloud deployment, the ability to fine tune in that private cloud environment, which is pretty big for a lot of people and making sure that their enterprise data does not leave their own ecosystem.
[00:13:00.400 --> 00:13:15.400]   And specific examples for that have been companies in let's say HR or healthcare or even folks who are trying to take their in-house like code and build a custom model that's working with their code base.
[00:13:15.400 --> 00:13:21.400]   Those are the styles of applications that we've seen a lot of like impact and success with.
[00:13:27.400 --> 00:13:33.400]   So I'm curious for text classification. Well, what is the latest best practice?
[00:13:33.400 --> 00:13:39.400]   I see on your website, you have a classified endpoint where you build a classifier. Is that still the recommendation?
[00:13:39.400 --> 00:13:54.400]   Yeah, that's a great question. The way I like to think about these things is there's always the arc of like, and I think like Jerry in his earlier talk to this, right, which was what phase of like development you're in.
[00:13:54.400 --> 00:14:04.400]   If you're trying to like prototype or you're trying to productionize, and what's your scale of like a production setting, which is important to consider for these things.
[00:14:04.400 --> 00:14:13.400]   If you're just trying to get off the ground like quickly, I would say just using the generative model off the shelf is obviously always great.
[00:14:13.400 --> 00:14:21.400]   It gets you off the ground really quickly. When you're trying to like productionize something, that's when I start thinking, hey, do I need a bespoke model?
[00:14:21.400 --> 00:14:31.400]   Or like the general model is good enough? And what are sort of like the cost of operation like differences and like the cost of like maintenance differences and also the scale, right?
[00:14:31.400 --> 00:14:47.400]   Like I mean, if you're going to try to do something that's, you know, tens of thousands like TPS, then having a purpose built like model for that is the route that go versus, you know, a more heavy general model, which might serve other needs.
[00:14:47.400 --> 00:14:52.400]   So yeah, both of those are good options depending on what you're trying to accomplish.
[00:14:52.400 --> 00:14:59.400]   Just a quick follow up. If we actually train a classifier with you, is that also a transformer model, just more specialized?
[00:14:59.400 --> 00:15:00.400]   Yeah, exactly.
[00:15:00.400 --> 00:15:02.400]   Yeah, got it. Thank you.
[00:15:02.400 --> 00:15:09.400]   No, I think we're done. Oh, no, we've got one more question. Here we go.
[00:15:09.400 --> 00:15:21.400]   Just a quick question. When we were looking at Cohere, you know, probably early last or middle of last year, one of the challenges with the models that we found were the input context size limit were quite small.
[00:15:21.400 --> 00:15:31.400]   How has that evolved as you guys have sort of created the next, you know, sets of models?
[00:15:31.400 --> 00:15:49.400]   Yeah, that's a great question. So our latest generation models are fairly competitive 128K context input windows. And we're constantly looking to figure out how to like up them. So context window, I would say should be not a problem for like most applications at the moment. Yeah.
[00:15:49.400 --> 00:15:55.580]   cool, we're actually slightly early
[00:15:55.580 --> 00:15:57.680]   but yeah, I'd like to thank you
[00:15:57.680 --> 00:15:58.740]   for giving the talk, thank you for that
[00:15:58.740 --> 00:15:59.760]   absolutely, thank you so much
[00:15:59.760 --> 00:16:00.620]   thank you
[00:16:00.620 --> 00:16:01.760]   yeah, thank you
[00:16:01.760 --> 00:16:10.220]   thank you

