
[00:00:00.000 --> 00:00:20.220]   My name is Rick Blalock, I'm from Agentuity, and you're all wearing the logo around your necks,
[00:03:17.420 --> 00:03:29.420]   And so I just want to give you a demo. I'm trying to decide. Should I do a live demo or should I do the slides just in case? I don't know. Live? Everybody says live? You all just want to watch the train wreck.
[00:03:29.420 --> 00:03:45.420]   All right. We'll try it live. So I'll -- wow. Live. Wow. All right. We'll do that. So I'm going to -- let's do this. Let's do this. Let's blow this baby up. Can you see this okay?
[00:03:45.420 --> 00:03:58.420]   Yeah. All right. Good. I was told I had to do it in light mode because that's what you do. So all right. So we have a CLI. So if you're going to start, you run Agentuity create to create a project.
[00:03:58.420 --> 00:04:09.420]   When you run it -- drum roll. Okay. In this case, I've logged into a bunch of organizations. So I'm going to do our Agentuity demo one. We have three runtimes that we support.
[00:04:09.420 --> 00:04:19.420]   Bun, Python, with UV. You notice we put UV. We're trying to bias people towards UV. Please don't use pip. And then Node.js, of course. So those are our three runtimes.
[00:04:19.420 --> 00:04:33.420]   I'm going to pick Bun. And then you can pick several templates as a starting place. Now, we're a framework agnostic. You notice there's Mastra here. Mastra's pretty good if you're going down the TypeScript route.
[00:04:33.420 --> 00:04:50.420]   I'm going to pick Vercel, AI, SDK, and Grok. A lot of our stuff internally, we have 50 agents or so in there. We don't use framework. But we're framework agnostic. So you can bring crew AI and then deploy another one in Langchain, another one in Pydantic, and then Vercel -- and then they can all talk to each other.
[00:04:50.420 --> 00:04:57.420]   Internal networking, talk to each other, and that kind of thing. We'll show you that here in a minute. I'm trying to leave enough time so we can have questions and answers.
[00:04:57.420 --> 00:05:08.420]   So I'm going to pick Vercel, AI, SDK with Grok. Honestly, it's my favorite combo with Bun because of the speed. It's amazing. And then I'm going to name a project. Let's just call it a project. Hello.
[00:05:08.420 --> 00:05:19.420]   A project is a grouping of agents. It's also -- you can think of it as like a one-to-one to a repo because you can hook it up to GitHub. An agent -- again, multiple agents in a project.
[00:05:19.420 --> 00:05:30.420]   You get your default one here. So let's just call this Agent1. Hello. Very creative name. Now, one of these we give you -- agents are a first-class citizen. Again, back to deployment problems.
[00:05:30.420 --> 00:05:41.420]   Agents are a first-class citizen, infrastructure citizen in Agentuity. So that means we handle all the routing and all that to that agent, and you can decide how you want to protect it.
[00:05:41.420 --> 00:05:52.420]   So you can protect it via the whole project. Each agent in your project can have an API key. I'm going to do none right now because it's a demo. There's more to that, but I'll skip over that right now.
[00:05:52.420 --> 00:05:59.420]   Then you can hook it up to GitHub. So then if you merge the main, it'll automatically deploy your project. And that's it. So then we've got --
[00:05:59.420 --> 00:06:05.420]   So then we create this. I'll show you the code here in a second. I'm going to show you dev mode real quick, and then we'll do the code.
[00:06:05.420 --> 00:06:19.420]   All right. So let's do project. Hello. And before I show you the code, we have now this Vercel AI SDK bun, you know, grok template, right?
[00:06:19.420 --> 00:06:27.420]   So we have this command that you can run any of your agents with, Agentuity dev. If you have multiple projects, you can run them, and then they'll have ports assigned to them.
[00:06:27.420 --> 00:06:32.420]   And so now we're running this locally, as you would expect, very -- what you're used to, I'm sure.
[00:06:32.420 --> 00:06:41.420]   But one of the things I want to show you is -- so this is the routing to the agent. We only have one agent, so that's the agent ID.
[00:06:41.420 --> 00:06:47.420]   We have this public routing, so we do tunneling for you. So if you wanted to hit it through another service or something while you're deving,
[00:06:47.420 --> 00:06:58.420]   you can do this publicly, too. All right. But let me just show you the dev mode real quick. So click this.
[00:06:58.420 --> 00:07:04.420]   Oh, of course I got logged out. Oh.
[00:07:04.420 --> 00:07:07.420]   Who expired the token?
[00:07:07.420 --> 00:07:15.420]   Okay. So we give you, like, this kind of simulator for your agent. Some agents don't take just text right, so you can pick JSON,
[00:07:15.420 --> 00:07:21.420]   HTML, you can -- PDFs. Actually, we do emails and things like that, too. That's not in this dev mode.
[00:07:21.420 --> 00:07:28.420]   But this is where you can interact with your agent, test it out. And then when you do that -- like, I'm just going to run it a few times.
[00:07:28.420 --> 00:07:37.420]   I'm sorry? Somebody say something? Oh, okay. When you do that, you can get your logs. Of course, you can see it in the terminal, too.
[00:07:37.420 --> 00:07:43.420]   You can inspect the logs, get more information. And then the sessions are back to the -- remember the observability thing?
[00:07:43.420 --> 00:07:49.420]   So we have the human version of this here, where you can look and you can see, like, oh, this hit our AI gateway,
[00:07:49.420 --> 00:07:54.420]   which we have an AI gateway, so you don't have to set up keys for any of these models or any of these services.
[00:07:54.420 --> 00:07:59.420]   And you can get the cost for that call, what the prompt was, what the response was, and all that.
[00:07:59.420 --> 00:08:04.420]   And this works in production, too. It's a mirror image of production. So that's the dev mode. I don't want to spend too much time on it,
[00:08:04.420 --> 00:08:09.420]   because we don't have much time, but that's -- so put a pin in that. Now I'm going to kill that.
[00:08:09.420 --> 00:08:13.420]   And you're like, well, Rick, what does the code look like? And we're trying not to be too opinionated here,
[00:08:13.420 --> 00:08:22.420]   but we do have a few conventions. Let's do that. Let's do that. So really the conventions we have in a project are --
[00:08:22.420 --> 00:08:28.420]   you have a YAML file -- surprise -- and that's to help configure your agent when it's deployed.
[00:08:28.420 --> 00:08:33.420]   And then there's an agent's folder. Python, it works the same way.
[00:08:33.420 --> 00:08:41.420]   And you have an entry point. And so this is the simple, simple template that we created here.
[00:08:41.420 --> 00:08:48.420]   And the entry point, in this case in JavaScript, would be you export a default function, and that's your request handler.
[00:08:48.420 --> 00:08:53.420]   If you guys have used Next.js or have used Knatives or whatever, everybody should be familiar with that, hopefully.
[00:08:53.420 --> 00:08:58.420]   But what we do is we handle all that routing that comes into your agent, and we put it on that request object.
[00:08:58.420 --> 00:09:03.420]   And so that could be an email. You can add an email to your agent. You can add a phone number to your agent.
[00:09:03.420 --> 00:09:09.420]   You can send a JSON, a PDF, whatever. We have all those things that we route to it. You can stream it.
[00:09:09.420 --> 00:09:18.420]   And then also you have things that are first-class citizens, like CTX, get agent. And then you can pass in an ID or a name.
[00:09:18.420 --> 00:09:27.420]   So we have another agent. Maybe it's a Pydantic agent over here. And we can actually get it. We'll get an ephemeral token, so it's allowed to talk to it for as long as it runs.
[00:09:27.420 --> 00:09:33.420]   And then you can execute it, send it back. You can stream it back. There's a bunch of different things you can do here.
[00:09:33.420 --> 00:09:44.420]   And so that's on this context object. So I'm not going to spend a lot of time on this right now, but there's a lot of, like, infrastructure we give you in this really simple handler, which is pretty cool.
[00:09:44.420 --> 00:09:51.420]   All right. And that's it. That's the only convention. So again, like you can imagine if you're using Mostra, and we have a bunch of examples and templates that you can go look at.
[00:09:51.420 --> 00:10:03.420]   you create Mostra models the way you would normally do it, and you can drop them in right here. Same thing in Python. There's a run function in Python, and that's what you have to declare.
[00:10:03.420 --> 00:10:19.420]   And then you can drop in a crew or a couple of crews and then have it called Pydantic2 and another agent. And that's it. That's the code in a nutshell. Now let's deploy it really quick. YOLO.
[00:10:19.420 --> 00:10:28.420]   All right. And it should, the internet's fast. It should upload pretty quick. There. Boom. All right. So we took that agent. We wrapped it in a container, a specialized container.
[00:10:28.420 --> 00:10:40.420]   That's, in this case, it's a bun runtime. And now it's live. So if I click on that and jump to it, you can see this is when it was deployed.
[00:10:40.420 --> 00:10:50.420]   There's our little happy bun. And let me show you something really quick that you haven't seen yet. So in a project, again, you have multiple agents. I only have one agent that you saw me create.
[00:10:50.420 --> 00:11:02.420]   And then this is where you can get cost breakdown by project, by agent, by run. You saw the session spans. So we try to surface that up in all different ways to help understand how much an agent is costing.
[00:11:02.420 --> 00:11:14.420]   But this is where-- remember when I said you can decouple inputs and outputs from your agent if you want to? And this is where I can hit plus here. And I can say, hey, I want to give my agent an email.
[00:11:14.420 --> 00:11:27.420]   I hit save. And now I can email my agent. So there's the email address right there. And I can do that with SMS. I can do that with APIs. I can do a cron job, wakes up, does a bunch of things.
[00:11:27.420 --> 00:11:42.420]   And that's inputs and outputs. So it's a nice way to build an agent. And then if somebody wants to use it, they can hit deploy now from your GitHub repo, drop it in, like, OK, let me wire this email up. Let me wire this up. Later, we're going to get Slack and Discord and all that stuff, too.
[00:11:42.420 --> 00:11:49.420]   So that's inputs and outputs. Actually, let me just go ahead and try to hit this right here. So this is our-- remember, we didn't secure it, so it's public.
[00:11:49.420 --> 00:12:00.420]   So actually, if you took a picture and hit this, it probably would work. Don't do that. Let's just-- I don't know if this is going to work. Hello.
[00:12:00.420 --> 00:12:10.420]   All right. So I hit the web hook. It created this session. There's the session ID. Now the agent's off running. And I should start getting logs here. I've got three minutes.
[00:12:10.420 --> 00:12:26.420]   There it is. Oh, it's an error because I probably-- oh, OK. So this is in your YAML file. You can change the memory. And I need to change the memory footprint for this. So it didn't run. It's like, nope. That's something we're working on, too.
[00:12:26.420 --> 00:12:40.340]   So in a nutshell, that's what you get. Of course, you can wire up some integrations. And actually, I think I just lost internet. Okay, there we go. There we go. You can wire up some integrations, GitHub, and a bunch of other stuff that's coming.
[00:12:40.340 --> 00:12:57.540]   So to kind of wrap up, this was like the thing that we wanted to build, not just for everybody, but for us, because we have now 50, 60 agents internally built on this. And it's like, finally, we're getting really good velocity. And I'm really excited about it.
[00:12:57.540 --> 00:13:11.520]   So this is our first product in our agent native cloud suite that we plan on working on. This summer, we're working on infrastructure agents that watch our logs and surface things that are coming up for developers and us.
[00:13:11.520 --> 00:13:22.740]   And we were joking last night, we should call it agent duty, not pager duty, like the agent's going to do that. Right? Exactly. So yeah, so there's a bunch of stuff coming, but that's where we're at right now.
[00:13:22.740 --> 00:13:36.940]   Stopped by the booth. We got one minute and 50 seconds. So if there's any questions, we got about a minute and 50 seconds. Any questions? Jokes, stories, antidotes? Try to leave just enough. Yes.
[00:13:36.940 --> 00:13:49.940]   One thing that I've been hearing about recently is the idea of adding tool calls into reasoning, like into the reasoning tokens. Is that something you just think about at all recently?
[00:13:49.940 --> 00:14:06.140]   Yeah. Uh huh. And it, I mean, yeah, for sure. Yeah. Now there's a, for us, like from a product perspective, there's a thing we always ask ourselves, which is what does an agent need to be successful?
[00:14:06.140 --> 00:14:20.340]   And, and some of that is what, like we want to offer that as a services layer from an infrastructure services perspective, where a lot of that stuff you just get out of the box and then you can hook it up to a Vercel AI SDK tool thing, or you can hook it up to something else.
[00:14:20.340 --> 00:14:30.340]   Like we want to do some of those kinds of service level things, but I mean, like on a tactical level. Yeah. I think it's, I mean, I need them actually for a CRM agent that we're working on. So, yeah.
[00:14:30.340 --> 00:14:33.540]   So yeah. All right. Thanks everybody for coming.
[00:14:33.540 --> 00:14:38.740]   Thank you.

