
[00:00:00.040 --> 00:00:09.460]   Criminal
[00:04:52.880 --> 00:04:52.880]   the roof. I pulled a lot of the wires under the help of the construction team. I pulled
[00:04:52.880 --> 00:04:52.880]   a lot of the wires under the help of the construction team. I pulled a lot of the wires under
[00:04:52.880 --> 00:04:52.880]   the help of the construction team. I pulled a lot of the wires under the help of the construction
[00:04:52.920 --> 00:04:55.380]  esters in�
[00:04:55.380 --> 00:05:03.960]   saja in a
[00:05:03.960 --> 00:05:07.160]  owed groceriesGPG N M 때� sai attempt. I, I was, but, I, I, but, I, but, my, I,,,,,,,,,,,,,,,,,.,,....,.,....,. invest in the thing. lotion�
[00:05:07.160 --> 00:05:19.460]   smarter this much
[00:05:19.460 --> 00:05:22.720]   zoals they're. I can't. And,'s. And, became the r. And, look, third. And, hybrid. And,�B. camb. AI,A, Phew.gres. And,D.And, включD.Man.
[00:05:22.760 --> 00:05:27.000]   believe
[00:05:27.000 --> 00:05:51.480]  ason guts
[00:06:20.360 --> 00:06:20.360]   and
[00:08:44.480 --> 00:08:44.480]   I'm convinced they could come out with a basic knowledge, a working knowledge of most construction techniques with a focused plan like I've described. Even if they worked for free or they worked for 50% less wages. You know, right now to get hired on the labor on a construction crew, the going rate is about 15 bucks an hour, at least in most markets where I have worked.
[00:08:44.480 --> 00:08:44.480]   I'm convinced they could come out with a basic knowledge, a working knowledge of most construction techniques with a focused plan like I've described. Even if they worked for free or they worked for 50% less wages. You know, right now to get hired on the labor on a construction crew, the going rate is about 15 bucks an hour, at least in most markets where I have worked.
[00:08:44.520 --> 00:08:52.000]  장
[00:08:52.000 --> 00:08:55.880]  asi,,,,
[00:08:55.880 --> 00:09:12.020]   NOT S Semit the e, which, and, and,은, ан,
[00:09:12.440 --> 00:09:18.440]   showed
[00:09:18.440 --> 00:09:41.260]   look,
[00:09:42.440 --> 00:10:10.740]  錢
[00:10:11.180 --> 00:10:22.240]   continue
[00:13:32.040 --> 00:13:33.400]   What is the best way to build a property? You can build a property over the course of 30 to 40 hours a week on your own project. Over the course of 1, 2, 3 years, you can build for yourself. Quality housing. And it doesn't have to be weird housing. It can be normal, conventional-looking housing in normal, conventional neighborhoods. There's no reason why you can't go ahead and pool your own permits. There's no reason why you can't do those things yourself. Now let's say it takes you a couple years to get it done. That's fine. But I think it's entirely feasible.
[00:14:24.520 --> 00:14:31.980]  obed to build a house for yourself. Those skills can be so valuable. And you could build for yourself an entirely livable house. It could be conventional or it could be unconventional. That's up to you. But you could build for yourself an entirely workable housing arrangement and do it without borrowing a dime. Do it very inexpensively by putting in your own labor and labor. And that's all.
[00:14:31.980 --> 00:14:32.840]   Thank you for watching.
[00:14:32.840 --> 00:15:02.860]  , and that's all. Thank you for watching.
[00:15:02.900 --> 00:15:31.300]  ad
[00:15:32.860 --> 00:15:40.420]  ievers at discuss
[00:15:40.420 --> 00:15:52.640]   I do in Ming З 추가 , ., ., ., it's, help the person. ., power.,,.,., around the People. play the quite the tienenPDCGT collagenGACHEDGAS MLB L spatialNTA că� round the process of the pequeña Mach the er
[00:15:52.640 --> 00:16:01.360]  が
[00:16:02.200 --> 00:16:07.220]   that will help move you towards your goals. Before you go, three simple requests.
[00:16:07.220 --> 00:16:14.220]   One, if there's an idea that's been helpful to you in today's show, make a plan to take action on it.
[00:16:14.220 --> 00:16:22.220]   Listening does lead to learning, but learning in and of itself doesn't automatically lead to a life change.
[00:16:22.220 --> 00:16:28.220]   It's action that leads to a life change. So take action.
[00:16:28.220 --> 00:16:31.540]   Two, take something that was helpful to you in today's show.
[00:16:31.540 --> 00:17:00.900]  , and share it with somebody that you care about. I'm depending on you to be a co-laborer with me in helping me to propagate the message that I'm seeking to share. That helps the person that you are engaging with, and it also helps you because teaching others is one of the most effective ways for you to learn and for you to cement your learning.
[00:17:00.900 --> 00:17:00.900]   Three, if there's an idea that's been specifically helpful to you in today's show, make a plan to take action on it.
[00:17:00.900 --> 00:17:00.900]   Three, if there's an idea that's been specifically helpful to you in today's show, make a plan to take action on it.
[00:17:00.900 --> 00:17:00.900]   Three, if there's an idea that's been specifically helpful to you in today's show, make a plan to take action on it.
[00:17:00.900 --> 00:17:00.900]   Three, if there's an idea that's been specifically helpful to you in today's show, make a plan to take action on it.
[00:17:00.920 --> 00:17:30.260]   Three, if there's an idea that's been specifically helpful to you in today's show,
[00:17:30.260 --> 00:17:30.260]   Three, if there's an idea that's been specifically helpful to you in today's show,
[00:17:30.260 --> 00:17:30.260]   Three, if there's an idea that's been specifically helpful to you in today's show,
[00:17:30.260 --> 00:17:30.260]   Three, if there's an idea that's been specifically helpful to you in today's show,
[00:17:30.260 --> 00:17:30.260]   Three, if there's an idea that's been specifically helpful to you in today's show,
[00:17:30.260 --> 00:17:30.260]   Three, if there's an idea that's been specifically helpful to you in today's show,
[00:17:30.260 --> 00:17:30.260]   Three, if there's an idea that's been specifically helpful to you in today's show,
[00:17:30.260 --> 00:17:30.260]   Three, if there's an idea that's been specifically helpful to you in today's show,
[00:17:30.260 --> 00:17:30.260]   Three, if there's an idea that's been specifically helpful to you in today's show,
[00:17:30.260 --> 00:17:30.300]   Three, if there's an idea that's been specifically helpful to you in today's show,
[00:17:30.300 --> 00:18:00.320]  ,
[00:18:00.320 --> 00:18:00.320]   Three, if there's an idea that's been specifically helpful to you in today's show,
[00:18:00.320 --> 00:18:00.320]   Three, if there's an idea that's been specifically helpful to you in today's show,
[00:18:00.320 --> 00:18:00.320]   Three, if there's an idea that's been specifically helpful to you in today's show,
[00:18:00.320 --> 00:18:00.320]   Three, if there's an idea that's been specifically helpful to you in today's show,
[00:18:00.320 --> 00:18:00.320]   three, if there's an idea that's been specifically helpful to you in today's show,
[00:18:00.340 --> 00:18:30.340]   Three, if there's an idea that's been specifically helpful to you in today's show,

