
[00:00:00.000 --> 00:00:11.400]   So, first of all, social media, how addicting is it really? And what is healthy social media
[00:03:27.680 --> 00:03:37.680]   Yeah. And many pregnant mothers won't actually deliver without their phone in hand. And this used to be the hand that was connected to their spouse.
[00:03:37.680 --> 00:03:47.680]   Yeah. This may be a comment on, on, on spouses more than on phones, but, but it sounds like there's, it's a kind of a security blanket.
[00:03:47.680 --> 00:04:04.680]   Right. Like a transitional object. Yeah. Actually that reminds me, you've referred to the phone. I think it's the phone, but maybe it's our online persona or ourselves as we've become sort of infantile in our need for it. It's like a baby in a bottle.
[00:04:04.680 --> 00:04:17.680]   Right. And so I do wonder if, if we have regressed and I do think we've regressed a bit, um, in terms of our online behavior, our inability to act like, yeah, I always thought an adult was somebody that can control their behavior.
[00:04:17.680 --> 00:04:25.680]   Yeah. That's the difference between a baby and an adult. You don't have to be a developmental neurobiologist for very long to understand that a young organism can't control its behavior and older one can.
[00:04:25.680 --> 00:04:37.680]   So to me, a mature organism, mature in years, organism that can't control its behavior is a baby. It's an, it's an immature version of itself. And there's neural, there's neuroscience to support that statement.
[00:04:37.680 --> 00:04:51.680]   Um, I look at my own behavior with the phone sometimes. And I think I'm a grown man. Like, what is the problem here? Right. Um, you know, I don't eat baby food, but I'm acting like a baby with the phone.
[00:04:51.680 --> 00:05:00.680]   Right. All right. Um, in the sense that I'm reflexively picking it up. I'm, um, not being intentioned and deliberate with it.
[00:05:00.680 --> 00:05:02.680]   Right. Um, do I need a full 30 days, Anna?
[00:05:02.680 --> 00:05:05.680]   So, so yeah, so, so 30 days away from my phone.
[00:05:05.680 --> 00:05:12.680]   As you know, that's my recommended, the full 30 days to reset. I think, you know, if you're, if you're severely addicted, I recommend the 30 days.
[00:05:12.680 --> 00:05:20.680]   But if you're just a little bit addicted, like most of us, you probably don't need 30 days. In fact, a single day, not only would be challenging,
[00:05:20.680 --> 00:05:23.680]   but, um, but probably maybe sufficient.
[00:05:23.680 --> 00:05:26.680]   My phone is off for substantial segments of the day.
[00:05:26.680 --> 00:05:27.680]   Okay. That's great.
[00:05:27.680 --> 00:05:34.680]   And it drives other people crazy. People expect me to respond. Um, but I don't care. I really don't.
[00:05:34.680 --> 00:05:35.680]   Yeah. Right.
[00:05:35.680 --> 00:05:41.680]   And I actually take a little bit of pleasure in the fact that, well, because I think the point I'm trying to make is the right one,
[00:05:41.680 --> 00:05:53.680]   which is that it's not just right for me, but like why, I don't see a clause on text messages or emails that say must be responded to within X amount of time or else.
[00:05:53.680 --> 00:05:54.680]   Right. Right.
[00:05:54.680 --> 00:05:59.680]   So I take the liberty of replying when I, when I'm able to.
[00:05:59.680 --> 00:06:00.680]   Yeah. That's right.
[00:06:00.680 --> 00:06:01.680]   Or want to. Yeah. Right.
[00:06:01.680 --> 00:06:09.680]   But which touches on one of the big challenges about social media is that as more and more of us are spending more and more time on social media,
[00:06:09.680 --> 00:06:16.680]   we're divesting our libidinous energies, et cetera, from real life interactions.
[00:06:16.680 --> 00:06:18.680]   So that means even when we.
[00:06:18.680 --> 00:06:24.680]   Want to choose to not be online connecting, we go outside and there's, there's no, they're there, right?
[00:06:24.680 --> 00:06:25.680]   There's nobody else there.
[00:06:25.680 --> 00:06:39.680]   So I think our collective challenge and it should be our mission is to make sure that we are preserving and maintaining offline ways to connect with each other.
[00:06:39.680 --> 00:06:42.680]   Cause if, if we don't do that, then we'll be very lonely, right?
[00:06:42.680 --> 00:06:44.680]   If we were not online.
[00:06:44.680 --> 00:06:54.680]   But if you have a tribe of folks that you can be with, none of whom are on their phones while you're together for that discrete amount of time,
[00:06:54.680 --> 00:06:57.680]   then it's wonderful and liberating and nobody's distracted.
[00:06:57.680 --> 00:06:59.680]   And I think that's really the key.
[00:06:59.680 --> 00:07:02.680]   And I think young people are figuring that out.
[00:07:02.680 --> 00:07:10.680]   You know, they're trying to create these spaces or try to, let's say, instead of doing a dopamine fast by yourself, do it with your friends, right?
[00:07:10.680 --> 00:07:15.680]   Then there's the FOMO is less, the fear of missing out because, oh, you're all doing the dopamine fast together.
[00:07:15.680 --> 00:07:18.680]   So these are some of the tricks that, you know, we can come up with, but.
[00:07:18.680 --> 00:07:19.680]   I like that.
[00:07:19.680 --> 00:07:20.680]   Yeah. Okay. Good.
[00:07:20.680 --> 00:07:23.680]   I don't allow, I have a home gym and I love working out.
[00:07:23.680 --> 00:07:24.680]   I just enjoy it.
[00:07:24.680 --> 00:07:25.680]   And I always have.
[00:07:25.680 --> 00:07:28.680]   And I, I don't allow my phone in my gym anymore.
[00:07:28.680 --> 00:07:29.680]   Right.
[00:07:29.680 --> 00:07:33.680]   And I live in an area where I don't get any reception, like two meters outside my door.
[00:07:33.680 --> 00:07:34.680]   Right.
[00:07:34.680 --> 00:07:37.680]   So all my dog walks now are just, and they were boring as hell.
[00:07:37.680 --> 00:07:38.680]   Yes.
[00:07:38.680 --> 00:07:39.680]   I also have a bulldog.
[00:07:39.680 --> 00:07:40.680]   He doesn't like to walk.
[00:07:40.680 --> 00:07:41.680]   It's really slow.
[00:07:41.680 --> 00:07:43.680]   And it was so boring for a while.
[00:07:43.680 --> 00:07:44.680]   Yes.
[00:07:44.680 --> 00:07:47.680]   Because I was so used to taking calls while I walk and it's super efficient.
[00:07:47.680 --> 00:07:48.680]   Yeah.
[00:07:48.680 --> 00:07:49.680]   Why wouldn't I do that?
[00:07:49.680 --> 00:07:50.680]   Yeah.
[00:07:50.680 --> 00:07:53.680]   The walks now are some of my favorite part of the day.
[00:07:53.680 --> 00:07:54.680]   Yeah, right.
[00:07:54.680 --> 00:07:57.680]   Because, and if the phone were, if I were to get a call on one of those, and they brought
[00:07:57.680 --> 00:07:59.680]   reception to the area, I would be very dismayed.
[00:07:59.680 --> 00:08:00.680]   Right.
[00:08:00.680 --> 00:08:01.680]   So I can attest to this.
[00:08:01.680 --> 00:08:04.680]   And, um, I don't think I'm a phone addict.
[00:08:04.680 --> 00:08:07.680]   Um, but I do put work into regulating my phone.
[00:08:07.680 --> 00:08:08.680]   Yes.
[00:08:08.680 --> 00:08:09.680]   So this is the key.
[00:08:09.680 --> 00:08:15.680]   You have to, with intention prior to being in that situation, think of literal physical
[00:08:15.680 --> 00:08:20.680]   and metacognitive barriers that you can put between yourself and your phone or whatever
[00:08:20.680 --> 00:08:27.680]   your, your drug is to create these intentional spaces where you're not constantly interrupting
[00:08:27.680 --> 00:08:29.680]   yourself essentially and distracting yourself.
[00:08:29.680 --> 00:08:33.680]   Because I really do think, you know, I think we talked just, just before we, we started
[00:08:33.680 --> 00:08:39.680]   with the interview, you know, we're, we're losing the ability to have a sustained thought,
[00:08:39.680 --> 00:08:40.680]   right?
[00:08:40.680 --> 00:08:45.680]   I mean, we, we get so far and then, then you get to that point in the thought where it's
[00:08:45.680 --> 00:08:48.680]   a little bit hard to know what's coming next.
[00:08:48.680 --> 00:08:54.680]   And it's very easy to check your phone or check your email or look something up on, you
[00:08:54.680 --> 00:08:55.680]   know, the internet.
[00:08:55.680 --> 00:09:01.680]   And then you never get that opportunity to finish that thought, which is really the source
[00:09:01.680 --> 00:09:04.680]   of creative energy and an original thought, right?
[00:09:04.680 --> 00:09:05.680]   You're not just reacting to.
[00:09:05.680 --> 00:09:06.680]   Right.
[00:09:06.680 --> 00:09:08.680]   And something that could contribute to the world.
[00:09:08.680 --> 00:09:09.680]   That's right.
[00:09:09.680 --> 00:09:14.680]   I'm a big, I'm a big believer that you're either consuming or you are creating.
[00:09:14.680 --> 00:09:15.680]   Right.
[00:09:15.680 --> 00:09:18.680]   And there, there is, I should mention, uh, it's important.
[00:09:18.680 --> 00:09:19.680]   I do believe in neutral time.
[00:09:19.680 --> 00:09:20.680]   I think sleep is great.
[00:09:20.680 --> 00:09:23.680]   I'm a big proponent of sleep and I've talked a lot about it on the podcast.
[00:09:23.680 --> 00:09:27.680]   I care a lot about sleep and not just for sake of performance.
[00:09:27.680 --> 00:09:29.680]   I actually just really like sleep.
[00:09:29.680 --> 00:09:36.680]   Um, I think that being a constant consumer of visual information and information of all
[00:09:36.680 --> 00:09:41.680]   kinds can, can be a problem, but, but there's some really great sources of information on the
[00:09:41.680 --> 00:09:47.680]   internet and, um, uh, and I, I certainly benefit from, from the fact that that those channels exist.
[00:09:47.680 --> 00:09:48.680]   Yeah.
[00:09:48.680 --> 00:09:48.680]   Yeah.
[00:09:48.680 --> 00:09:49.680]   Yeah.
[00:09:49.680 --> 00:09:50.680]   Yeah.
[00:09:50.680 --> 00:09:51.680]   Yeah.
[00:09:51.680 --> 00:09:52.680]   Yeah.
[00:09:52.680 --> 00:09:53.680]   Yeah.
[00:09:53.680 --> 00:09:54.680]   Yeah.
[00:09:54.680 --> 00:09:56.740]   you

