
[00:00:00.040 --> 00:00:09.600]   пять
[00:20:10.220 --> 00:20:10.220]   I'm going to be the president of the United States,
[00:20:10.220 --> 00:20:10.220]   I'm going to be the president of the United States,
[00:20:10.220 --> 00:20:10.220]   I'm going to be the president of the United States,
[00:20:10.220 --> 00:20:10.220]   I'm going to be the president of the United States,
[00:20:10.220 --> 00:20:10.220]   I'm going to be the president of the United States,
[00:20:10.220 --> 00:20:10.220]   I'm going to be the president of the United States,
[00:20:10.220 --> 00:20:10.220]   I'm going to be the president of the United States,
[00:20:10.220 --> 00:20:10.220]   I'm going to be the president of the United States,
[00:20:10.220 --> 00:20:10.220]   I'm going to be the president of the United States,
[00:20:10.220 --> 00:20:10.220]   I'm going to be the president of the United States,
[00:20:10.220 --> 00:20:10.220]   I'm going to be the president of the United States,
[00:20:10.220 --> 00:20:10.220]   I'm going to be the president of the United States,
[00:20:10.220 --> 00:20:10.220]   I'm going to be the president of the United States,
[00:20:10.220 --> 00:20:10.220]   I'm going to be the president of the United States,
[00:20:10.260 --> 00:20:40.240]   I'm going to be the president of the United States,
[00:20:40.240 --> 00:20:40.240]   I'm going to be the president of the United States,
[00:20:40.240 --> 00:20:40.240]   I'm going to be the president of the United States,
[00:20:40.240 --> 00:20:40.240]   I'm going to be the president of the United States,
[00:20:40.240 --> 00:20:40.240]   I'm going to be the president of the United States,
[00:20:40.240 --> 00:20:40.240]   I'm going to be the president of the United States,
[00:20:40.240 --> 00:20:40.240]   I'm going to be the president of the United States,
[00:20:40.240 --> 00:20:40.240]   I'm going to be the president of the United States,
[00:20:40.240 --> 00:20:40.240]   I'm going to be the president of the United States,
[00:20:40.240 --> 00:20:40.240]   I'm going to be the president of the United States,
[00:20:40.240 --> 00:20:40.240]   I'm going to be the president of the United States,
[00:20:40.240 --> 00:20:40.240]   I'm going to be the president of the United States,
[00:20:40.240 --> 00:20:40.240]   I'm going to be the president of the United States,
[00:20:40.260 --> 00:21:10.260]   I'm going to be the president of the United States,
[00:21:10.260 --> 00:21:10.260]   I'm going to be the president of the United States,
[00:21:10.260 --> 00:21:10.260]   I'm going to be the president of the United States,
[00:21:10.260 --> 00:21:10.260]   I'm going to be the president of the United States,
[00:21:10.260 --> 00:21:10.260]   I'm going to be the president of the United States,
[00:21:10.260 --> 00:21:10.260]   I'm going to be the president of the United States,
[00:21:10.260 --> 00:21:10.260]   I'm going to be the president of the United States,
[00:21:10.260 --> 00:21:10.260]   I'm going to be the president of the United States,
[00:21:10.260 --> 00:21:10.260]   I'm going to be the president of the United States,
[00:21:10.260 --> 00:21:10.260]   I'm going to be the president of the United States,
[00:21:10.260 --> 00:21:10.260]   I'm going to be the president of the United States,
[00:21:10.260 --> 00:21:10.260]   I'm going to be the president of the United States,
[00:21:10.260 --> 00:21:10.260]   I'm going to be the president of the United States,
[00:21:10.260 --> 00:21:10.260]   I'm going to be the president of the United States,
[00:21:10.260 --> 00:21:10.260]   I'm going to be the president of the United States,
[00:21:10.260 --> 00:21:40.280]   I'm going to be the president of the United States,
[00:21:40.280 --> 00:21:40.280]   I'm going to be the president of the United States,
[00:21:40.280 --> 00:21:40.280]   I'm going to be the president of the United States,
[00:21:40.280 --> 00:21:40.280]   I'm going to be the president of the United States,
[00:21:40.280 --> 00:21:40.280]   I'm going to be the president of the United States,
[00:21:40.280 --> 00:21:40.280]   I'm going to be the president of the United States,
[00:21:40.280 --> 00:21:40.280]   I'm going to be the president of the United States,
[00:21:40.280 --> 00:21:40.280]   I'm going to be the president of the United States,
[00:21:40.280 --> 00:21:40.280]   I'm going to be the president of the United States,
[00:21:40.280 --> 00:21:40.280]   I'm going to be the president of the United States,
[00:21:40.300 --> 00:22:10.300]   I'm going to be the president of the United States,
[00:22:10.300 --> 00:22:10.300]   I'm going to be the president of the United States,
[00:22:10.300 --> 00:22:10.300]   I'm going to be the president of the United States,
[00:22:10.300 --> 00:22:10.300]   I'm going to be the president of the United States,
[00:22:10.300 --> 00:22:10.300]   I'm going to be the president of the United States,
[00:22:10.300 --> 00:22:10.300]   I'm going to be the president of the United States,
[00:22:10.300 --> 00:22:10.300]   I'm going to be the president of the United States,
[00:22:10.300 --> 00:22:10.300]   I'm going to be the president of the United States,
[00:22:10.300 --> 00:22:10.300]   I'm going to be the president of the United States,
[00:22:10.300 --> 00:22:10.300]   I'm going to be the president of the United States,
[00:22:10.300 --> 00:22:10.300]   I'm going to be the president of the United States,
[00:22:10.300 --> 00:22:10.300]   I'm going to be the president of the United States,
[00:22:10.300 --> 00:22:10.300]   I'm going to be the president of the United States,
[00:22:10.300 --> 00:22:10.300]   I'm going to be the president of the United States,
[00:22:10.300 --> 00:22:10.300]   I'm going to be the president of the United States,
[00:22:10.300 --> 00:22:40.320]   I'm going to be the president of the United States,
[00:22:40.320 --> 00:22:40.320]   I'm going to be the president of the United States,
[00:22:40.320 --> 00:22:40.320]   I'm going to be the president of the United States,
[00:22:40.320 --> 00:22:40.320]   I'm going to be the president of the United States,
[00:22:40.320 --> 00:22:40.320]   I'm going to be the president of the United States,
[00:22:40.320 --> 00:22:40.320]   I'm going to be the president of the United States,
[00:22:40.320 --> 00:22:40.320]   I'm going to be the president of the United States,
[00:22:40.320 --> 00:22:40.320]   I'm going to be the president of the United States,
[00:22:40.320 --> 00:22:40.320]   I'm going to be the president of the United States,
[00:22:40.340 --> 00:23:10.340]   I'm going to be the president of the United States,
[00:23:10.340 --> 00:23:10.340]   I'm going to be the president of the United States,
[00:23:10.340 --> 00:23:10.340]   I'm going to be the president of the United States,
[00:23:10.340 --> 00:23:10.340]   I'm going to be the president of the United States,
[00:23:10.340 --> 00:23:10.340]   I'm going to be the president of the United States,
[00:23:10.340 --> 00:23:10.340]   I'm going to be the president of the United States,
[00:23:10.340 --> 00:23:10.340]   I'm going to be the president of the United States,
[00:23:10.340 --> 00:23:10.340]   I'm going to be the president of the United States,
[00:23:10.340 --> 00:23:10.340]   I'm going to be the president of the United States,
[00:23:10.340 --> 00:23:10.340]   I'm going to be the president of the United States,
[00:23:10.340 --> 00:23:10.340]   I'm going to be the president of the United States,
[00:23:10.340 --> 00:23:10.340]   I'm going to be the president of the United States,
[00:23:10.340 --> 00:23:10.340]   I'm going to be the president of the United States,
[00:23:10.340 --> 00:23:10.340]   I'm going to be the president of the United States,
[00:23:10.340 --> 00:23:10.340]   I'm going to be the president of the United States,
[00:23:10.340 --> 00:23:40.360]   I'm going to be the president of the United States,
[00:23:40.360 --> 00:23:40.360]   I'm going to be the president of the United States,
[00:23:40.360 --> 00:23:40.360]   I'm going to be the president of the United States,
[00:23:40.360 --> 00:23:40.360]   I'm going to be the president of the United States,
[00:23:40.360 --> 00:23:40.360]   I'm going to be the president of the United States,
[00:23:40.360 --> 00:23:40.360]   I'm going to be the president of the United States,
[00:23:40.360 --> 00:23:40.360]   I'm going to be the president of the United States,
[00:23:40.360 --> 00:23:40.360]   I'm going to be the president of the United States,
[00:23:40.360 --> 00:23:40.360]   I'm going to be the president of the United States,
[00:23:40.360 --> 00:23:40.360]   I'm going to be the president of the United States,
[00:23:40.380 --> 00:24:10.380]   I'm going to be the president of the United States,
[00:24:10.380 --> 00:24:10.380]   I'm going to be the president of the United States,
[00:24:10.380 --> 00:24:10.380]   I'm going to be the president of the United States,
[00:24:10.380 --> 00:24:10.380]   I'm going to be the president of the United States,
[00:24:10.380 --> 00:24:10.380]   I'm going to be the president of the United States,
[00:24:10.380 --> 00:24:10.380]   I'm going to be the president of the United States,
[00:24:10.380 --> 00:24:10.380]   I'm going to be the president of the United States,
[00:24:10.380 --> 00:24:10.380]   I'm going to be the president of the United States,
[00:24:10.380 --> 00:24:10.380]   I'm going to be the president of the United States,
[00:24:10.380 --> 00:24:10.380]   I'm going to be the president of the United States,
[00:24:10.380 --> 00:24:10.380]   I'm going to be the president of the United States,
[00:24:10.380 --> 00:24:10.380]   I'm going to be the president of the United States,
[00:24:10.380 --> 00:24:10.380]   I'm going to be the president of the United States,
[00:24:10.380 --> 00:24:10.380]   I'm going to be the president of the United States,
[00:24:10.380 --> 00:24:10.380]   I'm going to be the president of the United States,
[00:24:10.380 --> 00:24:40.400]   I'm going to be the president of the United States,
[00:24:40.400 --> 00:24:40.400]   I'm going to be the president of the United States,
[00:24:40.400 --> 00:24:40.400]   I'm going to be the president of the United States,
[00:24:40.400 --> 00:24:40.400]   I'm going to be the president of the United States,
[00:24:40.400 --> 00:24:40.400]   I'm going to be the president of the United States,
[00:24:40.400 --> 00:24:40.400]   I'm going to be the president of the United States,
[00:24:40.400 --> 00:24:40.400]   I'm going to be the president of the United States,
[00:24:40.400 --> 00:24:40.400]   I'm going to be the president of the United States,
[00:24:40.400 --> 00:24:40.400]   I'm going to be the president of the United States,
[00:24:40.400 --> 00:24:40.400]   I'm going to be the president of the United States,
[00:24:40.420 --> 00:25:10.420]   I'm going to be the president of the United States,
[00:25:10.420 --> 00:25:10.420]   I'm going to be the president of the United States,
[00:25:10.420 --> 00:25:10.420]   I'm going to be the president of the United States,
[00:25:10.420 --> 00:25:10.420]   I'm going to be the president of the United States,
[00:25:10.420 --> 00:25:10.420]   I'm going to be the president of the United States,
[00:25:10.420 --> 00:25:10.420]   I'm going to be the president of the United States,
[00:25:10.420 --> 00:25:10.420]   I'm going to be the president of the United States,
[00:25:10.420 --> 00:25:10.420]   I'm going to be the president of the United States,
[00:25:10.420 --> 00:25:10.420]   I'm going to be the president of the United States,
[00:25:10.420 --> 00:25:10.420]   I'm going to be the president of the United States,
[00:25:10.420 --> 00:25:10.420]   I'm going to be the president of the United States,
[00:25:10.420 --> 00:25:10.420]   I'm going to be the president of the United States,
[00:25:10.420 --> 00:25:10.420]   I'm going to be the president of the United States,
[00:25:10.420 --> 00:25:10.420]   I'm going to be the president of the United States,
[00:25:10.420 --> 00:25:10.420]   I'm going to be the president of the United States,
[00:25:10.420 --> 00:25:40.440]   I'm going to be the president of the United States,
[00:25:40.440 --> 00:25:40.440]   I'm going to be the president of the United States,
[00:25:40.440 --> 00:25:40.440]   I'm going to be the president of the United States,
[00:25:40.440 --> 00:25:40.440]   I'm going to be the president of the United States,
[00:25:40.440 --> 00:25:40.440]   I'm going to be the president of the United States,
[00:25:40.440 --> 00:25:40.440]   I'm going to be the president of the United States,
[00:25:40.440 --> 00:25:40.440]   I'm going to be the president of the United States,
[00:25:40.440 --> 00:25:40.440]   I'm going to be the president of the United States,
[00:25:40.440 --> 00:25:40.440]   I'm going to be the president of the United States,
[00:25:40.440 --> 00:25:40.440]   I'm going to be the president of the United States,
[00:25:40.460 --> 00:26:10.460]   I'm going to be the president of the United States,
[00:26:10.460 --> 00:26:10.460]   I'm going to be the president of the United States,
[00:26:10.460 --> 00:26:10.460]   I'm going to be the president of the United States,
[00:26:10.460 --> 00:26:10.460]   I'm going to be the president of the United States,
[00:26:10.460 --> 00:26:10.460]   I'm going to be the president of the United States,
[00:26:10.460 --> 00:26:10.460]   I'm going to be the president of the United States,
[00:26:10.460 --> 00:26:10.460]   I'm going to be the president of the United States,
[00:26:10.460 --> 00:26:10.460]   I'm going to be the president of the United States,
[00:26:10.460 --> 00:26:10.460]   I'm going to be the president of the United States,
[00:26:10.460 --> 00:26:10.460]   I'm going to be the president of the United States,
[00:26:10.460 --> 00:26:10.460]   I'm going to be the president of the United States,
