
[00:00:00.000 --> 00:00:10.000]   [SOUND]
[00:03:32.880 --> 00:03:36.680]   it was hard to tell that they were adding these unnoticed pounds.
[00:03:36.680 --> 00:03:38.520]   So this is the idea of rebalancing, right?
[00:03:38.520 --> 00:03:41.560]   It allows you to avoid parts of your portfolio getting overweight.
[00:03:41.560 --> 00:03:42.560]   See what I did there, Duncan?
[00:03:42.560 --> 00:03:46.200]   >> [LAUGH] >> So I think this is the idea,
[00:03:46.200 --> 00:03:49.640]   investing is always this form of regret minimization.
[00:03:49.640 --> 00:03:52.840]   Am I going to regret it if this thing goes to the moon and
[00:03:52.840 --> 00:03:54.800]   I sell a little bit too early?
[00:03:54.800 --> 00:03:58.400]   Or what happens if this thing goes to the floor and I held on to it?
[00:03:58.400 --> 00:04:03.200]   But let's give a simpler example, let's say at a 60/40 portfolio.
[00:04:03.200 --> 00:04:07.080]   Ten years ago you started 60% stocks, 40% bonds in the United States.
[00:04:07.080 --> 00:04:09.800]   Because gains in stocks have been so much more than bonds,
[00:04:09.800 --> 00:04:12.280]   you'd be at an 85/15 portfolio now.
[00:04:12.280 --> 00:04:14.680]   Now you'd probably say, great, I did awesome.
[00:04:14.680 --> 00:04:17.440]   If I would have kept trimming back the whole way through,
[00:04:17.440 --> 00:04:19.840]   I would have made much less money.
[00:04:19.840 --> 00:04:22.520]   The other side of that is your losses are going to be bigger now, but
[00:04:22.520 --> 00:04:24.920]   why did you create that 60/40 portfolio in the first place?
[00:04:24.920 --> 00:04:26.640]   It's like, what's the point of an allocation?
[00:04:26.640 --> 00:04:31.160]   So there's this difference between having a portfolio and having a plan, right?
[00:04:31.160 --> 00:04:34.720]   Having a portfolio is like, I go to the Golden Corral Buffet, and
[00:04:34.720 --> 00:04:37.880]   I grab a little of this, and I grab, that one looks good too, and I want some of that.
[00:04:37.880 --> 00:04:40.240]   And you put it on your plate, and then you realize, this isn't a meal,
[00:04:40.240 --> 00:04:41.920]   this is just a bunch of mishmash of foods, and
[00:04:41.920 --> 00:04:44.080]   they don't really all go together very well.
[00:04:44.080 --> 00:04:44.800]   That's a portfolio.
[00:04:44.800 --> 00:04:48.120]   Plan is like something that's really well thought out.
[00:04:48.120 --> 00:04:53.000]   You take into account expectations, and probabilities, and you have a process.
[00:04:53.000 --> 00:04:57.000]   And I think if you don't have these rules in place ahead of time
[00:04:57.000 --> 00:05:00.480]   to guide your actions, you're always going to be playing catch up to whatever
[00:05:00.480 --> 00:05:01.240]   the price is doing.
[00:05:01.240 --> 00:05:03.480]   So when things are going really well and things are going up,
[00:05:03.480 --> 00:05:06.120]   you're going to think, I don't want to trim now, what if it keeps going up?
[00:05:06.120 --> 00:05:08.120]   Then when things are going down, you're going to go, well,
[00:05:08.120 --> 00:05:11.120]   I can't buy now, because what happens if things go down further?
[00:05:11.120 --> 00:05:14.880]   So that's why you need to have a rebalancing policy in place and
[00:05:14.880 --> 00:05:17.520]   asset allocation to guide your actions ahead of time.
[00:05:17.520 --> 00:05:20.840]   Because in the moment, it's going to be so much harder to do.
[00:05:20.840 --> 00:05:24.920]   Now, could you have a type of buy and hold forever kind of thing for
[00:05:24.920 --> 00:05:26.160]   some portion of a portfolio?
[00:05:26.160 --> 00:05:28.840]   Sure, because there's a buy and hold forever, there's a buy and
[00:05:28.840 --> 00:05:31.920]   hold and rebalance, maybe there's a buy and hold and reassess.
[00:05:31.920 --> 00:05:34.120]   But I think investing is always about trade-offs.
[00:05:34.120 --> 00:05:36.440]   So especially when you get into concentrated positions,
[00:05:36.440 --> 00:05:39.080]   it's wonderful on the way up, but so much more painful on the way down.
[00:05:39.080 --> 00:05:42.520]   So I think you have to find a balance where you set some thresholds in place.
[00:05:42.520 --> 00:05:45.040]   And every time this position gets to 10% or 20%,
[00:05:45.040 --> 00:05:46.520]   I'm going to trim a little bit.
[00:05:46.520 --> 00:05:50.120]   And every time on that way down, it gets to 5% or 10% or whatever it is,
[00:05:50.120 --> 00:05:50.960]   I'm going to add back.
[00:05:50.960 --> 00:05:53.120]   And I think if you don't have that discipline in place,
[00:05:53.120 --> 00:05:54.620]   you're basically just guessing.
[00:05:54.620 --> 00:05:56.640]   And you're trying to follow the ways of the wind or something.
[00:05:56.640 --> 00:06:00.320]   And you're putting your finger in the air and going, wait, you have no idea.
[00:06:00.320 --> 00:06:03.280]   So I think you have to have those guidelines and rules in place.
[00:06:03.280 --> 00:06:04.520]   Otherwise, you're just going to be lost.
[00:06:04.520 --> 00:06:08.360]   >> Yeah, no, that sounds like good advice.
[00:06:08.360 --> 00:06:11.640]   To run with your analogy, if your stocks are kind of like the inmates in that
[00:06:11.640 --> 00:06:15.480]   prison, Facebook's a pretty dangerous prisoner today, right?
[00:06:15.480 --> 00:06:17.280]   >> Facebook got shanked today, big time.
[00:06:17.280 --> 00:06:19.680]   >> [LAUGH] >> Oof, that's tough.
[00:06:19.680 --> 00:06:23.160]   My diversification thing, though, I put this on Twitter this morning.
[00:06:23.160 --> 00:06:24.560]   Facebook is down 24%.
[00:06:24.560 --> 00:06:28.360]   That's the fifth biggest stock in the S&P 500, down 24% in one day.
[00:06:28.360 --> 00:06:31.160]   That's basically a Black Monday 1987 crash.
[00:06:31.160 --> 00:06:33.720]   The S&P, when I looked this morning, was down 1.2%.
[00:06:33.720 --> 00:06:37.480]   So this is why you diversify, and having a concentrated position like that,
[00:06:37.480 --> 00:06:39.480]   it's great when Facebook is going up.
[00:06:39.480 --> 00:06:42.480]   Now I looked at it, Facebook is underperforming the S&P 500 over the last
[00:06:42.480 --> 00:06:44.080]   like six or seven years now.
[00:06:44.080 --> 00:06:48.460]   After all those gains basically wiped out in a matter of hours, I guess.
[00:06:48.460 --> 00:06:49.160]   Yeah, it's crazy.
[00:06:49.160 --> 00:06:50.440]   All right, let's do the next one.
[00:06:50.440 --> 00:06:55.160]   >> Okay, so up next, I'm 38 years old, married with three kids,
[00:06:55.160 --> 00:06:59.000]   aged five and under, and I have five 29s for each.
[00:06:59.000 --> 00:07:02.520]   And a take home salary of $400,000 in Austin, Texas.
[00:07:02.520 --> 00:07:05.760]   Primary home is 1.5 million, just moved in, and
[00:07:05.760 --> 00:07:08.200]   we're house poor at the moment, maybe forever.
[00:07:08.200 --> 00:07:12.560]   Neighbors, I feel like this is kind of a stream of consciousness, but
[00:07:12.560 --> 00:07:16.560]   neighbor's house on the block is going for 900,000, and it's a rental gold mine,
[00:07:16.560 --> 00:07:19.080]   consistently rented for the last ten plus years.
[00:07:19.080 --> 00:07:23.000]   I'd like to go for it, but need to take out about 500,000
[00:07:23.000 --> 00:07:26.120]   of my 401(k) to make the rental cash flow positive.
[00:07:26.120 --> 00:07:29.840]   Do I stay the 401(k) course, or YOLO this rental property?
[00:07:29.840 --> 00:07:32.960]   I like YOLO being a verb there.
[00:07:32.960 --> 00:07:34.560]   >> Yeah, you're gonna be surprised here, but
[00:07:34.560 --> 00:07:37.480]   I don't think I would ever use YOLO as a part of financial advice.
[00:07:37.480 --> 00:07:39.520]   That's never really reasonable.
[00:07:39.520 --> 00:07:43.200]   I understand the idea here, like, have someone else pay for your mortgage,
[00:07:43.200 --> 00:07:46.120]   the equity's going up, Austin is this really hot housing market,
[00:07:46.120 --> 00:07:48.240]   like how can you lose?
[00:07:48.240 --> 00:07:50.240]   Pull up this Austin chart here, Duncan.
[00:07:50.240 --> 00:07:52.960]   Let's do a chart on for Austin over the last year.
[00:07:52.960 --> 00:07:58.480]   Housing, this is from Zillow, the average housing price in Austin is $625,000.
[00:07:58.480 --> 00:08:00.160]   It's up 40% over the last year,
[00:08:00.160 --> 00:08:01.840]   it's basically one of the hottest housing markets in the world.
[00:08:01.840 --> 00:08:07.480]   We pulled some data from apartmentdata.com that shows rent year over year
[00:08:07.480 --> 00:08:08.760]   up 25% in Austin.
[00:08:08.760 --> 00:08:13.640]   The months of inventory in the Austin real estate market is like 0.8,
[00:08:13.640 --> 00:08:15.560]   which is well, well under the rest of the country,
[00:08:15.560 --> 00:08:17.360]   which is having a short of its own.
[00:08:17.360 --> 00:08:20.480]   So you probably think to yourself, everyone wants to come here,
[00:08:20.480 --> 00:08:22.760]   all these people are leaving Silicon Valley and all these other places and
[00:08:22.760 --> 00:08:26.000]   moving to Austin, like it's this great place, it makes sense.
[00:08:26.000 --> 00:08:28.600]   And so you think, well, I don't have this concentrated,
[00:08:28.600 --> 00:08:29.480]   because that's the big problem, right?
[00:08:29.480 --> 00:08:32.520]   You have concentration risk, you're two biggest assets on the same block.
[00:08:32.520 --> 00:08:35.760]   What happens if the, forget the national market,
[00:08:35.760 --> 00:08:38.120]   the local real estate market, their slows or the local economy,
[00:08:38.120 --> 00:08:38.840]   for whatever reason, slows.
[00:08:38.840 --> 00:08:41.640]   No, you say, whatever, Austin's going to be hot forever.
[00:08:41.640 --> 00:08:44.880]   Sure, you might be right, it's going to be the new Silicon Valley.
[00:08:44.880 --> 00:08:48.120]   But, like, what happens if something happens to the house, right?
[00:08:48.120 --> 00:08:51.960]   You need a new roof, you need a new air conditioner, a new water heater.
[00:08:51.960 --> 00:08:54.640]   There goes like months of profit, potentially.
[00:08:54.640 --> 00:08:57.520]   And the other problem is you can't spend your house, right?
[00:08:57.520 --> 00:08:59.440]   You could take out some home equity line of credit.
[00:08:59.440 --> 00:09:02.720]   And honestly, if this person came to us and said, listen,
[00:09:02.720 --> 00:09:05.200]   I've got a ton of equity in my current home.
[00:09:05.200 --> 00:09:08.320]   I want to use some of that real estate equity, it's just sitting there.
[00:09:08.320 --> 00:09:11.920]   I'm going to borrow it and put it for a down payment on this new rental house.
[00:09:11.920 --> 00:09:12.840]   And that's going to be an investment.
[00:09:12.840 --> 00:09:15.680]   Then you're essentially shifting the balance sheet from one real estate
[00:09:15.680 --> 00:09:17.440]   investment to another.
[00:09:17.440 --> 00:09:20.120]   That actually makes more sense to me than someone who says,
[00:09:20.120 --> 00:09:24.240]   I'm already house poor, I'm going to buy another house to be double the house poor.
[00:09:24.240 --> 00:09:25.720]   I don't know, so put this one up,
[00:09:25.720 --> 00:09:28.440]   this chart up about the middle class and their housing.
[00:09:28.440 --> 00:09:30.640]   Obviously, this person has a $1.5 million house, so
[00:09:30.640 --> 00:09:31.520]   maybe they're not middle class.
[00:09:31.520 --> 00:09:34.640]   But this just shows your real estate portfolio and
[00:09:34.640 --> 00:09:37.320]   your primary residence to financial assets.
[00:09:37.320 --> 00:09:41.280]   So the top 1% has like less than 10% in their primary residence and
[00:09:41.280 --> 00:09:43.360]   74% in financial assets.
[00:09:43.360 --> 00:09:45.560]   There's obviously a bunch of other stuff that's not in here.
[00:09:45.560 --> 00:09:49.800]   The bottom 80% has 63% of their home and just 5% in financial assets.
[00:09:49.800 --> 00:09:52.800]   And there's a reason that the top 1% keeps getting richer and richer.
[00:09:52.800 --> 00:09:56.960]   Obviously, the housing market has been on fire, especially these last 18 months.
[00:09:56.960 --> 00:10:00.120]   But owning financial assets is probably a better thing for
[00:10:00.120 --> 00:10:02.880]   the majority of the population because you can diversify.
[00:10:02.880 --> 00:10:03.960]   You can do so at a lower cost.
[00:10:03.960 --> 00:10:06.320]   I'm not even thinking through all the costs involved.
[00:10:06.320 --> 00:10:10.200]   And what if something did go wrong and you had to sell this rental property?
[00:10:10.200 --> 00:10:14.120]   All the costs involved in buying and selling it, the closing costs and
[00:10:14.120 --> 00:10:16.080]   the realtor fees and all this stuff.
[00:10:16.080 --> 00:10:18.280]   I know it probably seems like a no-brainer.
[00:10:18.280 --> 00:10:20.320]   But I just think that you're putting so
[00:10:20.320 --> 00:10:25.140]   much risk on this one asset class, on this one block.
[00:10:25.140 --> 00:10:26.600]   I don't know, I'd have a hard time signing off on this,
[00:10:26.600 --> 00:10:29.160]   especially if you're gonna pull from your entire 401(k) and
[00:10:29.160 --> 00:10:32.400]   you don't just have the money laying around for a down payment or something.
[00:10:32.400 --> 00:10:34.640]   >> Right, yeah, this kind of goes along with what you were saying on the first
[00:10:34.640 --> 00:10:38.400]   question, right, diversification, and yeah, you're kind of putting all your eggs in
[00:10:38.400 --> 00:10:39.120]   one basket.
[00:10:39.120 --> 00:10:41.600]   >> Yeah, it's boring, but I think this person kind of answered their own question
[00:10:41.600 --> 00:10:44.560]   when, again, yoloing into a rental.
[00:10:44.560 --> 00:10:47.680]   I think that, I don't know, again, I can't get my head around that.
[00:10:47.680 --> 00:10:50.000]   I understand the desire to rent these days and
[00:10:50.000 --> 00:10:51.960]   think that the equity's gonna go up so much more.
[00:10:51.960 --> 00:10:53.300]   Even if they're just covering my mortgage,
[00:10:53.300 --> 00:10:56.120]   I'm building in that equity, I'm slowly paying it off.
[00:10:56.120 --> 00:10:58.080]   That makes sense in theory, but
[00:10:58.080 --> 00:11:00.320]   this is a very risky proposition as far as I'm concerned.
[00:11:00.320 --> 00:11:03.680]   >> Yep, sounds like it.
[00:11:03.680 --> 00:11:08.720]   Okay, so up next, this is kind of a long one, but hang in there.
[00:11:08.720 --> 00:11:13.280]   We're 45-year-olds living in Ohio earning about $240,000 annually.
[00:11:13.280 --> 00:11:17.480]   We max out our 401(k) and HSA accounts, have $1.5 million in savings, and
[00:11:17.480 --> 00:11:19.120]   our house is paid off.
[00:11:19.120 --> 00:11:22.880]   No college savings for our two teens, but we plan to pay as they go.
[00:11:22.880 --> 00:11:24.440]   Maybe that's naive.
[00:11:24.440 --> 00:11:27.560]   I'm worried I'm too heavily in stocks and stock funds.
[00:11:27.560 --> 00:11:32.280]   I want to hold the after-tax stock portfolio for five years like a boss, but
[00:11:32.280 --> 00:11:35.640]   I'm afraid it'll crater if the Fed raises rates quickly.
[00:11:35.640 --> 00:11:37.760]   I've already lost $150,000.
[00:11:37.760 --> 00:11:41.920]   I'm planning to work until 55 and live on one salary because my wife likes to work.
[00:11:41.920 --> 00:11:44.320]   I just need some guidance on how to reduce risk.
[00:11:44.320 --> 00:11:45.640]   Am I taking too much?
[00:11:45.640 --> 00:11:48.680]   Should I stay with the stocks I've picked or migrate to a portfolio?
[00:11:48.680 --> 00:11:50.760]   >> There's a lot going on in this one.
[00:11:50.760 --> 00:11:52.040]   They actually had a lot more information here.
[00:11:52.040 --> 00:11:54.320]   We had to kind of trim it down a little bit.
[00:11:54.320 --> 00:11:56.120]   This seems like an investing question.
[00:11:56.120 --> 00:11:58.880]   And this kind of happens a lot with us at our wealth management practice is people
[00:11:58.880 --> 00:12:01.360]   come to us and think that they have a portfolio management question.
[00:12:01.360 --> 00:12:03.480]   When in reality, they need to talk to a financial advisor.
[00:12:03.480 --> 00:12:07.080]   So we're going to bring in a financial advisor, Chris Venn,
[00:12:07.080 --> 00:12:09.160]   who's the head of our wealth management practice.
[00:12:09.160 --> 00:12:13.200]   Chris has created hundreds, maybe thousands of financial plans over his career.
[00:12:13.200 --> 00:12:14.360]   >> That's fair. >> Right?
[00:12:14.360 --> 00:12:15.880]   So Chris, we got a lot going on here.
[00:12:15.880 --> 00:12:18.800]   The other one that we didn't put here is they told us that they spend like
[00:12:18.800 --> 00:12:19.920]   drunken sailors.
[00:12:19.920 --> 00:12:21.080]   Even though they're maxing out their accounts,
[00:12:21.080 --> 00:12:22.480]   everything else they spend like crazy.
[00:12:22.480 --> 00:12:24.120]   So someone comes to you like this.
[00:12:24.120 --> 00:12:26.400]   They give you all this information and they say, I don't know what to do.
[00:12:26.400 --> 00:12:27.680]   Do I need to sell my stocks?
[00:12:27.680 --> 00:12:28.600]   What do I do?
[00:12:28.600 --> 00:12:30.200]   Where do you start with something like this?
[00:12:30.200 --> 00:12:34.400]   >> So first off, this sort of reads like an incomplete CFP case study, right?
[00:12:34.400 --> 00:12:36.280]   There's a lot of stuff missing here.
[00:12:36.280 --> 00:12:41.880]   So giving direct answers to some of these questions is inherently problematic.
[00:12:41.880 --> 00:12:45.240]   That said, there are a few pieces I picked out of here that they can address like
[00:12:45.240 --> 00:12:46.000]   right off the bat.
[00:12:46.000 --> 00:12:52.520]   To begin with, whether or not the kids are a year or four years away from college,
[00:12:52.520 --> 00:12:56.160]   there's benefit to them being in an Ohio 529 plan.
[00:12:56.160 --> 00:13:00.360]   In Ohio, you're able to get $4,000 state tax deduction for
[00:13:00.360 --> 00:13:01.760]   each beneficiary that you set up.
[00:13:01.760 --> 00:13:06.320]   So if there's two kids, that's 8,000 a year, like right off their state taxes.
[00:13:06.320 --> 00:13:11.920]   The other thing that's like an immediate takeaway, they're 45.
[00:13:11.920 --> 00:13:14.200]   When we're building financial plans, we're putting it out,
[00:13:14.200 --> 00:13:16.840]   their lifespan, out to age 100, right?
[00:13:16.840 --> 00:13:20.520]   The idea is that we wanna plan for this excessive period of time.
[00:13:20.520 --> 00:13:24.360]   So to think about lightening up on stocks at 45, that's just silly.
[00:13:24.360 --> 00:13:28.280]   >> Yeah, so they say we're gonna retire by 50 or 55, but guess what?
[00:13:28.280 --> 00:13:31.040]   Your portfolio and your lifespan still goes after that.
[00:13:31.040 --> 00:13:34.040]   So you're planning your portfolio for not just the day you retire,
[00:13:34.040 --> 00:13:36.240]   it's while you're in retirement too, right?
[00:13:36.240 --> 00:13:40.720]   >> Yeah, and that's just some of the immediate things that jumped out to me.
[00:13:40.720 --> 00:13:44.920]   Answering this question, it's not the question they're asking.
[00:13:44.920 --> 00:13:47.880]   The question they're asking is, I've done well and
[00:13:47.880 --> 00:13:49.760]   I'm nervous that the stock market's gone down.
[00:13:49.760 --> 00:13:53.080]   What they should be asking is, do I need a detailed financial plan?
[00:13:53.080 --> 00:13:55.240]   And obviously the answer is yes, right?
[00:13:55.240 --> 00:13:59.040]   To be able to contextualize what it is that they're saving for,
[00:13:59.040 --> 00:14:04.480]   what these various goals that they have to accomplish over half a lifetime, right?
[00:14:04.480 --> 00:14:06.840]   Like that's the way they should be looking at this,
[00:14:06.840 --> 00:14:11.240]   not whether or not during a downturn they should lighten up on stocks.
[00:14:11.240 --> 00:14:14.840]   That's literally one of the primary value adds that we talk about when building
[00:14:14.840 --> 00:14:15.480]   plans for people.
[00:14:15.480 --> 00:14:18.880]   It's like, you're gonna run into situations that are just gonna make you
[00:14:18.880 --> 00:14:19.960]   uncomfortable.
[00:14:19.960 --> 00:14:23.640]   And if you rely on how you're doing versus the stock market,
[00:14:23.640 --> 00:14:26.320]   you're gonna get uncomfortable and make the worst decision.
[00:14:26.320 --> 00:14:27.280]   That's just the way it's gonna go.
[00:14:27.280 --> 00:14:29.840]   >> And this kinda gets back to the first question about a plan versus
[00:14:29.840 --> 00:14:30.560]   a portfolio, right?
[00:14:30.560 --> 00:14:33.440]   These people have done well, they've accumulated assets.
[00:14:33.440 --> 00:14:35.080]   They've put together a portfolio.
[00:14:35.080 --> 00:14:36.160]   >> House is paid off.
[00:14:36.160 --> 00:14:38.480]   >> Right, yeah, they've done really well personal finance wise.
[00:14:38.480 --> 00:14:39.760]   Obviously, they save a lot of money.
[00:14:39.760 --> 00:14:41.080]   They said they spend like drunken sailors too,
[00:14:41.080 --> 00:14:42.640]   which I think is fine as long as you're saving.
[00:14:42.640 --> 00:14:44.920]   They're maxing everything out, that's good for them.
[00:14:44.920 --> 00:14:47.520]   But I think you're right, what they need now, especially, and
[00:14:47.520 --> 00:14:49.840]   this happens to us a lot with clients that come to us, right?
[00:14:49.840 --> 00:14:53.440]   Is that, I'm approaching retirement, I'm approaching some life event.
[00:14:53.440 --> 00:14:57.120]   Now, help me put a plan together to figure out what to do with it all now that I
[00:14:57.120 --> 00:14:57.920]   have it, right?
[00:14:57.920 --> 00:15:00.720]   >> And it sounds like their life event is they participated in the bull market and
[00:15:00.720 --> 00:15:01.800]   made a bunch of money.
[00:15:01.800 --> 00:15:03.920]   And it's like, look, I applaud them.
[00:15:03.920 --> 00:15:08.200]   They point out that they over the past six years have visited 33 national parks.
[00:15:08.200 --> 00:15:11.160]   That's a really serious financial planning conundrum,
[00:15:11.160 --> 00:15:15.320]   is getting people to do that kind of stuff and enjoy their life while they can.
[00:15:15.320 --> 00:15:19.120]   But what you don't want to do is make those decisions at the detriment of your
[00:15:19.120 --> 00:15:21.000]   future liabilities, right?
[00:15:21.000 --> 00:15:22.360]   >> Yeah, so they come to you and they say,
[00:15:22.360 --> 00:15:24.600]   we want to continue to travel and put this together.
[00:15:24.600 --> 00:15:27.480]   So it's like build a plan that takes that into account, right?
[00:15:27.480 --> 00:15:30.800]   Help our kids pay for college, help us go to all these national parks, and
[00:15:30.800 --> 00:15:35.480]   also help us not worry about a portfolio crashing all the time if and when it does.
[00:15:35.480 --> 00:15:38.000]   >> Yeah, I mean, that's when you first sent me this question, Ben,
[00:15:38.000 --> 00:15:40.800]   my immediate response was like, this is literally a commercial for
[00:15:40.800 --> 00:15:43.680]   why you need to work with financial planner to think through this stuff.
[00:15:43.680 --> 00:15:44.360]   It really is.
[00:15:44.360 --> 00:15:48.880]   I mean, again, just like I cherry picked the example of the 529s and the age, but
[00:15:48.880 --> 00:15:52.040]   there's 100 other pieces of this that we could pick apart.
[00:15:52.040 --> 00:15:59.360]   But I really think that the most important takeaway that the question needs to be
[00:15:59.360 --> 00:16:02.040]   given as far as an answer is, no, you should absolutely not be thinking about
[00:16:02.040 --> 00:16:05.440]   lightening up, but it sounds like they're picking individual stocks.
[00:16:05.440 --> 00:16:09.400]   And he looks like he's interested in migrating towards some sort of a more
[00:16:09.400 --> 00:16:13.760]   diversified approach to invest, and clearly, that's what they should be doing.
[00:16:13.760 --> 00:16:15.800]   >> Right, all right, Duncan, we got another one?
[00:16:15.800 --> 00:16:19.720]   >> Yep, so this next one's from Chris, and
[00:16:19.720 --> 00:16:23.920]   Chris writes, I'm a 40-year-old government worker at a state hospital in California.
[00:16:23.920 --> 00:16:27.840]   I have a solid pension that will be worth 2 to 3 million when I retire.
[00:16:27.840 --> 00:16:33.160]   I max out my 403(b) and 457 and backdoor Roth for 6,000, and
