
[00:00:00.040 --> 00:00:09.360]   additionally
[00:05:00.060 --> 00:05:00.060]   The following is a conversation with Walter Isaacson, one of the guys who is a man
[00:05:00.060 --> 00:05:00.060]   The following is a conversation with Walter Isaacson, one of the guys who is a man
[00:05:00.060 --> 00:05:00.060]   The following is a conversation with Walter Isaacson, one of the guys who is a man
[00:05:00.060 --> 00:05:00.060]   The following is a conversation with Walter Isaacson, one of the guys who is a man
[00:05:00.060 --> 00:05:00.060]   The following is a conversation with Walter Isaacson, one of the guys who is a man
[00:05:00.060 --> 00:05:00.060]   The following is a conversation with Walter Isaacson, one of the guys who is a man
[00:05:00.060 --> 00:05:00.060]   The following is a conversation with Walter Isaacson, one of the guys who is a man
[00:05:00.080 --> 00:05:30.080]   The following is a conversation with Walter Isaacson, one of the guys who is a man
[00:05:30.080 --> 00:05:30.080]   The following is a conversation with Walter Isaacson, one of the guys who is a man
[00:05:30.080 --> 00:05:30.080]   The following is a conversation with Walter Isaacson, one of the guys who is a man
[00:05:30.080 --> 00:05:30.080]   The following is a conversation with Walter Isaacson, one of the guys who is a man
[00:05:30.080 --> 00:05:30.080]   The following is a conversation with Walter Isaacson, one of the guys who is a man
[00:05:30.080 --> 00:05:30.080]   The following is a conversation with Walter Isaacson, one of the guys who is a man
[00:05:30.080 --> 00:05:30.080]   The following is a conversation with Walter Isaacson, one of the guys who is a man
[00:05:30.080 --> 00:05:30.080]   The following is a conversation with Walter Isaacson, one of the guys who is a man
[00:05:30.080 --> 00:05:30.080]   The following is a conversation with Walter Isaacson, one of the guys who is a man
[00:05:30.080 --> 00:05:30.080]   The following is a conversation with Walter Isaacson, one of the guys who is a man
[00:05:30.080 --> 00:06:00.100]   the following is a conversation with Walter Isaacson, one of the guys who is a man
[00:06:00.100 --> 00:06:00.100]   The following is a conversation with Walter Isaacson, one of the guys who is a man
[00:06:00.100 --> 00:06:00.100]   The following is a conversation with Walter Isaacson, one of the guys who is a man
[00:06:00.100 --> 00:06:00.100]   The following is a conversation with Walter Isaacson, one of the guys who is a man
[00:06:00.100 --> 00:06:00.100]   The following is a conversation with Walter Isaacson, one of the guys who is a man
[00:06:00.100 --> 00:06:00.100]   The following is a conversation with Walter Isaacson, one of the guys who is a man
[00:06:00.100 --> 00:06:00.100]   The following is a conversation with Walter Isaacson, one of the guys who is a man
[00:06:00.100 --> 00:06:00.100]   The following is a conversation with Walter Isaacson, one of the guys who is a man
[00:06:00.100 --> 00:06:00.100]   The following is a conversation with Walter Isaacson, one of the guys who is a man
[00:06:00.120 --> 00:06:30.120]   The following is a conversation with Walter Isaacson, one of the guys who is a man
[00:06:30.120 --> 00:06:30.120]   The following is a conversation with Walter Isaacson, one of the guys who is a man
[00:06:30.120 --> 00:06:30.120]   The following is a conversation with Walter Isaacson, one of the guys who is a man
[00:06:30.120 --> 00:06:30.120]   The following is a conversation with Walter Isaacson, one of the guys who is a man
[00:06:30.120 --> 00:06:30.120]   The following is a conversation with Walter Isaacson, one of the guys who is a man
[00:06:30.120 --> 00:06:30.120]   The following is a conversation with Walter Isaacson, one of the guys who is a man
[00:06:30.120 --> 00:06:30.120]   The following is a conversation with Walter Isaacson, one of the guys who is a man
[00:06:30.120 --> 00:06:30.120]   The following is a conversation with Walter Isaacson, one of the guys who is a man
[00:06:30.120 --> 00:06:30.120]   The following is a conversation with Walter Isaacson, one of the guys who is a man
[00:06:30.120 --> 00:06:30.120]   The following is a conversation with Walter Isaacson, one of the guys who is a man
[00:06:30.120 --> 00:07:00.140]  -the demon mode is about to happen and he'll go a bit dark
[00:07:00.140 --> 00:07:00.140]   The following is a conversation with Walter Isaacson, one of the guys who is a man
[00:07:00.140 --> 00:07:00.140]   The following is a conversation with Walter Isaacson, one of the guys who is a man
[00:07:00.140 --> 00:07:00.140]   The following is a conversation with Walter Isaacson, one of the guys who is a man
[00:07:00.140 --> 00:07:00.140]   The following is a conversation with Walter Isaacson, one of the guys who is a man
[00:07:00.140 --> 00:07:00.140]   The following is a conversation with Walter Isaacson, one of the guys who is a man
[00:07:00.160 --> 00:07:30.160]   I was here at Austin, wanted dinner with a group
[00:07:30.160 --> 00:07:30.160]   I was here at Austin, wanted dinner with a group
[00:07:30.160 --> 00:07:30.160]   I was here at Austin, wanted dinner with a group
[00:07:30.160 --> 00:07:30.160]   I was here at Austin, wanted dinner with a group
[00:07:30.160 --> 00:07:30.160]   I was here at Austin, wanted dinner with a group
[00:07:30.160 --> 00:07:30.160]   I was here at Austin, wanted dinner with a group
[00:07:30.160 --> 00:07:30.160]   I was here at Austin, wanted dinner with a group
[00:07:30.160 --> 00:07:30.160]   I was here at Austin, wanted dinner with a group
[00:07:30.160 --> 00:07:30.160]   I was here at Austin, wanted dinner with a group
[00:07:30.160 --> 00:07:30.160]   I was here at Austin, wanted dinner with a group
[00:07:30.160 --> 00:07:30.160]   I was here at Austin, wanted dinner with a group
[00:07:30.160 --> 00:07:30.160]   I was here at Austin, wanted dinner with a group
[00:07:30.160 --> 00:07:30.160]   I was here at Austin, wanted dinner with a group
[00:07:30.160 --> 00:07:30.160]   I was here at Austin, wanted dinner with a group
[00:07:30.160 --> 00:07:30.160]   I was here at Austin, wanted dinner with a group
[00:07:30.160 --> 00:07:30.160]   I was here at Austin, wanted dinner with a group
[00:07:30.180 --> 00:08:00.180]   I was here at Austin, wanted dinner with a group
[00:08:00.180 --> 00:08:00.180]   I was here at Austin, wanted dinner with a group
[00:08:00.180 --> 00:08:00.180]   I was here at Austin, wanted dinner with a group
[00:08:00.180 --> 00:08:00.180]   I was here at Austin, wanted dinner with a group
[00:08:00.180 --> 00:08:00.180]   I was here at Austin, wanted dinner with a group
[00:08:00.180 --> 00:08:00.180]   I was here at Austin, wanted dinner with a group
[00:08:00.180 --> 00:08:00.180]   I was here at Austin, wanted dinner with a group
[00:08:00.180 --> 00:08:00.180]   I was here at Austin, wanted dinner with a group
[00:08:00.180 --> 00:08:00.180]   I was here at Austin, wanted dinner with a group
[00:08:00.180 --> 00:08:00.180]   I was here at Austin, wanted dinner with a group
[00:08:00.180 --> 00:08:00.180]   I was here at Austin, wanted dinner with a group
[00:08:00.180 --> 00:08:00.180]   I was here at Austin, wanted dinner with a group
[00:08:00.180 --> 00:08:00.180]   I was here at Austin, wanted dinner with a group
[00:08:00.200 --> 00:08:30.200]   I was here at Austin, wanted dinner with a group
[00:08:30.200 --> 00:08:30.200]   I was here at Austin, wanted dinner with a group
[00:08:30.200 --> 00:08:30.200]   I was here at Austin, wanted dinner with a group
[00:08:30.200 --> 00:08:30.200]   I was here at Austin, wanted dinner with a group
[00:08:30.200 --> 00:08:30.200]   I was here at Austin, wanted dinner with a group
[00:08:30.200 --> 00:08:30.200]   I was here at Austin, wanted dinner with a group
[00:08:30.200 --> 00:08:30.200]   I was here at Austin, wanted dinner with a group
[00:08:30.200 --> 00:08:30.200]   I was here at Austin, wanted dinner with a group
[00:08:30.200 --> 00:08:30.200]   I was here at Austin, wanted dinner with a group
[00:08:30.200 --> 00:08:30.200]   I was here at Austin, wanted dinner with a group
[00:08:30.200 --> 00:08:30.200]   I was here at Austin, wanted dinner with a group
[00:08:30.200 --> 00:08:30.200]   I was here at Austin, wanted dinner with a group
[00:08:30.200 --> 00:08:30.200]   I was here at Austin, wanted dinner with a group
[00:08:30.200 --> 00:08:30.200]   I was here at Austin, wanted dinner with a group
[00:08:30.200 --> 00:08:30.200]   I was here at Austin, wanted dinner with a group
[00:08:30.200 --> 00:08:30.200]   I was here at Austin, wanted dinner with a group
[00:08:30.200 --> 00:09:00.220]   I was here at Austin, wanted dinner with a group
[00:09:00.220 --> 00:09:00.220]   I was here at Austin, wanted dinner with a group
[00:09:00.220 --> 00:09:00.220]   I was here at Austin, wanted dinner with a group
[00:09:00.220 --> 00:09:00.220]   I was here at Austin, wanted dinner with a group
[00:09:00.220 --> 00:09:00.220]   I was here at Austin, wanted dinner with a group
[00:09:00.220 --> 00:09:00.220]   I was here at Austin, wanted dinner with a group
[00:09:00.220 --> 00:09:00.220]   I was here at Austin, wanted dinner with a group
[00:09:00.220 --> 00:09:00.220]   I was here at Austin, wanted dinner with a group
[00:09:00.220 --> 00:09:00.220]   I was here at Austin, wanted dinner with a group
[00:09:00.220 --> 00:09:00.220]   I was here at Austin, wanted dinner with a group
[00:09:00.240 --> 00:09:30.240]   I was here at Austin, wanted dinner with a group
[00:09:30.240 --> 00:09:30.240]   I was here at Austin, wanted dinner with a group
[00:09:30.240 --> 00:09:30.240]   I was here at Austin, wanted dinner with a group
[00:09:30.240 --> 00:09:30.240]   I was here at Austin, wanted dinner with a group
[00:09:30.240 --> 00:09:30.240]   I was here at Austin, wanted dinner with a group
[00:09:30.240 --> 00:09:30.240]   I was here at Austin, wanted dinner with a group
[00:09:30.240 --> 00:09:30.240]   I was here at Austin, wanted dinner with a group
[00:09:30.240 --> 00:09:30.240]   I was here at Austin, wanted dinner with a group
[00:09:30.240 --> 00:09:30.240]   I was here at Austin, wanted dinner with a group
[00:09:30.240 --> 00:09:30.240]   I was here at Austin, wanted dinner with a group
[00:09:30.240 --> 00:09:30.240]   I was here at Austin, wanted dinner with a group
[00:09:30.240 --> 00:09:30.240]   I was here at Austin, wanted dinner with a group
[00:09:30.240 --> 00:09:30.240]   I was here at Austin, wanted dinner with a group
[00:09:30.240 --> 00:09:30.240]   I was here at Austin, wanted dinner with a group
[00:09:30.240 --> 00:09:30.240]   I was here at Austin, wanted dinner with a group
[00:09:30.240 --> 00:09:30.240]   I was here at Austin, wanted dinner with a group
[00:09:30.240 --> 00:10:00.260]   I was here at Austin, wanted dinner with a group
[00:10:00.260 --> 00:10:00.260]   I was here at Austin, wanted dinner with a group
[00:10:00.260 --> 00:10:00.260]   I was here at Austin, wanted dinner with a group
[00:10:00.260 --> 00:10:00.260]   I was here at Austin, wanted dinner with a group
[00:10:00.260 --> 00:10:00.260]   I was here at Austin, wanted dinner with a group
[00:10:00.260 --> 00:10:00.260]   I was here at Austin, wanted dinner with a group
[00:10:00.260 --> 00:10:00.260]   I was here at Austin, wanted dinner with a group
[00:10:00.260 --> 00:10:00.260]   I was here at Austin, wanted dinner with a group
[00:10:00.260 --> 00:10:00.260]   I was here at Austin, wanted dinner with a group
[00:10:00.260 --> 00:10:00.260]   I was here at Austin, wanted dinner with a group
[00:10:00.280 --> 00:10:30.280]   I was here at Austin, wanted dinner with a group
[00:10:30.280 --> 00:10:30.280]   I was here at Austin, wanted dinner with a group
[00:10:30.280 --> 00:10:30.280]   I was here at Austin, wanted dinner with a group
[00:10:30.280 --> 00:10:30.280]   I was here at Austin, wanted dinner with a group
[00:10:30.280 --> 00:10:30.280]   I was here at Austin, wanted dinner with a group
[00:10:30.280 --> 00:10:30.280]   I was here at Austin, wanted dinner with a group
[00:10:30.280 --> 00:10:30.280]   I was here at Austin, wanted dinner with a group
[00:10:30.280 --> 00:10:30.280]   I was here at Austin, wanted dinner with a group
[00:10:30.280 --> 00:10:30.280]   I was here at Austin, wanted dinner with a group
[00:10:30.280 --> 00:10:30.280]   I was here at Austin, wanted dinner with a group
[00:10:30.280 --> 00:10:30.280]   I was here at Austin, wanted dinner with a group
[00:10:30.280 --> 00:10:30.280]   I was here at Austin, wanted dinner with a group
[00:10:30.280 --> 00:10:30.280]   I was here at Austin, wanted dinner with a group
[00:10:30.280 --> 00:10:30.280]   I was here at Austin, wanted dinner with a group
[00:10:30.280 --> 00:10:30.280]   I was here at Austin, wanted dinner with a group
[00:10:30.280 --> 00:10:30.280]   I was here at Austin, wanted dinner with a group
[00:10:30.280 --> 00:11:00.300]   I was here at Austin, wanted dinner with a group
[00:11:00.300 --> 00:11:00.300]   I was here at Austin, wanted dinner with a group
[00:11:00.300 --> 00:11:00.300]   I was here at Austin, wanted dinner with a group
[00:11:00.300 --> 00:11:00.300]   I was here at Austin, wanted dinner with a group
[00:11:00.300 --> 00:11:00.300]   I was here at Austin, wanted dinner with a group
[00:11:00.300 --> 00:11:00.300]   I was here at Austin, wanted dinner with a group
[00:11:00.300 --> 00:11:00.300]   I was here at Austin, wanted dinner with a group
[00:11:00.300 --> 00:11:00.300]   I was here at Austin, wanted dinner with a group
[00:11:00.300 --> 00:11:00.300]   I was here at Austin, wanted dinner with a group
[00:11:00.300 --> 00:11:00.300]   I was here at Austin, wanted dinner with a group
[00:11:00.300 --> 00:11:00.300]   I was here at Austin, wanted dinner with a group
[00:11:00.320 --> 00:11:30.320]   I was here at Austin, wanted dinner with a group
[00:11:30.320 --> 00:11:30.320]   I was here at Austin, wanted dinner with a group
[00:11:30.320 --> 00:11:30.320]   I was here at Austin, wanted dinner with a group
[00:11:30.320 --> 00:11:30.320]   I was here at Austin, wanted dinner with a group
[00:11:30.320 --> 00:11:30.320]   I was here at Austin, wanted dinner with a group
[00:11:30.320 --> 00:11:30.320]   I was here at Austin, wanted dinner with a group
[00:11:30.320 --> 00:11:30.320]   I was here at Austin, wanted dinner with a group
[00:11:30.320 --> 00:11:30.320]   I was here at Austin, wanted dinner with a group
[00:11:30.320 --> 00:11:30.320]   I was here at Austin, wanted dinner with a group
[00:11:30.320 --> 00:11:30.320]   I was here at Austin, wanted dinner with a group
[00:11:30.320 --> 00:11:30.320]   I was here at Austin, wanted dinner with a group
[00:11:30.320 --> 00:11:30.320]   I was here at Austin, wanted dinner with a group
[00:11:30.320 --> 00:11:30.320]   I was here at Austin, wanted dinner with a group
[00:11:30.320 --> 00:11:30.320]   I was here at Austin, wanted dinner with a group
[00:11:30.320 --> 00:11:30.320]   I was here at Austin, wanted dinner with a group
[00:11:30.320 --> 00:11:30.320]   I was here at Austin, wanted dinner with a group
[00:11:30.320 --> 00:12:00.340]   I was here at Austin, wanted dinner with a group
[00:12:00.340 --> 00:12:00.340]   I was here at Austin, wanted dinner with a group
[00:12:00.340 --> 00:12:00.340]   I was here at Austin, wanted dinner with a group
[00:12:00.340 --> 00:12:00.340]   I was here at Austin, wanted dinner with a group
[00:12:00.340 --> 00:12:00.340]   I was here at Austin, wanted dinner with a group
[00:12:00.340 --> 00:12:00.340]   I was here at Austin, wanted dinner with a group
[00:12:00.340 --> 00:12:00.340]   I was here at Austin, wanted dinner with a group
[00:12:00.340 --> 00:12:00.340]   I was here at Austin, wanted dinner with a group
[00:12:00.340 --> 00:12:00.340]   I was here at Austin, wanted dinner with a group
[00:12:00.340 --> 00:12:00.340]   I was here at Austin, wanted dinner with a group
[00:12:00.360 --> 00:12:30.360]   I was here at Austin, wanted dinner with a group
[00:12:30.360 --> 00:12:30.360]   I was here at Austin, wanted dinner with a group
[00:12:30.360 --> 00:12:30.360]   I was here at Austin, wanted dinner with a group
[00:12:30.360 --> 00:12:30.360]   I was here at Austin, wanted dinner with a group
[00:12:30.360 --> 00:12:30.360]   I was here at Austin, wanted dinner with a group
[00:12:30.360 --> 00:12:30.360]   I was here at Austin, wanted dinner with a group
[00:12:30.360 --> 00:12:30.360]   I was here at Austin, wanted dinner with a group
[00:12:30.360 --> 00:12:30.360]   I was here at Austin, wanted dinner with a group
[00:12:30.360 --> 00:12:30.360]   I was here at Austin, wanted dinner with a group
[00:12:30.360 --> 00:12:30.360]   I was here at Austin, wanted dinner with a group
[00:12:30.360 --> 00:12:30.360]   I was here at Austin, wanted dinner with a group
[00:12:30.360 --> 00:12:30.360]   I was here at Austin, wanted dinner with a group
[00:12:30.360 --> 00:12:30.360]   I was here at Austin, wanted dinner with a group
[00:12:30.360 --> 00:12:30.360]   I was here at Austin, wanted dinner with a group
[00:12:30.360 --> 00:12:30.360]   I was here at Austin, wanted dinner with a group
[00:12:30.360 --> 00:12:30.360]   I was here at Austin, wanted dinner with a group
[00:12:30.360 --> 00:13:00.380]   I was here at Austin, wanted dinner with a group
[00:13:00.380 --> 00:13:00.380]   I was here at Austin, wanted dinner with a group
[00:13:00.380 --> 00:13:00.380]   I was here at Austin, wanted dinner with a group
[00:13:00.380 --> 00:13:00.380]   I was here at Austin, wanted dinner with a group
[00:13:00.380 --> 00:13:00.380]   I was here at Austin, wanted dinner with a group
[00:13:00.380 --> 00:13:00.380]   I was here at Austin, wanted dinner with a group
[00:13:00.380 --> 00:13:00.380]   I was here at Austin, wanted dinner with a group
[00:13:00.380 --> 00:13:00.380]   I was here at Austin, wanted dinner with a group
[00:13:00.380 --> 00:13:00.380]   I was here at Austin, wanted dinner with a group
[00:13:00.380 --> 00:13:00.380]   I was here at Austin, wanted dinner with a group
[00:13:00.400 --> 00:13:30.400]   I was here at Austin, wanted dinner with a group
[00:13:30.400 --> 00:13:30.400]   I was here at Austin, wanted dinner with a group
[00:13:30.400 --> 00:13:30.400]   I was here at Austin, wanted dinner with a group
[00:13:30.400 --> 00:13:30.400]   I was here at Austin, wanted dinner with a group
[00:13:30.400 --> 00:13:30.400]   I was here at Austin, wanted dinner with a group
[00:13:30.400 --> 00:13:30.400]   I was here at Austin, wanted dinner with a group
[00:13:30.400 --> 00:13:30.400]   I was here at Austin, wanted dinner with a group
[00:13:30.400 --> 00:13:30.400]   I was here at Austin, wanted dinner with a group
[00:13:30.400 --> 00:13:30.400]   I was here at Austin, wanted dinner with a group
[00:13:30.400 --> 00:13:30.400]   I was here at Austin, wanted dinner with a group
[00:13:30.400 --> 00:13:30.400]   I was here at Austin, wanted dinner with a group
[00:13:30.400 --> 00:13:30.400]   I was here at Austin, wanted dinner with a group
[00:13:30.400 --> 00:13:30.400]   I was here at Austin, wanted dinner with a group
[00:13:30.400 --> 00:13:30.400]   I was here at Austin, wanted dinner with a group
[00:13:30.400 --> 00:13:30.400]   I was here at Austin, wanted dinner with a group
[00:13:30.400 --> 00:13:30.400]   I was here at Austin, wanted dinner with a group
[00:13:30.400 --> 00:14:00.420]   I was here at Austin, wanted dinner with a group
[00:14:00.420 --> 00:14:00.420]   I was here at Austin, wanted dinner with a group
[00:14:00.420 --> 00:14:00.420]   I was here at Austin, wanted dinner with a group
[00:14:00.420 --> 00:14:00.420]   I was here at Austin, wanted dinner with a group
[00:14:00.420 --> 00:14:00.420]   I was here at Austin, wanted dinner with a group
[00:14:00.420 --> 00:14:00.420]   I was here at Austin, wanted dinner with a group
[00:14:00.420 --> 00:14:00.420]   I was here at Austin, wanted dinner with a group
[00:14:00.420 --> 00:14:00.420]   I was here at Austin, wanted dinner with a group
[00:14:00.420 --> 00:14:00.420]   I was here at Austin, wanted dinner with a group
[00:14:00.420 --> 00:14:00.420]   I was here at Austin, wanted dinner with a group
[00:14:00.420 --> 00:14:00.420]   I was here at Austin, wanted dinner with a group
[00:14:00.420 --> 00:14:00.420]   I was here at Austin, wanted dinner with a group
[00:14:00.440 --> 00:14:30.440]   I was here at Austin, wanted dinner with a group
[00:14:30.440 --> 00:14:30.440]   I was here at Austin, wanted dinner with a group
[00:14:30.440 --> 00:14:30.440]   I was here at Austin, wanted dinner with a group
[00:14:30.440 --> 00:14:30.440]   I was here at Austin, wanted dinner with a group
[00:14:30.440 --> 00:14:30.440]   I was here at Austin, wanted dinner with a group
[00:14:30.440 --> 00:14:30.440]   I was here at Austin, wanted dinner with a group
[00:14:30.440 --> 00:14:30.440]   I was here at Austin, wanted dinner with a group
[00:14:30.440 --> 00:14:30.440]   I was here at Austin, wanted dinner with a group
[00:14:30.440 --> 00:14:30.440]   I was here at Austin, wanted dinner with a group
[00:14:30.440 --> 00:14:30.440]   I was here at Austin, wanted dinner with a group
[00:14:30.440 --> 00:14:30.440]   I was here at Austin, wanted dinner with a group
[00:14:30.440 --> 00:14:30.440]   I was here at Austin, wanted dinner with a group
[00:14:30.440 --> 00:14:30.440]   I was here at Austin, wanted dinner with a group
[00:14:30.440 --> 00:14:30.440]   I was here at Austin, wanted dinner with a group
[00:14:30.440 --> 00:14:30.440]   I was here at Austin, wanted dinner with a group
[00:14:30.440 --> 00:14:30.440]   I was here at Austin, wanted dinner with a group
[00:14:30.440 --> 00:15:00.460]   I was here at Austin, wanted dinner with a group
[00:15:00.460 --> 00:15:00.460]   I was here at Austin, wanted dinner with a group
[00:15:00.460 --> 00:15:00.460]   I was here at Austin, wanted dinner with a group
[00:15:00.460 --> 00:15:00.460]   I was here at Austin, wanted dinner with a group
[00:15:00.460 --> 00:15:00.460]   I was here at Austin, wanted dinner with a group
[00:15:00.460 --> 00:15:00.460]   I was here at Austin, wanted dinner with a group
[00:15:00.460 --> 00:15:00.460]   I was here at Austin, wanted dinner with a group
[00:15:00.460 --> 00:15:00.460]   I was here at Austin, wanted dinner with a group
[00:15:00.460 --> 00:15:00.460]   I was here at Austin, wanted dinner with a group
[00:15:00.460 --> 00:15:00.460]   I was here at Austin, wanted dinner with a group
[00:15:00.460 --> 00:15:00.460]   I was here at Austin, wanted dinner with a group
[00:15:00.460 --> 00:15:00.460]   I was here at Austin, wanted dinner with a group
[00:15:00.480 --> 00:15:30.480]   I was here at Austin, wanted dinner with a group
[00:15:30.480 --> 00:15:30.480]   I was here at Austin, wanted dinner with a group
[00:15:30.480 --> 00:15:30.480]   I was here at Austin, wanted dinner with a group
[00:15:30.480 --> 00:15:30.480]   I was here at Austin, wanted dinner with a group
[00:15:30.480 --> 00:15:30.480]   I was here at Austin, wanted dinner with a group
[00:15:30.480 --> 00:15:30.480]   I was here at Austin, wanted dinner with a group
[00:15:30.480 --> 00:15:30.480]   I was here at Austin, wanted dinner with a group
[00:15:30.480 --> 00:15:30.480]   I was here at Austin, wanted dinner with a group
[00:15:30.480 --> 00:15:30.480]   I was here at Austin, wanted dinner with a group
[00:15:30.480 --> 00:15:30.480]   I was here at Austin, wanted dinner with a group
[00:15:30.480 --> 00:15:30.480]   I was here at Austin, wanted dinner with a group
[00:15:30.480 --> 00:15:30.480]   I was here at Austin, wanted dinner with a group
[00:15:30.480 --> 00:15:30.480]   I was here at Austin, wanted dinner with a group
[00:15:30.480 --> 00:15:30.480]   I was here at Austin, wanted dinner with a group
[00:15:30.480 --> 00:15:30.480]   I was here at Austin, wanted dinner with a group
[00:15:30.480 --> 00:15:30.480]   I was here at Austin, wanted dinner with a group
[00:15:30.480 --> 00:16:00.500]   I was here at Austin, wanted dinner with a group
[00:16:00.500 --> 00:16:00.500]   I was here at Austin, wanted dinner with a group
[00:16:00.500 --> 00:16:00.500]   I was here at Austin, wanted dinner with a group
