
[00:00:00.000 --> 00:00:14.000]   [ Silence ]
[00:05:08.160 --> 00:05:10.680]   Most of them are 150, 200 words.
[00:05:10.680 --> 00:05:12.520]   This is almost 500.
[00:05:12.520 --> 00:05:14.920]   And when I got back to the office yesterday,
[00:05:14.920 --> 00:05:16.240]   I think I was there sometime--
[00:05:16.240 --> 00:05:18.040]   my yesterday was quite a--
[00:05:18.040 --> 00:05:19.520]   I got back home from New York.
[00:05:19.520 --> 00:05:21.440]   You can probably see that safely.
[00:05:21.440 --> 00:05:24.520]   But they're going to publish it tomorrow.
[00:05:24.520 --> 00:05:25.920]   Or they say they are.
[00:05:25.920 --> 00:05:28.040]   [laughter]
[00:05:28.040 --> 00:05:29.040]   Count on nothing.
[00:05:29.040 --> 00:05:31.240]   I mean, this is well-intentioned.
[00:05:31.240 --> 00:05:34.120]   Funny things happen on the way to the--
[00:05:34.120 --> 00:05:37.120]   getting on to the journal op-ed page.
[00:05:37.120 --> 00:05:39.040]   And so we'll see if they publish it.
[00:05:39.040 --> 00:05:40.320]   But that's just a clue.
[00:05:40.320 --> 00:05:44.040]   I'll put it on the Global Heads website on Monday,
[00:05:44.040 --> 00:05:48.040]   because this weekend, I'm not going to work.
[00:05:48.040 --> 00:05:50.040]   [laughter]
[00:05:50.040 --> 00:05:55.040]   [applause]
[00:05:55.040 --> 00:05:56.040]   Two more things to say.
[00:05:56.040 --> 00:05:57.840]   I want us to thank Kevin for his loyalty
[00:05:57.840 --> 00:05:59.440]   over all those years.
[00:05:59.440 --> 00:06:00.440]   Couldn't have done it better, Kev.
[00:06:00.440 --> 00:06:01.440]   I see you back there.
[00:06:01.440 --> 00:06:02.440]   I know you're hiding.
[00:06:02.440 --> 00:06:07.440]   [applause]
[00:06:07.440 --> 00:06:09.440]   More than worthy, since you're dead.
[00:06:09.440 --> 00:06:10.440]   To Kevin.
[00:06:10.440 --> 00:06:14.040]   And we have kind of a good time around the office.
[00:06:14.040 --> 00:06:16.040]   I come in-- as I come in, you know,
[00:06:16.040 --> 00:06:18.040]   it's like the teacher coming into the classroom.
[00:06:18.040 --> 00:06:21.040]   And there are Mike and Sarah and Emily chatting up a storm
[00:06:21.040 --> 00:06:22.040]   and laughing.
[00:06:22.040 --> 00:06:24.040]   I come in, silence.
[00:06:24.040 --> 00:06:26.040]   [laughter]
[00:06:26.040 --> 00:06:27.040]   Here he comes.
[00:06:27.040 --> 00:06:29.040]   [laughter]
[00:06:29.040 --> 00:06:32.040]   And finally, if I can just say something
[00:06:32.040 --> 00:06:35.040]   that struck me about Bill Bernstein's remarks yesterday.
[00:06:35.040 --> 00:06:40.040]   And that is that I love some of the Jewish language expressions.
[00:06:40.040 --> 00:06:42.040]   I have a lot of very good friends, many from New York,
[00:06:42.040 --> 00:06:45.040]   who use these expressions all the time.
[00:06:45.040 --> 00:06:49.040]   So I talk about, like, the self-evident Jewish expression.
[00:06:49.040 --> 00:06:51.040]   Everybody-- you don't have to be told what it means
[00:06:51.040 --> 00:06:53.040]   when someone says, "He's a real schmuck."
[00:06:53.040 --> 00:06:55.040]   [laughter]
[00:06:55.040 --> 00:06:56.040]   Right?
[00:06:56.040 --> 00:06:58.040]   The first time I was called a mensch,
[00:06:58.040 --> 00:07:00.040]   which Bill called me the other day,
[00:07:00.040 --> 00:07:02.040]   I had no idea what he was talking about.
[00:07:02.040 --> 00:07:04.040]   [laughter]
[00:07:04.040 --> 00:07:07.040]   He said, "It means something better than a schmuck."
[00:07:07.040 --> 00:07:11.040]   [laughter]
[00:07:11.040 --> 00:07:13.040]   So thank you all.
[00:07:13.040 --> 00:07:15.040]   And that's probably the last you'll hear from me,
[00:07:15.040 --> 00:07:17.040]   so have a safe trip back.
[00:07:17.040 --> 00:07:20.040]   And I'll be on my way before the next panel takes place.
[00:07:20.040 --> 00:07:21.040]   So thank you again.
[00:07:21.040 --> 00:07:29.040]   [applause]
[00:07:29.040 --> 00:07:31.040]   One of the things we like to do,
[00:07:31.040 --> 00:07:32.040]   just in case you don't know it,
[00:07:32.040 --> 00:07:34.040]   is the panel members pay their own way,
[00:07:34.040 --> 00:07:36.040]   just like everybody else does.
[00:07:36.040 --> 00:07:39.040]   So one of the things we do, it's a non-commercial event,
[00:07:39.040 --> 00:07:42.040]   but we still let them plug the latest thing that they're doing.
[00:07:42.040 --> 00:07:44.040]   So I'd like to give everybody a chance
[00:07:44.040 --> 00:07:49.040]   to let us and the audience know what you're up to.
[00:07:49.040 --> 00:07:51.040]   Do you have a new book coming out?
[00:07:51.040 --> 00:07:53.040]   Have you done any papers?
[00:07:53.040 --> 00:07:55.040]   And Gus, I'm sure we'd love to hear what you're doing
[00:07:55.040 --> 00:07:57.040]   since you retired
[00:07:57.040 --> 00:08:00.040]   and how retirement life is agreeing with you.
[00:08:00.040 --> 00:08:01.040]   Can we go down the line?
[00:08:01.040 --> 00:08:04.040]   Rick, I heard you got a new book out,
[00:08:04.040 --> 00:08:07.040]   and I heard you recently did a white paper.
[00:08:07.040 --> 00:08:12.040]   So do you want to tell the people about those items?
[00:08:12.040 --> 00:08:13.040]   Sure.
[00:08:13.040 --> 00:08:14.040]   I published a white paper,
[00:08:14.040 --> 00:08:15.040]   if those of you who are interested,
[00:08:15.040 --> 00:08:18.040]   on my website, rickferry.com.
[00:08:18.040 --> 00:08:21.040]   And the white paper had to do with
[00:08:21.040 --> 00:08:25.040]   a case for index fund portfolios.
[00:08:25.040 --> 00:08:29.040]   We always look at index funds in each category of investing,
[00:08:29.040 --> 00:08:31.040]   and we look at the performance of an index fund,
[00:08:31.040 --> 00:08:33.040]   let's say an S&P 500,
[00:08:33.040 --> 00:08:37.040]   relative to large cap actively managed funds.
[00:08:37.040 --> 00:08:41.040]   We look at the performance of the Vanguard total bond market
[00:08:41.040 --> 00:08:44.040]   in relation to actively managed bond funds,
[00:08:44.040 --> 00:08:46.040]   and so forth in each category.
[00:08:46.040 --> 00:08:49.040]   And Vanguard does an excellent job with a white paper every year
[00:08:49.040 --> 00:08:51.040]   called "A Case for Index Funds"
[00:08:51.040 --> 00:08:53.040]   or "The Case for Index Funds,"
[00:08:53.040 --> 00:08:54.040]   where they look at each of these categories.
[00:08:54.040 --> 00:08:56.040]   But I thought it would be interesting
[00:08:56.040 --> 00:09:00.040]   to take multiple index funds from multiple categories
[00:09:00.040 --> 00:09:03.040]   and put them together in a portfolio,
[00:09:03.040 --> 00:09:06.040]   and then measure the performance of a portfolio of index funds
[00:09:06.040 --> 00:09:08.040]   relative to a portfolio
[00:09:08.040 --> 00:09:11.040]   or 5,000 randomly selected portfolios
[00:09:11.040 --> 00:09:14.040]   of actively managed funds in the same categories.
[00:09:14.040 --> 00:09:17.040]   So this study looks at the dynamics
[00:09:17.040 --> 00:09:21.040]   of how putting multiple index funds in a portfolio
[00:09:21.040 --> 00:09:25.040]   act relative to the individual asset classes
[00:09:25.040 --> 00:09:28.040]   and also how well the portfolio performs
[00:09:28.040 --> 00:09:31.040]   relative to a portfolio of randomly selected active funds.
[00:09:31.040 --> 00:09:33.040]   And some interesting things take place,
[00:09:33.040 --> 00:09:36.040]   which I can share later if you want or go through it now,
[00:09:36.040 --> 00:09:38.040]   but basically you get a--
[00:09:38.040 --> 00:09:41.040]   we call it a "portfolio multiplier."
[00:09:41.040 --> 00:09:45.040]   Things happen in a portfolio when you have all index funds
[00:09:45.040 --> 00:09:48.040]   that actually the probability of the portfolio
[00:09:48.040 --> 00:09:50.040]   outperforming actively managed funds
[00:09:50.040 --> 00:09:53.040]   actually increases to a fairly significant level
[00:09:53.040 --> 00:09:55.040]   depending on how many asset classes you put in
[00:09:55.040 --> 00:09:59.040]   over and above what each of the individual asset classes show.
[00:09:59.040 --> 00:10:00.040]   So it's kind of interesting work.
[00:10:00.040 --> 00:10:02.040]   I wanted to take indexing--
[00:10:02.040 --> 00:10:04.040]   at least the study of indexing--
[00:10:04.040 --> 00:10:05.040]   to a portfolio level,
[00:10:05.040 --> 00:10:07.040]   which has not really been looked at yet.
[00:10:07.040 --> 00:10:11.040]   In addition to that, right now I'm writing a book.
[00:10:11.040 --> 00:10:14.040]   And I started it last year,
[00:10:14.040 --> 00:10:16.040]   if some of you who are here remember.
[00:10:16.040 --> 00:10:19.040]   But it never materialized
[00:10:19.040 --> 00:10:21.040]   because I was having difficulty writing it,
[00:10:21.040 --> 00:10:22.040]   so I changed the name of the book
[00:10:22.040 --> 00:10:24.040]   and approached it from a different way.
[00:10:24.040 --> 00:10:25.040]   And you're all going to recognize this,
[00:10:25.040 --> 00:10:27.040]   but the title of the book is called
[00:10:27.040 --> 00:10:29.040]   "The Three-Fund Portfolio."
[00:10:29.040 --> 00:10:31.040]   [laughter]
[00:10:31.040 --> 00:10:33.040]   And what it is, though,
[00:10:33.040 --> 00:10:37.040]   it begins with what I'll briefly discuss here for a second,
[00:10:37.040 --> 00:10:41.040]   is we all have the same philosophy as Bogleheads.
[00:10:41.040 --> 00:10:44.040]   Everyone here in this room has the same philosophy.
[00:10:44.040 --> 00:10:47.040]   However, there are maybe 200 people in this room.
[00:10:47.040 --> 00:10:51.040]   I guarantee you none of us have the same portfolio.
[00:10:51.040 --> 00:10:53.040]   We all have different strategies.
[00:10:53.040 --> 00:10:55.040]   And your strategy is right for you.
[00:10:55.040 --> 00:10:57.040]   My strategy is right for me.
[00:10:57.040 --> 00:10:59.040]   I'm using the three-fund portfolio
[00:10:59.040 --> 00:11:02.040]   as the beginning strategy for everybody in the book.
[00:11:02.040 --> 00:11:04.040]   And the final part of being a successful passive investor
[00:11:04.040 --> 00:11:07.040]   is having the discipline to follow the strategy.
[00:11:07.040 --> 00:11:09.040]   And the only way you're going to have the discipline
[00:11:09.040 --> 00:11:10.040]   to follow the strategy
[00:11:10.040 --> 00:11:12.040]   is if you have the Boglehead philosophy.
[00:11:12.040 --> 00:11:14.040]   So that's what's going to be in the book.
[00:11:14.040 --> 00:11:16.040]   That's what I'm working on.
[00:11:16.040 --> 00:11:18.040]   [laughter]
[00:11:18.040 --> 00:11:21.040]   I would say retirement doesn't feel like retirement so far.
[00:11:21.040 --> 00:11:23.040]   [laughter]
[00:11:23.040 --> 00:11:25.040]   Not what I thought retirement was.
[00:11:25.040 --> 00:11:27.040]   But actually, I think I'm just moving on
[00:11:27.040 --> 00:11:29.040]   to doing something new for a change.
[00:11:29.040 --> 00:11:32.040]   At the end of last year, the very last thing I did at Viagra
[00:11:32.040 --> 00:11:36.040]   was to convince the firm to change equity benchmarks
[00:11:36.040 --> 00:11:38.040]   and then took off out the door and said,
[00:11:38.040 --> 00:11:40.040]   "You know, good luck implementing this."
[00:11:40.040 --> 00:11:42.040]   [laughter]
[00:11:42.040 --> 00:11:46.040]   So actually, I was retained to consult on that implementation process
[00:11:46.040 --> 00:11:49.040]   during the first five months of this year.
[00:11:49.040 --> 00:11:53.040]   I am continuing to do consulting for Vanguard,
[00:11:53.040 --> 00:11:58.040]   primarily speaking to clients and at symposiums.
[00:11:58.040 --> 00:12:01.040]   In addition to that, I'm talking with the university
[00:12:01.040 --> 00:12:05.040]   and will be picking up a role at a university
[00:12:05.040 --> 00:12:07.040]   that has not yet announced it
[00:12:07.040 --> 00:12:10.040]   probably about March or April of next year.
[00:12:10.040 --> 00:12:13.040]   So I've been in 68 airplanes this year,
[00:12:13.040 --> 00:12:15.040]   so I've been fairly busy.
[00:12:15.040 --> 00:12:17.040]   [laughter]
[00:12:17.040 --> 00:12:20.040]   I've pretty much achieved my life's goal,
[00:12:20.040 --> 00:12:23.040]   which is to be able to stay in my bathroom until 2 p.m.
[00:12:23.040 --> 00:12:27.040]   [laughter]
[00:12:27.040 --> 00:12:30.040]   and play with my grandchildren perfectly
[00:12:30.040 --> 00:12:32.040]   after I get out of my bathroom.
[00:12:32.040 --> 00:12:37.040]   And Jack gave me the opportunity to plug my e-book,
[00:12:37.040 --> 00:12:39.040]   so I'm not going to do that.
[00:12:39.040 --> 00:12:42.040]   The e-book that I've written and I'm proudest of
[00:12:42.040 --> 00:12:45.040]   is an article that was in FAJ called "The Paradox of Wealth."
[00:12:45.040 --> 00:12:47.040]   The bad news is you can't get it
[00:12:47.040 --> 00:12:49.040]   unless you have a subscription to FAJ,
[00:12:49.040 --> 00:12:52.040]   but the good news is there's a much better working version
[00:12:52.040 --> 00:12:54.040]   of it available, "The Paradox of Wealth,"
[00:12:54.040 --> 00:12:57.040]   on Larry Siegel's website, LarrySiegel.org.
[00:12:57.040 --> 00:12:59.040]   Just Google it. You'll find it. It's easy enough.
[00:12:59.040 --> 00:13:03.040]   It's a much better version because FAJ cut the heck out of these.
[00:13:03.040 --> 00:13:05.040]   It's called "The Paradox of Wealth,"
[00:13:05.040 --> 00:13:09.040]   and it's on Larry Siegel's website, LarrySiegel.org, I think.
[00:13:09.040 --> 00:13:11.040]   It's easy to find. If you can't find it,
[00:13:11.040 --> 00:13:15.040]   just e-mail me on wbinnovationprojector.com.
[00:13:15.040 --> 00:13:20.040]   And I'm casting around for new things to write about.
[00:13:20.040 --> 00:13:24.040]   I haven't really settled on anything yet.
[00:13:24.040 --> 00:13:26.040]   I may do another finance book.
[00:13:26.040 --> 00:13:28.040]   I may do another big-picture history book.
[00:13:28.040 --> 00:13:32.040]   I have no idea, but I'm sure having fun figuring it out.
[00:13:33.040 --> 00:13:39.040]   Like Bill, I've met my goal of being on a panel with these guys.
[00:13:39.040 --> 00:13:43.040]   I'll pay $500 for a picture, and we'll take our picture.
[00:13:43.040 --> 00:13:46.040]   Aside from my normal writing in "CBS Money Watch"
[00:13:46.040 --> 00:13:48.040]   and "Financial Planning Magazine"
[00:13:48.040 --> 00:13:51.040]   and "The Wall Street Journal Total Return Blog,"
[00:13:51.040 --> 00:13:54.040]   I've written a couple of important pieces coming out early next year
[00:13:54.040 --> 00:13:56.040]   in "AARP Magazine."
[00:13:56.040 --> 00:14:00.040]   And the one I'm most proud of really has little to do with investing.
[00:14:00.040 --> 00:14:03.040]   It's called "When the Numbers Stop Making Sense."
[00:14:03.040 --> 00:14:07.040]   How we protect ourselves later on in life
[00:14:07.040 --> 00:14:14.040]   if we no longer have our full thinking capacity,
[00:14:14.040 --> 00:14:18.040]   cognitive abilities, and can be tricked by other people.
[00:14:18.040 --> 00:14:20.040]   So certain things that we can do.
[00:14:20.040 --> 00:14:22.040]   And it ends up--it may be inevitable.
[00:14:22.040 --> 00:14:27.040]   Even the mind games, you know, Sudoku, crossword puzzles,
[00:14:27.040 --> 00:14:31.040]   may not slow things down.
[00:14:31.040 --> 00:14:34.040]   All right, well, we'll start with the Q&A,
[00:14:34.040 --> 00:14:37.040]   and Jack, it's good that you're here.
[00:14:37.040 --> 00:14:43.040]   Probably the most requested--the number one, the most questions I got
[00:14:43.040 --> 00:14:48.040]   was on a subject that's very controversial on the board of its own,
[00:14:48.040 --> 00:14:53.040]   and that's treating Social Security as a bond.
[00:14:53.040 --> 00:14:58.040]   So I'd like to--Jack has already touched on that yesterday,
[00:14:58.040 --> 00:15:05.040]   so I would like to get the panelists--the members to share their thoughts
[00:15:05.040 --> 00:15:09.040]   on treating Social Security as a bond
[00:15:09.040 --> 00:15:15.040]   and increasing their equity allocation as a result.
[00:15:15.040 --> 00:15:18.040]   Can we start with Alan, please?
[00:15:18.040 --> 00:15:22.040]   I think the mathematical answer is that Social Security is a bond,
[00:15:22.040 --> 00:15:24.040]   but we're not mathematical beings.
[00:15:24.040 --> 00:15:26.040]   We're emotional beings.
[00:15:26.040 --> 00:15:30.040]   So therefore, what I tend to do is look at the cash flow for a client
[00:15:30.040 --> 00:15:34.040]   that they need above and beyond Social Security
[00:15:34.040 --> 00:15:39.040]   and then design the portfolio that not only matches their willingness to take risk,
[00:15:39.040 --> 00:15:42.040]   but even more important, their need to take risk.
[00:15:42.040 --> 00:15:45.040]   Since we can't take the money with us when they leave,
[00:15:45.040 --> 00:15:47.040]   we may not even be on the efficient frontier.
[00:15:47.040 --> 00:15:54.040]   We may be on what minimizes the probability of outliving their money.
[00:15:54.040 --> 00:15:57.040]   You can do one of two things.
[00:15:57.040 --> 00:16:03.040]   You can either capitalize the Social Security as a bond,
[00:16:03.040 --> 00:16:08.040]   but then you can't include your Social Security payments in--
[00:16:08.040 --> 00:16:12.040]   or you have to include your--so you have to include--
[00:16:12.040 --> 00:16:15.040]   you can't include the stream in your living expenses.
[00:16:15.040 --> 00:16:19.040]   So if you're making $30,000 a year from Social Security
[00:16:19.040 --> 00:16:22.040]   and you need $70,000 a year to live,
[00:16:22.040 --> 00:16:28.040]   you cannot say, "I only need $40,000 a year," and capitalize it.
[00:16:28.040 --> 00:16:30.040]   You have to do one or the other.
[00:16:30.040 --> 00:16:32.040]   You either have to say, "I can capitalize it,"
[00:16:32.040 --> 00:16:34.040]   and then you have $70,000 a year in living expenses,
[00:16:34.040 --> 00:16:38.040]   or you can say, "I have $40,000 a year of residual living expenses
[00:16:38.040 --> 00:16:40.040]   after the Social Security comes in,"
[00:16:40.040 --> 00:16:43.040]   but then you can't capitalize the Social Security.
[00:16:43.040 --> 00:16:46.040]   One or the other can't include that spending.
[00:16:46.040 --> 00:16:50.040]   So I guess this presumes we're going to be able to collect Social Security.
[00:16:50.040 --> 00:16:53.040]   [laughter]
[00:16:53.040 --> 00:16:56.040]   You know, it's very much like a defined benefit plan,
[00:16:56.040 --> 00:17:00.040]   and I think Bill and Alan covered it.
[00:17:00.040 --> 00:17:07.040]   It's very similar to someone who receives deferred compensation,
[00:17:07.040 --> 00:17:12.040]   and I think with deferred comp, you need to figure out how that's invested
[00:17:12.040 --> 00:17:13.040]   and invest around it.
[00:17:13.040 --> 00:17:22.040]   So I think including it in your portfolio is the appropriate way to think about it.
[00:17:22.040 --> 00:17:28.040]   Social Security I treat as though you're--as pay.
[00:17:28.040 --> 00:17:30.040]   Just like a pension, it's pay.
[00:17:30.040 --> 00:17:35.040]   It doesn't really have a net present value because you can't sell it.
[00:17:35.040 --> 00:17:36.040]   You can't cash it in.
[00:17:36.040 --> 00:17:38.040]   You can't go to the Social Security office and say,
[00:17:38.040 --> 00:17:41.040]   "Well, the net present value of my Social Security is $300,000.
[00:17:41.040 --> 00:17:44.040]   Give me a check."
[00:17:44.040 --> 00:17:48.040]   It is like getting paid without working.
[00:17:48.040 --> 00:17:51.040]   When you die, it goes away.
[00:17:51.040 --> 00:17:55.040]   Your spouse doesn't get it.
[00:17:55.040 --> 00:17:58.040]   With Social Security, there are some partial payments.
[00:17:58.040 --> 00:18:01.040]   So I don't treat it as a bond.
[00:18:01.040 --> 00:18:04.040]   I look at it the way Bill described it actually a couple of years ago,
[00:18:04.040 --> 00:18:06.040]   and Alan described it a little bit earlier.
[00:18:06.040 --> 00:18:10.040]   You look at it as pay, and anything above that that you need to pay your expenses
[00:18:10.040 --> 00:18:12.040]   has to come from your portfolio,
[00:18:12.040 --> 00:18:16.040]   and then you do an asset allocation on your portfolio to give you that extra income.
[00:18:16.040 --> 00:18:20.040]   So that's the way I look at it.
[00:18:20.040 --> 00:18:22.040]   Thank you.
[00:18:22.040 --> 00:18:27.040]   We have a question from Lady Geek for Bill Barnstein and Rick Ferry.
[00:18:27.040 --> 00:18:30.040]   Although the risk of bonds and stocks are very different,
[00:18:30.040 --> 00:18:37.040]   investors sometimes associate a high-yield bond with an equivalent equity portfolio.
[00:18:37.040 --> 00:18:41.040]   What is the role of high-yield bonds in a portfolio?
[00:18:41.040 --> 00:18:45.040]   A brief introduction for new investors would be appreciated.
[00:18:45.040 --> 00:18:48.040]   That was from Bill Barnstein and Rick Ferry.
[00:18:48.040 --> 00:18:50.040]   Go ahead, Bill.
[00:18:50.040 --> 00:18:54.040]   I will, yes.
[00:18:54.040 --> 00:19:02.040]   A high-yield bond you can think of as being a mix of mostly high-quality bonds
[00:19:02.040 --> 00:19:06.040]   and a little bit of stock.
[00:19:06.040 --> 00:19:11.040]   So the only thing I would say about high-yield bonds is don't count on it
[00:19:11.040 --> 00:19:18.040]   when the excrement hits the ventilating system because you're going to have to take a haircut.
[00:19:18.040 --> 00:19:24.040]   That's why I really, except in very exceptional circumstances, don't like high-yield bonds
[00:19:24.040 --> 00:19:28.040]   because I believe that they're risky assets, they're safe assets.
[00:19:28.040 --> 00:19:30.040]   Don't confuse the two.
[00:19:30.040 --> 00:19:32.040]   The high-yield bond is halfway in between.
[00:19:32.040 --> 00:19:37.040]   There's a correlation with that, and I just find it very aesthetically displeasing for that reason.
[00:19:37.040 --> 00:19:42.040]   If you want to own high-yield bonds, own T-bills, own a little bit of stocks.
[00:19:42.040 --> 00:19:46.040]   You've got the same thing, plus you'll sleep better at night.
[00:19:46.040 --> 00:19:49.040]   I disagree.
