
[00:00:00.000 --> 00:00:14.120]   Welcome to Boogleheads on Investing, episode number 73.
[00:05:50.380 --> 00:06:02.380]   John Guyton, the creator of the guardrails approach to retirement spending, will be there. John Reckenthaler, my colleague and co-collaborator on some research we do at Morningstar on safe spending rates.
[00:06:03.180 --> 00:06:21.180]   That's an interesting emphasis, as is the fact that we've got some of the leading lights of the FIRE movement at this conference. So, I mentioned Karsten. Paula Pant will also be speaking. Paula has her own podcast, Call Afford Anything. I think she's one of the leading lights in the FIRE space.
[00:06:21.180 --> 00:06:29.180]   I think she's one of the leading lights in the FIRE space, if people are interested in the financial independence movement. We've got some terrific speakers for them.
[00:06:29.180 --> 00:06:43.180]   Well, I'm looking forward to it. Now we're going to talk about you. Congratulations on writing and publishing. It's soon to be released on September 17th.
[00:06:43.180 --> 00:06:49.180]   How to Retire: 20 Lessons for a Happy, Successful and Wealthy Retirement
[00:06:49.180 --> 00:06:53.180]   I just want to read what Michael Kitsis wrote about your book.
[00:06:53.180 --> 00:07:05.180]   In Christine Benz, How to Retire: Prospective retirees gain valuable perspective on why the day-to-day experience of life in retirement can be more challenging than anticipated.
[00:07:05.180 --> 00:07:14.180]   And how they need to prepare, both financially and beyond their finances, to ensure they actually find fulfillment in their decades to come.
[00:07:14.180 --> 00:07:19.180]   I thought that was a good introduction into really what this book is about. It's much more than about money.
[00:07:19.180 --> 00:07:29.180]   That was definitely the goal of the book, Rick, because the more I've looked at retirement planning, the more I've concluded that it's not a math problem.
[00:07:29.180 --> 00:07:35.180]   Definitely, you need to look at the numbers. You need to make sure that you have the resources to retire on.
[00:07:35.180 --> 00:07:43.180]   But a lot of successful retirement, in my view, is about some of the softer aspects of life in retirement.
[00:07:43.180 --> 00:07:55.180]   So what is going to give you purpose later in life? Where will you go for your relationships? If you had important relationships through your work, how will you replace them?
[00:07:55.180 --> 00:08:03.180]   All of those considerations, how will you take care of your health? Those things, I think, are even more impactful.
[00:08:03.180 --> 00:08:09.180]   A lot of people who write these books, they just go to 20 different people and they say, hey, send me a chapter.
[00:08:09.180 --> 00:08:17.180]   And the 20 different people write a chapter and they send it to you and you compile it together and you publish it and you call yourself the author.
[00:08:17.180 --> 00:08:22.180]   When really, maybe you wrote the forward, but you really didn't really write the book.
[00:08:22.180 --> 00:08:34.180]   Not here, though. You spent a lot of time interviewing one on one each of these 20 luminaries to get to the questions that you wanted to have answered.
[00:08:34.180 --> 00:08:39.180]   Let's talk about that. Why did you decide to go that direction rather than just having people write a chapter?
[00:08:39.180 --> 00:08:45.180]   Yeah, I don't think it was ever on my radar, actually, Rick, to have people write the chapters.
[00:08:45.180 --> 00:08:57.180]   Initially, the genesis for this concept came from Harriman House editor Craig Pierce, who I had been talking to for a few years about some type of a book project.
[00:08:57.180 --> 00:09:05.180]   I thought it would be about retirement bucketed portfolios, which is a topic I write a lot about on Morningstar dot com.
[00:09:05.180 --> 00:09:12.180]   And I just never could find the time. And so Craig said, well, you know, you do these interviews for your podcast.
[00:09:12.180 --> 00:09:18.180]   I work on a Morningstar podcast called The Long View. He said, you know, you do these interviews, you have some good contacts.
[00:09:18.180 --> 00:09:25.180]   What about a book that was structured in this way where it's a conversation with you and some retirement thought leader?
[00:09:25.180 --> 00:09:32.180]   He was saying, would that be something that you could squeeze in? And I thought, well, maybe that seems like a little easier lift than writing a big book from scratch.
[00:09:32.180 --> 00:09:43.180]   In hindsight, I had many moments where I was working on this project where I was just like wishing that I was just writing my own book because it would have been easier in a lot of ways.
[00:09:43.180 --> 00:09:58.180]   But the thing I love about this format is that, well, a I think it brings humility into the whole discussion, because I do think it's important to admit that you don't have all the answers.
[00:09:58.180 --> 00:10:09.180]   Right. You need to look to other people. I'm sure that's why you like doing your podcast to Rick, that you get to tap into people who are absolute experts in their given area.
[00:10:09.180 --> 00:10:13.180]   So I love that there's just a humility about the project.
[00:10:13.180 --> 00:10:21.180]   And I also just loved that I could spend time with these people talking deeply about something that they know super well.
[00:10:21.180 --> 00:10:25.180]   So it was a fun project, a little bit of a logistical hassle.
[00:10:25.180 --> 00:10:29.180]   But now that it's done, I'm very happy with it. And I hope that people will find it useful.
[00:10:29.180 --> 00:10:30.180]   I think they will.
[00:10:30.180 --> 00:10:34.180]   I found it just excellent the way you did it. And I really got a lot out of it.
[00:10:34.180 --> 00:10:37.180]   But I want to start right at the beginning. We're going to go through this book.
[00:10:37.180 --> 00:10:42.180]   Now, there are 20 different interviews, so we're going to spend about two minutes on each each interview.
[00:10:42.180 --> 00:10:48.180]   So it's going to be quick. But before you even got into the interviews, you had Jonathan Clements write the forward.
[00:10:48.180 --> 00:10:53.180]   And that's touching in a way. Could you talk about why you chose Jonathan?
[00:10:53.180 --> 00:11:05.180]   Yeah, Jonathan was top of my list, absolutely, in terms of who would write the forward to the book, mainly because he has been so influential in my own career journey.
[00:11:05.180 --> 00:11:15.180]   So I remember when I started as an analyst at Morningstar, I'd laugh at this now, but I thought I needed to read the Wall Street Journal basically cover to cover every day.
[00:11:15.180 --> 00:11:22.180]   So I'm reading about corporate earnings news and the, you know, latest management shakeup at McDonald's, whatever.
[00:11:22.180 --> 00:11:34.180]   I thought I had to read the whole thing. And I remember hitting on Jonathan's column and thinking, OK, there's a lot, you know, as I did this for a while, I realized there's a lot in this paper that's very ephemeral.
[00:11:34.180 --> 00:11:50.180]   It's really just noise. It doesn't matter at all. But this guy, this Jonathan Clements fellow, seems to really be hitting on the most important things that investors need to know, that people need to know when thinking about their financial lives.
[00:11:50.180 --> 00:11:57.180]   And his column was just so seminal to me in terms of influencing what I wanted to work on.
[00:11:57.180 --> 00:12:05.180]   I realized that I didn't want to be toiling on things that ultimately didn't really matter in people's financial plans.
[00:12:05.180 --> 00:12:18.180]   I wanted to talk about the stuff that really mattered. His lively writing, just his very clear explanations meant everything to me and were so influential to me in terms of my own career path.
[00:12:18.180 --> 00:12:25.180]   So he was the logical person to reach out to. This was prior to his cancer diagnosis.
[00:12:25.180 --> 00:12:33.180]   He and I, he said he would be willing to write the foreword. And I did a dance around my kitchen when I got the news and was just so thrilled about that.
[00:12:33.180 --> 00:12:44.180]   And, you know, obviously, as Jonathan has has been discussing his diagnosis and, you know, been been very candid about his his thoughts on his prognosis.
[00:12:44.180 --> 00:12:50.180]   It's, you know, obviously been a very bittersweet thing to see him here in the in the foreword.
[00:12:50.180 --> 00:13:03.180]   But what I will say, Jonathan is a trooper because even though he has the diagnosis, he has been continuing to write some fantastic articles on the Humble Dollar website, his blog.
[00:13:03.180 --> 00:13:19.180]   I mean, you have to read these if you're, I guess, getting older, if you will, or you should read them anyway, because the things that he's touching on now, I mean, just very good stuff that I haven't read really anywhere.
[00:13:19.180 --> 00:13:24.180]   The Humble Dollar, Jonathan Clements, if you get a chance to go to a website and read his stuff.
[00:13:24.180 --> 00:13:26.180]   I mean, it's just just great.
[00:13:26.180 --> 00:13:32.180]   I couldn't agree more. I love that Jonathan is continuing. He's made such a contribution to all of our financial lives.
[00:13:32.180 --> 00:13:41.180]   But I love that he's continuing to do that. He's continuing to take his own life and use it to influence what he what he is working on.
[00:13:41.180 --> 00:13:48.180]   So I love that. I also love to see following him on social media, just how he's visiting with friends.
[00:13:48.180 --> 00:13:55.180]   There was a recent post from him and Jason Zweig where they had spent some time together. So I'm loving to see that, too.
[00:13:55.180 --> 00:14:04.180]   OK, we've got about two minutes for 20 lessons from 20 different people.
[00:14:04.180 --> 00:14:08.180]   And we're going to start with number one and we're going to go all the way through and then we're going to have a little closing.
[00:14:08.180 --> 00:14:13.180]   What I'm going to do is I'm going to read the lesson and then the person you interviewed.
[00:14:13.180 --> 00:14:16.180]   I'd like you to talk a little bit about that person and why you interviewed them.
[00:14:16.180 --> 00:14:19.180]   And then the big one or two big takeaways.
[00:14:19.180 --> 00:14:26.180]   Lesson number one, visualize your in retirement lifestyle with Michael Finka.
[00:14:26.180 --> 00:14:28.180]   So, Michael, I knew had to be in this book.
[00:14:28.180 --> 00:14:38.180]   He is a professor of financial planning, head of the program at the American College of Financial Services and a leading researcher in the retirement planning space.
[00:14:38.180 --> 00:14:44.180]   But what I love about Michael's work is that he brings a human component to everything he does.
[00:14:44.180 --> 00:14:47.180]   He thinks about real human beings.
[00:14:47.180 --> 00:14:57.180]   And so this discussion that we had for the book is about visualizing your in retirement lifestyle, thinking about how you'll change throughout your retirement.
[00:14:57.180 --> 00:15:02.180]   I think that's one thing that people don't grapple with necessarily.
[00:15:02.180 --> 00:15:09.180]   You think about your 65 year old self or your 62 year old self, that that's how you'll be 20 years hence.
[00:15:09.180 --> 00:15:20.180]   And Michael's point is, you know, you really need to look into the future because you want to be the one who's making decisions about yourself, about your plans.
[00:15:20.180 --> 00:15:25.180]   You don't want your kids deciding about your housing in retirement, for example.
[00:15:25.180 --> 00:15:29.180]   So he talks about looking forward.
[00:15:29.180 --> 00:15:37.180]   He talks about cultivating healthy habits with respect to health, physical health, as well as relationships.
[00:15:37.180 --> 00:15:41.180]   And also talks about the role of work later in life that.
[00:15:41.180 --> 00:15:44.180]   And this is something that comes up in several chapters.
[00:15:44.180 --> 00:15:50.180]   Just the value of some type of work, maybe paid, maybe unpaid later in life.
[00:15:50.180 --> 00:15:54.180]   I thought it was a good stage setting chapter for the rest of the book.
[00:15:54.180 --> 00:15:56.180]   Very good.
[00:15:56.180 --> 00:16:00.180]   The next lesson is lay the groundwork.
[00:16:00.180 --> 00:16:04.180]   And here you interviewed Fritz Gilbert.
[00:16:04.180 --> 00:16:09.180]   So tell us about Fritz and why you chose to interview him and what he had to say.
[00:16:09.180 --> 00:16:14.180]   Yeah, Fritz has a great blog for people who don't know it called the Retirement Manifesto.
[00:16:14.180 --> 00:16:26.180]   And I think he's just tremendously clear in terms of enumerating the steps you need to take as retirement comes within, say, five years.
[00:16:26.180 --> 00:16:42.180]   And then as it gets closer, the tasks get more specific down to very granular things like making sure you get stuff off your work computer and making sure that you're saving contacts of people who you want to keep in touch with.
[00:16:42.180 --> 00:16:47.180]   So he's very, very specific about the jobs to do.
[00:16:47.180 --> 00:17:03.180]   But the main thing I love about Fritz is that I feel like he's a walking illustration of how to do retirement right in that he started this charity with his wife called Fences for Fido, where they go out on these fence builds for dogs who would otherwise be living on chains.
[00:17:03.180 --> 00:17:07.180]   And this is a passion project for them.
[00:17:07.180 --> 00:17:13.180]   But the beauty of it is that they're doing good for the animals and for the families that they're building these fences for.
[00:17:13.180 --> 00:17:20.180]   But they've also just built this great community of other fence builders through this charity, people they get together with.
[00:17:20.180 --> 00:17:22.180]   And it's also physical activity.
[00:17:22.180 --> 00:17:27.180]   So to me, that ticks a lot of boxes about what you want to be doing.
[00:17:27.180 --> 00:17:28.180]   You've got purpose.
[00:17:28.180 --> 00:17:29.180]   You've got relationships.
[00:17:29.180 --> 00:17:31.180]   You've got physical activity.
[00:17:31.180 --> 00:17:32.180]   You're doing it right.
[00:17:32.180 --> 00:17:39.180]   And I think in a lot of ways, it's a great model for all of us as we think about how to spend our time in retirement.
[00:17:39.180 --> 00:17:42.180]   Yeah, I really like that chapter because he broke it down by five years.
[00:17:42.180 --> 00:17:44.180]   This is what you should be doing before your retirement.
[00:17:44.180 --> 00:17:45.180]   Three years.
[00:17:45.180 --> 00:17:46.180]   This is what you should be doing.
[00:17:46.180 --> 00:17:47.180]   Two years.
[00:17:47.180 --> 00:17:48.180]   This is what you should be thinking of.
[00:17:48.180 --> 00:17:49.180]   One year.
[00:17:49.180 --> 00:17:50.180]   And so on.
[00:17:50.180 --> 00:17:51.180]   I thought that was great.
[00:17:51.180 --> 00:17:52.180]   Makes it so easy.
[00:17:52.180 --> 00:17:53.180]   Okay.
[00:17:53.180 --> 00:17:54.180]   Lesson number three.
[00:17:54.180 --> 00:17:58.180]   Nurture your relationships with Laura Karstensen.
[00:17:58.180 --> 00:17:59.180]   Yeah.
[00:17:59.180 --> 00:18:05.180]   Laura Karstensen is the director of the Center on Longevity at Stanford.
[00:18:05.180 --> 00:18:11.180]   And a lot of her research has been about the value of relationships later in life.
[00:18:11.180 --> 00:18:29.180]   And one key finding is that, well, a lot of research has shown that relationships are really everything in life in terms of our happiness, that our interconnectedness with other human beings is just a huge component of whether we're happy.
[00:18:29.180 --> 00:18:38.180]   So the point is to have relationships, but one thing Laura's research team has found is that our networks tend to become a little smaller as we age.
[00:18:38.180 --> 00:18:42.180]   And her point is that actually it's not necessarily a bad thing.
[00:18:42.180 --> 00:18:45.180]   It's even a good thing because we're doing some winnowing.
[00:18:45.180 --> 00:18:55.180]   We may cast off some people in our lives who are kind of tangential others, maybe like parents of our kids' friends or something like that.
[00:18:55.180 --> 00:19:00.180]   She talks about how we have a more focused social network.
[00:19:00.180 --> 00:19:13.180]   And she also talks about the role of relationships for people who are introverts, how they're important, and how it's important to keep those relationships alive through physical contact.
[00:19:13.180 --> 00:19:26.180]   That even though a lot of us do tend to do a lot of texting with our friends or meeting with them virtually, it is important to get together with friends, with loved ones on a face-to-face basis regularly, if we possibly can.
[00:19:26.180 --> 00:19:29.180]   So I just love that discussion.
[00:19:29.180 --> 00:19:35.180]   I've loved her research, and she's a fabulous speaker, so I definitely knew that I wanted her to be part of this book.
[00:19:35.180 --> 00:19:39.180]   Big thing that I was thinking of when I was reading that chapter was pickleball, right?
[00:19:39.180 --> 00:19:43.180]   I mean, for me, playing pickleball, getting out, get exercise, it's social.
[00:19:43.180 --> 00:19:44.180]   Absolutely.
[00:19:44.180 --> 00:19:45.180]   It ticks a lot of boxes.
[00:19:45.180 --> 00:19:46.180]   It does.
[00:19:46.180 --> 00:19:50.180]   Now we're going to get into kind of the nitty-gritty a little bit of finance.
[00:19:50.180 --> 00:19:55.180]   And here, get the most out of Social Security with Mary Beth Franklin.
[00:19:55.180 --> 00:19:59.180]   Mary Beth is an absolute guru in the realm of Social Security.
[00:19:59.180 --> 00:20:02.180]   She was a reporter for many years.
[00:20:02.180 --> 00:20:05.180]   I think her last stop was with Investment News.
[00:20:05.180 --> 00:20:10.180]   Now she is mainly retired, does a lot of public speaking on Social Security.
[00:20:10.180 --> 00:20:21.180]   So we touched on a lot of things in this conversation, including the solvency of Social Security, which I think is top of mind, especially for people who are several years from retirement.
[00:20:21.180 --> 00:20:23.180]   You may wonder, will it be there?
[00:20:23.180 --> 00:20:26.180]   She had some reassuring thoughts on that topic.
[00:20:26.180 --> 00:20:35.180]   She's not Pollyanna-ish, but she does think that there will have to be some adjustments, but that generally speaking, Social Security will not be going away.
[00:20:35.180 --> 00:20:40.180]   And then she talked about Social Security's claiming strategies for people in different situations.
[00:20:40.180 --> 00:20:42.180]   So we hit on single people.
[00:20:42.180 --> 00:20:46.180]   The headline there is that delaying is often a good idea.
[00:20:46.180 --> 00:20:52.180]   She talked about divorced people, how to think about spousal benefits in that instance.
[00:20:52.180 --> 00:20:57.180]   She talked about married couples with different ages and different earnings histories.
[00:20:57.180 --> 00:20:59.180]   The answer might be different for them.
[00:20:59.180 --> 00:21:05.180]   And finally, she talked about couples for whom, where they both worked and maybe they're of similar ages.
[00:21:05.180 --> 00:21:11.180]   And I told her there, I was kind of asking for a friend because that describes my own marriage.
[00:21:11.180 --> 00:21:17.180]   And so she shared some strategies for people at that life stage as well, or in that situation.
[00:21:17.180 --> 00:21:18.180]   You've got to get that free advice.
[00:21:18.180 --> 00:21:19.180]   I get it.
[00:21:19.180 --> 00:21:21.180]   Well, that was definitely part of this whole project.
[00:21:21.180 --> 00:21:25.180]   You can see me like asking questions, a little bit of me search there.
[00:21:25.180 --> 00:21:26.180]   So definitely.
[00:21:26.180 --> 00:21:27.180]   All right.
[00:21:27.180 --> 00:21:33.180]   Lesson number five, understand how your spending might change by David Blanchett.
[00:21:33.180 --> 00:21:38.180]   David Blanchett was a researcher at Morningstar for many years, one of my close colleagues.
[00:21:38.180 --> 00:21:42.180]   Now he is at PGM where he's continuing to do research.
[00:21:42.180 --> 00:21:48.180]   And the great thing about David is that I could send him an email today and he'll respond straight away.
[00:21:48.180 --> 00:21:51.180]   with some, you know, really super feedback.
[00:21:51.180 --> 00:21:56.180]   So he's one of the preeminent retirement researchers in the country, in my opinion.
[00:21:56.180 --> 00:22:05.180]   And one of his greatest research pieces related to an examination of how retirees actually spend over their life cycle.
[00:22:05.180 --> 00:22:12.180]   So this dovetails with what many of us probably have experienced with older adults in our lives or maybe in our own lives,
[00:22:12.180 --> 00:22:24.180]   We have those go-go years, the slow-go years, and the sometimes called no-go years, the later years of retirement where maybe healthcare expenditures have flared up.
[00:22:24.180 --> 00:22:29.180]   So David identified what has sometimes been called the retirement spending smile.
[00:22:29.180 --> 00:22:34.180]   And we talked about that and we talked about the implications for retirement spending.
[00:22:34.180 --> 00:22:42.180]   And the headline really is that if you incorporate the fact that spending does tend to trend down for many/most retirees,
[00:22:42.180 --> 00:22:45.180]   you can spend more in those early years of retirement.
[00:22:45.180 --> 00:22:55.180]   You shouldn't worry about it if you're in good health and it takes you over, say, the 4% guideline in those years before Social Security has come online for you.
[00:22:55.180 --> 00:23:00.180]   You should be okay with that because your spending will probably trend down.
[00:23:00.180 --> 00:23:03.180]   You just need to be okay with your side of the bargain.
[00:23:03.180 --> 00:23:06.180]   So you need to know that, yes, indeed, your spending will have to trend down.
[00:23:06.180 --> 00:23:09.180]   It's kind of scary, but you've got to get over the hump.
[00:23:09.180 --> 00:23:14.180]   You've got to be able to be willing to allow yourself to spend some of the money that you've accumulated.
[00:23:14.180 --> 00:23:16.180]   Or it's all going to go to your heirs.
[00:23:16.180 --> 00:23:17.180]   Absolutely.
[00:23:17.180 --> 00:23:18.180]   Or it's a charity.
[00:23:18.180 --> 00:23:19.180]   Well, exactly.
[00:23:19.180 --> 00:23:22.180]   And you know, our friend Mike Piper has written a whole book about this.
[00:23:22.180 --> 00:23:23.180]   Yes.
[00:23:23.180 --> 00:23:24.180]   The value of lifetime giving.
[00:23:24.180 --> 00:23:28.180]   No one's saying go out to dinner every night or buy a new car every year.
[00:23:28.180 --> 00:23:38.180]   What we are saying is that giving to your kids when they're in their 20s and 30s will probably be more impactful for them than them inheriting from you when they're in their 60s.
[00:23:38.180 --> 00:23:39.180]   And you know what?
[00:23:39.180 --> 00:23:41.180]   I have kids in their 30s and that's what they say, too.
[00:23:41.180 --> 00:23:43.180]   I'm not surprised.
[00:23:43.180 --> 00:23:44.180]   All right.
[00:23:44.180 --> 00:23:47.180]   We're on lesson number six now.
[00:23:47.180 --> 00:23:49.180]   Create a spending plan.
[00:23:49.180 --> 00:23:50.180]   Jonathan Guyton.
[00:23:50.180 --> 00:23:53.180]   So it sort of goes hand in hand with distributing money.
[00:23:53.180 --> 00:23:54.180]   It does.
[00:23:54.180 --> 00:24:07.180]   So John is a financial planner and a retirement researcher, which is kind of an interesting hybrid because his research then is very much grounded in his interactions with his clients.
[00:24:07.180 --> 00:24:13.180]   He did some research that has been shorthanded as the guardrails approach to retirement spending.
[00:24:13.180 --> 00:24:25.180]   It's basically a dynamic spending system that puts bands around how low your spending can go in a bad year for your portfolio and how high it can go in a good year.
[00:24:25.180 --> 00:24:31.180]   So we didn't delve so much into the guardrails approach because it can get a little bit complicated.
[00:24:31.180 --> 00:24:33.180]   He takes issue with me saying complicated.
[00:24:33.180 --> 00:24:35.180]   I think it could be a little complicated.
[00:24:35.180 --> 00:24:36.180]   You need to read the fine print.
[00:24:36.180 --> 00:24:50.180]   But we did talk about assuming that sort of straight line spending in retirement isn't a great way to go about it because effectively you are building your spending plan for a worst case scenario.
[00:24:50.180 --> 00:24:59.180]   So his analogy is it's similar to setting out on a road trip and you're only allowed to go one speed for that whole road trip.
[00:24:59.180 --> 00:25:00.180]   You don't know what road conditions will be like.
[00:25:00.180 --> 00:25:02.180]   You don't know what weather will be like.
[00:25:02.180 --> 00:25:04.180]   Well, of course, you'd go really low.
[00:25:04.180 --> 00:25:05.180]   Right.
[00:25:05.180 --> 00:25:12.180]   And that's what sort of saying, OK, I'm just going to take 4% initially, then inflation adjust that dollar amount thereafter.
[00:25:12.180 --> 00:25:17.180]   That's effectively what you're doing when you use a strategy like that.
[00:25:17.180 --> 00:25:23.180]   So Jonathan is an evangelist for people using a more dynamic approach.
[00:25:23.180 --> 00:25:28.180]   He finds that it very much syncs up with how his clients want to spend.
[00:25:28.180 --> 00:25:37.180]   And one interesting piece of feedback from him is just that this dynamic spending thing actually syncs up with our behavioral impulses.
[00:25:37.180 --> 00:25:41.180]   So in a bad market, we naturally do want to rein it in.
[00:25:41.180 --> 00:25:50.180]   And it's a rare time in his vantage point where doing what's good for your portfolio is also the thing that feels right behaviorally.
[00:25:50.180 --> 00:25:59.180]   And this parlays into lesson number seven, which is Give Yourself Permission to Spend on What Matters to You by Ramit Sethi.
[00:25:59.180 --> 00:26:06.180]   Ramit has written one of my favorite books for people just starting out with their financial plans.
[00:26:06.180 --> 00:26:08.180]   It's called I Will Teach You to Be Rich.
[00:26:08.180 --> 00:26:11.180]   He has an empire at this point where he's got a Netflix series.
[00:26:11.180 --> 00:26:13.180]   He's got a bunch of other things going on.
[00:26:13.180 --> 00:26:22.180]   What I love about Ramit's work is that he talks about aspects of financial planning that I think are terribly under discussed.
[00:26:22.180 --> 00:26:24.180]   And one of them is spending.
[00:26:24.180 --> 00:26:28.180]   That, yes, we talk about not overspending, living within your means, blah, blah, blah.
[00:26:28.180 --> 00:26:32.180]   But his point is, don't just spend like everybody else.
[00:26:32.180 --> 00:26:33.180]   Take a step back.
[00:26:33.180 --> 00:26:43.180]   Think about the activities and the things that actually bring you joy, bring meaning to you, and focus your spending efforts there.
[00:26:43.180 --> 00:26:48.180]   And then if you have things that you don't especially care about for him, it's cars.
[00:26:48.180 --> 00:26:51.180]   He doesn't care about driving an older car.
[00:26:51.180 --> 00:26:56.180]   He said, you know, then just pinch pennies mercilessly in those areas.
[00:26:56.180 --> 00:27:10.180]   And his point is a lot about how, as a culture, there's just a tendency to want to, you know, drive what our neighbors drive, make all the home upgrades that our neighbors make, clothes that our peers wear, all that stuff.
[00:27:10.180 --> 00:27:11.180]   His point is, take a step back.
[00:27:11.180 --> 00:27:14.180]   And we should do that into retirement.
[00:27:14.180 --> 00:27:24.180]   We should take a look at how we are spending and just make sure that our spending, our planned spending is very much aligned with our personal priorities.
