
[00:00:00.000 --> 00:00:21.140]   Hey, everybody. I'm Paul. I'm the founder of BrowserBase, and I am obsessed with browsers,
[00:02:00.020 --> 00:02:06.080]   of attention. I've seen countless flight bookers and countless restaurant pickers, and I have not seen
[00:02:06.080 --> 00:02:11.400]   anyone do the thing I need, which is a Delaware franchise tax filing agent. Any founders in the room
[00:02:11.400 --> 00:02:16.680]   who have done that before? Not super fun. And I think people use a lot of acronyms these days.
[00:02:16.680 --> 00:02:21.780]   You know, you have MCP, you have A to A, you have OpenAPI. But if those aren't available, you can just do
[00:02:21.780 --> 00:02:26.220]   what can be considered the dumb thing. You can just use the website. And websites are out there. There are
[00:02:26.220 --> 00:02:30.860]   plenty of them. There are billions of websites. And when your user is going to prompt your agent to do
[00:02:30.860 --> 00:02:35.820]   something, you might not always have a first party integration available. That's where a browser is
[00:02:35.820 --> 00:02:40.560]   kind of the integration of last resort. The path that you can take your agent down if you don't have
[00:02:40.560 --> 00:02:45.320]   something, a primary integration already built in. You might be wondering, well, okay, Paul, cool, I get
[00:02:45.320 --> 00:02:50.340]   it. You've beaten this thing dead. AI agency in the browser, but how do they control it? Well, you can think
[00:02:50.340 --> 00:02:55.140]   about web agents and browser tools. First of all, you know, what is a web agent? I want to keep this
[00:02:55.140 --> 00:02:59.340]   technical as this is a bunch of AI architects, right? You know, web agents, we've heard about them for a long
[00:02:59.340 --> 00:03:05.920]   time, take a model and then have it generate some code to control a browser by generally parsing the
[00:03:05.920 --> 00:03:10.920]   DOM and the page, the HTML and the CSS. Web Voyager was early here. Adept did a lot of really cool stuff
[00:03:10.920 --> 00:03:16.020]   here with their Fuji models. OpenAI had Operator, Proxy by Convergence, now Salesforce, H Company.
[00:03:16.020 --> 00:03:20.260]   Everyone was kind of doing a lot of this stuff last year. We really got to see a lot of web agents in
[00:03:20.260 --> 00:03:25.920]   production, but they were still early days, you know? And Web Voyager was first, you know, it was taking
[00:03:25.920 --> 00:03:30.640]   screenshots of a page, it was using chain of thought prompting, and then from that it was saying, click the
[00:03:30.640 --> 00:03:35.940]   button at this coordinate. Sometimes they're doing these things, we'll talk in a second, called labeling
[00:03:35.940 --> 00:03:39.780]   on top of the page. But I think it's pretty cool because we haven't changed that much from this. There
[00:03:39.780 --> 00:03:43.980]   really are two different types of web agents. There's vision-driven agents. These are ones that
[00:03:43.980 --> 00:03:48.120]   predominantly use screenshots as context for the model. They might do some marking up of the screenshot to
[00:03:48.120 --> 00:03:53.180]   indicate what box to click on. Or there's text-based web agents who predominantly use HTML as the
[00:03:53.180 --> 00:03:57.680]   context of the model. Both have different approaches, pros and cons. Text web agents use
[00:03:57.680 --> 00:04:02.320]   expats and playwright code. Some may argue it's more repeatable. Vision models can be more accurate and
[00:04:02.320 --> 00:04:08.120]   more complex pages. There's trade-offs here. And it really does depend on what website you're trying to
[00:04:08.120 --> 00:04:14.060]   automate. Here's an example on a vision agent using set of marks prompting. You can see these little boxes
[00:04:14.060 --> 00:04:19.580]   here where you're marking up what you should click, and the agent or the model will turn and say, "Click the box
[00:04:19.580 --> 00:04:26.720]   label 25." That's going to help you out. And on the DOM-based agent side, there's also ideas of taking HTML, and how can we
[00:04:26.720 --> 00:04:34.080]   transform HTML to make it more reliable for web agents? So the accessibility tree is something that's built in every page in a lot of applications.
[00:04:34.080 --> 00:04:41.720]   Where you can take a different structure of the same information and condense it down where you get the same layout, but without all the extra div tags and classes.
[00:04:41.720 --> 00:04:48.860]   So we have vision-based agents and DOM-based agents. And there's now also computer use models, which are kind of like the next
[00:04:48.860 --> 00:04:56.000]   step here where let's train a whole model on this stuff. Previously, we were just using the stock image models. But now we can
[00:04:56.000 --> 00:05:02.000]   train that model on these things called web trajectories. And I won't go too much into this. There's a lot of great papers out here. I'd recommend this paper
[00:05:02.000 --> 00:05:08.000]   linked down here about web trajectories and how you can generate them to do RL to teach models how to not just pick the right
[00:05:08.000 --> 00:05:14.140]   button on the page, but how to reason across multiple pages about the right path to take. But all in all, there's just a lot of
[00:05:14.140 --> 00:05:21.760]   innovation here happening on teaching AI how to browse the web. And this stuff is getting good. It is working. And you can use it
[00:05:21.760 --> 00:05:30.140]   today to help add some sort of extra functionality to your applications if you're making the right choices. And I will kind of add, you kind of want to think about
[00:05:30.140 --> 00:05:37.140]   if you want a web agent or a browser tool. And you may have never heard of what the difference is here, but there is a difference in my head. Like a web agent is kind of like,
[00:05:37.140 --> 00:06:07.000]   it's kind of like one prompt to many actions. I think OpenAI's operator is a good example of this. You say, hey, operator, go, you know, file my Delaware franchise tax. You give it some prompt, it's going to go take many actions. And if you give it that same prompt twice, it might take two different paths to get the task done. Web agents are good. They're like little cockroaches. They're just going to keep trying to find a way to complete your task. But they're a little bit more non-deterministic because the reasoning is in their control. Whereas like browser tools are like one action and one prompt. You say, click the sign in button,
[00:06:07.000 --> 00:06:15.440]   that thing's going to click the sign in button. You ask it to purchase the Amazon item that you want. That's a series of multiple steps that really might be more suited for a web agent.
[00:06:15.440 --> 00:06:29.880]   So we have a framework called Stagehand that we think is the best browser tool. And it really does depend on what you want. If you know what your workflow is going to be with some high level steps, you can actually use a browser tool to take those steps and translate them into reliable web actions.
[00:06:30.000 --> 00:06:38.440]   If you don't know what you're going to do, if you don't know what the prompt will be, a web agent more generically might be the right fit. But I do believe your agent needs a browser tool.
[00:06:38.440 --> 00:06:59.880]   Another thing I'll add is like, you may want to think about with MCP, what types of servers are you integrating. So a vertical MCP server with something like linear, where it's going to give you options to control specific things on a specific task, like create a linear ticket, create, assign someone to the linear ticket, whereas like a horizontal MCP server, you're going to have some sort of perimeter that can do many things.
[00:06:59.880 --> 00:07:15.320]   You know, for browsing, we view it as a horizontal MCP server. You're exposing primers like click a button on a page. Now that page may change, there may be many different pages, but when you have a horizontal MCP server with one server, you have the opportunity to automate the whole web.
[00:07:15.320 --> 00:07:30.320]   And these like, you know, you will see vertical MCP servers which are more direct tool calls as like an important part of your agent. I'm not saying we replace those with browsers. If you are interacting with Salesforce, you probably should just use the Salesforce MCP. You don't need a browser there.
[00:07:30.320 --> 00:07:48.320]   But if you're interacting with custom bespoke MCP built by large enterprise that doesn't, sorry, custom bespoke CRM built by large enterprise that doesn't have an MCP server, you don't have to go reverse engineering APIs. You can use a browser tool and a browser MCP server to go out and automate that.
[00:07:48.320 --> 00:07:58.320]   Is that making sense for everybody so far? Okay. Thank you guys. Hearing some heads nodding. Okay. A few other notes on like MCP and all these like concerns I have here.
[00:07:58.320 --> 00:08:11.320]   I do think that MCPs are going to have to pass compliance. And dynamic tool discovery, this idea that you can plug in your agent to an infinite toolbox of MCP servers is going to be hard for CSOs to get on board with, right?
[00:08:11.320 --> 00:08:25.320]   You're going to want to be able to select which MCP servers make the most sense. And with a browser or a horizontal MCP server, this could be browser, it could be email, it could be anything, you really only have to onboard one MCP server as opposed to an MCP server for each individual integration.
[00:08:25.320 --> 00:08:36.320]   Secondly, like, yeah, that's the most important one. Secondly, like evals. Most benchmarks are fake news. Just want to let you know. Especially when the company putting out the benchmark is the one that's also ranking themselves.
[00:08:36.320 --> 00:08:44.320]   So I would be very critical of public benchmarks of any web agent you see out there or any model you see out there. You really need your own evals.
[00:08:44.320 --> 00:08:57.320]   My friend Ankur, who runs Braintrust, he supports our evals. I really like them. Because then we're able to say, hey, actually, for our web agent we're building, which models are the best model for this web task or for this certain website?
[00:08:57.320 --> 00:09:04.320]   And you can get really intelligent and honest about what you actually need to do to automate the web and which model is the right choice for you.
[00:09:04.320 --> 00:09:11.320]   Finally, I think you need observability. If your AI agent is controlling a browser, you need to be able to see what happens in the browser.
[00:09:11.320 --> 00:09:22.320]   BrowserBase bundles this out of the box so you can build your own. You know, taking screenshots, recording history, recording actions, making sure that you know exactly where your agent went to and why.
[00:09:22.320 --> 00:09:31.320]   It's important because, let's say, your agent is going to go buy an Xbox and it buys you AirPods. You want to understand what prompts went into that, what page paths it took, and really break that down.
[00:09:31.320 --> 00:09:38.320]   At BrowserBase, we include this in every browser. Sessions are recorded, logs are available. It really makes it quite easy.
[00:09:38.320 --> 00:09:47.320]   Okay, so that was, like, a lot on browsers. I got a ton of time left, but I'll end with this one point. The browser is the default MCP server for the rest of the internet.
[00:09:47.320 --> 00:09:57.320]   If you need to integrate with something, whether it's with MCP, an API, and there's not something available, you should really consider including a browser, because a browser is all you need.
[00:09:57.320 --> 00:10:04.320]   And since I'm doing so well on time, I'm going to do some live coding, because I feel like there hasn't been enough live coding in this room today, so I'm breaking it out.
[00:10:04.320 --> 00:10:11.320]   And let's pull up Cursor and bring it over here, and it's going to be so hard to see, but let me try.
[00:10:11.320 --> 00:10:16.320]   Give me this, please.
[00:10:16.320 --> 00:10:17.320]   Love.
[00:10:17.320 --> 00:10:22.320]   All right, so we have Cursor right here in all of my screenshots. I'm a screenshot hoarder, I apologize.
[00:10:22.320 --> 00:10:28.320]   So I pulled up the Cursor MCP server, sorry, the Cursor controller, and I've written a prompt.
[00:10:28.320 --> 00:10:36.320]   It says, create a new Browserway session, navigate to sfpca.org, close out any modals, and find a dog for adoption in San Francisco, return the URL.
[00:10:36.320 --> 00:10:42.320]   We'll click enter, and I may have to jump to a browser here really quickly.
[00:10:42.320 --> 00:10:52.320]   So you can see it's calling the Browserway session tool, it's generated a Browserway session right here, and you can look at how it's actually making these individual tool calls on the page.
[00:10:52.320 --> 00:11:00.320]   If I pull up the session at the same time, and scoot this tab over there, we can see, in parallel, the browser is loading.
[00:11:00.320 --> 00:11:07.320]   And as our MCP server is making these tool calls, right now it's trying to close out the modal, it's navigating the website.
[00:11:07.320 --> 00:11:14.320]   And thinking about how, like, there's a reasoning model here that's deciding, what should I do, what should I call, these tools are exposed.
[00:11:14.320 --> 00:11:24.320]   And now, we go here, we have been given a dog with this URL, and one of you will be going home with a lucky dog today.
[00:11:24.320 --> 00:11:28.320]   All right, can I get a drumroll, please?
[00:11:28.320 --> 00:11:31.320]   All right, that was so half-hearted, but thank you.
[00:11:31.320 --> 00:11:33.320]   Give me a dog!
[00:11:33.320 --> 00:11:34.320]   Yay!
[00:11:34.320 --> 00:11:35.320]   There we go!
[00:11:35.320 --> 00:11:38.320]   Oh, they really want that 200k match.
[00:11:38.320 --> 00:11:41.320]   This campaign's been running for a while, I feel kind of bad for SMCA.
[00:11:41.320 --> 00:11:45.320]   But that's a good example of what will happen when you're building these web automations.
[00:11:45.320 --> 00:11:47.320]   Sometimes modals will pop up.
[00:11:47.320 --> 00:11:50.320]   Sometimes things you aren't expecting may happen on the web page.
[00:11:50.320 --> 00:11:53.320]   You need to have an AI agent driving the page with primitives,
[00:11:53.320 --> 00:11:56.320]   so it can react to any sort of weird changes that happen.
[00:11:56.320 --> 00:12:00.320]   And hopefully, you can integrate with things that aren't going to be AI-native.
[00:12:00.320 --> 00:12:06.320]   To me, the most important problems to solve in AI right now are the unimportant, boring problems.
[00:12:06.320 --> 00:12:14.320]   And they're going to require, you know, intelligent engineering to both bring the best models to the unsexy problems.
[00:12:14.320 --> 00:12:21.320]   And when we talk to customers at BrowserBase, they're not just Perplexity or Clay or Commure.
[00:12:21.320 --> 00:12:27.320]   They're also a 55-year-old dairy trucking company who has never hired an engineer in their 55 years until this year.
[00:12:27.320 --> 00:12:31.320]   And the first thing they did was use BrowserBase to automate a really painful ops workflow.
[00:12:31.320 --> 00:12:35.320]   So if I can somehow pull my slides back, I don't know if I'll be able to.
[00:12:35.320 --> 00:12:38.320]   I might just have to move this bad boy over here and we'll just go for it live.
[00:12:38.320 --> 00:12:40.320]   Yeah, screw it.
[00:12:40.320 --> 00:12:41.320]   Let's do this.
[00:12:41.320 --> 00:12:46.320]   Okay, so if you do want to try a BrowserMCP server, it's available today.
[00:12:46.320 --> 00:12:52.320]   You can actually go ahead and scan this QR code and sign up or use this to try adding some sort of automation.
[00:12:52.320 --> 00:12:53.320]   It's really easy.
[00:12:53.320 --> 00:12:55.320]   If I can use it, you can use it, I promise.
[00:12:55.320 --> 00:12:56.320]   I'm going to pause.
[00:12:56.320 --> 00:12:58.320]   I'm seeing some photos being taken.
[00:12:58.320 --> 00:12:59.320]   Amazing.
[00:12:59.320 --> 00:13:00.320]   Great.
[00:13:00.320 --> 00:13:04.320]   And finally, you know, if you are looking to join a company that's growing quickly,
[00:13:04.320 --> 00:13:05.320]   BrowserBase has been around for a year and a half.
[00:13:05.320 --> 00:13:06.320]   We're 30 people.
[00:13:06.320 --> 00:13:07.320]   We're backed by some really great investors.
[00:13:07.320 --> 00:13:10.320]   And we would love for you to come build the future of automation with us.
[00:13:10.320 --> 00:13:11.320]   All right.
[00:13:11.320 --> 00:13:12.320]   That's all my time.
[00:13:12.320 --> 00:13:16.320]   I might have a minute for some questions or two, if that's okay.
[00:13:16.320 --> 00:13:17.320]   Yeah.
[00:13:17.320 --> 00:13:19.320]   If there's any questions, happy to take them.
[00:13:19.320 --> 00:13:21.320]   Otherwise, thanks so much, everybody.
[00:13:21.320 --> 00:13:22.320]   Any questions?
[00:13:22.320 --> 00:13:24.320]   Do you use specific models?
[00:13:24.320 --> 00:13:25.320]   Hold on.
[00:13:25.320 --> 00:13:26.320]   Maybe do hands if that's okay.
[00:13:26.320 --> 00:13:28.320]   We'll go up front and then back.
[00:13:28.320 --> 00:13:29.320]   Yeah, go ahead.
[00:13:29.320 --> 00:13:32.320]   Do you use specific model for navigation?
[00:13:32.320 --> 00:13:39.320]   Like it's your own model or like when the browser is scrolled and so on and so on,
[00:13:39.320 --> 00:13:40.320]   We are model agnostic.
[00:13:40.320 --> 00:13:41.320]   We are model agnostic.
[00:13:41.320 --> 00:13:45.320]   So browser brace is just the infrastructure for running headless browsers as well as the
[00:13:45.320 --> 00:13:46.320]   frameworks and tools.
[00:13:46.320 --> 00:13:47.320]   We have an MCP server.
[00:13:47.320 --> 00:13:51.320]   We have a framework called stage hand, which is like play right but better.
[00:13:51.320 --> 00:13:52.320]   You bring your own model.
[00:13:52.320 --> 00:13:54.320]   And you may want to choose different models based on your conditions.
[00:13:54.320 --> 00:13:58.320]   If you are doing HIPAA and you need like zero data retention and open AI, you might want
[00:13:58.320 --> 00:13:59.320]   to use one of their models.
[00:13:59.320 --> 00:14:00.320]   So you bring the model.
[00:14:00.320 --> 00:14:01.320]   We bring the infra.
[00:14:01.320 --> 00:14:02.320]   Hold on.
[00:14:02.320 --> 00:14:03.320]   I'm sorry.
[00:14:03.320 --> 00:14:04.320]   I'm just gonna go ahead.
[00:14:04.320 --> 00:14:05.320]   Say it again.
[00:14:05.320 --> 00:14:07.320]   You can just, we just skip it.
[00:14:07.320 --> 00:14:11.320]   Yeah, the example we just did, I used, yeah, the cursor agent mode.
[00:14:11.320 --> 00:14:13.320]   I think it's 4.0 max.
[00:14:13.320 --> 00:14:14.320]   Oh, sorry.
[00:14:14.320 --> 00:14:16.320]   It's probably 4.0 sonnet right now.
[00:14:16.320 --> 00:14:18.320]   That's why I baked in there.
[00:14:18.320 --> 00:14:19.320]   Go ahead.
[00:14:19.320 --> 00:14:20.320]   Love the questions.
[00:14:20.320 --> 00:14:21.320]   Keep them coming.
[00:14:21.320 --> 00:14:24.320]   How do you guys manage anything that requires human in the loop?
[00:14:24.320 --> 00:14:29.320]   Because we have to deal with a lot of legacy infrastructure, but it's financial data.
[00:14:29.320 --> 00:14:33.320]   So an advisor wants to review it before it goes into a financial planning tool or something
[00:14:33.320 --> 00:14:34.320]   like that.
[00:14:34.320 --> 00:14:42.320]   How do you bring in some sort of human in the loop interaction or to a browser A and B if
[00:14:42.320 --> 00:14:49.320]   because this is financial data, we also want to give users a clear view of what the agent
[00:14:49.320 --> 00:14:50.320]   has done.
[00:14:50.320 --> 00:14:53.320]   Is there a way we can send that information even if they couldn't interfere in the process?
[00:14:53.320 --> 00:14:56.320]   Yeah, I was just going to hop over the slides.
[00:14:56.320 --> 00:15:00.320]   So not only do we have recordings available and they can be turned on or off depending on
[00:15:00.320 --> 00:15:03.320]   data sensitivity, you can embed these recordings into a user facing application and show your
[00:15:03.320 --> 00:15:04.320]   user what happened.
[00:15:04.320 --> 00:15:08.320]   We also have this feature called the live view where you can embed an iframe and show exactly
[00:15:08.320 --> 00:15:10.320]   what's happening in the browser.
[00:15:10.320 --> 00:15:14.320]   And better yet, if someone wants to, a human wants to come in and click and type in on the
[00:15:14.320 --> 00:15:16.320]   live view, they can do that as well.
[00:15:16.320 --> 00:15:21.320]   So it's not just for browser automation, it can be a browser co-pilot and it's an iframe so
[00:15:21.320 --> 00:15:24.320]   it's a browser inside a browser which is kind of fun to see.
[00:15:24.320 --> 00:15:25.320]   Yeah, thank you.
[00:15:25.320 --> 00:15:26.320]   I think there's a question over here.
[00:15:26.320 --> 00:15:27.320]   Yeah, and we'll go to you guys next.
[00:15:27.320 --> 00:15:30.320]   So my question is kind of two parts.
[00:15:30.320 --> 00:15:36.320]   One, have you dealt with captchas at all and do you see future websites kind of using similar
[00:15:36.320 --> 00:15:41.320]   strategies to defend against automation tools that only users can use their website?
[00:15:41.320 --> 00:15:42.320]   Yeah, captchas.
[00:15:42.320 --> 00:15:47.320]   So for the longest time, there's never been good bots on the internet.
[00:15:47.320 --> 00:15:49.320]   And captchas were built to stop all bots.
[00:15:49.320 --> 00:15:51.320]   But now there are good bots and bad bots.
[00:15:51.320 --> 00:15:56.320]   And at BrowserBase, we do offer captcha solving and proxies as something that's needed to browse
[00:15:56.320 --> 00:15:57.320]   the web.
[00:15:57.320 --> 00:16:00.320]   We have customers that use captcha solving against their own captchas because they can't get their
[00:16:00.320 --> 00:16:04.320]   sec ops team to get through a good way to bypass that.
[00:16:04.320 --> 00:16:09.320]   However, I think longer term, my friend Michael at WorkOS was just talking about captchas.
[00:16:09.320 --> 00:16:11.320]   Agent authentication is the path to avoid captchas.
[00:16:11.320 --> 00:16:14.320]   Most captchas we see at BrowserBase are when someone's logging in.
[00:16:14.320 --> 00:16:15.320]   Once you log in, you know who the agent is.
[00:16:15.320 --> 00:16:17.320]   You know who they're acting on behalf of.
[00:16:17.320 --> 00:16:21.320]   And I'm really hopeful that solving captchas at BrowserBase is a short-term solution as
[00:16:21.320 --> 00:16:24.320]   we figure out how to do agent authentication on the internet longer term.
[00:16:24.320 --> 00:16:26.320]   But down to talk about that afterwards.
[00:16:26.320 --> 00:16:27.320]   Come find me.
[00:16:27.320 --> 00:16:30.320]   I got a minute and 42 seconds.
[00:16:30.320 --> 00:16:32.320]   I'm holding us to it.
[00:16:32.320 --> 00:16:33.320]   Yeah.
[00:16:33.320 --> 00:16:38.320]   So during web navigation, I think my question was related to captchas, but during web navigation,
[00:16:38.320 --> 00:16:42.320]   does the browser actually detect it's a robot that's doing the navigation?
[00:16:42.320 --> 00:16:45.320]   And does it increase captcha coming up?
[00:16:45.320 --> 00:16:50.320]   Yeah, I think that the way that captcha detection works is often based on your behavior.
[00:16:50.320 --> 00:16:53.320]   And what we advise our customers is like, listen, you know, even though we provide the best stealth
[00:16:53.320 --> 00:16:57.320]   browsing features necessary, in the end, if you're a bad citizen of the internet, you are
[00:16:57.320 --> 00:16:58.320]   going to get blocked.
[00:16:58.320 --> 00:16:59.320]   It's an inevitability.
[00:16:59.320 --> 00:17:00.320]   You can see this on LinkedIn.
[00:17:00.320 --> 00:17:03.320]   If you have an agent that's using LinkedIn, LinkedIn measures how many actions you take per
[00:17:03.320 --> 00:17:04.320]   minute.
[00:17:04.320 --> 00:17:07.320]   And if you're violating that, you know, you're going to get stopped.
[00:17:07.320 --> 00:17:10.320]   So we advise our customers is like, you need to be a good citizen of the internet first.
[00:17:10.320 --> 00:17:12.320]   You need to try and obey robots.txt.
[00:17:12.320 --> 00:17:13.320]   You need to be careful what you're doing.
[00:17:13.320 --> 00:17:16.320]   And if not, like, you're going to have a really hard time.
[00:17:16.320 --> 00:17:18.320]   And no matter what we do at BrowseBase, we can't stop that.
[00:17:18.320 --> 00:17:19.320]   We can help with the simple things.
[00:17:19.320 --> 00:17:23.320]   But if you're doing something that's against the law, unethical, we don't really want that
[00:17:23.320 --> 00:17:24.320]   on our platform.
[00:17:24.320 --> 00:17:25.320]   We can help with the simple things.
[00:17:25.320 --> 00:17:25.320]   We can help with the simple things.
[00:17:25.320 --> 00:17:26.320]   We can help with the simple things.
[00:17:26.320 --> 00:17:27.320]   We can help with the simple things.
[00:17:27.320 --> 00:17:28.320]   We can help with the simple things.
[00:17:28.320 --> 00:17:29.320]   We can help with the simple things.

