
[00:00:00.320 --> 00:00:09.280]   the luma said okay give me k2 um last week we went over the original muon paper so basically
[00:11:21.040 --> 00:11:25.360]   and everyone's just saying rubik base would work and i think it's like an example of hey you know rubik
[00:11:25.360 --> 00:11:32.960]   base actually does work uh yeah i'm surprised that that's all you need they they talk about this
[00:11:32.960 --> 00:11:39.360]   specifically so for stuff like creative writing and stuff um they you know they share how they how they
[00:11:39.360 --> 00:11:45.680]   generate this pipeline is it true they used mcp tool architecture outputs yeah they basically have a
[00:11:45.680 --> 00:11:50.880]   whole bunch of mcp stuff so they scrape like a thousand mcp tools and then they they generate
[00:11:50.880 --> 00:11:56.400]   it even more so mcp is all you need in this um we'll get into it later and like actually they have a
[00:11:56.400 --> 00:12:06.480]   a stator plot of different tools um see t-sne visualization of real mcp tools um colored by
[00:12:06.480 --> 00:12:13.600]   their original sources so thousands of mcp tools of course they have crypto but um you know this is
[00:12:13.600 --> 00:12:21.280]   their mcp tools then they have synthetic tools which are also you know in different domains i love how they
[00:12:21.280 --> 00:12:27.600]   just have an unknown domain but they have crypto where it's it's some of the mcp tools but um
[00:12:27.600 --> 00:12:32.720]   that's part of it okay okay continuing on um where were we
[00:12:32.720 --> 00:12:42.000]   okay they also talk about their rl framework um it's rl with verifiable rewards this is what eugene
[00:12:42.000 --> 00:12:50.560]   was talking about it's it's not um it's not just code in math they have it on um they have it on like
[00:12:50.560 --> 00:12:57.920]   general domain so like creative writing and stuff okay so kind of interesting they talk a lot about
[00:12:57.920 --> 00:13:06.160]   critiquing outputs instead of like grpo where you do rollouts and reward the best output um they just
[00:13:06.160 --> 00:13:11.680]   have a lot of critiquing here which is kind of interesting i found their explanation of how they
[00:13:11.680 --> 00:13:17.440]   set up this whole loop to be a little confusing so like their training loop it's a little odd but um
[00:13:17.440 --> 00:13:20.960]   i don't know maybe someone else had a better intuition while reading it or broke it down or
[00:13:20.960 --> 00:13:27.280]   looked into it more but uh they they do share a lot about that okay pre-training 15 trillion tokens
[00:13:27.280 --> 00:13:33.280]   um they talk a lot about token efficiency and how it's important basically rl is very token efficient
[00:13:33.280 --> 00:13:41.440]   right so guess what do rl um they they talk about pre-training techniques so uh uh effectively
[00:13:41.440 --> 00:13:47.200]   this muon optimizer it's very very much a token efficiency thing as well then they have synthetic
[00:13:47.200 --> 00:13:55.440]   data gen um of course their ultra sparse moe is efficient uh it's mla so multi-head latent attention
[00:13:55.440 --> 00:14:01.440]   which was derived from deep seek and then they make some modifications they actually show scaling laws for
[00:14:02.240 --> 00:14:09.280]   how sparse you want moes there's charts of this later uh muon clip so this is the optimizer and
[00:14:09.280 --> 00:14:17.200]   what they do um i was thinking we actually just skip this for now since we basically did this last week
[00:14:17.200 --> 00:14:24.000]   but if there's time i think we come back um let's see if there's anything basic to say about it so you
[00:14:24.000 --> 00:14:31.440]   you know outperforms adam w better token efficiency um leads to training stability
[00:14:31.440 --> 00:14:39.920]   constraint attention logits so attention was having issues we constrain it apply kipping to unshared
[00:14:39.920 --> 00:14:45.280]   attention ads yeah i think we go over this later let's just go through the paper first unless anyone
[00:14:45.280 --> 00:14:52.560]   wants to ask a specific question or eugene do you want to say anything about it okay let's just move on since we
[00:14:52.560 --> 00:14:58.160]   basically did it so if you're interested um why they're covered at the end or check last week's
[00:14:58.160 --> 00:15:04.240]   thing okay uh pre-training data improving token utility with rephrasing it's interesting how much
[00:15:04.240 --> 00:15:12.240]   they just did rephrasing like they show cool little experiments here of um rephrasing versus uh repeating
[00:15:12.240 --> 00:15:19.440]   for multiple epochs and how their their strategy is kind of better so token efficiency refers to how much
[00:15:19.440 --> 00:15:25.040]   performance improvement you can get out of each token consumed during training increasing token
[00:15:25.040 --> 00:15:31.520]   utility the effective learning signal for each token contributes is pretty important right so that's
[00:15:31.520 --> 00:15:39.040]   something that they want to focus on naive approach is basically just do more epochs right um eugene
[00:15:39.040 --> 00:15:47.200]   question comment you're muted oh sorry not a question i think you briefly glance at our table we will go
[00:15:47.200 --> 00:15:51.760]   through it uh when we go through the table i think the table is absolutely insane where the delta between
[00:15:51.760 --> 00:15:57.200]   the second row and the first row essentially almost answers all of the game um but we can talk about it
[00:15:57.200 --> 00:16:04.560]   when you get here yeah yeah it's interesting um so basically like you guys know what multiple epochs are right so
[00:16:04.560 --> 00:16:09.200]   you you you take your let's say you have a thousand samples you train for 10 epochs you train on the
[00:16:09.200 --> 00:16:17.920]   same data 10 times um so that's one naive approach another so they compare to that um you know you do
[00:16:17.920 --> 00:16:23.920]   get some gains from doing multiple epochs and it's somewhat common for some some data like for your base
[00:16:23.920 --> 00:16:30.160]   pre-trained we don't do multiple epochs anymore we used to um for some higher quality data like some some
[00:16:30.160 --> 00:16:35.120]   some high high quality reasoning we'll we'll do it for multiple epochs and do the same data multiple
[00:16:35.120 --> 00:16:42.560]   times but here's kind of what they do um a key advancement is synthetic data gen to increase token
[00:16:42.560 --> 00:16:49.680]   utility so they have this core rephrasing pipeline um basically instead of just train on the same same
[00:16:49.680 --> 00:16:54.880]   data multiple times let's kind of rephrase it a little bit there's two two domain specialized
[00:16:54.880 --> 00:17:01.600]   rephrasing techniques that they use for knowledge and math so knowledge data rephrasing a single epoch
[00:17:01.600 --> 00:17:06.880]   is insufficient for comprehensive knowledge absorption while multi-epoch repetition yields diminishing
[00:17:06.880 --> 00:17:12.240]   returns in the risk of and increases the risk of overfitting so um we'll get to a chart in a bit but
[00:17:12.240 --> 00:17:18.880]   let's talk about what they do so first is style and perspective diversity prompting so uh prompting guide
[00:17:18.880 --> 00:17:25.840]   is you take an llm to generate free uh faithful rephrasing of the original text in very in various
[00:17:25.840 --> 00:17:32.160]   styles from different perspectives then there's uh chunk wise auto regressive generation basically if
[00:17:32.160 --> 00:17:39.200]   stuff is very long just do it in chunks so rephrase segment by segment then adopt uh auto aggressive like
[00:17:39.200 --> 00:17:45.440]   chunking fixer so divide text into segments rephrase them individually stitch them back to back to back
[00:17:45.440 --> 00:17:51.680]   together and fix that there's there's like a little pipeline on there's a little diagram on this later
[00:17:51.680 --> 00:17:59.360]   um to ensure consistency between original and rewritten content there's fidelity checks that compare the
[00:17:59.360 --> 00:18:05.440]   semantic alignment of the rephrase page with its source um yeah cool so basically they do all this
[00:18:05.440 --> 00:18:11.920]   then they run a little experiment so let's compare how this performs in the set in the sense of token
[00:18:11.920 --> 00:18:17.600]   efficiency so there's three three things that they do one is you take your original data set you train
[00:18:17.600 --> 00:18:25.120]   on it for 10 epochs uh risks here are you know you might overfit your data so you might overfit and it
[00:18:25.120 --> 00:18:28.560]   might just you're not really adding more quality you're just doing the same thing multiple times
[00:18:28.560 --> 00:18:35.680]   two is rephrase the data once and repeat it for 10 epochs so basically you take all your data
[00:18:35.680 --> 00:18:42.640]   rephrase it in a different sense and then you train for 10 epochs uh three is rephrase the data 10 times
[00:18:42.640 --> 00:18:49.120]   with a single pass of training and here's kind of the results um we extend this method towards larger
[00:18:49.120 --> 00:18:56.880]   stuff and you know each corpora is rephrased at most twice so 10 epochs on same data they they test it on
[00:18:56.880 --> 00:19:03.440]   simple qa they get 23. just rephrasing it once and training it for uh sorry rephrasing it once and
[00:19:03.440 --> 00:19:09.120]   training it for 10 epochs gets you quite a bit of improvement then there's rephrasing it 10 times and
[00:19:09.120 --> 00:19:13.280]   doing one epoch you still get a little bit more improvement but you know the main difference like
[00:19:13.280 --> 00:19:19.760]   eugene said is just here rephrasing makes quite a difference am i reading this right when actually the
[00:19:19.760 --> 00:19:23.840]   first row and second row each of them are 10 epochs but the difference between the second from the first
[00:19:23.840 --> 00:19:29.680]   row is essentially the second row actually does data cleanup by rephrasing it it's not data cleanup it's
[00:19:29.680 --> 00:19:36.960]   data augmentation so i think they keep both the original data and rephrase oh i see so they keep
[00:19:36.960 --> 00:19:44.080]   both okay i was reading it wrong i thought the first one was raw 10 epochs the second one is only rephrased
[00:19:44.080 --> 00:19:54.080]   10 epochs um we could you could be right here yeah because yeah i read it so what eugene is saying is
[00:19:54.080 --> 00:20:01.280]   you know in the the the benefit just comes from rephrasing what i read this as is keeping the original
[00:20:01.280 --> 00:20:07.040]   and rephrasing it i think i'm right because if you look at the paragraph it says rephrasing the data once
[00:20:07.040 --> 00:20:14.480]   repeating it which i think as it as the rephrase data if you look at the third line which is uh so
[00:20:14.480 --> 00:20:17.840]   that is actually cleaning up the data to be better
[00:20:17.840 --> 00:20:24.000]   that's all the juice uh so that's pretty that's pretty mind-blowing to me that someone they did this
[00:20:24.000 --> 00:20:32.480]   ablation so that's really nice yeah beautiful little um ablation basically rephrasing you get so much data
[00:20:32.480 --> 00:20:39.280]   quality improvement but the reason i interpret it the way that i did is because um you know i thought
[00:20:39.280 --> 00:20:47.440]   that 10 10 epochs of the same data is basically just the same data um adding in another look and
[00:20:47.440 --> 00:20:52.000]   doing it for tiny box gets you better performance but i think we'll dig into it later somewhere at the
[00:20:52.000 --> 00:20:57.680]   bottom they have um they have a lot of this in the appendix i wouldn't be surprised if they talk more
[00:20:57.680 --> 00:21:05.520]   about it well we'll have to check um this is our kind of chunking for long context diagram basically
[00:21:05.520 --> 00:21:11.520]   you know chunk it rewrite and then merge it and check but nothing crazy there i had a question on
[00:21:11.520 --> 00:21:20.800]   this actually this diagram um i'm thinking a lot of time but uh in the third column let's say we
[00:21:20.800 --> 00:21:24.800]   rephrase partial input one what does it mean to be auto regressive
[00:21:24.800 --> 00:21:34.880]   oh like you're adding in the first chunk and the second chunk like you're using the first chunk
[00:21:34.880 --> 00:21:42.320]   to write the second chunk i think so um here chunk based auto regressive strategy texts are divided into
[00:21:42.320 --> 00:21:48.640]   segments rephrased individually then stitched back together to form complete passages this method
[00:21:48.640 --> 00:21:55.440]   mitigates implicit output length limitations um the auto regressive part i think is let's see
[00:21:55.440 --> 00:22:00.800]   so so when i read the paragraph i read it as okay we've split in the paragraphs you rephrase it and we
[00:22:00.800 --> 00:22:07.200]   just smash it back together but i realized that the first few phrases makes a lot of difference to
[00:22:07.200 --> 00:22:13.360]   maintain global coherence i think what they're doing here is they're rephrasing the first paragraph
[00:22:14.240 --> 00:22:19.600]   add the first paragraph and the second part at the new first paragraph and the raw second paragraph and
[00:22:19.600 --> 00:22:24.480]   ask it to rewrite the second paragraph and i think by doing this it keeps the style of the first paragraph
[00:22:24.480 --> 00:22:30.080]   but i want to make sure if i'm understanding this right that's how i'm interpreting it too uh the input
[00:22:30.080 --> 00:22:35.760]   is spent to small objects with preserved context rewritten sequentially then concatenated into a fully
[00:22:35.760 --> 00:22:41.760]   rewritten but um it could be the other way too which wouldn't be as good if it's the other way then it
[00:22:41.760 --> 00:22:47.920]   doesn't have to be sequential right if it's there if you just do everything you can just be parallel the
[00:22:47.920 --> 00:22:56.800]   fact that is i yeah anyone also the graph the graph also shows they are feeding the the previous segment
[00:22:56.800 --> 00:23:04.240]   into the rewrite step so so like the second rewrite model has like two inputs it has the like original
[00:23:04.240 --> 00:23:11.520]   segment and then also the rewritten previous segment i think so so that's it if we are rewriting the last
[00:23:11.520 --> 00:23:18.320]   chunk do we pass in everything or do we just need to pass in the last chunk minus one and this is just
[00:23:18.320 --> 00:23:23.600]   last minus one right you can see it yeah it looks like partial except two right yeah so okay i think
[00:23:24.240 --> 00:23:31.120]   one one one's not going into three but one is kind of already seen this is extremely valuable uh this
[00:23:31.120 --> 00:23:38.080]   this diagram itself says a lot about how you can process long context data uh so i think you could
[00:23:38.080 --> 00:23:43.680]   do better really basically yeah that's just like yeah you could pass in multiple chunks you could do a
[00:23:43.680 --> 00:23:50.400]   better long context rewrite like this is not super efficient yeah you're right it's not super efficient yeah
[00:23:50.400 --> 00:23:56.000]   yeah yeah it also depends on how long context documents you have right so like at a certain
[00:23:56.000 --> 00:24:02.240]   yeah so i mean there's interesting stuff there but the the interesting note is the majority of the
[00:24:02.240 --> 00:24:08.800]   training was done at pretty short context actually um exactly i was so surprised 4k context only so but
[00:24:08.800 --> 00:24:13.520]   okay i'll let you get it there i'll stop interrupting i mean no no it makes sense right like it's a
[00:24:13.520 --> 00:24:20.240]   trillion tokens it's a trillion sorry trillion parameters it's a big model like um that context
[00:24:20.240 --> 00:24:26.720]   really adds up so they do context length extension later i also just don't think that we have 15
[00:24:26.720 --> 00:24:33.280]   trillion like even trillions of tokens of really long context right like that just doesn't exist um and
[00:24:33.280 --> 00:24:42.000]   it's so much more exponentially expensive to train at long context um okay so uh basically they rewrite
[00:24:42.000 --> 00:24:48.320]   high quality math into learning note style so instead of just question answers you know here's a learning
[00:24:48.320 --> 00:24:54.240]   note of how i would solve this uh translate high quality map into other languages this is standard
[00:24:54.240 --> 00:24:59.680]   seen in other work as well okay overall they have 15 trillion tokens i thought this was interesting
[00:24:59.680 --> 00:25:04.720]   they have web text code math and knowledge um i don't know what knowledge is but they have knowledge
[00:25:04.720 --> 00:25:11.680]   for each domain we perform rigorous correctness and quality evals you know standard filtration stuff
[00:25:12.560 --> 00:25:18.560]   a lot of rewriting though okay 32 billion active parameters similar to deep seek v3 they use mla
[00:25:18.560 --> 00:25:27.040]   um is our attention to external hidden dimension of this okay so scaling law analysis reveals that
[00:25:27.040 --> 00:25:32.160]   continued increase in sparsity yields substantial performance improvements which allowed us which
[00:25:32.160 --> 00:25:38.960]   motivated us to increase the number of experts to 384 instead of 256 in v3 to reduce computational overhead
[00:25:38.960 --> 00:25:47.360]   during inference we can we cut the attention heads to 64 instead of 128 so they do scaling laws to reveal that
[00:25:47.360 --> 00:25:56.880]   um you know based on the number of active parameters you want increasing sparsity so um taking the same
[00:25:56.880 --> 00:26:04.960]   number of active parameters but increasing total experts is very um is better performance uh and
[00:26:04.960 --> 00:26:13.840]   they um so you know they increase experts and they cut the attention heads in half this helps with their
[00:26:13.840 --> 00:26:20.400]   training stability so their new optimizer um had issues and they they cut attention heads in half
[00:26:21.520 --> 00:26:28.800]   okay this is um you know similar to deep seek so more total parameters less active parameters more
[00:26:28.800 --> 00:26:35.120]   experts less attention heads only one dense layer which they don't talk much about here's their sparsity
[00:26:35.120 --> 00:26:39.360]   scaling law um sparse oh one sec don't be right back
[00:26:42.240 --> 00:26:47.920]   oh no oh no oh no that's mochi need to get out of the room or that's what you need to get into the room
[00:26:47.920 --> 00:26:55.120]   what he has always has needs um mochi's fomo from paper club oh mochi's here
[00:26:55.120 --> 00:27:04.960]   no she just needs papers what you can tell with us all right okay sparsity is the ratio of um total experts
[00:27:05.520 --> 00:27:12.960]   compared to active experts uh 48 is their magic number but um basically what is this they have
[00:27:12.960 --> 00:27:23.120]   uh 384 um 384 total experts and 16
[00:27:23.120 --> 00:27:30.320]   and let's read to this okay sparsity is the ratio of total number of experts compared to a number of
[00:27:30.320 --> 00:27:36.000]   factors under so this is the scaling law basically that they find under a fixed number of active
[00:27:36.000 --> 00:27:44.000]   parameters uh basically in this case the 32b active parameters that they want to set um increasing the
[00:27:44.000 --> 00:27:51.280]   total number of experts in basically making it more sparse consistency consistently lowers both the
[00:27:51.280 --> 00:27:59.200]   training and validation laws thereby enhancing overall model performance um they do these experiments
[00:27:59.200 --> 00:28:09.760]   um increasing sparsity leads to better performance it also adds infrastructure complexity um there was a
[00:28:09.760 --> 00:28:17.920]   semi-analysis paper on like why llama 4 failed and they talk a lot about moe stuff and their expert
[00:28:17.920 --> 00:28:23.120]   choice routing versus token choice routing and all these stability issues and infrastructure and how they
[00:28:23.120 --> 00:28:28.480]   get and how they changed halfway through but yeah when you make stuff more sparse and you have like
[00:28:28.480 --> 00:28:34.240]   uh stuff like that then then you need to you know you need to deal with infrastructure complexity
[00:28:34.240 --> 00:28:44.320]   so they have a sparsity of 48 achieving um activating eight out of 384 experts per forward pass um here's
[00:28:44.320 --> 00:28:51.040]   kind of their their laws so increased sparsity better performance doubling the number of attention heads
[00:28:51.040 --> 00:28:57.120]   they also checked it didn't take much of a hit i think this is the next section uh frankie you have hand up
[00:28:57.120 --> 00:29:04.080]   oh yeah i just want to ask um maybe more of an interpretive kind of uh question here so they
[00:29:04.080 --> 00:29:12.320]   found that increasing moe is and decreasing number of heads um it is better so could the interpretation be
[00:29:12.320 --> 00:29:18.800]   that um the tissue heads are essentially kind of like mixing stuff from your context the moes is kind
[00:29:18.800 --> 00:29:25.760]   of figuring out what you do with that mix so i think maybe it's saying that the expressivity of what you
[00:29:25.760 --> 00:29:30.640]   should do with the mix is more important than the mixing itself that is you can kind of like
[00:29:30.640 --> 00:29:35.680]   get raw stuff from your neighbors but you should be smarter about what you do with it
[00:29:35.680 --> 00:29:39.920]   would that be a correct interpretation and it's kind of hard but what do you guys think
[00:29:41.760 --> 00:29:50.800]   um two things so one the attention head is not actually it's not necessarily better to cut them
[00:29:50.800 --> 00:29:57.360]   they did it for training stability so the the dots here are lower loss but double the attention head so
[00:29:57.360 --> 00:30:05.200]   um more attention heads actually helps performance it's just not much like they say it's a doubling the
[00:30:05.200 --> 00:30:11.600]   number of attention heads led to a reduction in validation loss of 0.5 to 1.2 percent so it's still
[00:30:11.600 --> 00:30:18.000]   better it's not worse to have more attention heads it's just a lot more um it's a lot more complexity so
[00:30:18.000 --> 00:30:23.680]   so here's a here's a cool quote so with the sequence length of 128k doubling the attention
[00:30:23.680 --> 00:30:29.840]   heads from 64 to 128 while keeping the total expert count fixed leads to an 83 percent increase in
[00:30:29.840 --> 00:30:38.720]   inference flops so you're nearly doubling the compute required for inference by doubling your attention heads
