
[00:00:00.000 --> 00:00:01.000]   Guys, my dog.
[00:02:31.820 --> 00:02:35.660]   up with him. Cause I thought they were getting into some pretty interesting discussion towards
[00:02:35.660 --> 00:02:40.080]   the end. And we obviously ran out of time to Martha had to hop off. So, uh, it would,
[00:02:40.080 --> 00:02:43.660]   it would have been great to keep that conversation going. Apology. I really do think there's
[00:02:43.660 --> 00:02:48.860]   a big question Mark on like, how does the decentralized centralized web or decentralized
[00:02:48.860 --> 00:02:53.420]   social networks in particular work with respect to kind of that, you know, recommendation
[00:02:53.420 --> 00:02:57.940]   application layer, which is effectively what search solved on the internet. Um, and so
[00:02:57.940 --> 00:03:01.820]   I'm, I'm, I'm curious to keep the conversation going and seeing, you know, what this means.
[00:03:01.820 --> 00:03:06.460]   I made the decision to end the pod because Chamath had to go, Saks had to go. There was
[00:03:06.460 --> 00:03:11.600]   a hard stop. And I was like, I don't want to keep this going without the other besties.
[00:03:11.600 --> 00:03:15.920]   And people were very upset. They thought I, um, shut it down abruptly, but we had a certain
[00:03:15.920 --> 00:03:19.120]   amount of time and we can always have them back. So everybody relax. But I did look at
[00:03:19.120 --> 00:03:23.400]   the stats. We each came in with our, you know, whatever percent prorotic, whatever percentage
[00:03:23.400 --> 00:03:26.760]   data, and he had double. So he had 40% and we all had basically, which is right for a
[00:03:26.760 --> 00:03:30.840]   guest. I think I felt right. Didn't it feel right. I think it's important to hear what,
[00:03:30.840 --> 00:03:37.660]   when folks come on, what they have to say. Um, he's a really smart guy and you know,
[00:03:37.660 --> 00:03:42.460]   you can kind of just let him go and riff for a while. Um, and then just react to him. So
[00:03:42.460 --> 00:03:48.780]   I think it's, it's lovely to hear such a deep thinker think out loud, quite honestly. Yeah.
[00:03:48.780 --> 00:03:52.420]   And even if you don't agree with him, I don't agree with him on a lot of his points about,
[00:03:52.420 --> 00:03:53.380]   you know, decentralized everything.
[00:03:53.380 --> 00:03:58.800]   I think centralized works for, you know, many things better. I'm curious, Saks, you know,
[00:03:58.800 --> 00:04:02.880]   looking back on it, were there moments that you felt maybe you disagreed with him more
[00:04:02.880 --> 00:04:06.000]   or agree with him more and wanted to lean into a conversation? Obviously it's very hard
[00:04:06.000 --> 00:04:10.140]   to have five people on a pod and only get a certain amount of airtime, et cetera.
[00:04:10.140 --> 00:04:15.260]   Well, look, I think, um, I think biology is a great guest to have on once in a while.
[00:04:15.260 --> 00:04:20.680]   I mean, it does kind of turn the pod a little bit more into a Ted talk. Uh, definitely have
[00:04:20.680 --> 00:04:23.360]   that vibe, but the, the fans.
[00:04:23.360 --> 00:04:24.360]   Yeah.
[00:04:24.360 --> 00:04:27.640]   Liked it. And I mean, biology should have his own show. I mean, he can go for a while.
[00:04:27.640 --> 00:04:32.540]   I mean, he's got a lot to say for hours. Yes. And he has, he has, and, and I think he should
[00:04:32.540 --> 00:04:36.820]   do his own show because there's definitely a huge fan base for it. And, uh, and if people
[00:04:36.820 --> 00:04:41.700]   want more biology, I interviewed him for about an hour on purple pills, which is kind of
[00:04:41.700 --> 00:04:46.560]   the, the, I don't know if you want to call solo pod solo show that I do where I occasionally
[00:04:46.560 --> 00:04:52.300]   interview people on call and download call in and, uh, go check out purple pills. Uh,
[00:04:52.300 --> 00:04:53.340]   so yeah. You know, I think it's, it's a great, it's a great podcast. I think it's, it's a great
[00:04:53.340 --> 00:04:54.340]   podcast.
[00:04:54.340 --> 00:04:55.340]   Yeah.
[00:04:55.340 --> 00:04:56.340]   I think it's, it's a great podcast. I think it's a great podcast. I think it's a great
[00:04:56.340 --> 00:04:57.920]   podcast. And you know, I gave a biology, a little pep talk coming in saying, Hey, listen,
[00:04:57.920 --> 00:05:02.160]   it's a round table discussion and I've interviewed you before, and you can kind of tip into the
[00:05:02.160 --> 00:05:06.640]   monologuing and explaining very big picture things. So just try to pass the ball a little
[00:05:06.640 --> 00:05:11.160]   bit here. Um, and I, and I think he, he did adjust his game a little bit, but it's, you
[00:05:11.160 --> 00:05:14.740]   know, it's hard to have somebody like that on. I think you pointed it out. Sacks that
[00:05:14.740 --> 00:05:16.260]   it's more like a Ted talk for him.
[00:05:16.260 --> 00:05:20.320]   We're having a conversation and he's used to being interviewed. And I think that is a,
[00:05:20.320 --> 00:05:23.320]   that's a transition, but you know, um, it was fine.
[00:05:23.320 --> 00:05:24.320]   Let's move on.
[00:05:24.320 --> 00:05:29.820]   Yeah. Okay. So I think we'll start off with something we talked about on episode nine,
[00:05:29.820 --> 00:05:35.300]   which was Coinbase, the CEO, Brian Armstrong wrote a very controversial blog, very, very
[00:05:35.300 --> 00:05:40.440]   controversial blog post, uh, exactly a year ago, Coinbase is a mission focused company
[00:05:40.440 --> 00:05:46.940]   at the time he was dealing with a never ending debate inside his own company about black
[00:05:46.940 --> 00:05:50.000]   lives matter about social justice and any number of issues.
[00:05:50.000 --> 00:05:53.300]   And he said, listen, the company is mission focused. Our mission
[00:05:53.300 --> 00:05:58.760]   is to, you know, make people more financially independent, literate, et cetera. And we're
[00:05:58.760 --> 00:06:03.140]   going to ban any discussions on our electronic communications. You can do things on your
[00:06:03.140 --> 00:06:07.160]   own time. And it was quite controversial at the time. We had a good discussion. I re-listened
[00:06:07.160 --> 00:06:12.240]   to our discussion. I re-listened to our discussion on that pod and we all universally felt like
[00:06:12.240 --> 00:06:17.680]   it was the right move. Well, he went ahead and, uh, picked up the hornet's nest. He did
[00:06:17.680 --> 00:06:22.220]   not have to talk about this ever again. Everybody had forgotten about it and he grabbed the
[00:06:22.220 --> 00:06:23.280]   hornet's nest.
[00:06:23.280 --> 00:06:25.020]   He ran into the end zone and spiked it.
[00:06:25.020 --> 00:06:29.900]   Jason, can you, well, before you do that, can you say how many people left as a result
[00:06:29.900 --> 00:06:32.900]   of his blog post and all, do you know those stats? Cause I think those were
[00:06:32.900 --> 00:06:35.460]   I don't have those stats handy, but it was a dozen or two.
[00:06:35.460 --> 00:06:40.560]   It was 5% ended up leaving. There was a big article about it. You gotta, this was, I think,
[00:06:40.560 --> 00:06:44.660]   I think it was worth him doing a followup post. This was the one year anniversary of
[00:06:44.660 --> 00:06:48.800]   his blog post and he was kind of giving us a status update. And what he basically said
[00:06:48.800 --> 00:06:53.260]   is that the policy had worked. Um, so you got to, so first of all, should we just review
[00:06:53.260 --> 00:06:54.260]   what the policy was?
[00:06:54.260 --> 00:06:55.260]   Yeah.
[00:06:55.260 --> 00:07:00.080]   The policy was that they were going to declare the workplace to be politically neutral, that
[00:07:00.080 --> 00:07:06.160]   people would leave their politics to the door. They would not have sort of extraneous political
[00:07:06.160 --> 00:07:11.180]   conversations at work. That doesn't mean you couldn't support whatever causes you wanted
[00:07:11.180 --> 00:07:15.660]   on your own time or tweet whatever you want on your own time. But while you're at work,
[00:07:15.660 --> 00:07:20.600]   they would declare it to be sort of a political DMZ, like a demilitarized zone. Basically
[00:07:20.600 --> 00:07:23.240]   all he was doing was reasserting the old.
[00:07:23.240 --> 00:07:28.480]   Center the old etiquette of, Hey, when you go to work, you you're not engaged in your
[00:07:28.480 --> 00:07:34.140]   point to leave it. Yeah. You're paid to work. You're not there to engage in political activism.
[00:07:34.140 --> 00:07:38.740]   So that was the policy. And of course, uh, the, the, the, the woke mob became completely
[00:07:38.740 --> 00:07:44.260]   hysterical about it, uh, as it turns. And so then what happened is that Brian offered
[00:07:44.260 --> 00:07:48.480]   everyone a very generous severance policy. If they didn't want to stick around policy.
[00:07:48.480 --> 00:07:53.220]   Yes. Extremely generous. So they made it really absurdly generous, right? They made it really
[00:07:53.220 --> 00:07:57.040]   easy for people to check out if they want to check out. Well, only 5% took the policy
[00:07:57.040 --> 00:08:01.520]   people. Yes. And then on the heels of that, there was a gigantic New York times hit piece
[00:08:01.520 --> 00:08:07.700]   against the company, the usual disinformation and slanders, um, against the company. And
[00:08:07.700 --> 00:08:09.220]   then now we have this follow-up piece.
[00:08:09.220 --> 00:08:14.840]   And I think what Brian basically reported is that today Coinbase is a more aligned company
[00:08:14.840 --> 00:08:18.280]   because everyone who's there wants to be there for the mission. That's what they focus on
[00:08:18.280 --> 00:08:22.200]   when they go to work. He talked about how they had hired top talent away from other
[00:08:22.200 --> 00:08:23.200]   companies.
[00:08:23.200 --> 00:08:28.060]   And basically he put out the bat signal and people came running because you know, we have,
[00:08:28.060 --> 00:08:32.260]   they wanted neutrality. They did not want it. People are voting with their feet to come
[00:08:32.260 --> 00:08:36.800]   work. They're fed up with the politics and distraction. And, and I think the employees
[00:08:36.800 --> 00:08:42.440]   were secretly relieved that he declared this policy. Basically he took the heat on himself
[00:08:42.440 --> 00:08:46.320]   for the larger benefit of all the employees who just want it to be there and work and
[00:08:46.320 --> 00:08:50.140]   not have to wonder whether they're doing something right or wrong because they're on the wrong
[00:08:50.140 --> 00:08:51.180]   side of a political issue.
[00:08:51.180 --> 00:08:52.180]   Free.
[00:08:52.180 --> 00:08:53.180]   Berg. Nailed it.
[00:08:53.180 --> 00:08:56.260]   You said in our episode nine, which you can go back to free, but you may not remember
[00:08:56.260 --> 00:09:00.740]   your comments, but you said, what about the employees who just want to come to work and
[00:09:00.740 --> 00:09:04.420]   don't want to engage in political space? Now you're infringing on them to force them to
[00:09:04.420 --> 00:09:07.780]   be participate in these discussions and they don't have a choice because they need to feed
[00:09:07.780 --> 00:09:10.680]   their families need to go to work. And so free, we're going to take a little victory
[00:09:10.680 --> 00:09:14.860]   lap there. He says in this tweet storm, I'll just read the third part of it. One of the
[00:09:14.860 --> 00:09:18.820]   biggest concerns around our stance was that it would impact our diversity numbers. Since
[00:09:18.820 --> 00:09:23.160]   my post we've grown our head count about 110% doubled it. While our diversity numbers have
[00:09:23.160 --> 00:09:28.840]   remained the same or even improved in some metrics. So all of the hand wringing and pearl
[00:09:28.840 --> 00:09:33.080]   clutching that this would have a negative effect on the company has turned out to be
[00:09:33.080 --> 00:09:35.280]   wrong. Go ahead, Chamath and then free.
[00:09:35.280 --> 00:09:39.260]   I mean, if you want, it's like, I think it's important to set the context for what this
[00:09:39.260 --> 00:09:46.920]   is. There is a, um, a productivity war going on inside of, um, institutions around the
[00:09:46.920 --> 00:09:53.140]   world. And what's happening is that, um, people's personal beliefs are bumping up against what
[00:09:53.140 --> 00:09:59.460]   the government is doing. And, um, goals, operational goals of a company are, or a university or
[00:09:59.460 --> 00:10:04.360]   all these other places. And so this is probably the first big example. This is a, what is
[00:10:04.360 --> 00:10:10.280]   a 50, $60 billion public company, um, $50 billion public company that basically said
[00:10:10.280 --> 00:10:12.020]   enough's enough.
[00:10:12.020 --> 00:10:16.980]   This is our mission. Everybody else, um, basically just needs to shut the fuck up. And I think
[00:10:16.980 --> 00:10:21.960]   that that's very important. Now, if they then go off and actually crush their goals, that's
[00:10:21.960 --> 00:10:23.120]   the one missing piece.
[00:10:23.120 --> 00:10:27.700]   And all of this, because when that happens, then you can write a through line through
[00:10:27.700 --> 00:10:32.160]   all of this and say, okay, this is in part what allowed them to do it. So I think that
[00:10:32.160 --> 00:10:39.360]   the, um, the, um, the, the folks that, you know, uh, were really up in arms still have,
[00:10:39.360 --> 00:10:46.080]   uh, one small straw in the fight, which is that if these guys don't achieve their goals,
[00:10:46.080 --> 00:10:49.120]   they'll point to this as one of the reasons why, but if Brian
[00:10:49.120 --> 00:10:53.100]   diversity is strength, you know, like, yeah, you're suppressing free speech.
[00:10:53.100 --> 00:10:58.640]   You know that argument. But I think if Brian then goes and delivers a couple of knockout
[00:10:58.640 --> 00:11:04.200]   quarters and a couple of knockout years, then, um, you know what he will be able to say definitively,
[00:11:04.200 --> 00:11:08.960]   which no one can refute is we leave our politics at the door. We define our okay. R's and then
[00:11:08.960 --> 00:11:14.040]   we go and we build things that people need, um, as a company. And then you go off and
[00:11:14.040 --> 00:11:18.460]   you can do whatever you want. And I think that that's very powerful for, uh, many companies
[00:11:18.460 --> 00:11:19.460]   and institutions.
[00:11:19.460 --> 00:11:23.080]   Friedberg. You heard my recap of what you said last time. I'm not sure if you remembered
[00:11:23.080 --> 00:11:24.580]   this and what are your thoughts today?
[00:11:24.580 --> 00:11:31.000]   I think it's, um, it's worth just noting less about the particularities of what was said
[00:11:31.000 --> 00:11:37.780]   in the particular issue at hand here. And I, I would look more to kind of Brian's, um,
[00:11:37.780 --> 00:11:42.860]   leadership style as an excellent example of defining and creating strong culture, culture
[00:11:42.860 --> 00:11:49.020]   in an, uh, organization can give that organization what it needs to succeed. It puts everyone
[00:11:49.020 --> 00:11:53.060]   aligned in a specific way on how we make decisions, how we operate. It doesn't matter what the
[00:11:53.060 --> 00:11:57.300]   his particular beliefs and opinions were what to exclude, what to include in the dialogue and the
[00:11:57.300 --> 00:12:01.300]   discourse and the model for discourse within the organization. I think what matters that he put
[00:12:01.300 --> 00:12:05.700]   a line in the sand and he said, this is what we're going to do. This is what's in.
[00:12:05.700 --> 00:12:10.820]   And this is what's out. And organizations that do that and do that effectively generally win,
[00:12:10.820 --> 00:12:15.140]   they win more, they do better. The teams are aligned, the teams are more unified.
[00:12:15.140 --> 00:12:18.500]   And I think that definition may sometimes be controversial. And you'll notice that as
[00:12:18.500 --> 00:12:22.900]   companies get bigger, go public, they're larger, they bring in professional managers and the
[00:12:22.900 --> 00:12:28.900]   founder CEO steps out, they generally don't do that, right? They generally try to not do that
[00:12:28.900 --> 00:12:33.460]   definitional work, because they're trying to minimize loss, and not kind of take the bet on
[00:12:33.460 --> 00:12:38.100]   maximizing long term gain and doing the things that they think culturally define or will enable
[00:12:38.100 --> 00:12:43.300]   success long term. So I think it's a great example of leadership generally on how you kind of can,
[00:12:43.300 --> 00:12:46.420]   can be very vocal about defining a strong culture.
[00:12:46.420 --> 00:12:48.820]   Elon calls it I think Elon calls it corpo speak.
[00:12:48.820 --> 00:12:51.540]   What happens? Like,
[00:12:51.540 --> 00:12:52.740]   when you're meeting most companies,
[00:12:52.740 --> 00:12:56.820]   when they get bigger, they gravitate towards corpo speak. And then what happens is
[00:12:56.820 --> 00:13:03.460]   some cohort of employees who are really good, just feel trapped in this kind of morass of mediocrity.
[00:13:03.460 --> 00:13:09.300]   And by the way, look at Elon's, you know, call it attrition rate, right? By the typical large
[00:13:09.300 --> 00:13:13.140]   scale public company corporate metric of like, how many people are leaving per year, you'd say,
[00:13:13.140 --> 00:13:17.540]   oh, my gosh, something's up with that organization. But it really speaks to a strong culture. There's
[00:13:17.540 --> 00:13:22.180]   a company that's famous for this called Bridgewater Associates, you know, run by Ray Dalio $100 billion
[00:13:22.180 --> 00:13:22.580]   hedge fund.
[00:13:22.580 --> 00:13:26.740]   One of the best performing investment vehicles of all time. And they have incredible culture.
[00:13:26.740 --> 00:13:30.500]   I've talked about Ray Dalio's book principles before and some of the work he's done on this,
[00:13:30.500 --> 00:13:34.980]   where he is so adamant about getting culture right within the organization, how you operate,
[00:13:34.980 --> 00:13:39.620]   that they almost have, I think, a 30% attrition rate after the first year of people that come in,
[00:13:39.620 --> 00:13:43.140]   because they not only try and screen for these elements of what they consider to be the right
[00:13:43.140 --> 00:13:47.140]   cultural fit for their organization upfront, but then they also screen people the heck out of the
[00:13:47.140 --> 00:13:51.860]   door if they're not a good fit. And I think Elon has a similar sort of model. And you know, I think
[00:13:51.860 --> 00:13:52.420]   Brian, the way he's been doing it for a long time, he's been doing it for a long time. He's been doing it for a long time.
[00:13:52.420 --> 00:13:56.820]   The way he speaks about the organization is a similar model. And it's about defining the lines.
[00:13:56.820 --> 00:13:59.780]   It's about being very crystal clear about what's in and what's not.
[00:13:59.780 --> 00:14:05.540]   Whatever if you as a CEO and a founder, whatever you believe, you need to believe in it strongly.
[00:14:05.540 --> 00:14:09.540]   And you communicate it clearly, and then communicate it and then let people vote.
[00:14:09.540 --> 00:14:13.460]   They vote with their feet, they don't get to vote whether to change it. They just get to vote
[00:14:13.460 --> 00:14:17.300]   whether they get to stay or whether they go. And I think that that's a really smart.
[00:14:17.300 --> 00:14:18.420]   I think that's well said.
[00:14:18.420 --> 00:14:22.260]   Yeah, I think there's one other issue here. Jake, Jake, how this goes back to your point about why
[00:14:22.260 --> 00:14:26.100]   Brian have to bring this back up? Was it unnecessary? Did he spike the hornet's nest in
[00:14:26.100 --> 00:14:31.060]   the end zone? Here's why I think it was necessary. If you go to point seven and eight of his tweet
[00:14:31.060 --> 00:14:35.940]   storm, he says, it was the most positive reaction I've gotten from any change I've made in the
[00:14:35.940 --> 00:14:40.420]   history of the company, which is saying something, how could something be so negative in the press,
[00:14:40.420 --> 00:14:44.260]   but turned out to be incredibly, incredibly positive with every stakeholder 95% of
[00:14:44.260 --> 00:14:48.500]   employees privately, all the investors were telling him it was a great thing.
[00:14:48.500 --> 00:14:52.100]   And then what he says is the only sense I can make of it is there's a huge mismatch right now.
[00:14:52.100 --> 00:14:56.900]   Between people stated and revealed preferences, and we're operating in an environment of virtue
[00:14:56.900 --> 00:15:02.980]   signaling and fear of speaking up. So to me, this is the point of this tweet storm and bringing up
[00:15:02.980 --> 00:15:10.020]   now is without people like Brian standing up and saying what the truth is that look,
[00:15:10.020 --> 00:15:13.940]   everybody wants this, they're just afraid to articulate the principle.
[00:15:13.940 --> 00:15:21.940]   We keep, we keep encouraging this climate of fear. And you know, the alternative to Coinbase, one of
[00:15:21.940 --> 00:15:26.260]   the other companies we've talked about is Apple. I mean, you can basically choose to be Coinbase or
[00:15:26.260 --> 00:15:32.180]   Apple. What has Apple done? They booted out Antonio Garcia Martinez because of a passage in his book
[00:15:32.180 --> 00:15:36.980]   that they knew about. And ever since then, the company's been roiled by boycotts and petition
[00:15:36.980 --> 00:15:40.100]   writing from the employees about some new cause every couple of weeks.
[00:15:40.100 --> 00:15:43.140]   And eventually that'll show up in the operating results of the business.
[00:15:43.140 --> 00:15:44.420]   It's just a matter of time.
[00:15:44.420 --> 00:15:49.780]   Right. And so, so why, why does that go on? I mean, I'm sure most employees at Apple don't want to be
[00:15:49.780 --> 00:15:51.780]   constantly royal.
[00:15:51.780 --> 00:15:52.020]   Right.
[00:15:52.020 --> 00:15:57.700]   By these like petition campaigns. But they have to put up with it because everyone's so afraid
[00:15:57.700 --> 00:16:01.540]   to speak up. And that's why it's important that what Brian did, we have to basically
[00:16:01.540 --> 00:16:08.580]   recognize that this woke mob who's cowed everyone to silence is maybe 5% of these companies. And if
[00:16:08.580 --> 00:16:11.380]   everybody just acts like Brian, the problem will be over.
[00:16:11.380 --> 00:16:14.740]   Well, we know, we know what the trail of breadcrumbs is right now.
[00:16:14.740 --> 00:16:21.620]   And I think we should probably, you know, shine a light on it, which is that that 5% is exactly
[00:16:21.620 --> 00:16:26.900]   the same as Donald Trump, they just exist on the left, you know, and there's, there's more and more
[00:16:26.900 --> 00:16:33.540]   research that shows that just as much as we thought they were right, authoritarians, they're
[00:16:33.540 --> 00:16:38.820]   also left authoritarians. And this is what we're seeing that, that the craziness that you know,
[00:16:38.820 --> 00:16:42.100]   everybody decries on the right, actually also exists on the left.
[00:16:42.100 --> 00:16:45.540]   And they just put a button on that before we pivot to the next story.
[00:16:45.540 --> 00:16:51.460]   Armstrong was very clear that the mission is about global wealth inequality. So staying
[00:16:51.460 --> 00:16:57.460]   focused on that, in his mind is the high order a bit and will result in the most great change.
[00:16:57.460 --> 00:17:02.260]   So paradoxically, or ironically, you know, all these woke people attacking Coinbase,
[00:17:02.260 --> 00:17:07.060]   Coinbase might do more for wealth inequality, and justice in the world,
[00:17:07.060 --> 00:17:12.100]   if they stay focused, then if they try to tackle everything, and you know, this is a road to
[00:17:12.100 --> 00:17:16.260]   nowhere for Apple, I think, Sax, you pointed this out about how if you were running Apple,
[00:17:16.260 --> 00:17:21.300]   you would fire anybody who does a petition, because I'll tell you where Apple is about to
[00:17:21.300 --> 00:17:28.420]   to basically land by enabling all of this woke mob inside their own company by coddling them,
[00:17:28.420 --> 00:17:35.140]   addressing them, and not keeping them focused, they will eventually get to the fact that China
[00:17:35.140 --> 00:17:40.340]   is, you know, has 3 million Uyghurs in a concentration camp, and those Uyghurs
[00:17:40.340 --> 00:17:47.220]   are proven to be providing through slave labor, equipment and components
[00:17:47.220 --> 00:17:51.140]   to companies that eventually make their way to Apple products. Ergo,
[00:17:51.140 --> 00:17:56.180]   Apple supports slavery. And that's what the employees will eventually get to. And that will
[00:17:56.180 --> 00:18:00.820]   cause chaos. But there's something even closer, more closer to home that that's probably true,
[00:18:00.820 --> 00:18:06.980]   or could be true. I don't know. It is true. But, you know, the fact that Apple had the most
[00:18:06.980 --> 00:18:12.900]   important security leak in their entire software career, just a few months ago,
[00:18:12.900 --> 00:18:20.980]   is also quite important. Like you had a zero, why is it important? You had a zero, so the iOS 4.0
[00:18:20.980 --> 00:18:27.860]   14.8 exists because of why? Because a researcher or a set of researchers in Toronto discovered that
[00:18:27.860 --> 00:18:34.020]   there was a zero click exploit in iOS that allowed you to basically turn on the microphone, turn on
[00:18:34.020 --> 00:18:39.140]   the camera, you know, grab anything you needed from iPhones, it was the most secure device
[00:18:39.140 --> 00:18:43.460]   until two months ago, when it turned out it was actually the most insecure device.
[00:18:43.460 --> 00:18:46.100]   So you're saying… I tend to think those kinds of
[00:18:46.100 --> 00:18:50.820]   technical mistakes happen when people take their eye off the ball. And I think people take their eye
[00:18:50.820 --> 00:18:57.060]   off the ball, because they're demoralized with dealing with distractions. Sax?
[00:18:57.060 --> 00:19:03.940]   Yeah, I mean, I think it's the whether it's the Uyghurs or the security issue, it's a good example
[00:19:03.940 --> 00:19:09.780]   of the employees at Apple, see the spec in somebody else's eye, but not the log in their own.
[00:19:09.780 --> 00:19:15.780]   I mean, that's, that's the principle. And, and they would be much better off focusing on dealing
[00:19:15.780 --> 00:19:20.660]   with their own internal issues. But but let's go, can we go back to that article that Chamath
[00:19:20.660 --> 00:19:21.220]   referenced about?
[00:19:21.220 --> 00:19:25.460]   Yeah, well, let me get free, you got anything else on this issue that you want to before we
[00:19:25.460 --> 00:19:26.260]   segue over?
[00:19:26.260 --> 00:19:26.980]   No.
[00:19:26.980 --> 00:19:29.540]   I thought this is a really great article. Do you want to explain it, Jayco?
[00:19:29.540 --> 00:19:32.340]   Yeah, I'll just give you a quick overview. And then you can dive right in since you put
[00:19:32.340 --> 00:19:36.340]   it on the docket. Psychiatrist and author Sally Sattel, hopefully I'm pronouncing that correct,
[00:19:36.340 --> 00:19:40.340]   wrote an article for the Atlantic entitled The Expert Somehow Overlooked Authoritarians on the
[00:19:40.340 --> 00:19:45.460]   Left. The main point here is that Trump's presidency sparked a ton of research and coverage
[00:19:45.460 --> 00:19:49.300]   of authoritarianism on the right, but mostly ignored the left with some researchers even
[00:19:49.300 --> 00:19:50.500]   suggesting that the left wing…
[00:19:51.060 --> 00:19:56.500]   that left wing authoritarianism isn't real. In an email to Sattel, a social psychologist from
[00:19:56.500 --> 00:20:02.180]   Rutgers said the following. For 70 years, the law, the lore in the social sciences has been
[00:20:02.180 --> 00:20:07.380]   that authoritarianism has been found exclusively on the political right. Why is that? One reason
[00:20:07.380 --> 00:20:12.180]   left wing authoritarian authoritarianism barely showed up in social psychology research is that
[00:20:12.180 --> 00:20:17.060]   most academic experts in the field are based at institutions where prevailing attitudes are far
