
[00:00:00.040 --> 00:00:09.380]  fäh
[00:06:48.260 --> 00:07:18.260]  ,
[00:07:18.260 --> 00:07:18.260]   That's right.
[00:07:18.260 --> 00:07:18.260]   So, if you add one hour of homework per day, that would wind up being about 9 hours per day.
[00:07:18.260 --> 00:07:18.260]   So, if you add one hour of homework per day, that would wind up being about 9 hours per day.
[00:07:18.260 --> 00:07:18.260]   So, if you add one hour of homework per day, that would wind up being about 9 hours per day.
[00:07:18.260 --> 00:07:18.260]   So, if you add one hour of homework per day, that would wind up being about 9 hours per day.
[00:07:18.260 --> 00:07:18.260]   So, if you add one hour of homework per day, that would wind up being about 9 hours per day.
[00:07:18.260 --> 00:07:18.260]   So, if you add one hour of homework per day, that would wind up being about 9 hours per day.
[00:07:18.300 --> 00:07:48.280]  ,
[00:07:48.280 --> 00:07:48.280]   So, if you add one hour of homework per day, that would wind up being about 9 hours per day.
[00:07:48.280 --> 00:07:48.280]   So, if you add one hour of homework per day, that would wind up being about 9 hours per day.
[00:07:48.280 --> 00:07:48.280]   So, if you add one hour of homework per day, that would wind up being about 9 hours per day.
[00:07:48.280 --> 00:07:48.280]   So, if you add one hour of homework per day, that would wind up being about 9 hours per day.
[00:07:48.280 --> 00:07:48.280]   So, if you add one hour of homework per day, that would wind up being about 9 hours per day.
[00:07:48.280 --> 00:07:48.280]   So, if you add one hour of homework per day, that would wind up being about 9 hours per day. So, if you add one hour of homework per day, that would be a day, that would be a day. So, if you add one hour of homework per day, that would be a day, that would be a day.
[00:07:48.300 --> 00:08:18.300]   So, if you add one hour of homework per day, that would wind up being about 9 hours per day.
[00:08:18.300 --> 00:08:18.300]   So, if you add one hour of homework per day, that would wind up being about 9 hours per day.
[00:08:18.300 --> 00:08:18.300]   So, if you add one hour of homework per day, that would wind up being about 9 hours per day.
[00:08:18.300 --> 00:08:18.300]   So, if you add one hour of homework per day, that would wind up being about 9 hours per day.
[00:08:18.300 --> 00:08:18.300]   So, if you add one hour of homework per day, that would wind up being about 9 hours per day.
[00:08:18.300 --> 00:08:18.300]   So, if you add one hour of homework per day, that would wind up being about 9 hours per day.
[00:08:18.300 --> 00:08:18.300]   So, if you add one hour of homework per day, that would wind up being about 9 hours per day.
[00:08:18.300 --> 00:08:18.300]   So, if you add one hour of homework per day, that would wind up being about 9 hours per day.
[00:08:48.320 --> 00:08:48.320]   So, if you add one hour of homework per day, that would wind up being about 9 hours per day.
[00:08:48.320 --> 00:08:48.320]   So, if you add one hour of homework per day, that would wind up being about 9 hours per day.
[00:08:48.320 --> 00:08:48.320]   So, if you add one hour of homework per day, that would wind up being about 9 hours per day.
[00:08:48.320 --> 00:08:48.320]   So, if you add one hour of homework per day, that would wind up being about 9 hours per day.
[00:08:48.320 --> 00:08:48.320]   So, if you add one hour of homework per day, that would wind up being about 9 hours per day.
[00:08:48.320 --> 00:08:48.320]   So, if you add one hour of homework per day, that would wind up being about 9 hours per day.
[00:08:48.320 --> 00:08:48.320]   So, if you add one hour of homework per day, that would wind up to be about 9 hours per day. So, if you add one hour of homework per day, that would be about 9 hours per day. So, if you add one hour of homework per day, that would be about 9 hours per day.
[00:09:15.080 --> 00:09:22.780]   count
[00:09:22.780 --> 00:09:25.300]   as. I Bar cin
[00:09:39.420 --> 00:10:03.760]   is. Here at the end of the academic year, I want you to stop and take a very careful look at your child's growth over the past year and rate it and assess it. How has their intellectual
[00:10:03.800 --> 00:10:10.420]   gé
[00:10:10.420 --> 00:10:13.820]   it is關
[00:10:13.820 --> 00:10:14.080]   lui
[00:10:14.080 --> 00:10:22.560]   horsepower I'm a change, and, is,�, cut. Lo.�,
[00:10:22.560 --> 00:10:33.760]   or.
[00:10:33.820 --> 00:10:43.520]   en
[00:10:43.520 --> 00:10:46.000]   decid the is seem
[00:11:01.360 --> 00:11:11.200]   pins
[00:11:11.200 --> 00:11:30.260]   connectグ
[00:11:59.360 --> 00:11:59.360]   and
[00:12:28.380 --> 00:12:28.380]   I want you to carefully think about that number as you consider the results.
[00:12:28.380 --> 00:12:28.380]   I want you to carefully think about that number as you consider the results.
[00:12:28.380 --> 00:12:28.380]   I want you to carefully think about that number as you consider the results.
[00:12:28.380 --> 00:12:28.380]   I want you to carefully think about that number as you consider the results.
[00:12:28.380 --> 00:12:28.380]   I want you to carefully think about that number as you consider the results.
[00:12:28.380 --> 00:12:28.380]   I want you to carefully think about that number as you consider the results.
[00:12:28.380 --> 00:12:28.380]   I want you to carefully think about that number as you consider the results.
[00:12:28.380 --> 00:12:28.380]   I want you to carefully think about that number as you consider the results.
[00:12:28.380 --> 00:12:28.480]   I want you to carefully think about that number as you consider the results.
[00:12:28.480 --> 00:12:28.560]   I want you to carefully think about that number as you consider the results.
[00:12:28.560 --> 00:12:28.620]   I want you to carefully think about that number as you consider the results.
[00:12:28.620 --> 00:12:28.680]   I want you to carefully think about that number as you consider the results.
[00:12:57.660 --> 00:12:57.700]  ,
[00:12:57.700 --> 00:12:57.760]  ,
[00:12:57.760 --> 00:12:57.820]  , and I'm going to go back to the beginning.
[00:12:57.820 --> 00:12:57.920]   I want you to carefully think about that number as you consider the results.
[00:12:57.920 --> 00:12:58.160]   I want you to carefully think about that number as you consider the results.
[00:12:58.160 --> 00:12:58.220]   I want you to carefully think about that number as you consider the results.
[00:12:58.220 --> 00:12:58.340]   I want you to carefully think about that number as you consider the results.
[00:12:58.340 --> 00:12:58.400]   I want you to carefully think about that number as you consider the results.
[00:12:58.400 --> 00:12:58.460]   I want you to carefully think about that number as you consider the results.
[00:12:58.500 --> 00:13:28.340]  ,
[00:13:28.340 --> 00:13:28.360]   I want you to carefully think about that number as you consider the results.
[00:13:28.360 --> 00:13:28.400]   I want you to carefully think about that number as you consider the results.
[00:13:28.400 --> 00:13:28.500]   I want you to carefully think about that number as you consider the results.
[00:13:28.500 --> 00:13:28.520]   I want you to carefully think about that number as you consider the results.
[00:13:28.520 --> 00:13:28.520]   I want you to carefully think about that number as you consider the results.
[00:13:28.520 --> 00:13:28.520]   I want you to carefully think about that number as you consider the results.
[00:13:28.520 --> 00:13:28.520]   I want you to carefully think about that number as you consider the results.
[00:13:28.540 --> 00:13:58.540]   I want you to carefully think about that number as you consider the results.
[00:13:58.540 --> 00:13:58.540]   I want you to carefully think about that number as you consider the results.
[00:13:58.540 --> 00:13:58.540]   I want you to carefully think about that number as you consider the results.
[00:13:58.540 --> 00:13:58.540]   I want you to carefully think about that number as you consider the results.
[00:13:58.540 --> 00:13:58.540]   I want you to carefully think about that number as you consider the results.
[00:13:58.540 --> 00:13:58.540]   I want you to carefully think about that number as you consider the results.
[00:13:58.540 --> 00:13:58.540]   I want you to carefully think about that number as you consider the results.
[00:13:58.540 --> 00:13:58.540]   I want you to carefully think about that number as you consider the results.
[00:13:58.540 --> 00:13:58.540]   I want you to carefully think about that number as you consider the results.
[00:13:58.540 --> 00:13:58.540]   I want you to carefully think about that number as you consider the results.
[00:13:58.540 --> 00:13:58.540]   I want you to carefully think about that number as you consider the results.
[00:13:58.540 --> 00:14:28.560]   I want you to carefully think about that number as you consider the results.
[00:14:28.560 --> 00:14:28.560]   I want you to carefully think about that number as you consider the results.
[00:14:28.560 --> 00:14:28.560]   I want you to carefully think about that number as you consider the results.
[00:14:28.560 --> 00:14:28.560]   I want you to carefully think about that number as you consider the results.
[00:14:28.560 --> 00:14:28.560]   I want you to carefully think about that number as you consider the results.
[00:14:28.560 --> 00:14:28.560]   I want you to carefully think about that number as you consider the results.
[00:14:28.560 --> 00:14:28.560]   I want you to carefully think about that number as you consider the results.
[00:14:28.560 --> 00:14:28.560]   I want you to carefully think about that number as you consider the results.
[00:14:28.580 --> 00:14:58.580]   I want you to carefully think about that number as you consider the results.
[00:14:58.580 --> 00:14:58.580]   I want you to carefully think about that number as you consider the results.
[00:14:58.580 --> 00:14:58.580]   I want you to carefully think about that number as you consider the results.
[00:14:58.580 --> 00:14:58.580]   I want you to carefully think about that number as you consider the results.
[00:14:58.580 --> 00:14:58.580]   I want you to carefully think about that number as you consider the results.
[00:14:58.580 --> 00:14:58.580]   I want you to carefully think about that number as you consider the results.
[00:14:58.580 --> 00:14:58.580]   I want you to carefully think about that number as you consider the results.
[00:14:58.580 --> 00:14:58.580]   I want you to carefully think about that number as you consider the results.
[00:14:58.580 --> 00:14:58.580]   I want you to carefully think about that number as you consider the results.
[00:14:58.580 --> 00:14:58.580]   I want you to carefully think about that number as you consider the results.
[00:14:58.580 --> 00:14:58.580]   I want you to carefully think about that number as you consider the results.
[00:14:58.580 --> 00:14:58.580]   I want you to carefully think about that number as you consider the results.
[00:14:58.600 --> 00:15:28.600]   I want you to carefully think about that number as you consider the results.
[00:15:28.600 --> 00:15:28.600]   I want you to carefully think about that number as you consider the results.
[00:15:28.600 --> 00:15:28.600]   I want you to carefully think about that number as you consider the results.
[00:15:28.600 --> 00:15:28.600]   I want you to carefully think about that number as you consider the results.
[00:15:28.600 --> 00:15:28.600]   I want you to carefully think about that number as you consider the results.
[00:15:28.600 --> 00:15:28.600]   I want you to carefully think about that number as you consider the results.
[00:15:28.600 --> 00:15:28.600]   I want you to carefully think about that number as you consider the results.
[00:15:28.600 --> 00:15:28.600]   I want you to carefully think about that number as you consider the results.
[00:15:28.600 --> 00:15:28.600]   I want you to carefully think about that number as you consider the results.
[00:15:28.600 --> 00:15:58.620]  ,
[00:15:58.620 --> 00:15:58.620]   I want you to carefully think about that number as you consider the results.
[00:15:58.620 --> 00:15:58.620]   I want you to carefully think about that number as you consider the results.
[00:15:58.620 --> 00:15:58.620]   I want you to carefully think about that number as you consider the results.
[00:15:58.620 --> 00:15:58.620]   I want you to carefully think about that number as you consider the results.
[00:15:58.620 --> 00:15:58.620]   I want you to carefully think about that number as you consider the results.
[00:15:58.620 --> 00:15:58.620]   I want you to carefully think about that number as you consider the results.
[00:15:58.620 --> 00:15:58.620]   I want you to carefully think about that number as you consider the results.
[00:15:58.620 --> 00:15:58.620]   I want you to carefully think about that number as you consider the results.
[00:15:58.640 --> 00:16:28.640]   I want you to carefully think about that number as you consider the results.
[00:16:28.640 --> 00:16:28.640]   I want you to carefully think about that number as you consider the results.
[00:16:28.640 --> 00:16:28.640]   Obviously, I couldn't possibly do that.
[00:16:28.640 --> 00:16:28.640]   If you'll think about those questions I just asked,
[00:16:28.640 --> 00:16:28.640]   Obviously, I couldn't possibly do that.
[00:16:28.640 --> 00:16:28.640]   Obviously, I couldn't possibly do that.
[00:16:28.640 --> 00:16:28.640]   And if you'll think about those questions I just asked,
[00:16:28.640 --> 00:16:28.640]   Obviously, I couldn't possibly do that.
[00:16:28.640 --> 00:16:28.640]   And if you'll think about those questions I just asked,
[00:16:28.640 --> 00:16:28.640]   And if you'll think about those questions I just asked,
[00:16:28.640 --> 00:16:28.640]   And if you'll think about those questions I just asked,
[00:16:28.640 --> 00:16:28.640]   And if you'll think about those questions I just asked,
[00:16:28.640 --> 00:16:28.640]   And if you'll think about those questions I just asked,
[00:16:28.640 --> 00:16:28.640]   And if you'll think about those questions I just asked,
[00:16:28.640 --> 00:16:28.640]   And if you'll think about those questions I just asked,
[00:16:28.640 --> 00:16:58.660]   And if you'll think about those questions I just asked,
[00:16:58.660 --> 00:16:58.660]   And if you'll think about those questions I just asked,
[00:16:58.660 --> 00:16:58.660]   And if you'll think about those questions I just asked,
[00:16:58.660 --> 00:16:58.660]   And if you'll think about those questions I just asked,
[00:16:58.660 --> 00:16:58.660]   And if you'll think about those questions I just asked,
[00:16:58.660 --> 00:16:58.660]   And if you'll think about those questions I just asked,
[00:16:58.680 --> 00:17:28.680]   And if you'll think about those questions I just asked,
[00:17:28.680 --> 00:17:28.680]   And if you'll think about those questions I just asked,
[00:17:28.680 --> 00:17:28.680]   And if you'll think about those questions I just asked,
[00:17:28.680 --> 00:17:28.680]   And if you'll think about those questions I just asked,
[00:17:28.680 --> 00:17:28.680]   And if you'll think about those questions I just asked,
[00:17:28.680 --> 00:17:28.680]   And if you'll think about those questions I just asked,
[00:17:28.680 --> 00:17:28.680]   And if you'll think about those questions I just asked,
[00:17:28.680 --> 00:17:28.680]   And if you'll think about those questions I just asked,
[00:17:28.680 --> 00:17:28.680]   And if you'll think about those questions I just asked,
[00:17:28.680 --> 00:17:28.680]   And if you'll think about those questions I just asked,
[00:17:28.680 --> 00:17:28.680]   And if you'll think about those questions I just asked,
[00:17:28.680 --> 00:17:28.680]   And if you'll think about those questions I just asked,
[00:17:28.680 --> 00:17:28.680]   And if you'll think about those questions I just asked,
[00:17:28.680 --> 00:17:28.680]   And if you'll think about those questions I just asked,
[00:17:28.680 --> 00:17:28.680]   And if you'll think about those questions I just asked,
[00:17:28.680 --> 00:17:58.700]   And if you'll think about those questions I just asked,
[00:17:58.700 --> 00:17:58.700]   And if you'll think about those questions I just asked,
[00:17:58.700 --> 00:17:58.700]   And if you'll think about those questions I just asked,
[00:17:58.700 --> 00:17:58.700]   And if you'll think about those questions I just asked,
[00:17:58.700 --> 00:17:58.700]   And if you'll think about those questions I just asked,
[00:17:58.700 --> 00:17:58.700]   And if you'll think about those questions I just asked,
[00:17:58.720 --> 00:18:28.720]   It's not as grippingly written as is a Tom Clancy novel,
[00:18:28.720 --> 00:18:28.720]   It's not as grippingly written as is a Tom Clancy novel,
[00:18:28.720 --> 00:18:28.720]   It's not as grippingly written as is a Tom Clancy novel,
[00:18:28.720 --> 00:18:28.720]   It's not as grippingly written as is a Tom Clancy novel,
[00:18:28.720 --> 00:18:28.720]   It's not as grippingly written as is a Tom Clancy novel,
[00:18:28.720 --> 00:18:28.720]   It's not as grippingly written as is a Tom Clancy novel,
[00:18:28.720 --> 00:18:28.720]   It's not as grippingly written as is a Tom Clancy novel,
[00:18:28.720 --> 00:18:28.720]   It's not as grippingly written as is a Tom Clancy novel,
[00:18:28.720 --> 00:18:28.720]   It's not as grippingly written as is a Tom Clancy novel,
[00:18:28.720 --> 00:18:28.720]   It's not as grippingly written as is a Tom Clancy novel,
[00:18:28.720 --> 00:18:28.720]   It's not as grippingly written as is a Tom Clancy novel,
[00:18:28.720 --> 00:18:28.720]   It's not as grippingly written as is a Tom Clancy novel,
[00:18:28.760 --> 00:18:58.740]   It's not as grippingly written as is a Tom Clancy novel,
[00:18:58.740 --> 00:18:58.740]   It's not as grippingly written as is a Tom Clancy novel,
[00:18:58.740 --> 00:18:58.740]   It's not as grippingly written as is a Tom Clancy novel,
[00:18:58.740 --> 00:18:58.740]   It's not as grippingly written as is a Tom Clancy novel,
[00:18:58.740 --> 00:18:58.740]   It's not as grippingly written as is a Tom Clancy novel,
[00:18:58.740 --> 00:18:58.740]   It's not as grippingly written as is a Tom Clancy novel,
[00:18:58.740 --> 00:18:58.740]   It's not as grippingly written as is a Tom Clancy novel,
[00:18:58.740 --> 00:18:58.740]   It's not as grippingly written as is a Tom Clancy novel,
[00:18:58.740 --> 00:18:58.740]   It's not as grippingly written as is a Tom Clancy novel,
[00:18:58.760 --> 00:19:28.760]   It's not as grippingly written as is a Tom Clancy novel,
[00:19:28.760 --> 00:19:28.760]   It's not as grippingly written as is a Tom Clancy novel,
[00:19:28.760 --> 00:19:28.760]   It's not as grippingly written as is a Tom Clancy novel,
[00:19:28.760 --> 00:19:28.760]   It's not as grippingly written as is a Tom Clancy novel,
[00:19:28.760 --> 00:19:28.760]   It's not as grippingly written as is a Tom Clancy novel,
[00:19:28.760 --> 00:19:28.760]   It's not as grippingly written as is a Tom Clancy novel,
[00:19:28.760 --> 00:19:28.760]   It's not as grippingly written as is a Tom Clancy novel,
[00:19:28.760 --> 00:19:28.760]   It's not as grippingly written as is a Tom Clancy novel,
[00:19:28.760 --> 00:19:28.760]   It's not as grippingly written as is a Tom Clancy novel,
[00:19:28.760 --> 00:19:28.760]   It's not as grippingly written as is a Tom Clancy novel,
[00:19:28.760 --> 00:19:28.760]   It's not as grippingly written as is a Tom Clancy novel,
[00:19:28.760 --> 00:19:28.760]   It's not as grippingly written as is a Tom Clancy novel,
[00:19:28.800 --> 00:19:58.780]  ,
[00:19:58.780 --> 00:19:58.780]   I'm going to read it in the context of the narrative. Hopefully you understand enough about the narrative of the novel to have an idea about the position of the narrative of the novel.
[00:19:58.780 --> 00:19:58.780]   I'm going to read it in the context of the narrative of the novel to have an idea about the position of the narrative of the novel.
[00:19:58.780 --> 00:19:58.780]   I'm going to read it in the context of the narrative of the narrative of the novel to have an idea about the position of the narrative of the novel.
[00:19:58.780 --> 00:19:58.780]   I'm going to read it in the context of the narrative of the narrative of the novel to have an idea about the position of the narrative of the novel.
[00:19:58.780 --> 00:19:58.780]   I'm going to read it in the context of the narrative of the narrative of the novel to have an idea about the position of the narrative of the novel.
[00:19:58.780 --> 00:19:58.780]   I'm going to read it in the context of the narrative of the narrative of the novel to have an idea about the position of the novel.
[00:19:58.800 --> 00:20:28.800]   I'm going to read it in the context of the narrative of the novel to have an idea about the position of the novel.
[00:20:28.800 --> 00:20:28.800]   I'm going to read it in the context of the narrative of the novel to have an idea about the position of the novel.
[00:20:28.800 --> 00:20:28.800]   I'm going to read it in the context of the narrative of the novel to have an idea about the position of the novel.
[00:20:28.800 --> 00:20:28.800]   I'm going to read it in the context of the narrative of the novel to have an idea about the position of the novel.
[00:20:28.800 --> 00:20:28.800]   I'm going to read it in the context of the narrative of the novel to have an idea about the position of the novel.
[00:20:28.800 --> 00:20:28.800]   I'm going to read it in the context of the narrative of the novel to have an idea about the position of the novel.
[00:20:28.800 --> 00:20:28.800]   I'm going to read it in the context of the narrative of the novel to have an idea about the position of the novel.
[00:20:28.840 --> 00:20:58.820]  ,
[00:20:58.820 --> 00:20:58.820]   I'm going to read it in the context of the narrative of the novel to have an idea about the position of the novel.
[00:20:58.820 --> 00:20:58.820]   I'm going to read it in the context of the narrative of the novel to have an idea about the position of the novel.
[00:20:58.820 --> 00:20:58.820]   I'm going to read it in the context of the narrative of the novel to have an idea about the position of the novel.
[00:20:58.820 --> 00:20:58.820]   I'm going to read it in the context of the narrative of the novel to have an idea about the position of the novel.
[00:20:58.820 --> 00:20:58.820]   I'm going to read it in the context of the narrative of the novel to have an idea about the novel.
[00:20:58.820 --> 00:20:58.820]   I'm going to read it in the context of the narrative of the novel to have an idea about the novel.
[00:20:58.840 --> 00:21:28.840]   I'm going to read it in the context of the narrative of the novel to have an idea about the novel.
[00:21:28.840 --> 00:21:28.840]   I'm going to read it in the context of the narrative of the novel to have an idea about the novel.
[00:21:28.840 --> 00:21:28.840]   I'm going to read it in the context of the narrative of the novel to have an idea about the novel.
[00:21:28.840 --> 00:21:28.840]   I'm going to read it in the context of the narrative of the novel to have an idea about the novel.
[00:21:28.840 --> 00:21:28.840]   I'm going to read it in the context of the narrative of the novel to have an idea about the novel.
[00:21:28.840 --> 00:21:28.840]   I'm going to read it in the context of the narrative of the novel to have an idea about the novel.
[00:21:28.840 --> 00:21:28.840]   I'm going to read it in the context of the narrative of the novel to have an idea about the novel.
[00:21:28.840 --> 00:21:28.840]   I'm going to read it in the context of the narrative of the novel to have an idea about the novel.
[00:21:28.880 --> 00:21:58.860]  , I'm going to read it in the context of the narrative of the novel to have an idea about the novel.
[00:21:58.860 --> 00:21:58.860]   I'm going to read it in the context of the narrative of the novel to have an idea about the novel.
[00:21:58.860 --> 00:21:58.860]   I'm going to read it in the context of the context of the narrative of the novel to have an idea about the novel.
[00:21:58.880 --> 00:22:28.880]   I'm going to read it in the context of the narrative of the novel to have an idea about the novel.
[00:22:28.880 --> 00:22:28.880]   I'm going to read it in the context of the narrative of the novel to have an idea about the novel.
[00:22:28.880 --> 00:22:28.880]   I'm going to read it in the context of the narrative of the novel to have an idea about the novel.
[00:22:28.880 --> 00:22:28.880]   I'm going to read it in the context of the narrative of the novel to have an idea about the novel.
[00:22:28.880 --> 00:22:28.880]   I'm going to read it in the context of the narrative of the novel to have an idea about the novel.
[00:22:28.880 --> 00:22:28.880]   I'm going to read it in the context of the narrative of the novel to have an idea about the novel.
[00:22:28.880 --> 00:22:28.880]   I'm going to read it in the context of the narrative of the novel to have an idea about the novel.
[00:22:28.880 --> 00:22:28.880]   I'm going to read it in the context of the narrative of the novel to have an idea about the novel.
