
[00:00:00.000 --> 00:00:06.080]   So good morning, everyone.
[00:02:48.500 --> 00:02:53.220]   So this is something we, as the algorithm designer, get to define.
[00:02:53.220 --> 00:02:59.580]   So the rewards could be to stay balanced, to navigate to some target location, or something
[00:02:59.580 --> 00:03:04.060]   more abstract like serve and protect humans.
[00:03:04.060 --> 00:03:10.980]   So reinforcement learning has also been used in a lot of more practical applications.
[00:03:10.980 --> 00:03:14.460]   Well, applications that have been practical in the past.
[00:03:14.460 --> 00:03:18.860]   I think robotics will be very practical in the future.
[00:03:18.860 --> 00:03:25.460]   And for example, one area is inventory management.
[00:03:25.460 --> 00:03:29.660]   So this is just one example of how you could use reinforcement learning for a decision-making
[00:03:29.660 --> 00:03:30.740]   problem.
[00:03:30.740 --> 00:03:37.020]   So you have to decide how much to stock up on of every item.
[00:03:37.020 --> 00:03:40.780]   And your observations would be your current inventory levels.
[00:03:40.780 --> 00:03:43.860]   Actions would be how much of each item you're going to purchase.
[00:03:43.860 --> 00:03:47.780]   And reward is your profit.
[00:03:47.780 --> 00:03:58.580]   So people in operations research, this is a subfield, study this kind of problem a lot.
[00:03:58.580 --> 00:04:03.100]   There are also a lot of machine learning problems where people have started to apply reinforcement
[00:04:03.100 --> 00:04:06.220]   learning techniques.
[00:04:06.220 --> 00:04:10.020]   So one example is attention.
[00:04:10.020 --> 00:04:13.380]   So the idea in attention is you don't want to look at the whole input at once.
[00:04:13.380 --> 00:04:15.620]   You want to just focus on part of it.
[00:04:15.620 --> 00:04:21.500]   So one example of this is with a large image, you might want to just crop out part of it
[00:04:21.500 --> 00:04:25.800]   and use that and just do detection on that part of the image.
[00:04:25.800 --> 00:04:30.500]   So here, your observation would be your current image window.
[00:04:30.500 --> 00:04:33.780]   Action is where to look or where to crop your image.
[00:04:33.780 --> 00:04:39.900]   And reward is whether you make a classification error or not.
[00:04:39.900 --> 00:04:47.740]   So here, you have to try to choose the right area of the image to look at so you'll do
[00:04:47.740 --> 00:04:51.700]   the correct classification.
[00:04:51.700 --> 00:04:58.700]   Reinforcement learning has also been used in structured prediction problems, which in
[00:04:58.700 --> 00:05:03.340]   the past often weren't considered to be reinforcement learning problems.
[00:05:03.340 --> 00:05:09.620]   But it turns out that to actually properly solve them, it actually is a reinforcement
[00:05:09.620 --> 00:05:10.980]   learning problem.
[00:05:10.980 --> 00:05:18.660]   So machine translation, for example, so you get a sentence in the source language and
[00:05:18.660 --> 00:05:22.180]   you have to omit a sentence in the target language.
[00:05:22.180 --> 00:05:27.540]   And here, your observations are the sentence in the source language.
[00:05:27.540 --> 00:05:30.620]   You're omitting one word at a time in the target language.
[00:05:30.620 --> 00:05:35.180]   And you have some reward function that looks at the whole sentence and tells you how good
[00:05:35.180 --> 00:05:37.020]   your translation was.
[00:05:37.020 --> 00:05:43.380]   So since this is non-differentiable, you can't just differentiate through the whole thing
[00:05:43.380 --> 00:05:44.500]   and do gradient descent.
[00:05:44.500 --> 00:05:51.680]   So it turns out you can use a policy gradient method to optimize your translation system.
[00:05:51.680 --> 00:05:56.060]   So people have started to do that.
[00:05:56.060 --> 00:06:02.180]   So those are just a few examples, not exhaustive at all.
[00:06:02.180 --> 00:06:11.980]   But I just want to say a little bit about how reinforcement learning fits into the picture
[00:06:11.980 --> 00:06:15.860]   of all the other types of machine learning problems.
[00:06:15.860 --> 00:06:23.660]   So previous courses in this series have talked about supervised learning and unsupervised
[00:06:23.660 --> 00:06:24.660]   learning.
[00:06:24.660 --> 00:06:27.740]   So how does reinforcement learning relate to them?
[00:06:27.740 --> 00:06:29.260]   How is it different?
[00:06:29.260 --> 00:06:33.900]   So let's just first compare it to-- let's look at supervised learning.
[00:06:33.900 --> 00:06:39.900]   So in supervised learning, first, the environment samples an input-output pair from some distribution
[00:06:39.900 --> 00:06:42.540]   row.
[00:06:42.540 --> 00:06:48.980]   The agent makes a prediction, y hat, using its function f.
[00:06:48.980 --> 00:06:53.660]   And it receives some loss, which tells it if it made the right prediction or the wrong
[00:06:53.660 --> 00:06:55.300]   prediction.
[00:06:55.300 --> 00:06:59.700]   So the interpretation is environment asks the agent a question and then tells her the
[00:06:59.700 --> 00:07:03.180]   right answer.
[00:07:03.180 --> 00:07:09.100]   So contextual bandits make this problem a little harder in that they give the learning
[00:07:09.100 --> 00:07:11.700]   agent a little bit less information.
[00:07:11.700 --> 00:07:17.340]   So now the environment samples an input, but notice that there's not a correct output associated
[00:07:17.340 --> 00:07:19.180]   with it.
[00:07:19.180 --> 00:07:27.860]   Then the agent takes an action, and the agent receives some cost, which is from some probability
[00:07:27.860 --> 00:07:28.860]   distribution.
[00:07:28.860 --> 00:07:30.940]   So here, c is the cost.
[00:07:30.940 --> 00:07:34.180]   We're sampling it from some probability distribution.
[00:07:34.180 --> 00:07:37.220]   And the agent doesn't know what this probability distribution is, so that's what makes the
[00:07:37.220 --> 00:07:40.700]   problem hard.
[00:07:40.700 --> 00:07:45.740]   So environment asks the agent a question, the agent answers, and the environment gives her
[00:07:45.740 --> 00:07:50.780]   a noisy score on the answer.
[00:07:50.780 --> 00:07:52.740]   So this is applied.
[00:07:52.740 --> 00:07:54.320]   This actually has a lot of applications.
[00:07:54.320 --> 00:07:58.220]   So personalized recommendations is one big one, along with advertising.
[00:07:58.220 --> 00:08:05.460]   So you have to decide, like, customers who like this -- I mean, you have a customer,
[00:08:05.460 --> 00:08:08.940]   and you know what they liked in the past, so you have to make a prediction about what
[00:08:08.940 --> 00:08:10.620]   they're going to like in the future.
[00:08:10.620 --> 00:08:17.580]   So you show them appropriate ads or links, like what book you want to try to advertise
[00:08:17.580 --> 00:08:22.920]   to them, or what video you want to show them, and so on.
[00:08:22.920 --> 00:08:26.500]   So here, the big difference between this and the supervised learning setting is you don't
[00:08:26.500 --> 00:08:30.320]   have access to the function, the loss function you're trying to optimize.
[00:08:30.320 --> 00:08:33.100]   So in particular, you can't differentiate through it.
[00:08:33.100 --> 00:08:37.740]   We don't know the process that generates c, so we can't compute the grading of the loss
[00:08:37.740 --> 00:08:41.580]   function and use that to tune the agent's parameters.
[00:08:41.580 --> 00:08:46.860]   So that makes it -- so that makes the problem a bit harder, where you have to use a different
[00:08:46.860 --> 00:08:48.860]   kind of algorithm.
[00:08:48.860 --> 00:08:54.860]   Lastly, reinforcement learning is almost the same as the contextual bandit setting, except
[00:08:54.860 --> 00:08:57.940]   now the environment is stateful.
[00:08:57.940 --> 00:09:03.980]   So now, instead of sampling the initial state from scratch every time step, from the same
[00:09:03.980 --> 00:09:09.020]   distribution, the state evolves over time.
[00:09:09.020 --> 00:09:16.100]   So you have some transition probability distribution called p here, where the state x sub t is
[00:09:16.100 --> 00:09:22.500]   conditioned on the previous state and the previous action.
[00:09:22.500 --> 00:09:27.920]   And that makes the problem quite a bit harder, because now -- well, for a number of reasons.
[00:09:27.920 --> 00:09:32.120]   For one thing, the inputs you're getting depend on what actions you're taking.
[00:09:32.120 --> 00:09:37.320]   So now that makes it harder to develop a stable, reliable algorithm, because now as the agent
[00:09:37.320 --> 00:09:40.280]   starts to learn, it gets different inputs.
[00:09:40.280 --> 00:09:46.380]   So that can lead to all sorts of out-of-control behavior.
[00:09:46.380 --> 00:09:52.280]   And it also means you have delayed effects, because since the system is stateful, you
[00:09:52.280 --> 00:09:55.600]   might need to take a lot of actions to get into the right state.
[00:09:55.600 --> 00:10:00.900]   So you might need to -- you can't just act greedily every time step.
[00:10:00.900 --> 00:10:06.180]   You have to think ahead, effectively.
[00:10:06.180 --> 00:10:11.160]   Okay, so just to summarize these differences, there are two differences.
[00:10:11.160 --> 00:10:15.700]   The first one is, you don't have full analytic access to the function you're trying to optimize.
[00:10:15.700 --> 00:10:18.700]   You have to query it through interaction.
[00:10:18.700 --> 00:10:23.900]   Second, you're interacting with a stateful world, which means that the input you get
[00:10:23.900 --> 00:10:26.620]   is going to depend on your previous actions.
[00:10:26.620 --> 00:10:31.620]   And if you just take the first of those differences between supervised learning and reinforcement
[00:10:31.620 --> 00:10:33.940]   learning, you get the contextual bandit setting.
[00:10:33.940 --> 00:10:36.740]   So that's sort of halfway in between.
[00:10:36.740 --> 00:10:43.260]   Okay, so I realize that there are multiple -- this audience probably has people with
[00:10:43.260 --> 00:10:44.820]   different interests.
[00:10:44.820 --> 00:10:49.500]   Some people are doing research and want to know about what's the latest in the research
[00:10:49.500 --> 00:10:50.540]   world.
[00:10:50.540 --> 00:10:56.420]   And some people are -- want to apply these machine learning techniques to practical applications.
[00:10:56.420 --> 00:11:00.580]   So this slide is for the latter group of people.
[00:11:00.580 --> 00:11:05.260]   So if you're wondering -- if you have some problem where you think reinforcement learning
[00:11:05.260 --> 00:11:10.020]   might be relevant and you're wondering if you should apply reinforcement learning.
[00:11:10.020 --> 00:11:14.880]   So first, I should say that the answer might be no.
[00:11:14.880 --> 00:11:18.360]   It might be overkill, especially deep reinforcement learning.
[00:11:18.360 --> 00:11:22.140]   So this is a set of fairly new techniques where it's not going to work out of the box
[00:11:22.140 --> 00:11:24.360]   very well.
[00:11:24.360 --> 00:11:27.920]   And it's -- these techniques aren't that well established.
[00:11:27.920 --> 00:11:30.620]   So they require a lot of -- they have a lot of knobs to be tuned.
[00:11:30.620 --> 00:11:37.180]   So it might be overkill and, yeah, these techniques aren't that well established at the moment.
[00:11:37.180 --> 00:11:42.180]   So it might be worth investigating some other methods first.
[00:11:42.180 --> 00:11:48.800]   So one -- so if your problem has a small number of parameters you're trying to optimize over
[00:11:48.800 --> 00:11:56.940]   and you have a simulator that you can, like, just do lots of experiments on, then derivative-free
[00:11:56.940 --> 00:12:01.860]   optimization methods are likely to be better than reinforcement learning, or they're likely
[00:12:01.860 --> 00:12:04.240]   to be easier to get working.
[00:12:04.240 --> 00:12:09.480]   So these methods just look at -- they just -- you give them a black box function where
[00:12:09.480 --> 00:12:14.540]   you put in a parameter vector and it'll give you a noisy estimate of the score.
[00:12:14.540 --> 00:12:19.260]   And these algorithms will just optimize over the parameters of that black box -- I mean,
[00:12:19.260 --> 00:12:22.180]   that are being put into that black box.
[00:12:22.180 --> 00:12:27.980]   So yeah, there's a variety of different methods for derivative-free optimization, but these
[00:12:27.980 --> 00:12:31.980]   are easier to understand than reinforcement learning, and they do kind of work out of
[00:12:31.980 --> 00:12:33.980]   the box.
[00:12:33.980 --> 00:12:35.660]   Okay.
[00:12:35.660 --> 00:12:41.580]   A lot of problems are actually -- can be seen as -- are contextual bandit problems, and
[00:12:41.580 --> 00:12:44.420]   the statefulness of the world isn't that relevant.
[00:12:44.420 --> 00:12:50.260]   So for example, in advertising, this is where people -- people look at advertising as a
[00:12:50.260 --> 00:12:54.420]   contextual bandit problem most of the time, because you decide what ad to present the
[00:12:54.420 --> 00:13:00.220]   user with, and then they either click on it or they don't.
[00:13:00.220 --> 00:13:04.980]   But it's really -- the user is kind of stateful, because if you show them a terrible ad, they
[00:13:04.980 --> 00:13:07.460]   might just go and download ad block.
[00:13:07.460 --> 00:13:12.760]   So there is -- like, your actions do have some repercussions.
[00:13:12.760 --> 00:13:17.300]   But often you can just approximate it as being a contextual bandit problem where there is
[00:13:17.300 --> 00:13:18.640]   no state.
[00:13:18.640 --> 00:13:24.300]   So there's a better theoretical understanding of contextual bandit problems and methods
[00:13:24.300 --> 00:13:26.420]   that are -- that have some guarantees.
[00:13:26.420 --> 00:13:31.740]   So in that case -- so if it is a contextual bandit problem, you might want to use those
[00:13:31.740 --> 00:13:34.100]   kind of algorithms instead.
[00:13:34.100 --> 00:13:43.000]   And lastly, the operations research field has been using these methods for a while on
[00:13:43.000 --> 00:13:51.480]   real problems, and they have a set of methods which are just pretty much the basic algorithms,
[00:13:51.480 --> 00:13:57.320]   policy iteration and value iteration, but they're sort of well -- they're well-developed
[00:13:57.320 --> 00:14:01.560]   ways of doing feature engineering for these problems that end up working pretty decently.
[00:14:01.560 --> 00:14:06.240]   So these techniques are also worth considering instead of trying to throw a big neural network
[00:14:06.240 --> 00:14:08.560]   at it.
[00:14:08.560 --> 00:14:11.300]   Okay.
[00:14:11.300 --> 00:14:15.200]   So now -- well, now that I've talked about what -- why not to use deep reinforcement
[00:14:15.200 --> 00:14:21.200]   learning or what it's not good for, I'll just talk about some recent success stories in
[00:14:21.200 --> 00:14:25.520]   deep reinforcement learning, which are achievements that probably wouldn't have been possible
[00:14:25.520 --> 00:14:27.920]   using these other techniques.
[00:14:27.920 --> 00:14:37.640]   So a few years ago, there was a pretty influential result by Mni et al. from DeepMind where they
[00:14:37.640 --> 00:14:47.800]   used a deep Q-learning algorithm to play Atari games using the screen images as input.
[00:14:47.800 --> 00:14:51.920]   And that's hard because you have these -- these games are -- you're trying to do different
[00:14:51.920 --> 00:14:54.620]   things in all these games, and they're -- some of them are kind of complicated.
[00:14:54.620 --> 00:14:59.760]   So it's pretty remarkable that you can just use a simple -- that a simple algorithm can
[00:14:59.760 --> 00:15:01.880]   solve them all.
[00:15:01.880 --> 00:15:04.260]   The same algorithm can solve them all.
[00:15:04.260 --> 00:15:11.760]   So since then, people have also solved -- or solved this domain using policy gradients
[00:15:11.760 --> 00:15:15.640]   and another algorithm called Dagger.
[00:15:15.640 --> 00:15:26.500]   So another big groundbreaking result was beating a champion-level player at Go, also by DeepMind,
[00:15:26.500 --> 00:15:33.540]   using a combination of supervised learning from, like, from expert games, plus policy
[00:15:33.540 --> 00:15:41.220]   gradients to fine-tune the supervised learning policy, plus Monte Carlo tree search, plus
[00:15:41.220 --> 00:15:44.340]   value functions to make the search work better.
[00:15:44.340 --> 00:15:48.040]   So a combination of techniques and reinforcement learning.
[00:15:48.040 --> 00:15:56.080]   Robotic -- so some of my colleagues at Berkeley had some very nice results learning in real
[00:15:56.080 --> 00:16:03.160]   time how to do manipulation tasks using an algorithm called guided policy search using
[00:16:03.160 --> 00:16:06.920]   the PR2 robot.
[00:16:06.920 --> 00:16:13.160]   And some of my colleagues and I have been working on robotic locomotion using policy
[00:16:13.160 --> 00:16:17.080]   gradient methods.
[00:16:17.080 --> 00:16:21.720]   And people have been working on locomotion for a while and have been able to achieve
[00:16:21.720 --> 00:16:27.320]   pretty good results using very, like, highly engineered domain-specific methods.
[00:16:27.320 --> 00:16:34.640]   But previously, there hadn't been much success using general methods to solve it.
[00:16:34.640 --> 00:16:40.800]   And last, there have been some recent results playing 3D games using policy gradients.
[00:16:40.800 --> 00:16:45.320]   In fact, there was even a contest I heard about a couple days ago with this new VisDoom
[00:16:45.320 --> 00:16:49.600]   task, which is pretty nice.
[00:16:49.600 --> 00:16:52.480]   So you might want to check out VisDoom.
[00:16:52.480 --> 00:16:54.160]   Okay.
[00:16:54.160 --> 00:16:58.680]   So that's it for the high-level overview part of this.
[00:16:58.680 --> 00:17:04.640]   Now I'm going to start getting into the actual formalism and the technical details.
[00:17:04.640 --> 00:17:13.600]   Okay, so the basic object in the field of reinforcement learning is the Markov decision
[00:17:13.600 --> 00:17:15.120]   process.
[00:17:15.120 --> 00:17:20.200]   So the Markov decision process is defined by the following components.
[00:17:20.200 --> 00:17:21.740]   You have a state space.
[00:17:21.740 --> 00:17:25.040]   This is all the different states of the system.
[00:17:25.040 --> 00:17:28.600]   The action space, these are all the actions the agent can take.
[00:17:28.600 --> 00:17:36.120]   And you have this probability distribution, which determines the probability of next state
[00:17:36.120 --> 00:17:37.120]   and reward.
[00:17:37.120 --> 00:17:42.200]   So R is the reward, S prime is the next state, S and A are the actions.
[00:17:42.200 --> 00:17:44.200]   So it's a conditional probability distribution.
[00:17:44.200 --> 00:17:49.440]   Sometimes people split this out into a separate reward function, but that's basically an equivalent
[00:17:49.440 --> 00:17:50.960]   formulation.
[00:17:50.960 --> 00:17:52.300]   Okay.
[00:17:52.300 --> 00:17:57.900]   And sometimes there's some extra objects to find.
[00:17:57.900 --> 00:17:59.440]   We'll be interested in the...
[00:17:59.440 --> 00:18:02.020]   We'll consider an initial state distribution.
[00:18:02.020 --> 00:18:07.180]   So this is the world starts out in a certain state.
[00:18:07.180 --> 00:18:12.780]   And the typical optimization problem you want to solve given this MDP is to maximize expected
[00:18:12.780 --> 00:18:14.380]   cumulative reward.
[00:18:14.380 --> 00:18:21.540]   So there are various ways of defining that more precisely, which I'll go into later.
[00:18:21.540 --> 00:18:24.260]   Okay.
[00:18:24.260 --> 00:18:29.420]   So there are various different settings of reinforcement learning where you define a
[00:18:29.420 --> 00:18:31.660]   slightly different optimization problem.
[00:18:31.660 --> 00:18:35.600]   The one we'll be most concerned with is called the episodic setting.
[00:18:35.600 --> 00:18:42.740]   So here the agent's experience is split up into a series of episodes which have finite
[00:18:42.740 --> 00:18:44.200]   length.
[00:18:44.200 --> 00:18:50.500]   So in each episode, we first sample the initial state of the world from some probability distribution
[00:18:50.500 --> 00:18:52.060]   mu.
[00:18:52.060 --> 00:19:00.880]   And then the agent keeps on acting until the world ends up in some terminal state.
[00:19:00.880 --> 00:19:07.740]   So just to give an example of what terminal states might be like and how an episodic reinforcement
[00:19:07.740 --> 00:19:09.780]   learning problem might look.
[00:19:09.780 --> 00:19:15.420]   So one example is when termination is good and you want to terminate the episode as fast
[00:19:15.420 --> 00:19:16.820]   as possible.
[00:19:16.820 --> 00:19:21.420]   So if we imagine setting up a task with some kind of taxi robot that should get to the
[00:19:21.420 --> 00:19:28.360]   destination as fast as possible, then the episode would be like one trip and it's trying
[00:19:28.360 --> 00:19:33.300]   to terminate the episode as fast as possible.
[00:19:33.300 --> 00:19:39.380]   Another example is a waiter robot where you have a fixed length shift, but the waiter
[00:19:39.380 --> 00:19:43.200]   has to accumulate, it has to do as well as possible during that shift.
[00:19:43.200 --> 00:19:46.000]   So there the episode has a fixed length.
[00:19:46.000 --> 00:19:52.840]   The waiter has to say maximize tips or customer happiness.
[00:19:52.840 --> 00:19:57.140]   And then you could imagine another kind of task where termination is bad and you want
[00:19:57.140 --> 00:20:00.060]   the episode to last as long as possible.
[00:20:00.060 --> 00:20:03.740]   So you can view life as an example of that.
[00:20:03.740 --> 00:20:10.860]   But also you could imagine having a walking robot where you want it to walk as far as
[00:20:10.860 --> 00:20:15.940]   possible before it falls over.
[00:20:15.940 --> 00:20:21.620]   And in this setting, it's pretty easy to define what the goal is.
[00:20:21.620 --> 00:20:29.820]   We just want to maximize the expectation of the total reward per episode.
[00:20:29.820 --> 00:20:34.300]   And the last object we're going to introduce here is a policy.
[00:20:34.300 --> 00:20:40.220]   So the policy is just the function that the agent uses to choose its actions.
[00:20:40.220 --> 00:20:45.380]   So we have deterministic policies, which are just the policy is denoted by pi.
[00:20:45.380 --> 00:20:48.780]   So we have the action is just some function of the state.
[00:20:48.780 --> 00:20:57.180]   And we also have stochastic policies where the policy is a conditional probability distribution.
[00:20:57.180 --> 00:21:04.920]   So we're just going to make a little bit more precise the setting of the episodic MDP.
[00:21:04.920 --> 00:21:11.820]   So first we sample the initial state from this distribution, mu.
[00:21:11.820 --> 00:21:16.780]   Then we sample the first action from the policy, a0 from the policy.
[00:21:16.780 --> 00:21:21.460]   Then we sample next state and reward from the transition probability distribution, and
[00:21:21.460 --> 00:21:25.080]   so on, until we reach a terminal state, s sub t.
[00:21:25.080 --> 00:21:31.380]   And then the quantity we care about is the sum of all these rewards, r0 plus r1 dot dot
[00:21:31.380 --> 00:21:33.940]   dot plus r sub t minus 1.
[00:21:33.940 --> 00:21:36.560]   And we want to maximize.
[00:21:36.560 --> 00:21:46.100]   So eta of pi is just defined as the expected total reward of the policy pi.
[00:21:46.100 --> 00:21:49.340]   Here's the picture that illustrates exactly the same thing.
[00:21:49.340 --> 00:21:56.340]   So you can look at it as a graphical model.
[00:21:56.340 --> 00:22:01.280]   And lastly, in the policy gradient section in particular, we're going to be interested
[00:22:01.280 --> 00:22:03.420]   in parameterized policies.
[00:22:03.420 --> 00:22:11.020]   So here we have a parameter vector, theta, which specifies exactly what the policy is.
[00:22:11.020 --> 00:22:15.760]   So for example, the family of policies could be just a neural net.
[00:22:15.760 --> 00:22:18.020]   You have a certain neural network architecture.
[00:22:18.020 --> 00:22:24.100]   And theta specifies all the weights of this neural network.
[00:22:24.100 --> 00:22:30.560]   So we could have a deterministic policy, of course, or a stochastic policy.
[00:22:30.560 --> 00:22:35.620]   And if you're wondering concretely what would a policy look like, I mean, how do you use
[00:22:35.620 --> 00:22:38.100]   a neural network to represent your policy?
[00:22:38.100 --> 00:22:42.700]   It's actually exactly, you do exactly the same thing you would do if this were a classification
[00:22:42.700 --> 00:22:44.500]   or a regression problem.
[00:22:44.500 --> 00:22:51.580]   So S here, the state here is your input, and the action is your output.
[00:22:51.580 --> 00:22:58.220]   So if you have a discrete action space, a discrete set of actions, then you would use
[00:22:58.220 --> 00:23:03.260]   a network that outputs a vector of probabilities, the probabilities of the different actions.
[00:23:03.260 --> 00:23:06.900]   This is exactly like a classifier.
[00:23:06.900 --> 00:23:11.500]   And if you have a continuous action space, you would have your neural network output
[00:23:11.500 --> 00:23:17.220]   the mean and the diagonal of a covariance matrix of a Gaussian distribution.
[00:23:17.220 --> 00:23:19.780]   So this is just like you're doing regression.
[00:23:19.780 --> 00:23:25.100]   So you can use the same kind of architectures you'd use in supervised learning.
[00:23:25.100 --> 00:23:32.760]   Okay, so that's it for the formalism of MDPs.
[00:23:32.760 --> 00:23:39.200]   So now I'm going to go into policy gradient methods, which are one broad and general class
[00:23:39.200 --> 00:23:45.260]   of reinforcement learning methods, which are quite effective.
[00:23:45.260 --> 00:23:52.740]   So to give a brief overview of this, here's the intuition of what policy gradient methods
[00:23:52.740 --> 00:23:54.800]   are going to do.
[00:23:54.800 --> 00:23:59.780]   So here, capital R means the sum of rewards of the whole episode.
[00:23:59.780 --> 00:24:05.960]   So our optimization problem is we want to maximize the expectation of the total reward
[00:24:05.960 --> 00:24:10.680]   given our parameterized policy, pi sub theta.
[00:24:10.680 --> 00:24:15.880]   And the intuition of how our algorithm is going to work is we're going to collect a
[00:24:15.880 --> 00:24:16.880]   bunch of trajectories.
[00:24:16.880 --> 00:24:21.160]   I mean, this is just run a bunch of episodes using our policy.
[00:24:21.160 --> 00:24:24.320]   And then we want to make the good trajectories more probable.
[00:24:24.320 --> 00:24:28.120]   So I mean, some of the trajectories were lucky and they were really good.
[00:24:28.120 --> 00:24:30.980]   Some of them, the agent was unlucky and they were bad.
[00:24:30.980 --> 00:24:35.920]   And the ones that were good, meaning there was high reward, that means the agent
[00:24:35.920 --> 00:24:38.040]   probably took good actions there.
[00:24:38.040 --> 00:24:44.260]   So we want to increase the probability of the actions from those trajectories.
[00:24:44.260 --> 00:24:48.920]   So the most basic version of policy gradient methods just try to make the good trajectories
[00:24:48.920 --> 00:24:52.280]   more probable without trying to figure out which were the good actions and which were
[00:24:52.280 --> 00:24:54.360]   the bad actions.
[00:24:54.360 --> 00:24:59.640]   Slightly better methods or more elaborate methods try to figure out which actions were
[00:24:59.640 --> 00:25:01.320]   good and which ones were bad.
[00:25:01.320 --> 00:25:05.800]   And then they try to make the good actions more probable.
[00:25:05.800 --> 00:25:11.640]   And lastly, there's another class of methods which actually try to push the actions towards
[00:25:11.640 --> 00:25:13.160]   better actions.
[00:25:13.160 --> 00:25:16.960]   So they differentiate the loss function with respect to the actions and they try to push
[00:25:16.960 --> 00:25:19.880]   the actions to better actions.
[00:25:19.880 --> 00:25:23.640]   So we're mostly going to talk about one and two here.
[00:25:23.640 --> 00:25:29.920]   Oh, there's a question?
[00:25:29.920 --> 00:25:34.300]   Oh, yeah, good question.
[00:25:34.300 --> 00:25:41.440]   So while we're maximizing over the policy, we're trying to find the best policy.
[00:25:41.440 --> 00:25:44.880]   But here, the policy is assumed to be parameterized.
[00:25:44.880 --> 00:25:48.220]   So there's some parameter vector theta that specifies the policy.
[00:25:48.220 --> 00:25:53.020]   And now we just want to maximize with respect to theta.
[00:25:53.020 --> 00:25:59.000]   Any other questions?
[00:25:59.000 --> 00:26:06.620]   So there's a very fundamental concept, which is called the score function grading estimator,
[00:26:06.620 --> 00:26:10.860]   which underlies policy gradient methods.
[00:26:10.860 --> 00:26:15.120]   So actually, to introduce this, we're not going to talk about policies in RL at all.
[00:26:15.120 --> 00:26:18.320]   We're just going to assume we have some expectation.
[00:26:18.320 --> 00:26:24.920]   We have expectation of f of x, where x is sampled from some parameterized probability
[00:26:24.920 --> 00:26:27.320]   distribution.
[00:26:27.320 --> 00:26:32.340]   So we want to compute the grading of this expectation with respect to theta.
[00:26:32.340 --> 00:26:35.440]   So there's a general formula that'll do this.
[00:26:35.440 --> 00:26:40.460]   And the way you derive it is you just write the expectation as an integral.
[00:26:40.460 --> 00:26:44.240]   And then you just move some things around.
[00:26:44.240 --> 00:26:50.040]   You swap the integral with the derivative and you turn it back into an expectation.
[00:26:50.040 --> 00:26:55.040]   And what you get at the end is this bottom line, which says that you take the expectation
[00:26:55.040 --> 00:27:00.360]   of function value times grad log probability.
