
[00:00:00.000 --> 00:00:06.140]   So one of the conflicts we've confronted here is the one between having too little productivity
[00:19:08.120 --> 00:19:12.520]   your schedule dedicated to administrative overhead is reduced to a point where you can be very effective
[00:19:12.520 --> 00:19:17.240]   with applying your brain to accomplishment. The throughput with which you finish things goes up.
[00:19:17.240 --> 00:19:22.280]   So you could do this as a team. It really works. If you have a sort of like daily
[00:19:23.400 --> 00:19:27.240]   standup style status, check-in where it's like, who's working on what, what do you need from each
[00:19:27.240 --> 00:19:32.600]   other? Now let's go work. I talked about slow productivity, how you can even implement something
[00:19:32.600 --> 00:19:38.040]   like this for yourself, even if your team has no interest in this, where you personally differentiate
[00:19:38.040 --> 00:19:41.960]   on the things you've agreed to do between the things you're actively working on and the things you're
[00:19:41.960 --> 00:19:46.360]   waiting to work on. And you don't take meetings or do emails or really dedicate any administrative
[00:19:46.360 --> 00:19:49.880]   overhead to the things you're waiting to work on. And you make this whole list transparent.
[00:19:49.880 --> 00:19:52.920]   And when someone who gave you something to do that you're waiting to work on bothers you,
[00:19:52.920 --> 00:19:56.360]   you can push them to that list. You can see where your thing is. And as soon as it moves to my active
[00:19:56.360 --> 00:20:01.480]   status, you'll hear from me. I'll tell you right away. But until then I'll say this nicely, you know,
[00:20:01.480 --> 00:20:06.920]   bug off. Of course you won't say it that way. You'll use all sorts of fancy language, but I'm a professor,
[00:20:06.920 --> 00:20:10.600]   so I don't really know how to interact like a normal human in a business environment, but I'm sure you all
[00:20:10.600 --> 00:20:16.200]   figure that out. Some fancy way you do that. So yeah, you can get as complicated here as you want,
[00:20:16.200 --> 00:20:22.280]   but just having some sort of, at least you need some sort of minimal way of saying, how much am I
[00:20:22.280 --> 00:20:25.560]   working on? How much is too much? And what am I doing to try to keep those two things in balance?
[00:20:25.560 --> 00:20:30.280]   It gets to have something there. All right. The final thing is time control.
[00:20:30.280 --> 00:20:36.200]   As I talked about before, our goal here is to have some sort of proactive control or intention
[00:20:36.200 --> 00:20:41.000]   in how your day unfolds. Even if you can't control it beat by beat, have some intention embedded in your
[00:20:41.000 --> 00:20:46.760]   day as opposed to just reacting. So here's an example, just like a bare minimum thing you could do here.
[00:20:48.120 --> 00:20:53.080]   Some sort of morning review. First thing in the morning, maybe I'm keeping my tasks in a legal
[00:20:53.080 --> 00:20:57.400]   pad. Like we talked about, I have a calendar, look at the calendar, look at your legal pad.
[00:20:58.360 --> 00:21:03.480]   What's on my plate. Maybe grab a couple of things off that legal pad and say, okay,
[00:21:03.480 --> 00:21:07.960]   these are the things I want to try to get done today. Maybe kind of figure out here's the most
[00:21:07.960 --> 00:21:12.040]   important things I want to do. Why don't I do it? And I see I have an open time on my calendar.
[00:21:12.040 --> 00:21:16.280]   Let me just start. That's when I'll do them. Make a few decisions. It's putting minimal intention into
[00:21:16.280 --> 00:21:22.440]   your day. More advanced thing would be like I do multi-scale planning where I plan on multiple
[00:21:22.440 --> 00:21:27.640]   timescales. So on like the semester timescale, I'm thinking about my big picture goals for that
[00:21:27.640 --> 00:21:31.880]   semester. I look at that plan every week when I make a weekly plan. Critically in my weekly plan,
[00:21:31.880 --> 00:21:35.960]   I'm looking at everything scheduled on my calendar. I'm going to move things around if it's going to
[00:21:35.960 --> 00:21:41.400]   really unlock my week. If I move this or cancel this or move this to this day, it opens up big time
[00:21:41.400 --> 00:21:48.680]   here. So you play chess with your calendar during a weekly plan. I also schedule progress on the big
[00:21:48.680 --> 00:21:52.360]   rocks for my semester plan. I'll schedule them right on my calendar during the weekly plan.
[00:21:52.360 --> 00:21:58.200]   You know, I really am trying to make progress on finishing chapter three of my book by the end of
[00:21:58.200 --> 00:22:03.560]   March. I saw that in my semester plan. So now when I'm doing my weekly plan, I want to get like five
[00:22:03.560 --> 00:22:08.280]   hours blocked off on my calendar for writing, just to make sure that time gets done. And then the final
[00:22:08.280 --> 00:22:12.920]   scales every day in the morning, I like to do a time block plan, give every hour of my day a job,
[00:22:12.920 --> 00:22:17.240]   not reacting. I want to see the time I have and make the best possible plan for it. Yes,
[00:22:17.240 --> 00:22:20.920]   I'm going to get knocked off this time block plan within a couple hours and I'll have to adjust it a
[00:22:20.920 --> 00:22:25.240]   few times. And sometimes it'll be okay. And sometimes I'll never recover, but I'm going to try
[00:22:25.240 --> 00:22:31.480]   to have some say on how my day unfolds. So that's a more advanced way to do it. Multi-scale planning.
[00:22:31.480 --> 00:22:35.400]   But again, you can start with something as minimal as just like five minutes every morning.
[00:22:35.400 --> 00:22:40.280]   Where's the list? Where's the calendar? What am I wanting to do today? Or what's something I want
[00:22:40.280 --> 00:22:44.760]   to remember to do today? Just like give it a little bit of thought before you open that email inbox,
[00:22:44.760 --> 00:22:52.120]   before you jump into Slack. All right. So to summarize, we can go on and on about the optimal
[00:22:52.120 --> 00:22:56.440]   productivity systems or the best productivity systems or the most modern productivity systems.
[00:22:57.480 --> 00:23:01.640]   But if you want just a minimally viable productivity system, that sort of bare bones that I think
[00:23:01.640 --> 00:23:08.440]   everyone in the modern knowledge economy needs to avoid stress or disillusionment or burnout,
[00:23:08.440 --> 00:23:13.160]   you got to have some sort of task management component. You need some sort of workload component.
[00:23:13.160 --> 00:23:17.080]   You need some sort of time control component. And even if they are super simple,
[00:23:18.440 --> 00:23:24.680]   you are going to save yourself from the worst deprivations of being not productive enough.
[00:23:24.680 --> 00:23:28.200]   And yet focusing on these three things, if you're reasonable about it,
[00:23:28.200 --> 00:23:33.880]   that also saves you from that sort of optimization mindset thing, right? It leaves that to the people
[00:23:33.880 --> 00:23:39.400]   who like think about productivity as a hobby. I think it puts you in a really good place. So there we go.
[00:23:39.400 --> 00:23:45.880]   The MVPS, minimally viable productivity system. That's my current take on this issue. I'm sure it'll
[00:23:45.880 --> 00:23:51.960]   evolve, but I think it's an important one to throw into the discussion. I can't call it MVP because
[00:23:51.960 --> 00:23:57.400]   minimally viable product is a real Silicon Valley piece of lingo. Okay. Have you heard that lingo?
[00:23:57.400 --> 00:24:03.800]   Just most valuable player. Well, then there's that as well. Yeah. But in Silicon Valley, it's like
[00:24:04.600 --> 00:24:10.760]   rapidly developing the simplest possible software product that does something useful as opposed to
[00:24:10.760 --> 00:24:16.040]   trying to build a fully featured piece of software before you release it. So minimally viable product.
[00:24:16.040 --> 00:24:20.360]   And they didn't think about MVP because Silicon Valley people are not playing a lot of sports.
