
[00:00:00.000 --> 00:00:00.840]   That's good.
[00:02:00.400 --> 00:02:01.680]   how do they actually function?
[00:02:01.680 --> 00:02:04.280]   How do they make predictions?
[00:02:04.280 --> 00:02:06.800]   So let me lay down the notation.
[00:02:06.800 --> 00:02:10.240]   So a multilayer feedforward neural network
[00:02:10.240 --> 00:02:14.200]   is a model that takes as input some vector x, which
[00:02:14.200 --> 00:02:16.400]   I'm representing here with a different node
[00:02:16.400 --> 00:02:19.480]   for each of the dimensions in my input vector.
[00:02:19.480 --> 00:02:23.640]   So each dimension is essentially a unit in that neural network.
[00:02:23.640 --> 00:02:27.080]   And then it eventually produces, at its output layer,
[00:02:27.080 --> 00:02:28.680]   an output.
[00:02:28.680 --> 00:02:31.160]   And we'll focus on classification mostly.
[00:02:31.160 --> 00:02:33.280]   So you'd have multiple units here.
[00:02:33.280 --> 00:02:35.160]   And each unit would correspond to one
[00:02:35.160 --> 00:02:37.280]   of the potential classes in which we would
[00:02:37.280 --> 00:02:38.680]   want to classify our input.
[00:02:38.680 --> 00:02:42.960]   So if we're identifying digits in handwritten character
[00:02:42.960 --> 00:02:46.120]   images, and say we're focusing on digits,
[00:02:46.120 --> 00:02:47.120]   you'd have 10 digits.
[00:02:47.120 --> 00:02:50.120]   So you would have a sort of 0 from 0 to 9.
[00:02:50.120 --> 00:02:52.420]   So you'd have 10 output units.
[00:02:52.420 --> 00:02:54.820]   And to produce an output, the neural net
[00:02:54.820 --> 00:02:58.360]   will go through a series of hidden layers.
[00:02:58.360 --> 00:03:01.000]   And those will be essentially the components
[00:03:01.000 --> 00:03:02.380]   that introduce non-linearity that
[00:03:02.380 --> 00:03:06.340]   allows us to capture and perform very sophisticated types
[00:03:06.340 --> 00:03:08.600]   of classification functions.
[00:03:08.600 --> 00:03:11.500]   So if we have L hidden layers, the way
[00:03:11.500 --> 00:03:16.040]   we compute all the layers in our neural net is as follows.
[00:03:16.040 --> 00:03:17.940]   We first start by computing what I'm
[00:03:17.940 --> 00:03:20.040]   going to call a pre-activation.
[00:03:20.040 --> 00:03:22.200]   I'm going to know that A. And I'm
[00:03:22.200 --> 00:03:23.920]   going to index the layers by k.
[00:03:23.920 --> 00:03:28.080]   So A k is just the pre-activation at layer k.
[00:03:28.080 --> 00:03:32.320]   And that is only simply going to be a linear transformation
[00:03:32.320 --> 00:03:34.080]   of the previous layer.
[00:03:34.080 --> 00:03:38.320]   So I'm going to note h k as the activation on the layer.
[00:03:38.320 --> 00:03:41.200]   And by default, I'll assume that layer 0
[00:03:41.200 --> 00:03:43.080]   is going to be the input.
[00:03:43.080 --> 00:03:46.960]   And so using that notation, the pre-activation at layer k
[00:03:46.960 --> 00:03:49.720]   is going to correspond to taking the activation
[00:03:49.720 --> 00:03:52.200]   at the previous layer, k minus 1,
[00:03:52.200 --> 00:03:54.680]   multiplying it by a matrix, Wk.
[00:03:54.680 --> 00:03:57.640]   Those are the parameters of the layer.
[00:03:57.640 --> 00:04:00.520]   Those essentially corresponds to the connections
[00:04:00.520 --> 00:04:03.080]   between the units between adjacent layers.
[00:04:03.080 --> 00:04:05.120]   And I'm going to add a bias vector.
[00:04:05.120 --> 00:04:07.360]   That's another parameter in my layer.
[00:04:07.360 --> 00:04:09.640]   So that gives me the pre-activation.
[00:04:09.640 --> 00:04:12.280]   And then next, I'm going to get a hidden layer activation
[00:04:12.280 --> 00:04:14.680]   by applying an activation function.
[00:04:14.680 --> 00:04:17.760]   This will introduce some non-linearity in the model.
[00:04:17.760 --> 00:04:19.320]   So I'm going to call that function g.
[00:04:19.320 --> 00:04:22.000]   And we'll go over a few choices.
[00:04:22.000 --> 00:04:26.160]   So we have four common choices for the activation function.
[00:04:26.160 --> 00:04:29.120]   And so I do this from layer 1 to layer L.
[00:04:29.120 --> 00:04:31.320]   And when it comes to the output layer,
[00:04:31.320 --> 00:04:33.480]   I'll also compute a pre-activation
[00:04:33.480 --> 00:04:36.000]   by performing a linear transformation.
[00:04:36.000 --> 00:04:38.600]   But then I'll usually apply a different activation function
[00:04:38.600 --> 00:04:41.960]   depending on the problem I'm trying to solve.
[00:04:41.960 --> 00:04:47.000]   So having said that, let's go to some of the choices
[00:04:47.000 --> 00:04:48.260]   for the activation function.
[00:04:48.260 --> 00:04:50.800]   So some of the activation functions you'll see.
[00:04:50.800 --> 00:04:53.680]   One common one is this sigmoid activation function.
[00:04:53.680 --> 00:04:54.880]   It's this function here.
[00:04:54.880 --> 00:04:58.680]   It's just 1 divided by 1 plus the exponential
[00:04:58.680 --> 00:05:01.360]   of minus the pre-activation.
[00:05:01.360 --> 00:05:04.720]   The shape of this function, you can focus on that, is this here.
[00:05:04.720 --> 00:05:06.160]   It takes the pre-activation, which
[00:05:06.160 --> 00:05:08.520]   can vary from minus infinite to plus infinite.
[00:05:08.520 --> 00:05:11.680]   And it squashes this between 0 and 1.
[00:05:11.680 --> 00:05:15.720]   So it's bounded by below and above, below by 0,
[00:05:15.720 --> 00:05:17.480]   and above by 1.
[00:05:17.480 --> 00:05:19.600]   So it's a function that saturates
[00:05:19.600 --> 00:05:24.440]   if you have very large magnitude positive or negative
[00:05:24.440 --> 00:05:26.760]   pre-activations.
[00:05:26.760 --> 00:05:29.880]   Another common choice is the hyperbolic tangent or tanh
[00:05:29.880 --> 00:05:31.680]   activation function.
[00:05:31.680 --> 00:05:32.600]   This picture here.
[00:05:32.600 --> 00:05:33.720]   So it squashes everything.
[00:05:33.720 --> 00:05:35.840]   But instead of being between 0 and 1,
[00:05:35.840 --> 00:05:38.720]   it's between minus 1 and 1.
[00:05:38.720 --> 00:05:42.600]   And one that's become quite popular in neural nets
[00:05:42.600 --> 00:05:46.120]   is what's known as the rectified linear activation function.
[00:05:46.120 --> 00:05:50.400]   Or in papers, you will see the ReLU unit
[00:05:50.400 --> 00:05:54.880]   that refers to the use of this activation function.
[00:05:54.880 --> 00:05:56.560]   So this one is different from the others
[00:05:56.560 --> 00:06:00.340]   in that it's not bounded above, but it is bounded below.
[00:06:00.340 --> 00:06:05.640]   And it will output 0's exactly if the pre-activation
[00:06:05.640 --> 00:06:08.040]   is negative.
[00:06:08.040 --> 00:06:10.120]   So those are the choices of activation functions
[00:06:10.120 --> 00:06:12.060]   for the hidden layers.
[00:06:12.060 --> 00:06:13.960]   And for the output layer, if we're performing
[00:06:13.960 --> 00:06:16.760]   classification, as I said, in our output layer,
[00:06:16.760 --> 00:06:18.640]   we will have as many units as there
[00:06:18.640 --> 00:06:21.440]   are classes in which an input could belong.
[00:06:21.440 --> 00:06:24.720]   And what we'd like is potentially--
[00:06:24.720 --> 00:06:27.600]   and what we often do is interpret each unit's
[00:06:27.600 --> 00:06:30.320]   activation as the probability, according
[00:06:30.320 --> 00:06:33.600]   to the neural network, that the input belongs
[00:06:33.600 --> 00:06:36.480]   to the corresponding class, that its label y
[00:06:36.480 --> 00:06:39.600]   is the corresponding class C. So C
[00:06:39.600 --> 00:06:43.120]   would be like the index of that unit in the output layer.
[00:06:43.120 --> 00:06:44.520]   So we need an activation function
[00:06:44.520 --> 00:06:46.840]   that produces probabilities, produces
[00:06:46.840 --> 00:06:50.080]   a multinomial distribution over all the different classes.
[00:06:50.080 --> 00:06:52.120]   And the activation function we use for that
[00:06:52.120 --> 00:06:55.280]   is known as the softmax activation function.
[00:06:55.280 --> 00:06:57.400]   It is simply as follows.
[00:06:57.400 --> 00:07:00.440]   You take your pre-activations, and you exponentiate them.
[00:07:00.440 --> 00:07:02.800]   So that's going to give us positive numbers.
[00:07:02.800 --> 00:07:06.440]   And then we divide each of the exponentiated pre-activations
[00:07:06.440 --> 00:07:11.200]   by the sum of all the exponentiated pre-activations.
[00:07:11.200 --> 00:07:13.040]   So because I'm normalizing this way,
[00:07:13.040 --> 00:07:16.640]   it means that all my values in my output layer
[00:07:16.640 --> 00:07:17.920]   are going to sum to 1.
[00:07:17.920 --> 00:07:20.080]   And they're positive because I took the exponential.
[00:07:20.080 --> 00:07:23.080]   So I can interpret that as a multinomial distribution
[00:07:23.080 --> 00:07:26.760]   over the choice of all the C different classes.
[00:07:26.760 --> 00:07:29.040]   So that's what I'll use as the activation function
[00:07:29.040 --> 00:07:32.160]   at the output layer.
[00:07:32.160 --> 00:07:35.100]   And now, beyond the math in terms of conceptually
[00:07:35.100 --> 00:07:38.480]   and also in the way we're going to program neural networks,
[00:07:38.480 --> 00:07:41.020]   often what we'll do is that all these different operations,
[00:07:41.020 --> 00:07:43.520]   the linear transformations, the different types of activation
[00:07:43.520 --> 00:07:47.440]   functions, we'll essentially implement all of them
[00:07:47.440 --> 00:07:52.200]   as an object, an object that take arguments.
[00:07:52.200 --> 00:07:53.660]   And the arguments would essentially
[00:07:53.660 --> 00:07:55.400]   be what other things are being combined
[00:07:55.400 --> 00:07:57.600]   to produce the next value.
[00:07:57.600 --> 00:07:59.520]   So for instance, we would have an object
[00:07:59.520 --> 00:08:02.760]   that might correspond to the computation of pre-activation,
[00:08:02.760 --> 00:08:04.920]   which would take as argument what
[00:08:04.920 --> 00:08:08.280]   is the weight matrix and the bias vector for that layer
[00:08:08.280 --> 00:08:10.920]   and take some layer to transform.
[00:08:10.920 --> 00:08:13.560]   And this object would compute its value
[00:08:13.560 --> 00:08:15.840]   by applying the linear activation,
[00:08:15.840 --> 00:08:17.120]   the linear transformation.
[00:08:17.120 --> 00:08:18.620]   And then we might have objects that
[00:08:18.620 --> 00:08:21.880]   correspond to specific activation functions,
[00:08:21.880 --> 00:08:25.360]   so like a sigmoid object or a tanh object or a ReLU object.
[00:08:25.360 --> 00:08:27.200]   And we just combine these objects together,
[00:08:27.200 --> 00:08:30.960]   chain them into what ends up being a graph, which I refer
[00:08:30.960 --> 00:08:34.680]   to as a flow graph, that represents the computation done
[00:08:34.680 --> 00:08:37.400]   when you do a forward pass in your neural network
[00:08:37.400 --> 00:08:39.520]   up until you reach the output layer.
[00:08:39.520 --> 00:08:41.520]   So I mention it now because you'll
[00:08:41.520 --> 00:08:45.840]   see the different softwares that we presented over the weekend
[00:08:45.840 --> 00:08:50.000]   will essentially exploit some of that representation
[00:08:50.000 --> 00:08:51.600]   of the computation in neural nets.
[00:08:51.600 --> 00:08:53.880]   It will also be handy for computing gradients, which
[00:08:53.880 --> 00:08:57.720]   I'll talk about in a few minutes.
[00:08:57.720 --> 00:09:02.120]   And so that's how we perform predictions in neural networks.
[00:09:02.120 --> 00:09:03.560]   So we get an input.
[00:09:03.560 --> 00:09:05.120]   We eventually reach an output layer
[00:09:05.120 --> 00:09:06.960]   that gives us a distribution over classes
[00:09:06.960 --> 00:09:08.680]   if we're performing classification.
[00:09:08.680 --> 00:09:10.360]   If I want to actually classify, I
[00:09:10.360 --> 00:09:13.400]   would just assign the class corresponding
[00:09:13.400 --> 00:09:16.440]   to the unit that has the highest activation, that
[00:09:16.440 --> 00:09:19.160]   would correspond to classifying to the class that
[00:09:19.160 --> 00:09:21.720]   has the highest probability according to the neural net.
[00:09:21.720 --> 00:09:26.200]   But then you might ask the question, OK,
[00:09:26.200 --> 00:09:29.240]   what kind of problems can we solve with neural networks?
[00:09:29.240 --> 00:09:31.440]   Or more technically, what kind of functions
[00:09:31.440 --> 00:09:34.240]   can we represent mapping from some input x
[00:09:34.240 --> 00:09:36.520]   into some arbitrary output?
[00:09:36.520 --> 00:09:39.480]   And so if you go look at my videos,
[00:09:39.480 --> 00:09:41.920]   I try to give more intuition as to why
[00:09:41.920 --> 00:09:43.160]   we have this result here.
[00:09:43.160 --> 00:09:45.960]   But essentially, if we have a single hidden layer
[00:09:45.960 --> 00:09:48.680]   neural network, it's been shown that with a linear output,
[00:09:48.680 --> 00:09:51.040]   we can approximate any continuous function
[00:09:51.040 --> 00:09:54.560]   arbitrarily well as long as we have enough hidden units.
[00:09:54.560 --> 00:09:57.360]   So that is, there's a value for these biases and these weights
[00:09:57.360 --> 00:09:59.240]   such that any continuous function,
[00:09:59.240 --> 00:10:01.720]   I can actually represent it as well as I want.
[00:10:01.720 --> 00:10:04.760]   I just need to add enough hidden units.
[00:10:04.760 --> 00:10:07.560]   So this result applies if you use activation functions,
[00:10:07.560 --> 00:10:11.360]   non-linear activation functions like sigmoid and tanh.
[00:10:11.360 --> 00:10:14.000]   So as I said in my video, if you want a bit more intuition
[00:10:14.000 --> 00:10:18.040]   as to why that would be, you can go check that out.
[00:10:18.040 --> 00:10:19.920]   But that's a really nice result.
[00:10:19.920 --> 00:10:23.880]   It means that by focusing on this family of machine learning
[00:10:23.880 --> 00:10:27.720]   models that are neural networks, I can pretty much potentially
[00:10:27.720 --> 00:10:30.640]   represent any kind of classification function.
[00:10:30.640 --> 00:10:32.560]   However, this result does not tell us
[00:10:32.560 --> 00:10:35.680]   how do we actually find the weights and the bias values
[00:10:35.680 --> 00:10:38.040]   such that I can represent a given function.
[00:10:38.040 --> 00:10:39.560]   It doesn't essentially tell us how
[00:10:39.560 --> 00:10:41.640]   do we train a neural network.
[00:10:41.640 --> 00:10:44.800]   And so that's what we'll discuss next.
[00:10:44.800 --> 00:10:45.960]   So let's talk about that.
[00:10:45.960 --> 00:10:48.280]   How do we actually, from a data set,
[00:10:48.280 --> 00:10:51.560]   train a neural network to perform good classification
[00:10:51.560 --> 00:10:54.280]   for that problem?
[00:10:54.280 --> 00:10:58.100]   So what we'll typically do is use a framework that's
[00:10:58.100 --> 00:10:59.900]   very generic in machine learning,
[00:10:59.900 --> 00:11:03.060]   known as empirical risk minimization or structural risk
[00:11:03.060 --> 00:11:05.660]   minimization if you're using regularization.
[00:11:05.660 --> 00:11:08.940]   So this framework essentially transforms
[00:11:08.940 --> 00:11:12.860]   a problem of learning as a problem of optimizing.
[00:11:12.860 --> 00:11:16.380]   So what we'll do is that we'll first choose a loss function
[00:11:16.380 --> 00:11:19.540]   that I'm noting as L. And the loss function,
[00:11:19.540 --> 00:11:22.100]   it compares the output of my model,
[00:11:22.100 --> 00:11:23.980]   so the output layer of my neural network,
[00:11:23.980 --> 00:11:25.660]   with the actual target.
[00:11:25.660 --> 00:11:28.540]   So I'm indexing with an exponent here with t
[00:11:28.540 --> 00:11:32.660]   to essentially as the index over all my different examples
[00:11:32.660 --> 00:11:34.860]   in my training set.
[00:11:34.860 --> 00:11:36.940]   And so my loss function will tell me,
[00:11:36.940 --> 00:11:42.660]   is this output good or bad given that the label is actually y?
[00:11:42.660 --> 00:11:47.760]   And what I'll do, I'll also define a regularizer.
[00:11:47.760 --> 00:11:49.620]   So theta here is--
[00:11:49.620 --> 00:11:52.860]   you can think of it as just a concatenation of all my biases
[00:11:52.860 --> 00:11:54.460]   and all of my weights in my neural net.
[00:11:54.460 --> 00:11:58.200]   So those are all the parameters of my neural network.
[00:11:58.200 --> 00:12:00.020]   And the regularizer will essentially
[00:12:00.020 --> 00:12:03.220]   penalize certain values of these weights.
[00:12:03.220 --> 00:12:05.980]   So as I'll talk more specifically later on,
[00:12:05.980 --> 00:12:08.500]   for instance, you might want to have your weights not
[00:12:08.500 --> 00:12:09.940]   be too far from 0.
[00:12:09.940 --> 00:12:14.200]   That's a frequent intuition that we implement with regularizer.
[00:12:14.200 --> 00:12:16.660]   And so the optimization problem that we'll
[00:12:16.660 --> 00:12:19.740]   try to solve when learning is to minimize
[00:12:19.740 --> 00:12:23.900]   the average loss of my neural network over my training
[00:12:23.900 --> 00:12:26.100]   examples, so summing over all training examples.
[00:12:26.100 --> 00:12:28.860]   I have capital T examples.
[00:12:28.860 --> 00:12:33.340]   Plus some weight here that's known as the weight decay,
[00:12:33.340 --> 00:12:37.100]   some hyperparameter lambda, times my regularizer.
[00:12:37.100 --> 00:12:39.280]   So in other words, I'm going to try to have
[00:12:39.280 --> 00:12:43.140]   my loss on my training set the smallest possible over all
[00:12:43.140 --> 00:12:45.260]   the training example and also try
[00:12:45.260 --> 00:12:48.660]   to satisfy my regularizer as much as possible.
[00:12:48.660 --> 00:12:51.420]   And so now we have this optimization problem.
[00:12:51.420 --> 00:12:53.140]   And learning will just correspond
[00:12:53.140 --> 00:12:55.380]   to trying to solve this problem.
[00:12:55.380 --> 00:13:00.940]   So finding this arg min here for over my weights and my biases.
[00:13:00.940 --> 00:13:02.460]   And if I want to do this, I can just
[00:13:02.460 --> 00:13:05.100]   invoke some optimization procedure
[00:13:05.100 --> 00:13:08.860]   from the optimization community.
[00:13:08.860 --> 00:13:10.340]   And the one algorithm that you'll
[00:13:10.340 --> 00:13:14.420]   see constantly in deep learning is stochastic gradient descent.
[00:13:14.420 --> 00:13:16.220]   This is the optimization algorithm
[00:13:16.220 --> 00:13:19.780]   that we'll often use for training neural networks.
[00:13:19.780 --> 00:13:23.620]   So SGD, stochastic gradient descent, functions as follows.
[00:13:23.620 --> 00:13:26.580]   You first initialize all of your parameters.
[00:13:26.580 --> 00:13:29.740]   That is finding initial values for all my weight matrices
[00:13:29.740 --> 00:13:32.060]   and all of my biases.
[00:13:32.060 --> 00:13:34.140]   And then for a certain number of epochs--
[00:13:34.140 --> 00:13:37.740]   so an epoch will be a full pass over all my examples.
[00:13:37.740 --> 00:13:40.100]   That's what I'll call an epoch.
[00:13:40.100 --> 00:13:44.620]   So for a certain number of full iterations over my training
[00:13:44.620 --> 00:13:47.900]   set, I'll draw each training example.
[00:13:47.900 --> 00:13:51.620]   So I pair x, input x, target y.
[00:13:51.620 --> 00:13:55.900]   And then I'll compute what is the gradient of my loss
[00:13:55.900 --> 00:13:58.580]   with respect to my parameters.
[00:13:58.580 --> 00:14:01.040]   All of my parameters, all my weights, and all my biases.
[00:14:01.040 --> 00:14:03.180]   This is what this notation here--
[00:14:03.180 --> 00:14:06.740]   so nabla for the gradient of the loss function.
[00:14:06.740 --> 00:14:10.300]   And here I'm indexing with respect to which parameter.
[00:14:10.300 --> 00:14:12.060]   I want the gradient.
[00:14:12.060 --> 00:14:14.700]   So I'm going to compute what is the gradient of my loss
[00:14:14.700 --> 00:14:17.240]   function with respect to my parameters.
[00:14:17.240 --> 00:14:20.220]   And plus lambda times the gradient of my regularizer
[00:14:20.220 --> 00:14:21.160]   as well.
[00:14:21.160 --> 00:14:23.500]   And then I'm going to get a direction in which I should
[00:14:23.500 --> 00:14:25.220]   move my parameters.
[00:14:25.220 --> 00:14:28.620]   Since the gradient tells me how to increase the loss,
[00:14:28.620 --> 00:14:31.060]   I want to go in the opposite direction and decrease it.
[00:14:31.060 --> 00:14:32.820]   So my direction will be the opposite.
[00:14:32.820 --> 00:14:35.540]   So that's why I have a minus here.
[00:14:35.540 --> 00:14:38.140]   And so this delta is going to be the direction in which I'll
[00:14:38.140 --> 00:14:40.780]   move my parameters by taking a step.
[00:14:40.780 --> 00:14:43.940]   And the step is just a step size alpha,
[00:14:43.940 --> 00:14:46.500]   which is often referred to as a learning rate,
[00:14:46.500 --> 00:14:49.300]   times my direction, which I just add
[00:14:49.300 --> 00:14:52.300]   to my current values of my parameters, my biases
[00:14:52.300 --> 00:14:53.360]   and my weights.
[00:14:53.360 --> 00:14:56.120]   And that's going to give me my new value for all
[00:14:56.120 --> 00:14:57.180]   of my parameters.
[00:14:57.180 --> 00:15:01.260]   And I iterate like that, going over all pairs x, y's,
[00:15:01.260 --> 00:15:03.420]   computing my gradient, taking a step
[00:15:03.420 --> 00:15:05.280]   side in the opposite direction, and then
[00:15:05.280 --> 00:15:07.620]   doing that several times.
[00:15:07.620 --> 00:15:10.620]   So that's how stochastic gradient descent works.
[00:15:10.620 --> 00:15:12.540]   And that's essentially the learning procedure.
[00:15:12.540 --> 00:15:16.100]   It's represented by this procedure.
[00:15:16.100 --> 00:15:17.900]   So in this algorithm, there are a few things
[00:15:17.900 --> 00:15:20.860]   we need to specify to be able to implement it and execute it.
[00:15:20.860 --> 00:15:23.620]   We need a loss function, a choice for the loss function.
[00:15:23.620 --> 00:15:26.860]   We need a procedure that's efficient for computing
[00:15:26.860 --> 00:15:30.620]   the gradient of the loss with respect to my parameters.
[00:15:30.620 --> 00:15:33.300]   We need to choose a regularizer if we want one.
[00:15:33.300 --> 00:15:35.940]   And we need a way of initializing my parameters.
[00:15:35.940 --> 00:15:37.960]   So next, what I'll do is I'll go through each
[00:15:37.960 --> 00:15:39.780]   of these four different things we
[00:15:39.780 --> 00:15:41.700]   need to choose before actually being
[00:15:41.700 --> 00:15:45.660]   able to execute stochastic gradient descent.
[00:15:45.660 --> 00:15:48.060]   So first, the loss function.
[00:15:48.060 --> 00:15:50.980]   So as I said, we will interpret the output layer
[00:15:50.980 --> 00:15:53.900]   as assigning probabilities to each potential class in which
[00:15:53.900 --> 00:15:57.460]   I can classify my input x.
[00:15:57.460 --> 00:15:59.780]   Well, in this case, something that would be natural
[00:15:59.780 --> 00:16:02.120]   is to try to maximize the probability
[00:16:02.120 --> 00:16:05.500]   of the correct class, the actual class in which my example
[00:16:05.500 --> 00:16:06.340]   x t belongs to.
[00:16:06.340 --> 00:16:09.340]   I'd like to increase the value of the probability assigned
[00:16:09.340 --> 00:16:09.900]   by--
[00:16:09.900 --> 00:16:12.820]   computed by my neural network.
[00:16:12.820 --> 00:16:16.380]   And so because we set up the problem in which we
[00:16:16.380 --> 00:16:18.700]   have a loss that we minimize, instead
[00:16:18.700 --> 00:16:20.980]   of maximizing the probability, what we'll actually do
[00:16:20.980 --> 00:16:25.380]   is minimize the negative and the actual log probability,
[00:16:25.380 --> 00:16:28.300]   so the log likelihood of assigning x
[00:16:28.300 --> 00:16:30.340]   to the correct class y.
[00:16:30.340 --> 00:16:32.100]   So this is represented here.
[00:16:32.100 --> 00:16:35.420]   So given my output layer and the true label y,
[00:16:35.420 --> 00:16:40.820]   my loss will be minus the log of the probability of y
[00:16:40.820 --> 00:16:42.140]   according to my neural net.
[00:16:42.140 --> 00:16:44.980]   And that would be, well, take my output layer
[00:16:44.980 --> 00:16:48.500]   and look at the unit, so index the unit corresponding
[00:16:48.500 --> 00:16:50.020]   to the correct class.
[00:16:50.020 --> 00:16:53.500]   So that's why I'm indexing by y here.
[00:16:53.500 --> 00:16:55.740]   We take the log because numerically it
[00:16:55.740 --> 00:16:56.940]   turns out to be more stable.
[00:16:56.940 --> 00:16:59.180]   We get nicer-looking gradients.
[00:16:59.180 --> 00:17:01.340]   And sometimes in certain softwares,
[00:17:01.340 --> 00:17:03.460]   you'll see instead of talking about the negative log
[00:17:03.460 --> 00:17:05.020]   likelihood or log probability, you'll
[00:17:05.020 --> 00:17:07.980]   see it referred as the cross-entropy.
[00:17:07.980 --> 00:17:11.820]   And that's because you can think of this
[00:17:11.820 --> 00:17:15.620]   as performing a sum over all possible classes.
[00:17:15.620 --> 00:17:17.540]   And then for each class, checking, well,
[00:17:17.540 --> 00:17:20.820]   is this potential class the target class?
[00:17:20.820 --> 00:17:24.660]   So I have an indicator function that is 1 if y is equal to c,
[00:17:24.660 --> 00:17:28.100]   so if my iterator class c is actually
[00:17:28.100 --> 00:17:29.700]   equal to the real class.
[00:17:29.700 --> 00:17:33.140]   I'm going to multiply that by the log of the probability
[00:17:33.140 --> 00:17:35.660]   actually assigned to that class c.
[00:17:35.660 --> 00:17:39.380]   And this function here, so this expression here,
[00:17:39.380 --> 00:17:42.900]   is like a cross-entropy between the empirical distribution,
[00:17:42.900 --> 00:17:46.100]   which assigns zero probability to all the other classes,
[00:17:46.100 --> 00:17:48.500]   but a probability of 1 to the correct class,
[00:17:48.500 --> 00:17:50.900]   and the actual distribution over classes
[00:17:50.900 --> 00:17:54.660]   that my neural net is computing, which is f of x.
[00:17:54.660 --> 00:17:56.060]   That's just a technical detail.
[00:17:56.060 --> 00:17:57.540]   You can just think about this.
[00:17:57.540 --> 00:17:59.700]   Here, I only mention it because in certain libraries,
[00:17:59.700 --> 00:18:03.740]   it's actually mentioned as the cross-entropy loss.
[00:18:03.740 --> 00:18:06.060]   So that's for the loss.
[00:18:06.060 --> 00:18:08.260]   Then we need also a procedure for computing
[00:18:08.260 --> 00:18:10.460]   what is the gradient of my loss with respect
[00:18:10.460 --> 00:18:12.620]   to all of my parameters in my neural net,
[00:18:12.620 --> 00:18:15.820]   so the biases and the weights.
[00:18:15.820 --> 00:18:17.300]   You can go look at my videos if you
[00:18:17.300 --> 00:18:20.220]   want the actual derivation of all the details for all
[00:18:20.220 --> 00:18:21.780]   of these different expressions.
[00:18:21.780 --> 00:18:23.740]   I don't have time for that, so all I'll do--
[00:18:23.740 --> 00:18:26.300]   and presumably, a lot of you actually
[00:18:26.300 --> 00:18:28.620]   have seen these derivations.
[00:18:28.620 --> 00:18:30.700]   If you haven't, just go check out the videos.
