
[00:00:00.040 --> 00:00:09.480]   ち
[00:02:37.780 --> 00:02:56.500]  éch
[00:04:25.180 --> 00:04:54.660]  , and the content. Especially the good books, the best books, the great books. Books are works of, are labors, labors of love usually by their author. It takes so much time for an author to sit down and consider their thoughts and develop those thoughts and put them into a book that people don't generally do it casually. Only a handful of books are written quickly and published immediately. Rather, an author will generally labor and labor and labor for hard work.
[00:05:53.780 --> 00:06:04.060]   is
[00:06:04.060 --> 00:06:05.800]   blessed. I would though,,,,core
[00:06:05.800 --> 00:06:21.720]   Vers Bus property-s-s-s-s-s. is passed mem larger é;;
[00:06:22.240 --> 00:06:50.420]   look
[00:09:12.040 --> 00:09:22.320]   play
[00:09:22.320 --> 00:09:23.140]   and in倒
[00:09:23.140 --> 00:09:26.700]   accountable. . .. W "sz the much the sex the not the change the sex the take the say the play the
[00:09:41.880 --> 00:09:47.780]   reversed
[00:09:47.780 --> 00:10:10.100]   no My W поч começ contain please story, and, women,GA,G,G,G, Tel a One, I am the say the reci Special the trabaj the blessed theque the be the salir the quickest the Dia the det the it is the on the horse the code the longer the in the crossed the Laura the and the CNE, and, and, and, and, and, and, and, and, and, and, and, and ,s, and, ., ., . ,, . ,, . , ,. , ., ., , ., ., . ., ., ., ., ., , ., , ., ., ., . ., ., ., ., ., ? chiult everyone can'tgend afford our--led bottom meaningless 1200
[00:10:10.100 --> 00:10:10.240]  그래't and you're not -.» gain in working I'm I'm work and you're discuss the
[00:10:10.280 --> 00:10:21.300]   the challenge for me is books that I actually want to read or that I actually read.
[00:10:21.300 --> 00:10:24.300]   I usually want to interact with those books.
[00:10:24.300 --> 00:10:38.680]   For me, interacting with the book, through the use of marginalia, the underlying, the highlighting, the questions that I write, that's important to me because it helps me to interact with the author.
[00:10:38.680 --> 00:10:38.680]   It helps me to pay attention when I'm writing.
[00:10:38.680 --> 00:10:38.680]   It helps me to pay attention when I'm writing.
[00:10:38.680 --> 00:10:38.680]   It helps me to pay attention when I'm writing.
[00:10:38.680 --> 00:10:38.680]   It helps me to pay attention when I'm writing.
[00:10:38.680 --> 00:10:38.680]   It helps me to pay attention when I'm writing.
[00:10:38.680 --> 00:10:38.680]   It helps me to pay attention when I'm writing.
[00:10:38.680 --> 00:10:38.680]   It helps me to pay attention when I'm writing.
[00:10:38.680 --> 00:10:38.680]   It helps me to pay attention when I'm writing.
[00:10:38.680 --> 00:10:38.680]   It helps me to pay attention when I'm writing.
[00:10:38.680 --> 00:10:38.680]   It helps me to pay attention when I'm writing.
[00:10:38.680 --> 00:11:07.100]   I read and it helps me to note my own thoughts and questions.
[00:11:07.100 --> 00:11:07.140]   It helps me to pay attention when I'm writing.
[00:11:07.160 --> 00:11:35.560]   It helps me to pay attention when I'm writing.
[00:11:35.560 --> 00:11:35.560]   It helps me to pay attention when I'm writing.
[00:11:35.560 --> 00:11:35.560]   It helps me to pay attention when I'm writing.
[00:11:35.560 --> 00:11:35.560]   It helps me to pay attention when I'm writing.
[00:11:35.560 --> 00:11:35.560]   It helps me to pay attention when I'm writing.
[00:11:35.560 --> 00:11:35.560]   It helps me to pay attention when I'm writing.
[00:11:35.560 --> 00:11:35.560]   It helps me to pay attention when I'm writing.
[00:11:35.560 --> 00:11:35.560]   It helps me to pay attention when I'm writing.
[00:11:35.560 --> 00:11:35.560]   It helps me to pay attention when I'm writing.
[00:11:35.560 --> 00:11:35.560]   It helps me to pay attention when I'm writing.
[00:11:35.560 --> 00:11:35.560]   It helps me to pay attention when I'm writing.
[00:11:35.560 --> 00:11:35.560]   It helps me to pay attention when I'm writing.
[00:11:35.560 --> 00:11:35.560]   It helps me to pay attention when I'm writing.
[00:11:35.560 --> 00:11:35.560]   It helps me to pay attention when I'm writing.
[00:11:35.560 --> 00:11:35.560]   It helps me to pay attention when I'm writing.
[00:11:35.560 --> 00:11:35.560]   It helps me to pay attention when I'm writing.
[00:11:35.560 --> 00:12:05.580]   It helps me to pay attention when I'm writing.
[00:12:05.580 --> 00:12:05.580]   It helps me to pay attention when I'm writing.
[00:12:05.580 --> 00:12:05.580]   It helps me to pay attention when I'm writing.
[00:12:05.580 --> 00:12:05.580]   It helps me to pay attention when I'm writing.
[00:12:05.580 --> 00:12:05.580]   It helps me to pay attention when I'm writing.
[00:12:05.580 --> 00:12:05.580]   It helps me to pay attention when I'm writing.
[00:12:05.580 --> 00:12:05.580]   It helps me to pay attention when I'm writing.
[00:12:05.620 --> 00:12:09.320]   against
[00:12:09.320 --> 00:12:22.300]   car which no the
[00:13:02.860 --> 00:13:02.860]   I
[00:13:02.860 --> 00:13:02.860]   I
[00:13:02.860 --> 00:13:02.860]   I
[00:13:02.860 --> 00:13:02.860]   I
[00:13:02.860 --> 00:13:02.920]   I
[00:13:02.920 --> 00:13:03.220]   I
[00:13:03.300 --> 00:13:13.140]   consider
[00:13:13.140 --> 00:13:13.600]   lasts in the con
[00:13:13.600 --> 00:13:15.200]   or Chairman ou änd or n, and, and, and, and, and, and, nh. I'm in a qual
[00:15:28.480 --> 00:15:36.700]   I
[00:15:36.700 --> 00:15:48.200]   This I orange at
[00:16:24.680 --> 00:16:24.680]   The
[00:16:24.680 --> 00:16:24.680]   The
[00:16:24.680 --> 00:16:24.680]   The
[00:16:24.680 --> 00:16:24.680]   The
[00:17:20.920 --> 00:17:20.920]   The
[00:17:49.040 --> 00:17:49.040]   I orange at the top of the page.
[00:17:49.040 --> 00:17:49.040]   I'm going to go ahead and start the video.
[00:17:49.040 --> 00:17:49.040]   I'm going to go ahead and start the video.
[00:17:49.040 --> 00:17:49.040]   I'm going to go ahead and start the video.
[00:17:49.040 --> 00:17:49.040]   I'm going to go ahead and start the video.
[00:17:49.040 --> 00:17:49.080]   I'm going to go ahead and start the video.
[00:17:49.080 --> 00:17:49.120]   I'm going to go ahead and start the video.
[00:17:49.120 --> 00:17:49.160]   I'm going to go ahead and start the video.
[00:17:49.160 --> 00:17:49.200]   I'm going to go ahead and start the video.
[00:17:49.200 --> 00:17:49.280]   I'm going to go ahead and start the video.
[00:17:49.280 --> 00:17:49.320]   I'm going to go ahead and start the video.
[00:17:49.320 --> 00:17:49.400]   I'm going to go ahead and start the video.
[00:17:49.400 --> 00:17:49.480]   I'm going to go ahead and start the video.
[00:17:49.480 --> 00:17:49.560]   I'm going to go ahead and start the video.
[00:17:49.560 --> 00:17:49.640]   I'm going to go ahead and start the video.
[00:17:49.640 --> 00:17:49.680]   I'm going to go ahead and start the video.
[00:17:50.360 --> 00:18:18.480]   I'm going to go ahead and start the video.
[00:18:18.480 --> 00:18:18.520]   I'm going to go ahead and start the video.
[00:18:18.520 --> 00:18:18.560]   I'm going to go ahead and start the video.
[00:18:18.560 --> 00:18:18.600]   I'm going to go ahead and start the video.
[00:18:18.600 --> 00:18:18.640]   I'm going to go ahead and start the video.
[00:18:18.640 --> 00:18:18.680]   I'm going to go ahead and start the video.
[00:18:18.680 --> 00:18:18.720]   I'm going to go ahead and start the video.
[00:18:18.720 --> 00:18:18.720]   I'm going to go ahead and start the video.
[00:18:18.720 --> 00:18:19.680]   I'm going to go ahead and start the video.
[00:18:19.720 --> 00:18:27.620]  �
[00:18:27.620 --> 00:18:33.740]   think see,,, жиз
[00:19:46.180 --> 00:20:14.960]  berger: So, the one that I have used, that I borrowed from somebody, was a fairly, was a, wasn't a high-end commercial one, but it was a, just a common desk type one that could do a couple hundred pages. And with most books, I could put in most books, most paperbacks, most hardback books, except for the very thickest of my textbooks, which I scanned all my textbooks as well. Then you could just slide them in there and you
[00:20:43.800 --> 00:21:12.600]   and then scan it for you. So, you have to cut up and destroy the books. I believe there are services that will do that for you. I believe you can ship the books off, and I would recommend that you consider it, because it's very time-intensive. If you can look at a service and they charge you a modest price, a couple bucks a book, something like that, it's probably worth it to go ahead and ship the books off and have somebody with commercial equipment do the destruction of the book and then scan it for you.
[00:21:12.640 --> 00:21:37.400]   wait
[00:21:40.920 --> 00:21:48.880]   So that can make pretty quick work of a book.
[00:21:48.880 --> 00:21:55.000]   You do have to sit there and feed it, but it'll scan 30 pages a minute automatically, and it'll create a PDF for you.
[00:21:55.000 --> 00:22:03.780]   And if you've done a good job with your cutting of the book to eliminate binding, to eliminate adhesives, and to eliminate double pages, it's fairly trouble-free.
[00:22:03.780 --> 00:22:09.200]   You learn over time that you need to cut off more than you'd like to because you want to make sure there's no binding or glue residue.
[00:22:09.200 --> 00:22:09.200]   You want to make sure that you're cutting off more than you'd like to because you want to make sure there's no binding or glue residue that's holding pages together because that just doesn't work.
[00:22:09.200 --> 00:22:09.200]   You want to make sure that you're cutting off more than you'd like to because you want to make sure there's no binding or glue residue that's holding pages together because that just doesn't work.
[00:22:09.200 --> 00:22:37.500]  , but it's fairly trouble-free.
[00:22:37.500 --> 00:22:37.500]   And so you can run it through with the scanner.
[00:22:37.500 --> 00:22:37.600]   In hindsight, given the fact that if I didn't own or have access to the loan of a guillotine paper cutter, I might consider buying one of the more expensive scanners that is purpose-designed for scanning books.
[00:23:05.900 --> 00:23:06.000]   I'm not saying that you should buy one of the more expensive scanners that is purpose-designed for scanning books.
[00:23:06.000 --> 00:23:06.060]   I'm not saying that you should buy one of the more expensive scanners that is purpose-designed for scanning books.
[00:23:06.060 --> 00:23:06.360]   I'm not saying that you should buy one of the more expensive scanners that is purpose-designed for scanning books.
[00:23:06.360 --> 00:23:06.400]   I'm not saying that you should buy one of the more expensive scanners that is purpose-designed for scanning books.
[00:23:06.400 --> 00:23:06.440]   I'm not saying that you should buy one of the more expensive scanners that is purpose-designed for scanning books.
[00:23:06.440 --> 00:23:06.500]   I'm not saying that you should buy one of the more expensive scanners that is purpose-designed for scanning books.
[00:23:06.500 --> 00:23:06.580]   I'm not saying that you should buy one of the more expensive scanners that is purpose-designed for scanning books.
[00:23:06.580 --> 00:23:06.600]   I'm not saying that you should buy one of the more expensive scanners that is purpose-designed for scanning books.
[00:23:35.960 --> 00:23:36.620]   I'm not saying that you should buy one of the more expensive scanners that is purpose-designed for scanning books.
[00:23:36.620 --> 00:23:36.620]   I'm not saying that you should buy one of the more expensive scanners that is purpose-designed for scanning books.
[00:23:36.620 --> 00:23:36.620]   I'm not saying that you should buy one of the more expensive scanners that is purpose-designed for scanning books.
[00:23:36.620 --> 00:23:36.620]   I'm not saying that you should buy one of the more expensive scanners that is purpose-designed for scanning books.
[00:23:36.620 --> 00:23:36.620]   I'm not saying that you should buy one of the more expensive scanners that is purpose-designed for scanning books.
[00:23:36.620 --> 00:23:36.620]   I'm not saying that you should buy one of the more expensive scanners that is purpose-designed for scanning books.
[00:23:36.620 --> 00:23:36.620]   I'm not saying that you should buy one of the more expensive scanners that is purpose-designed for scanning books.
[00:23:36.620 --> 00:24:06.640]  ,
[00:24:06.640 --> 00:24:06.640]   I'm not saying that you should buy one of the more expensive scanners that is purpose-designed for scanning books.
[00:24:06.640 --> 00:24:06.640]   I'm not saying that you should buy one of the more expensive scanners that is purpose-designed for scanning books.
[00:24:06.640 --> 00:24:06.640]   I'm not saying that you should buy one of the more expensive scanners that is purpose-designed for scanning books.
[00:24:06.640 --> 00:24:06.640]   I'm not saying that you should buy one of the more expensive scanners that is purpose-designed for scanning books.
[00:24:06.640 --> 00:24:06.640]   I'm not saying that you should buy one of the more expensive scanners that is purpose-designed for scanning books.
[00:24:06.640 --> 00:24:06.640]   I'm not saying that you should buy one of the more expensive scanners that is purpose-designed for scanning books.
[00:24:06.660 --> 00:24:36.660]   I'm not saying that you should buy one of the more expensive scanners that is purpose-designed for scanning books.
[00:24:36.660 --> 00:24:36.660]   I'm not saying that you should buy one of the more expensive scanners that is purpose-designed for scanning books.
[00:24:36.660 --> 00:24:36.660]   I'm not saying that you should buy one of the more expensive scanners that is purpose-designed for scanning books.
[00:24:36.660 --> 00:24:36.660]   I'm not saying that you should buy one of the more expensive scanners that is purpose-designed for scanning books.
[00:24:36.660 --> 00:24:36.660]   I'm not saying that you should buy one of the more expensive scanners that is purpose-designed for scanning books.
[00:24:36.660 --> 00:24:36.660]   I'm not saying that you should buy one of the more expensive scanners that is purpose-designed for scanning books.
[00:24:36.660 --> 00:24:36.660]   I'm not saying that you should buy one of the more expensive scanners that is purpose-designed for scanning books.
[00:24:36.660 --> 00:24:36.660]   I'm not saying that you should buy one of the more expensive scanners that is purpose-designed for scanning books.
[00:24:36.700 --> 00:25:06.680]  ,
[00:25:06.680 --> 00:25:06.680]   I'm not saying that you should buy one of the more expensive scanners that is purpose-designed for scanning books.
[00:25:06.680 --> 00:25:06.680]   I'm not saying that you should buy one of the more expensive scanners that is purpose-designed for scanning books.
[00:25:06.680 --> 00:25:06.680]   I'm not saying that you should buy one of the more expensive scanners that is purpose-designed for scanning books.
[00:25:06.680 --> 00:25:06.680]   I'm not saying that you should buy one of the more expensive scanners that is purpose-designed for scanning books.
[00:25:06.680 --> 00:25:06.680]   I'm not saying that you should buy one of the more expensive scanners that is purpose-designed for scanning books.
[00:25:06.680 --> 00:25:06.680]   I'm not saying that you should buy one of the more expensive scanners that is purpose-designed for scanning books.
[00:25:06.700 --> 00:25:36.700]   I'm not saying that you should buy one of the more expensive scanners that is purpose-designed for scanning books.
[00:25:36.700 --> 00:25:36.700]   I'm not saying that you should buy one of the more expensive scanners that is purpose-designed for scanning books.
[00:25:36.700 --> 00:25:36.700]   I'm not saying that you should buy one of the more expensive scanners that is purpose-designed for scanning books.
[00:25:36.700 --> 00:25:36.700]   I'm not saying that you should buy one of the more expensive scanners that is purpose-designed for scanning books.
[00:25:36.700 --> 00:25:36.700]   I'm not saying that you should buy one of the more expensive scanners that is purpose-designed for scanning books.
[00:25:36.700 --> 00:25:36.700]   I'm not saying that you should buy one of the more expensive scanners that is purpose-designed for scanning books.
[00:25:36.700 --> 00:25:36.700]   I'm not saying that you should buy one of the more expensive scanners that is purpose-designed for scanning books.
[00:25:36.700 --> 00:25:36.700]   I'm not saying that you should buy one of the more expensive scanners that is purpose-designed for scanning books.
[00:25:36.740 --> 00:26:06.720]  ,
[00:26:06.720 --> 00:26:06.720]   I'm not saying that you should buy one of the more expensive scanners that is purpose-designed for scanning books.
[00:26:06.720 --> 00:26:06.720]   I'm not saying that you should buy one of the more expensive scanners that is purpose-designed for scanning books.
[00:26:06.720 --> 00:26:06.720]   I'm not saying that you should buy one of the more expensive scanners that is purpose-designed for scanning books.
[00:26:06.720 --> 00:26:06.720]   I'm not saying that you should buy one of the more expensive scanners that is purpose-designed for scanning books.
[00:26:06.720 --> 00:26:06.720]   I'm not saying that you should buy one of the more expensive scanners that is purpose-designed for scanning books.
[00:26:06.720 --> 00:26:06.720]   I'm not saying that you should buy one of the more expensive scanners that is purpose-designed for scanning books.
[00:26:06.720 --> 00:26:06.720]   I'm not saying that you should buy one of the more expensive scanners that is purpose-designed for scanning books.
[00:26:06.740 --> 00:26:36.740]   I'm not saying that you should buy one of the more expensive scanners that is purpose-designed for scanning books.
[00:26:36.740 --> 00:26:36.740]   I'm not saying that you should buy one of the more expensive scanners that is purpose-designed for scanning books.
[00:26:36.740 --> 00:26:36.740]   I'm not saying that you should buy one of the more expensive scanners that is purpose-designed for scanning books.
[00:26:36.740 --> 00:26:36.740]   I'm not saying that you should buy one of the more expensive scanners that is purpose-designed for scanning books.
[00:26:36.740 --> 00:26:36.740]   I'm not saying that you should buy one of the more expensive scanners that is purpose-designed for scanning books.
[00:26:36.740 --> 00:26:36.740]   I'm not saying that you should buy one of the more expensive scanners that is purpose-designed for scanning books.
[00:26:36.740 --> 00:26:36.740]   I'm not saying that you should buy one of the more expensive scanners that is purpose-designed for scanning books.
[00:26:36.740 --> 00:26:36.740]   I'm not saying that you should buy one of the more expensive scanners that is purpose-designed for scanning books.
[00:26:36.780 --> 00:27:06.760]  ,
[00:27:06.760 --> 00:27:06.760]   I'm not saying that you should buy one of the more expensive scanners that is purpose-designed for scanning books.
[00:27:06.760 --> 00:27:06.760]   I'm not saying that you should buy one of the more expensive scanners that is purpose-designed for scanning books.
[00:27:06.760 --> 00:27:06.760]   I'm not saying that you should buy one of the more expensive scanners that is purpose-designed for scanning books.
[00:27:06.760 --> 00:27:06.760]   I'm not saying that you should buy one of the more expensive scanners that is purpose-designed for scanning books.
[00:27:06.760 --> 00:27:06.760]   I'm not saying that you should buy one of the more expensive scanners that is purpose-designed for scanning books.
[00:27:06.760 --> 00:27:06.760]   I'm not saying that you should buy one of the more expensive scanners that is purpose-designed for scanning books.
[00:27:06.760 --> 00:27:06.760]   I'm not saying that you should buy one of the more expensive scanners that is purpose-designed for scanning books.
[00:27:06.780 --> 00:27:36.780]   I'm not saying that you should buy one of the more expensive scanners that is purpose-designed for scanning books.
[00:27:36.780 --> 00:27:36.780]   I'm not saying that you should buy one of the more expensive scanners that is purpose-designed for scanning books.
[00:27:36.780 --> 00:27:36.780]   I'm not saying that you should buy one of the more expensive scanners that is purpose-designed for scanning books.
[00:27:36.780 --> 00:27:36.780]   I'm not saying that you should buy one of the more expensive scanners that is purpose-designed for scanning books.
[00:27:36.780 --> 00:27:36.780]   I'm not saying that you should buy one of the more expensive scanners that is purpose-designed for scanning books.
[00:27:36.780 --> 00:27:36.780]   I'm not saying that you should buy one of the more expensive scanners that is purpose-designed for scanning books.
[00:27:36.780 --> 00:27:36.780]   I'm not saying that you should buy one of the more expensive scanners that is purpose-designed for scanning books.
[00:27:36.780 --> 00:27:36.780]   I'm not saying that you should buy one of the more expensive scanners that is purpose-designed for scanning books.
[00:27:36.820 --> 00:28:06.800]  ,
[00:28:06.800 --> 00:28:06.800]   I'm not saying that you should buy one of the more expensive scanners that is purpose-designed for scanning books.
[00:28:06.800 --> 00:28:06.800]   I'm not saying that you should buy one of the more expensive scanners that is purpose-designed for scanning books.
[00:28:06.800 --> 00:28:06.800]   I'm not saying that you should buy one of the more expensive scanners that is purpose-designed for scanning books.
[00:28:06.800 --> 00:28:06.800]   I'm not saying that you should buy one of the more expensive scanners that is purpose-designed for scanning books.
[00:28:06.800 --> 00:28:06.800]   I'm not saying that you should buy one of the more expensive scanners that is purpose-designed for scanning books.
[00:28:06.800 --> 00:28:06.800]   I'm not saying that you should buy one of the more expensive scanners that is purpose-designed for scanning books.
[00:28:06.800 --> 00:28:06.800]   I'm not saying that you should buy one of the more expensive scanners that is purpose-designed for scanning books.
[00:28:06.800 --> 00:28:06.800]   I'm not saying that you should buy one of the more expensive scanners that is purpose-designed for scanning books.
[00:28:06.820 --> 00:28:36.820]   I'm not saying that you should buy one of the more expensive scanners that is purpose-designed for scanning books.
[00:28:36.820 --> 00:28:36.820]   I'm not saying that you should buy one of the more expensive scanners that is purpose-designed for scanning books.
[00:28:36.820 --> 00:28:36.820]   I'm not saying that you should buy one of the more expensive scanners that is purpose-designed for scanning books.
[00:28:36.820 --> 00:28:36.820]   I'm not saying that you should buy one of the more expensive scanners that is purpose-designed for scanning books.
[00:28:36.820 --> 00:28:36.820]   I'm not saying that you should buy one of the more expensive scanners that is purpose-designed for scanning books.
[00:28:36.820 --> 00:28:36.820]   I'm not saying that you should buy one of the more expensive scanners that is purpose-designed for scanning books.
[00:28:36.820 --> 00:28:36.820]   I'm not saying that you should buy one of the more expensive scanners that is purpose-designed for scanning books.
[00:28:36.820 --> 00:28:36.820]   I'm not saying that you should buy one of the more expensive scanners that is purpose-designed for scanning books.
[00:28:36.860 --> 00:29:06.840]  ,
[00:29:06.840 --> 00:29:06.840]   I'm not saying that you should buy one of the more expensive scanners that is purpose-designed for scanning books.
[00:29:06.840 --> 00:29:06.840]   I'm not saying that you should buy one of the more expensive scanners that is purpose-designed for scanning books.
[00:29:06.840 --> 00:29:06.840]   I'm not saying that you should buy one of the more expensive scanners that is purpose-designed for scanning books.
[00:29:06.840 --> 00:29:06.840]   I'm not saying that you should buy one of the more expensive scanners that is purpose-designed for scanning books.
[00:29:06.840 --> 00:29:06.840]   I'm not saying that you should buy one of the more expensive scanners that is purpose-designed for scanning books.
[00:29:06.860 --> 00:29:36.860]   I'm not saying that you should buy one of the more expensive scanners that is purpose-designed for scanning books.
[00:29:36.860 --> 00:29:36.860]   I'm not saying that you should buy one of the more expensive scanners that is purpose-designed for scanning books.
[00:29:36.860 --> 00:29:36.860]   I'm not saying that you should buy one of the more expensive scanners that is purpose-designed for scanning books.
[00:29:36.860 --> 00:29:36.860]   I'm not saying that you should buy one of the more expensive scanners that is purpose-designed for scanning books.
[00:29:36.860 --> 00:29:36.860]   I'm not saying that you should buy one of the more expensive scanners that is purpose-designed for scanning books.
[00:29:36.860 --> 00:29:36.860]   I'm not saying that you should buy one of the more expensive scanners that is purpose-designed for scanning books.
[00:29:36.860 --> 00:29:36.860]   I'm not saying that you should buy one of the more expensive scanners that is purpose-designed for scanning books.
[00:29:36.860 --> 00:29:36.860]   I'm not saying that you should buy one of the more expensive scanners that is purpose-designed for scanning books.
[00:29:36.900 --> 00:30:06.880]  ,
[00:30:06.880 --> 00:30:06.880]   I'm not saying that you should buy one of the more expensive scanners that is purpose-designed for scanning books.
[00:30:06.880 --> 00:30:06.880]   I'm not saying that you should buy one of the more expensive scanners that is purpose-designed for scanning books.
[00:30:06.880 --> 00:30:06.880]   I'm not saying that you should buy one of the more expensive scanners that is purpose-designed for scanning books.
[00:30:06.880 --> 00:30:06.880]   I'm not saying that you should buy one of the more expensive scanners that is purpose-designed for scanning books.
[00:30:06.880 --> 00:30:06.880]   I'm not saying that you should buy one of the more expensive scanners that is purpose-designed for scanning books.
[00:30:06.900 --> 00:30:36.900]   I'm not saying that you should buy one of the more expensive scanners that is purpose-designed for scanning books.
[00:30:36.900 --> 00:30:36.900]   I'm not saying that you should buy one of the more expensive scanners that is purpose-designed for scanning books.
[00:30:36.900 --> 00:30:36.900]   I'm not saying that you should buy one of the more expensive scanners that is purpose-designed for scanning books.
[00:30:36.900 --> 00:30:36.900]   I'm not saying that you should buy one of the more expensive scanners that is purpose-designed for scanning books.
[00:30:36.900 --> 00:30:36.900]   I'm not saying that you should buy one of the more expensive scanners that is purpose-designed for scanning books.
[00:30:36.900 --> 00:30:36.900]   I'm not saying that you should buy one of the more expensive scanners that is purpose-designed for scanning books.
[00:30:36.900 --> 00:30:36.900]   I'm not saying that you should buy one of the more expensive scanners that is purpose-designed for scanning books.
[00:30:36.900 --> 00:30:36.900]   I'm not saying that you should buy one of the more expensive scanners that is purpose-designed for scanning books.
[00:30:36.940 --> 00:31:06.920]  ,
[00:31:06.920 --> 00:31:06.920]   I'm not saying that you should buy one of the more expensive scanners that is purpose-designed for scanning books.
[00:31:06.920 --> 00:31:06.920]   I'm not saying that you should buy one of the more expensive scanners that is purpose-designed for scanning books.
[00:31:06.920 --> 00:31:06.920]   I'm not saying that you should buy one of the more expensive scanners that is purpose-designed for scanning books.
[00:31:06.920 --> 00:31:06.920]   I'm not saying that you should buy one of the more expensive scanners that is purpose-designed for scanning books.
[00:31:06.920 --> 00:31:06.920]   I'm not saying that you should buy one of the more expensive scanners that is purpose-designed for scanning books.
[00:31:06.920 --> 00:31:06.920]   I'm not saying that you should buy one of the more expensive scanners that is purpose-designed for scanning books.
[00:31:06.940 --> 00:31:36.940]   I'm not saying that you should buy one of the more expensive scanners that is purpose-designed for scanning books.
[00:31:36.940 --> 00:31:36.940]   I'm not saying that you should buy one of the more expensive scanners that is purpose-designed for scanning books.
[00:31:36.940 --> 00:31:36.940]   I'm not saying that you should buy one of the more expensive scanners that is purpose-designed for scanning books.
[00:31:36.940 --> 00:31:36.940]   I'm not saying that you should buy one of the more expensive scanners that is purpose-designed for scanning books.
[00:31:36.940 --> 00:31:36.940]   I'm not saying that you should buy one of the more expensive scanners that is purpose-designed for scanning books.
[00:31:36.940 --> 00:31:36.940]   I'm not saying that you should buy one of the more expensive scanners that is purpose-designed for scanning books.
[00:31:36.940 --> 00:31:36.940]   I'm not saying that you should buy one of the more expensive scanners that is purpose-designed for scanning books.
[00:31:36.940 --> 00:31:36.940]   I'm not saying that you should buy one of the more expensive scanners that is purpose-designed for scanning books.
[00:31:36.940 --> 00:32:06.960]  ,
[00:32:06.960 --> 00:32:06.960]   I'm not saying that you should buy one of the more expensive scanners that is purpose-designed for scanning books.
[00:32:06.960 --> 00:32:06.960]   I'm not saying that you should buy one of the more expensive scanners that is purpose-designed for scanning books.
[00:32:06.960 --> 00:32:06.960]   I'm not saying that you should buy one of the more expensive scanners that is purpose-designed for scanning books.
[00:32:06.960 --> 00:32:06.960]   I'm not saying that you should buy one of the more expensive scanners that is purpose-designed for scanning books.
[00:32:06.960 --> 00:32:06.960]   I'm not saying that you should buy one of the more expensive scanners that is purpose-designed for scanning books.
[00:32:06.980 --> 00:32:36.980]   I'm not saying that you should buy one of the more expensive scanners that is purpose-designed for scanning books.
[00:32:36.980 --> 00:32:36.980]   I'm not saying that you should buy one of the more expensive scanners that is purpose-designed for scanning books.
[00:32:36.980 --> 00:32:36.980]   I'm not saying that you should buy one of the more expensive scanners that is purpose-designed for scanning books.
[00:32:36.980 --> 00:32:36.980]   I'm not saying that you should buy one of the more expensive scanners that is purpose-designed for scanning books.
[00:32:36.980 --> 00:32:36.980]   I'm not saying that you should buy one of the more expensive scanners that is purpose-designed for scanning books.
[00:32:36.980 --> 00:32:36.980]   I'm not saying that you should buy one of the more expensive scanners that is purpose-designed for scanning books.
[00:32:36.980 --> 00:32:36.980]   I'm not saying that you should buy one of the more expensive scanners that is purpose-designed for scanning books.
[00:32:36.980 --> 00:32:36.980]   I'm not saying that you should buy one of the more expensive scanners that is purpose-designed for scanning books.
[00:33:07.000 --> 00:33:07.000]   I'm not saying that you should buy one of the more expensive scanners that is purpose-designed for scanning books.
