
[00:00:00.720 --> 00:00:09.900]   What is pleasure and how does it work at the biological level? And if it feels right at the
[00:03:20.520 --> 00:03:34.580]   Yeah. And I just want to interject there. So this moment of wanting to watch another that is associated with pain, I think, is, are we always aware of that happening?
[00:03:34.580 --> 00:03:36.580]   Because you just described it in a very conscious way.
[00:03:36.580 --> 00:03:37.080]   Right.
[00:03:37.080 --> 00:03:43.580]   But when I indulge in something I enjoy, I'm usually thinking about just wanting more of that thing.
[00:03:43.580 --> 00:03:46.640]   Yes, yes. I don't think about the pain, I just think about more.
[00:03:46.640 --> 00:03:47.640]   Yes. Right.
[00:03:47.640 --> 00:04:00.640]   Right. So really excellent point because we're mostly not aware of it. And it's also reflexive. So we, it's not something that consciously happens or that we're aware of unless we really begin to pay attention.
[00:04:00.640 --> 00:04:25.500]   And when we begin to pay attention, we really can become very aware of it in the moment. Again, it's like a falling away, like that, you know, you're on social media and, you know, you get a good tweet of something and then you can't stop yourself because there's this awareness, a latent awareness that as soon as I disengage from this behavior, I'm going to experience a kind of a pain, right?
[00:04:25.500 --> 00:04:41.820]   A falling away, a missing that feeling, a wanting more of it. And of course, one way to combat that is to do it more, right? And more and more and more. So I think, I think that is really what I want people to tune into and get an awareness around.
[00:04:41.820 --> 00:04:59.540]   Because once you tune into it, you can see it a lot. And then when you begin to see it, you have, and if you, you know, keep the model of the balance in mind, I think it gives people kind of a way to imagine what they're experiencing on a neurobiological level and understand it.
[00:04:59.640 --> 00:05:22.000]   And in that understanding, get some mastery over it, which is really what this is all about. Because ultimately, we do need to disengage, right? We can't live in that space all the time, right? We have other things we need to do. And there are also serious consequences that come with trying to repeat and continue that experience or that feeling.
[00:05:22.000 --> 00:05:42.000]   Yeah. So if I understand this correctly, when we find something, or when something finds us, that we enjoy, that feels pleasureful, social media, food, sex, gambling, whatever happens to be, and we will explore the full range of these, there's some dopamine release when we engage in that behavior.
[00:05:42.000 --> 00:06:10.000]   And then what you're telling me is that very quickly. And beneath my conscious awareness, there's a tilting back of the scale, where pleasure is reduced by way of increasing pain, and I've heard you say before that the pain mechanism has some competitive advantages over the pleasure mechanism, such that it doesn't just bring the scale back to level,
[00:06:10.000 --> 00:06:16.300]   it actually brings pain higher than pleasure. Could you tell us a little bit more about that?
[00:06:16.300 --> 00:06:30.580]   Yeah, yeah. So what happens, again, so the hallmark of any addictive substance or behavior is that it releases a lot of dopamine in our brain's reward pathway, right? Like broccoli just doesn't release a lot of dopamine, just doesn't, right?
[00:06:30.580 --> 00:06:39.980]   I'm trying to imagine, I was about to say, and I stopped myself because, no, broccoli's good, it can be really good, but broccoli is not.
[00:06:39.980 --> 00:06:46.280]   - Yeah, broccoli is never amazing. - Right. Broccoli's never amazing, I mean, honestly, we can probably find somebody on the planet for whom broccoli is amazing.
[00:06:46.280 --> 00:06:50.280]   - Yeah. - And of course, if I'm starving, broccoli is amazing, right?
[00:06:50.280 --> 00:06:54.280]   - Yeah, Rich Roll, Rich Roll is big on plants, and he has a good relationship to plants.
[00:06:54.280 --> 00:06:57.280]   - Right. - Rich, tell us how to make broccoli amazing.
[00:06:57.280 --> 00:07:01.580]   If anyone could do it, he'd be rich. - Yeah, yeah.
[00:07:01.580 --> 00:07:15.580]   But what happens right after I do something that is really pleasurable and releases a lot of dopamine is, again, my brain is going to immediately compensate by down-regulating my own dopamine receptors, my own dopamine transmission, to compensate for that, okay?
[00:07:15.580 --> 00:07:21.380]   And that's that come down, or the hangover, or that after effect, that moment of wanting to do it more.
[00:07:21.380 --> 00:07:28.880]   Now, if I just wait for that feeling to pass, then my dopamine will re-regulate itself, and I'll go back to whatever my chronic baseline is.
[00:07:28.880 --> 00:07:38.580]   But if I don't wait, and here's really the key, if I keep indulging again and again and again, ultimately, I have so much on the pain side, right?
[00:07:38.580 --> 00:07:49.380]   That I've essentially reset my brain to what we call like an anhedonic or lacking in joy type of state, which is a dopamine deficit state.
[00:07:49.380 --> 00:08:06.880]   So that's really the way in which pain can become the main driver is because I've indulged so much in these high reward behaviors or substances that my brain has had to compensate by way down-regulating my own dopamine such that even when I'm not doing that drug,
[00:08:06.880 --> 00:08:17.680]   I'm in a dopamine deficit state, which is akin to a clinical depression, I have anxiety, irritability, insomnia, dysphoria, and a lot of mental preoccupation with using again or getting the drug.
[00:08:17.680 --> 00:08:29.680]   And so that's the piece there. There's the single use, which easily passes, but it's the chronic use that can then reset really our dopamine thresholds.
[00:08:29.680 --> 00:08:37.480]   And then nothing is enjoyable, right? Then everything sort of pales in comparison to this one drug that I want to keep doing.
[00:08:37.480 --> 00:08:40.480]   And that one drug could be a person, right?
[00:08:40.480 --> 00:08:40.480]   Yes.
[00:08:40.480 --> 00:08:53.480]   I mean, I know people in my life that are still talking about this one relationship, this one person that was just so great, despite all the challenges of that thing, that it's almost like they're addicted to the narrative.
[00:08:53.480 --> 00:09:04.280]   They were, maybe you're still are addicted to the person. So it could be to any number of things, video games, sex, gambling, a person, a narrative.
[00:09:04.280 --> 00:09:17.280]   To me, and because of the way you described this mechanism, this pleasure pain balance, that all speaks to the kind of generalize ability of our brain circuitry.
[00:09:17.280 --> 00:09:29.080]   And this is something that fascinates me and I know it fascinates you as well, which is that nature did not evolve 20 different mechanisms for 20 different types of addiction.
[00:09:29.080 --> 00:09:34.080]   Just like anxiety is a couple of core sets of hormones and neurotransmitters and pathways.
[00:09:34.080 --> 00:09:43.880]   And one person is triggered by social interactions. Another person is triggered by spiders, but the underlying response is identical.
[00:09:43.880 --> 00:09:49.880]   It sounds like with addiction as well, there, there may be some nuance, but that they're sort of a core set of processes.
[00:09:49.880 --> 00:09:57.880]   So it doesn't really matter if it's gambling or video games or sex or a narrative about a previous lover or partner or whatever.
[00:09:57.880 --> 00:10:02.680]   It's the same addictive process underneath that, is that correct?
[00:10:02.680 --> 00:10:07.280]   Yes, exactly. And that's where this whole idea of cross addiction comes in.
[00:10:07.280 --> 00:10:14.480]   So once you've been addicted to a substance, severely addicted, that makes you more vulnerable to addiction to any substance.
[00:10:14.480 --> 00:10:18.880]   And when you say substance, does the same, is what you just said also true for behaviors?
[00:10:18.880 --> 00:10:23.680]   Yes. So when I use the word drug, I'm talking about substances and behaviors really.
[00:10:23.680 --> 00:10:30.480]   And I'm talking about behaviors like gambling, sex, you know, gaming, porn. Absolutely.
[00:10:30.480 --> 00:10:38.280]   And I'm talking about behaviors like gambling, sex, you know, and I'm talking about drugs.

