
[00:00:00.000 --> 00:00:06.120]   Welcome, everyone.
[00:06:03.700 --> 00:06:07.880]   and that is where so-called adversarial evaluations come in.
[00:06:07.880 --> 00:06:09.900]   They needn't be full-on adversarial,
[00:06:09.900 --> 00:06:12.520]   but the idea is to expose some of
[00:06:12.520 --> 00:06:15.900]   the fragility of that standard evaluation mode.
[00:06:15.900 --> 00:06:18.460]   At step 1 in adversarial evaluations,
[00:06:18.460 --> 00:06:22.160]   you create a dataset by whatever means you like, as usual.
[00:06:22.160 --> 00:06:24.480]   You develop and assess the system using
[00:06:24.480 --> 00:06:28.560]   that dataset according to whatever protocols you choose.
[00:06:28.560 --> 00:06:30.200]   Now the new part,
[00:06:30.200 --> 00:06:33.260]   you develop a new test dataset of examples that you
[00:06:33.260 --> 00:06:35.560]   suspect or know will be
[00:06:35.560 --> 00:06:39.640]   challenging given your system and the original dataset.
[00:06:39.640 --> 00:06:42.280]   Only after all system development is complete,
[00:06:42.280 --> 00:06:43.760]   you evaluate the system based on
[00:06:43.760 --> 00:06:46.960]   accuracy on that new test set.
[00:06:46.960 --> 00:06:50.560]   Then you report the results as providing some estimate
[00:06:50.560 --> 00:06:54.000]   of the system's capacity to generalize as before.
[00:06:54.000 --> 00:06:56.440]   This is the new piece, this contrast.
[00:06:56.440 --> 00:06:58.920]   We have our dataset that we use to create the system,
[00:06:58.920 --> 00:07:00.440]   especially for training.
[00:07:00.440 --> 00:07:01.800]   But then in step 3,
[00:07:01.800 --> 00:07:03.680]   we have a new test dataset,
[00:07:03.680 --> 00:07:06.440]   and that plays a crucial role of now offering
[00:07:06.440 --> 00:07:10.040]   us an estimate of the system's capacity to generalize.
[00:07:10.040 --> 00:07:12.520]   To the extent that we have created some hard and
[00:07:12.520 --> 00:07:15.160]   diverse new test sets in this way,
[00:07:15.160 --> 00:07:18.360]   we can probably gain increasing confidence that we are
[00:07:18.360 --> 00:07:22.960]   simulating what life will be like for the model if it is deployed.
[00:07:22.960 --> 00:07:26.520]   That's a call for action to do this really effectively,
[00:07:26.520 --> 00:07:29.720]   to really feel like you can get behind step 5 here.
[00:07:29.720 --> 00:07:34.000]   You should construct these adversarial or challenge datasets in a way that
[00:07:34.000 --> 00:07:37.300]   covers as much of the spectrum of user behaviors,
[00:07:37.300 --> 00:07:39.120]   user goals, user inputs,
[00:07:39.120 --> 00:07:40.720]   as you will expect to see.
[00:07:40.720 --> 00:07:43.920]   That implies having diverse teams of people,
[00:07:43.920 --> 00:07:45.560]   battle testing these models,
[00:07:45.560 --> 00:07:47.040]   and creating hard examples,
[00:07:47.040 --> 00:07:48.880]   and studying the resulting behavior.
[00:07:48.880 --> 00:07:51.660]   In that way, with a concerted effort there,
[00:07:51.660 --> 00:07:53.640]   you can inch closer to having
[00:07:53.640 --> 00:07:58.280]   a real guarantee for how the model will behave when it is deployed.
[00:07:58.280 --> 00:08:01.420]   It's a hallmark of behavioral testing that you will never have
[00:08:01.420 --> 00:08:03.760]   a full guarantee but you could approach it,
[00:08:03.760 --> 00:08:05.880]   and then as the next unit will show,
[00:08:05.880 --> 00:08:10.560]   you might supplement that with some deeper understanding of how the model works.
[00:08:10.560 --> 00:08:14.960]   But in any case, I feel like this is the mode that we should be in when we think
[00:08:14.960 --> 00:08:19.880]   about AI systems in this modern era of ever-widening impact.
[00:08:19.880 --> 00:08:22.720]   The history of this is interesting.
[00:08:22.720 --> 00:08:25.040]   Adversarial testing feels like a new idea,
[00:08:25.040 --> 00:08:29.600]   but in fact, it stretches all the way back to at least the Turing test.
[00:08:29.600 --> 00:08:32.240]   You might recall that the fundamental insight behind
[00:08:32.240 --> 00:08:35.880]   the Turing test is that we'll get a reliable evaluation when we
[00:08:35.880 --> 00:08:39.020]   pit people against computers where the goal of
[00:08:39.020 --> 00:08:43.360]   the computer is to try to fool the person into thinking it is a person itself,
[00:08:43.360 --> 00:08:46.480]   and the human is trying their level best to figure out whether
[00:08:46.480 --> 00:08:50.460]   that entity is a human or some AI.
[00:08:50.460 --> 00:08:53.160]   That is an inherently adversarial dynamic
[00:08:53.160 --> 00:08:55.640]   that is centered around linguistic interaction.
[00:08:55.640 --> 00:09:01.800]   I think we have to call that the first or certainly the most influential adversarial test.
[00:09:01.800 --> 00:09:07.360]   Sometime later, Terry Winograd proposed developing datasets that involved
[00:09:07.360 --> 00:09:10.760]   very intricate problems that he hoped would get past
[00:09:10.760 --> 00:09:13.440]   simple statistical tricks and really probe to see
[00:09:13.440 --> 00:09:17.680]   whether models truly understood what the world was like.
[00:09:17.680 --> 00:09:23.460]   Hector Levesque in this lovely paper on our best behavior revived this idea from
[00:09:23.460 --> 00:09:27.420]   Winograd of adversarially testing models to see whether they
[00:09:27.420 --> 00:09:31.400]   truly understand what language and what the world is like.
[00:09:31.400 --> 00:09:34.860]   The Winograd sentences are really interesting to reflect on now.
[00:09:34.860 --> 00:09:38.900]   They are simple problems that can be quite revealing about
[00:09:38.900 --> 00:09:42.680]   physical reality and social reality and all the rest.
[00:09:42.680 --> 00:09:44.920]   Here's a typical Winograd case.
[00:09:44.920 --> 00:09:49.100]   The trophy doesn't fit into this brown suitcase because it's too small.
[00:09:49.100 --> 00:09:50.400]   What is too small?
[00:09:50.400 --> 00:09:54.380]   The human intuition is to say the suitcase and that's probably because you can do
[00:09:54.380 --> 00:09:57.760]   some mental simulation of these two objects
[00:09:57.760 --> 00:10:00.320]   and then arrive at an answer to the question.
[00:10:00.320 --> 00:10:03.060]   The minimal pair there is the trophy doesn't fit into
[00:10:03.060 --> 00:10:05.200]   the brown suitcase because it's too large.
[00:10:05.200 --> 00:10:06.460]   What is too large?
[00:10:06.460 --> 00:10:09.220]   Here the human answer is the trophy again because of
[00:10:09.220 --> 00:10:12.340]   that mental simulation that you can do.
[00:10:12.340 --> 00:10:15.700]   The idea is that this is a behavioral test that will help us
[00:10:15.700 --> 00:10:18.260]   understand whether models also have
[00:10:18.260 --> 00:10:21.820]   that deep understanding of our physical reality.
[00:10:21.820 --> 00:10:27.140]   Here's a case that keys more into social norms and roles that people play.
[00:10:27.140 --> 00:10:29.740]   The council refused the demonstrators a permit
[00:10:29.740 --> 00:10:31.260]   because they feared violence.
[00:10:31.260 --> 00:10:32.480]   Who feared violence?
[00:10:32.480 --> 00:10:34.980]   The human answer is the council based on
[00:10:34.980 --> 00:10:38.980]   stereotypical roles for demonstrators and politicians.
[00:10:38.980 --> 00:10:41.900]   Versus the council refused the demonstrators
[00:10:41.900 --> 00:10:44.020]   a permit because they advocated violence.
[00:10:44.020 --> 00:10:45.100]   Who advocated violence?
[00:10:45.100 --> 00:10:48.580]   Again, we default to saying the demonstrators because
[00:10:48.580 --> 00:10:51.740]   of our default assumptions about the roles that people will play.
[00:10:51.740 --> 00:10:56.800]   The idea is for a model to get these responses correct,
[00:10:56.800 --> 00:11:00.140]   it too needs to deeply understand what's happening
[00:11:00.140 --> 00:11:03.420]   with these entities and with the social norms involved.
[00:11:03.420 --> 00:11:05.260]   That's the guiding hypothesis.
[00:11:05.260 --> 00:11:07.220]   Again, behavioral testing can never give us
[00:11:07.220 --> 00:11:09.580]   full guarantees that we've probed fully
[00:11:09.580 --> 00:11:12.300]   for the underlying capability that we cared about.
[00:11:12.300 --> 00:11:17.940]   But examples like this are inspiring in terms of getting us closer to that ideal.
[00:11:17.940 --> 00:11:20.700]   Hector Lavec took this further in a way that I
[00:11:20.700 --> 00:11:23.140]   think has proved really inspiring for the field.
[00:11:23.140 --> 00:11:24.340]   He says, for example,
[00:11:24.340 --> 00:11:26.660]   could a crocodile run a steeplechase?
[00:11:26.660 --> 00:11:28.200]   The intent here is clear.
[00:11:28.200 --> 00:11:30.260]   The question can be answered by thinking it through.
[00:11:30.260 --> 00:11:32.100]   A crocodile has short legs.
[00:11:32.100 --> 00:11:36.060]   The hedges in a steeplechase would be too tall for the crocodile to jump over.
[00:11:36.060 --> 00:11:39.020]   So no, a crocodile cannot run a steeplechase.
[00:11:39.020 --> 00:11:42.980]   Again, evoking this idea of doing a mental simulation about
[00:11:42.980 --> 00:11:48.620]   a very unfamiliar situation and arriving at a systematic answer to the question.
[00:11:48.620 --> 00:11:53.180]   What Lavec was really after was what he called foiling cheap tricks.
[00:11:53.180 --> 00:11:55.580]   Can we find questions where cheap tricks like
[00:11:55.580 --> 00:11:59.640]   this will not be sufficient to produce the desired behavior?
[00:11:59.640 --> 00:12:02.480]   This unfortunately has no easy answer.
[00:12:02.480 --> 00:12:05.440]   The best we can do perhaps is to come up with a suite of
[00:12:05.440 --> 00:12:08.560]   multiple choice questions carefully and then study
[00:12:08.560 --> 00:12:12.280]   the sorts of computer programs that might be able to answer them.
[00:12:12.280 --> 00:12:17.120]   Again, what I hear in this early paper back in 2013 is a call for
[00:12:17.120 --> 00:12:20.280]   constructing adversarial datasets that will reveal
[00:12:20.280 --> 00:12:24.960]   much more about the solutions that our models have found.
[00:12:24.960 --> 00:12:34.960]   [BLANK_AUDIO]

