
[00:00:00.000 --> 00:00:00.840]   [upbeat music]
[00:06:13.140 --> 00:06:16.280]   So it's perfectly fine to cook your cruciferous vegetables
[00:06:16.280 --> 00:06:17.420]   and dark leafy greens,
[00:06:17.420 --> 00:06:19.140]   but you don't want to overcook them.
[00:06:19.140 --> 00:06:21.700]   What's overcooking and what's under cooking?
[00:06:21.700 --> 00:06:24.680]   There's no strict cutoff in terms of temperature,
[00:06:24.680 --> 00:06:26.100]   but basically what the literature says
[00:06:26.100 --> 00:06:29.140]   is that if you heat vegetables to the point
[00:06:29.140 --> 00:06:32.740]   where the colored fluid is leaching out of them
[00:06:32.740 --> 00:06:36.160]   into a broth type, into water,
[00:06:36.160 --> 00:06:37.820]   whatever fluid surrounds them,
[00:06:37.820 --> 00:06:40.560]   well then you would be well off to ingest that fluid as well
[00:06:40.560 --> 00:06:43.320]   because it contained in the water
[00:06:43.320 --> 00:06:44.860]   or the fluid that's leaching out
[00:06:44.860 --> 00:06:46.320]   from the cruciferous vegetables
[00:06:46.320 --> 00:06:47.580]   or from the dark leafy greens
[00:06:47.580 --> 00:06:49.860]   are going to be a lot of those very adaptogenic molecules
[00:06:49.860 --> 00:06:51.620]   that you're interested in the first place.
[00:06:51.620 --> 00:06:53.140]   Okay, so I probably surprised some people
[00:06:53.140 --> 00:06:54.720]   by starting off my answer to the question
[00:06:54.720 --> 00:06:55.940]   of what are adaptogens?
[00:06:55.940 --> 00:06:58.000]   Are they worth thinking about and pursuing?
[00:06:58.000 --> 00:06:59.820]   And if so, how can I get them?
[00:06:59.820 --> 00:07:01.240]   By talking about food.
[00:07:01.240 --> 00:07:02.720]   But I think it is important to understand
[00:07:02.720 --> 00:07:04.480]   that you can get a lot of adaptogens from food.
[00:07:04.480 --> 00:07:06.260]   And indeed some of the best adaptogens
[00:07:06.260 --> 00:07:09.060]   do come from dark leafy greens and cruciferous vegetables.
[00:07:09.060 --> 00:07:11.200]   So I'd be remiss if I didn't mention that.
[00:07:11.200 --> 00:07:13.700]   The other two categories of adaptogens
[00:07:13.700 --> 00:07:16.100]   are going to be supplement-based adaptogens
[00:07:16.100 --> 00:07:17.900]   and then behavioral adaptogens.
[00:07:17.900 --> 00:07:20.300]   Again, here adaptogen defined as anything
[00:07:20.300 --> 00:07:24.200]   that can buffer stress in a substantial or meaningful way
[00:07:24.200 --> 00:07:27.220]   in order to support cellular health, organ health,
[00:07:27.220 --> 00:07:30.680]   and overall daily living and functioning,
[00:07:30.680 --> 00:07:33.140]   including sleep and performance and mental health.
[00:07:33.140 --> 00:07:35.380]   So the second category of adaptogen
[00:07:35.380 --> 00:07:36.500]   are going to be supplements.
[00:07:36.500 --> 00:07:38.540]   And here again, I just want to take a step back
[00:07:38.540 --> 00:07:39.760]   and make sure that we are clear
[00:07:39.760 --> 00:07:43.340]   about our operational definition about what a supplement is.
[00:07:43.340 --> 00:07:45.220]   We had an episode all about
[00:07:45.220 --> 00:07:48.680]   how to design a rational guide to supplementation,
[00:07:48.680 --> 00:07:50.500]   which included, for example,
[00:07:50.500 --> 00:07:51.980]   the idea that for some people,
[00:07:51.980 --> 00:07:55.020]   the optimal dosage of many supplements is going to be zero.
[00:07:55.020 --> 00:07:57.360]   And for other people, the dosage will be something else.
[00:07:57.360 --> 00:08:00.660]   But to really pinpoint the key message from that episode
[00:08:00.660 --> 00:08:02.540]   that I'd like to reiterate now,
[00:08:02.540 --> 00:08:05.040]   but a key message from that episode
[00:08:05.040 --> 00:08:06.740]   that I'd like to reiterate now
[00:08:06.740 --> 00:08:09.240]   is that many people think of supplements
[00:08:09.240 --> 00:08:12.020]   as just vitamin supplements.
[00:08:12.020 --> 00:08:14.700]   And for that reason, you'll often hear the argument,
[00:08:14.700 --> 00:08:17.020]   oh, well, aren't supplements just expensive urine?
[00:08:17.020 --> 00:08:18.540]   Couldn't you get all of that from food?
[00:08:18.540 --> 00:08:21.600]   Aren't you just urinating out all the water soluble vitamins
[00:08:21.600 --> 00:08:23.320]   and maybe even storing excess amounts
[00:08:23.320 --> 00:08:25.540]   of the fat soluble vitamins in a way that's unhealthy
[00:08:25.540 --> 00:08:27.340]   or not cost-effective and so on.
[00:08:27.340 --> 00:08:29.680]   When we talk about supplements,
[00:08:29.680 --> 00:08:32.340]   yes, it can include vitamin supplements.
[00:08:32.340 --> 00:08:34.120]   However, there are many compounds
[00:08:34.120 --> 00:08:36.120]   that we would describe as supplements
[00:08:36.120 --> 00:08:37.780]   that are not vitamin supplements
[00:08:37.780 --> 00:08:39.620]   and that you could not obtain from food
[00:08:39.620 --> 00:08:42.380]   or that you could never obtain from food
[00:08:42.380 --> 00:08:43.700]   in sufficient enough qualities
[00:08:43.700 --> 00:08:46.700]   to have a robust positive biological effect
[00:08:46.700 --> 00:08:48.920]   without consuming an enormous number of calories
[00:08:48.920 --> 00:08:51.940]   or overriding your gut mechanically.
[00:08:51.940 --> 00:08:56.780]   For instance, if there were say a herb,
[00:08:56.780 --> 00:08:58.500]   and we'll talk about such herbs in a moment,
[00:08:58.500 --> 00:09:01.180]   that contained an effective adaptogen,
[00:09:01.180 --> 00:09:04.340]   but you would never want to eat the plant itself
[00:09:04.340 --> 00:09:06.720]   or include that herb in any kind of recipe,
[00:09:06.720 --> 00:09:09.380]   well, then chances are this herb,
[00:09:09.380 --> 00:09:12.820]   which we'll define in a moment, is not a vitamin supplement.
[00:09:12.820 --> 00:09:16.000]   It is probably not even best thought of as a supplement.
[00:09:16.000 --> 00:09:17.420]   It's best thought of as a compound
[00:09:17.420 --> 00:09:18.600]   that's sold over the counter,
[00:09:18.600 --> 00:09:20.320]   much like a prescription drug,
[00:09:20.320 --> 00:09:21.680]   although it's not prescription.
[00:09:21.680 --> 00:09:23.240]   It doesn't require a prescription to get it.
[00:09:23.240 --> 00:09:24.520]   So there are a lot of things like that
[00:09:24.520 --> 00:09:27.600]   that we include under the umbrella of this word supplements.
[00:09:27.600 --> 00:09:29.800]   And unfortunately, because of that,
[00:09:29.800 --> 00:09:31.620]   a lot of people think, oh, you don't need supplements.
[00:09:31.620 --> 00:09:33.960]   And of course you don't need supplements per se,
[00:09:33.960 --> 00:09:36.680]   but many people do derive tremendous benefit from them.
[00:09:36.680 --> 00:09:38.060]   In the context of adaptogens,
[00:09:38.060 --> 00:09:39.780]   there are two or three in particular
[00:09:39.780 --> 00:09:41.620]   that can be very beneficial
[00:09:41.620 --> 00:09:43.140]   for buffering the stress response,
[00:09:43.140 --> 00:09:44.740]   especially over short periods of time
[00:09:44.740 --> 00:09:46.600]   of about two to three weeks.
[00:09:46.600 --> 00:09:48.120]   So when would you use these?
[00:09:48.120 --> 00:09:48.960]   Well, for instance,
[00:09:48.960 --> 00:09:51.280]   if you are in a particularly stressful mode of life,
[00:09:51.280 --> 00:09:55.680]   either because of family or relational or school
[00:09:55.680 --> 00:09:58.280]   or work demands or new kid in the house
[00:09:58.280 --> 00:10:00.020]   or any number of different things,
[00:10:00.020 --> 00:10:02.820]   or you've been ill or you're recovering from injury,
[00:10:02.820 --> 00:10:05.120]   taking an adaptogen in the form of supplement
[00:10:05.120 --> 00:10:08.560]   can actually be very useful for buffering this hormone
[00:10:08.560 --> 00:10:11.720]   and the general systems it's associated with called cortisol.
[00:10:11.720 --> 00:10:14.480]   It's very healthy to have high levels of cortisol
[00:10:14.480 --> 00:10:16.640]   early in the day, shortly after you wake up,
[00:10:16.640 --> 00:10:18.480]   and then that ought to taper off
[00:10:18.480 --> 00:10:19.860]   toward the afternoon and evening.
[00:10:19.860 --> 00:10:22.400]   However, if cortisol is chronically elevated
[00:10:22.400 --> 00:10:23.220]   throughout the day,
[00:10:23.220 --> 00:10:26.000]   or if that peak in cortisol is arriving too late in the day,
[00:10:26.000 --> 00:10:27.280]   that is known to be associated
[00:10:27.280 --> 00:10:29.040]   with mental health and physical health issues
[00:10:29.040 --> 00:10:31.400]   has been shown by labs at Stanford and elsewhere.
[00:10:31.400 --> 00:10:34.440]   It's been shown in animal models and in humans.
[00:10:34.440 --> 00:10:36.840]   Talked many times before, and I'll just remind you again,
[00:10:36.840 --> 00:10:41.800]   that one of the best ways to restrict that cortisol peak
[00:10:41.800 --> 00:10:43.040]   to the early part of the day
[00:10:43.040 --> 00:10:46.340]   is to get morning sunlight in your eyes as soon as you can,
[00:10:46.340 --> 00:10:47.640]   once the sun is up, get outside,
[00:10:47.640 --> 00:10:49.900]   facing the direction of the sun, even on overcast days,
[00:10:49.900 --> 00:10:52.720]   don't wear sunglasses, look at it for five to 30 minutes,
[00:10:52.720 --> 00:10:55.000]   definitely blink so you don't damage your eyes,
[00:10:55.000 --> 00:10:56.760]   so on and so forth.
[00:10:56.760 --> 00:10:58.380]   Why five minutes or 30 minutes?
[00:10:58.380 --> 00:11:00.440]   Well, five minutes on a clear day should be sufficient,
[00:11:00.440 --> 00:11:01.460]   longer would be fine.
[00:11:01.460 --> 00:11:03.480]   Again, blink so that you protect your eyes,
[00:11:03.480 --> 00:11:06.200]   blink as needed, facing the general direction of the sun.
[00:11:06.200 --> 00:11:08.920]   On days when you have a lot of overcast
[00:11:08.920 --> 00:11:11.520]   or it's really dark, dense cloud cover,
[00:11:11.520 --> 00:11:12.920]   well, then you'd want to be outside longer,
[00:11:12.920 --> 00:11:14.640]   and if you don't have access to sunlight
[00:11:14.640 --> 00:11:16.320]   for whatever reason, then you want to do the same thing
[00:11:16.320 --> 00:11:18.680]   with bright artificial lights indoors,
[00:11:18.680 --> 00:11:20.560]   either so-called sad lamp or otherwise.
[00:11:20.560 --> 00:11:22.920]   That's a great way to restrict that cortisol peak
[00:11:22.920 --> 00:11:25.600]   to early in the day, but even if you're doing that,
[00:11:25.600 --> 00:11:27.760]   if you have a stressful life for whatever reason,
[00:11:27.760 --> 00:11:29.200]   even if you're getting that morning sunlight,
[00:11:29.200 --> 00:11:31.200]   which I hope you are, you're getting your exercise,
[00:11:31.200 --> 00:11:33.980]   you're trying to sleep better and more,
[00:11:33.980 --> 00:11:35.980]   as we all should most of the time,
[00:11:35.980 --> 00:11:38.120]   well, then you may be somebody
[00:11:38.120 --> 00:11:43.120]   who wants to take a adaptogen in the form of a supplement,
[00:11:43.120 --> 00:11:45.420]   and the three supplements that can be very effective
[00:11:45.420 --> 00:11:49.120]   in buffering cortisol are ashwagandha,
[00:11:49.120 --> 00:11:52.720]   which I'll talk about first, lion's mane, and chaga.
[00:11:52.720 --> 00:11:56.520]   Lion's mane and chaga are in the fungi group,
[00:11:56.520 --> 00:11:57.640]   so they count as mushrooms.
[00:11:57.640 --> 00:11:58.940]   They are not psychedelic mushrooms.
[00:11:58.940 --> 00:12:00.560]   Let's talk about ashwagandha first.
[00:12:00.560 --> 00:12:02.080]   Ashwagandha is at the top of the list
[00:12:02.080 --> 00:12:05.720]   because it is indeed a very potent adaptogen.
[00:12:05.720 --> 00:12:06.600]   How can I say that?
[00:12:06.600 --> 00:12:08.600]   Well, there are a number of studies now,
[00:12:08.600 --> 00:12:12.040]   including several excellent ones in humans,
[00:12:12.040 --> 00:12:16.500]   that report that taking two doses of 300 milligrams
[00:12:16.500 --> 00:12:19.360]   of ashwagandha per day
[00:12:19.360 --> 00:12:22.720]   can very dramatically buffer cortisol.
[00:12:22.720 --> 00:12:24.320]   So this is something that you would have
[00:12:24.320 --> 00:12:28.300]   a near impossible time accessing from food.
[00:12:28.300 --> 00:12:30.000]   I can't imagine that unless you're cooking
[00:12:30.000 --> 00:12:32.240]   with the very sources of ashwagandha
[00:12:32.240 --> 00:12:34.960]   and extracting exact amounts that you'd be able to get this
[00:12:34.960 --> 00:12:37.600]   in any other form except a supplement form.
[00:12:37.600 --> 00:12:39.760]   So here, I'm going to just briefly reference a paper
[00:12:39.760 --> 00:12:42.180]   and we can provide a reference link to this.
[00:12:42.180 --> 00:12:45.600]   That is, this is a paper from 2012
[00:12:45.600 --> 00:12:47.740]   that's had a lot of excellent follow-up papers
[00:12:47.740 --> 00:12:48.580]   that support it.
[00:12:48.580 --> 00:12:49.420]   The title of the paper is
[00:12:49.420 --> 00:12:51.680]   "A Perspective Randomized Double-Blind Placebo-Controlled
[00:12:51.680 --> 00:12:54.360]   Study of Safety and Efficacy of High Concentration
[00:12:54.360 --> 00:12:56.480]   of Full-Spectrum Extract of Ashwagandha Root
[00:12:56.480 --> 00:12:59.760]   in Reducing Stress and Anxiety in Adults."
[00:12:59.760 --> 00:13:02.400]   And it's a really nice study, not a huge subject pool,
[00:13:02.400 --> 00:13:05.020]   but both men and women, and it's carried out for long enough
[00:13:05.020 --> 00:13:06.960]   that they got to see some really interesting results.
[00:13:06.960 --> 00:13:10.620]   And I think that the most interesting result
[00:13:10.620 --> 00:13:15.560]   is that taking 300 milligrams of ashwagandha twice a day
[00:13:15.560 --> 00:13:19.300]   led to enormous, I mean, just enormous changes
[00:13:19.300 --> 00:13:21.140]   in serum cortisol.
[00:13:21.140 --> 00:13:23.400]   The statistical significance that they observed
[00:13:23.400 --> 00:13:25.900]   in the study was really fantastic,
[00:13:25.900 --> 00:13:29.920]   fantastically high statistical significance.
[00:13:29.920 --> 00:13:33.980]   They saw the effects of ashwagandha on day 15,
[00:13:33.980 --> 00:13:37.380]   having initiated the ashwagandha consumption
[00:13:37.380 --> 00:13:40.480]   on day one, of course, day 30 and day 45.
[00:13:40.480 --> 00:13:44.300]   And again, this was dramatic reductions in stress
[00:13:44.300 --> 00:13:45.500]   as perceived by people.
[00:13:45.500 --> 00:13:47.780]   So subjective stress and cortisol levels.
[00:13:47.780 --> 00:13:50.400]   So ashwagandha is very potent at reducing cortisol.
[00:13:50.400 --> 00:13:52.520]   How would you recapitulate this
[00:13:52.520 --> 00:13:54.860]   if you wanted to use ashwagandha to buffer stress?
[00:13:54.860 --> 00:13:56.320]   Well, a couple of key points.
[00:13:56.320 --> 00:13:59.060]   Mentioned earlier that you want your cortisol peak
[00:13:59.060 --> 00:14:00.840]   to come earlier in the day.
[00:14:00.840 --> 00:14:03.980]   Therefore, you would not want to buffer cortisol
[00:14:03.980 --> 00:14:04.820]   early in the day.
[00:14:04.820 --> 00:14:07.700]   In fact, cortisol peaking early in the day
[00:14:07.700 --> 00:14:12.700]   provides an anti-inflammatory, immune-supporting focus
[00:14:13.340 --> 00:14:16.220]   and mood-supporting effect all day long.
[00:14:16.220 --> 00:14:18.820]   So I would recommend that people take their first dose
[00:14:18.820 --> 00:14:23.020]   of ashwagandha of anywhere from 250 to 300 milligrams
[00:14:23.020 --> 00:14:24.500]   sometime in the early afternoon.
[00:14:24.500 --> 00:14:26.560]   And again, in the evening,
[00:14:26.560 --> 00:14:29.460]   as opposed to taking a morning dose and an afternoon dose.
[00:14:29.460 --> 00:14:32.180]   Also, if you're somebody who's exercising
[00:14:32.180 --> 00:14:35.380]   for sake of trying to induce adaptations like hypertrophy,
[00:14:35.380 --> 00:14:37.020]   the growth of muscles or strength,
[00:14:37.020 --> 00:14:39.600]   or improve your endurance in any way, muscular endurance
[00:14:39.600 --> 00:14:42.660]   or more traditional cardiovascular endurance,
[00:14:42.660 --> 00:14:45.900]   then I recommend that you not take your ashwagandha
[00:14:45.900 --> 00:14:49.300]   prior to exercise because part of the adaptation response
[00:14:49.300 --> 00:14:52.980]   is triggered by increases in cortisol during exercise.
[00:14:52.980 --> 00:14:57.320]   Sort of in the same way that some of the best adaptations
[00:14:57.320 --> 00:14:59.180]   to exercise are reductions in blood pressure
[00:14:59.180 --> 00:15:00.380]   and resting heart rate.
[00:15:00.380 --> 00:15:03.860]   And those are stimulated by increases in blood pressure
[00:15:03.860 --> 00:15:05.980]   and increases in heart rate during exercise.
[00:15:05.980 --> 00:15:07.800]   That's just how these biological systems work.
[00:15:07.800 --> 00:15:09.720]   So the takeaway is pretty simple.
[00:15:09.720 --> 00:15:12.780]   If you're interested in using ashwagandha as an adaptogen,
[00:15:12.780 --> 00:15:14.760]   I would restrict it to later in the day if you can
[00:15:14.760 --> 00:15:16.280]   and not before exercise.
[00:15:16.280 --> 00:15:20.060]   Divide it into two doses of 250 to 300 milligrams.
[00:15:20.060 --> 00:15:23.200]   That's what this paper and other papers like it
[00:15:23.200 --> 00:15:24.040]   seem to indicate.
[00:15:24.040 --> 00:15:27.380]   And then a very important final point about ashwagandha,
[00:15:27.380 --> 00:15:29.280]   which is that if you're going to take ashwagandha,
[00:15:29.280 --> 00:15:32.920]   I recommend not taking it for longer than a month and a half
[00:15:32.920 --> 00:15:33.880]   as they did in this study.
[00:15:33.880 --> 00:15:36.760]   In fact, I would suggest that you only take ashwagandha
[00:15:36.760 --> 00:15:41.040]   around periods of kind of moderate to extreme stress.
[00:15:41.040 --> 00:15:43.080]   What's moderate, what's extreme is going to depend
[00:15:43.080 --> 00:15:44.360]   on what you're going through.
[00:15:44.360 --> 00:15:45.800]   Only you know how much stress
[00:15:45.800 --> 00:15:47.280]   and life events you can tolerate.
[00:15:47.280 --> 00:15:50.400]   So if you've had trouble sleeping and that's unusual for you
