
[00:00:00.000 --> 00:00:00.500]   Hi.
[00:10:01.260 --> 00:10:02.580]   Deploy.
[00:10:02.580 --> 00:10:04.500]   And this will take a moment.
[00:10:04.500 --> 00:10:07.140]   I'm going to tell it where I want to deploy.
[00:10:07.500 --> 00:10:10.780]   Deploy 11.
[00:10:10.780 --> 00:10:13.180]   OK, and this is actually quite useful.
[00:10:13.180 --> 00:10:15.740]   So I've got this error that's popped up
[00:10:15.740 --> 00:10:20.060]   because I am currently in another project which
[00:10:20.060 --> 00:10:20.980]   no longer exists.
[00:10:20.980 --> 00:10:22.580]   So I'm getting this error.
[00:10:22.580 --> 00:10:26.940]   So I need to make sure that I'm trying to deploy
[00:10:26.940 --> 00:10:27.860]   to the right project.
[00:10:27.860 --> 00:10:32.260]   So I just write gcloud app deploy.
[00:10:32.260 --> 00:10:35.300]   I can specify the app.yaml.
[00:10:35.300 --> 00:10:38.180]   And I just write project equals.
[00:10:38.180 --> 00:10:41.260]   And then in here, I need the project name from before.
[00:10:41.260 --> 00:10:45.460]   So I'm just going to go and copy that again.
[00:10:45.460 --> 00:10:46.380]   So it comes here.
[00:10:46.380 --> 00:10:53.940]   So it's this abstract ring.
[00:11:02.340 --> 00:11:06.420]   And I just write in here abstract ring.
[00:11:06.420 --> 00:11:08.780]   OK, now run that.
[00:11:08.780 --> 00:11:12.380]   That should come up with this here.
[00:11:12.380 --> 00:11:15.580]   So we have come down here.
[00:11:15.580 --> 00:11:18.940]   We have the descriptor and then the target project.
[00:11:18.940 --> 00:11:19.940]   So it's correct.
[00:11:19.940 --> 00:11:23.100]   We're now going to the correct place.
[00:11:23.100 --> 00:11:28.220]   And this URL here is where we will be deploying the API to.
[00:11:28.220 --> 00:11:31.940]   So I'm going to click Continue, Yes.
[00:11:31.940 --> 00:11:37.460]   And this can take a little bit of time for it to run.
[00:11:37.460 --> 00:11:40.500]   So just wait a moment.
[00:11:40.500 --> 00:11:43.780]   One thing that's actually pretty useful
[00:11:43.780 --> 00:11:50.380]   is when you first deploy, gcloud will create this gcloud ignore
[00:11:50.380 --> 00:11:51.140]   file.
[00:11:51.140 --> 00:11:53.540]   It's like a git ignore.
[00:11:53.540 --> 00:11:58.340]   And in here, it will just ignore the typical things
[00:11:58.340 --> 00:12:00.460]   that you do actually want to ignore.
[00:12:00.460 --> 00:12:03.580]   So you have pycache here, which has been created up here.
[00:12:03.580 --> 00:12:08.380]   So we don't need to exclude that from the upload by default,
[00:12:08.380 --> 00:12:10.900]   which is useful, I think.
[00:12:10.900 --> 00:12:13.980]   So see how that is going.
[00:12:13.980 --> 00:12:16.860]   Still uploading.
[00:12:16.860 --> 00:12:21.260]   OK, so good to go.
[00:12:21.260 --> 00:12:27.620]   I'm going to copy this, open it in the browser.
[00:12:27.620 --> 00:12:31.020]   And we should see-- so what we saw before with this,
[00:12:31.020 --> 00:12:32.660]   we should end up seeing the same.
[00:12:32.660 --> 00:12:35.860]   So we'll go first to that address.
[00:12:35.860 --> 00:12:43.140]   We get that not found that we saw before, so it's expected.
[00:12:43.140 --> 00:12:49.480]   And if we just go to Users, there we go.
[00:12:49.480 --> 00:12:55.780]   So we see that our API is now deployed to Google Cloud.
[00:12:55.780 --> 00:12:57.540]   We can also see that over here.
[00:12:57.540 --> 00:13:06.740]   So if I refresh, we should see the requests pop up over here.
[00:13:06.740 --> 00:13:10.540]   Or they will do, eventually.
[00:13:10.540 --> 00:13:13.540]   So this will give you a summary of how many requests
[00:13:13.540 --> 00:13:15.380]   are made to your API.
[00:13:15.380 --> 00:13:17.820]   That's it for this video.
[00:13:17.820 --> 00:13:21.460]   I hope it's been useful.
[00:13:21.460 --> 00:13:23.980]   And I will see you in the next one.
[00:13:23.980 --> 00:13:25.540]   Bye.

