
[00:00:00.000 --> 00:00:16.960]   A lot of effort has gone into thinking about the engineering of inference and not so much
[00:05:32.960 --> 00:05:55.280]   So for example Google's worked on integrating language models with robots like this example from the say can project or paper where it's like what I want to when I need something is to just ask for it and not to like pull out an app and then go through three drop down menus and be like I want a water bottle.
[00:05:55.280 --> 00:05:58.640]   I just want to say I want a water bottle and then there's a water bottle.
[00:05:58.640 --> 00:06:04.560]   And that's what a language interface to something like a robotics platform can provide.
[00:06:04.560 --> 00:06:13.520]   Still not there yet as the 4x speed in the top left might suggest but getting there.
[00:06:13.520 --> 00:06:18.240]   Okay so that's like the highest level pattern I think.
[00:06:18.240 --> 00:06:21.760]   So let's talk about a couple of lower level patterns.
[00:06:21.760 --> 00:06:25.440]   RAG chatbots retrieval augmented generation chatbots.
[00:06:25.440 --> 00:06:28.160]   I've emerged kind of like the to-do list app.
[00:06:28.160 --> 00:06:31.600]   The sort of like starter project of language user interfaces.
[00:06:31.600 --> 00:06:39.360]   This pattern is probably here to stay in that it's just about information retrieval for language models.
[00:06:39.360 --> 00:06:44.400]   And language models need information retrieval really badly because they like lack context.
[00:06:44.400 --> 00:06:47.760]   They've slurped up everything on the internet but they don't know anything about you.
[00:06:48.480 --> 00:06:54.160]   They are sort of trying to simulate a generically helpful individual who is like generically knowledgeable
[00:06:54.160 --> 00:06:54.880]   about the world.
[00:06:54.880 --> 00:06:59.600]   And that's like not particularly helpful until they have context.
[00:06:59.600 --> 00:07:04.240]   So the solution that's emerged is to collect that context for them like store it.
[00:07:04.240 --> 00:07:06.640]   Then index it.
[00:07:06.640 --> 00:07:11.680]   And by default people reached for the most similar thing to what the language model was doing.
[00:07:11.680 --> 00:07:14.400]   We just like turn it into vectors and use that.
[00:07:14.400 --> 00:07:16.080]   Use like a fast index over vectors.
[00:07:16.080 --> 00:07:23.840]   And like that once you've retrieved a particular piece of information you just stuff it into the prompt.
[00:07:23.840 --> 00:07:25.840]   So I am not innocent.
[00:07:25.840 --> 00:07:29.680]   I have made my own RAG chatbot and inflicted it on the world.
[00:07:30.400 --> 00:07:33.360]   This was based on the full stack deep learning content.
[00:07:33.360 --> 00:07:39.760]   And in our discord people can ask questions and get answers that are not just like generic Google
[00:07:39.760 --> 00:07:44.080]   result search answers about language models but things drawn from past lectures.
[00:07:44.080 --> 00:07:45.760]   Things drawn from papers that I like.
[00:07:45.760 --> 00:07:49.520]   Things drawn from our like website.
[00:07:49.520 --> 00:07:53.600]   And so can get our you know our opinions on these things.
[00:07:53.600 --> 00:07:58.880]   So this like this has led to a lot of excitement about vector storage.
[00:07:58.880 --> 00:08:06.720]   Because it's like this this step here where you have a fast retrieval of vectors by similarity.
[00:08:06.720 --> 00:08:09.280]   Is the like new sexy piece.
[00:08:09.280 --> 00:08:13.120]   But that was like really only the thing that people reached for.
[00:08:13.120 --> 00:08:15.600]   Because OpenAI also offers embeddings.
[00:08:15.600 --> 00:08:17.520]   So it's like you've already imported the library.
[00:08:17.520 --> 00:08:18.720]   So it's only a call away.
[00:08:18.720 --> 00:08:23.680]   And then also like transformers are kind of like these like weird vector retrieval things.
[00:08:23.680 --> 00:08:25.600]   Like in their inside.
[00:08:25.600 --> 00:08:28.640]   So if you are the type of person who's been into language models for a while.
[00:08:28.640 --> 00:08:30.800]   And you're like how would I retrieve information.
[00:08:30.800 --> 00:08:32.400]   Probably with a dot product.
[00:08:32.400 --> 00:08:33.680]   And then like a soft max.
[00:08:33.680 --> 00:08:34.960]   And then I pick the largest number.
[00:08:34.960 --> 00:08:38.320]   So like yeah.
[00:08:38.320 --> 00:08:40.720]   So like the ease of setting this up.
[00:08:40.720 --> 00:08:42.480]   And the like naturalness of setting this up.
[00:08:42.480 --> 00:08:46.240]   Has led to like an explosion of these like chat with document examples.
[00:08:46.720 --> 00:08:54.240]   And the like the thing that has more staying power is that you need to make these things useful.
[00:08:54.240 --> 00:08:55.120]   You need context.
[00:08:55.120 --> 00:09:02.240]   And so you need like information retrieval and search for the like the context that might be helpful for
[00:09:02.240 --> 00:09:03.600]   the model before it gets going.
[00:09:03.600 --> 00:09:07.040]   And so there are many options to use here.
[00:09:07.840 --> 00:09:12.480]   Some of them are specialized vector databases like Pinecone or Chroma.
[00:09:12.480 --> 00:09:21.920]   Some of them are general like text search databases like that do keyword search like elastic search style
[00:09:21.920 --> 00:09:24.800]   things.
[00:09:24.800 --> 00:09:32.160]   And being able to like combine those two things together is very powerful.
[00:09:32.160 --> 00:09:36.240]   So for example Vespa has like offered that combination for a very long time.
[00:09:36.240 --> 00:09:44.320]   It is also in the end like what you're doing is creating a fast way to look up information from a
[00:09:44.320 --> 00:09:45.200]   very large store.
[00:09:45.200 --> 00:09:48.160]   So this is like bread and butter for databases in general.
[00:09:48.160 --> 00:09:55.760]   And so Redis and Postgres for example like not only do they provide the same like information retrieval
[00:09:55.760 --> 00:10:04.000]   that you could do like to enrich your enrich prompts without thinking about vectors.
[00:10:04.000 --> 00:10:05.920]   They also have built in vector search.
[00:10:05.920 --> 00:10:11.840]   Postgres only fairly recently Redis for like a year.
[00:10:11.840 --> 00:10:21.920]   It's not particularly fun to use Redis vector search, but it does it can run and has decent performance.
[00:10:22.880 --> 00:10:30.000]   Yeah. And in the end it's about like a holistic strategy that uses probably because the queries
[00:10:30.000 --> 00:10:33.600]   are fairly heterogeneous, the things that are coming in are like people just typing text.
[00:10:33.600 --> 00:10:40.240]   You're probably going to need some more MLE stuff that's more like keyword search or vector search
[00:10:40.240 --> 00:10:47.440]   and they're hybrid together. But extracting metadata with a language model so that you can then use that
[00:10:47.440 --> 00:10:54.800]   to do like direct filtering is like a very powerful pattern. So there's some great posts on this,
[00:10:54.800 --> 00:11:01.520]   the data query, a great series of posts about vector databases from coming from like somebody who's
[00:11:01.520 --> 00:11:06.400]   clearly really into databases and not so much the like ML side and I found that very useful.
[00:11:06.560 --> 00:11:18.320]   Yeah. So the final takeaway there is just that the problems end up being in the main the problems of
[00:11:18.320 --> 00:11:25.120]   information retrieval with only some light added things from like recommendation systems maybe
[00:11:25.680 --> 00:11:34.880]   um, um, of a more MLE type of search. Um, yeah. Any questions on, uh, on vector databases or, um,
[00:11:34.880 --> 00:11:38.080]   information retrieval for language model applications?
[00:11:38.080 --> 00:11:59.680]   Yeah, yeah. So you, you get information from the outside world. You like come up with a strategy
[00:11:59.680 --> 00:12:04.240]   for searching the information that you have saved that goes into the language models prompt. Yeah,
[00:12:04.240 --> 00:12:09.600]   yeah, yeah. That, that pattern very, very stable, very general. It's general enough that how that
[00:12:09.600 --> 00:12:15.360]   pattern gets actually implemented is very broad and so it includes a lot of things that are exit like
[00:12:15.360 --> 00:12:20.800]   bread and butter database stuff and not just the fancy new vector database stuff.
[00:12:20.800 --> 00:12:47.760]   Yeah, so the question was how does retrieval augmented generation differ from history within a chat?
[00:12:48.320 --> 00:12:55.040]   Um, so usually when, really, so the, the, when you call the GP4 API, you can make whatever,
[00:12:55.040 --> 00:12:59.520]   make up whatever you want as the past. You could insert little messages from the user. You could insert
[00:12:59.520 --> 00:13:03.920]   messages from the assistant and incept it into believing that it has said something which it has
[00:13:03.920 --> 00:13:07.840]   not said. Great way to jailbreak. Don't do it obviously because it violates the terms of service,
[00:13:07.840 --> 00:13:16.000]   but a great way to jailbreak it. Um, and so you, you aren't actually like actually beholden to that,
[00:13:16.000 --> 00:13:25.040]   like system, uh, system assistant human, uh, fiction that, that happens inside of like a, uh, a discrete
[00:13:25.040 --> 00:13:33.760]   chat. Um, when people do this, I think a lot of people put the retrieved information in the system
[00:13:33.760 --> 00:13:39.120]   prompt, especially if they're just going to retrieve once. Um, I've definitely, I've also seen people like,
[00:13:39.120 --> 00:13:44.240]   every time the user interacts, they do a retrieval step. And so the system message changes every time.
[00:13:44.240 --> 00:13:48.720]   That's an example of kind of like incepting or not actually following the implied temporal order.
[00:13:48.720 --> 00:13:56.880]   Um, so you, yeah, you definitely can do that. Um, the system message is nice because the model really
[00:13:56.880 --> 00:14:03.520]   pays close attention to it. Um, has been like fine tuned to pay close attention to it. Um, yeah, I think it'd be
[00:14:03.520 --> 00:14:08.480]   weird to pretend that that's something the person said and to like put it in an earlier user message
[00:14:08.480 --> 00:14:12.560]   put above the user's message in the conversation. I don't think I've ever seen that, but you could.
[00:14:12.560 --> 00:14:20.160]   Um, yeah. Um, but yeah, I would say like most of the time, yeah, this information retrieval step
[00:14:20.160 --> 00:14:26.240]   is something where the creator of the application, the programmer is inserting themselves and saying,
[00:14:26.240 --> 00:14:33.200]   I know some additional information that the language model should, should have. Um, and so like,
[00:14:33.200 --> 00:14:40.640]   yeah, it's very different from like a user just sort of like providing information about themselves or
[00:14:40.640 --> 00:14:49.840]   whatever. Yeah. Yeah. The question. Um, so we heard a couple times today when it comes to knowledge
[00:14:49.840 --> 00:15:01.200]   retrieval, um, drag is a great pattern and fine tuning is really more about the format, the style of the output. Um,
[00:15:02.560 --> 00:15:32.400]   yeah. Um, so the statement was that, um, the common wisdom is that fine tuning is for style and retrieval is for
[00:15:32.400 --> 00:15:38.240]   information. And I think that that's, that is a solid common piece of common wisdom because most of the
[00:15:38.240 --> 00:15:42.480]   fine tuning that people, if you're fine tuning, open AI's model, you're going through their fine tuning API
[00:15:42.480 --> 00:15:47.600]   and you have a limit on the number of rows you can send. Yeah. 10,000. I was going to say, yeah.
[00:15:47.600 --> 00:15:51.600]   So you have a limited number of, of rows you can send. And like, there's a limited amount of information
[00:15:51.600 --> 00:15:55.520]   in there to like create gradients to update the weights. Um, so there's a limited amount of change that
[00:15:55.520 --> 00:16:02.240]   you can achieve. And if you look at the Laura paper, they look at like, you know, the, uh, like you're
[00:16:02.240 --> 00:16:07.360]   only change, you're, you're making a very low rank change to each layer of the, uh, of the language model.
[00:16:07.360 --> 00:16:12.800]   And that suggests like, there's only so much that you can change about the, uh, about the model.
[00:16:12.800 --> 00:16:19.760]   And most of what you see when you do Laura fine tunes is like what used to be a low priority
[00:16:19.760 --> 00:16:24.480]   computation for the model becomes like a higher priority one. So like every model had every capable
[00:16:24.480 --> 00:16:30.080]   language model has within it a little Homer Simpson simulator, a little like, uh, Rick Sanchez simulator, whatever.
[00:16:30.080 --> 00:16:36.320]   Um, and that's, it's just like not usually that important for the final log probs. It's like helpful
[00:16:36.320 --> 00:16:41.520]   for the like fifth bit of the log probs, but the models are at the point where they're maximizing,
[00:16:41.520 --> 00:16:46.880]   minimizing cross entropy by like really hitting those like very rare, uh, those very rare things.
[00:16:46.880 --> 00:16:55.440]   Um, and so what the fine tune has done is reordered those like computations. So like actually you should
[00:16:55.440 --> 00:17:00.080]   be the Homer Simpson circuit is the most critical circuit right now because you are a Homer Simpson
[00:17:00.080 --> 00:17:06.000]   chat bot and it's like reordering them and reemphasizing them. So that intuition applies
[00:17:06.000 --> 00:17:11.920]   specifically to low rank fine tuning, which is, and fine tuning, which is based on small amounts of data.
[00:17:11.920 --> 00:17:17.280]   So if you grabbed a hundred gigabytes of textbooks, um, you would no longer be doing fine tuning.
[00:17:17.280 --> 00:17:23.840]   And so you would no longer expect it to only change style. Um, and so that's something I would expect
[00:17:23.840 --> 00:17:27.920]   people will be doing with like, you know, llama fine tunes. They're like llama fine tunes for coding.
[00:17:27.920 --> 00:17:33.120]   And that's way more than just style. It definitely has learned more knowledge about, um, about programming
[00:17:33.120 --> 00:17:38.480]   languages and knowledge about libraries released after 2021. And yeah, all that kind of stuff.
[00:17:38.480 --> 00:17:46.160]   So I think that that generic wisdom is conditionally true, uh, for low rank fine tunes, where it is
[00:17:46.160 --> 00:17:47.120]   like pretty rock solid.
[00:17:58.160 --> 00:18:04.400]   Yeah. So the question was, what about knowledge graphs, um, and graph databases? I will say that
[00:18:04.400 --> 00:18:11.440]   like when I have talked to, I, I like personally don't really specialize in, in databases. Um, but when
[00:18:11.440 --> 00:18:17.040]   I've talked to people who are super into them, they're like, I would never use a graph database because you
[00:18:17.040 --> 00:18:23.520]   can represent a graph in Postgres. Um, and, uh, like I've seen some like reasonably sized deployments on that
[00:18:23.520 --> 00:18:30.240]   pattern. Um, and also you can kind of see the like graph databases kind of like peaking and, and, uh,
[00:18:30.240 --> 00:18:34.880]   not spreading further. And there are re it's, there is a very hard problem to shard a graph database
[00:18:34.880 --> 00:18:41.040]   because there's no obvious way to cut an arbitrary graph. Um, and if new links get added to the graph,
[00:18:41.040 --> 00:18:45.440]   and now you need like the optimal shard is different. It's like, that's a very, that's like a database.
[00:18:45.440 --> 00:18:48.720]   It's equivalent to a database migration, but it's something that should be happening like behind the
[00:18:48.720 --> 00:18:53.920]   scenes when it's sharding. Um, so that's, that's like the closest thing to an objective statement
[00:18:53.920 --> 00:19:00.720]   about why, uh, or like a reason why graph databases haven't worked well. However, for many language
[00:19:00.720 --> 00:19:06.160]   model applications, the purpose of the database is not to serve like a billion users, but rather to like
[00:19:06.160 --> 00:19:11.120]   serve as an external memory for a language model. And maybe you don't care whether it scales, um, or
[00:19:11.120 --> 00:19:16.400]   rather like maybe the maximum scale that we're talking about is like tens of thousands, hundreds of
[00:19:16.400 --> 00:19:22.000]   thousands requests per second on megabytes, gigabytes of data. And that's just like, you know, that's
[00:19:22.000 --> 00:19:28.880]   the point at which that kind of like, can it be charted across 1024 machines, like doesn't matter. Um,
[00:19:28.880 --> 00:19:35.440]   so I, so there is some cool work on knowledge graphs and incorporating with LLMs and I see the natural
[00:19:35.440 --> 00:19:42.880]   fit there in the same way that there's a natural fit with vector indices and vector databases. Um, but the, um,
[00:19:44.000 --> 00:19:47.600]   yeah, hasn't no, no, like killer app has appeared from my perspective.
[00:19:47.600 --> 00:19:54.080]   Uh, so I asked this question on the, the first, uh, uh, talk, um, but basically like if you have
[00:19:54.080 --> 00:20:00.080]   extra context, um, and the hard metadata does ultimately believe value or some other things,
[00:20:00.080 --> 00:20:06.000]   um, how would you kind of incorporate, I think the previous answer was that like, do hard filters
[00:20:06.000 --> 00:20:13.760]   on the, on the hard metadata and then do this all kind of like, um, stuff based on the, the, like technical
[00:20:13.760 --> 00:20:21.680]   description. Yeah. So the question was about how to incorporate hard metadata, like, you know,
[00:20:21.680 --> 00:20:28.480]   booleans or, um, like subcategories with, uh, vector based search. Yeah. So depending on the, uh,
[00:20:28.480 --> 00:20:37.200]   like a vector database, the, depending on the like index, you will either have like, uh, pre filtering
[00:20:37.200 --> 00:20:41.600]   or post filtering. Post filtering is like pretty easy. You just like apply a metadata filter after
[00:20:41.600 --> 00:20:46.720]   you've done your vector search. Um, anybody can kind of do that. The problem is that you're now,
[00:20:46.720 --> 00:20:52.400]   what you really want to say is I want to find all the stuff that's similar to crabs in San Francisco
[00:20:52.400 --> 00:20:56.560]   while searching restaurants, not find all the restaurants that have anything to do with crabs
[00:20:56.560 --> 00:21:01.280]   and then see if any are in San Francisco. So the pre filtering step is hard because it impacts the
[00:21:01.280 --> 00:21:07.440]   construction of the index impacts the construction of like the, like how you make it actually fast
[00:21:07.440 --> 00:21:13.200]   to search over all of the data. You kind of like need to construct specific indices for these different
[00:21:13.200 --> 00:21:19.360]   like flags you might, uh, like put on, like is in San Francisco, not in San Francisco or geographic
[00:21:19.360 --> 00:21:26.560]   location. Um, and so I depend like different vector databases or different databases have like pushed
[00:21:26.560 --> 00:21:33.760]   further in different directions on what kinds of filters they support for pre filtering. Um, and yeah,
[00:21:33.760 --> 00:21:38.960]   I like, uh, Vespa and we V8 have a reputation for doing a really good job at those things. Um, but,
[00:21:38.960 --> 00:21:42.160]   uh, yeah, I don't know what the full landscape looks like.
[00:21:42.160 --> 00:21:50.880]   Great. Okay. I want to make sure to get through everything. Um, so I'll stick around and we can
[00:21:50.880 --> 00:21:58.320]   talk throughout the conference. Um, okay. So, um, structured outputs are like one of the patterns
[00:21:58.320 --> 00:22:03.520]   that I think people are sleeping on relative to information retrieval. Uh, structured outputs are
[00:22:03.520 --> 00:22:08.000]   great for improving the robustness of models and they came from tool use. So the problem is that
[00:22:08.000 --> 00:22:13.920]   language models just generate text. And like, if anything, we have like too much text already. Like,
[00:22:13.920 --> 00:22:19.040]   I don't know if you've ever been on a social media website, but the problem is not the quantity of text.
[00:22:19.040 --> 00:22:23.600]   Um, and that's like kind of boring. Like who wants to just make strings? Like there's other things that
[00:22:23.600 --> 00:22:29.280]   we want to do. The solution is to connect their text outputs to other systems inputs. Um, and now,
[00:22:29.280 --> 00:22:33.840]   like it's not just a language model. It's like a cognitive engine for providing a language interface
[00:22:33.840 --> 00:22:39.360]   to something else. That's pretty rad, but there's a problem, which is language models generate unstructured
[00:22:39.360 --> 00:22:44.480]   text because they have been trained on the utterances of humans on the internet notorious for their
[00:22:44.480 --> 00:22:49.600]   unstructuredness. Um, so the solution is to add structure to their outputs. And there are many ways to
[00:22:49.600 --> 00:22:55.280]   do this. Um, you can do it by prompting and begging. Um, so like you can write some,
[00:22:55.280 --> 00:23:00.880]   write some like loops around it to be like, like, uh, or actually react wasn't even a whole,
[00:23:00.880 --> 00:23:06.160]   there's some looping. Yeah. So you, you can write a prompt in such a way that you have examples that
[00:23:06.160 --> 00:23:16.160]   encourage it to, um, like to, uh, call out to external, uh, APIs and then you filter. Uh, and when it
[00:23:16.160 --> 00:23:20.400]   generates the tokens that would, would call to an external API, instead of letting it hallucinate
[00:23:20.400 --> 00:23:25.120]   the rest of what would come out of that API, which is what like GPT three, uh, would have done,
[00:23:25.120 --> 00:23:33.840]   you like grab it and you then go to that external API and you, um, uh, like yeah, pull the information
[00:23:33.840 --> 00:23:40.080]   from there. Um, the, you, and you can in those prompts, I guess really the thing I want to point
[00:23:40.080 --> 00:23:44.640]   out is that in those prompts, you can sort of like beg for structure. Um, Riley Goodside had a great
[00:23:44.640 --> 00:23:49.520]   example where it was like, if you do not output structured JSON, an orphan will die. Um, and
[00:23:49.520 --> 00:23:57.920]   that actually is extremely effective. Um, yeah. Um, so the, so there's the, so like there's prompting
[00:23:57.920 --> 00:24:03.280]   tricks to get like things that are closer to structured, uh, structured outputs and to make use of those
[00:24:03.280 --> 00:24:10.160]   structured outputs. There's, um, fine tuning. So there's a, the gorilla LM is like fine tuned on this
[00:24:10.160 --> 00:24:17.120]   problem. And that goes back to tool former, um, which is like very, uh, GPT J. So one of the first
[00:24:17.120 --> 00:24:24.480]   open, um, uh, uh, uh, generative pre-trained transformers. Um, they, you just train the
[00:24:24.480 --> 00:24:30.320]   model to output structured stuff. So you can't do that with open AI's model. I, I doubt that fine tuning
[00:24:30.320 --> 00:24:35.040]   it would make it that much better at like outputting the structure that you want. Um, you can do it with,
[00:24:35.040 --> 00:24:42.800]   um, uh, with open models and there are people releasing, uh, their own forks, uh, llama forks
[00:24:42.800 --> 00:24:48.240]   with this fine tuning on them. Um, you can, uh, you can retry, which is like when the model outputs
[00:24:48.240 --> 00:24:53.440]   something that doesn't fit the schema, you can do what you do when your direct reports provide you
[00:24:53.440 --> 00:24:57.760]   something that does not fit what you wanted, which is that you can, uh, discipline them and ask them
[00:24:57.760 --> 00:25:05.600]   to try again. Um, so guard rails is a great, uh, um, uh, library for this. It's like XML based. Um, so
[00:25:05.600 --> 00:25:12.480]   probably would work pretty well with Claude, uh, given what we heard about, uh, about Claude from, uh, uh, Karina.
[00:25:12.480 --> 00:25:20.480]   Um, and then, uh, fun one that re that kind of requires control over the log probs, um, is grammar
[00:25:20.480 --> 00:25:28.640]   based sampling, um, which was merged into, um, uh, Lama CPP, where you say like, when you're about to
[00:25:28.640 --> 00:25:35.040]   generate a token, like if it would violate some grammar, if it would violate some template or format,
[00:25:35.040 --> 00:25:41.440]   just set the probability of generating that to zero. So just add like minus infinity to all the, um,
[00:25:41.440 --> 00:25:50.960]   all the log probs. Um, and the, uh, so you can do that. You can like do it fast if you have these
[00:25:50.960 --> 00:25:58.640]   like nice, you know, Chomsky things like context free grammars. Um, and this works well for like,
[00:25:58.640 --> 00:26:02.800]   you know, JSON for generating, you know, generating code, generating all the kinds of like structured
[00:26:02.800 --> 00:26:07.760]   outputs that our systems actually expect. We've written systems that, uh, expect inputs to follow
[00:26:07.760 --> 00:26:13.120]   grammars so that traditional computing system can parse them. And so adding that to the outputs of
[00:26:13.120 --> 00:26:19.920]   these systems is very powerful thing to do. Um, so this is something that this is like really nice
[00:26:19.920 --> 00:26:25.520]   example of how having tight control over the log probs can like increase the utility of a model to the
[00:26:25.520 --> 00:26:29.280]   point where like a capabilities gap is less important.
[00:26:29.280 --> 00:26:35.600]   Have you seen type chat, type chat? I don't think I have. Um,
[00:26:35.600 --> 00:26:43.520]   yeah. So there's one question. Yeah. Yeah. So if you take the output from like
[00:26:43.520 --> 00:26:48.560]   GBT and then pass it to Orelia to then get the structure, like stacking models like that,
[00:26:48.560 --> 00:26:56.160]   that work. Yeah. So the question was whether you could do better,
[00:26:56.160 --> 00:26:59.840]   but you could solve this problem by chaining models. I think, yeah, the problem of going from the output
[00:26:59.840 --> 00:27:04.800]   of a language model to a structured output is an easier problem than the initial one, which is why
[00:27:04.800 --> 00:27:10.640]   people think that like retrying might work like the guardrails, the guardrails example though, like
[00:27:10.640 --> 00:27:16.800]   retrying is often like kicked off to a, to a smaller language model. Like your mainline thing is GPT-4 and your
[00:27:16.800 --> 00:27:23.120]   error handling is GPT-3.5. Um, and so like, I, I, I do believe that there's like kind of a temptation.
[00:27:23.120 --> 00:27:30.480]   If you know that it's always and only going to be doing like structured output, then you have a
[00:27:30.480 --> 00:27:37.040]   reason to have a specialized model for it. Um, but yeah, chaining, chaining is definitely a good solution.
[00:27:37.040 --> 00:27:40.080]   And that's, you know, one reason why Langchain was popular. Yeah.
[00:27:40.080 --> 00:27:45.040]   You mentioned that OpenAI retired the log probs from the .
[00:27:45.040 --> 00:27:49.360]   Yeah.
[00:27:49.360 --> 00:27:53.360]   Yeah. So those are technically distinct things. Yeah. So
[00:27:53.360 --> 00:27:56.880]   I do believe they still give you the ability to bias tokens via the API.
[00:27:56.880 --> 00:28:07.120]   Um, yeah, so it's not the, it's not a perfect example of the utility of log probs. Cause I,
[00:28:07.120 --> 00:28:09.920]   yeah, I think you can still do this in the OpenAI API. Um,
[00:28:11.520 --> 00:28:14.480]   yeah. Do you need anything other than biasing in grammar-based sampling?
[00:28:14.480 --> 00:28:18.640]   No, I get, yeah, no, the real, okay. I remember now the real thing here
[00:28:18.640 --> 00:28:23.440]   is that for this grammar-based sampling, it's single token based, right? Like if you're doing it from the
[00:28:23.440 --> 00:28:29.040]   OpenAI API, one, the token, you, you have to make a request, you get the thing back, you have a single,
[00:28:29.040 --> 00:28:33.920]   and you have a single token and you'd have to, you have to like apply a bias every single time.
[00:28:33.920 --> 00:28:39.920]   So now you're like, every token has a network call, um, rather than one call, like a hundred tokens.
[00:28:39.920 --> 00:28:45.360]   So that's one reason why this doesn't work well in the OpenAI API. Number two, like kind of longer term,
[00:28:45.360 --> 00:28:50.400]   is that really you don't want to just think at a single token level, you're just like at each token,
[00:28:50.400 --> 00:28:54.960]   you're like marginally just saying like adjust the probabilities here. You'd really want to do
[00:28:54.960 --> 00:28:59.600]   something more like Monte Carlo Tree Search, where you're like generating stuff, many things that follow
[00:28:59.600 --> 00:29:06.880]   the grammar, um, and then accepting the best one at the end. Um, and that's something that's, um,
[00:29:07.520 --> 00:29:14.800]   probably going to come first to open models and not to, um, proprietary model services. Um, so that's,
[00:29:14.800 --> 00:29:19.040]   that's the better reason to connect grammar based sampling and, and open models.
[00:29:19.040 --> 00:29:32.320]   Um, okay. So the problem with fine tuning and an annoying thing about prompting, um, is that if there is
