
[00:00:00.040 --> 00:00:09.460]  志
[00:08:10.000 --> 00:08:40.000]   I'm going to start with a brief introduction to what I want to do in this video.
[00:08:40.000 --> 00:08:40.000]   I'm going to start with a brief introduction to what I want to do in this video.
[00:08:40.000 --> 00:08:40.000]   I'm going to start with a brief introduction to what I want to do in this video.
[00:08:40.000 --> 00:08:40.000]   I'm going to start with a brief introduction to what I want to do in this video.
[00:08:40.000 --> 00:08:40.000]   I'm going to start with a brief introduction to what I want to do in this video.
[00:08:40.000 --> 00:08:40.000]   I'm going to start with a brief introduction to what I want to do in this video.
[00:08:40.000 --> 00:08:40.000]   I'm going to start with a brief introduction to what I want to do in this video.
[00:08:40.000 --> 00:08:40.000]   I'm going to start with a brief introduction to what I want to do in this video.
[00:08:40.000 --> 00:08:40.000]   I'm going to start with a brief introduction to what I want to do in this video.
[00:08:40.040 --> 00:09:10.020]  ,
[00:09:10.020 --> 00:09:10.020]   I'm going to start with a brief introduction to what I want to do in this video.
[00:09:10.020 --> 00:09:10.020]   I'm going to start with a brief introduction to what I want to do in this video.
[00:09:10.020 --> 00:09:10.020]   I'm going to start with a brief introduction to what I want to do in this video.
[00:09:10.020 --> 00:09:10.020]   I'm going to start with a brief introduction to what I want to do in this video.
[00:09:10.020 --> 00:09:10.020]   I'm going to start with a brief introduction to what I want to do in this video.
[00:09:10.020 --> 00:09:10.020]   I'm going to start with a brief introduction to what I want to do in this video.
[00:09:10.020 --> 00:09:10.020]   I'm going to start with a brief introduction to what I want to do in this video.
[00:09:10.040 --> 00:09:40.040]   I'm going to start with a brief introduction to what I want to do in this video.
[00:09:40.040 --> 00:09:40.040]   I'm going to start with a brief introduction to what I want to do in this video.
[00:09:40.040 --> 00:09:40.040]   I'm going to start with a brief introduction to what I want to do in this video.
[00:09:40.040 --> 00:09:40.040]   I'm going to start with a brief introduction to what I want to do in this video.
[00:09:40.040 --> 00:09:40.040]   I'm going to start with a brief introduction to what I want to do in this video.
[00:09:40.040 --> 00:09:40.040]   I'm going to start with a brief introduction to what I want to do in this video.
[00:09:40.040 --> 00:09:40.040]   I'm going to start with a brief introduction to what I want to do in this video.
[00:09:40.040 --> 00:09:40.040]   I'm going to start with a brief introduction to what I want to do in this video.
[00:09:40.040 --> 00:09:40.040]   I'm going to start with a brief introduction to what I want to do in this video.
[00:09:40.040 --> 00:09:40.040]   I'm going to start with a brief introduction to what I want to do in this video.
[00:09:40.040 --> 00:10:10.060]   I'm going to start with a brief introduction to what I want to do in this video.
[00:10:10.060 --> 00:10:10.060]   I'm going to start with a brief introduction to what I want to do in this video.
[00:10:10.060 --> 00:10:10.060]   I'm going to start with a brief introduction to what I want to do in this video.
[00:10:10.060 --> 00:10:10.060]   I'm going to start with a brief introduction to what I want to do in this video.
[00:10:10.060 --> 00:10:10.060]   I'm going to start with a brief introduction to what I want to do in this video.
[00:10:10.060 --> 00:10:10.060]   I'm going to start with a brief introduction to what I want to do in this video.
[00:10:10.060 --> 00:10:10.060]   I'm going to start with a brief introduction to what I want to do in this video.
[00:10:10.080 --> 00:10:40.080]   I'm going to start with a brief introduction to what I want to do in this video.
[00:10:40.080 --> 00:10:40.080]   I'm going to start with a brief introduction to what I want to do in this video.
[00:10:40.080 --> 00:10:40.080]   I'm going to start with a brief introduction to what I want to do in this video.
[00:10:40.080 --> 00:10:40.080]   I'm going to start with a brief introduction to what I want to do in this video.
[00:10:40.080 --> 00:10:40.080]   I'm going to start with a brief introduction to what I want to do in this video.
[00:10:40.080 --> 00:10:40.080]   I'm going to start with a brief introduction to what I want to do in this video.
[00:10:40.080 --> 00:10:40.080]   I'm going to start with a brief introduction to what I want to do in this video.
[00:10:40.080 --> 00:10:40.080]   I'm going to start with a brief introduction to what I want to do in this video.
[00:10:40.080 --> 00:10:40.080]   I'm going to start with a brief introduction to what I want to do in this video.
[00:10:40.080 --> 00:10:40.080]   I'm going to start with a brief introduction to what I want to do in this video.
[00:10:40.120 --> 00:11:10.100]   I'm going to start with a brief introduction to what I want to do in this video.
[00:11:10.100 --> 00:11:10.100]   I'm going to start with a brief introduction to what I want to do in this video.
[00:11:10.100 --> 00:11:10.100]   I'm going to start with a brief introduction to what I want to do in this video.
[00:11:10.100 --> 00:11:10.100]   I'm going to start with a brief introduction to what I want to do in this video.
[00:11:10.100 --> 00:11:10.100]   I'm going to start with a brief introduction to what I want to do in this video.
[00:11:10.100 --> 00:11:10.100]   I'm going to start with a brief introduction to what I want to do in this video.
[00:11:10.100 --> 00:11:10.100]   I'm going to start with a brief introduction to what I want to do in this video.
[00:11:10.100 --> 00:11:10.100]   I'm going to start with a brief introduction to what I want to do in this video.
[00:11:10.120 --> 00:11:40.120]   I'm going to start with a brief introduction to what I want to do in this video.
[00:11:40.120 --> 00:11:40.120]   I'm going to start with a brief introduction to what I want to do in this video.
[00:11:40.120 --> 00:11:40.120]   I'm going to start with a brief introduction to what I want to do in this video.
[00:11:40.120 --> 00:11:40.120]   I'm going to start with a brief introduction to what I want to do in this video.
[00:11:40.120 --> 00:11:40.120]   I'm going to start with a brief introduction to what I want to do in this video.
[00:11:40.120 --> 00:11:40.120]   I'm going to start with a brief introduction to what I want to do in this video.
[00:11:40.120 --> 00:11:40.120]   I'm going to start with a brief introduction to what I want to do in this video.
[00:11:40.120 --> 00:11:40.120]   I'm going to start with a brief introduction to what I want to do in this video.
[00:11:40.120 --> 00:11:40.120]   I'm going to start with a brief introduction to what I want to do in this video.
[00:11:40.120 --> 00:11:40.120]   I'm going to start with a brief introduction to what I want to do in this video.
[00:11:40.120 --> 00:12:10.140]   I'm going to start with a brief introduction to what I want to do in this video.
[00:12:10.140 --> 00:12:10.140]   I'm going to start with a brief introduction to what I want to do in this video.
[00:12:10.140 --> 00:12:10.140]   I'm going to start with a brief introduction to what I want to do in this video.
[00:12:10.140 --> 00:12:10.140]   I'm going to start with a brief introduction to what I want to do in this video.
[00:12:10.140 --> 00:12:10.140]   I'm going to start with a brief introduction to what I want to do in this video.
[00:12:10.140 --> 00:12:10.140]   I'm going to start with a brief introduction to what I want to do in this video.
[00:12:10.140 --> 00:12:10.140]   I'm going to start with a brief introduction to what I want to do in this video.
[00:12:10.160 --> 00:12:40.160]   I'm going to start with a brief introduction to what I want to do in this video.
[00:12:40.160 --> 00:12:40.160]   I'm going to start with a brief introduction to what I want to do in this video.
[00:12:40.160 --> 00:12:40.160]   I'm going to start with a brief introduction to what I want to do in this video.
[00:12:40.160 --> 00:12:40.160]   I'm going to start with a brief introduction to what I want to do in this video.
[00:12:40.160 --> 00:12:40.160]   I'm going to start with a brief introduction to what I want to do in this video.
[00:12:40.160 --> 00:12:40.160]   I'm going to start with a brief introduction to what I want to do in this video.
[00:12:40.160 --> 00:12:40.160]   I'm going to start with a brief introduction to what I want to do in this video.
[00:12:40.160 --> 00:12:40.160]   I'm going to start with a brief introduction to what I want to do in this video.
[00:12:40.160 --> 00:12:40.160]   I'm going to start with a brief introduction to what I want to do in this video.
[00:12:40.160 --> 00:12:40.160]   I'm going to start with a brief introduction to what I want to do in this video.
[00:12:40.200 --> 00:13:10.180]  ,
[00:13:10.180 --> 00:13:10.180]   and I'm going to start with a brief introduction to what I want to do in this video.
[00:13:10.180 --> 00:13:10.180]   I'm going to start with a brief introduction to what I want to do in this video.
[00:13:10.180 --> 00:13:10.180]   I'm going to start with a brief introduction to what I want to do in this video.
[00:13:10.180 --> 00:13:10.180]   I'm going to start with a brief introduction to what I want to do in this video.
[00:13:10.180 --> 00:13:10.180]   I'm going to start with a brief introduction to what I want to do in this video.
[00:13:10.180 --> 00:13:10.180]   I'm going to start with a brief introduction to what I want to do in this video.
[00:13:10.200 --> 00:13:40.200]   The cheaper you can get that cost,
[00:13:40.200 --> 00:13:40.200]   The cheaper you can get that cost,
[00:13:40.200 --> 00:13:40.200]   The faster you'll be able to achieve your goal.
[00:13:40.200 --> 00:13:40.200]   The faster you'll be able to achieve your goal.
[00:13:40.200 --> 00:13:40.200]   But you've got to make sure that you're willing to,
[00:13:40.200 --> 00:13:40.200]   But you've got to make sure that you're willing to,
[00:13:40.200 --> 00:13:40.200]   That you're at least able to satisfy your bare minimum.
[00:13:40.200 --> 00:13:40.200]   I love this story. I read a story about a guy named Jim one time.
[00:13:40.200 --> 00:13:40.200]   And Jim grew up up in, based on the story that I came across.
[00:13:40.200 --> 00:13:40.200]   Jim grew up in rural Idaho.
[00:13:40.200 --> 00:13:40.200]   And he was half white, half Shoshone.
[00:13:40.200 --> 00:13:40.200]   And he grew up in rural Idaho.
[00:13:40.200 --> 00:13:40.200]   And he was half white, half Shoshone.
[00:13:40.200 --> 00:13:40.200]   And he grew up in rural Idaho.
[00:13:40.200 --> 00:13:40.200]   And he was half white, half Shoshone.
[00:13:40.200 --> 00:13:40.200]   And he grew up in rural Idaho.
[00:13:40.220 --> 00:14:10.220]   And he grew up in rural Idaho.
[00:14:10.220 --> 00:14:10.220]   And he grew up in rural Idaho.
[00:14:10.220 --> 00:14:10.220]   And he grew up in rural Idaho.
[00:14:10.220 --> 00:14:10.220]   And he grew up in rural Idaho.
[00:14:10.220 --> 00:14:10.220]   And he grew up in rural Idaho.
[00:14:10.220 --> 00:14:10.220]   And he grew up in rural Idaho.
[00:14:10.220 --> 00:14:10.220]   And he grew up in rural Idaho.
[00:14:10.220 --> 00:14:10.220]   And he grew up in rural Idaho. And he grew up in rural Idaho. And he was a special forces fighter in Vietnam, and he was injured in the United States. Back in the early 1990s, Jim decided that he was done with just the normal work a day world. He wanted to spend more time out, traveling the country and seeing the United States of America. So he had been previously teaching using his military experience and his military experience.
[00:14:10.220 --> 00:14:10.220]   I wanted to spend more time out, traveling the country and seeing the United States of America. So he had been previously teaching using his military experience and his military experience.
[00:14:10.240 --> 00:14:40.240]   The students got together and helped him create for himself what he needed to travel in.
[00:14:40.240 --> 00:14:40.240]   He put together for his vehicle, he bought an old Nissan pickup truck that had been rolled upside down and the engine and the transmission had been pulled from it.
[00:14:40.240 --> 00:14:40.240]   So they took off the body from the vehicle and they put it in the truck.
[00:14:40.240 --> 00:14:40.240]   The students got together and helped him create for himself what he needed to travel in.
[00:14:40.240 --> 00:14:40.240]   The students got together and helped him create for himself what he needed to travel in.
[00:14:40.240 --> 00:14:40.240]   Everything in their entire project was either scavenged from junk that was lying around or just bought cheap used.
[00:14:40.240 --> 00:14:40.240]   He put together for his vehicle, he bought an old Nissan pickup truck that had been rolled upside down and the engine and the transmission had been pulled from it.
[00:14:40.240 --> 00:14:40.240]   So they took off the body from the truck and the engine and the transmission had been pulled from it.
[00:14:40.240 --> 00:14:40.240]   So they took off the body from the truck and the engine and the transmission had been pulled from it.
[00:14:40.240 --> 00:15:10.260]  , they built a wooden wagon seat on the front and they made a wooden pedal to activate the brakes.
[00:15:10.280 --> 00:15:21.080]   They put in a deep cycle battery with a small solar panel to run it with, to give him a small automotive light inside the wagon for light at night.
[00:15:21.080 --> 00:15:24.260]   Put in a CB radio, an AM FM radio.
[00:15:24.260 --> 00:15:31.860]   And then they put together for, to pull the rig, he put together a team of three burrows just side by side.
[00:15:31.860 --> 00:15:34.820]   They made the harnesses from old discarded fire hoses.
[00:15:34.820 --> 00:15:40.280]   They would, for rolling tires, they would use just old thrown away car tires.
[00:15:40.280 --> 00:15:40.280]   They would, for rolling tires, they would use just old thrown away car tires.
[00:15:40.280 --> 00:15:40.280]   They would, for rolling tires, they would use just old thrown away car tires.
[00:15:40.280 --> 00:15:40.280]   They would, for rolling tires, they would use just old thrown away car tires.
[00:15:40.280 --> 00:15:40.280]   They would, for rolling tires, they would use just old thrown away car tires.
[00:15:40.280 --> 00:15:40.280]   They would, for rolling tires, they would use just old thrown away car tires.
[00:15:40.280 --> 00:16:10.300]   I would, for rolling tires, they would use just old thrown away car tires.
[00:16:10.300 --> 00:16:10.300]   They would, for rolling tires, they would use just old thrown away car tires.
[00:16:10.300 --> 00:16:10.300]   they would, for rolling tires, they would use just old thrown away car tires.
[00:16:10.300 --> 00:16:10.300]   They would, for rolling tires, they would use just old thrown away car tires.
[00:16:10.300 --> 00:16:10.300]   they would, for rolling tires, they would use just old thrown away car tires.
[00:16:10.320 --> 00:16:40.320]   Horses, they would use just old thrown away car tires.
[00:16:40.320 --> 00:16:40.320]   Horses, they would use just old thrown away car tires.
[00:16:40.320 --> 00:16:40.320]   Horses, they would use just old thrown away car tires.
[00:16:40.320 --> 00:16:40.320]   Horses, they would use just old thrown away car tires.
[00:16:40.320 --> 00:16:40.320]   Horses, they would use just old thrown away car tires.
[00:16:40.320 --> 00:16:40.320]   Horses, they would use just old thrown away car tires.
[00:16:40.320 --> 00:16:40.320]   Horses, they would use just old thrown away car tires.
[00:16:40.320 --> 00:16:40.320]   Horses, they would use just old thrown away car tires.
[00:16:40.320 --> 00:16:40.320]   Horses, they would use just old thrown away car tires.
[00:16:40.320 --> 00:16:40.320]   Horses, they would use just old thrown away car tires.
[00:16:40.320 --> 00:16:40.320]   Horses, they would use just old thrown away car tires.
[00:16:40.320 --> 00:16:40.320]   Horses, they would use just old thrown away car tires.
[00:16:40.320 --> 00:16:40.320]   Horses, they would use just old thrown away car tires.
[00:16:40.340 --> 00:17:10.340]   Horses, they would use just old thrown away car tires.
[00:17:10.340 --> 00:17:10.340]   Horses, they would use just old thrown away car tires.
[00:17:10.340 --> 00:17:10.340]   Horses, they would use just old thrown away car tires.
[00:17:10.340 --> 00:17:10.340]   Horses, they would use just old thrown away car tires.
[00:17:10.340 --> 00:17:10.340]   Horses, they would use just old thrown away car tires.
[00:17:10.340 --> 00:17:10.340]   Horses, they would use just old thrown away car tires.
[00:17:10.340 --> 00:17:10.340]   Horses, they would use just old thrown away car tires.
[00:17:10.340 --> 00:17:10.340]   Horses, they would use just old thrown away car tires.
[00:17:10.340 --> 00:17:10.340]   Horses, they would use just old thrown away car tires.
[00:17:10.340 --> 00:17:10.340]   Horses, they would use just old thrown away car tires.
[00:17:10.340 --> 00:17:10.340]   Horses, they would use just old thrown away car tires.
[00:17:10.340 --> 00:17:10.340]   Horses, they would use just old thrown away car tires.
[00:17:10.340 --> 00:17:10.340]   Horses, they would use just old thrown away car tires.
[00:17:10.360 --> 00:17:40.360]   Horses, they would use just old thrown away car tires.
[00:17:40.360 --> 00:17:40.360]   Horses, they would use just old thrown away car tires.
[00:17:40.360 --> 00:17:40.360]   Horses, they would use just old thrown away car tires.
[00:17:40.360 --> 00:17:40.360]   Horses, they would use just old thrown away car tires.
[00:17:40.360 --> 00:17:40.360]   Horses, they would use just old thrown away car tires.
[00:17:40.360 --> 00:17:40.360]   Horses, they would use just old thrown away car tires.
[00:17:40.360 --> 00:17:40.360]   Horses, they would use just old thrown away car tires.
[00:17:40.360 --> 00:17:40.360]   Horses, they would use just old thrown away car tires.
[00:17:40.360 --> 00:17:40.360]   Horses, they would use just old thrown away car tires.
[00:17:40.360 --> 00:17:40.360]   Horses, they would use just old thrown away car tires.
[00:17:40.360 --> 00:17:40.360]   Horses, they would use just old thrown away car tires.
[00:17:40.360 --> 00:17:40.360]   Horses, they would use just old thrown away car tires.
[00:17:40.360 --> 00:17:40.360]   Horses, they would use just old thrown away car tires.
[00:17:40.400 --> 00:18:10.380]  ,
[00:18:10.380 --> 00:18:10.380]   I
[00:18:10.380 --> 00:18:10.380]   I
[00:18:10.380 --> 00:18:10.380]   I
[00:18:10.380 --> 00:18:10.380]   I don't know what Jim's budget was. This was back in the late 80s, early 90s, something like that, maybe mid 90s, that Jim was out doing this. But man, I'd be shocked if he was spending more than a couple hundred dollars a month.
[00:18:10.380 --> 00:18:10.380]   I don't know what Jim's budget was. This was back in the late 80s, early 90s, something like that, maybe mid 90s, that Jim was out doing this. But man, I'd be shocked if he was spending more than a couple hundred dollars a month.
[00:18:10.380 --> 00:18:10.380]   I don't know what Jim's budget was. This was back in the late 80s, early 90s, something like that, maybe mid 90s, that Jim was out doing this. But man, I'd be shocked if he was spending more than a couple hundred dollars a month.
[00:18:10.400 --> 00:18:40.400]   I don't know what Jim's budget was. This was back in the late 80s, early 90s, that Jim was out doing this. But man, I'd be shocked if he was spending more than a couple hundred dollars a month.
[00:18:40.400 --> 00:18:40.400]   I don't know what Jim's budget was. This was back in the late 80s, early 90s, that Jim was out doing this. But man, I'd be shocked if he was spending more than a couple hundred dollars a month.
[00:18:40.400 --> 00:18:40.400]   I don't know what Jim's budget was. This was back in the late 80s, early 90s, that Jim was out doing this. But man, I'd be shocked if he was spending more than a couple hundred dollars a month.
[00:18:40.400 --> 00:18:40.400]   I don't know what Jim's budget was. This was back in the late 80s, early 90s, that Jim was out doing this. But man, I'd be shocked if he was spending more than a couple hundred dollars a month.
[00:18:40.440 --> 00:19:10.420]  ,
[00:19:10.420 --> 00:19:10.420]   I don't know what Jim's budget was. This was back in the late 80s, early 90s, that Jim was out doing this.
[00:19:10.420 --> 00:19:10.420]   I don't know what Jim's budget was. This was back in the late 80s, early 90s, that Jim was out doing this.
[00:19:10.420 --> 00:19:10.420]   I don't know what Jim's budget was. This was back in the late 80s, early 90s, that Jim was out doing this.
[00:19:10.440 --> 00:19:40.440]   Now, back to your bare minimum.
[00:19:40.440 --> 00:19:40.440]   Now, back to your bare minimum.
[00:19:40.440 --> 00:19:40.440]   Now, back to your bare minimum.
[00:19:40.440 --> 00:19:40.440]   Now, back to your bare minimum.
[00:19:40.440 --> 00:19:40.440]   Now, back to your bare minimum.
[00:19:40.440 --> 00:19:40.440]   Now, back to your bare minimum.
[00:19:40.440 --> 00:19:40.440]   Now, back to your bare minimum.
[00:19:40.440 --> 00:19:40.440]   Now, back to your bare minimum.
[00:19:40.440 --> 00:19:40.440]   Now, back to your bare minimum.
[00:19:40.440 --> 00:19:40.440]   There are things that are important. If you're single and it's just you and you're just trying to figure out, well, I'm going to go and do whatever I want, you're in the most flexible situation of your life. Again, put your boots on and just start walking. You can do that. If you want to drive, great. Ride a bicycle, great. Ride a motorcycle, great. Buy a motorhome, great. If you are married, of course you'll have different considerations. I bet you my wife, if I worked with you, you're going to be a professional.
[00:19:40.480 --> 00:20:10.460]   I bet she would go traveling in a gypsy wagon with burrows. That's not the choice that I've made. But it has been very important to me that I want to get out on the road and do my adventure with a bare minimum. And that buys you a number of things. If you commit to your adventures with a bare minimum, it buys you freedom where you're not so invested in your adventures that they have to work. A lot of people buy a big fancy RV, buy a big fancy sailboat, they get out there and they decide, find out they don't like it.
[00:20:10.460 --> 00:20:10.460]  , buy a big fancy sailboat, they get out there and they decide, find out they don't like it.
