
[00:00:00.000 --> 00:00:15.460]   Welcome, everyone, to the 80th edition of Bogleheads on Investing.
[00:04:49.460 --> 00:04:54.740]   within the ETF industry than you have in the fund industry. And so probably something you're
[00:04:54.740 --> 00:04:59.940]   wondering about, what about the converse, you know, the number of funds that have been mothballed.
[00:04:59.940 --> 00:05:07.620]   And this is pretty striking. So with respect to open-end mutual funds, around 4,400 have been merged or
[00:05:07.620 --> 00:05:12.900]   liquidated away in the last three years compared to 642 ETFs.
[00:05:12.900 --> 00:05:13.140]   Wow.
[00:05:13.140 --> 00:05:20.900]   And so it's a picture of an ETF industry that continues to expand, not only by assets, but in terms of
[00:05:20.900 --> 00:05:27.540]   net number of vehicles. And then with respect to open-end funds, you're actually seeing the industry
[00:05:27.540 --> 00:05:33.620]   contract. There were a number of years, as you well know, where the industry was growing like wildfire,
[00:05:33.620 --> 00:05:40.180]   both in terms of assets, as well as in terms of number of funds. But it's actually been shrinking
[00:05:40.180 --> 00:05:44.340]   in recent years. And you could argue that that's an industry that's adapting
[00:05:44.340 --> 00:05:48.420]   to a more sobering set of conditions than it faced in the past.
[00:05:48.420 --> 00:05:53.780]   So I just want to make sure I heard this correctly. Open-end funds, traditional open-end funds,
[00:05:53.780 --> 00:06:00.020]   whether it's indexed funds or actively managed funds. 1,300 approximately have been created
[00:06:00.020 --> 00:06:05.460]   in the last three years and 4,400 have closed?
[00:06:05.460 --> 00:06:06.900]   That's correct.
[00:06:06.900 --> 00:06:13.700]   Wow. That is a huge number. Did it include different share classes like A-share, B-share,
[00:06:13.700 --> 00:06:16.740]   Z-share, I-share? Are those part of the 4,400?
[00:06:16.740 --> 00:06:21.780]   Indeed, it did. So this is all share classes. And so you're right that some of this can be
[00:06:21.780 --> 00:06:27.620]   share class consolidation, of which there has been some. At the margins, there can also be a little bit
[00:06:27.620 --> 00:06:33.300]   of open-end ETF conversion activity that you might have seen take place in the last three years that's
[00:06:33.300 --> 00:06:39.060]   picked up a little bit. That's more of a rounding error in that number. It's more about the economics of
[00:06:39.060 --> 00:06:44.740]   running money in the open-end format. A lot of these, they're smaller in size, or they just want to tidy
[00:06:44.740 --> 00:06:50.660]   up their lineup, close some share classes so that they can gain a little bit of scale across a fund's
[00:06:50.660 --> 00:06:55.780]   various share classes. But yeah, the open-end fund industry is in contraction.
[00:06:55.780 --> 00:07:01.300]   You did mention something I want to bring up here, and that is converting from a traditional
[00:07:01.300 --> 00:07:08.980]   open-end fund to an ETF. How many funds have done that? And is that a growing trend?
[00:07:08.980 --> 00:07:14.900]   It is a growing trend. In terms of numbers, I don't have it right in front of me, but we're talking
[00:07:14.900 --> 00:07:19.380]   about hundreds of funds that have been converted. Hundreds, wow.
[00:07:19.380 --> 00:07:25.780]   Yeah, there's been a good number of them. What we have tended to find, with a few exceptions,
[00:07:25.780 --> 00:07:29.620]   is that the traditional fund providers, who are the ones that are typically converting these,
[00:07:29.620 --> 00:07:36.740]   they are picking and choosing which they're going to convert. So they might have a colossus of a fund
[00:07:36.740 --> 00:07:43.860]   within their lineup, but it might have a lot of assets in the retirement channel, or it might be spread
[00:07:43.860 --> 00:07:50.020]   across a multitude of different share classes. In circumstances like those, it doesn't facilitate
[00:07:50.020 --> 00:07:58.180]   conversion because you can't have an ETF in a 401k plan, or it's just a logistical nightmare to go and
[00:07:58.180 --> 00:08:03.860]   basically consolidate the multiple share class assets into a single share class so that it can be converted
[00:08:03.860 --> 00:08:10.580]   to an ETF. So what it's tended to mean is that fund companies have been more picky about what they
[00:08:10.580 --> 00:08:16.820]   convert. But we have seen some large fund families that have converted, probably most notably Dimensional,
[00:08:16.820 --> 00:08:22.100]   has converted a number of their mutual funds, and that's real money. There's been significant,
[00:08:22.100 --> 00:08:27.780]   we're talking billions of dollars in assets that have converted. JP Morgan is another name that springs
[00:08:27.780 --> 00:08:34.580]   to mind. But then we've also seen some traditional, very large open-end active players who've opted to go
[00:08:34.580 --> 00:08:39.940]   a different route, just launching DeNovo, like good examples of that. Probably the most prominent would be
[00:08:39.940 --> 00:08:46.420]   capital group, capital group, also known as American funds. They brought out a number of active ETFs,
[00:08:46.420 --> 00:08:54.020]   and those are not conversions. A few years ago, Vanguard held this patent on being able to launch
[00:08:54.020 --> 00:09:02.900]   an ETF share class against their traditional open-end funds. That's how VTI, the total stock market ETF,
[00:09:02.900 --> 00:09:10.500]   and VTSAX, which is the total stock market fund, are the same fund, just different share classes. And for
[00:09:10.500 --> 00:09:17.540]   many years, almost 20 years, Vanguard owned a patent on this, and no one else could do it. That came off
[00:09:17.540 --> 00:09:25.460]   patent, I want to say, a couple of years ago. And I've seen a lot of companies doing that. Is that something
[00:09:25.460 --> 00:09:31.140]   that's a trend? Not yet. Because I believe that we've got a number of fund companies that have applied
[00:09:31.140 --> 00:09:36.980]   to the SEC to do this. My colleague Ben Johnson has done a really good job of chronicling this. I think
[00:09:36.980 --> 00:09:43.940]   there's dozens of fund companies at this point. But what we have typically seen the traditional active
[00:09:43.940 --> 00:09:50.820]   providers do is either convert, like we had talked about before, or they will just bring out sort of a
[00:09:50.820 --> 00:09:57.860]   version of an active strategy that they offer, but it will not be a just sort of a new share class that
[00:09:57.860 --> 00:10:02.580]   sprouts from the existing fund, if that makes sense. So if you've got like a fund that's got like four or
[00:10:02.580 --> 00:10:08.020]   five share classes to it, we're not yet seeing them at that fifth or sixth share class, the fifth or sixth
[00:10:08.020 --> 00:10:15.380]   being an ETF. It's a new offering essentially that resembles maybe the traditional open-end fund
[00:10:15.380 --> 00:10:20.340]   that they offer, but isn't an exact replica like you would have if they just sort of sprouted a new
[00:10:20.340 --> 00:10:26.020]   share class. And is that because it's still in SEC registration, and the SEC is working on it,
[00:10:26.020 --> 00:10:30.740]   and that's the reason why this hasn't happened? That's right. But I know that it's awaiting regulatory
[00:10:30.740 --> 00:10:36.740]   approval. I think that there's also an operational dimension to this for some fund companies. But as Ben
[00:10:36.740 --> 00:10:41.540]   has done a really good job of chronicling, that hasn't stopped many of them from going and applying
[00:10:41.540 --> 00:10:44.980]   for this, notwithstanding whatever sort of operational hurdles might stand in their way,
[00:10:44.980 --> 00:10:50.740]   clearly they feel like they can surmount those challenges. Let's look at some of these new offerings.
[00:10:50.740 --> 00:11:00.660]   I'm a casual observer of some of these new ETFs that are coming out, and there are a lot of
[00:11:02.100 --> 00:11:12.820]   interesting ones. Very niche, very specific, even single-stock ETFs leveraged. So let's go ahead and
[00:11:12.820 --> 00:11:20.820]   start at the top of the three categories that I found. The first one is thematic funds. It seemed to be
[00:11:20.820 --> 00:11:27.620]   very popular. Yep. So thematic funds, you're quite right. That has been a very popular category. I would
[00:11:27.620 --> 00:11:35.380]   say it peaked a few years ago back, probably 2021. I think that we saw 57 thematic ETFs launch it since
[00:11:35.380 --> 00:11:43.380]   tapered off a bit. For instance, in the last year ended February 25, there were only 17 new thematic
[00:11:43.380 --> 00:11:49.460]   ETFs that were launched. So it's definitely cooled down. And I think that's attributable to a couple of
[00:11:49.460 --> 00:11:55.620]   things. I mean, one is, I think the industry maybe got shook out a little bit. 2022, by the market downturn,
[00:11:55.620 --> 00:12:00.900]   which hit some of these strategies really hard, and even some of them hit a harder times even before
[00:12:00.900 --> 00:12:07.220]   that. I think the other factor is investors have had some difficulties using these successfully. I did
[00:12:07.220 --> 00:12:12.980]   a little bit of work on this a month or so ago, looking at how the average dollar invested in thematic
[00:12:12.980 --> 00:12:19.060]   strategies had done over a period of time. I think I looked at the trailing three years, maybe as of
[00:12:19.060 --> 00:12:24.900]   January. And what I found is that the average dollar had lost money, despite the fact that it was a
[00:12:24.900 --> 00:12:31.220]   pretty hospitable market climate. What's more, you found that the average dollar in thematics,
[00:12:31.220 --> 00:12:38.340]   not only did it lose money, but it badly lagged how the average dollar had done in just a plain old
[00:12:38.340 --> 00:12:44.740]   target date 2050 fund. You know, I picked a 2050 because it's a lot of 25, 30 year time horizon,
[00:12:44.740 --> 00:12:50.340]   which mimics what you'd see with a thematic. And those made good money. It was like 67%. So it was
[00:12:50.340 --> 00:12:54.420]   basically a 14% per annum difference in the return to the average dollar of a thematic.
[00:12:54.420 --> 00:12:59.860]   And I, so I think the fact that, you know, you've had these very divergent sort of experiences,
[00:12:59.860 --> 00:13:05.540]   sort of rates of success in thematics, that probably also has induced some of the slowdown
[00:13:05.540 --> 00:13:12.340]   that we've seen in those, but they're a big category. They have at last count around $113 billion
[00:13:12.340 --> 00:13:18.660]   in net assets in thematic ETFs. And so the fact that there's a good amount of money there,
[00:13:18.660 --> 00:13:22.980]   there's been some legs of growth to it. It'll continue to attract some activity, which we've seen,
[00:13:22.980 --> 00:13:28.260]   like I said, 17 of these launched in the last year. A lot of times these thematic funds, which might be
[00:13:28.260 --> 00:13:34.500]   artificial intelligence or that, whatever the theme is, the investment theme is of the fund,
[00:13:34.500 --> 00:13:39.540]   there's a lag. I mean, it gets hot, it gets popular. I've been, I've been around the industry
[00:13:39.540 --> 00:13:48.260]   for almost 40 years now, and it's constant, right? If something is hot, then a fund eventually gets
[00:13:48.260 --> 00:13:53.300]   created, but it does take time to get the offering through the SEC.
[00:13:53.300 --> 00:13:54.260]   Exactly.
[00:13:54.260 --> 00:14:01.700]   So by the time the fund launches, the shooting star is beginning to burn out in a way.
[00:14:01.700 --> 00:14:07.780]   That's right. Exactly. By the time it gets to you, by the time it resonates with you,
[00:14:07.780 --> 00:14:12.180]   I mean, that story might have been played out. Those of us that have been inculcated in sort
[00:14:12.180 --> 00:14:18.180]   of passive investing and market efficiency, even in perfect forms of it, I think that one of the first
[00:14:18.180 --> 00:14:22.660]   questions we go to is, well, why wouldn't this have already been priced in, right? And so I think that's
[00:14:22.660 --> 00:14:29.620]   one of the difficulties that investors in these products have encountered. And just to, so it's a
[00:14:29.620 --> 00:14:34.980]   little bit less abstract. I mean, just looking at the top products, China internet, cyber security,
[00:14:34.980 --> 00:14:41.700]   US infrastructure, Dow Jones internet, arc innovation, which is probably the most famous of these medical
[00:14:41.700 --> 00:14:48.900]   devices, cloud computing, exponential technologies. I mean, these are the sorts of stories that basically
[00:14:48.900 --> 00:14:53.460]   make up these types of strategies. And in most of these instances, at the time they launched,
[00:14:53.460 --> 00:14:58.740]   that was a story that kind of had entered the zeitgeist, had its hold on a segment of the market,
[00:14:58.740 --> 00:15:03.540]   and yet it was probably already priced in and then some. And that's why it hasn't conferred the sort of
[00:15:03.540 --> 00:15:08.820]   outsized returns that maybe one would have thought it would have given how hot these themes were at the
[00:15:08.820 --> 00:15:09.700]   relevant times.
[00:15:09.700 --> 00:15:13.940]   Hmm. Solar energy, cannabis companies, all of that.
[00:15:13.940 --> 00:15:18.420]   That's right. Uranium, artificial intelligence, which you mentioned,
[00:15:18.420 --> 00:15:25.380]   water resources, quantum investing, if we can even call it that. These are all examples of thematic
[00:15:25.380 --> 00:15:26.580]   strategies one would find.
[00:15:26.580 --> 00:15:33.860]   I remember reading a book about fidelity years ago, it was published, must have been 35 years ago,
[00:15:33.860 --> 00:15:40.820]   with the authors quoted. I think it was Ned Johnson who said, you know, if the public will buy it,
[00:15:40.820 --> 00:15:44.020]   we will create it, but I wouldn't put a dime of my own money in it.
[00:15:44.020 --> 00:15:49.380]   Yep. No, no, for sure. And I think I did maybe write a little bit about this in the piece that I wrote,
[00:15:49.380 --> 00:15:54.020]   the headline of which is that the average dollar in these thematics had badly lagged,
[00:15:54.020 --> 00:16:01.620]   the average dollar in target date 2050s. If you're going to do it, and it seems strange to say this,
[00:16:01.620 --> 00:16:07.380]   you want to be a bit contrarian about it. Like if you believe in the theme, you've done your homework,
[00:16:07.380 --> 00:16:12.820]   you think that there's some durability to it. Well, probably the time to get in is after it sells
[00:16:12.820 --> 00:16:19.460]   off. And it's more invitingly priced, not when it's basically cocktail party chatter, that sort of thing.
[00:16:20.020 --> 00:16:29.860]   Very good. The next group leveraged ETS. And these can get very specific, like 2X, 3X up, 2X, 3X down,
[00:16:29.860 --> 00:16:33.380]   and even get into single stocks. This is getting to be popular.
[00:16:33.380 --> 00:16:42.100]   Yes. To say this category would leave Bogleheads colds is, I think, the understatement of all
[00:16:42.100 --> 00:16:48.500]   understatements. So yeah. So maybe a few facts and figures that I'll hang on this one. There were,
[00:16:48.500 --> 00:16:58.980]   last year, dozens of leveraged ETFs come out. And why did the number pick up? Because one of the
[00:16:58.980 --> 00:17:05.380]   emerging trends that we've seen in that space is single stock leveraged ETFs. So think of
[00:17:05.380 --> 00:17:14.020]   Nvidia, think of MicroStrategy. I mean, typically, these are kind of growth names. They've got some
[00:17:14.020 --> 00:17:21.860]   curb appeal to them. And they attract the trading crowd. And that's really what these ETFs are designed
[00:17:21.860 --> 00:17:28.500]   to appeal to. And so, but the new wave in these have been single stock leveraged ETFs. You know,
[00:17:28.500 --> 00:17:32.900]   this is something else I wrote a little bit about. There was a piece that went up a bit,
[00:17:32.900 --> 00:17:36.420]   just, you know, focusing on, this was as of early February, the sorts of results
[00:17:36.420 --> 00:17:43.140]   that it looked like investors had seen in products like these, again, focused on the average dollar,
[00:17:43.140 --> 00:17:47.300]   which is sort of an internal rate of return calculation, dollar weighted return calculation.
[00:17:47.300 --> 00:17:52.660]   And what you found is if you actually took the reference assets, whether it's a single stock,
[00:17:54.020 --> 00:18:00.580]   like it could be an ETF, more commonly, it's an index, and you just basically ran their return
[00:18:00.580 --> 00:18:08.660]   without the leverage, you only earned about five percentage points more in these products than
[00:18:08.660 --> 00:18:13.140]   would have the underlying assets without any of the leverage and certainly with far
[00:18:13.140 --> 00:18:18.180]   less volatility. So granted, these are not really built for somebody that's going to hold for a
[00:18:18.180 --> 00:18:23.460]   year, which was the time period that I examined in my study. But I think it does underscore the fact
[00:18:23.460 --> 00:18:30.900]   that there's real issues with these. The providers, they certainly disclose that these are designed
[00:18:30.900 --> 00:18:36.100]   for a single day, and you should not expect to be able to earn some multiple over periods longer than
[00:18:36.100 --> 00:18:41.780]   a day. So they're fulfilling their obligation. But you know, it does seem that that probably there are
[00:18:41.780 --> 00:18:46.260]   there are investors who stick in these for longer than that. And they probably are doing so to their
[00:18:46.260 --> 00:18:49.060]   detriment because there's more volatility. There's certainly more fee.
[00:18:49.060 --> 00:18:55.860]   I do see that when a new person comes to me and I look and see what they own. Occasionally, I'll see
[00:18:55.860 --> 00:19:07.700]   a 2x or 3x. And they've held it for quite a while. And their rate of return isn't 2x or 3x because
[00:19:07.700 --> 00:19:16.020]   there's also 2x and 3x volatility. And when you compound volatility, you erode away whatever excess
[00:19:16.020 --> 00:19:24.500]   return there is. That's right. The SEC has put out multiple advisories to investors on these funds,
[00:19:24.500 --> 00:19:30.820]   and even put out warnings to broker-dealers, because I remember in the past some broker-dealers got in
[00:19:30.820 --> 00:19:37.540]   trouble for not telling the clients how risky these things are. Just be careful with these things.
[00:19:37.540 --> 00:19:43.220]   They are meant for one day, which is really a bit strange because it really kind of circumvents the
[00:19:43.220 --> 00:19:48.820]   margin laws. You could leverage something within a fund without actually having to have a margin
[00:19:48.820 --> 00:19:54.580]   account. It's not something Bogleheads probably would be investing in, although I have seen a few of them
[00:19:54.580 --> 00:20:03.940]   in accounts. The last category I want to discuss is private equity inside an ETF. And the big one is
[00:20:03.940 --> 00:20:10.740]   SpaceX, right? Now you can own SpaceX if you buy this ETF, even though SpaceX doesn't trade. You wrote some on this.
[00:20:10.740 --> 00:20:18.100]   So this is maybe one of the hottest themes going, the public-private convergence. For the record,
[00:20:18.100 --> 00:20:23.620]   I don't have an issue with the notion of investor investing in both public and private, as long as they
[00:20:23.620 --> 00:20:31.060]   understand the associated trade-offs. What's been new is ETFs and open-end funds entering this space. The
[00:20:31.060 --> 00:20:36.020]   reason why it has not been common to this point, as we know, these are daily liquidity vehicles. They
[00:20:36.020 --> 00:20:41.300]   need to be able to fulfill buy and sell orders. And so what that means is that the underlying securities
[00:20:41.300 --> 00:20:46.900]   they invest in need to be sufficiently liquid and have readily ascertainable market values. And that doesn't
[00:20:46.900 --> 00:20:51.940]   really describe private equity or private credit for that matter. And my colleagues, especially Jack
[00:20:51.940 --> 00:20:57.380]   Shannon, have done lots of work on open-end funds that have owned stakes in private equity. Some of the
[00:20:57.380 --> 00:21:03.620]   big complexes, Fidelity, T-Row, and the like, they do have positions in private equity in their open-end funds,
[00:21:03.620 --> 00:21:08.260]   but they have tended to be at the margins. And Jack has done a really good job of covering that for us
[00:21:08.820 --> 00:21:16.740]   over time, as did Katie Reichert before him. I focused on a newer ETF. It's called ER shares, private public
[00:21:16.740 --> 00:21:24.660]   crossover ETF. The ticker is XOVR. And what's notable about what it's doing is it is committed to investing
[00:21:24.660 --> 00:21:33.620]   more meaningfully in private equity up to the 15% limit on a liquids. And to do so, it took a sizable stake in
[00:21:33.620 --> 00:21:42.900]   SpaceX. It's around 11% of its net assets. And that's a pretty chunky position in an illiquid for
[00:21:42.900 --> 00:21:48.660]   an ETF to have. And so what I try to do with the piece is just kind of go through the progression to
[00:21:48.660 --> 00:21:54.180]   ask the questions that I would think somebody that's diligently a product like that would ask themselves,
[00:21:54.180 --> 00:22:01.380]   which I think it's probably advisable for us to all ask as this sort of trend plays its way through
[00:22:01.380 --> 00:22:07.300]   open-end funds in ETFs. It's questions like, how do they access and transact in the private equity
[00:22:07.300 --> 00:22:13.940]   securities concerned? How do they value it? How do they manage the associated liquidity risk?
[00:22:13.940 --> 00:22:18.980]   I mean, when you're kicking the tires on vehicles like those, there should be sort of satisfactory
[00:22:18.980 --> 00:22:22.580]   answers that are forthcoming on each of those questions. But I was having a hard time with that
[00:22:22.580 --> 00:22:27.780]   particular ETF and kind of getting at the answers to those things. So that's why I wrote the piece.
[00:22:27.780 --> 00:22:35.860]   But it's a hot area. There's, as you know, there's a new SSGA ETF. It's a partnership with Apollo
[00:22:35.860 --> 00:22:42.740]   that will invest meaningfully in private credit. That's just getting off the ground. It was recently
[00:22:42.740 --> 00:22:48.260]   approved. And so all eyes are on that to see sort of how this experiment will play out in practice. But
[00:22:48.260 --> 00:22:57.940]   that has been a much talked about area. I recall back in the 1990s, a fund manager by the name of
[00:22:57.940 --> 00:23:07.300]   Garrett Von Wagner, who was very successful growth stock manager and started to left the company he was
[00:23:07.300 --> 00:23:18.180]   with, started his own group of growth stock mutual funds. And he did this. He put private equity in a
[00:23:18.180 --> 00:23:27.060]   mutual fund. The problem was, there's no valuation model where you could say this is what the daily
[00:23:27.620 --> 00:23:35.540]   value of the value of private equity was because it's private equity. So he didn't trade. And the SEC
[00:23:35.540 --> 00:23:43.860]   called him out on it. And without admitting anything, he paid the SEC something like a $600,000 fine
[00:23:43.860 --> 00:23:49.140]   because it was the contention of the SEC that he was mispricing
[00:23:49.860 --> 00:23:55.300]   these private equities in the fund. And it was an open-to-end fund. So that was a problem because
[00:23:55.300 --> 00:23:59.940]   that means the people who were buying the fund would be paying too much. And the people who were
[00:23:59.940 --> 00:24:04.980]   selling the shares would be getting too much. So it wasn't a fair market. Do you recall that by any
[00:24:04.980 --> 00:24:10.260]   chance? It predates my arrival at Morningstar, but I certainly have have read about it and familiar
[00:24:10.260 --> 00:24:16.340]   with it. It's a pretty sort of famous example episode within the industry. Yeah, I could see that coming
[00:24:16.340 --> 00:24:23.780]   around again here with what we're seeing today, but we'll see. All right. So Jeff, I mean, is there
[00:24:23.780 --> 00:24:29.380]   anything else that you're seeing out there? Any other area that ETFs are being created?
[00:24:29.380 --> 00:24:36.500]   You know, I would say the other thing that our team and our manager research team is led globally
[00:24:36.500 --> 00:24:43.220]   by my colleague, Laura Lutton. One thing that they're really focused on is as categories. One is
[00:24:43.220 --> 00:24:49.620]   sort of in the public private realm. We're seeing quite a bit of activity in the interval fund space.
[00:24:49.620 --> 00:24:55.460]   And interval funds, not my cup of tea. You know, I like my managed investments to be liquid. That's
[00:24:55.460 --> 00:24:59.780]   not what interval funds are meant to be. At least they're not fully liquid, like an ETF.
[00:24:59.780 --> 00:25:01.380]   What are interval funds?
[00:25:01.380 --> 00:25:07.060]   They're sort of a hybrid between an open-end fund and a closed-end fund. A closed-end fund,
[00:25:07.060 --> 00:25:12.020]   as I think many of your listeners might know, it's different from an open-end fund in that
[00:25:12.020 --> 00:25:18.420]   they don't issue new shares when demand exceeds supply. The number of shares is fixed. And so
[00:25:18.420 --> 00:25:23.700]   closed-end funds, they're probably most notorious for trading away from their net asset value. There
[00:25:23.700 --> 00:25:28.420]   can be a premium or commonly there's discounts. And so that's one of the trade-offs that you face.
[00:25:28.420 --> 00:25:34.020]   They've typically been used to invest in less liquid assets and also because they can employ leverage more
[00:25:34.020 --> 00:25:40.420]   freely. They've been used for income-generative types of strategies just because you can sort of
[00:25:40.420 --> 00:25:45.380]   gear up your yield and deliver more income to your investors. That's one of the reasons why they've attracted
[00:25:45.380 --> 00:25:50.420]   investors, but they're closed. Again, you can't create new shares. Interval funds are a little bit different
[00:25:50.420 --> 00:25:58.340]   in that they have a little bit more latitude to create additional demand and also typically in a quarterly or
[00:25:58.340 --> 00:26:04.740]   maybe a semi-annual interval. They will basically tender for a certain percentage of the shares.
[00:26:04.740 --> 00:26:09.300]   Yeah. So it's almost like a combination between an ETF and a closed-day fund.
[00:26:09.300 --> 00:26:16.180]   Exactly. This has become an area where there's quite a bit of activity because it's conducive,
[00:26:16.180 --> 00:26:22.180]   I think, in the minds of many to investing in privately held assets, but to offer a little
[00:26:22.180 --> 00:26:26.100]   bit more liquidity than you would typically have if you went the usual route of directly investing in
[00:26:26.100 --> 00:26:31.860]   private securities or investing, say, through a private equity or a private credit fund.
[00:26:31.860 --> 00:26:40.100]   A lot of private equity has a limit to the amount of redemption that can occur in any quarter and then
[00:26:40.100 --> 00:26:43.860]   it stops. Do these funds have that same limit?
[00:26:43.860 --> 00:26:50.740]   They do. They limit it and so that's what makes them more conducive to holding private assets.
[00:26:50.740 --> 00:26:55.060]   Yeah, but everybody runs for the door at the same time when they need liquidity.
[00:26:55.060 --> 00:27:01.460]   So pensions, sovereign wealth funds, foundations, endowments who have a lot of
[00:27:01.460 --> 00:27:07.780]   private equity that's illiquid. What do they start selling when they need money? They start selling
[00:27:07.780 --> 00:27:12.020]   the public stuff and then eventually they get to the point where they've got to dump something else.
[00:27:12.020 --> 00:27:17.380]   It could be a fire drill here. Everybody rushes to the door at the same time and then you can't get out.
[00:27:18.020 --> 00:27:24.260]   You got it. Yeah. So that's, that's definitely one of the more salient trade-offs that I think an
[00:27:24.260 --> 00:27:29.860]   investor in these would want to consider is, you know, you might feel pretty laid back sanguine about
[00:27:29.860 --> 00:27:35.140]   not needing the money right now, but when the market experiences some tumult, you might feel very,
[00:27:35.140 --> 00:27:40.740]   very differently. And so may many of your co-investors in the strategy. So it's certainly
[00:27:40.740 --> 00:27:45.460]   something that they need to bear in mind before they plunk their money into it. The other thing with intervals
[00:27:45.460 --> 00:27:50.820]   is, and our team will go through and diligence these using a similar methodology at the appointed
[00:27:50.820 --> 00:27:56.420]   time to what we do for open-end funds and ETFs. They can be very, very expensive and it's not uncommon
[00:27:56.420 --> 00:28:03.380]   for them to utilize pretty large dollops of leverage, which obviously have trade-offs associated with it.
[00:28:03.380 --> 00:28:09.460]   So it's the sort of thing where, you know, probably buyer beware applies and, and our team led by Laura
