
[00:00:00.000 --> 00:00:07.000]   Hey there wine lovers! Elevate your holiday wine time with WineEnthusiast.com.
[00:17:20.000 --> 00:17:26.000]   And then I want to give you some practical advice and suggestions from my experience as to how.
[00:17:26.000 --> 00:17:30.000]   Because it's one thing to say, "Here's what you should do.
[00:17:30.000 --> 00:17:33.000]   You should have personal spiritual liberty."
[00:17:33.000 --> 00:17:36.000]   It's another thing to say, "Here's how you achieve it."
[00:17:36.000 --> 00:17:46.000]   Now, this particular ring is going to be more difficult than almost any of the other rings in terms of how, because we're going to deal, we are dealing with, and how do I get through it in 30 minutes is tough.
[00:17:46.000 --> 00:18:08.000]   But we're dealing with one of the most important themes throughout human history involving religion, philosophy, practice, because achieving spiritual freedom is a common theme of almost any religion or philosophy or ideology or worldview.
[00:18:08.000 --> 00:18:16.000]   I find this theme expressed in so many different worldviews, philosophies, etc.
[00:18:16.000 --> 00:18:24.000]   For example, right now, one of the biggest growing philosophies that I observe among my peers is the philosophy of stoicism.
[00:18:24.000 --> 00:18:35.000]   Well, should we pursue stoicism as a way to achieve personal freedom, the ability to be stoic in the face of outward circumstances?
[00:18:35.000 --> 00:18:39.000]   I think there's some ideas there that are helpful.
[00:18:39.000 --> 00:18:45.000]   I'm inspired by people in certain components of stoic philosophy.
[00:18:45.000 --> 00:18:52.000]   I don't personally think it's a sufficient, all-encompassing worldview, but I think there are ideas that are helpful.
[00:18:52.000 --> 00:19:04.000]   Should we go into an Eastern religion and say, "You'll find freedom in yourself, so let's meditate on nothingness in the hope of finding spiritual nirvana and looking forward to when your soul can be released from your body
[00:19:04.000 --> 00:19:07.000]   and your funeral pyre at the end of life"?
[00:19:07.000 --> 00:19:14.000]   Maybe. There's millions and hundreds of millions of people around the world who believe that that's an appropriate philosophy.
[00:19:14.000 --> 00:19:32.000]   I come at the world from a Christian perspective, from an Orthodox, Trinitarian, conservative Christian perspective, and I believe that, as I've analyzed it, bar none, the Christian worldview and philosophy is without a doubt the most freedom-oriented philosophy
[00:19:32.000 --> 00:19:38.000]   because the best on every single level leads to the best chances of success.
[00:19:38.000 --> 00:19:41.000]   But I've also had friends that completely disagree with that.
[00:19:41.000 --> 00:19:53.000]   Many friends who say, "The best thing that ever happens when I laid aside Christianity and I had the freedom to do what I want, to live how I want, to finally break free of the Ten Commandments and the teachings of Jesus and just live how I want to live."
[00:19:53.000 --> 00:19:56.000]   You'll have to judge for yourself.
[00:19:56.000 --> 00:20:19.000]   I'll tell you just very shortly in my personal story, we'll talk a little bit about the Christian religion and how it impacts, how it intersects with this idea of freedom and liberty, that for me, when I became a disciple of Jesus and when I was born again, I had experienced far more freedom and liberty than I had previously imagined.
[00:20:19.000 --> 00:20:27.000]   One of the most important themes in Christianity is the theme of slavery and to what you are a slave.
[00:20:27.000 --> 00:20:33.000]   In the Book of Romans, the Apostle Paul talks about this and talks about it in the context of slavery to sin.
[00:20:33.000 --> 00:20:35.000]   It's one of the most important themes.
[00:20:35.000 --> 00:20:45.000]   The basic, what Christians believe and teach is that all people are born as sinners, controlled by sin.
[00:20:45.000 --> 00:20:49.000]   This is due to the original sin, this is the doctrine of what's called original sin.
[00:20:49.000 --> 00:20:54.000]   This is due to the original sin of Adam and Eve, the parents of the human race.
[00:20:54.000 --> 00:21:03.000]   And because of Adam and Eve's decision to sin and to disobey God, they experienced death.
[00:21:03.000 --> 00:21:07.000]   That was spiritual death and also physical death.
[00:21:07.000 --> 00:21:11.000]   And so because of that death, all people are born into death.
[00:21:11.000 --> 00:21:14.000]   In the Bible, you'll often see the two themes.
[00:21:14.000 --> 00:21:18.000]   One is slavery to sin and slavery to Christ or freedom in Christ.
[00:21:18.000 --> 00:21:24.000]   And the other is born into death or born into life, living in death or living in life.
[00:21:24.000 --> 00:21:28.000]   And so in the Book of Romans, Paul talks a lot about slavery to sin.
[00:21:28.000 --> 00:21:36.000]   It says things like that for those who live according to the flesh set their minds on the things of the flesh.
[00:21:36.000 --> 00:21:38.000]   For to set the mind on the flesh is death.
[00:21:38.000 --> 00:21:42.000]   For to set the mind on the flesh is hostile to God, for it does not submit to God's law.
[00:21:42.000 --> 00:21:43.000]   Things like that.
[00:21:43.000 --> 00:21:50.000]   But then it talks about the massive difference between those who are condemned in the flesh versus free.
[00:21:50.000 --> 00:21:59.000]   And in Romans 8, Paul says, "For the law of the Spirit of life has set you free in Christ Jesus from the law of sin and death."
[00:21:59.000 --> 00:22:03.000]   When I think about freedom, it's one of the most important verses in the Bible that I always think about.
[00:22:03.000 --> 00:22:10.000]   "For the law of the Spirit of life has set you free in Christ Jesus from the law of sin and death."
[00:22:10.000 --> 00:22:14.000]   Earlier in that passage, the Apostle Paul talks about being a slave to sin.
[00:22:14.000 --> 00:22:16.000]   He says, "The things that I want to do, I can't do.
[00:22:16.000 --> 00:22:18.000]   And the things that I don't want to do, I do.
[00:22:18.000 --> 00:22:21.000]   Who can deliver me from the body of death?
[00:22:21.000 --> 00:22:28.000]   I thank God through Jesus Christ that basically that I can be delivered from this body of death."
[00:22:28.000 --> 00:22:36.000]   And I remember back to when I was younger, and one of the biggest challenges for me was just simply being a slave of sin.
[00:22:36.000 --> 00:22:42.000]   Now, I avoided a lot of the sin that a lot of people find themselves entangled in.
[00:22:42.000 --> 00:22:49.000]   I was very fortunate and blessed to be raised in a household, in a Christian household, with high moral standards.
[00:22:49.000 --> 00:22:52.000]   And that helped me to avoid many of the personal problems.
[00:22:52.000 --> 00:22:56.000]   But there was still a lot of slavery to sin.
[00:22:56.000 --> 00:23:08.000]   I experienced major slavery to sexual lust and major slavery to a lust for money and a lust for possessions, covetousness, the desire for stuff.
[00:23:08.000 --> 00:23:16.000]   But when I experienced new birth and I became a disciple of Jesus, all of those things melted away and the power of sin was broken.
[00:23:16.000 --> 00:23:23.000]   I remember it so clearly how previously I had had this undying lust for stuff.
[00:23:23.000 --> 00:23:25.000]   For me, believe it or not, a lot of it was cars.
[00:23:25.000 --> 00:23:30.000]   I was, it sounds so juvenile, like the 16-year-old, but it was real to me at the time.
[00:23:30.000 --> 00:23:34.000]   That I just loved cars and wanted to have the fancy cars and the beautiful cars, etc.
[00:23:34.000 --> 00:23:39.000]   I remember when I was born again, the desire just evaporated.
[00:23:39.000 --> 00:23:41.000]   The other big one for me was sexual lust.
[00:23:41.000 --> 00:23:47.000]   I was addicted to pornography prior, and then when I was born again, the chains were broken.
[00:23:47.000 --> 00:23:52.000]   I still had to follow it out and learn to be disciplined, learn to control my eyes, control my actions, etc.
[00:23:52.000 --> 00:23:55.000]   But the chains, the slavery was gone.
[00:23:55.000 --> 00:24:02.000]   And since that time, I've not been a slave of anything.
[00:24:02.000 --> 00:24:04.000]   And it's been awesome.
[00:24:04.000 --> 00:24:14.000]   Because when you are personally free, you can look the world in the face, raise your chin, and not have anything to be ashamed of, not have anything to hide.
[00:24:14.000 --> 00:24:22.000]   When you know that you're forgiven for your sin, you no longer have to go back and spend time wallowing in it.
[00:24:22.000 --> 00:24:29.000]   I'll talk about that in just a moment, but I always think of, when I think about freedom, Jesus preached very clearly.
[00:24:29.000 --> 00:24:37.000]   In the book of John, Jesus said, "Truly, truly, I say to you, everyone who practices sin is a slave to sin.
[00:24:37.000 --> 00:24:40.000]   The slave does not remain in the house forever.
[00:24:40.000 --> 00:24:42.000]   The son remains forever.
[00:24:42.000 --> 00:24:49.000]   So if the son sets you free, you will be free indeed."
[00:24:49.000 --> 00:24:59.000]   If the son, that's understood to be Jesus, if the son, Jesus, sets you free, you will be free indeed.
[00:24:59.000 --> 00:25:05.000]   And that particular verse to me has always been a cornerstone of spiritual freedom.
[00:25:05.000 --> 00:25:10.000]   That if Jesus sets you free, you are free indeed.
[00:25:10.000 --> 00:25:14.000]   And nobody can ever imprison you again.
[00:25:14.000 --> 00:25:16.000]   No one can ever make you a slave again.
[00:25:16.000 --> 00:25:28.000]   And though your life circumstances become an outward prison, you can experience true freedom in the midst of that prison.
[00:25:28.000 --> 00:25:38.000]   The probably most important of the early disciples of Jesus, the Apostle Paul, spent much of his latter life as a physical prisoner,
[00:25:38.000 --> 00:25:45.000]   and yet wrote again and again and again about the freedom that he experienced and how joyful he was in the midst of his chains.
[00:25:45.000 --> 00:25:50.000]   The Christian tradition is filled with testimonies time after time after time of people being imprisoned,
[00:25:50.000 --> 00:25:56.000]   people being martyred, people being enslaved, and yet in the midst of that prison, in the midst of that slavery,
[00:25:56.000 --> 00:26:03.000]   experiencing joy and peace and freedom.
[00:26:03.000 --> 00:26:10.000]   Now the reason for that ability to experience joy and peace and freedom in the midst of difficult circumstances
[00:26:10.000 --> 00:26:18.000]   has to do with an understanding and an experience of Christ's goodness towards you and towards me.
[00:26:18.000 --> 00:26:27.000]   But it means, it puts you in a place where you can put your hand to the work ahead of you without grumbling.
[00:26:27.000 --> 00:26:33.000]   When you feel like and understand that you're part of God's family, that your sins have been forgiven,
[00:26:33.000 --> 00:26:36.000]   that you have been pardoned, and that you are loved,
[00:26:36.000 --> 00:26:43.000]   it puts within you this ability to obey in things like what the Bible says, "Do all things without grumbling or disputing."
[00:26:43.000 --> 00:26:48.000]   Even in the most difficult of circumstances, I often think about financial independence, and I think about,
[00:26:48.000 --> 00:26:52.000]   "Well, what about those for whom financial independence is simply not an option?"
[00:26:52.000 --> 00:26:58.000]   What if you're a slave, a physical slave, bound in captivity?
[00:26:58.000 --> 00:27:05.000]   Well, even in that circumstance, in the Christian tradition, there are legions of testimonies
[00:27:05.000 --> 00:27:11.000]   of men and women who have been able to serve faithfully and be at liberty in their hearts,
[00:27:11.000 --> 00:27:13.000]   though they are not at liberty in their lives.
[00:27:13.000 --> 00:27:19.000]   Book of Colossians, Paul commands, "Slaves, obey your earthly masters in everything you do.
[00:27:19.000 --> 00:27:22.000]   Try to please them all the time, not just when they're watching you.
[00:27:22.000 --> 00:27:28.000]   Serve them sincerely because of your reverent fear of the Lord.
[00:27:28.000 --> 00:27:32.000]   Work willingly at whatever you do as though you were working for the Lord rather than for people.
[00:27:32.000 --> 00:27:38.000]   Remember that the Lord will give you an inheritance as your reward, and that the master you are serving is Christ.
[00:27:38.000 --> 00:27:43.000]   But if you do what is wrong, you will be paid back for the wrong you have done, for God has no favorites."
[00:27:43.000 --> 00:27:48.000]   And this basic idea has often been helpful to me when I'm doing something that's difficult.
[00:27:48.000 --> 00:27:52.000]   If I'm doing work that I don't particularly like or I'm in the midst of some difficult circumstance,
[00:27:52.000 --> 00:27:57.000]   I think, "I've got it a lot better than a slave."
[00:27:57.000 --> 00:28:04.000]   And yet, in the fullness of time, one of the most incredible things is that you see that the world has been turned upside down
[00:28:04.000 --> 00:28:11.000]   over the last 2,000 years, as you see increasingly slavery banished from the earth in favor of freedom.
[00:28:11.000 --> 00:28:17.000]   You see societies that are oppressive and controlling banished in favor of freedom.
[00:28:17.000 --> 00:28:28.000]   My most, my favorite Christmas hymn is, has the verse in it, "Truly He taught us to love one another," talking about Jesus,
[00:28:28.000 --> 00:28:34.000]   "Truly Jesus taught us to love one another. His law is love and His gospel is peace.
[00:28:34.000 --> 00:28:41.000]   Chains shall He break, for the slave is our brother, and in His name all oppression shall cease.
[00:28:41.000 --> 00:28:46.000]   Sweet hymns of joy and grateful chorus raise we, let all within us praise His holy name.
[00:28:46.000 --> 00:28:51.000]   Fall on your knees."
[00:28:51.000 --> 00:29:00.000]   And you can see, if you look back over history, you can see how the basic doctrine of the fact that the slave is our brother
[00:29:00.000 --> 00:29:08.000]   changes the world. Systematically changing the world. It's incredible.
[00:29:08.000 --> 00:29:16.000]   You know, Christianity is not a philosophy, it's not just a philosophy. It's not just a kind of a psychological thing.
[00:29:16.000 --> 00:29:23.000]   But there are a number of components of the Christian religion and Christian doctrine that I've observed lead to this sense of personal,
[00:29:23.000 --> 00:29:32.000]   spiritual liberty. One of the most foundational of those is simply love.
[00:29:32.000 --> 00:29:42.000]   The Bible very clearly teaches that while you and I were still sinners, thus enemies of God, God loved us.
[00:29:42.000 --> 00:29:50.000]   Christ laid down His life for us. That was how He showed His love for us. And He invited us in.
[00:29:50.000 --> 00:29:57.000]   That concept of love, to know that you are loved by the very God of the universe,
[00:29:57.000 --> 00:30:07.000]   is one of the most powerful emotions you can experience. If you look at children and you observe how children grow and flourish
[00:30:07.000 --> 00:30:18.000]   when they're loved and then how they grow and die when they're unloved, you can see the measurable impact of love that it has.
[00:30:18.000 --> 00:30:26.000]   And you will see, you'll see all the time, lives transformed. People who, they were raised with parents who didn't love them.
[00:30:26.000 --> 00:30:31.000]   They were raised in a community that didn't love them. And yet when they understand God's love for them,
[00:30:31.000 --> 00:30:40.000]   it completely revolutionizes them. It completely changes them. It transforms their life.
[00:30:40.000 --> 00:30:47.000]   This wasn't important to me when I was younger, just because I was raised in a household where my parents loved me.
[00:30:47.000 --> 00:30:52.000]   Never doubted it, never doubted it for an instant. Knew it left, right, and center.
[00:30:52.000 --> 00:30:57.000]   But as I've gotten older, it's become so much more important to me.
[00:30:57.000 --> 00:31:12.000]   When you experience the freedom that comes from knowing that you are simply loved, it's a powerful, powerful experience.
[00:31:12.000 --> 00:31:19.000]   One of the other most important things that you can experience if you become a disciple of Jesus is forgiveness.
[00:31:19.000 --> 00:31:24.000]   Forgiveness from sin in a conscience that's cleared.
[00:31:24.000 --> 00:31:30.000]   Everybody knows that they've done wrong. Everybody knows that they have sinned.
[00:31:30.000 --> 00:31:33.000]   People put different words on it, but everybody knows.
[00:31:33.000 --> 00:31:44.000]   We all have a list of, or could make a list of things that we've done that were wrong, that were evil, that were unkind, that were selfish, that were immoral.
[00:31:44.000 --> 00:31:53.000]   And one of the most amazing promises of Christianity is that God promises to forget those things when you repent of them.
[00:31:53.000 --> 00:32:01.000]   The Bible says that he forgets them, throws them away as far as the east is from the west, which is infinite, and remembers them no more.
[00:32:01.000 --> 00:32:07.000]   That when we repent of our sins and we confess them, they're forgiven. They're gone.
[00:32:07.000 --> 00:32:16.000]   Which means that instead of laboring under this lifetime of guilt and shame, you can just experience freedom and be totally forgiven and gone.
