
[00:00:00.000 --> 00:00:04.000]   Your tough Tacoma is here.
[00:01:43.000 --> 00:01:52.000]   So, I'd like to begin. Describe what you have observed with your firsthand experience in Venezuela over the last 30 years.
[00:01:52.000 --> 00:01:58.000]   Lay out what has happened over that 30-year timeline up until today, economically speaking.
[00:01:58.000 --> 00:02:07.000]   Well, the first times when I was in Venezuela, I remember it was a very prosperous city, very expensive, I remember.
[00:02:07.000 --> 00:02:13.000]   We were paying a huge amount of rent for a very small apartment, my wife and I.
[00:02:13.000 --> 00:02:21.000]   Their system, they had a very, the first, I believe, working subway, very modern.
[00:02:21.000 --> 00:02:25.000]   So, it was a very modern city and with all those services.
[00:02:25.000 --> 00:02:26.000]   Are you talking about Caracas?
[00:02:26.000 --> 00:02:28.000]   Yeah, Caracas. I'm sorry, Caracas.
[00:02:28.000 --> 00:02:33.000]   And the countryside, the same. There was a lot of progress.
[00:02:33.000 --> 00:02:40.000]   You could tell that people were really enjoying a lot of prosperity at that time.
[00:02:40.000 --> 00:02:46.000]   So, that was 30 years ago. Then trace it through because you've been back plenty of times throughout those decades.
[00:02:46.000 --> 00:02:53.000]   So, what have you observed firsthand or what have you watched happen as you've stayed in touch with the country over the years?
[00:02:53.000 --> 00:02:59.000]   Yeah, it was probably the most radical changes that I saw was probably within the last 10 years.
[00:02:59.000 --> 00:03:13.000]   I saw a rapid, very rapid decline on everything to the point that it was brought to the point in which pretty well everything has collapsed now.
[00:03:13.000 --> 00:03:32.000]   In a country that anything that has to do with services and transportation, for example, education, even the judicial system, it's pretty well everything collapsed now.
[00:03:32.000 --> 00:03:37.000]   But what does collapse look like? Are people dying in the streets? Are people just a little bit hungry?
[00:03:37.000 --> 00:03:43.000]   Are they just having a slightly lower standard of living? What does collapse actually look like on a day-to-day basis?
[00:03:43.000 --> 00:03:50.000]   Yeah, the first thing that you notice is the fact that a lot of people have relatives that have left the country.
[00:03:50.000 --> 00:03:56.000]   5.6 million, I'm sorry, 6 million of Venezuelans have left.
[00:03:56.000 --> 00:04:02.000]   So, the first thing that you notice is that in every family, they have one, two, three, whatever members missing
[00:04:02.000 --> 00:04:08.000]   because they are living either in Europe or South America, wherever they could go.
[00:04:08.000 --> 00:04:16.000]   So, there's a lot of family disruption with that.
[00:04:16.000 --> 00:04:25.000]   The other thing that is noticeable is the amount of business that you see that are just not functioning.
[00:04:25.000 --> 00:04:44.000]   Like sometimes you feel like even driving to big cities feels like a holiday because pretty well, I will say, between five to six businesses would be open, not working.
[00:04:44.000 --> 00:04:51.000]   And the other one, you could see that they're not. They're barely making it in their daily business activities.
[00:04:51.000 --> 00:05:00.000]   Now, one of the things that I find so interesting, you've done relief work for decades all around the world in disaster zones.
[00:05:00.000 --> 00:05:07.000]   But I was interested in your opinion on what novelists have come up with.
[00:05:07.000 --> 00:05:13.000]   And one of the things that I've done is I've not spent nearly as much time in actual disaster zones as you have.
[00:05:13.000 --> 00:05:15.000]   But I've read a lot and I've thought a lot.
[00:05:15.000 --> 00:05:23.000]   And so, one of the prepping books, the prepping novels that I've always enjoyed was James Wesley Rawls' book, Patriots.
[00:05:23.000 --> 00:05:29.000]   And it's my understanding that before I gave you a copy of Patriots, you'd never read any prepping novels. Is that right?
[00:05:29.000 --> 00:05:32.000]   That is correct. That was my first novel.
[00:05:32.000 --> 00:05:37.000]   So, they call in the – it's obviously kind of an ugly word, but they call it prepper porn.
[00:05:37.000 --> 00:05:45.000]   You know, novels that are written about collapses and crises, things falling apart.
[00:05:45.000 --> 00:05:49.000]   So, I gave you a copy of James Wesley Rawls' novel, Patriots.
[00:05:49.000 --> 00:05:52.000]   And I said, "Here, read this and let me know what you think."
[00:05:52.000 --> 00:05:55.000]   So, what did you think about that book when I gave it to you?
[00:05:55.000 --> 00:06:05.000]   Well, I'm not – I have never been in touch or in contact with anybody that is really a prepper.
[00:06:05.000 --> 00:06:15.000]   All the things that I do in that department have to do with my own research, personal research, and my own experience.
[00:06:15.000 --> 00:06:19.000]   I've seen plenty of countries that have collapsed.
[00:06:19.000 --> 00:06:37.000]   So, once you see them, for example, Haiti. I was in Haiti and I have experienced firsthand situations in which you definitely need to – I think not to be prepared.
[00:06:37.000 --> 00:06:47.000]   I came to the conclusion that not to be prepared for an emergency is the most absurd thing a person could do.
[00:06:47.000 --> 00:06:51.000]   Mainly because emergencies could happen in any country.
[00:06:51.000 --> 00:06:57.000]   Like, I remember I was in Chile after he was struck by a large earthquake.
[00:06:57.000 --> 00:07:02.000]   And I was assigned to a very, very wealthy neighborhood.
[00:07:02.000 --> 00:07:11.000]   And I clearly vividly remember that within two or three days, although they didn't suffer any damages in their homes because they were so well built,
[00:07:11.000 --> 00:07:19.000]   but within two or three days, they had empty all their food supplies in the supermarket.
[00:07:19.000 --> 00:07:21.000]   So, they had no food.
[00:07:21.000 --> 00:07:25.000]   There were people that had the resources to buy food, but they didn't have any.
[00:07:25.000 --> 00:07:36.000]   And so, it was kind of interesting for me to learn that lesson that it doesn't matter if – sometimes it doesn't even matter if you have or do have the funding for buying supplies.
[00:07:36.000 --> 00:07:43.000]   Like, say you had a lot of money to do it, but if there is no supplies, the money becomes worthless.
[00:07:43.000 --> 00:07:47.000]   Human psychology doesn't change just because you have more money in your bank account.
[00:07:47.000 --> 00:07:55.000]   When people get into that panic mode and they look around and they see that everything is disappearing and they start to worry that everyone else is going to get stuff before I do,
[00:07:55.000 --> 00:08:00.000]   they tend to react accordingly and start buying as much as they can.
[00:08:00.000 --> 00:08:10.000]   So, when you compare your experience in Venezuela to what you read in a novel, how does it compare?
[00:08:10.000 --> 00:08:18.000]   Was what you see in Venezuela, you know, just – is what you read in the novel way worse than what you see in Venezuela?
[00:08:18.000 --> 00:08:24.000]   Is what you read – does it look like what you read in a novel? Is it worse in real life than it is in the novel?
[00:08:24.000 --> 00:08:32.000]   What do you think – after you read one novel, how did that compare to what you actually see on the ground in Venezuela right now?
[00:08:32.000 --> 00:08:40.000]   Well, the first thing that drew my attention about that novel was the beginning, when they suddenly had an economic collapse.
[00:08:40.000 --> 00:08:45.000]   And people were not prepared for that.
[00:08:45.000 --> 00:08:55.000]   And in some cases, I remember – if I remember well, money became pretty well useless or worthless.
[00:08:55.000 --> 00:09:05.000]   And so, that is probably what struck me the most, when you see like the institutions no longer providing the service.
[00:09:05.000 --> 00:09:14.000]   For example, there's no banking in Venezuela or it's very limited, extremely limited banking.
[00:09:14.000 --> 00:09:26.000]   So, but, you know, most of us adults have never lived under a situation in which we don't – we cannot count with the bank.
[00:09:26.000 --> 00:09:34.000]   And so, we are so used to the bank that – but not having one there, it's kind of – it takes time to get used to.
[00:09:34.000 --> 00:09:41.000]   That was one of the things that probably made me think in the novel, the economic aspect of –
[00:09:41.000 --> 00:09:49.000]   what would you use to trade if money or banking was no longer available?
[00:09:49.000 --> 00:09:55.000]   You told me that you had a co-worker who wasn't quite accustomed to doing work in Venezuela.
[00:09:55.000 --> 00:09:59.000]   And he's coming in and everyone's talking about different projects they're going to do.
[00:09:59.000 --> 00:10:08.000]   And you're telling him, "Well, how are you going to do that? You can't have a bank account. You can't do – you told me that accounting doesn't really exist anymore."
[00:10:08.000 --> 00:10:18.000]   Just describe what a hard transition it is for people to learn how to do business in an actual collapsed economy.
[00:10:18.000 --> 00:10:26.000]   Yeah, that's actually a problem we have right now because we do get some funding for which we have to account for.
[00:10:26.000 --> 00:10:39.000]   And then, but how do you account for funding when, for example, the money that you use is pretty well useless?
[00:10:39.000 --> 00:10:47.000]   And of course, we're using Colombian money now in Venezuela because it's the most accepted form of currency that they have.
[00:10:47.000 --> 00:10:50.000]   Now, they're starting to use dollars as well.
[00:10:50.000 --> 00:10:57.000]   But it's quite a challenge because we do have to be accountable to donors.
[00:10:57.000 --> 00:11:02.000]   And at the same time, we have to report from a collapsed economy.
[00:11:02.000 --> 00:11:08.000]   And so, we're working on that. It's not an easy thing to do.
[00:11:08.000 --> 00:11:27.000]   And we need to come to do some negotiations with – even with a – or just explanation to donors in Canada and the U.S. that we indeed working with a system that is not functional.
[00:11:27.000 --> 00:11:36.000]   So, what I find so interesting though is it's not – even though the money is basically worthless, it's still being used, right?
[00:11:36.000 --> 00:11:48.000]   It's not like – you're still using the Venezuelan bolivar even though you have to carry around a backpack full of it.
[00:11:48.000 --> 00:11:53.000]   And yes, other forms of currency are being used. The Colombian peso is being used.
[00:11:53.000 --> 00:11:58.000]   U.S. dollars have limited convertibility but certainly still have value.
[00:11:58.000 --> 00:12:03.000]   But people are still using it. Do you see any evidence of any kind of barter economy?
[00:12:03.000 --> 00:12:06.000]   Has that happened or do people just go to other currencies?
[00:12:06.000 --> 00:12:17.000]   No, no. There's a lot of that. I noticed that there is not only that trade like if you have something in your house that you need, you trade it with something else.
[00:12:17.000 --> 00:12:32.000]   But also, you know, when you're thinking a collapsed economy and burn is something that I was new for me was the fact that there are things – tools, for example – things that you could use as currency.
[00:12:32.000 --> 00:12:49.000]   Tools, anything that you could really have that you could store it in a place that eventually could potentially be used for trading, either food or supplies or medicines.
[00:12:49.000 --> 00:12:57.000]   So, it's something that's new that I've seen that I never even – that I never even considered.
[00:12:57.000 --> 00:13:08.000]   I hope this – I'm responding to your question. I see trade and I see what you said about providing services for food.
[00:13:08.000 --> 00:13:20.000]   Like, for example, I have had workers that come to my project and they'll say, "Well, we work for you and we don't want to get paid. We just want a meal or two."
[00:13:20.000 --> 00:13:24.000]   So, that's how overwhelming the need could be.
[00:13:24.000 --> 00:13:28.000]   What about precious metals? Does anybody do anything with precious metals?
[00:13:28.000 --> 00:13:44.000]   Yeah, well, Venezuela is big on gold. They produce gold and silver and uranium. So, I understand that it's a huge underground market on that.
[00:13:44.000 --> 00:13:57.000]   We don't really deal with those things, but my understanding that there is a lot going with that. But we're on a humanitarian business, not in the gold business.
[00:13:57.000 --> 00:14:04.000]   But when you say a huge market, are you talking about government players or people who are connected in the government who are still doing business there?
[00:14:04.000 --> 00:14:17.000]   Are you talking about individuals? Is there anybody that's going around with silver coins or gold coins and using that to make purchases instead of bolivares or pesos?
[00:14:17.000 --> 00:14:26.000]   I really try to – if I see it, I probably close my eyes and not respond to the question.
[00:14:26.000 --> 00:14:29.000]   So, ask you something else. Is that what you're saying? Okay.
[00:14:29.000 --> 00:14:35.000]   All right. So, back to Patriots. What else that you read in the novel was like what you see in Venezuela?
[00:14:35.000 --> 00:14:39.000]   What else kind of had that ring of, "Oh, wow, I'm seeing this every day"?
[00:14:39.000 --> 00:14:50.000]   What else? I see people becoming very territorial. There are areas that are controlled by certain groups.
[00:14:50.000 --> 00:14:59.000]   And you have to sometimes advise them or ask for permission to the people in charge to go in.
[00:14:59.000 --> 00:15:10.000]   I had a case like we were asked to go to an Indian reservation, but we had to get all kinds of permits from the army and from the local militia.
[00:15:10.000 --> 00:15:27.000]   We got the permissions, but I find that the more security issues Venezuela has, the more people become more territorial in some places, especially in the big cities.
[00:15:27.000 --> 00:15:45.000]   What else I have seen? I've seen the crime. The crime is big. Lots of people robbing from the homes.
[00:15:45.000 --> 00:15:55.000]   Not so much in the area where I work because it is under different rules and regulations, and I cannot really talk about it.
[00:15:55.000 --> 00:16:03.000]   But once you move into big cities, it's totally different.
[00:16:03.000 --> 00:16:05.000]   What else?
[00:16:05.000 --> 00:16:21.000]   Well, in the book, we're going back to the book. I think what I like about that book was the fact that this guy, well, it's in a novel, of course, was able to put people that were very sympathetic to each other.
[00:16:21.000 --> 00:16:31.000]   There's not a more perfect person, a perfect protagonist who had all the resources and all the ability to build the world's greatest retreat.
[00:16:31.000 --> 00:16:37.000]   That's what that novel certainly profiles very effectively. I think it makes everyone a little jealous.
[00:16:37.000 --> 00:16:48.000]   I don't think in reality you will be able to see such a perfect setting. I think it's a novel that is like a dreamland. It will never happen.
[00:16:48.000 --> 00:17:01.000]   However, I am thinking seriously about developing my own network of people that would think alike me.
[00:17:01.000 --> 00:17:11.000]   We could right now share knowledge, research, even my own experience doing my own prepping.
[00:17:11.000 --> 00:17:23.000]   As I said, I was never a prepper, meaning that I didn't know I was. I didn't even really know I was.
[00:17:23.000 --> 00:17:31.000]   I was so much advanced into it until I started meeting other people that had taken that very seriously.
[00:17:31.000 --> 00:17:45.000]   Now, I wish I knew that before because there are so many resources available. I knew it, but I did not really pursue it, exploring what preppers had to offer me.
[00:17:45.000 --> 00:17:57.000]   Now, for example, I've been in contact with people that have knowledge in solar energy, people that have knowledge in water sanitation, and survival skills.
[00:17:57.000 --> 00:18:07.000]   I think I've grown in that area. It's something that was my secret life.
[00:18:07.000 --> 00:18:13.000]   One of the things that I think about with Venezuela, your comments earlier about Caracas and Venezuela 30 years ago,
[00:18:13.000 --> 00:18:25.000]   it's my understanding that Venezuela, if you were to go back 20 to 30 years ago, was in many ways the darling of South America.
[00:18:25.000 --> 00:18:33.000]   If not the most prosperous economy, one of the most prosperous economies, very modern, very advanced, very well developed.
[00:18:33.000 --> 00:18:42.000]   I remember in 2005, I studied in Costa Rica. While I was there, I had professors that at that time were using Venezuela.
[00:18:42.000 --> 00:18:49.000]   They would use Venezuela as basically the crowning achievement of the kind of development that the world would like.
[00:18:49.000 --> 00:19:02.000]   My professors were very left-wing, and they loved, at that time, Chavez. They loved the development, and they talked glowingly about Venezuela, politically, economically, etc.
[00:19:02.000 --> 00:19:14.000]   Venezuela had massive levels of oil reserves. Everyone driving big vehicles and big engines and everything because the oil was so cheap and so widely available.
[00:19:14.000 --> 00:19:22.000]   Now, fast forward anywhere from just call it 15 years, and you have a genuinely collapsed society.
[00:19:22.000 --> 00:19:29.000]   Let's pretend that you were living in Venezuela and going back 15 years.
[00:19:29.000 --> 00:19:35.000]   A lot of people, I wonder about those political developments. I look and I say, "What was it?"
[00:19:35.000 --> 00:19:43.000]   Now, Latin America is very different than the United States, but I think, "Okay, what if two years from now, I'm talking about Senator Sanders?
[00:19:43.000 --> 00:19:50.000]   And what if all of a sudden, Senator Sanders is—or sorry, I'm talking about President Sanders, alluding to the US politician Bernie Sanders,
[00:19:50.000 --> 00:20:00.000]   who's probably the most—certainly the most left-wing politician to achieve prominence in the United States that I'm aware of ever, if not for a very long time.
[00:20:00.000 --> 00:20:03.000]   And so let's say that we have a President Bernie Sanders.
[00:20:03.000 --> 00:20:14.000]   Now, I don't think it really happened in the United States because there's enough power and enough cultural check on executive power that I think that the risk is much lower.
[00:20:14.000 --> 00:20:22.000]   But I think, "Okay, what if the United States is going down the path of a Venezuela, moving very left, and they're going to have this economic thing,
[00:20:22.000 --> 00:20:26.000]   and their debt is so huge, and all of a sudden, we're going to be in a situation of hyperinflation?"
[00:20:26.000 --> 00:20:28.000]   So that's the context for the question.
[00:20:28.000 --> 00:20:34.000]   Now, let's go back and pretend it was 15 years ago, and you're living in a country like Venezuela.
[00:20:34.000 --> 00:20:40.000]   What would you do to prepare 15 years prior for an economic collapse a decade out?
[00:20:40.000 --> 00:20:44.000]   What would you actually do? What kind of steps would you take?
[00:20:44.000 --> 00:20:47.000]   Say I was living in Venezuela 15 years ago.
[00:20:47.000 --> 00:20:53.000]   Yeah, and you knew—you were living in Venezuela 15 years ago, and you knew that economic collapse was very likely in the future.
[00:20:53.000 --> 00:20:55.000]   What would you be doing?
[00:20:55.000 --> 00:21:17.000]   Okay, I would—if I was living in a house, I would make sure the house has enough backup for, like, an emergency system for electricity, water,
[00:21:17.000 --> 00:21:24.000]   and I would definitely increase the safety of my house.
[00:21:24.000 --> 00:21:30.000]   That's as far as the place where I would be living.
[00:21:30.000 --> 00:21:44.000]   Then I would buy—I would do a lot of research on buying a car that would be easy to repair, not to—
[00:21:44.000 --> 00:21:56.000]   even I would, for example, look into a car that doesn't—is not run by a computer, and very mechanical, mechanical.
[00:21:56.000 --> 00:22:00.000]   So like an older car with a carburetor that you can work on with simple tools.
[00:22:00.000 --> 00:22:02.000]   Yeah, that's correct.
[00:22:02.000 --> 00:22:20.000]   I would also get a very well set up shop in which I could self—do a lot of self work as far as electricity, plumbing, welding, welding, mechanic problems.
[00:22:20.000 --> 00:22:32.000]   So I'm—so I don't have to depend on the expertise of somebody else in a small—or jobs, or else I could just hire somebody and bring it home and provide the tools.
[00:22:32.000 --> 00:22:39.000]   Because I find it—that is the best way to hire help in Venezuela.
[00:22:39.000 --> 00:22:46.000]   Then personally, I definitely would get some money and put some funding—
[00:22:46.000 --> 00:22:57.000]   careful, careful, careful—put some funding outside the country if I could afford it at that time.
[00:22:57.000 --> 00:23:12.000]   I would—then 15 years ago, I'm still thinking, oh, I will try to get my residency or if I have the facility of—
[00:23:12.000 --> 00:23:18.000]   in my case, I was born in a third country, other than the country where I have my citizenship right now.
[00:23:18.000 --> 00:23:24.000]   So I would get my citizenship papers from a second or third country if I have the opportunity.
[00:23:24.000 --> 00:23:32.000]   So having two or three passports, I think, would be appropriate. I'm thinking 15 years ago.
[00:23:32.000 --> 00:23:40.000]   The other thing I would do is if I had also the funding, I would buy property outside the country.
[00:23:40.000 --> 00:23:43.000]   Like backup property.
[00:23:43.000 --> 00:23:46.000]   You mean outside of Venezuela or out in the Venezuelan countryside?
[00:23:46.000 --> 00:23:51.000]   No, outside—both, both. Outside in the countryside and outside in the—
[00:23:51.000 --> 00:24:00.000]   remember, we're talking that—I'm playing on the scenario that 15 years ago, I did have enough funding, spare funding to do those things.
[00:24:00.000 --> 00:24:11.000]   The last thing I would do is I would, for example, if I knew I had some medical issues that I'm neglecting to look into,
[00:24:11.000 --> 00:24:18.000]   like hernia surgery and dental work and things like that, I would run and get it done.
[00:24:18.000 --> 00:24:21.000]   Right.
[00:24:21.000 --> 00:24:31.000]   So there will probably be more things. This is a question that I think I'm just raining ideas right now on top of my head.
[00:24:31.000 --> 00:24:36.000]   I'm sure there will be more that I could come up. The list will be big.
[00:24:36.000 --> 00:24:38.000]   Would you save food?
[00:24:38.000 --> 00:24:50.000]   Yeah, I don't think—I think food will be—yes, but not a top priority because I would definitely do it.
[00:24:50.000 --> 00:25:03.000]   But enough—I know that it's been such a slow collapse that food—for the collapse of country, it didn't happen overnight.
[00:25:03.000 --> 00:25:06.000]   It happened over a period of 10, 15 years.
[00:25:06.000 --> 00:25:11.000]   Okay. What else? What else would you do?
[00:25:11.000 --> 00:25:27.000]   I would always have all my paperwork in order as far as unavailable, ready for somebody to take over in case I'm not in the country anymore.
[00:25:27.000 --> 00:25:35.000]   So what you mean is like your documents, you would have a power of attorney so that if you had to flee from Venezuela to, say, Brazil or Colombia,
[00:25:35.000 --> 00:25:39.000]   that you would have the paperwork in order that somebody could manage your affairs? Is that what you mean?
[00:25:39.000 --> 00:25:49.000]   Yeah, yeah, I would do that. But I'm just thinking it—I'm thinking that because I'm thinking to do that right now from the place I'm living.
[00:25:49.000 --> 00:25:55.000]   So I'm just doing some reflection as far as how to do it.
[00:25:55.000 --> 00:26:02.000]   Before, as you know, my wife passed away recently, so I no longer have that backup.
[00:26:02.000 --> 00:26:10.000]   So I need to rethink on all that. And my kids are pretty well gone, living outside the country, well established.
[00:26:10.000 --> 00:26:13.000]   So I'm pretty well on my own.
[00:26:13.000 --> 00:26:20.000]   Right. What if you—so we did that scenario, pretending that you had plenty of money.
[00:26:20.000 --> 00:26:24.000]   What if you were trying to go work through that scenario again, but you didn't have a lot of money?
[00:26:24.000 --> 00:26:31.000]   Let's just say you had maybe $5,000 saved, so you couldn't go and buy another citizenship.
[00:26:31.000 --> 00:26:38.000]   You couldn't go and buy property outside of the country because you don't have enough money.
[00:26:38.000 --> 00:26:44.000]   You have a few thousand dollars. What would you do with a few thousand dollars to prepare for an economic collapse?
[00:26:44.000 --> 00:26:52.000]   Okay, $5,000 saved. Okay, the first thing is change my car for a more manual car.
[00:26:52.000 --> 00:26:57.000]   So a simpler car, fewer computers. Is fuel efficiency important?
[00:26:57.000 --> 00:27:04.000]   Oh, yeah. Oh, definitely. Like right now, for example, I just bought myself the best car I could ever dream of in Venezuela,
[00:27:04.000 --> 00:27:11.000]   and I'm fixing it in response to this. I bought a Volkswagen, a 1970 Volkswagen.
[00:27:11.000 --> 00:27:16.000]   And I'm putting a new engine and putting everything brand new.
[00:27:16.000 --> 00:27:18.000]   A Volkswagen bug, like a beetle?
[00:27:18.000 --> 00:27:24.000]   Yeah, beetle. And basically, I'm buying it because of the gas efficiency.
[00:27:24.000 --> 00:27:31.000]   I could go for miles and miles with that little four-cylinder, 1,600cc engine.
[00:27:31.000 --> 00:27:39.000]   And while if I use a different car, the first issue is there's no gas.
[00:27:39.000 --> 00:27:47.000]   You're going to get, like if you're lucky, you get up to 30 liters every three days of gas.
[00:27:47.000 --> 00:27:50.000]   And that's if you stand in line for hours and hours?
[00:27:50.000 --> 00:27:58.000]   Oh, yeah. You have to pretty well sleep overnight there for sometimes even two nights to get so you're entitled to 30 liters of gas.
[00:27:58.000 --> 00:28:04.000]   So some people even – it's free gas, so some people do it as a business.
[00:28:04.000 --> 00:28:11.000]   They just sleep there for all week, and then somebody – and then a person like me that doesn't have the time to do it
[00:28:11.000 --> 00:28:16.000]   will come and buy them from them at an exorbitant price, though.
[00:28:16.000 --> 00:28:23.000]   Because they don't have the same supply. It's an item in very short supply.
[00:28:23.000 --> 00:28:29.000]   Okay. So you would get an older car that was simpler, didn't run with a lot of computers, and that was fuel efficient.
[00:28:29.000 --> 00:28:30.000]   What else would you do?
[00:28:30.000 --> 00:28:33.000]   $5,000. I'm sticking to my – I have to stick to my budget.
[00:28:33.000 --> 00:28:38.000]   Well, keep your $5,000. Let's assume that you sold your more modern car to buy the older, simpler one.
[00:28:38.000 --> 00:28:42.000]   So you still have $5,000 left. You just traded your car out.
[00:28:42.000 --> 00:28:57.000]   Okay. I definitely would improve – spend a couple of thousand dollars in making improvements as far as the efficiency of the electricity and water of my house.
[00:28:57.000 --> 00:29:06.000]   And obviously more security, more fences or whatever that needs.
[00:29:06.000 --> 00:29:07.000]   Okay.
[00:29:07.000 --> 00:29:10.000]   That is if I could do my work. And lastly, I'll definitely buy tools.
[00:29:10.000 --> 00:29:20.000]   I'll be prepared with every tool, simple tool, that even if I don't know how to use it, I know that I have somebody else that will have the expertise to use it.
[00:29:20.000 --> 00:29:23.000]   So that I have done it now.
[00:29:23.000 --> 00:29:34.000]   Like, for example, if you come and see my shop, it's pretty well prepared for every possible scenario somebody that is handy could face,
[00:29:34.000 --> 00:29:42.000]   even though I'm not really a handy person because I don't have the time, but I'm prepared for everything pretty well.
[00:29:42.000 --> 00:29:51.000]   Right. The idea is if you have the tools, the first thing is you have what you need to do improvements on your own home, repairs on your vehicle, things like that.
[00:29:51.000 --> 00:29:55.000]   And what's happening in Venezuela is the parts are not fairly available.
[00:29:55.000 --> 00:29:59.000]   And so if you have the tools, then you can make things work.
[00:29:59.000 --> 00:30:06.000]   The second benefit of the tools is if you have the tools, then you can often use that to provide a means of living for yourself.
[00:30:06.000 --> 00:30:17.000]   So whether you're paid in money or whether you're paid in some kind of barter transaction, if you have the tools, you can still support yourself and make a living, even in a collapsed economy.
[00:30:17.000 --> 00:30:25.000]   And then the third thing is if you have the tools, then even if you don't have the knowledge, but you have the tools and perhaps some raw materials,
[00:30:25.000 --> 00:30:31.000]   you can hire somebody who does have the knowledge to come and work on things for you and help you improve your own situation.
[00:30:31.000 --> 00:30:32.000]   Is that good, Zachary?
[00:30:32.000 --> 00:30:36.000]   Yeah, I'm going to add something that I just finished thinking of.
[00:30:36.000 --> 00:30:41.000]   And it's a good question because, you know, something that I'm building right now, right away.
[00:30:41.000 --> 00:30:50.000]   And one of the things I would do with such a small budget would be to stock up myself with tools for agricultural work,
[00:30:50.000 --> 00:31:04.000]   like shovels, you know, chainsaw, anything that would make agriculture, facilitate agricultural work.
[00:31:04.000 --> 00:31:09.000]   Say, for example, 15 years, I have no longer the facility to work.
[00:31:09.000 --> 00:31:28.000]   Then I move into a farm and I ask the person in charge of the farm that I would exchange my resources, which are tools and maybe some kind of knowledge that I have in agriculture for land, because I don't have the land.
[00:31:28.000 --> 00:31:31.000]   So we will go 50/50.
[00:31:31.000 --> 00:31:35.000]   We will, both would probably likely benefit from that.
[00:31:35.000 --> 00:31:56.000]   But I would also move into a farm and start my own, you know, self-grow food program with goats and whatever, whatever I could do to help me out with that or help out my family, rabbits, fish, whatever.
[00:31:56.000 --> 00:31:58.000]   So I'm still with my $5,000.
[00:31:58.000 --> 00:31:59.000]   Right, right.
[00:31:59.000 --> 00:32:01.000]   Okay, let me ask you another thing.
[00:32:01.000 --> 00:32:08.000]   In the prepper world, kind of the survivalist world where they got names for everything, everyone talks a lot about bugging out.
[00:32:08.000 --> 00:32:13.000]   And there are different ways that this word is used, but I use it in two senses.
[00:32:13.000 --> 00:32:22.000]   The first sense is, you know, people do something like they create a bug out bag, which is a bag that's a backpack that they try to be prepared with things that they might need in advance.
[00:32:22.000 --> 00:32:27.000]   So maybe a tent or some food or an extra, some tools, some things like that.
[00:32:27.000 --> 00:32:35.000]   So that if they had to leave their house and go walking away, then they could do that and they could survive in comfort on the road.
[00:32:35.000 --> 00:32:40.000]   And then also there's another sense in which people might use it in a bigger sense, such as internationally.
[00:32:40.000 --> 00:32:45.000]   You mentioned having another passport and some land in another country.
[00:32:45.000 --> 00:32:58.000]   I still believe that one of the best ways to survive and thrive during the current Venezuelan crisis is if you're interested is obviously it involves you're leaving your community, but it's just simply to not be in Venezuela.
[00:32:58.000 --> 00:33:10.000]   You know, those who left when they saw that things were getting bad, who went to another country and went to live in Colombia or Brazil or really anywhere in the world that's not Venezuela are not suffering as much as those who are still there.
[00:33:10.000 --> 00:33:23.000]   So do you see people like in the middle of a crisis? Do you see people going out and walking with the things they can carry on their back? Is that something that that is at all relevant in a Venezuelan crisis?
