
[00:00:00.040 --> 00:00:09.560]   guarded
[00:10:06.220 --> 00:10:16.240]   making
[00:10:16.240 --> 00:10:33.000]  , viv the in the
[00:10:33.000 --> 00:10:34.640]   жизнь, I, ", 12, de, withstand, aka, towers, स, my, really,Laugh, hell, vie, black, stock, swallow, butt,業,視, men, say, Each, not,�. take, limit, Nie, perd. Guerra,New. probably, keep, buy, anti, FEMA, percent, connect,vin. MORE, Señor, brighten, amounts. deber, Толькоe. they're. Coffee writing, 12.と, asked.� talk. Majj. Hom Кар,cha. lasted, early, confirm, 800, 12 daughters. scare, was no. ele. work. educ. Olive, el Z Fi. Ar.per.� assessments, desk. 같이, wouldn't. precautions, Beyond the team. président and the B. salud. hur, acquire care. en pieces.第一個 Servic.
[00:10:34.640 --> 00:10:35.040]  因. "G. earnings. Big g. New of the Nick, dysfunction, earned.크. music.視,
[00:10:35.080 --> 00:10:45.380]   people
[00:10:45.380 --> 00:10:47.120]   in a not
[00:11:30.240 --> 00:11:30.240]   and
[00:11:30.280 --> 00:11:37.900]   con
[00:11:37.900 --> 00:11:45.420]   На L S, gotten, entre,
[00:14:10.600 --> 00:14:20.580]   just
[00:14:20.580 --> 00:14:35.320]   force,,,,
[00:16:04.320 --> 00:16:32.540]   Flickin' up the truck. It was basically it was owned as in a single family for all of its history, owned since new. Got a good deal on it. Everything was good. And I took time to fix the things that were wrong with it over time. And that was where we were. I bought the truck, bought the camper, etc. And the truck, everything was ready. And once I found the truck, the other thing that I found was I put a big topper on it. I had a big giant aluminum commercial topper on the back that I had shopped for and I got a great deal on. And that gave me lots of cargo space for all of the trucks.
[00:16:32.620 --> 00:16:42.520]  ,
[00:18:52.520 --> 00:19:02.180]  ав
[00:19:02.180 --> 00:19:02.740]   as not '
[00:19:02.740 --> 00:19:03.660]   Wis We Just my lot in the test,,,,,,, cheering
[00:19:19.620 --> 00:19:37.860]   and a good deal is not easy because of my requirements and because of the fact that I was shopping anywhere from 16 to 19 year old vehicles, the market is out there, but the market for good vehicles is a lot smaller.
[00:19:37.860 --> 00:19:42.300]   You can go and you can buy a truck with 300,000 miles on it all day long.
[00:19:42.300 --> 00:19:46.720]   And there's some power to the argument to say that that 300,000 mile truck has a lot
[00:19:46.720 --> 00:19:46.720]   of life left in it.
[00:19:46.720 --> 00:19:46.720]   But it's tough to say that there's a lot of life left in it.
[00:19:46.720 --> 00:19:46.720]   But it's tough to say that there's a lot of life left in it.
[00:19:46.720 --> 00:19:46.720]   But it's tough to say that there's a lot of life left in it.
[00:19:46.720 --> 00:19:46.720]   But it's tough to say that there's a lot of life left in it.
[00:19:46.720 --> 00:19:46.720]   But it's tough to say that there's a lot of life left in it.
[00:19:46.720 --> 00:19:46.720]   But it's tough to say that there's a lot of life left in it.
[00:19:46.720 --> 00:20:01.880]   the tactics that I've used to good success when trying to do this.
[00:20:01.880 --> 00:20:01.920]   the tactics that I've used to good success when trying to do this.
[00:20:01.920 --> 00:20:01.960]   the tactics that I've used to good success when trying to do this.
[00:20:01.960 --> 00:20:02.080]   the tactics that I've used to good success when trying to do this.
[00:20:02.080 --> 00:20:02.220]   the tactics that I've used to good success when trying to do this.
[00:20:02.220 --> 00:20:02.280]   the tactics that I've used to good success when trying to do this.
[00:20:02.280 --> 00:20:02.320]   the tactics that I've used to good success when trying to do this.
[00:20:02.320 --> 00:20:02.360]   the tactics that I've used to good success when trying to do this.
[00:20:02.360 --> 00:20:02.380]   the tactics that I've used to good success when trying to do this.
[00:20:02.380 --> 00:20:02.400]   the tactics that I've used to good success when trying to do this.
[00:20:02.400 --> 00:20:02.460]   the tactics that I've used to good success when trying to do this.
[00:20:02.460 --> 00:20:16.480]  , the tactics that I've used to good success when trying to do this.
[00:20:16.520 --> 00:20:45.740]  ав
[00:20:45.800 --> 00:20:47.820]   whatever.
[00:20:47.820 --> 00:20:50.820]   Long bed, short bed, don't care.
[00:20:50.820 --> 00:20:52.820]   Color, I don't care.
[00:20:52.820 --> 00:20:54.820]   But I needed to be in good condition.
[00:20:54.820 --> 00:20:56.820]   I needed to basically be ready to hook up and go.
[00:20:56.820 --> 00:20:58.820]   Now, in the used car marketplace,
[00:20:58.820 --> 00:21:01.820]   you can often get a deal on something that needs a little bit of work.
[00:21:01.820 --> 00:21:03.820]   And that's what I did the first time around.
[00:21:03.820 --> 00:21:05.820]   I had time.
[00:21:05.820 --> 00:21:07.820]   Until you get something, anytime you get a new car, a used car,
[00:21:07.820 --> 00:21:09.820]   there's always going to be stuff that needs to be done.
[00:21:09.820 --> 00:21:11.820]   That's why it's being sold in the first place, generally.
[00:21:11.820 --> 00:21:14.820]   So, I bought it early, had time for it to be done.
[00:21:14.820 --> 00:21:15.820]   So, I bought it early, had time for it to be done.
[00:21:15.820 --> 00:21:15.820]   So, I bought it early, had time for it to be done.
[00:21:15.820 --> 00:21:15.820]   So, I bought it early, had time for it to be done.
[00:21:16.360 --> 00:21:45.860]   So, I bought it early, had time for it to be done.
[00:21:45.860 --> 00:21:45.860]   So, I bought it early, had time for it to be done.
[00:21:45.860 --> 00:21:45.860]   So, I bought it early, had time for it to be done.
[00:21:45.860 --> 00:21:45.860]   So, I bought it early, had time for it to be done.
[00:21:45.860 --> 00:21:45.860]   So, I bought it early, had time for it to be done.
[00:21:45.860 --> 00:21:45.860]   So, I bought it early, had time for it to be done.
[00:21:45.900 --> 00:21:55.740]   that
[00:21:55.740 --> 00:21:56.920]  � train,,,,, I have a З de
[00:21:56.920 --> 00:21:59.720]  기는
[00:21:59.720 --> 00:22:05.580]   sewn
[00:22:05.580 --> 00:22:09.800]   Το Я
[00:23:12.560 --> 00:23:12.560]   It's hard to differentiate between the two markets.
[00:23:12.560 --> 00:23:12.560]   It's hard to differentiate between the two markets.
[00:23:12.560 --> 00:23:12.560]   It's hard to differentiate between the two markets.
[00:23:26.800 --> 00:23:26.940]   It's hard to differentiate between the two markets.
[00:23:26.940 --> 00:23:27.000]   It's hard to differentiate between the two markets.
[00:23:27.000 --> 00:23:28.360]   It's hard to differentiate between the two markets. Those markets are often very strong.
[00:23:28.360 --> 00:23:28.440]   Those markets are often very strong.
[00:23:28.440 --> 00:23:30.360]   Those markets are often very strong. There's lots of people buying.
[00:23:30.360 --> 00:23:30.440]   There's lots of people buying.
[00:23:30.440 --> 00:23:31.640]   There's lots of people buying. But there's a wrinkle in the middle,
[00:23:31.640 --> 00:23:31.700]   But there's a wrinkle in the middle,
[00:23:31.700 --> 00:23:32.760]   But there's a wrinkle in the middle, where you're buying a vehicle that's
[00:23:32.760 --> 00:23:32.820]   where you're buying a vehicle that's
[00:23:32.820 --> 00:23:34.360]   where you're buying a vehicle that's beyond the financial capacity of
[00:23:34.360 --> 00:23:34.440]   beyond the financial capacity of
[00:23:34.440 --> 00:23:35.560]   beyond the financial capacity of the average person.
[00:23:35.560 --> 00:23:35.640]   the average person.
[00:23:35.640 --> 00:23:37.400]   the average person. The average person doesn't have
[00:23:37.400 --> 00:23:37.460]   The average person doesn't have
[00:23:37.460 --> 00:23:39.560]   The average person doesn't have $15,000, $20,000 that they
[00:23:39.560 --> 00:24:06.640]  , $15,000, $20,000 that they
[00:24:06.640 --> 00:24:07.760]  ,
[00:24:07.760 --> 00:24:08.800]   $15,000, $20,000 that they have to pay for.
[00:24:08.800 --> 00:24:08.840]   have to pay for.
[00:24:08.840 --> 00:24:08.900]   have to pay for.
[00:24:08.900 --> 00:24:09.360]   have to pay for. And they're not available
[00:24:09.360 --> 00:24:09.400]   And they're not available for financing.
[00:24:09.400 --> 00:24:09.440]   And so you have a smaller pool of people who can't get the financing.
[00:24:09.460 --> 00:24:10.520]   And so you have a smaller pool of people who can't get the financing.
[00:24:10.520 --> 00:24:11.480]   And so you have a smaller pool of people who can't get the financing. And you can get a good price
[00:24:11.480 --> 00:24:11.520]   And you can get a good price
[00:24:11.520 --> 00:24:12.280]   And you can get a good price discount there.
[00:24:12.280 --> 00:24:12.440]   discount there.
[00:24:12.440 --> 00:24:14.780]   discount there. So if you're shopping, in addition to
[00:24:14.780 --> 00:24:14.860]   So if you're shopping, in addition to
[00:24:14.860 --> 00:24:15.980]   So if you're shopping, in addition to being flexible on what you're
[00:24:15.980 --> 00:24:16.060]   being flexible on what you're
[00:24:16.060 --> 00:24:17.980]   being flexible on what you're actually willing to buy, if you can
[00:24:17.980 --> 00:24:18.060]   actually willing to buy, if you can
[00:24:18.060 --> 00:24:19.980]   actually willing to buy, if you can be knowledgeable enough to be able
[00:24:19.980 --> 00:24:20.060]   be knowledgeable enough to be able
[00:24:20.060 --> 00:24:21.820]   be knowledgeable enough to be able to move quickly, that can help you
[00:24:21.820 --> 00:24:21.860]   to move quickly, that can help you
[00:24:21.860 --> 00:24:25.440]   to move quickly, that can help you to get better deals.
[00:24:25.440 --> 00:24:25.560]   to get better deals.
[00:24:25.580 --> 00:24:43.560]   So this last week, literally Monday
[00:24:43.560 --> 00:24:43.620]   So this last week, literally Monday
[00:24:43.620 --> 00:24:45.560]   So this last week, literally Monday morning, I finally decided I couldn't
[00:24:45.560 --> 00:24:45.620]   morning, I finally decided I couldn't
[00:24:45.620 --> 00:24:47.560]   morning, I finally decided I couldn't find anything that was reasonably
[00:24:47.560 --> 00:24:47.620]   find anything that was reasonably
[00:24:47.620 --> 00:24:49.560]   find anything that was reasonably priced, that was low priced, and
[00:24:49.560 --> 00:24:49.620]   priced, that was low priced, and
[00:24:49.620 --> 00:24:53.560]   priced, that was low priced, and that had good enough prices.
[00:24:53.560 --> 00:24:53.620]   that had good enough prices.
[00:24:53.620 --> 00:24:54.560]   that had good enough prices. Sorry, it's hard sometimes to
[00:24:54.560 --> 00:24:54.620]   Sorry, it's hard sometimes to
[00:24:54.620 --> 00:24:55.600]   Sorry, it's hard sometimes to broadcast outside because then you see
[00:24:55.600 --> 00:24:55.600]   broadcast outside because then you see more distractions than inside.
[00:24:55.600 --> 00:24:55.600]   more distractions than inside.
[00:24:55.600 --> 00:24:55.600]   more distractions than inside. I couldn't find anything that was reasonably enough
[00:24:56.300 --> 00:25:25.640]   I couldn't find anything that was reasonably enough to
[00:25:25.640 --> 00:25:25.640]   I couldn't find anything that was reasonably enough to have a vehicle sit in the shop for a long time to get ready to go across the country. I was feeling pretty constricted. But, so I decided on Monday morning, okay, I'm just going to go ahead and fix the truck I've got. The damage was significant. The insurance company totaled the vehicle. But it was also, I felt like it was largely cosmetic and I figured well, so I'm willing to drive an ugly vehicle this could work out. I'll take a check from the insurance company I'll drive the vehicle with a salvage title and we'll just head out across the country. Well, on Monday morning I came across the vehicle. Well, on Monday morning I came across the vehicle. Well, I came across the vehicle.
[00:25:25.680 --> 00:25:29.980]   care
[00:25:29.980 --> 00:25:49.520]   show, am make Harvey未 Carolina,,,,, cad 16
[00:25:49.520 --> 00:25:55.440]   cooperate We When L S I think I think I think warm дев sa investigative el, I, I, I, I, justice, I, он, and, lake, my,°, my, hull,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, is a name of a purse I was dóv goofy良 APPLAUSEAD. reacts ăí in the trueров. burstsipping
[00:25:55.520 --> 00:26:05.920]   like
[00:26:05.920 --> 00:26:10.420]   verd out is be
[00:26:24.480 --> 00:26:53.400]   rend is veil abl for you when you acuall... you need to know your market. And you can't know your market just from pictures. So what I've often found with used vehicles, you need to go and look at them. You need to drive them at least a little bit. And you can start to develop an understanding of the marketplace. When you look at one that's $15,000, and you look at another that's $7,500, and you look at one with 300,000 miles, and you look at one with 150,000 miles, you can start to understand the demand for these vehicles. You can talk with
[00:26:53.440 --> 00:26:56.500]   de
[00:26:56.500 --> 00:27:03.880]  �
[00:27:03.880 --> 00:27:04.280]   believed of of become - Navy, the. And, Dinge,
[00:27:04.280 --> 00:27:20.260]  , says,
[00:27:22.200 --> 00:27:26.400]   immediately in that evening, was working on, I had drove the new truck home,
[00:27:26.400 --> 00:27:31.940]   spend the next few days cleaning it up. That's what occupied all of last week,
[00:27:31.940 --> 00:27:34.980]   but clean the truck up, did a bunch of mechanical stuff, change of fluids,
[00:27:34.980 --> 00:27:37.340]   change of bearings. And, you know, I had my fingers deep in Greece,
[00:27:37.340 --> 00:27:40.940]   just getting everything ready to go on the road, but thankfully didn't need much.
[00:27:40.940 --> 00:27:45.220]   And hooked it up and went. Now here'd be the flip side.
[00:27:45.220 --> 00:27:47.720]   Let me give you one more example where I haven't been able to find something
[00:27:47.720 --> 00:27:51.500]   yet. And that's related to a topper. Now with our,
[00:27:51.500 --> 00:28:20.980]  ,
[00:28:21.020 --> 00:28:30.240]   light
[00:28:30.240 --> 00:28:34.440]   , I,uch,
[00:28:34.440 --> 00:28:47.340]   Vor Inaj ac invitation gentle go. I'm at a car. I have a car. I'm your than. I'm. I'm. I'm. It's.ur.ár.Bl. include the just. tiger. sind. ich. they're not. GL-im-per-ne-w- 손-arl--------------------, react---, as-, I'm, Это, el- Ray, countdown CP:, Harry,ather-, educ, smile, humanity, adelante, остан-, ac
[00:28:47.340 --> 00:28:49.020]  ,
[00:28:49.560 --> 00:29:18.100]   constricted. And once we get across the country, we'll probably slow down a little bit. But our traveling season and the time of year has gotten constrained because of our late start. And I'll tell you what, last week was tough. I was tired. I've done the best I could, but a lot of things have suffered. My business has suffered. I've had some unhappy clients, unhappy emails, and I haven't released a show in a little while.
[00:29:18.140 --> 00:29:47.660]  ,
[00:29:47.680 --> 00:30:17.520]  ,
[00:30:17.520 --> 00:30:17.580]  ,
[00:30:17.580 --> 00:30:17.680]  ,
[00:30:17.680 --> 00:30:17.680]   ,
[00:30:17.680 --> 00:30:17.680]   ,
[00:30:18.620 --> 00:30:47.700]   ,
[00:30:47.700 --> 00:30:47.700]   ,
[00:30:47.700 --> 00:30:47.700]   ,
[00:30:47.700 --> 00:30:47.700]   ,
[00:30:47.700 --> 00:30:47.700]   ,
[00:30:47.700 --> 00:30:47.700]   ,
[00:30:47.700 --> 00:31:17.720]   ,
[00:31:17.720 --> 00:31:17.720]   ,
[00:31:17.720 --> 00:31:17.720]   ,
[00:31:17.720 --> 00:31:47.740]   ,
[00:31:47.740 --> 00:31:58.000]   , . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . and the travel the travel it would make it made it made it made it made it clear so in summary in the good cheap and fast at the good cheap and the good cheap and the travel's going to tell me's about the goodht's the travelètementвой
[00:32:07.540 --> 00:32:37.520]   Transportation. The travel season and finally we make it made it made it clear so in summary just think of the good cheap and fast when you are making your next buying decision and I again I encourage you it's good to get good and again when buying things selection exactly what you want get something good get something cheap that usually means you will have to go ahead you'll have to be a little bit ahead and move slower to be able to find what you need when you want.
[00:32:37.560 --> 00:33:07.540]  ,
[00:33:07.540 --> 00:33:07.540]   and then you'll have to be a little bit slower to be able to find what you need when you want.
[00:33:07.540 --> 00:33:07.540]   and then you'll have to be a little bit slower to be able to find what you need when you want.
[00:33:07.540 --> 00:33:07.540]   and then you'll have to be a little bit slower to be able to find what you need when you want.
[00:33:07.540 --> 00:33:07.540]   and then you'll have to be a little bit slower to be able to find what you need when you want.
[00:33:07.540 --> 00:33:07.540]   and then you'll have to be a little bit slower to be able to find what you need when you want.
[00:33:07.540 --> 00:33:07.540]   and then you'll have to be a little bit slower to be able to find what you need when you want.
[00:33:07.540 --> 00:33:07.540]   and then you'll have to be a little bit slower to be able to find what you need when you want.
[00:33:07.580 --> 00:33:37.560]   revenir,
[00:33:37.560 --> 00:33:37.560]   and then you'll have to be a little bit slower to be able to find what you need when you want.
[00:33:37.560 --> 00:33:37.560]   and then you'll have to be a little bit slower to be able to find what you need when you want.
[00:33:37.560 --> 00:33:37.560]   and then you'll have to be a little bit slower to be able to find what you need when you want.
[00:33:37.560 --> 00:33:37.560]   and then you'll have to be a little bit slower to be able to find what you need when you want.
[00:33:37.560 --> 00:33:37.560]   and then you'll have to be a little bit slower to be able to find what you need when you want.
[00:33:37.560 --> 00:33:37.560]   and then you'll have to be a little bit slower to be able to find what you need when you want.
[00:33:37.560 --> 00:33:37.560]   and then you'll have to be a little bit slower to be able to find what you need when you want.
[00:33:37.560 --> 00:33:37.560]   and then you'll have to be a little bit slower to be able to find what you need when you want.
[00:33:37.580 --> 00:34:07.580]   and then you'll have to be a little bit slower to be able to find what you need when you want.
[00:34:07.580 --> 00:34:07.580]   and then you'll have to be a little bit slower to be able to find what you need when you want.
[00:34:07.580 --> 00:34:07.580]   and then you'll have to be a little bit slower to be able to find what you need when you want.
[00:34:07.580 --> 00:34:07.580]   and then you'll have to be a little bit slower to be able to find what you need when you want.
[00:34:07.580 --> 00:34:07.580]   and then you'll have to be a little bit slower to be able to find what you need when you want.
[00:34:07.580 --> 00:34:07.580]   and then you'll have to be a little bit slower to be able to find what you need when you want.
[00:34:07.580 --> 00:34:07.580]   and then you'll have to be a little bit slower to be able to find what you need when you want.
[00:34:07.580 --> 00:34:07.580]   and then you'll have to be a little bit slower to be able to find what you need when you want.
[00:34:07.600 --> 00:34:37.600]   and then you'll have to be a little bit slower to be able to find what you need when you want.
[00:34:37.600 --> 00:34:37.600]   and then you'll have to be a little bit slower to be able to find what you need when you want.
[00:34:37.600 --> 00:34:37.600]   and then you'll have to be a little bit slower to be able to find what you need when you want.
[00:34:37.600 --> 00:34:37.600]   and then you'll have to be a little bit slower to be able to find what you need when you want.
[00:34:37.600 --> 00:34:37.600]   and then you'll have to be a little bit slower to be able to find what you need when you want.
[00:34:37.600 --> 00:34:37.600]   and then you'll have to be a little bit slower to be able to find what you need when you want.
[00:34:37.620 --> 00:35:07.620]   and then you'll have to be a little bit slower to be able to find what you need when you want.
[00:35:07.620 --> 00:35:07.620]   and then you'll have to be a little bit slower to be able to find what you need when you want.
[00:35:07.620 --> 00:35:07.620]   and then you'll have to be a little bit slower to be able to find what you need when you want.
[00:35:07.620 --> 00:35:07.620]   and then you'll have to be a little bit slower to be able to find what you need when you want.
[00:35:07.620 --> 00:35:07.620]   and then you'll have to be a little bit slower to be able to find what you need when you want.
[00:35:07.620 --> 00:35:07.620]   and then you'll have to be a little bit slower to be able to find what you need when you want.
[00:35:07.620 --> 00:35:07.620]   and then you'll have to be a little bit slower to be able to find what you need when you want.
[00:35:07.620 --> 00:35:07.620]   and then you'll have to be a little bit slower to be able to find what you need when you want.
[00:35:07.640 --> 00:35:37.640]   and then you'll have to be a little bit slower to be able to find what you need when you want.
[00:35:37.640 --> 00:35:37.640]   and then you'll have to be a little bit slower to be able to find what you need when you want.
[00:35:37.640 --> 00:35:37.640]   and then you'll have to be a little bit slower to be able to find what you need when you want.
[00:35:37.640 --> 00:35:37.640]   and then you'll have to be a little bit slower to be able to find what you need when you want.
[00:35:37.640 --> 00:35:37.640]   and then you'll have to be a little bit slower to be able to find what you need when you want.
[00:35:37.640 --> 00:35:37.640]   and then you'll have to be a little bit slower to be able to find what you need when you want.
[00:35:37.640 --> 00:35:37.640]   and then you'll have to be a little bit slower to be able to find what you need when you want.
[00:35:37.640 --> 00:35:37.640]   and then you'll have to be a little bit slower to be able to find what you need when you want.
[00:35:37.660 --> 00:36:07.660]   and then you'll have to be a little bit slower to be able to find what you need when you want.
[00:36:07.660 --> 00:36:07.660]   and then you'll have to be a little bit slower to be able to find what you need when you want.
[00:36:07.660 --> 00:36:07.660]   and then you'll have to be a little bit slower to be able to find what you need when you want.
[00:36:07.660 --> 00:36:07.660]   and then you'll have to be a little bit slower to be able to find what you need when you want.
[00:36:07.660 --> 00:36:07.660]   and then you'll have to be a little bit slower to be able to find what you need when you want.
[00:36:07.660 --> 00:36:07.660]   and then you'll have to be a little bit slower to be able to find what you need when you want.
[00:36:07.660 --> 00:36:07.660]   and then you'll have to be a little bit slower to be able to find what you need when you want.
[00:36:07.660 --> 00:36:37.680]   ado.

